Timestep,C7,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFR,x71,x72,x73,LWRB,LBHD
9,0.0165907,0.00778214,0,0,0,0,0,0,0.0215794,0.00984522,0.00813707,0.00830927,0,0.0156625,0,0.0241235,0.00402169,0.0433623,0.0155537,0.0265653,0.0181642,0.0106194,0.0226765,0.00991869,0.0185442,0.0121561,0.0366636,0.0100182,0.0133338,0.00646396,0.026073,0.0262458,0.0113743,0.0111059,0.0237199,0.011883,0.004522,0.00744906,0.00799958,0,0,0.0293531,0,0.00878003,0.0156946,0.0419287,0.0116484,0.0256407,0.01041,0.00723425,0.0286504,0.00584447,0.0343713,0.00916775,0.00684156,0.00875991,0.0475936,0.00632126,0.00938227,0.028433,0.0261811,0.00949356,0.00818764,0.00598983,0.0119793,0,0,0,0,0,0,0,0,0
10,0.0176071,0.0112268,0,0,0,0,0,0,0.00996407,0.0102884,0.00750777,0.016307,0,0.0175846,0,0.0239482,0.00443864,0.0382924,0.0119999,0.0243952,0.0162996,0.0189253,0.0242532,0.0090879,0.0111121,0.0100424,0.0428136,0.0110129,0.00991892,0.00730672,0.0254175,0.0141427,0.0130543,0.011066,0.0177102,0.0124671,0.00420674,0.0169072,0.00971788,0,0,0.0306058,0,0.00860771,0.0159224,0.0418475,0.00725654,0,0.00772554,0.0248419,0.0266485,0.00529628,0.0377526,0.0092188,0.00459887,0.00385111,0.0466082,0.00313188,0.00335978,0.0189853,0.0248203,0.00988529,0.00819891,0.0107044,0.0141908,0,0,0,0,0,0,0,0,0
11,0.0156655,0.00624436,0,0,0,0,0,0,0.0217335,0.0102681,0.00813824,0.00837274,0,0.0178349,0,0.0241194,0.00501036,0.0434939,0.0152482,0.0262342,0.0178144,0.0102939,0.0224272,0.00981374,0.0181905,0.0118729,0.0366327,0.00991993,0.0131335,0.0066238,0.0260775,0.0260554,0.0131047,0.0111067,0.0236381,0.0124003,0.00504959,0.00698329,0.00751628,0,0,0.0311275,0,0.00881016,0.0162923,0.0417641,0.0113626,0.0253612,0.00982695,0.00706813,0.0269944,0.00551564,0.0343551,0.00902683,0.00666399,0.00841932,0.0477144,0.0060055,0.00896618,0.0280143,0.0264672,0.0100707,0.008323,0.00573547,0.0116656,0,0,0,0,0,0,0,0,0
12,0.0151317,0.00510349,0,0,0,0,0,0,0.0216159,0.0104512,0.00815513,0.00828976,0,0.0191644,0,0.0241563,0.00615193,0.0434914,0.0151255,0.0262916,0.0177093,0.00991077,0.022156,0.00964009,0.0180743,0.0115929,0.0365123,0.00983672,0.0131477,0.00652934,0.0260904,0.0257906,0.0141385,0.011122,0.0237257,0.0126349,0.00521694,0.00683364,0.00729292,0,0,0.0322433,0,0.00880515,0.0167723,0.0415853,0.0112879,0.0254912,0.0096969,0.00654586,0.0263175,0.00549896,0.034262,0.0092387,0.00662535,0.00835109,0.0477572,0.00585202,0.00887856,0.0281042,0.0269602,0.0104324,0.00816502,0.00541157,0.0114696,0,0,0,0,0,0,0,0,0
13,0.0145897,0.00429288,0,0,0,0,0,0,0.021512,0.0105627,0.00815236,0.00828867,0,0.0205572,0,0.024166,0.00669854,0.0434507,0.0150261,0.0263849,0.0175086,0.00949101,0.0219419,0.00943186,0.0179365,0.0114493,0.0363563,0.00972919,0.0130677,0.00637603,0.026131,0.025604,0.0151887,0.0110869,0.0238455,0.0128567,0.0051541,0.00669955,0.00710766,0,0,0.0337858,0,0.00881138,0.0172729,0.0412652,0.0112592,0.0255929,0.00958338,0.0060241,0.025867,0.00559244,0.0341425,0.0091342,0.00661445,0.00831617,0.0477447,0.00576414,0.00881511,0.0283087,0.0277489,0.0105324,0.00800996,0.00528696,0.0112799,0,0,0,0,0,0,0,0,0
14,0.0139586,0.00364122,0,0,0,0,0,0,0.0212786,0.0107126,0.00811941,0.00832084,0,0.0218125,0,0.0241107,0.0070061,0.0434244,0.0149436,0.0261019,0.0172503,0.00932613,0.0215193,0.00939729,0.0177695,0.0113492,0.0362549,0.00960531,0.0128761,0.00629934,0.0261823,0.0253172,0.0161544,0.0110635,0.0240379,0.0131249,0.00488341,0.0067528,0.00678094,0,0,0.035664,0,0.00882387,0.017664,0.0410396,0.0111362,0.0255265,0.00949966,0.00581122,0.025342,0.00565127,0.0341477,0.00891778,0.00660401,0.00822659,0.0477399,0.00581146,0.00866374,0.028495,0.028708,0.0104578,0.00786538,0.00559333,0.0110178,0,0,0,0,0,0,0,0,0
15,0.0134781,0.00316509,0,0,0,0,0,0,0.0212203,0.0109853,0.00813386,0.00824248,0,0.0229642,0,0.0240301,0.00725766,0.0434441,0.0149178,0.0259021,0.0171163,0.00906802,0.0213234,0.00945475,0.0175748,0.0112454,0.0362771,0.00957451,0.0126429,0.00626224,0.0262332,0.0251768,0.0172117,0.0109808,0.0241523,0.0134142,0.00486773,0.006849,0.00670087,0,0,0.0374466,0,0.00884124,0.0179884,0.041064,0.0110078,0.0254867,0.00938135,0.00555502,0.0248346,0.0056738,0.0342276,0.00823057,0.00661608,0.00812448,0.0477762,0.00605094,0.00850134,0.028715,0.0298493,0.0106656,0.0076493,0.00591714,0.0109125,0,0,0,0,0,0,0,0,0
16,0.0129641,0.00299389,0,0,0,0,0,0,0.0214046,0.011387,0.00814203,0.00808476,0,0.0242266,0,0.0240024,0.00758978,0.0434507,0.0147195,0.0258201,0.0169938,0.00878843,0.0210129,0.00946562,0.0174463,0.0110508,0.0363719,0.00949746,0.0125165,0.00616441,0.0263465,0.0252063,0.0182823,0.0108609,0.0241726,0.0137616,0.00486164,0.00690374,0.00666695,0,0,0.0393839,0,0.00890639,0.0183926,0.0413558,0.0108986,0.0255289,0.00932173,0.00524071,0.0244143,0.0056887,0.0342926,0.0074468,0.00667466,0.00809276,0.047789,0.00615767,0.00844076,0.0289513,0.0310578,0.0107567,0.00743831,0.0063968,0.0108045,0,0,0,0,0,0,0,0,0
17,0.0122982,0.00341211,0,0,0,0,0,0,0.0215326,0.0116747,0.00818332,0.00802178,0,0.0255215,0,0.0239705,0.00801641,0.0434282,0.0144763,0.0257881,0.0168764,0.00862727,0.0205114,0.00939864,0.0171607,0.0107764,0.0364138,0.00934823,0.0125124,0.00608076,0.0264582,0.0252258,0.0192675,0.0107916,0.0242029,0.0141358,0.00475032,0.0070156,0.00651812,0,0,0.0415336,0,0.0090239,0.0188703,0.0415781,0.0108318,0.025598,0.00926752,0.00502213,0.0239564,0.00574086,0.0342936,0.00849014,0.006763,0.00809263,0.0477428,0.00611737,0.00844127,0.0292064,0.0323018,0.0104893,0.00736183,0.00719232,0.0105559,0,0,0,0,0,0,0,0,0
18,0.0116425,0.00421218,0,0,0,0,0,0,0.0216247,0.0119661,0.0082173,0.00811156,0,0.0267619,0,0.0239788,0.00851271,0.0434183,0.0142439,0.0258648,0.0168,0.00848311,0.0199761,0.00930155,0.0167209,0.0105172,0.0365718,0.00925338,0.0124654,0.00601137,0.0265427,0.0255197,0.0202478,0.0107087,0.0244057,0.0144008,0.00473016,0.00706226,0.00641724,0,0,0.0436582,0,0.00913268,0.0193287,0.0416297,0.0107445,0.0256576,0.00917248,0.00485877,0.0234757,0.0058371,0.0342108,0.00925135,0.00688435,0.00807173,0.0476832,0.00607543,0.00843535,0.02937,0.0335846,0.0104379,0.00719848,0.00811309,0.0102632,0,0,0,0,0,0,0,0,0
