Timestep,C7,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFR,x71,x72,x73
All Timesteps RMSE,0.0186382,0.0279905,0,0,0,0,0,0,0.0347645,0.00891076,0.0333789,0.0288578,0,0,0.0256236,0,0.0317061,0.0128563,0.03117,0.0350714,0.00552284,0.0121193,0.0446137,0.022417,0.0160595,0.0168757,0.0149064,0.0344293,0.0157001,0.0186127,0.0197,0.018522,0.0429791,0.0213751,0.0154197,0.00993331,0.0295404,0.00922993,0.027532,0.029502,0.011316,0,0,0.0286815,0,0.0114258,0.015888,0.0479847,0.0319236,0.0216942,0.0112621,0.036386,0.0221248,0.0171079,0.0282852,0.0163544,0.0151821,0.0136373,0.0417626,0.0174566,0.0165085,0.0317913,0.0269064,0.0174308,0.0145942,0.0321716,0.0122179,0,0,0,0,0,0,0
0,0.00797508,0.0189931,0,0,0,0,0,0,0.0442791,0.00719005,0.0438306,0.0294088,0,0,0.0269222,0,0.0305201,0.010321,0.0327609,0.0408418,0.00245186,0.00693256,0.0433246,0.0288969,0.0158666,0.0135126,0.0140815,0.0344873,0.0112702,0.0173184,0.0203461,0.0177232,0.0495794,0.0261289,0.0146908,0.00641786,0.0221957,0.00724666,0.0309953,0.0296795,0.00401741,0,0,0.0245575,0,0.00978836,0.00816967,0.053916,0.0548212,0.0202216,0.0137657,0.0396399,0.00527487,0.0215833,0.0348677,0.024443,0.0195882,0.0212004,0.0252775,0.0249607,0.0276177,0.0284749,0.0169029,0.00256655,0.00617984,0.0228245,0.00724741,0,0,0,0,0,0,0
1,0.00804942,0.0191618,0,0,0,0,0,0,0.0438842,0.00715193,0.0435752,0.0299078,0,0,0.0269899,0,0.0306232,0.0103866,0.0328676,0.0405506,0.0023022,0.00644004,0.0436424,0.0286564,0.0157365,0.0133342,0.0139094,0.0344308,0.0112754,0.0172178,0.0202199,0.0177391,0.0494077,0.0261481,0.0147449,0.00637739,0.0226594,0.0072171,0.0306327,0.0302119,0.00382021,0,0,0.0244652,0,0.00971296,0.00843368,0.0537407,0.0546624,0.0203535,0.013914,0.0400703,0.00497708,0.0215585,0.0343284,0.0239949,0.0195036,0.0209093,0.0257168,0.0247197,0.0275603,0.0298742,0.0169074,0.00248879,0.0062588,0.0230456,0.00684489,0,0,0,0,0,0,0
2,0.00795739,0.0193255,0,0,0,0,0,0,0.0434532,0.00712164,0.0433312,0.030382,0,0,0.0270697,0,0.0307088,0.0104253,0.0329455,0.0407,0.00219205,0.00605858,0.043968,0.0285138,0.0156141,0.013202,0.0137292,0.0343492,0.0112795,0.0171134,0.0201199,0.0177914,0.0492084,0.0262057,0.0147919,0.00644889,0.023115,0.00721256,0.0304443,0.030707,0.00364503,0,0,0.0243782,0,0.0096683,0.00852149,0.0535333,0.0544149,0.0204827,0.013997,0.0405005,0.00469309,0.0214852,0.0338853,0.0236157,0.0193724,0.0204705,0.0262942,0.0243202,0.0273054,0.0311162,0.0169382,0.00244044,0.00628383,0.023278,0.00638693,0,0,0,0,0,0,0
3,0.00780848,0.0194822,0,0,0,0,0,0,0.0430121,0.00714093,0.0431222,0.0308772,0,0,0.0272374,0,0.0307309,0.0105029,0.0330262,0.0407685,0.0021103,0.0057364,0.0443631,0.0283325,0.0155123,0.0130717,0.0135492,0.0342488,0.0112592,0.0170291,0.0200474,0.0178448,0.0487129,0.0263581,0.0148161,0.0064664,0.0236405,0.00719993,0.0304178,0.0312029,0.00352455,0,0,0.0240965,0,0.00959195,0.00853916,0.053541,0.0542918,0.0205778,0.0139963,0.0408869,0.00451563,0.0213309,0.033477,0.0231805,0.0191787,0.0200469,0.0269715,0.0239145,0.0270694,0.0322352,0.0168691,0.00236547,0.00624813,0.0234864,0.00593567,0,0,0,0,0,0,0
4,0.00780109,0.0196515,0,0,0,0,0,0,0.0427222,0.00716388,0.0427803,0.0313183,0,0,0.0274096,0,0.0307449,0.0106032,0.0330604,0.0406564,0.00206007,0.00545651,0.0447202,0.0282001,0.0154168,0.0129522,0.0133798,0.0341319,0.0112506,0.016904,0.0199873,0.0178737,0.0482596,0.0265112,0.0148285,0.00643966,0.0242499,0.00720955,0.0302848,0.0316621,0.00351323,0,0,0.0238688,0,0.00953798,0.00849344,0.0535082,0.0540061,0.020666,0.0139842,0.0411973,0.00430098,0.0211627,0.0330987,0.0227218,0.0190128,0.0195567,0.0276923,0.0234588,0.0268339,0.0334295,0.0167642,0.00234151,0.00628385,0.0236687,0.00545364,0,0,0,0,0,0,0
5,0.00787394,0.0198416,0,0,0,0,0,0,0.0424336,0.00717832,0.0425415,0.0316897,0,0,0.0275238,0,0.03074,0.0106902,0.0331077,0.0404692,0.00200076,0.00527876,0.045023,0.0280901,0.0152959,0.0127978,0.013244,0.0340277,0.0112513,0.0167685,0.0199385,0.017916,0.0479206,0.0266348,0.0148265,0.00642245,0.0250214,0.00724709,0.0301891,0.0320642,0.00347066,0,0,0.0236039,0,0.00952219,0.00848101,0.0533532,0.0536321,0.0208225,0.0140314,0.0416477,0.00407431,0.0209877,0.0327216,0.022279,0.0188379,0.0189782,0.0284614,0.0229254,0.0264234,0.0348075,0.0166434,0.00240902,0.00637317,0.0238364,0.00498153,0,0,0,0,0,0,0
6,0.00804217,0.0200281,0,0,0,0,0,0,0.0419943,0.00719925,0.042348,0.0319461,0,0,0.0275743,0,0.0307489,0.0107482,0.0331976,0.0403064,0.00194919,0.005089,0.0452145,0.028086,0.0151694,0.0126729,0.0130986,0.0339257,0.0112468,0.0166435,0.0198582,0.0179757,0.0475679,0.026769,0.0148247,0.00641478,0.0258002,0.00726764,0.0302067,0.0323276,0.00344717,0,0,0.0232973,0,0.00949372,0.00849728,0.0532217,0.0531277,0.0209712,0.0141014,0.04205,0.00387228,0.0207301,0.0323271,0.0218256,0.0185765,0.0183874,0.0293212,0.0223144,0.0259853,0.0363063,0.01656,0.00250516,0.00648454,0.0239966,0.00450806,0,0,0,0,0,0,0
7,0.00828404,0.0201501,0,0,0,0,0,0,0.0415826,0.00721778,0.0420914,0.0320345,0,0,0.0275655,0,0.0307947,0.0107594,0.033248,0.0401647,0.00198656,0.00489085,0.0453295,0.0280591,0.0150677,0.0125799,0.0129477,0.0337696,0.0112501,0.0165599,0.0197976,0.0180237,0.0472439,0.0268999,0.0148411,0.00638545,0.0264615,0.00725795,0.0303913,0.0323815,0.00355323,0,0,0.0229866,0,0.00941091,0.00845793,0.0531147,0.0528487,0.0211572,0.0142603,0.0422971,0.00362897,0.0203366,0.0318997,0.0213031,0.01833,0.0178918,0.0304004,0.0218095,0.0256812,0.0375187,0.0164134,0.00249474,0.00654677,0.0241305,0.00406754,0,0,0,0,0,0,0
8,0.0085791,0.0202758,0,0,0,0,0,0,0.0411513,0.00723386,0.0417902,0.0320526,0,0,0.0275414,0,0.0308259,0.010772,0.0332613,0.040012,0.00207544,0.00470534,0.0454701,0.0279642,0.0150145,0.0125132,0.012829,0.0335965,0.0112479,0.0164436,0.0196975,0.0180655,0.0469163,0.0270109,0.0148503,0.00639435,0.0270184,0.00724216,0.0307812,0.032358,0.00379747,0,0,0.022606,0,0.00929782,0.00840332,0.0529612,0.0525601,0.0213601,0.0144143,0.0424165,0.00344379,0.0199788,0.0314736,0.0207215,0.0180762,0.0174817,0.0316893,0.021365,0.0254713,0.0384573,0.016226,0.00241698,0.00657206,0.024289,0.00364527,0,0,0,0,0,0,0
