Timestep,C7,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHII,RTHIP,RTIB,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFR,x71,x72,x73,RTHIA,RTIBA
All Timesteps RMSE,0.0219994,0.0178082,0,0,0,0,0,0,0.0197785,0.0107075,0.0121773,0.00822471,0,0,0.0388383,0,0.0296617,0.0175306,0.0402595,0.0140921,0.0251059,0.0126396,0.00686894,0.0225246,0.00784163,0.0122618,0.0101429,0.0362468,0.00908995,0.0111034,0.00533673,0.0288595,0.0225216,0.0309765,0.0164593,0.013874,0.0178915,0.0128131,0.0128786,0.00820473,0.016949,0,0,0.0392707,0,0.0109963,0.0157893,0.0432927,0.022366,0.0245937,0.0105869,0.00983931,0.020226,0.00789706,0.0103995,0.00862455,0.0120318,0.0113712,0.0134154,0.0209124,0.0291596,0.010514,0.00871294,0.0154862,0.0174898,0,0,0,0,0,0,0,0.0385751,0.044775
0,0.0316852,0.0198897,0,0,0,0,0,0,0.0369815,0.00548341,0.0218774,0.0152404,0,0,0.0488777,0,0.0321547,0.020911,0.0423519,0.018239,0.0205305,0.0256126,0.0141225,0.0265444,0.0105553,0.021949,0.0189544,0.0408238,0.0199771,0.0245321,0.00931299,0.0197925,0.038682,0.0337764,0.0190663,0.0161347,0.0212566,0.0158963,0.0193174,0.0131606,0.0251781,0,0,0.0489327,0,0.00921379,0.0173698,0.0353726,0.0283863,0.0195848,0.0133857,0.0118043,0.0224394,0.0151481,0.0193942,0.00677495,0.0103536,0.0129821,0.01172,0.0266946,0.0417964,0.0109422,0.00701658,0.0143365,0.0265073,0,0,0,0,0,0,0,0,0
1,0.0321194,0.0203821,0,0,0,0,0,0,0.0397078,0.0052808,0.0227473,0.0152011,0,0,0.0486302,0,0.0324526,0.0207142,0.0424877,0.0217875,0.0201298,0.0259695,0.0146051,0.0273097,0.0110829,0.0220009,0.019073,0.040974,0.0200764,0.0246193,0.00903326,0.0199215,0.041908,0.0335854,0.0192114,0.0162921,0.0222193,0.0158392,0.0211662,0.0129868,0.0254415,0,0,0.050538,0,0.00947775,0.0178543,0.0354622,0,0.019781,0.0124224,0.0109984,0.0226784,0.0143821,0.0184593,0.00635195,0.01083,0.0137586,0.0129427,0.0293352,0.0427228,0.011157,0.00719199,0.0145018,0.0269869,0,0,0,0,0,0,0,0,0
2,0.0325053,0.0208342,0,0,0,0,0,0,0.0424998,0.00504861,0.0236335,0.0146912,0,0,0.0481509,0,0.0327098,0.020478,0.0427356,0.0254336,0.0196826,0.0265714,0.0148313,0.0278068,0.0113262,0.0215417,0.0191176,0.0414721,0.0201652,0.0245798,0.00876331,0.0202629,0.0456754,0.033249,0.0193488,0.0164897,0.0222919,0.0157067,0.0192794,0.0121714,0.025722,0,0,0.0518367,0,0.0097305,0.018489,0.0353143,0.028863,0.020176,0.0130519,0.0102001,0.0227759,0.0136746,0.0186708,0.00569362,0.0107648,0.0131915,0.0124623,0.028529,0.0435815,0.0112957,0.00740691,0.0149474,0.0274934,0,0,0,0,0,0,0,0,0
3,0.0321513,0.0209485,0,0,0,0,0,0,0.0460124,0.00505927,0.0237836,0.0159576,0,0,0.0484577,0,0.0327683,0.0206226,0.041442,0.024587,0.0188304,0.0263695,0.0164411,0.0280134,0.0104317,0.0204635,0.0186009,0.0410175,0.0192214,0.0240342,0.00803511,0.0213115,0.0513703,0.0339034,0.0193512,0.0165831,0.0323914,0.0156987,0.0274763,0.0158169,0.0251529,0,0,0.0535839,0,0.00982427,0.0193968,0.0410593,0.029685,0.0194765,0.0188898,0.0094161,0.0232322,0.0124189,0.0193385,0.0175796,0.0217988,0.0233575,0.0224679,0.0286012,0.0448382,0.0112962,0.00744046,0.0154551,0.0273743,0,0,0,0,0,0,0,0.0276511,0
4,0.0326784,0.021616,0,0,0,0,0,0,0.0483175,0.00520819,0.0239313,0.0130079,0,0,0.0476991,0,0.0332002,0.0204058,0.0429679,0.0199868,0.0188315,0.0269329,0.0146569,0.0279245,0.0112003,0.0199695,0.019011,0.042365,0.0193578,0.0244945,0.0082971,0.0218338,0.0558314,0.0329934,0.0196358,0.0168771,0.0229694,0.0154214,0.0190325,0.00996581,0.0258441,0,0,0.0546059,0,0.0101289,0.0199967,0.0351085,0.0295503,0.0205587,0.0127576,0.00875323,0.0229651,0.0120183,0.0183976,0.00494224,0.0109829,0.0132104,0.0133124,0.0305961,0.0453294,0.0114141,0.00772781,0.0159267,0.0279939,0,0,0,0,0,0,0,0,0
5,0.0322887,0.0219464,0,0,0,0,0,0,0.0525212,0.0050534,0.0237704,0.01412,0,0,0.0477515,0,0.0333243,0.0203166,0.0414937,0.0177952,0.0183633,0.0266554,0.0163126,0.0280584,0.0099924,0.0186795,0.0183221,0.0416373,0.0178341,0.0240011,0.00762843,0.023266,0.0625197,0.0333043,0.0196839,0.0168412,0.0297273,0.0154038,0.0270152,0.0136279,0.0253621,0,0,0.0564564,0,0.0101787,0.0207917,0.0405432,0.0311103,0.0196909,0.0183723,0.00861296,0.023301,0.0127254,0.0195905,0.0176911,0.0213522,0.0228827,0.0220416,0.0259769,0.0463497,0.0112985,0.00776871,0.0160885,0.0278871,0,0,0,0,0,0,0,0.0271182,0
6,0.0325524,0.0223988,0,0,0,0,0,0,0.0557312,0.00494737,0.0243594,0.0130547,0,0,0.0471025,0,0.0336587,0.0199909,0.0412903,0.0176719,0.0189453,0.0266905,0.0164256,0.0282453,0.00959403,0.0174926,0.0180746,0.0417713,0.01659,0.0238822,0.00718957,0.0243873,0.0672105,0.0327799,0.0198784,0.0169943,0.0290766,0.015174,0.0269071,0.0126009,0.0256823,0,0,0.0576004,0,0.0103891,0.0213431,0.04053,0.0315523,0.0199689,0.0179076,0.00832645,0.0231956,0.0128727,0.019668,0.0178416,0.0213393,0.0229229,0.0220359,0.0252701,0.046717,0.0114258,0.0080043,0.0164162,0.0283567,0,0,0,0,0,0,0,0.0271845,0
7,0.0326095,0.0226223,0,0,0,0,0,0,0.0581755,0.00498997,0.0251773,0.0117123,0,0,0.0467988,0,0.033907,0.0198493,0.0409828,0.0179099,0.0193984,0.0263253,0.0163031,0.0282112,0.00934055,0.0164645,0.0179869,0.041781,0.0153346,0.0236855,0.00669916,0.0255473,0.0706619,0.032427,0.0200336,0.0172025,0.0283744,0.015026,0.0268089,0.0115984,0.0257905,0,0,0.0585813,0,0.0106184,0.0218447,0.0406096,0.0319457,0.0201842,0.0173158,0.00802975,0.0230677,0.0128475,0.0197801,0.0178526,0.0213014,0.0229962,0.0220386,0.0247186,0.0472211,0.0115995,0.00823169,0.0168464,0.0285193,0,0,0,0,0,0,0,0.0273633,0
8,0.0326348,0.0226991,0,0,0,0,0,0,0.0597132,0.00508955,0.0259028,0.0102204,0,0,0.0466146,0,0.034167,0.0198349,0.0405128,0.0182652,0.0196638,0.0255854,0.0161064,0.0281332,0.0091515,0.0157106,0.0179271,0.0415706,0.0142323,0.0235374,0.00624855,0.0265976,0.0731549,0.0320885,0.0201968,0.017384,0.0276026,0.0149079,0.026756,0.0107195,0.0258312,0,0,0.0594353,0,0.0108192,0.0223281,0.0406962,0.0324652,0.020316,0.0167578,0.00778548,0.0228965,0.0127846,0.0198397,0.0178127,0.0212462,0.0230986,0.0220458,0.0242611,0.0476423,0.0117326,0.00845044,0.0171678,0.0285371,0,0,0,0,0,0,0,0.0276424,0
9,0.0325555,0.02248,0,0,0,0,0,0,0.0604942,0.00511278,0.0263932,0.00863592,0,0,0.0460376,0,0.0345127,0.0195868,0.0398279,0.0187887,0.0198821,0.0245073,0.015785,0.0280949,0.00912683,0.0151652,0.017896,0.0411468,0.0131962,0.0232621,0.00586852,0.0274298,0.0745295,0.0316233,0.0204148,0.0175886,0.0266807,0.0148205,0.0268312,0.00987296,0.0257431,0,0,0.0601185,0,0.0110077,0.0227111,0.0407243,0.0331504,0.0204937,0.0163572,0.00744189,0.0227357,0.0127088,0.0198662,0.0177519,0.0211806,0.0230821,0.0220849,0.0237677,0.0479671,0.0119105,0.00867227,0.0172348,0.028433,0,0,0,0,0,0,0,0.0279095,0
10,0.032469,0.0220326,0,0,0,0,0,0,0.0609233,0.00521044,0.0267624,0.00715284,0,0,0.0456218,0,0.0347209,0.0193886,0.0391474,0.0195726,0.0201114,0.0231111,0.0156263,0.0281677,0.0092597,0.0147845,0.0179623,0.0406242,0.0124149,0.0228109,0.00576052,0.0278938,0.0748806,0.0312158,0.0206047,0.0177838,0.0255608,0.0147962,0.027053,0.00931809,0.0256058,0,0,0.0607453,0,0.011193,0.0229874,0.0408063,0.0340287,0.0206501,0.0159245,0.00715906,0.0225208,0.0128404,0.0198883,0.0177407,0.0211729,0.0230856,0.0222011,0.0231329,0.0483181,0.0121372,0.00889964,0.0172061,0.0282886,0,0,0,0,0,0,0,0.0281812,0
11,0.0322432,0.0213404,0,0,0,0,0,0,0.0608209,0.00535004,0.0270064,0.00602538,0,0,0.0452756,0,0.0350147,0.0192614,0.0385057,0.0204503,0.0203117,0.0214388,0.0156281,0.0283252,0.00971593,0.0146132,0.017988,0.0400367,0.0118154,0.0219917,0.00588981,0.0279764,0.0743088,0.0308301,0.020819,0.0179345,0.0259964,0.0148659,0.0293057,0.00922652,0.0252613,0,0,0.0614142,0,0.0113342,0.0231787,0.0410137,0,0.0206809,0.0148585,0.00703358,0.0222662,0.0127619,0.0194748,0.0174181,0.0219211,0.0242346,0.0234408,0.0248739,0.0487031,0.0122439,0.00910319,0.0168802,0.0280251,0,0,0,0,0,0,0,0.0282171,0
12,0.031912,0.0207414,0,0,0,0,0,0,0.0599453,0.00550388,0.0271119,0.00492279,0,0,0.044819,0,0.0353337,0.0191191,0.0379457,0.0211024,0.0205699,0.0199111,0.0153984,0.028209,0.0102942,0.0146423,0.0179758,0.0395279,0.0114976,0.0210082,0.0062198,0.0277565,0.0727896,0.0304526,0.0210314,0.0181134,0.0262805,0.0148564,0.0275396,0.0087004,0.0248314,0,0,0.0620857,0,0.0115158,0.0234676,0.0411254,0.0340632,0.0209149,0.0151113,0.00659716,0.0219757,0.0126988,0.0199006,0.0174764,0.0215094,0.0234743,0.0227073,0.0238732,0.0490236,0.0121904,0.00931178,0.0165054,0.0276425,0,0,0,0,0,0,0,0.028664,0
13,0.0313888,0.0202381,0,0,0,0,0,0,0.0581048,0.00563946,0.0266473,0.00440774,0,0,0.044542,0,0.03555,0.0190228,0.0374186,0.0217029,0.0206765,0.0185461,0.015147,0.0278458,0.0108645,0.0147888,0.0179043,0.0390136,0.0112838,0.0197826,0.00670793,0.0273781,0.0702609,0.0302632,0.0211735,0.0182613,0.026194,0.014767,0.0276048,0.00843774,0.0241657,0,0,0.0626559,0,0.0117539,0.0238603,0.041241,0.0345065,0.0210874,0.0151067,0.00628393,0.0216392,0.0126901,0.0198109,0.0175054,0.0216496,0.0236352,0.0229032,0.0238495,0.0493374,0.0122724,0.00948199,0.0160539,0.0271091,0,0,0,0,0,0,0,0.028822,0
14,0.0309852,0.0197414,0,0,0,0,0,0,0.0554165,0.00579471,0.0260548,0.004494,0,0,0.0441145,0,0.0357539,0.0188996,0.0369771,0.0223346,0.020621,0.0174703,0.0149946,0.0276802,0.0114091,0.0149944,0.0178133,0.0385259,0.0112616,0.0185088,0.00728132,0.0269901,0.066776,0.0300663,0.0213129,0.0183912,0.0261445,0.014649,0.0277203,0.00830785,0.0235233,0,0,0.0632398,0,0.012014,0.0243028,0.0412951,0.0347071,0.0211868,0.0151886,0.00600453,0.0212005,0.0127347,0.0196851,0.0175908,0.0217633,0.0237423,0.0230479,0.0238648,0.049666,0.0124321,0.00964004,0.0154512,0.0267277,0,0,0,0,0,0,0,0.0289182,0
15,0.0306098,0.0192039,0,0,0,0,0,0,0.0522537,0.00588038,0.0254831,0.00486812,0,0,0.0436162,0,0.0361203,0.0186743,0.0366263,0.0230211,0.0206428,0.0166444,0.0150117,0.0277003,0.0120731,0.0153576,0.0178254,0.0380509,0.0112373,0.017218,0.00784684,0.0266838,0.0623956,0.0297838,0.0215162,0.0185752,0.0261293,0.0146584,0.0278386,0.00825152,0.022873,0,0,0.0637947,0,0.0122007,0.0245718,0.041282,0.0348745,0.0212419,0.0152718,0.00570941,0.0209616,0.0128648,0.0195807,0.0176539,0.0218627,0.0237711,0.0231334,0.0239143,0.050105,0.0125378,0.00974447,0.0147013,0.0264602,0,0,0,0,0,0,0,0.0289981,0
16,0.0302479,0.0185531,0,0,0,0,0,0,0.0485014,0.00599278,0.0246488,0.00523925,0,0,0.0433537,0,0.0363854,0.0185731,0.0363828,0.0236496,0.0204711,0.0159661,0.014937,0.0278036,0.0127705,0.0158382,0.0179377,0.0376136,0.0111191,0.0159438,0.00835397,0.0266281,0.0572998,0.0295577,0.0216598,0.0187275,0.0262089,0.0146758,0.0279398,0.00816391,0.0222104,0,0,0.0643969,0,0.0123954,0.0247322,0.0412471,0.0349961,0.0210292,0.0151236,0.00529376,0.0210123,0.0129982,0.0194144,0.0177001,0.0218657,0.0237296,0.0231387,0.0239703,0.0507208,0.0126087,0.00981963,0.0138688,0.0262816,0,0,0,0,0,0,0,0.0291263,0
17,0.0299382,0.0178503,0,0,0,0,0,0,0.0442104,0.0061617,0.0236788,0.00575371,0,0,0.0431801,0,0.036519,0.0185921,0.0362668,0.024296,0.0201231,0.0152346,0.0148481,0.0278526,0.0134736,0.0164871,0.0181052,0.037268,0.0107898,0.0147495,0.0087399,0.0268807,0.0515323,0.0293959,0.0217305,0.018841,0.026448,0.014686,0.0279991,0.00831929,0.0216174,0,0,0.0651218,0,0.0125688,0.0248591,0.0412125,0.0348243,0.0204468,0.0154776,0.00490648,0.0212656,0.0133331,0,0.0179964,0.0220543,0.0240361,0.0232043,0.0241359,0.0514684,0.0127377,0.00984384,0.0130919,0.0262224,0,0,0,0,0,0,0,0.0292104,0
18,0.0295676,0.0169932,0,0,0,0,0,0,0.04008,0.00627679,0.0229145,0.00615022,0,0,0.0426675,0,0.036826,0.0185227,0.0363253,0.0251855,0.0197445,0.0143802,0.014616,0.0277632,0.0141154,0.0172283,0.0181562,0.0370613,0.0103684,0.0137201,0.00910034,0.0274802,0.0456879,0.0290832,0.0218778,0.0190146,0.0264905,0.014678,0.0280687,0.00809165,0.0210676,0,0,0.0658698,0,0.0127577,0.0251715,0.0413103,0.0350396,0.0200801,0.0142785,0.00476089,0.0215873,0.0128752,0.0190514,0.0171401,0.0214279,0.023729,0.0227436,0.0242948,0.0520588,0.0128957,0.00985603,0.0123066,0.0261891,0,0,0,0,0,0,0,0.0294096,0
19,0.028779,0.0160361,0,0,0,0,0,0,0.035706,0.00639109,0.0219194,0.00566968,0,0,0.0419313,0,0.0373212,0.0182658,0.036439,0.0261027,0.020138,0.0136746,0.0152179,0.0271264,0.0151819,0.0183098,0.0184019,0.0368646,0.00991347,0.0127699,0.00937962,0.0282534,0.0399727,0.0287111,0.0221459,0.0192124,0.0263,0.0145973,0.0281587,0.00743894,0.0203107,0,0,0.0666162,0,0.012935,0.025543,0.041747,0.035407,0.0214092,0.0138147,0.00520266,0.0216265,0.0128853,0.0190352,0.0169139,0.0211999,0.0233829,0.0226127,0.0243414,0.0525144,0.0128948,0.00991849,0.0114061,0.0258979,0,0,0,0,0,0,0,0.0292777,0
20,0.0277106,0.0155244,0,0,0,0,0,0,0.0315975,0.00657136,0.0209145,0.00516947,0,0,0.0412404,0,0.0376704,0.0180396,0.0367228,0.0268205,0.0203346,0.0130867,0.0156098,0.0261222,0.0161398,0.0193582,0.018601,0.0367254,0.00968869,0.0119994,0.00968185,0.0289979,0.0344007,0.028456,0.0223054,0.0193293,0.026234,0.014565,0.028211,0.00692052,0.0193971,0,0,0.06785,0,0.0129816,0.0260265,0.0420261,0.0356178,0.0222682,0.0135665,0.00551272,0.0217715,0.0129132,0.0188672,0.0166195,0.0209238,0.0230162,0.022482,0.0243789,0.0532457,0.0127259,0.00989421,0.0107397,0.0252749,0,0,0,0,0,0,0,0.0291449,0
21,0.0344376,0.0371499,0,0,0,0,0,0,0.0266302,0.00576552,0.019889,0.0153621,0,0,0.0424831,0,0.0373896,0.0181391,0.0358859,0.0275547,0.0165945,0.0130794,0.0154709,0.0128325,0.0166698,0.0211966,0.0191524,0.0361275,0.00954958,0.0114437,0.0096987,0.02906,0.0272429,0.0331486,0.0217336,0.0183567,0.0298758,0.0158229,0.0281678,0.0176183,0.042667,0,0,0.0554727,0,0.0138565,0,0.0406869,0.0317944,0,0.0172826,0.0197123,0.047017,0.0124769,0.0192029,0.0178201,0.0228146,0.0242192,0.0236072,0.026191,0.0335369,0.0184516,0.0128503,0.0372004,0.0291692,0,0,0,0,0,0,0,0.0304793,0
22,0.0449862,0.0450182,0,0,0,0,0,0,0.0227478,0.0058372,0.0185799,0.0161429,0,0,0.0427999,0,0.0373356,0.0184064,0.0363438,0.0277307,0.0168793,0.0133278,0.0136218,0.0164383,0.0170164,0.0221003,0.0193267,0.0359202,0.00936119,0.0111394,0.00961311,0.02952,0.0222473,0.032603,0.0218992,0.0186283,0.0298311,0.0149092,0.0282924,0.0176821,0.0529766,0,0,0.0813157,0,0.0111559,0.0307231,0.0406335,0.0321239,0,0.0179736,0.0228357,0.0534541,0.0122575,0.0193493,0.0180109,0.0232423,0.0245208,0.0239121,0.026115,0.050508,0.0127231,0.00821995,0.044741,0.0367652,0,0,0,0,0,0,0,0.0300424,0
23,0.0478729,0.0483056,0,0,0,0,0,0,0.0194016,0.00612744,0.0174668,0.015793,0,0,0.0437605,0,0.0372651,0.0187671,0.0370956,0.0278647,0.0167807,0.0138358,0.0130797,0.019121,0.0172103,0.0225687,0.0193558,0.0356937,0.00920859,0.0110437,0.00959107,0.0300542,0.0182876,0.0324857,0.0218291,0.0189471,0.030163,0.0144748,0.0284418,0.0172172,0.0553264,0,0,0.0801024,0,0.0116626,0.0303248,0.0406088,0.0320469,0,0.0181998,0.0228664,0.055746,0.0121129,0.0192276,0.0181174,0.0234387,0.0247509,0.0240276,0.0263692,0.0494089,0.0129157,0.00884181,0.0477136,0.0387524,0,0,0,0,0,0,0,0.0298987,0
24,0.0289549,0.0152695,0,0,0,0,0,0,0.0167074,0.00667273,0.0165955,0.0151958,0,0,0.0433266,0,0.0375857,0.0187715,0.0380853,0.0276521,0.017225,0.013825,0.0130227,0.0268955,0.0169509,0.022452,0.0189565,0.0357701,0.00929918,0.0109938,0.00957665,0.0305516,0.0150839,0.0302648,0.0222232,0.0196603,0.0301077,0.0154914,0.0284255,0.0170307,0.0209677,0,0,0.0700292,0,0.0132907,0.0267351,0.0404938,0.032172,0,0.0187152,0.0204847,0.0282547,0.0119831,0.0191476,0.0183926,0.0237059,0.0248486,0.0241787,0.0264034,0.0574703,0.0134419,0.00943736,0.0134717,0.0262066,0,0,0,0,0,0,0,0.0296716,0
25,0.0297554,0.0169554,0,0,0,0,0,0,0.0140204,0.0068184,0.0155703,0.0150076,0,0,0.0438057,0,0.0376545,0.0189647,0.0385777,0.0271351,0.0170436,0.0142981,0.0128119,0.0271614,0.0166753,0.0228615,0.0189079,0.0356756,0.00955611,0.0108499,0.00929975,0.0309888,0.0117819,0.030374,0.0223173,0.0198982,0.0303664,0.0152997,0.0284703,0.0169589,0.0213433,0,0,0.0699537,0,0.0134552,0.0267877,0.0406321,0.0317331,0,0.0198722,0.0204031,0.0273094,0.0120758,0,0.018843,0.024248,0.0251101,0.0245581,0.0266716,0.0568629,0.0137162,0.0096831,0.014735,0.0266913,0,0,0,0,0,0,0,0.029485,0
26,0.0306007,0.0184429,0,0,0,0,0,0,0.0114481,0.00700522,0.014531,0.0149288,0,0,0.0442254,0,0.0377421,0.0191586,0.0390491,0.0262356,0.0170033,0.0149047,0.0128687,0.0274428,0.0162399,0.0232967,0.0189657,0.0357604,0.0099503,0.0108183,0.00906264,0.0313947,0.00865071,0.0303374,0.0224282,0.0201425,0.0305386,0.0150985,0.0286257,0.0167959,0.0219104,0,0,0.0697502,0,0.0136303,0.026728,0.0405363,0.0315227,0,0.0195098,0.0202676,0.0265563,0.0116424,0.0186451,0.0183687,0.0239483,0.0248727,0.0242768,0.0268962,0.0564092,0.013921,0.00991692,0.0157905,0.0273022,0,0,0,0,0,0,0,0.0295229,0
27,0.0314138,0.0196247,0,0,0,0,0,0,0.00944691,0.00720877,0.0134785,0.0148523,0,0,0.0446893,0,0.0378411,0.0193981,0.0394322,0.0247156,0.0171157,0.0155953,0.0129819,0.0277213,0.0166411,0.0238757,0.0190975,0.0359185,0.0101089,0.010774,0.00888298,0.0317991,0.00567016,0.0304235,0.0225585,0.0203933,0.0306536,0.0148469,0.028613,0.0167857,0.0224873,0,0,0.0694993,0,0.0138188,0.0266529,0.0401475,0.0311578,0,0.0198375,0.0199602,0.0260219,0.0115249,0.0182849,0.0183963,0.0240949,0.0249763,0.024335,0.0271913,0.0558559,0.0140283,0.0101376,0.0167823,0.0279257,0,0,0,0,0,0,0,0.0291449,0
28,0.0322907,0.0207497,0,0,0,0,0,0,0.00889845,0.0074404,0.0126578,0.0144167,0,0,0.0451189,0,0.0379207,0.0195868,0.0398163,0.0224506,0.0169004,0.0161353,0.0128156,0.0280788,0.0170262,0.0242194,0.0191526,0.0360804,0.0103151,0.0108346,0.00880254,0.0321852,0.0032089,0.0304637,0.0226745,0.0206453,0.0308462,0.0146139,0.0282728,0.0161164,0.0231253,0,0,0.0692127,0,0.0140228,0.026591,0.0400567,0.0307109,0,0.0197615,0.0196069,0.0257884,0.0112003,0.0178735,0.0182099,0.0240626,0.0248183,0.0242735,0.0274303,0.0554107,0.0140378,0.0103155,0.0178597,0.0286222,0,0,0,0,0,0,0,0.0287758,0
29,0.0306955,0.0191667,0,0,0,0,0,0,0.00772392,0.0082015,0.0123993,0.00552386,0,0,0.0421199,0,0.0390182,0.018804,0.0420787,0.0204992,0.0199523,0.0162126,0.0113695,0.0253508,0.016715,0.0229928,0.0180969,0.0370915,0.010929,0.0112547,0.00930958,0.0328709,0.00296639,0.0277576,0.0233574,0.0211962,0.0244365,0.0136287,0.0197961,0.00142814,0.0221767,0,0,0.0667409,0,0.0145773,0.0261885,0.0367706,0.0345246,0.0229217,0.00656496,0.00539004,0.0207939,0.0107874,0.0152202,0.00555084,0.0115987,0.0124616,0.0170646,0.035446,0.0521763,0.014497,0.0116811,0.0144955,0.0278856,0,0,0,0,0,0,0,0,0
30,0.0310869,0.0202852,0,0,0,0,0,0,0.00766683,0.00823648,0.0121963,0.00559577,0,0,0.0425382,0,0.0391326,0.0189708,0.0424749,0.0187349,0.0201216,0.0168747,0.0111465,0.0253401,0.016651,0.0234444,0.0179952,0.0371607,0.0113222,0.0114527,0.00924224,0.0330562,0.00258904,0.0279923,0.0234555,0.0213794,0.0243836,0.0135301,0.020045,0.00160194,0.0225082,0,0,0.066662,0,0.0146508,0.0261318,0.0366194,0.0344678,0.0228909,0.0062577,0.00568357,0.0207822,0.0108375,0.015052,0.0058026,0.0114955,0.0123617,0.0169293,0.0352296,0.0517643,0.014609,0.0118235,0.0157364,0.0281416,0,0,0,0,0,0,0,0,0
31,0.0313945,0.0212446,0,0,0,0,0,0,0.00828029,0.00822187,0.0121226,0.00549289,0,0,0.0429075,0,0.0392745,0.0190764,0.0428579,0.0172317,0.0201613,0.0175008,0.0107174,0.0253955,0.0167265,0.0237735,0.0180007,0.0371384,0.0116203,0.0116545,0.00922048,0.0330971,0.00419952,0.0282593,0.0235693,0.0215602,0.0242967,0.0133963,0.0201061,0.00153168,0.0227902,0,0,0.0664567,0,0.014729,0.0260577,0.0364834,0.0341949,0.0228448,0.00611892,0.00591803,0.0208775,0.0108733,0.0146708,0.00573381,0.0113266,0.012207,0.016698,0.0350757,0.0514374,0.0146426,0.0119252,0.0168062,0.028276,0,0,0,0,0,0,0,0,0
32,0.0316252,0.0220454,0,0,0,0,0,0,0.00826786,0.00836602,0.0117041,0.00532081,0,0,0.0433968,0,0.0392362,0.0192642,0.0431144,0.015965,0.0201413,0.0180001,0.0103335,0.0254217,0.0167835,0.0239793,0.0179104,0.0371109,0.0118119,0.0117529,0.009069,0.0329369,0.00674636,0.028586,0.0235848,0.0217155,0.0242386,0.0132746,0.0200441,0.00146071,0.022983,0,0,0.0661942,0,0.0147906,0.0259437,0.0363113,0.0339599,0.02271,0.00611247,0.00613541,0.0210126,0.0109034,0.0142733,0.00566723,0.0111632,0.011991,0.0165071,0.0349905,0.0510706,0.0146605,0.0120191,0.0177263,0.0283245,0,0,0,0,0,0,0,0,0
33,0.0317761,0.0227181,0,0,0,0,0,0,0.00772508,0.00848713,0.0105522,0.00503182,0,0,0.0437798,0,0.0392947,0.0194258,0.0430702,0.0143856,0.0202508,0.0174878,0.0100748,0.0253767,0.0159985,0.0231009,0.0169769,0.0372468,0.0114494,0.011276,0.00852531,0.0326728,0.00765741,0.0288365,0.0236548,0.0218554,0.0241669,0.0132163,0.0200098,0.00151398,0.0231042,0,0,0.0658066,0,0.0148176,0.0257793,0.0360888,0.0337758,0.0226657,0.00603521,0.00623951,0.0211274,0.0109242,0.0140533,0.00578842,0.0110303,0.011856,0.0163331,0.0348,0.0507598,0.014672,0.0121283,0.0184494,0.0282793,0,0,0,0,0,0,0,0,0
34,0.0319532,0.0234103,0,0,0,0,0,0,0.00769629,0.00857042,0.00924245,0.00467018,0,0,0.0440979,0,0.0394423,0.0195669,0.0429989,0.0128085,0.0204892,0.0168533,0.00987128,0.0254027,0.0150888,0.0221303,0.0160253,0.0374378,0.0111344,0.011054,0.00816891,0.0324916,0.00741116,0.0290301,0.023772,0.0219962,0.0239696,0.0132314,0.01998,0.00195192,0.0232765,0,0,0.0653696,0,0.0148182,0.0256741,0.0358472,0.0336297,0.0227277,0.00608409,0.00627469,0.0213009,0.0108443,0.0141782,0.00606251,0.0109059,0.0117956,0.0161057,0.0345077,0.0504116,0.0146723,0.0122526,0.0191365,0.028256,0,0,0,0,0,0,0,0,0
35,0.0321021,0.023892,0,0,0,0,0,0,0.00802654,0.00871277,0.00814676,0.00431881,0,0,0.0444941,0,0.039498,0.0198224,0.0430594,0.0114731,0.020826,0.0161267,0.0095527,0.0254202,0.0144861,0.0212869,0.0151578,0.0378631,0.0108886,0.010823,0.00791192,0.0324745,0.00719423,0.0292693,0.0238319,0.0221424,0.0238044,0.0131489,0.0200347,0.0025673,0.0233972,0,0,0.0648446,0,0.0148298,0.025568,0.0356406,0.0334202,0.0228484,0.00600446,0.00622899,0.021447,0.0108932,0.0140244,0.00648837,0.010786,0.0117436,0.0157995,0.0342093,0.0500021,0.0146587,0.0123444,0.0196271,0.0281834,0,0,0,0,0,0,0,0,0
