Timestep,C7,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHII,RTHIP,RTIB,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFR,x71,x72,x73,RTHIA,RTIBA
144,0.0207128,0.0170764,0,0,0,0,0,0,0.0132046,0.0112183,0.0142619,0.00194611,0,0,0.0261606,0,0.0219359,0.0115543,0.038399,0.015535,0.0263857,0.00739213,0.00701951,0.0149414,0.00267824,0.00327853,0.00422783,0.0351113,0.00877176,0.00990405,0.00604244,0.0305901,0.013496,0.0177771,0.0101747,0.00844494,0.0118289,0.014462,0.00650142,0.00311406,0.0131904,0,0,0.0312719,0,0.0146757,0.0117413,0.0424503,0.0101918,0.025291,0.00789278,0.00877288,0.0216528,0.00605601,0.00702079,0.00794711,0.00301232,0.000875168,0.00291317,0.0106684,0.0262077,0.0116117,0.0100512,0.0159577,0.0156231,0,0,0,0,0,0,0,0.0383506,0.0443385
145,0.020526,0.0172812,0,0,0,0,0,0,0.013103,0.0108391,0.0142479,0.00191395,0,0,0.0262255,0,0.0223245,0.0111542,0.0383753,0.0154681,0.0263191,0.00721251,0.00724197,0.0155943,0.0026859,0.00331388,0.0043128,0.0350533,0.00884941,0.00992683,0.00603029,0.0305989,0.0134825,0.0180246,0.0104134,0.0082552,0.0118723,0.014215,0.00642579,0.00308934,0.0131208,0,0,0.0313574,0,0.014264,0.0113639,0.0425264,0.0101796,0.0253153,0.00782636,0.00894018,0.0214044,0.00609529,0.00695468,0.00786979,0.00295888,0.000875609,0.00290076,0.0107383,0.0259464,0.0108126,0.00941294,0.0160162,0.015476,0,0,0,0,0,0,0,0.0383594,0.044308
146,0.0202235,0.0173239,0,0,0,0,0,0,0.0131216,0.0107356,0.0142455,0.00193853,0,0,0.0259618,0,0.0224714,0.0108624,0.0383494,0.0154106,0.0263645,0.00719418,0.00728614,0.0161059,0.00272408,0.00337002,0.00439393,0.0350052,0.00889225,0.00994263,0.00601179,0.0306042,0.0135269,0.0179499,0.0105185,0.00808555,0.0118739,0.0140853,0.00637473,0.00303782,0.0129391,0,0,0.0314434,0,0.0139511,0.0111109,0.0425689,0.010206,0.0253479,0.00770215,0.00897948,0.0210499,0.00612834,0.0068599,0.00779964,0.00288463,0.000888111,0.00287475,0.0107454,0.0256859,0.0100731,0.00887783,0.0158981,0.0152011,0,0,0,0,0,0,0,0.0383643,0.0443275
147,0.019942,0.0172075,0,0,0,0,0,0,0.0131754,0.0107697,0.014256,0.00192478,0,0,0.0255128,0,0.0225475,0.0106813,0.0383053,0.0153063,0.0263673,0.00742192,0.00724307,0.0164818,0.00273459,0.00341437,0.00438542,0.0349347,0.00888216,0.00993989,0.00601766,0.0306289,0.0135496,0.0177673,0.0105599,0.00785361,0.0118073,0.0140142,0.00635079,0.00303354,0.0127199,0,0,0.031418,0,0.0136999,0.0112593,0.0425947,0.0101799,0.0253529,0.00779397,0.00896166,0.0207196,0.00611751,0.00693487,0.0077587,0.00280664,0.000892781,0.00283757,0.0107552,0.0255347,0.00949411,0.00837751,0.0158312,0.0149235,0,0,0,0,0,0,0,0.0383657,0.0443083
148,0.0197298,0.0170999,0,0,0,0,0,0,0.0132773,0.010925,0.0142922,0.00187636,0,0,0.0252224,0,0.022502,0.0104331,0.0382985,0.0152671,0.0263611,0.00755954,0.00721771,0.0168106,0.00272309,0.00344759,0.00439034,0.0349359,0.00884275,0.00996896,0.00605157,0.0306362,0.0135624,0.0176722,0.0105161,0.007525,0.0117625,0.0139567,0.00620894,0.00304884,0.0125412,0,0,0.0319666,0,0.013563,0.0116067,0.0426217,0.0100435,0.0253368,0.00790495,0.0089411,0.0204538,0.00614387,0.00702953,0.007788,0.00280404,0.00087748,0.00279159,0.0107967,0.0253016,0.00913387,0.00803557,0.0157735,0.0146997,0,0,0,0,0,0,0,0.0383833,0.0442945
149,0.0195606,0.0170069,0,0,0,0,0,0,0.0133617,0.011122,0.0143584,0.00202714,0,0,0.0251114,0,0.0223022,0.0102824,0.0382711,0.0152497,0.0263116,0.00761531,0.00726501,0.0169909,0.00270392,0.0034826,0.00445198,0.034935,0.00897723,0.0100455,0.00607276,0.0306358,0.0136448,0.0176896,0.0103792,0.00706498,0.0117049,0.0139768,0.00602391,0.00306295,0.0123891,0,0,0.0323453,0,0.0135311,0.0119214,0.0426743,0.00986987,0.0253351,0.0078693,0.00897484,0.0202355,0.00621752,0.00709899,0.00785486,0.002824,0.000854011,0.00276352,0.0108502,0.0250812,0.0089243,0.00787164,0.015754,0.0145162,0,0,0,0,0,0,0,0.0383957,0.0442756
150,0.0193762,0.0168636,0,0,0,0,0,0,0.0135058,0.011319,0.0144602,0.00212938,0,0,0.0251063,0,0.0220345,0.0105396,0.0382731,0.0152272,0.0263486,0.00764443,0.00727114,0.016928,0.00264665,0.00343947,0.00447865,0.0350178,0.00924629,0.0101141,0.00610343,0.030609,0.0138082,0.0176261,0.0102329,0.00690794,0.0117816,0.014041,0.00614964,0.00304742,0.0121567,0,0,0.0322476,0,0.0135229,0.0120286,0.0427221,0.010081,0.0253434,0.00747794,0.00899184,0.0200963,0.0062133,0.00698917,0.00777159,0.00264721,0.00078362,0.00270815,0.0107282,0.0248308,0.00891617,0.00768941,0.0156651,0.0143514,0,0,0,0,0,0,0,0.0383956,0.0443546
151,0.0191913,0.0166268,0,0,0,0,0,0,0.0136983,0.0115335,0.0145678,0.00206733,0,0,0.0253812,0,0.0219531,0.0111047,0.0382751,0.015248,0.0264613,0.00767823,0.00718469,0.0168936,0.00267912,0.00336695,0.00448684,0.0351138,0.00928486,0.0101677,0.00612827,0.0305901,0.0140136,0.0176748,0.010179,0.00698746,0.0117694,0.0140579,0.00622424,0.00293884,0.0119629,0,0,0.0318896,0,0.013403,0.0118578,0.0427139,0.0101888,0.0253454,0.00732788,0.00895069,0.0199715,0.0061929,0.00698023,0.00771108,0.00253067,0.000720304,0.0026708,0.010622,0.0245507,0.008872,0.00748193,0.0155248,0.0142251,0,0,0,0,0,0,0,0.0383876,0.0444202
152,0.0189888,0.0162552,0,0,0,0,0,0,0.0137529,0.0116823,0.0146018,0.00225029,0,0,0.0258381,0,0.0220203,0.0114504,0.0382508,0.015154,0.0263941,0.00777139,0.006964,0.017105,0.00273578,0.00341305,0.00455495,0.0350904,0.00907138,0.0101927,0.00613261,0.030615,0.0141203,0.0179334,0.010254,0.00704677,0.0116609,0.0141326,0.0061522,0.0028844,0.0118006,0,0,0.0312502,0,0.0132386,0.01141,0.0427034,0.0100399,0.0253105,0.0074532,0.0088119,0.0198301,0.00616436,0.00705493,0.00771554,0.00255439,0.000676157,0.00262158,0.0106578,0.0239839,0.00869418,0.00727995,0.0152374,0.0141282,0,0,0,0,0,0,0,0.0383629,0.0444401
153,0.0187186,0.0158683,0,0,0,0,0,0,0.0136023,0.0117972,0.01458,0.00234806,0,0,0.0262304,0,0.0220881,0.0113343,0.0382268,0.015097,0.0262802,0.00781495,0.00673316,0.0174959,0.0027537,0.00347843,0.00463741,0.035005,0.00899122,0.0101904,0.00613029,0.0306246,0.0140423,0.0183933,0.0103102,0.00695603,0.0116283,0.0142571,0.00606898,0.00291659,0.0116441,0,0,0.0305943,0,0.0130608,0.0108025,0.0427089,0.0097967,0.0252738,0.00756859,0.00865541,0.0196297,0.00623607,0.00715658,0.00776785,0.00269915,0.000703423,0.0025962,0.0107619,0.0231082,0.00857091,0.00715049,0.0147658,0.0139903,0,0,0,0,0,0,0,0.038373,0.0444511
