Timestep,C7,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFR,x71,x72,x73,x74
All Timesteps RMSE,0.0239856,0.0179957,0,0,0,0,0,0,0.014092,0.00907151,0.0106378,0.00754314,0,0,0.026065,0,0.0276006,0.0137635,0.0397845,0.0128748,0.0258391,0.00950392,0.00985428,0.0223653,0.00903259,0.00959294,0.00939491,0.0385296,0.00758622,0.00899158,0.0050836,0.0285855,0.015824,0.0199646,0.0141747,0.0111921,0.0165774,0.0130381,0.00972454,0.00796674,0.0183544,0,0,0.0364169,0,0.0105423,0.0143042,0.0436822,0.0183576,0.026925,0.00992005,0.0110762,0.0194382,0.0110811,0.0313803,0.00972623,0.0110677,0.00828669,0.0413571,0.00748847,0.00985137,0.0174856,0.0291307,0.00897692,0.00770439,0.015677,0.0186622,0,0,0,0,0,0,0,0
0,0.00825263,0.00489552,0,0,0,0,0,0,0.0175311,0.0093697,0.00582585,0.0062387,0,0,0.0364289,0,0.0265743,0.0172658,0.042434,0.00661546,0.0257021,0.00530142,0.0119531,0.0239102,0.00870033,0.00758271,0.00931322,0.0376072,0.00234612,0.00310795,0.000368389,0.0266526,0.0238787,0.036042,0.0140125,0.00817588,0.0200525,0.0134926,0.0199211,0.00336218,0.0103574,0,0,0.0149932,0,0.00656076,0.00631161,0.0476293,0.0345107,0.0262414,0.00929075,0.0162033,0.0155335,0.0166682,0.0359245,0.0164927,0.0158987,0.0208524,0.0292913,0.0205531,0.0219087,0.0220779,0.012628,0.00214486,0.00704517,0.00369675,0.00692049,0,0,0,0,0,0,0,0
1,0.00892927,0.0053887,0,0,0,0,0,0,0.0169111,0.00935837,0.00557614,0.00672363,0,0,0.0365032,0,0.0265962,0.017318,0.0425584,0.00660741,0.0256602,0.00568419,0.012307,0.0233828,0.00872512,0.00778146,0.00930762,0.0375867,0.00250848,0.00278697,0.000561854,0.0266004,0.0232018,0.0358314,0.013977,0.00813788,0.0199894,0.0135681,0.0192178,0.00380784,0.0112548,0,0,0.0147434,0,0.00652689,0.00600664,0.0474299,0.0333939,0.0265037,0.0101496,0.0166623,0.015086,0.0162813,0.0357113,0.0161336,0.0158908,0.020191,0.030315,0.0197588,0.0213427,0.0219621,0.012733,0.00202449,0.00698373,0.00382959,0.00755218,0,0,0,0,0,0,0,0
2,0.00956049,0.00573367,0,0,0,0,0,0,0.0163101,0.00933335,0.00545982,0.00716455,0,0,0.0366768,0,0.0266153,0.0174364,0.042673,0.00673264,0.0255318,0.00607931,0.0126047,0.0229826,0.00875219,0.00798842,0.00933336,0.0374079,0.00271188,0.00226002,0.000703369,0.0265652,0.0226099,0.0356841,0.0139652,0.00816393,0.0197325,0.0136099,0.0184533,0.00416391,0.0120222,0,0,0.0147163,0,0.00650921,0.00579481,0.0473099,0.032289,0.0267113,0.0107804,0.0171616,0.0146817,0.0162129,0.0355718,0.0156648,0.015795,0.019519,0.0312712,0.0188949,0.0206975,0.0218844,0.0128855,0.00184538,0.00693723,0.00405739,0.00817562,0,0,0,0,0,0,0,0
3,0.0101836,0.00608605,0,0,0,0,0,0,0.0157133,0.00927827,0.00529902,0.00749166,0,0,0.0368498,0,0.0266514,0.0175762,0.042817,0.00676649,0.0254531,0.00652305,0.0128958,0.0225574,0.00873893,0.00825648,0.00933454,0.0372544,0.00276367,0.00198703,0.00082228,0.0265496,0.0220083,0.0355321,0.0139664,0.00816764,0.0193349,0.0136435,0.0175373,0.00454661,0.0127519,0,0,0.0147108,0,0.00653758,0.0056647,0.0472156,0.0310936,0.0269469,0.0112568,0.0176051,0.0143697,0.016231,0.035423,0.0151659,0.0157112,0.0187893,0.032335,0.0179887,0.0199524,0.0217336,0.0130434,0.00158015,0.006891,0.00451685,0.00877917,0,0,0,0,0,0,0,0
4,0.0107905,0.00637987,0,0,0,0,0,0,0.0149775,0.00921678,0.00501968,0.00786955,0,0,0.0370366,0,0.0266936,0.0176967,0.0429076,0.00660646,0.0252851,0.00693403,0.0132262,0.0221366,0.00881618,0.00853649,0.00936053,0.0369099,0.00272351,0.00166333,0.00101896,0.0266519,0.0211769,0.0354052,0.0139768,0.00816862,0.0188349,0.0136622,0.0165571,0.00493751,0.0134332,0,0,0.0147994,0,0.00658224,0.00553926,0.0471085,0.0298482,0.027189,0.0113172,0.0180742,0.0141394,0.0161975,0.0353009,0.0149114,0.015627,0.0180591,0.033517,0.0170553,0.0192114,0.0216368,0.0133088,0.00134444,0.00679061,0.00498069,0.00935239,0,0,0,0,0,0,0,0
5,0.0113136,0.00669334,0,0,0,0,0,0,0.0142353,0.00917183,0.00473982,0.00822308,0,0,0.0372476,0,0.0267322,0.0177791,0.0429502,0.00643801,0.0251127,0.00738756,0.0135806,0.0217419,0.00882508,0.0087812,0.00941606,0.0366636,0.00290014,0.00163967,0.00122308,0.0267321,0.0203001,0.0353209,0.0139852,0.00819538,0.0183604,0.0136821,0.0154728,0.00536558,0.0140239,0,0,0.0149699,0,0.00662617,0.00534607,0.0469977,0.0284732,0.0274165,0.0112196,0.0185484,0.013932,0.0161678,0.0351633,0.0148342,0.0155548,0.0172957,0.0346256,0.016053,0.0184375,0.0215496,0.0137078,0.00127069,0.00667165,0.00525326,0.00985135,0,0,0,0,0,0,0,0
6,0.0118302,0.00696143,0,0,0,0,0,0,0.0135901,0.00911627,0.00462735,0.00850762,0,0,0.037443,0,0.0267534,0.017836,0.0430175,0.00645283,0.024979,0.00793494,0.0139374,0.0213114,0.00887711,0.00914091,0.00952267,0.0365689,0.00310664,0.00170349,0.00139337,0.0267522,0.0195596,0.0351967,0.0139872,0.00820357,0.0180084,0.0136842,0.0142894,0.00585633,0.0146247,0,0,0.0152401,0,0.00658933,0.00512264,0.0469056,0.0268214,0.0276185,0.0115139,0.0190357,0.0136884,0.016045,0.0349751,0.0146785,0.0155007,0.0164254,0.0356399,0.0149366,0.0175042,0.0213952,0.0141638,0.00131195,0.00655381,0.00543432,0.0103384,0,0,0,0,0,0,0,0
7,0.0122926,0.00720396,0,0,0,0,0,0,0.0131384,0.00904507,0.00465919,0.00875122,0,0,0.0376273,0,0.0267878,0.0179247,0.0430867,0.00654826,0.0248834,0.0085106,0.0142269,0.0209321,0.00885545,0.00945052,0.00960983,0.0366742,0.00337682,0.00192475,0.00146572,0.0266985,0.0190927,0.0350575,0.0140057,0.00820353,0.0175635,0.0136758,0.013284,0.00628786,0.0152265,0,0,0.0155741,0,0.00652285,0.00487307,0.0468205,0.0251231,0.0277737,0.0121277,0.0195138,0.0134599,0.0159127,0.0349014,0.014488,0.0154055,0.0155786,0.0367155,0.0138497,0.0165755,0.0212166,0.01462,0.00140797,0.00642931,0.00553201,0.0107904,0,0,0,0,0,0,0,0
8,0.0127372,0.00724933,0,0,0,0,0,0,0.0127012,0.00900178,0.00471226,0.00891179,0,0,0.0378393,0,0.0268333,0.0180293,0.0431506,0.0065777,0.0248122,0.00900202,0.0144484,0.0205942,0.00891795,0.00974555,0.00970447,0.036682,0.00363686,0.00220219,0.00155729,0.0266681,0.0186781,0.0349553,0.0140326,0.00822442,0.0174341,0.013713,0.012244,0.00657215,0.0158093,0,0,0.0160226,0,0.00651582,0.00477888,0.0467296,0.0233398,0.0279433,0.0127225,0.0199332,0.0133159,0.015788,0.0347421,0.0142871,0.0153401,0.0147305,0.0376185,0.0126892,0.015645,0.0210674,0.0150484,0.00170234,0.00635167,0.00565081,0.0112474,0,0,0,0,0,0,0,0
9,0.0132829,0.0072585,0,0,0,0,0,0,0.0122302,0.00893225,0.00472069,0.00905522,0,0,0.0381704,0,0.0268862,0.0181698,0.0431978,0.00654444,0.0247452,0.00943225,0.0147153,0.0202227,0.00897687,0.0100406,0.0098014,0.0365319,0.00381128,0.00249242,0.00169927,0.0266715,0.0182239,0.0349087,0.014078,0.00825812,0.0176244,0.0137125,0.0112441,0.00677805,0.0164154,0,0,0.0165587,0,0.00648319,0.00479394,0.0466619,0.0218691,0.0281115,0.0128804,0.020384,0.0131963,0.0157121,0.0347234,0.0140825,0.0151622,0.0140026,0.038651,0.0115449,0.0148282,0.0210532,0.0153769,0.00191665,0.0062496,0.00558698,0.011805,0,0,0,0,0,0,0,0
