Timestep,BCBB,BCBF,BCBTT,BCFT,C7,CLAV,IMU_B,IMU_M,IMU_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x68,x69,x70,LFIN
442,0,0,0,0,0.00647715,0.0137222,0,0,0,0.0211869,0.0161916,0.0117231,0.0175112,0,0,0.0210605,0,0.0120081,0.0399503,0.022539,0.00846116,0.0197973,0.0370224,0.00890503,0.0125941,0.0151474,0.0106511,0.0136834,0.0193712,0.0210737,0.0168805,0.0180324,0.0188887,0.0125853,0.0143549,0.00884892,0.0218365,0.0052636,0.0238811,0.0245242,0.00743645,0,0,0.00895911,0,0.00999427,0.00272779,0.0442893,0.023849,0.0161284,0.0328247,0.0336461,0.00924354,0.0140986,0.0167586,0.0132147,0.014374,0.0268527,0.010659,0.0289189,0.0258346,0.0228064,0.00813798,0.0060745,0.0068535,0.0162917,0.00773166,0,0,0,0.0289476
443,0,0,0,0,0.00684135,0.0140111,0,0,0,0.0210187,0.0168375,0.0117568,0.0175881,0,0,0.0206202,0,0.0119137,0.0399717,0.0225136,0.00846955,0.0198293,0.0370939,0.00853951,0.0126425,0.0151492,0.0106588,0.013707,0.0194136,0.0211115,0.0169317,0.0179527,0.0187837,0.0118966,0.0142616,0.00913408,0.0218277,0.00528598,0.0239241,0.0247598,0.00790444,0,0,0.00916582,0,0.00988591,0.0026693,0.0443327,0.0240518,0.0160955,0.0327976,0.0336887,0.00979087,0.0141042,0.0166769,0.0132129,0.0143041,0.026852,0.0106797,0.0290112,0.0259988,0.0229283,0.00836806,0.00603918,0.00681433,0.0164841,0.00812594,0,0,0,0.0287675
444,0,0,0,0,0.00697296,0.0142897,0,0,0,0.0207677,0.0171776,0.0118212,0.0176934,0,0,0.0204083,0,0.0118036,0.0399968,0.022489,0.00850714,0.0198255,0.0372007,0.00823466,0.0126748,0.0151817,0.0106744,0.0137058,0.0194489,0.0211499,0.0169688,0.0178836,0.0186942,0.0114841,0.014206,0.00935351,0.0219803,0.0053469,0.0240819,0.024973,0.00819783,0,0,0.00931727,0,0.00979647,0.00229832,0.0443298,0.0242636,0.0161104,0.0327742,0.0337987,0.0105916,0.0140811,0.0166944,0.0131844,0.0142373,0.026976,0.0106765,0.0291723,0.0260949,0.0231655,0.00857173,0.00586328,0.00672458,0.016667,0.00832481,0,0,0,0.0286767
445,0,0,0,0,0.00689739,0.0144792,0,0,0,0.0206341,0.0173002,0.0118529,0.0178487,0,0,0.0202622,0,0.0116446,0.0400319,0.022479,0.00852259,0.0198232,0.0373439,0.00792125,0.0126887,0.0152198,0.0106622,0.0137189,0.0194827,0.0211702,0.0169977,0.017824,0.0186375,0.0112269,0.0141932,0.0095312,0.0224398,0.00542477,0.0244466,0.0250949,0.00833878,0,0,0.00938141,0,0.00969677,0.00171347,0.0442326,0.0246575,0.0160774,0.0329356,0.0339852,0.0112637,0.013992,0.0167888,0.0131139,0.0141264,0.0271601,0.0106702,0.0292242,0.0260969,0.0236734,0.00875205,0.00565118,0.00667322,0.0167945,0.00828876,0,0,0,0.0286127
446,0,0,0,0,0.00546472,0.0107695,0,0,0,0.0208334,0.0179862,0.0119455,0.0186203,0,0,0.0218059,0,0.0131246,0.0400482,0.0223712,0.00919927,0.0194599,0.039312,0.00514508,0.0126256,0.0154331,0.0108089,0.0137928,0.0196477,0.0213558,0.0170396,0.0177354,0.018736,0.012541,0.0140384,0.0105382,0.0228399,0.00849645,0.0248285,0.0259871,0.00772205,0,0,0.00938036,0,0.00913562,0.00530634,0.0442251,0.0250336,0.0165464,0.032956,0.035576,0.0176505,0.0139453,0.0169076,0.0131193,0.0139674,0.0273234,0.0105743,0.0287989,0.0260771,0.0241973,0.0094671,0.00127871,0.00235389,0.0138613,0.00885198,0,0,0,0.028295
447,0,0,0,0,0.00662284,0.0143485,0,0,0,0.0206586,0.0171252,0.0118878,0.0183193,0,0,0.0201196,0,0.0113204,0.0401155,0.0223951,0.00848629,0.0197249,0.0379628,0.00747538,0.0126986,0.0154032,0.0107359,0.0136724,0.0195653,0.0212539,0.0170532,0.0177304,0.0185689,0.0112125,0.0142062,0.0094093,0.022802,0.00543989,0.024598,0.0255525,0.00831597,0,0,0.00936756,0,0.00966609,0.00145568,0.0443601,0.0248425,0.0161846,0.0329965,0.0344486,0.0117187,0.0140642,0.0167917,0.0131638,0.0140926,0.0271666,0.0105784,0.0284551,0.0260162,0.0240148,0.00870766,0.0051949,0.00623226,0.0166855,0.00814866,0,0,0,0.0285435
448,0,0,0,0,0.00656331,0.0141685,0,0,0,0.0206748,0.0169825,0.0118688,0.0183232,0,0,0.0200913,0,0.0112018,0.04012,0.0223537,0.0084622,0.019667,0.0381444,0.00730393,0.0126559,0.0154681,0.0107439,0.013617,0.0195575,0.021279,0.0170124,0.017748,0.0186123,0.0113859,0.0142019,0.009389,0.022349,0.0054614,0.0241461,0.0255363,0.00825775,0,0,0.00928457,0,0.0097454,0.00191273,0.0444381,0.0243399,0.0162069,0.0327573,0.0346389,0.0116671,0.0141656,0.0168394,0.013227,0.0141233,0.0269409,0.0105034,0.0281371,0.0258368,0.0236328,0.00836206,0.00513463,0.00599684,0.0165277,0.00809843,0,0,0,0.0284035
449,0,0,0,0,0.00654447,0.0139879,0,0,0,0.0207289,0.0169078,0.0118159,0.0183235,0,0,0.0199945,0,0.0110261,0.0401031,0.0223352,0.00846413,0.0196054,0.0382724,0.00717511,0.0126127,0.0154946,0.0107231,0.0135698,0.0195365,0.0213567,0.016971,0.0177938,0.0187283,0.0113953,0.014181,0.00939495,0.0221739,0.00550066,0.0239885,0.0254905,0.00823265,0,0,0.00919221,0,0.00977401,0.00200044,0.0444161,0.0241659,0.0161999,0.0327943,0.0347692,0.0116374,0.0141878,0.0169098,0.0132647,0.0141819,0.0269708,0.010532,0.0280896,0.025841,0.0235849,0.00810745,0.00522151,0.00578993,0.0163097,0.00824193,0,0,0,0.0281624
450,0,0,0,0,0.00651329,0.0138548,0,0,0,0.0208239,0.0170144,0.0118145,0.0183102,0,0,0.0199239,0,0.0108623,0.040088,0.0223209,0.00845,0.0195491,0.0383393,0.0070601,0.0125635,0.0155415,0.0107168,0.0135477,0.019489,0.0213561,0.0169391,0.017842,0.0188051,0.0113575,0.014107,0.00945428,0.0223792,0.00557586,0.0240677,0.02545,0.00823682,0,0,0.00903797,0,0.00976647,0.00177397,0.0443793,0.0242516,0.0161937,0.0328046,0.0348025,0.0116472,0.0141777,0.0169454,0.0132631,0.0141986,0.0270633,0.0105858,0.0285988,0.025941,0.0237318,0.00804757,0.00546288,0.00561663,0.0160384,0.00827396,0,0,0,0.0278814
451,0,0,0,0,0.00642031,0.0137578,0,0,0,0.0209383,0.0173239,0.0118346,0.018257,0,0,0.0199102,0,0.0108781,0.0400656,0.0223127,0.00844978,0.0195795,0.0383677,0.00688424,0.0125199,0.015561,0.0107268,0.0135395,0.0194413,0.0212762,0.0169174,0.0178831,0.018823,0.0112686,0.0139853,0.00968873,0.0225749,0.00571997,0.024197,0.0254307,0.00823007,0,0,0.00903218,0,0.00968228,0.00161226,0.0443716,0.0244562,0.0161857,0.0326764,0.0347859,0.0116942,0.0141404,0.0168813,0.013266,0.0141746,0.027037,0.0106497,0.0294233,0.0260013,0.0238919,0.00813368,0.00567406,0.00562208,0.0156985,0.00829197,0,0,0,0.0276011
