Timestep,BCBB,BCBF,BCBTT,BCFT,C7,CLAV,IMU_B,IMU_M,IMU_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x68,x69,x70,LFIN
All Timesteps RMSE,0,0,0,0,0.0199579,0.0206527,0,0,0,0.0253067,0.0151145,0.0110716,0.0172153,0,0,0.0383373,0,0.0203099,0.0330999,0.0157803,0.0133523,0.0174915,0.0296112,0.0197618,0.00888853,0.0110416,0.0071247,0.0170031,0.0119226,0.0125409,0.0100932,0.0316395,0.0276579,0.0271507,0.0153129,0.010731,0.0140618,0.00966223,0.0185182,0.023004,0.0269322,0,0,0.0146345,0,0.0123023,0.0112805,0.0401936,0.018412,0.0201382,0.0284526,0.0260173,0.0359044,0.00798149,0.0114596,0.0101552,0.00965387,0.0210955,0.0411128,0.0200436,0.0215046,0.0156848,0.0158912,0.0145561,0.0097222,0.0237981,0.0221766,0,0,0,0.0291581
0,0,0,0,0,0.0338543,0.042427,0,0,0,0.00632271,0.014358,0.0169266,0.0192845,0,0,0.0785302,0,0.0487267,0.0283707,0.0200887,0.015387,0.0285103,0.0450693,0.0648308,0.00744013,0.00385881,0.00622363,0.0217759,0.00920999,0.00603256,0.00489299,0.0350815,0.00697075,0.0305248,0.0080868,0.0507761,0.037018,0.0153009,0.0134549,0.0278702,0.0267462,0,0,0.0155702,0,0.0119567,0.0182751,0.0394126,0.0175717,0.0219613,0.0399141,0.0385251,0.0624607,0.00770481,0.00902089,0.0127176,0.0128645,0.0213175,0.0548935,0.0178376,0.0217654,0.0358788,0.0289701,0.0517331,0.0264983,0.0427726,0.0200858,0,0,0,0
1,0,0,0,0,0.0332579,0.0421328,0,0,0,0.00638999,0.0145085,0.0170004,0.0192263,0,0,0.075279,0,0.0465157,0.0283759,0.0202829,0.0154321,0.0282762,0.0442968,0.0640073,0.00743413,0.00400777,0.00600971,0.0217772,0.00909268,0.00590178,0.0049258,0.0352243,0.00670187,0.0306684,0.00829959,0.0502261,0.0374495,0.015402,0.0138125,0.0277052,0.0261445,0,0,0.0157833,0,0.0121024,0.0211942,0.0394558,0.0179233,0.0222834,0.039956,0.0379554,0.0619832,0.00755066,0.00910492,0.0127971,0.0127187,0.0215327,0.0550981,0.0180699,0.0219189,0.0361328,0.0282095,0.0576666,0.0280179,0.0424981,0.0193651,0,0,0,0
2,0,0,0,0,0.0333615,0.0420374,0,0,0,0.00633705,0.0149894,0.0169819,0.0190193,0,0,0.0752053,0,0.0466535,0.0283845,0.0204178,0.0154561,0.0281305,0.0435386,0.0635418,0.00736534,0.00404491,0.0059506,0.0217193,0.00911207,0.00593385,0.00500448,0.0353642,0.00677247,0.0309247,0.00846124,0.0510281,0.0373531,0.0154519,0.0138722,0.0274929,0.0263634,0,0,0.0150807,0,0.0121678,0.0224683,0.0394361,0.0178407,0.0224579,0.0399275,0.0371852,0.0614639,0.00739126,0.00916583,0.012795,0.0126873,0.0216424,0.0552049,0.0181719,0.0220134,0.0360278,0.0279169,0.0616172,0.0290894,0.04244,0.019417,0,0,0,0
3,0,0,0,0,0.0334589,0.0420029,0,0,0,0.00628971,0.0154757,0.0169902,0.0187074,0,0,0.0750497,0,0.0466934,0.0284127,0.0205466,0.0153927,0.0279723,0.0430157,0.0628727,0.00726851,0.00407871,0.00588781,0.0216696,0.00908321,0.00593653,0.00504702,0.035473,0.00681516,0.0311692,0.00863049,0.0517284,0.0371632,0.0153079,0.0139212,0.0271799,0.0265824,0,0,0.0141881,0,0.0122035,0.0236073,0.0393581,0.0178616,0.0224938,0.0398945,0.0364458,0.0605785,0.00735053,0.00920216,0.0128002,0.0125991,0.0217637,0.0553105,0.0182579,0.0220931,0.0357923,0.0274451,0.0655854,0.0301004,0.0425149,0.019451,0,0,0,0
4,0,0,0,0,0.0335216,0.04204,0,0,0,0.00627266,0.0159141,0.0170095,0.0182687,0,0,0.0748198,0,0.0467112,0.0283672,0.0206766,0.0152467,0.027781,0.0424373,0.0619877,0.00712835,0.00416015,0.00577731,0.0215683,0.00903878,0.00591795,0.00509127,0.0355868,0.00690173,0.0313963,0.00876777,0.0523824,0.0365147,0.0149649,0.0139084,0.0266481,0.0267345,0,0,0.0131678,0,0.0123339,0.0245879,0.0392333,0.0175232,0.0227951,0.0397273,0.0357309,0.0595827,0.00730077,0.00923825,0.0127909,0.0124757,0.0219497,0.055512,0.0183754,0.0222157,0.0351274,0.0268803,0.0694022,0.0311569,0.0427304,0.0194891,0,0,0,0
5,0,0,0,0,0.0334367,0.0421848,0,0,0,0.00629684,0.0162784,0.0170933,0.0176621,0,0,0.0743817,0,0.0466557,0.0283354,0.020895,0.0150676,0.0276239,0.0415134,0.060762,0.00694513,0.00416698,0.00571727,0.0213986,0.00905079,0.0059455,0.00516807,0.0357678,0.00720671,0.0317208,0.00885035,0.0531733,0.0354556,0.0147338,0.013863,0.0259919,0.026656,0,0,0.0122294,0,0.0127096,0.0253185,0.039056,0.0171438,0.0230984,0.0395032,0.0348923,0.0586099,0.0073616,0.00922731,0.0128106,0.0125667,0.0220952,0.055742,0.0184967,0.0223161,0.0339225,0.026268,0.0721669,0.032216,0.0431491,0.0193759,0,0,0,0
6,0,0,0,0,0.0338234,0.0427637,0,0,0,0.00630242,0.016301,0.0162995,0.018305,0,0,0.0736107,0,0.0462542,0.0285852,0.0200978,0.0164403,0.0282619,0.0391605,0.0596609,0.00694346,0.00262499,0.00668258,0.0212054,0.00895087,0.00583599,0.00451215,0.0351989,0.00968973,0.0325724,0.00912797,0.054194,0.0311433,0.0145215,0.0123811,0.026651,0.0272338,0,0,0.0109812,0,0.013383,0.025857,0.0385223,0.01432,0.0249963,0.0394393,0.0324257,0.056814,0.00771473,0.00937639,0.0135791,0.0138066,0.0211906,0.0549438,0.0174102,0.0215555,0.029221,0.0249637,0.0739256,0.0332535,0.0436143,0.0200921,0,0,0,0
7,0,0,0,0,0.0296698,0.0397068,0,0,0,0.006769,0.00897874,0.0173719,0.0192329,0,0,0.0624372,0,0.0307926,0.028193,0.0208888,0.0154317,0.0282028,0.044389,0.0648061,0.00737909,0.00459707,0.00578995,0.021805,0.00933805,0.00610412,0.005243,0.0355459,0.00632665,0.0428889,0.0310037,0.0505584,0.0363317,0.0149171,0.0137662,0.0271052,0.0227926,0,0,0.0129253,0,0.0137099,0.0262325,0.039845,0.0167239,0.0224855,0.0403438,0.0379448,0.0586418,0.00697163,0.00929266,0.012815,0.0123554,0.0222523,0.0554356,0.018433,0.0227165,0.0356778,0.0270167,0.0759958,0.0344893,0.0413098,0.0160856,0,0,0,0.0722212
8,0,0,0,0,0.0295873,0.0393382,0,0,0,0.00678706,0.00923055,0.0174077,0.0190365,0,0,0.0622169,0,0.0307645,0.0282944,0.0210272,0.0152632,0.0281919,0.0439649,0.0641425,0.00735365,0.00447341,0.00578665,0.0218285,0.00935999,0.00613089,0.00528228,0.035577,0.00642961,0.0432196,0.0314389,0.0503652,0.035213,0.0150177,0.0134776,0.0269556,0.0228801,0,0,0.0126774,0,0.0138225,0.0265098,0.0398341,0.016147,0.0227905,0.0404384,0.0374541,0.0576115,0.0070287,0.00931812,0.0129387,0.0124328,0.0222884,0.0553638,0.018296,0.0227421,0.0346403,0.0266438,0.0776401,0.0351521,0.0411419,0.0163238,0,0,0,0.0734849
9,0,0,0,0,0.0296935,0.0390521,0,0,0,0.00676079,0.00925453,0.0174312,0.018843,0,0,0.0617666,0,0.0310694,0.0283842,0.0211373,0.015136,0.028127,0.0434642,0.063193,0.00732389,0.00427674,0.00579134,0.0218495,0.00933937,0.00612681,0.00529056,0.0355948,0.0065603,0.0430586,0.031634,0.0497788,0.0340466,0.0150597,0.0132432,0.0267882,0.0231417,0,0,0.0125024,0,0.0142801,0.0264725,0.0398451,0.0154528,0.0230296,0.0405389,0.0368277,0.0563049,0.0070912,0.00935047,0.013055,0.0125401,0.0223452,0.0553142,0.01819,0.0227947,0.033622,0.026264,0.0783344,0.0359726,0.0409691,0.0167325,0,0,0,0.0738133
10,0,0,0,0,0.02993,0.0387839,0,0,0,0.00671669,0.00923448,0.0174399,0.0186952,0,0,0.0609752,0,0.0315717,0.0284521,0.0212374,0.0151091,0.0280196,0.0429784,0.0619101,0.00728199,0.00414942,0.00576016,0.0218601,0.00926786,0.0060856,0.00526742,0.0355991,0.00668243,0.0423647,0.0314373,0.0491484,0.0329012,0.0150882,0.013094,0.0265937,0.0235316,0,0,0.0124467,0,0.0150856,0.0261195,0.0398449,0.0146399,0.0233334,0.0405934,0.0362683,0.05466,0.00710954,0.00939576,0.0131388,0.0126036,0.0223886,0.0553016,0.0181857,0.0228693,0.0326612,0.0259221,0.0781132,0.0369166,0.04073,0.0172814,0,0,0,0.0732825
11,0,0,0,0,0.0301066,0.0385486,0,0,0,0.00668736,0.0092195,0.0174463,0.0185472,0,0,0.0598957,0,0.0321528,0.0285204,0.0213176,0.0151131,0.027975,0.0424689,0.0602462,0.00726792,0.00406563,0.00577386,0.0218519,0.00924325,0.00606957,0.0052579,0.0356146,0.00683751,0.0412705,0.0310399,0.0480447,0.0318275,0.0152137,0.0130187,0.0264116,0.0238939,0,0,0.012485,0,0.0159208,0.0256863,0.0398591,0.0138937,0.0235667,0.0406565,0.03575,0.0529013,0.00716806,0.00942928,0.0132069,0.0126542,0.0224372,0.0552481,0.0182156,0.0229413,0.0317395,0.0256225,0.0774991,0.0377364,0.0405642,0.0178153,0,0,0,0.0723135
12,0,0,0,0,0.0302376,0.0383892,0,0,0,0.00664609,0.00915685,0.0174332,0.0183762,0,0,0.05856,0,0.0325914,0.0286438,0.0213693,0.0151466,0.0279078,0.0419301,0.05823,0.0072606,0.00412293,0.00577317,0.0218453,0.00919285,0.00604741,0.0052296,0.0356026,0.00696012,0.0399928,0.0307078,0.046378,0.0307887,0.0154654,0.0130491,0.026204,0.0241845,0,0,0.0125848,0,0.0167758,0.0251974,0.0398839,0.0133201,0.0237159,0.0407518,0.0352177,0.0510231,0.0072846,0.00946131,0.0132717,0.012696,0.0225274,0.0551787,0.0180774,0.0230217,0.0308576,0.0252995,0.0767825,0.0384157,0.0405134,0.0182694,0,0,0,0.0715926
13,0,0,0,0,0.0310011,0.0386083,0,0,0,0.00655527,0.0106606,0.0168772,0.0195786,0,0,0.0566872,0,0.0329854,0.0285979,0.0200828,0.0165372,0.0287292,0.0407218,0.0559018,0.00790095,0.00407791,0.0064051,0.0223293,0.00909526,0.0058144,0.00460247,0.0346497,0.00692709,0.0385763,0.0286363,0.0461089,0.0300238,0.0159892,0.0130038,0.0262084,0.0249691,0,0,0.0128901,0,0.01719,0.0244095,0.0405882,0.0124102,0.023563,0.0409075,0.0349202,0.0478223,0.00726808,0.00920482,0.0131768,0.0127552,0.0223382,0.0549013,0.0175879,0.0228682,0.0304419,0.0244413,0.0760767,0.0388966,0.0408031,0.0191868,0,0,0,0.0703485
14,0,0,0,0,0.0306242,0.0387689,0,0,0,0.00647198,0.0133158,0.0167465,0.0195202,0,0,0.0544267,0,0.0330362,0.0285495,0.0200957,0.016636,0.0285347,0.0403728,0.0526758,0.00786803,0.00413064,0.00631762,0.0223384,0.00896581,0.00573682,0.00456396,0.0346016,0.00702619,0.0371519,0.025481,0.0464614,0.0290723,0.0164479,0.0133972,0.0259273,0.0241687,0,0,0.0129905,0,0.0180394,0.0240355,0.0407399,0.0120218,0.0236668,0.0409251,0.0346153,0.0463494,0.00733667,0.00920746,0.0131719,0.0127201,0.0224148,0.0549575,0.0175646,0.0230385,0.0296758,0.0241076,0.0749335,0.039544,0.0411008,0.018684,0,0,0,0.0684123
15,0,0,0,0,0.0304443,0.039137,0,0,0,0.0063979,0.0159416,0.0166325,0.0192529,0,0,0.0521008,0,0.033012,0.0285365,0.0201958,0.016577,0.028225,0.0399138,0.0495329,0.00773885,0.00402731,0.00617322,0.0222841,0.0088166,0.00564633,0.00455689,0.0346459,0.00719621,0.0357795,0.0223899,0.0466159,0.0279318,0.0169091,0.0139396,0.0255438,0.0233246,0,0,0.0130402,0,0.0187496,0.0235816,0.040853,0.011765,0.0238104,0.0408756,0.0341063,0.0449036,0.00737555,0.00918945,0.0131501,0.0127696,0.0225405,0.055048,0.0176298,0.0232034,0.028707,0.0236251,0.0734501,0.0399239,0.0415929,0.0182332,0,0,0,0.0661093
16,0,0,0,0,0.0305056,0.0394954,0,0,0,0.00648265,0.0185271,0.0171224,0.0176848,0,0,0.0498809,0,0.0330681,0.0288468,0.0213825,0.015316,0.0273639,0.039849,0.0464696,0.00709727,0.00382631,0.00561102,0.0218067,0.00889107,0.00590856,0.00510624,0.0355462,0.00790441,0.0343997,0.0193706,0.0467029,0.0263962,0.0174647,0.0149056,0.0247587,0.0225091,0,0,0.0132499,0,0.0192199,0.0231499,0.0401775,0.0120141,0.0242401,0.0406938,0.0332672,0.0436329,0.00755761,0.00945463,0.0132768,0.012879,0.0230072,0.0554393,0.018036,0.0236678,0.027142,0.0232109,0.0717354,0.0400322,0.0419459,0.0175635,0,0,0,0.0635034
17,0,0,0,0,0.0311797,0.0405469,0,0,0,0.00674927,0.0208846,0.0160793,0.0188481,0,0,0.0476325,0,0.0326159,0.0287385,0.0201949,0.0171165,0.0278373,0.0384197,0.0443694,0.00714338,0.00284798,0.00640871,0.0215669,0.00870707,0.00571311,0.00447042,0.0348934,0.010034,0.0336544,0.0167129,0.0464485,0.0241293,0.0178697,0.0159825,0.0252567,0.0225351,0,0,0.0130777,0,0.0196018,0.0225303,0.0403224,0.0117808,0.0250145,0.040796,0.0318947,0.0413755,0.00751656,0.00938179,0.0136334,0.0135128,0.0224153,0.0547915,0.0173434,0.0232388,0.0249787,0.0221064,0.0697271,0.0396465,0.0425254,0.0175009,0,0,0,0.0606741
18,0,0,0,0,0.0313403,0.0407713,0,0,0,0.00666589,0.0232171,0.0161031,0.0192642,0,0,0.0457166,0,0.0323866,0.0289036,0.0201673,0.0171631,0.0278454,0.0389681,0.0424304,0.00741266,0.0031633,0.00635633,0.0218922,0.00859598,0.00559554,0.0043827,0.0346168,0.00934514,0.0328032,0.0143726,0.0462087,0.0238493,0.018324,0.0166284,0.0254128,0.0220384,0,0,0.0134017,0,0.0197457,0.0220826,0.0405778,0.0125406,0.0247569,0.0409616,0.0322982,0.0400864,0.00751642,0.00929057,0.0136005,0.0134578,0.0225182,0.0547215,0.0172869,0.023404,0.0252135,0.0217538,0.0675728,0.0391891,0.0425781,0.0169051,0,0,0,0.0578933
19,0,0,0,0,0.0314095,0.0409488,0,0,0,0.0067922,0.0253518,0.0160386,0.0192567,0,0,0.0440721,0,0.0320424,0.0290081,0.0203472,0.0171495,0.027569,0.0392268,0.0408649,0.00731948,0.00333392,0.00623288,0.0218198,0.00852433,0.00557382,0.00443116,0.0346798,0.00948468,0.0323731,0.0123771,0.0459433,0.023496,0.018581,0.0177556,0.0252281,0.0215336,0,0,0.0137893,0,0.0199166,0.0213739,0.0406816,0.0140926,0.0244926,0.0409887,0.0323756,0.0389292,0.00749417,0.00934506,0.0135518,0.0133634,0.02278,0.0548455,0.017434,0.0237777,0.0254389,0.0215563,0.0652178,0.038358,0.0426072,0.016474,0,0,0,0.0547663
20,0,0,0,0,0.0308951,0.0407509,0,0,0,0.00709493,0.0276575,0.0162284,0.0199498,0,0,0.0429608,0,0.0321047,0.0292092,0.0203077,0.0171384,0.0277925,0.0404412,0.0392457,0.00750784,0.00327138,0.00631868,0.0219292,0.00867208,0.005659,0.00439939,0.0345804,0.00972312,0.0319945,0.0106414,0.0460619,0.0234759,0.0189006,0.018144,0.0257424,0.0204945,0,0,0.0143909,0,0.0200871,0.0210397,0.0409636,0.0132474,0.02427,0.0414652,0.0334265,0.0386954,0.00758831,0.00935585,0.0136145,0.0135551,0.0228966,0.0546317,0.0173036,0.0239083,0.0260049,0.0218597,0.0627001,0.0376927,0.0422091,0.0157685,0,0,0,0.0516342
21,0,0,0,0,0.0303993,0.0406894,0,0,0,0.00727274,0.0300934,0.0162289,0.0203806,0,0,0.0418499,0,0.0321106,0.0292532,0.0202476,0.0170997,0.0276968,0.0412371,0.0380771,0.00753008,0.0030919,0.00629513,0.0218254,0.00864138,0.00563548,0.00434527,0.0345417,0.0101629,0.0318521,0.00953693,0.0462824,0.0232871,0.019107,0.0189436,0.025956,0.0194696,0,0,0.0151002,0,0.0200802,0.0206431,0.0411081,0.0132804,0.024169,0.0418563,0.0341025,0.0384338,0.00749172,0.0093529,0.0136757,0.013692,0.0231184,0.0545142,0.0172967,0.0241849,0.0264335,0.0222428,0.0601923,0.0368367,0.0420373,0.015173,0,0,0,0.0489566
22,0,0,0,0,0.0278999,0.0421296,0,0,0,0.00758381,0.0328695,0.0162081,0.0203848,0,0,0.0418206,0,0.0333095,0.0292928,0.0202602,0.0171983,0.0276536,0.0410494,0.037984,0.00742586,0.00272981,0.00639037,0.0217502,0.00863621,0.0056549,0.0043213,0.0345426,0.0107229,0.0323315,0.00919031,0.0471257,0.0228857,0.0186407,0.0201727,0.0257457,0.0171042,0,0,0.0149736,0,0.0198882,0.0190783,0.0411072,0.0139157,0.0242522,0.042145,0.0338543,0.0437973,0.0073595,0.00940695,0.0137627,0.0137379,0.0233503,0.0544534,0.0173467,0.0245311,0.0265669,0.0247116,0.0564733,0.035204,0.0437707,0.0123453,0,0,0,0.0469845
23,0,0,0,0,0.0277056,0.0423005,0,0,0,0.00767047,0.0352219,0.0163201,0.0204701,0,0,0.0407946,0,0.0333222,0.0293707,0.0204317,0.0171613,0.0276198,0.0413863,0.0374756,0.00731301,0.00252136,0.00642519,0.0217944,0.0086758,0.00570677,0.00438331,0.0345814,0.0107939,0.0324384,0.00957866,0.0474013,0.0226565,0.0186924,0.0206316,0.025666,0.0159387,0,0,0.0159664,0,0.019835,0.0188202,0.0410687,0.0141897,0.0241709,0.0421259,0.0340677,0.0428037,0.0074058,0.00936785,0.0136952,0.0137012,0.0235188,0.0545209,0.0174303,0.0247499,0.0266438,0.0244647,0.053171,0.0341191,0.0441432,0.0120121,0,0,0,0.0452847
24,0,0,0,0,0.0303291,0.0425035,0,0,0,0.00748664,0.0374593,0.0161274,0.0200563,0,0,0.0396542,0,0.0331025,0.0294353,0.0205592,0.0171904,0.0271203,0.0406052,0.0373315,0.00701019,0.00237408,0.00634287,0.0216476,0.00845432,0.00558783,0.00439071,0.0346573,0.0110708,0.032104,0.0103654,0.0476604,0.0224012,0.0187797,0.0201766,0.0250234,0.0182379,0,0,0.0163909,0,0.0202167,0.01587,0.0407461,0.0146307,0.0243032,0.0409855,0.0332712,0.0377469,0.00750835,0.00907394,0.0132514,0.0134274,0.0234088,0.0549366,0.0176842,0.0246568,0.0261407,0.0234427,0.0431723,0.0315988,0.0439726,0.0144321,0,0,0,0.0438439
25,0,0,0,0,0.0307154,0.0424259,0,0,0,0.0075126,0.0392119,0.0162494,0.0200292,0,0,0.0392687,0,0.0331531,0.0295239,0.0208146,0.0171619,0.0269551,0.0407792,0.0368809,0.00692993,0.00218297,0.00633667,0.0215895,0.00848931,0.0056259,0.00443199,0.0347095,0.0110757,0.0318481,0.0113435,0.0477272,0.0221675,0.0187478,0.0203419,0.0248148,0.0184815,0,0,0.0169662,0,0.0197755,0.0151357,0.0406252,0.0150604,0.0243458,0.0407521,0.033388,0.0358195,0.0075098,0.00897419,0.0130807,0.0134315,0.0236297,0.0551234,0.0178955,0.0248577,0.0260526,0.0228358,0.0390704,0.0298474,0.0437915,0.0148406,0,0,0,0.0427965
26,0,0,0,0,0.0309519,0.0421289,0,0,0,0.00758477,0.0403441,0.0164279,0.0199506,0,0,0.0390662,0,0.0330003,0.0296265,0.0211426,0.0170854,0.0267419,0.0409795,0.036338,0.00690483,0.00190629,0.00625905,0.0214648,0.00854133,0.00564977,0.00446538,0.0347706,0.0111022,0.0315987,0.0122421,0.0475352,0.0218051,0.0186315,0.0206735,0.0245966,0.018737,0,0,0.0174131,0,0.0192106,0.0144279,0.0405733,0.0156687,0.0243634,0.0406776,0.0335694,0.0340352,0.00752709,0.00885928,0.0129382,0.0133602,0.0239413,0.0553029,0.0180997,0.025133,0.025793,0.0221468,0.0352576,0.0279697,0.0433231,0.0152082,0,0,0,0.0419229
27,0,0,0,0,0.0312806,0.041826,0,0,0,0.00775929,0.0407425,0.0165715,0.0197964,0,0,0.0387736,0,0.0326719,0.0297224,0.0215181,0.0170038,0.0264746,0.0408436,0.0358992,0.00685206,0.00154879,0.00613034,0.0213951,0.00855209,0.00565802,0.00451361,0.0348322,0.0114248,0.031472,0.0127936,0.0469997,0.0212582,0.0184889,0.0207704,0.024282,0.0192066,0,0,0.0177792,0,0.0185418,0.0136073,0.0404658,0.0162078,0.0244736,0.0402321,0.0335453,0.0321774,0.00760188,0.00860239,0.0126444,0.0132416,0.0240804,0.0555338,0.0182443,0.0252516,0.0252695,0.021404,0.0309192,0.0259098,0.0427181,0.0157276,0,0,0,0.0411526
28,0,0,0,0,0.0316104,0.0414571,0,0,0,0.00807886,0.0404124,0.0167813,0.0196368,0,0,0.0385029,0,0.0321406,0.0297172,0.0219631,0.0169088,0.0262441,0.0406185,0.035472,0.00682283,0.00126026,0.00601884,0.0213819,0.00856125,0.00568579,0.00460307,0.0349097,0.0118346,0.0314834,0.0129964,0.0461273,0.0206727,0.0182635,0.0209055,0.0239558,0.0197682,0,0,0.0180576,0,0.0177996,0.0129326,0.0403513,0.0167798,0.0246231,0.0397429,0.0336194,0.0303941,0.00769018,0.00836672,0.0123488,0.0132083,0.0241875,0.0557668,0.0183753,0.0253156,0.0248229,0.0206528,0.0271415,0.0239365,0.0419427,0.016243,0,0,0,0.0405718
29,0,0,0,0,0.0319249,0.0410233,0,0,0,0.00848453,0.039356,0.0170281,0.0194657,0,0,0.0382067,0,0.0313848,0.0296985,0.0224159,0.0168033,0.0262028,0.0403823,0.0350668,0.00682065,0.00105658,0.00602569,0.0213943,0.00870728,0.00584162,0.00473937,0.0350106,0.0123455,0.0315469,0.0128864,0.0448307,0.0200295,0.0179429,0.021079,0.0236553,0.0203631,0,0,0.0182297,0,0.0170012,0.0123858,0.0402549,0.01746,0.0247926,0.0393233,0.033572,0.0286438,0.00776959,0.0082285,0.0120703,0.0132354,0.0242897,0.0559786,0.0184857,0.0253703,0.0244356,0.0199521,0.0238805,0.0221624,0.0410669,0.0167251,0,0,0,0.0400903
30,0,0,0,0,0.032425,0.0405581,0,0,0,0.00824778,0.0377011,0.0171443,0.0190688,0,0,0.0379622,0,0.0303976,0.0298381,0.0227046,0.0167354,0.0256396,0.0398436,0.0345716,0.00662996,0.00109397,0.00582832,0.0213086,0.0084437,0.00570742,0.00479192,0.0350651,0.0123291,0.0314617,0.0125614,0.0431541,0.0193987,0.0175321,0.0211508,0.0231217,0.021332,0,0,0.0182215,0,0.0162777,0.0117324,0.0400797,0.0183476,0.0249731,0.0385168,0.0331624,0.0267424,0.00778987,0.00795848,0.0116566,0.0129619,0.0242616,0.0563278,0.0186675,0.0253133,0.023827,0.0191912,0.0207533,0.0204035,0.0402054,0.0173671,0,0,0,0.0396518
31,0,0,0,0,0.0326218,0.0400272,0,0,0,0.0083236,0.0356192,0.017292,0.0189078,0,0,0.0378561,0,0.0292742,0.0299187,0.0229968,0.0166764,0.025475,0.0397122,0.0340886,0.00655209,0.00102587,0.00580558,0.0212923,0.00848376,0.00574604,0.00486881,0.035132,0.0124331,0.0315896,0.0120756,0.0410738,0.0186716,0.0171493,0.0214211,0.0228213,0.0217529,0,0,0.0183179,0,0.0156543,0.0113098,0.0400269,0.0189671,0.0251003,0.0382996,0.0331068,0.0253264,0.00778986,0.00777862,0.0114511,0.0128229,0.0244095,0.0565009,0.0187776,0.025439,0.0231691,0.0186366,0.018743,0.0190625,0.0393774,0.0176721,0,0,0,0.0390809
32,0,0,0,0,0.0329454,0.0395276,0,0,0,0.00833786,0.0331236,0.0173652,0.0187559,0,0,0.0378744,0,0.0281796,0.0298908,0.0232557,0.0166111,0.0253119,0.0396303,0.0336788,0.00644828,0.00102485,0.00575561,0.0212727,0.00851007,0.00576191,0.0049043,0.0352124,0.0125323,0.03164,0.0116362,0.0386686,0.017929,0.0167267,0.0216976,0.0225014,0.0223566,0,0,0.0183019,0,0.0150823,0.0107279,0.0399661,0.0197028,0.0251952,0.0381601,0.0330739,0.0238756,0.0077981,0.0075822,0.0113024,0.0127316,0.0246033,0.056646,0.0188973,0.0255744,0.0224584,0.0180011,0.0169791,0.0178117,0.0386389,0.0181041,0,0,0,0.038617
33,0,0,0,0,0.0333167,0.0390774,0,0,0,0.00825389,0.0302548,0.0174384,0.0186243,0,0,0.0380086,0,0.0272409,0.0298443,0.0235212,0.0165899,0.0252391,0.0395229,0.0332547,0.00634783,0.0011218,0.00574561,0.0212367,0.00859903,0.00584107,0.00495154,0.035338,0.0126388,0.0315894,0.0112954,0.0361008,0.0172923,0.0162973,0.022096,0.0221529,0.0230955,0,0,0.0182027,0,0.0145663,0.0100181,0.0398992,0.0205863,0.0252818,0.0380919,0.0330083,0.0223384,0.00780605,0.00740017,0.0112336,0.0126849,0.0248211,0.0567694,0.0190274,0.0257341,0.0219122,0.0172537,0.0155024,0.0166228,0.038019,0.018626,0,0,0,0.0384579
34,0,0,0,0,0.0336067,0.0386866,0,0,0,0.0081218,0.0272877,0.0175255,0.0185297,0,0,0.0383463,0,0.0263544,0.0297944,0.0237829,0.0165615,0.0251641,0.0394399,0.0328471,0.00627458,0.00109593,0.00574454,0.0212126,0.00868314,0.00593986,0.00499935,0.0354677,0.0126087,0.0315334,0.0112116,0.0336173,0.0167861,0.015904,0.0224233,0.0218151,0.0237279,0,0,0.0180404,0,0.0141647,0.00924684,0.0398424,0.0214358,0.0253604,0.0378882,0.0329568,0.0210109,0.00782637,0.00734426,0.0111928,0.0126233,0.024945,0.0568909,0.0191404,0.0258177,0.0214187,0.0164377,0.0142635,0.0155489,0.0374413,0.0191051,0,0,0,0.0383186
35,0,0,0,0,0.0337667,0.0382915,0,0,0,0.00802284,0.0244207,0.0176684,0.0184822,0,0,0.0388155,0,0.0254825,0.0296997,0.0240954,0.0164927,0.0251165,0.0393996,0.0324166,0.00622637,0.00115515,0.00573155,0.0211897,0.00879035,0.00606059,0.00510689,0.0355976,0.012478,0.0315164,0.011456,0.0311978,0.0163127,0.0154748,0.0225407,0.0215334,0.024223,0,0,0.0179039,0,0.0138165,0.00851846,0.0397784,0.0222469,0.0254261,0.0375267,0.0328841,0.0199631,0.00777831,0.00735465,0.0111569,0.0125045,0.0249495,0.0570103,0.0192247,0.0258172,0.0209007,0.0156131,0.0132859,0.0146491,0.0367855,0.0194849,0,0,0,0.0381401
