Timestep,BCBB,BCBF,BCBTT,BCFT,C7,CLAV,IMU_B,IMU_M,IMU_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x68,x69,x70
All Timesteps RMSE,0,0,0,0,0.0130013,0.0109806,0,0,0,0.0257809,0.0135914,0.0109741,0.0193856,0,0,0.0311755,0,0.0278829,0.0148911,0.032238,0.0123337,0.0130376,0.0174205,0.031437,0.0148091,0.00931863,0.0096642,0.0055471,0.0178512,0.0103147,0.00958388,0.00811813,0.0356793,0.0309259,0.020993,0.0152965,0.00691292,0.0148928,0.00823666,0.0174824,0.0257795,0.0121444,0,0,0.0145061,0,0.0128257,0.00873338,0.0410998,0.0185905,0.0201122,0.028866,0.0276838,0.0274493,0.00622302,0.0113098,0.0105273,0.00916824,0.0207725,0.044871,0.0177496,0.0216563,0.0193704,0.0141039,0.00962843,0.00706864,0.0122397,0.0139924,0,0,0
0,0,0,0,0,0.00545719,0.00409425,0,0,0,0.0367023,0.0104698,0.0139168,0.0242623,0,0,0.0223554,0,0.0314205,0.00856315,0.0293529,0.0126983,0.0135457,0.0213434,0.0393681,0.00957026,0.0112686,0.0109929,0.00166031,0.0242587,0.00951838,0.00857579,0.00731877,0.0374662,0.0430158,0.0112359,0.0162086,0.00492954,0.0114601,0.00596625,0.022592,0.0324401,0.00428495,0,0,0.00893718,0,0.0189681,0.00977277,0.0431351,0.0217274,0.0215757,0.0402529,0.0344734,0.0280452,0.00602271,0.00985044,0.0194366,0.0120808,0.0255715,0.0558848,0.0250928,0.0272007,0.0148706,0.0117693,0.016742,0.00700335,0.00190077,0.00723004,0,0,0
1,0,0,0,0,0.00551112,0.00401576,0,0,0,0.0366866,0.0105206,0.0139363,0.0242499,0,0,0.0222148,0,0.0313406,0.00851773,0.0293904,0.0127534,0.0135567,0.021335,0.0391966,0.00950714,0.0112818,0.0109932,0.00162637,0.0242351,0.00945039,0.0085483,0.00732104,0.0374869,0.0429718,0.0111931,0.0162059,0.0048695,0.0114546,0.00597245,0.0224942,0.0323934,0.00433269,0,0,0.00866096,0,0.0189343,0.0098109,0.0431259,0.0216507,0.0216424,0.03994,0.034382,0.027834,0.00603824,0.00988638,0.0191464,0.0119477,0.0253902,0.0559803,0.0250939,0.0271214,0.0147153,0.0116846,0.0168959,0.00700095,0.00183571,0.00760794,0,0,0
2,0,0,0,0,0.00556938,0.00393551,0,0,0,0.0366591,0.0105538,0.0139047,0.0242331,0,0,0.0220822,0,0.0312843,0.00849107,0.0293805,0.0127307,0.0136048,0.0213331,0.0390363,0.00948346,0.0112828,0.010955,0.00158768,0.0242113,0.00946422,0.00846013,0.00730515,0.0374996,0.0429293,0.0111486,0.0161995,0.00484623,0.0114963,0.00599715,0.022566,0.0323533,0.00432279,0,0,0.00840655,0,0.0189295,0.00984534,0.0431116,0.0217303,0.0216722,0.0398623,0.0342118,0.0276241,0.00600128,0.00984079,0.0189667,0.011911,0.0253651,0.0560532,0.0251692,0.0271555,0.0146174,0.011542,0.0168313,0.0069212,0.00174065,0.0073713,0,0,0
3,0,0,0,0,0.00556986,0.00382873,0,0,0,0.03668,0.0105491,0.0138496,0.024223,0,0,0.0219658,0,0.0312563,0.00846067,0.0293667,0.0126555,0.013648,0.0213465,0.038866,0.00951361,0.0112956,0.0108806,0.00156258,0.0241967,0.00951773,0.00839127,0.00730802,0.0375015,0.0429246,0.0110945,0.0161923,0.00483525,0.0115392,0.00600408,0.0226628,0.0323135,0.00429682,0,0,0.00820329,0,0.0189351,0.00983787,0.0431202,0.0218662,0.0217015,0.0398222,0.0340619,0.0274232,0.00606508,0.00979617,0.0187418,0.0118899,0.0253232,0.0561527,0.0252997,0.0271742,0.0145292,0.0114261,0.016802,0.00689005,0.00167804,0.00719959,0,0,0
4,0,0,0,0,0.00551802,0.00366751,0,0,0,0.0367571,0.0105346,0.0137956,0.0241941,0,0,0.0218464,0,0.0312133,0.00838537,0.0293771,0.0125954,0.0136391,0.0213899,0.0387327,0.009628,0.0113019,0.0108091,0.00153541,0.0242117,0.0095455,0.00834329,0.00731045,0.0374955,0.0430182,0.0110273,0.0161635,0.00483101,0.0115696,0.00598537,0.0226816,0.0322849,0.00429467,0,0,0.00805634,0,0.0189493,0.00982055,0.0431561,0.0219436,0.0217206,0.0396531,0.0339647,0.0272735,0.00620985,0.00982409,0.0184065,0.0118786,0.0250971,0.056263,0.0254247,0.0271192,0.014418,0.0113742,0.0168608,0.00691581,0.00164862,0.00727173,0,0,0
5,0,0,0,0,0.00544919,0.0035132,0,0,0,0.0367255,0.0105573,0.0136989,0.0241512,0,0,0.021692,0,0.0311391,0.00828037,0.0293383,0.0125347,0.0136757,0.021412,0.0386021,0.00966616,0.0112831,0.0107534,0.00152684,0.0241883,0.00955267,0.00828141,0.0073318,0.0375162,0.0430113,0.0109791,0.0161347,0.0048106,0.0115447,0.00600276,0.0227001,0.0321788,0.00430538,0,0,0.00787807,0,0.0189405,0.00985279,0.0431149,0.0220593,0.0217669,0.0395415,0.0338137,0.0270986,0.00615165,0.0097401,0.0181707,0.0117716,0.0249664,0.0563308,0.0254933,0.0271379,0.0141051,0.011279,0.0168954,0.0069798,0.00161183,0.00747507,0,0,0
6,0,0,0,0,0.00542088,0.00335683,0,0,0,0.0367134,0.0106032,0.0136079,0.0241202,0,0,0.0215308,0,0.031057,0.00816709,0.029295,0.0124627,0.0137213,0.0214069,0.0384803,0.00974213,0.011222,0.0107295,0.00157401,0.0241468,0.00953959,0.00826051,0.00737482,0.0375456,0.0430343,0.010954,0.0161277,0.00472393,0.0115046,0.00601769,0.0226951,0.0320907,0.00430252,0,0,0.00772917,0,0.0189486,0.00985814,0.0430751,0.0221369,0.0217831,0.0393791,0.033672,0.0269289,0.00614859,0.00968845,0.0178599,0.0116075,0.0248393,0.0563945,0.0255558,0.0271193,0.0137419,0.0111338,0.0169917,0.00705457,0.001572,0.00721043,0,0,0
7,0,0,0,0,0.00540156,0.00325624,0,0,0,0.0366295,0.0106753,0.0134775,0.0240914,0,0,0.0213577,0,0.0309389,0.00807764,0.0292288,0.0123668,0.0138074,0.0213797,0.0383231,0.0097399,0.0111864,0.0107185,0.00166496,0.0240798,0.00945564,0.00826047,0.00742157,0.0375694,0.0430091,0.0108747,0.0161396,0.0045875,0.0114661,0.00603876,0.022648,0.0320267,0.00430677,0,0,0.00756375,0,0.0189312,0.00992037,0.042995,0.0220985,0.0218924,0.0390045,0.033462,0.0268034,0.00616345,0.00971257,0.0174442,0.0114708,0.0246884,0.056539,0.0256646,0.0269822,0.0133534,0.0109718,0.016928,0.00697116,0.00151222,0.00699338,0,0,0
8,0,0,0,0,0.00538419,0.00308418,0,0,0,0.036552,0.0107415,0.0133287,0.0240133,0,0,0.0211454,0,0.0308373,0.00803198,0.0291556,0.0122701,0.0138901,0.0212951,0.0381029,0.0096844,0.0112215,0.0107311,0.00179,0.0240125,0.00929811,0.00827603,0.00745687,0.0375922,0.0429917,0.0107921,0.0161326,0.00442026,0.0114478,0.00604963,0.0225871,0.0319397,0.00433019,0,0,0.0074286,0,0.0188938,0.00997547,0.0429084,0.0220298,0.0220032,0.0385764,0.0332305,0.0265295,0.00620406,0.00974491,0.0169843,0.0113941,0.024548,0.0567223,0.0257942,0.0268174,0.0130588,0.0107875,0.0168248,0.00690614,0.00147768,0.00693165,0,0,0
