Timestep,BCBB,BCBF,BCBTT,BCFT,C7,CLAV,IMU_B,IMU_M,IMU_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x68,x69,x70
515,0,0,0,0,0.0135302,0.0113874,0,0,0,0.0209137,0.015047,0.00901187,0.0131435,0,0,0.0153964,0,0.0241412,0.00631534,0.0275794,0.0106101,0.0161025,0.0120515,0.0132036,0.00500858,0.00578366,0.00578913,0.00206909,0.0191852,0.00814511,0.00836488,0.00804153,0.0396405,0.0249192,0.0102865,0.0137204,0.00374994,0.0164674,0.0125493,0.0139581,0.0174662,0.0173729,0,0,0.014316,0,0.0152359,0.00528978,0.0382935,0.0164197,0.0245829,0.0158106,0.00972065,0.0111869,0.00564893,0.0040578,0.00209491,0.00536178,0.0160881,0.0559288,0.0157112,0.0163538,0.0266778,0.00466383,0.00734072,0.00636624,0.0142827,0.0143694,0,0,0
516,0,0,0,0,0.0137872,0.0110285,0,0,0,0.0212274,0.0147837,0.00909443,0.0133447,0,0,0.0155572,0,0.0244614,0.00631424,0.0275412,0.0106153,0.0159654,0.0123723,0.0140124,0.00501665,0.00597825,0.00623452,0.00209187,0.0193104,0.00800896,0.00826401,0.00790017,0.0394434,0.02527,0.0102061,0.0138271,0.00324813,0.0163863,0.0125216,0.0144584,0.0178907,0.0172225,0,0,0.0144327,0,0.0153748,0.00526672,0.0383568,0.0169289,0.0245052,0.0168053,0.0103706,0.010343,0.00562477,0.00428387,0.00238169,0.00528941,0.0164814,0.0560934,0.0160168,0.0169511,0.0269589,0.00515917,0.00744296,0.00638147,0.0139494,0.0144852,0,0,0
517,0,0,0,0,0.0143429,0.0107816,0,0,0,0.021595,0.0146191,0.00929189,0.0139844,0,0,0.0158741,0,0.0247757,0.00630058,0.0276502,0.0106896,0.0158324,0.01305,0.0153228,0.00562392,0.00626977,0.00653803,0.00190707,0.0195859,0.00787136,0.00807781,0.0077115,0.0391771,0.0258225,0.0100259,0.013887,0.00266139,0.0161999,0.0127086,0.0151972,0.018821,0.0172712,0,0,0.014445,0,0.015485,0.00513111,0.0384645,0.017481,0.024507,0.0184638,0.0114032,0.00997469,0.00550035,0.0046527,0.00293444,0.00541896,0.0170121,0.0561108,0.0161436,0.0177352,0.0272122,0.00546983,0.00771365,0.00651194,0.0135177,0.0148783,0,0,0
518,0,0,0,0,0.0146894,0.0104535,0,0,0,0.0220005,0.0143764,0.00937213,0.0142551,0,0,0.0159852,0,0.0250217,0.00622095,0.0276729,0.01065,0.0157058,0.0133449,0.0161831,0.00578736,0.00642943,0.00683368,0.00202705,0.0197124,0.00771573,0.00803934,0.00755089,0.0389308,0.0263904,0.00981697,0.0139538,0.0023121,0.0160442,0.0129067,0.0155885,0.0193141,0.0171477,0,0,0.0145156,0,0.0157114,0.00484879,0.0384021,0.0178825,0.0244459,0.0193673,0.012173,0.00943494,0.0056481,0.00494755,0.00328785,0.0055703,0.0173749,0.056215,0.0162841,0.0181549,0.0272882,0.00608016,0.00809034,0.0067753,0.0131462,0.0150625,0,0,0
519,0,0,0,0,0.0151632,0.0102728,0,0,0,0.0226913,0.0141498,0.00953158,0.0147862,0,0,0.0162103,0,0.025274,0.00612255,0.0277357,0.0107088,0.0155814,0.0138093,0.017315,0.0063691,0.00656163,0.00732749,0.00219483,0.019876,0.00761442,0.00807448,0.0074066,0.0386919,0.0272958,0.00960263,0.013977,0.00191778,0.0160826,0.013219,0.0161553,0.0200591,0.0171392,0,0,0.0145801,0,0.0159448,0.00477649,0.0385363,0.018349,0.0243953,0.020847,0.0132628,0.0090666,0.00580228,0.00532347,0.00373049,0.00600101,0.0178035,0.0562097,0.016509,0.01876,0.0277645,0.00660195,0.00853948,0.00720027,0.0127994,0.0153325,0,0,0
520,0,0,0,0,0.0155526,0.0100932,0,0,0,0.023153,0.0139217,0.00980312,0.01535,0,0,0.0163706,0,0.0254791,0.00595936,0.027814,0.0109815,0.0154556,0.0144692,0.0185054,0.00711117,0.00681301,0.00801076,0.00219142,0.0200989,0.0076007,0.00802754,0.00730475,0.0384964,0.0278509,0.00932624,0.0139785,0.00155748,0.0160836,0.0135818,0.0167372,0.020836,0.0170453,0,0,0.0144734,0,0.0162122,0.00498889,0.0387164,0.0188283,0.0243091,0.0223274,0.0143246,0.00876207,0.00590886,0.00569723,0.00427226,0.00638046,0.0182065,0.0561616,0.0167984,0.0193984,0.0282305,0.00706045,0.00905791,0.00764315,0.0123912,0.0155859,0,0,0
521,0,0,0,0,0.0158342,0.00985394,0,0,0,0.0235252,0.0137285,0.0101542,0.0159302,0,0,0.0164119,0,0.0256954,0.00577516,0.0279453,0.0111665,0.0153345,0.0152338,0.0197494,0.00795751,0.00712653,0.00848618,0.00205145,0.0203869,0.00760892,0.00787376,0.00720825,0.0383307,0.0282567,0.00897044,0.0140019,0.00141245,0.0159283,0.0139502,0.017253,0.0215896,0.0168024,0,0,0.0141446,0,0.0164904,0.00517701,0.0388073,0.0191095,0.0241481,0.0236815,0.0153217,0.00848707,0.00644467,0.00606293,0.00484395,0.00667967,0.0186761,0.0560713,0.0169548,0.0199832,0.0285807,0.00748371,0.00962358,0.00808896,0.0118919,0.0157719,0,0,0
522,0,0,0,0,0.0160004,0.00959425,0,0,0,0.0239581,0.0135514,0.0105099,0.0165289,0,0,0.0164005,0,0.0259,0.00560865,0.028062,0.0114326,0.0152113,0.0159714,0.0210452,0.0088936,0.0074769,0.00867755,0.00192056,0.0207348,0.00759021,0.00763351,0.00711339,0.038155,0.0287291,0.00860067,0.014026,0.00145621,0.0157355,0.0142979,0.0177133,0.022317,0.0163899,0,0,0.0137535,0,0.0168043,0.0052514,0.0388419,0.0194276,0.0239607,0.0249444,0.0163323,0.00836154,0.00779403,0.00642857,0.00537789,0.00698033,0.0191431,0.0559871,0.0169867,0.0205282,0.0289764,0.00794086,0.0102279,0.00866466,0.0113215,0.0158668,0,0,0
523,0,0,0,0,0.0161532,0.00939316,0,0,0,0.0245678,0.013459,0.0109647,0.0171429,0,0,0.0163563,0,0.0259898,0.00542409,0.0280331,0.0119068,0.0151378,0.0165127,0.0224533,0.00988113,0.00786597,0.0090411,0.00190263,0.02108,0.0074858,0.00740306,0.00692351,0.0379994,0.0294351,0.00819709,0.0140074,0.00110392,0.0159283,0.0146052,0.0181839,0.0230563,0.0158156,0,0,0.0132041,0,0.0172166,0.00527256,0.0389802,0.0200078,0.0237352,0.0262106,0.0174824,0.00862811,0.00878857,0.00675628,0.00573842,0.00739334,0.0195893,0.055852,0.0170439,0.0210848,0.0293873,0.00848945,0.0108966,0.00936084,0.0106424,0.0158363,0,0,0
524,0,0,0,0,0.0172836,0.00962375,0,0,0,0.0252584,0.013088,0.0112873,0.0181252,0,0,0.0166931,0,0.0263273,0.00539337,0.0282981,0.0119627,0.0148958,0.017561,0.0245095,0.0107779,0.0081987,0.00927077,0.00172424,0.0215317,0.0077204,0.0072435,0.00693427,0.0378373,0.0301892,0.00856786,0.0140707,0.00162576,0.0166915,0.014422,0.0187191,0.0241768,0.0171293,0,0,0.0151784,0,0.0170519,0.00534226,0.0392004,0.0199669,0.0234673,0.0280161,0.0192053,0.0120646,0.0068275,0.00717229,0.00649433,0.00801356,0.0201013,0.0555908,0.016957,0.0217152,0.0305914,0.00896706,0.010369,0.00872818,0.0108053,0.0171113,0,0,0
