Timestep,BCBB,BCBF,BCBTT,BCFT,C7,CLAV,IMU_B,IMU_M,IMU_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x68,x69,x70
1073,0,0,0,0,0.05495,0.0566711,0,0,0,0.0165038,0,0.0437916,0.0509589,0,0,0.015777,0,0,0.0552874,0.0327134,0.0583039,0.0188621,0.0223636,0.0565869,0.0445105,0.0268997,0.0375987,0.0595542,0.0440829,0.0452683,0.0407331,0.0470794,0.0483908,0.073065,0.036633,0.0115359,0.0157474,0.0295497,0,0.0244086,0.0614171,0.0125525,0,0,0.0213193,0,0,0.0325311,0.0336253,0.0337648,0.00320039,0.0211847,0.0584028,0.022231,0.0319325,0.00650902,0.0309655,0.0388517,0.0457064,0.0230883,0.0209436,0.0470466,0.0241573,0.0108146,0.00911325,0.0049925,0.0441241,0.0279992,0,0,0
1074,0,0,0,0,0.0547424,0.056506,0,0,0,0.0166125,0,0.0435914,0.0510532,0,0,0.0158917,0,0,0.0553917,0.0326899,0.0580093,0.0189408,0.0222892,0.0564971,0.0444895,0.026987,0.0377033,0.0596777,0.0441994,0.045471,0.0410328,0.047233,0.0485234,0.0727405,0.0364933,0.0115874,0.0157862,0.0296394,0,0.0250293,0.0613719,0.0126215,0,0,0.0212848,0,0,0.0326284,0.0336809,0.0339324,0.00320199,0.0210485,0.0582349,0.0221094,0.0318943,0.00623845,0.0311006,0.0388278,0.0458151,0.0230422,0.021042,0.0472486,0.0243486,0.0106871,0.00908671,0.00496122,0.0436454,0.0277833,0,0,0
1075,0,0,0,0,0.0545389,0.056149,0,0,0,0.0167394,0,0.0433629,0.0511317,0,0,0.0160446,0,0,0.0554417,0.0326637,0.0577828,0.0189858,0.0221747,0.0563755,0.0444754,0.0270639,0.0377914,0.0597869,0.0442972,0.0457126,0.0413173,0.0474107,0.0486637,0.0724024,0.036344,0.0116793,0.0158308,0.0299135,0,0.0265363,0.0613572,0.0125971,0,0,0.0214898,0,0,0.0327629,0.0337265,0.0342434,0.00318373,0.0209877,0.0580297,0.0220263,0.0318627,0.00610277,0.0312308,0.0387952,0.0457501,0.0235251,0.021173,0.0473263,0.0245277,0.0105211,0.00906526,0.00488094,0.0432814,0.0276028,0,0,0
1076,0,0,0,0,0.0543426,0.0556843,0,0,0,0.0169436,0,0.0430907,0.0511572,0,0,0.0161755,0,0,0.0554838,0.0326522,0.0572152,0.0189634,0.0219193,0.056229,0.0444512,0.0271118,0.0378251,0.0598792,0.0443725,0.0459419,0.041532,0.0475411,0.0487217,0.0720239,0.0362446,0.0116721,0.0159339,0.0298066,0,0.0268221,0.0613747,0.0125462,0,0,0.0215515,0,0,0.0328372,0.0337304,0.0343374,0.00317927,0.0210082,0.0578125,0.0220344,0.0317972,0.00609207,0.0313862,0.0388612,0.045918,0.0238597,0.0214093,0.0474465,0.0248527,0.0103933,0.00905615,0.00484297,0.0429495,0.0274568,0,0,0
1077,0,0,0,0,0.0541864,0.055098,0,0,0,0.0238211,0,0.0390488,0.0518257,0,0,0.0165072,0,0,0.0551769,0.0320742,0.0542243,0.0194806,0.0168324,0.0554342,0.044062,0.0271832,0.0354484,0.0576266,0.0432592,0.0474392,0.0444096,0.0489258,0.0493052,0.0809591,0.0359606,0.0118852,0.0162083,0.02992,0,0.0262463,0.0608017,0.0129913,0,0,0.0207976,0,0,0.0333286,0.0343113,0.0342834,0.0038327,0.0211607,0.0580554,0.0227888,0.0316618,0.00631938,0.0320443,0.0393314,0.0461467,0.0240037,0.0216336,0.0473629,0.0247773,0.0101679,0.00888861,0.00422306,0.0424745,0.0268589,0,0,0
1078,0,0,0,0,0.0539457,0.0547405,0,0,0,0.0237812,0,0.0388892,0.0517988,0,0,0.0164938,0,0,0.0552041,0.0320237,0.0534413,0.0190007,0.0166982,0.0552522,0.0439972,0.0271837,0.0354719,0.0577325,0.0433623,0.0475815,0.0446214,0.0490288,0.0494094,0.0804463,0.0359156,0.0119173,0.0162294,0.029856,0,0.0268111,0.060855,0.0129984,0,0,0.0208313,0,0,0.0333956,0.0343646,0.034563,0.00378538,0.0210208,0.0578225,0.0227107,0.0316393,0.00639315,0.032297,0.0395411,0.0465756,0.024173,0.0218803,0.0475113,0.0252165,0.0101001,0.00887357,0.00419651,0.0421282,0.0267207,0,0,0
1079,0,0,0,0,0.0537463,0.0545164,0,0,0,0.0237764,0,0.0387264,0.0518112,0,0,0.0164641,0,0,0.0552339,0.0319904,0.0528925,0.0186849,0.0167593,0.0550787,0.0439758,0.0272112,0.0355778,0.0578543,0.0434592,0.0477934,0.0448088,0.0492067,0.0495536,0.0799582,0.0358886,0.0119865,0.0162455,0.0297312,0,0.0266731,0.0608582,0.013037,0,0,0.0210767,0,0,0.0335242,0.0344053,0.0346561,0.00378,0.0209647,0.0576115,0.0227173,0.0315916,0.00651852,0.0325547,0.039668,0.0469315,0.0241521,0.0219514,0.0478139,0.0255928,0.0100222,0.00882836,0.00412919,0.0417259,0.0265906,0,0,0
1080,0,0,0,0,0.0535839,0.0544663,0,0,0,0.0237814,0,0.0385892,0.0518575,0,0,0.0164457,0,0,0.055271,0.0319609,0.0526628,0.0185168,0.0167164,0.0549003,0.0439459,0.0272611,0.0357498,0.058032,0.0435716,0.0480567,0.0449396,0.0494276,0.0497531,0.0794718,0.0358112,0.0121433,0.0162278,0.0294385,0,0.0255431,0.0608289,0.0130784,0,0,0.0211089,0,0,0.0335059,0.034433,0.0344693,0.00380097,0.0209871,0.0574072,0.0227854,0.0315211,0.00663797,0.0328154,0.039819,0.047293,0.0240359,0.0220485,0.0481909,0.0260083,0.00994495,0.00874038,0.00406881,0.0412483,0.0264502,0,0,0
1081,0,0,0,0,0.0534307,0.0545681,0,0,0,0.0238425,0,0.0384613,0.0519916,0,0,0.0165119,0,0,0.0552886,0.0318845,0.0522184,0.0184453,0.0165938,0.0547434,0.0439826,0.0272995,0.0359248,0.0582681,0.0436946,0.0482875,0.0451482,0.049627,0.0499246,0.0789517,0.0357224,0.0121749,0.0163006,0.0293497,0,0.0255129,0.0607283,0.0130984,0,0,0.0210023,0,0,0.0334956,0.0345098,0.0344792,0.00376942,0.0207951,0.0572195,0.0226551,0.0315307,0.00642402,0.0330527,0.0400186,0.0475322,0.024313,0.0222638,0.048437,0.0264586,0.00983278,0.00871425,0.00405369,0.0407173,0.0263091,0,0,0
1082,0,0,0,0,0.0532377,0.0547564,0,0,0,0.0239532,0,0.0383346,0.0521463,0,0,0.0165979,0,0,0.0553416,0.0317908,0.0516119,0.0183579,0.0164343,0.0546185,0.0439855,0.0273014,0.0360923,0.0584411,0.0438278,0.0485116,0.0453967,0.0498351,0.0500779,0.0784117,0.0355607,0.0121864,0.0163686,0.0296729,0,0.0265418,0.0606118,0.0131039,0,0,0.0211503,0,0,0.0335582,0.0346247,0.0347953,0.00371027,0.0204943,0.0570289,0.0224311,0.031634,0.00626608,0.0332428,0.0402342,0.0477566,0.024775,0.0223775,0.0486074,0.0269016,0.00972454,0.00866765,0.00398871,0.0402211,0.0261732,0,0,0
