Timestep,BCBB,BCBF,BCBTT,BCFT,C7,CLAV,IMU_B,IMU_M,IMU_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x68,x69,x70
All Timesteps RMSE,0,0,0,0,1.61706,1.57858,0,0,0,1.55574,0,1.44332,1.37096,0,0,1.45197,0,0,1.41808,1.28326,1.49279,1.36688,1.31659,1.32404,1.71013,1.26513,1.29051,1.25525,1.23581,1.35531,1.37828,1.3608,1.33364,1.59337,1.51387,1.4388,1.34647,1.68295,0,1.56364,1.24286,1.6121,0,0,1.38009,0,0,1.40404,1.29587,1.56392,1.32024,1.36866,1.33939,1.56452,1.29038,1.30658,1.30369,1.2862,1.42825,1.46976,1.48153,1.44368,1.66282,1.45765,1.35704,1.39485,1.51712,1.55907,0,0,0
0,0,0,0,0,1.61829,1.57426,0,0,0,1.5559,0,1.44437,1.36796,0,0,1.45154,0,0,1.4157,1.2802,1.49307,1.36344,1.32574,1.32031,1.70923,1.26625,1.29502,1.26035,1.23723,1.36512,1.38701,1.36872,1.34268,1.59364,1.51339,1.43374,1.34313,1.68301,0,1.56479,1.2402,1.61372,0,0,1.38157,0,0,1.40656,1.29288,1.56401,1.31687,1.37614,1.336,1.56253,1.29081,1.31055,1.30921,1.28788,1.4358,1.47614,1.48729,1.45073,1.66301,1.45753,1.36094,1.39945,1.51254,1.56094,0,0,0
1,0,0,0,0,1.61808,1.57503,0,0,0,1.55588,0,1.44424,1.36857,0,0,1.45161,0,0,1.41626,1.28078,1.49305,1.36401,1.32457,1.32085,1.70931,1.26627,1.29446,1.25979,1.23713,1.36379,1.3859,1.36768,1.34137,1.59358,1.51344,1.43498,1.34391,1.68299,0,1.5637,1.24069,1.61351,0,0,1.38152,0,0,1.40629,1.29339,1.56398,1.31795,1.37519,1.3364,1.56295,1.29093,1.3103,1.30851,1.2878,1.43479,1.47529,1.48653,1.44972,1.66299,1.45773,1.36033,1.39899,1.51334,1.56066,0,0,0
2,0,0,0,0,1.61786,1.57577,0,0,0,1.55586,0,1.44409,1.36914,0,0,1.45171,0,0,1.41681,1.28131,1.49304,1.3646,1.32339,1.32135,1.70939,1.26625,1.29407,1.25919,1.23702,1.36246,1.38474,1.36661,1.34019,1.59354,1.51351,1.43611,1.34461,1.68296,0,1.56369,1.24113,1.61333,0,0,1.38152,0,0,1.406,1.29387,1.56398,1.31851,1.37424,1.33681,1.56336,1.291,1.30959,1.30776,1.28773,1.43379,1.4744,1.48572,1.44858,1.66297,1.45791,1.35946,1.39845,1.51412,1.56037,0,0,0
3,0,0,0,0,1.61767,1.57648,0,0,0,1.55585,0,1.44396,1.36968,0,0,1.4518,0,0,1.41731,1.28182,1.49302,1.36517,1.32216,1.32186,1.70948,1.2662,1.29361,1.25858,1.2369,1.36113,1.38354,1.36551,1.33899,1.59353,1.5136,1.43714,1.3453,1.68296,0,1.56437,1.24155,1.61314,0,0,1.38157,0,0,1.40563,1.29433,1.56396,1.31874,1.37323,1.33728,1.56372,1.29099,1.30891,1.30704,1.2876,1.43276,1.47343,1.48484,1.44757,1.66294,1.45801,1.35869,1.39779,1.51487,1.56007,0,0,0
4,0,0,0,0,1.61753,1.57713,0,0,0,1.55586,0,1.44384,1.37018,0,0,1.45188,0,0,1.41775,1.28234,1.49299,1.36571,1.3209,1.32243,1.70961,1.26611,1.29304,1.25794,1.23679,1.35975,1.38222,1.36441,1.33771,1.59352,1.51367,1.43808,1.34601,1.68303,0,1.56466,1.242,1.61291,0,0,1.38135,0,0,1.40529,1.2948,1.56394,1.31884,1.37219,1.33778,1.56405,1.29099,1.30843,1.30629,1.28745,1.43164,1.47247,1.48396,1.44672,1.6629,1.45803,1.35807,1.3971,1.51561,1.55979,0,0,0
5,0,0,0,0,1.61737,1.57775,0,0,0,1.55584,0,1.44371,1.37063,0,0,1.45192,0,0,1.41811,1.28283,1.49293,1.36624,1.31956,1.32301,1.70976,1.26598,1.29238,1.25722,1.23665,1.3583,1.38091,1.36327,1.33633,1.59349,1.51374,1.4389,1.34669,1.68306,0,1.56457,1.24241,1.61257,0,0,1.38095,0,0,1.40496,1.29525,1.56391,1.3192,1.37109,1.33829,1.56437,1.29095,1.3081,1.30552,1.28725,1.43037,1.47165,1.48323,1.44594,1.66289,1.45804,1.35753,1.39638,1.51629,1.55952,0,0,0
6,0,0,0,0,1.6172,1.57834,0,0,0,1.55581,0,1.44355,1.37102,0,0,1.45193,0,0,1.41839,1.28327,1.49288,1.36673,1.31815,1.32358,1.70991,1.26576,1.29166,1.25642,1.23643,1.35685,1.37959,1.36208,1.33496,1.59344,1.51382,1.43957,1.34704,1.68305,0,1.5642,1.24279,1.61222,0,0,1.38039,0,0,1.40457,1.29565,1.56397,1.31971,1.36996,1.33882,1.56463,1.29086,1.30751,1.30471,1.28692,1.42928,1.47092,1.4826,1.44492,1.66288,1.45803,1.35704,1.39568,1.51691,1.55927,0,0,0
7,0,0,0,0,1.617,1.57889,0,0,0,1.55578,0,1.44337,1.37139,0,0,1.45195,0,0,1.41863,1.28364,1.49282,1.36717,1.31671,1.32412,1.71008,1.26549,1.29087,1.25556,1.23615,1.35535,1.37824,1.36086,1.33361,1.59339,1.51389,1.44014,1.34734,1.683,0,1.56349,1.24314,1.61204,0,0,1.37997,0,0,1.40419,1.29605,1.56417,1.32019,1.36882,1.33933,1.56482,1.29068,1.3067,1.30385,1.28655,1.42838,1.47002,1.48178,1.4437,1.66284,1.45796,1.35657,1.39494,1.51748,1.55901,0,0,0
8,0,0,0,0,1.61683,1.57941,0,0,0,1.55575,0,1.4432,1.37171,0,0,1.45202,0,0,1.41882,1.28399,1.49276,1.36759,1.31527,1.32464,1.71026,1.26522,1.29002,1.25466,1.23584,1.35385,1.37688,1.35961,1.33232,1.59335,1.51396,1.44059,1.34763,1.68298,0,1.56313,1.24348,1.61187,0,0,1.37981,0,0,1.40379,1.2964,1.56421,1.32064,1.36766,1.33986,1.56492,1.29048,1.30606,1.30297,1.28611,1.42735,1.46888,1.48073,1.44264,1.66281,1.45785,1.35614,1.39418,1.51799,1.55877,0,0,0
