Timestep,C7,CLAV,IMUL_L,IMUR_B,IMUR_T,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHIP,LTIB,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RPSI,RSHO,RTHI,RTHIA,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74,x75,LTIBA,RKNE,IMUL_M,RASI,IMUL_R,LTHII,L5FT,IMUR_M
174,0.0390985,0.0458104,0,0,0,0,0.0240765,0.0555693,0,0,0.0110794,0,0,0.0323825,0.0346477,0.0360667,0.0205706,0.0444044,0.0248262,0.0281901,0.0214164,0.0287673,0.031333,0.0471631,0.0411717,0.0390285,0.0130138,0.0486519,0.00789019,0.0159021,0.0618872,0,0.0160766,0.0212862,0,0,0.0131097,0,0,0.0335676,0.0474491,0.0477717,0.0330732,0.0300806,0.0162162,0.0352106,0.017424,0.0529564,0.0624198,0.0627294,0.0628579,0.0626512,0.0241407,0.0376067,0.0182644,0.0203057,0.0417665,0.0222456,0,0,0,0,0,0,0,0,0,0.0508105,0.0190948,0,0.0615695,0,0.0365837,0.0439887,0
175,0.0390769,0.0459089,0,0,0,0,0.0243099,0.0562756,0,0,0.0110739,0,0,0.032393,0.0338903,0.0357394,0.0209724,0.0444174,0.0248075,0.0282593,0.0220561,0.0280973,0.0317526,0.0471996,0.0412887,0.0391884,0.0122314,0.048674,0.00797985,0.0159195,0.0620972,0,0.0161695,0.0212525,0,0,0.0130461,0,0,0.0334646,0.0476967,0.0477482,0.0327677,0.0301168,0.0160446,0.03519,0.0178066,0.0529274,0.0624081,0.0628459,0.0628946,0.062683,0.0243101,0.0375653,0.0182622,0.0202706,0.0417422,0.0223244,0,0,0,0,0,0,0,0,0,0.0508175,0.0188495,0,0.0610862,0,0.0369048,0.0448058,0
176,0.0389208,0.0461137,0,0,0,0,0.0246367,0.0568535,0,0,0.0110389,0,0,0.0326839,0.0333367,0.0356766,0.0213047,0.044549,0.0248293,0.028353,0.0224477,0.0276247,0.0319948,0.0471706,0.0412929,0.039188,0.0118279,0.0486849,0.00795394,0.0160186,0.0622464,0,0.0162777,0.0211573,0,0,0.0129898,0,0,0.0335529,0.0478355,0.0480059,0.0325687,0.0301081,0.0158908,0.0351023,0.0181221,0.0529266,0.0623636,0.0629084,0.0628908,0.0626025,0.02439,0.0375509,0.0182217,0.0201713,0.0417469,0.0224381,0,0,0,0,0,0,0,0,0,0.0507655,0.0186504,0,0.0607531,0,0.0372387,0.0453088,0
177,0.0388224,0.0463298,0,0,0,0,0.024982,0.0572841,0,0,0.010979,0,0,0.0329495,0.0329712,0.0356904,0.0216737,0.0447968,0.0250575,0.0284712,0.0226826,0.0271798,0.0323067,0.0471138,0.0412923,0.0392115,0.0120259,0.0487332,0.00801519,0.0160742,0.0621951,0,0.0168333,0.0209434,0,0,0.0131841,0,0,0.0336565,0.0477346,0.0482658,0.0324534,0.0301905,0.0155431,0.0352001,0.0183076,0.0531154,0.0621152,0.0626884,0.0626041,0.0622751,0.0241075,0.0377161,0.0180589,0.0199846,0.0419872,0.0225481,0,0,0,0,0,0,0,0,0,0.0506278,0.0187062,0,0.0606803,0,0.0376719,0.0451489,0
178,0.0385954,0.0464275,0,0,0,0,0.0251306,0.0577812,0,0,0.0111551,0,0,0.0332638,0.0324316,0.0353633,0.0218648,0.0449787,0.0249152,0.0290208,0.0227631,0.0272093,0.032059,0.0472656,0.0413509,0.039197,0.0119649,0.0484425,0.00771195,0.0162011,0.0628551,0,0.0169597,0.0207709,0,0,0.0134457,0,0,0.0336082,0.0479716,0.0486518,0.0320857,0.0301314,0.0157226,0.0351627,0.0185687,0.0530136,0.0622241,0.0627698,0.0625797,0.0623029,0.0249611,0.0375838,0.0180213,0.0198818,0.0420156,0.0224456,0,0,0,0,0,0,0,0,0,0.0507601,0.0184934,0,0.0603147,0,0.0375976,0.0449823,0
179,0.0384594,0.0467132,0,0,0,0,0.0256452,0.058031,0,0,0.0110494,0,0,0.0330553,0.032003,0.0357516,0.0219746,0.0451275,0.0252307,0.0288842,0.0224937,0.0271905,0.0319112,0.0471226,0.0412094,0.0391361,0.0123684,0.0485769,0.00788119,0.0161283,0.0621474,0,0.0175183,0.0206711,0,0,0.0134748,0,0,0.0335234,0.0476781,0.0493505,0.0322823,0.0304777,0.0154978,0.0354651,0.018853,0.0533509,0.0617799,0.0623726,0.0622102,0.06191,0.0241206,0.0379768,0.0176914,0.0194748,0.0423504,0.0222529,0,0,0,0,0,0,0,0,0,0.0506927,0.0188258,0,0.0604954,0,0.0378059,0.044762,0
180,0.0385887,0.0464289,0,0,0,0,0.0255744,0.0577528,0,0,0.0112983,0,0,0.0331294,0.031874,0.0353837,0.0215461,0.0446686,0.0251794,0.0294638,0.0225106,0.0269563,0.0316641,0.0477037,0.0417458,0.0395837,0.0126413,0.0482032,0.0078546,0.0165572,0.0617255,0,0.0174324,0.0206906,0,0,0.0135638,0,0,0.03348,0.0478039,0.049122,0.031684,0.0304268,0.0156061,0.0356596,0.0185795,0.0535002,0.0618679,0.062442,0.0623975,0.0620728,0.024505,0.0378163,0.0180928,0.0199132,0.0420464,0.0226607,0,0,0,0,0,0,0,0,0,0.0512833,0.0184545,0,0.0603548,0,0.0369793,0.0440542,0
181,0.038537,0.0467306,0,0,0,0,0.0265619,0.0583017,0,0,0.0110115,0,0,0.0333623,0.0316778,0.0369239,0.0238376,0.0465226,0.0255207,0.0297872,0.022696,0.0283299,0.0315523,0.0461423,0.0403176,0.0383159,0.0135085,0.048318,0.00778242,0.0165577,0.061228,0,0.0180152,0.0200993,0,0,0.0137282,0,0,0.0335531,0.0470366,0.0493723,0.0315652,0.0293763,0.0148016,0.0356579,0.0192573,0.0537851,0.0614015,0.0617992,0.0617313,0.0612706,0.0236904,0.0385106,0.0174117,0.0190715,0.042479,0.0221936,0,0,0,0,0,0,0,0,0,0.0496106,0.0189634,0,0.0616014,0,0,0.0434799,0
182,0.0383483,0.0468253,0,0,0,0,0.0262477,0.0582953,0,0,0.0110429,0,0,0.0334437,0.0313216,0.0367096,0.0240515,0.0467094,0.0255387,0.0300391,0.0226948,0.0287262,0.0309223,0.045932,0.0401766,0.0380596,0.0137608,0.048182,0.00785543,0.0167084,0.0610192,0,0.0183122,0.0199805,0,0,0.0136585,0,0,0.0335154,0.0470671,0.0496706,0.0311167,0.0292693,0.01479,0.0360429,0.0193142,0.0540332,0.0611165,0.0615226,0.0614118,0.0607357,0.0233491,0.0386118,0.0174696,0.0189851,0.0425056,0.0222742,0,0,0,0,0,0,0,0,0,0.0494453,0.0189719,0,0.0617669,0,0,0.0430036,0
183,0.0385487,0.0468287,0,0,0,0,0.0269961,0.0580426,0,0,0.0116283,0,0,0.0326201,0.0306061,0.0358206,0.0229059,0.0468394,0.0259086,0.029999,0.0223072,0.0297107,0.0294496,0.0452781,0.0395723,0.0371258,0.0117724,0.0483358,0.00844093,0.0168311,0.0709758,0,0.0216567,0.0205258,0,0,0.0134517,0,0,0.033404,0.045719,0.0477478,0.0313366,0.030097,0.0149083,0.0345898,0.0230449,0.0540649,0.0597299,0.0595592,0.0586245,0.0589231,0.0342329,0.0390038,0.017302,0.0187916,0.0426327,0.0225009,0,0,0,0,0,0,0,0,0,0.0490592,0.0219943,0,0.0620247,0,0,0.0449745,0
