Timestep,C7,CLAV,IMUL_L,IMUR_B,IMUR_T,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHIP,LTIB,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RPSI,RSHO,RTHI,RTHIA,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74,x75,LTIBA,RKNE,IMUL_M,RASI,IMUL_R,LTHII,L5FT,IMUR_M
194,0.0380988,0.0473639,0,0,0,0,0.0269469,0.0563807,0,0,0.0125178,0,0,0.0337245,0.0259792,0.0362797,0.0215116,0.046387,0.0276102,0.0328631,0.0188936,0.0310112,0.021073,0.0420907,0.0345614,0.0327907,0.0280264,0.0475543,0.00858926,0.0179469,0.0476911,0,0.0224129,0.0198394,0,0,0.0126035,0,0,0.0337719,0.0498091,0.0555225,0.0313441,0.0318593,0.0129151,0.0378227,0.021043,0.0548478,0.057499,0.0560023,0.0572409,0.0594257,0.0239683,0.0397623,0.0165228,0.0171074,0.0431324,0.025383,0,0,0,0,0,0,0,0,0,0.0478948,0.0263676,0,0.0564822,0,0,0.0288097,0
195,0.0381399,0.0474494,0,0,0,0,0.026565,0.0558269,0,0,0.0126713,0,0,0.0340083,0.0264386,0.0363531,0.0214851,0.0480596,0.0275726,0.0331777,0.0189899,0.0304825,0.0206235,0.041683,0.0344014,0.0328107,0.0282511,0.0474124,0.00873569,0.0181196,0.044347,0,0.0219207,0.019936,0,0,0.0125421,0,0,0.0336637,0.0514164,0.0554543,0.0315373,0.0318876,0.0129831,0.0391327,0.0203837,0.0554811,0.0574847,0.0555655,0.0568229,0.0596544,0.0247687,0.0395417,0.0166375,0.0172302,0.0429931,0.0255682,0,0,0,0,0,0,0,0,0,0.0473036,0.0276123,0,0.0556646,0,0,0.0286172,0
196,0.0382241,0.0475064,0,0,0,0,0.0258987,0.0547941,0,0,0.0122503,0,0,0.0342889,0.0270056,0.0361302,0.0213495,0.0505134,0.0281124,0.0327779,0.0191149,0.0303946,0.01936,0.041515,0.0345626,0.0329436,0.0284048,0.0473758,0.00876129,0.0188185,0.0413806,0,0.0210346,0.0200859,0,0,0.0122669,0,0,0.0336417,0.0532598,0.055278,0.0321606,0.0320609,0.0128563,0.040376,0.0200249,0.0562307,0.0574347,0.0551868,0.056467,0.0599578,0.0261691,0.0394808,0.0169042,0.0175296,0.0429786,0.0259512,0,0,0,0,0,0,0,0,0,0.0468564,0.0293066,0,0.0550811,0,0,0.0286221,0
197,0.0381852,0.0475943,0,0,0,0,0.0253594,0.0538167,0,0,0.0122084,0,0,0.0343557,0.0273495,0.035835,0.021382,0.0519138,0.028876,0.0330269,0.0193045,0.0305785,0.0180021,0.0415244,0.0349023,0.0330326,0.0288296,0.0471356,0.0088355,0.0191923,0.0386521,0,0.0203986,0.0202038,0,0,0.0123325,0,0,0.0336115,0.0549005,0.0548837,0.0329254,0.0321016,0.0132339,0.0418524,0.0204183,0.057343,0.0575514,0.0550156,0.0563001,0.0602343,0.0280758,0.0393254,0.0170517,0.0177936,0.0430098,0.026307,0,0,0,0,0,0,0,0,0,0.0466769,0.0311584,0,0.0548109,0,0,0.028841,0
198,0.0381519,0.0476048,0,0,0,0,0.0250063,0.0529825,0,0,0.0122336,0,0,0.0346084,0.0271121,0.0357047,0.0216785,0.0512989,0.0298741,0.0332494,0.0196737,0.0313196,0.0171262,0.0416324,0.0351868,0.0330956,0.0291004,0.0468071,0.00891381,0.0197787,0.0360258,0,0.0202166,0.0202102,0,0,0.0122007,0,0,0.0335844,0.0562385,0.0544418,0.0336979,0.0321744,0.0134573,0.043323,0.0214146,0.0587617,0.0578734,0.0549199,0.0563362,0.0604879,0.0304662,0.0390061,0.0172765,0.0180126,0.0430591,0.0265772,0,0,0,0,0,0,0,0,0,0.0465384,0.0330113,0,0.0547782,0,0,0.0290886,0
199,0.0381311,0.0475699,0,0,0,0,0.024928,0.0521255,0,0,0.0124041,0,0,0.034981,0.026287,0.0359261,0.0221112,0.0495546,0.0311156,0.0336603,0.0202459,0.0324885,0.0164066,0.0418285,0.0354765,0.0332759,0.0294316,0.0464355,0.00900711,0.0203452,0.0339561,0,0.0200775,0.02013,0,0,0.0121603,0,0,0.0335365,0.0570525,0.053882,0.0343846,0.0323495,0.0135298,0.0447877,0.0225874,0.0602003,0.0582963,0.054823,0.0561912,0.0608558,0.033609,0.038698,0.0174321,0.018265,0.043093,0.026684,0,0,0,0,0,0,0,0,0,0.0464227,0.0347747,0,0.0549396,0,0,0.0290952,0
200,0.0381418,0.0475158,0,0,0,0,0.0251176,0.0514813,0,0,0.0126953,0,0,0.0354305,0.0251106,0.036385,0.0226236,0.0475402,0.0321035,0.0340927,0.0207487,0.0335589,0.0158354,0.042146,0.0358373,0.0334873,0.0298962,0.0461127,0.0091045,0.0208114,0.0326789,0,0.0201838,0.0200649,0,0,0.0120953,0,0,0.0335138,0.0567544,0.0530063,0.0348045,0.03254,0.0135447,0.0461532,0.0236615,0.0615064,0.0588938,0.0548343,0.0563035,0.0615636,0.0373156,0.0384353,0.0175383,0.018535,0.0430169,0.0265717,0,0,0,0,0,0,0,0,0,0.0463049,0.0363915,0,0.055087,0,0,0.029039,0
201,0.0381143,0.0474023,0,0,0,0,0.0255839,0.051,0,0,0.0129141,0,0,0.0356293,0.0239528,0.036892,0.0230871,0.045975,0.0328325,0.0344038,0.0212538,0.0342684,0.015607,0.0425472,0.0362094,0.0337529,0.0302763,0.045922,0.00913419,0.0210349,0.0322505,0,0.0203541,0.019958,0,0,0.0120478,0,0,0.0335572,0.0559253,0.0521917,0.0350373,0.0327773,0.0135166,0.0471763,0.0246567,0.062463,0.0595653,0.0549692,0.0569819,0.0625992,0.0414462,0.0381784,0.017559,0.0186661,0.0428759,0.0263166,0,0,0,0,0,0,0,0,0,0.0464383,0.0379179,0,0.0552256,0,0,0.029064,0
202,0.0380547,0.047175,0,0,0,0,0.0261007,0.050605,0,0,0.0130142,0,0,0.0355647,0.0232013,0.037206,0.0233506,0.045576,0.0331265,0.0344828,0.0217039,0.034532,0.0155469,0.0427663,0.0363769,0.0338729,0.0305515,0.0458958,0.00909829,0.0209563,0.0317954,0,0.0204953,0.0199812,0,0,0.0120187,0,0,0.033597,0.0551686,0.0518155,0.0353968,0.0330133,0.0135032,0.0477846,0.0254767,0.0627929,0.0601308,0.0552217,0.057749,0.063621,0.0449748,0.0380575,0.0175028,0.0186877,0.042731,0.0264653,0,0,0,0,0,0,0,0,0,0.0466029,0.0395151,0,0.0554376,0,0,0.0289741,0
203,0.0377736,0.0470608,0,0,0,0,0.0264012,0.0501704,0,0,0.0139993,0,0,0.0347472,0.0230329,0.0372292,0.0234215,0.0458976,0.0328249,0.0356816,0.0218923,0.0345018,0.0154318,0.0427156,0.0363618,0.03388,0.030659,0.045841,0.00902116,0.0194365,0.0311662,0,0.0205191,0.0200277,0,0,0.0123475,0,0,0.0335733,0.0549478,0.051703,0.0357914,0.0331008,0.0139546,0.0482214,0.0260328,0.0628987,0.0605617,0.0555497,0.0582264,0.0644647,0.0467457,0.0381305,0.0172248,0.0185367,0.042577,0.0260037,0,0,0,0,0,0,0,0,0,0.0466809,0.0409034,0,0.0557971,0,0,0.0286771,0
204,0.0378802,0.0468106,0,0,0,0,0.0265523,0.0498903,0,0,0.01288,0,0,0.0353641,0.0232507,0.0371154,0.0233104,0.0464315,0.032523,0.0337271,0.0220582,0.0343233,0.0152786,0.0425494,0.0362587,0.0337995,0.0305247,0.0463102,0.00918336,0.0205715,0.0307661,0,0.0206886,0.0201515,0,0,0.0122842,0,0,0.0336592,0.0548508,0.0519083,0.0359426,0.0331556,0.0138312,0.0488417,0.0265184,0.0633715,0.0609761,0.05569,0.0585514,0.0652763,0.0467082,0.0381181,0.0172798,0.0185761,0.0423542,0.0259152,0,0,0,0,0,0,0,0,0,0.0466066,0.0424091,0,0.0559588,0,0,0.0284676,0
205,0.0378436,0.0466619,0,0,0,0,0.0264537,0.049601,0,0,0.0128299,0,0,0.0351602,0.0238516,0.0368724,0.0232367,0.0467954,0.0319379,0.0334566,0.0222849,0.0340238,0.0152674,0.0425069,0.0361756,0.0338067,0.0298726,0.0465472,0.0091345,0.020212,0.0303747,0,0.0207146,0.020188,0,0,0.0122709,0,0,0.0336359,0.055379,0.0521416,0.0360392,0.0328812,0.0139781,0.0497421,0.026715,0.0638397,0.0612461,0.0557608,0.0590078,0.0660526,0.046136,0.0382771,0.0172033,0.0185095,0.0421764,0.0259142,0,0,0,0,0,0,0,0,0,0.0464324,0.0431834,0,0.056235,0,0,0.0287366,0
206,0.0376735,0.0464974,0,0,0,0,0.0253083,0.0487775,0,0,0.012981,0,0,0.0350336,0.0254743,0.035415,0.020916,0.0452345,0.0309837,0.0332385,0.0227564,0.0326188,0.0155475,0.0440764,0.0375731,0.0349634,0.0287424,0.0465709,0.00908028,0.0199508,0.0299544,0,0.020541,0.0206945,0,0,0.0120652,0,0,0.0336798,0.0562228,0.0524534,0.0357345,0.0331839,0.0147319,0.0503049,0.0261734,0.0639477,0.0612253,0.0557522,0.0594092,0.0666939,0.0460878,0.0378012,0.0176194,0.0190485,0.0417921,0.0263227,0,0,0,0,0,0,0,0,0,0.0479293,0.0437151,0,0.0560124,0,0.0316856,0.0295134,0
207,0.0375995,0.046519,0,0,0,0,0.0253178,0.0486799,0,0,0.0130275,0,0,0.0348406,0.0257573,0.0352731,0.0209801,0.0450711,0.0305436,0.03323,0.0226612,0.0318357,0.0155085,0.0442824,0.0379601,0.0351488,0.0277046,0.0466185,0.00898083,0.01978,0.0295051,0,0.0204281,0.020697,0,0,0.0121845,0,0,0.03363,0.0571851,0.0526937,0.035295,0.0328896,0.014719,0.0505425,0.0262127,0.0642668,0.0611941,0.0556628,0.0594389,0.0669904,0.0457625,0.037868,0.0175643,0.0190729,0.0417227,0.0263302,0,0,0,0,0,0,0,0,0,0.0481082,0.0445694,0,0.0560541,0,0.0315494,0.0303862,0
208,0.0375348,0.0465404,0,0,0,0,0.0252312,0.0486535,0,0,0.0130971,0,0,0.0345756,0.0256738,0.0351597,0.021212,0.0449437,0.0304477,0.0333391,0.0225928,0.0313997,0.015419,0.0446605,0.0384891,0.0352358,0.0268067,0.0465133,0.00893796,0.0197189,0.0289396,0,0.0202593,0.0206382,0,0,0.0123394,0,0,0.0336267,0.0580023,0.0528619,0.0348741,0.0326312,0.0147433,0.0501105,0.0266872,0.0646749,0.0617729,0.0556969,0.0594155,0.0673572,0.045139,0.0378305,0.0175539,0.0191256,0.0417308,0.0263035,0,0,0,0,0,0,0,0,0,0.048392,0.0458696,0,0.0560466,0,0.0312599,0.0311536,0
209,0.0375524,0.0465105,0,0,0,0,0.0251107,0.0484972,0,0,0.0130831,0,0,0.0346357,0.0254629,0.0350846,0.0214548,0.044685,0.0306681,0.0332151,0.0226405,0.0311569,0.0153385,0.0451528,0.0389856,0.0354105,0.026104,0.0463933,0.00894567,0.0199367,0.0283957,0,0.0203494,0.0204587,0,0,0.0121407,0,0,0.0336659,0.0581533,0.0527203,0.0347107,0.03248,0.0145802,0.0502622,0.02702,0.0647706,0.0617706,0.0556102,0.059257,0.0671845,0.0455428,0.037749,0.0177428,0.0193099,0.0417378,0.0262088,0,0,0,0,0,0,0,0,0,0.0486185,0.0461642,0,0.0562069,0,0.0313672,0.0317741,0
210,0.0375645,0.0465021,0,0,0,0,0.0250422,0.0485384,0,0,0.0130878,0,0,0.0348212,0.0248909,0.0349248,0.0216946,0.0443461,0.0309692,0.0332178,0.0226639,0.0309701,0.0151035,0.0454414,0.0392701,0.0359897,0.0249699,0.0461801,0.00896406,0.0202247,0.0279104,0,0.0205289,0.0202708,0,0,0.012136,0,0,0.0336048,0.0578207,0.0527607,0.0345906,0.0324731,0.0145936,0.0503453,0.0269579,0.0648077,0.0616281,0.0555684,0.059102,0.0669648,0.0460906,0.0376277,0.0178059,0.0194415,0.041762,0.026069,0,0,0,0,0,0,0,0,0,0.0487628,0.0466687,0,0.0561593,0,0.031577,0.0325393,0
211,0.0375751,0.0464898,0,0,0,0,0.024996,0.0487317,0,0,0.0130819,0,0,0.0350076,0.0240926,0.0346356,0.0218678,0.0440637,0.0311084,0.0332966,0.0227166,0.0307679,0.0148847,0.0454674,0.0394005,0.0363261,0.0237027,0.0459523,0.00900679,0.0205771,0.0278158,0,0.0207244,0.0202432,0,0,0.0121266,0,0,0.0336087,0.0575118,0.0528346,0.0343915,0.0326363,0.0146262,0.0501714,0.0268496,0.0647423,0.0615317,0.055526,0.0590671,0.0668097,0.0468264,0.0375041,0.0179103,0.0195925,0.0418266,0.0259145,0,0,0,0,0,0,0,0,0,0.0488363,0.0467891,0,0.0559519,0,0.0316154,0.0333494,0
212,0.0374093,0.0465636,0,0,0,0,0.0249265,0.0490449,0,0,0.0139241,0,0,0.0345047,0.0233034,0.0344592,0.0219754,0.0438616,0.0310931,0.0347001,0.022723,0.0306433,0.0148518,0.0454657,0.0394035,0.0363376,0.0228399,0.0455305,0.00887034,0.0197462,0.0278944,0,0.0208912,0.0202829,0,0,0.0126022,0,0,0.0334208,0.0572971,0.0530258,0.034176,0.0327344,0.0152512,0.0498623,0.0266024,0.0645001,0.0614531,0.0555187,0.0591835,0.0667613,0.047522,0.037415,0.0177283,0.0195322,0.0419276,0.025619,0,0,0,0,0,0,0,0,0,0.0489235,0.0469816,0,0.0556747,0,0.0315286,0.0340751,0
213,0.0375087,0.0464799,0,0,0,0,0.0248721,0.0493757,0,0,0.0136973,0,0,0.0347617,0.0227042,0.0344407,0.0219943,0.0438393,0.0310809,0.0343367,0.0226711,0.0304788,0.0149003,0.0453301,0.0394444,0.0361594,0.0218715,0.0454577,0.00887299,0.0202061,0.0279598,0,0.0209338,0.0201524,0,0,0.0125035,0,0,0.0334948,0.0571132,0.0534573,0.0339497,0.0331158,0.0153252,0.0494947,0.026258,0.0641735,0.0612366,0.0555207,0.059372,0.0668618,0.0481166,0.037351,0.0178898,0.0197284,0.0419411,0.0254087,0,0,0,0,0,0,0,0,0,0.0489379,0.0463472,0,0.055278,0,0.0315519,0.0347565,0
214,0.037564,0.0464306,0,0,0,0,0.0249328,0.0497984,0,0,0.0138214,0,0,0.0346952,0.0221799,0.0345824,0.0220845,0.0440564,0.0306645,0.0344582,0.0225481,0.0301866,0.0148091,0.04527,0.0397274,0.0357683,0.0208967,0.0453857,0.00882318,0.0201873,0.0282019,0,0.0209612,0.0200656,0,0,0.0125213,0,0,0.0335946,0.0570899,0.0539471,0.0337493,0.033448,0.015555,0.0488638,0.0257559,0.0638176,0.0609629,0.0556234,0.0596874,0.0671208,0.0488742,0.0372968,0.017966,0.0199089,0.0419301,0.0251439,0,0,0,0,0,0,0,0,0,0.0488902,0.045609,0,0.0547971,0,0.0316158,0.0354987,0
215,0.0375765,0.0464455,0,0,0,0,0.0250348,0.0503855,0,0,0.0138275,0,0,0.0347613,0.0216313,0.0344137,0.0220787,0.0443272,0.0304766,0.0343496,0.0220164,0.0297078,0.0148944,0.0455099,0.0395217,0.0356619,0.0195387,0.0453421,0.00883045,0.0204239,0.027114,0,0.0151035,0.020036,0,0,0.0123903,0,0,0.0337022,0.0571108,0.0465499,0.0325849,0.0337807,0.0155278,0.0446426,0.0229362,0.060789,0,0.0627379,0.0654911,0.0735398,0.0459992,0.0372605,0.0180808,0.0200998,0.041908,0.0251393,0,0,0,0,0,0,0,0,0,0.0487632,0.0412695,0,0.0538985,0,0.0315677,0.0365902,0
216,0.0376471,0.0464524,0,0,0,0,0.0252169,0.0501732,0,0,0.0137783,0,0,0.0346528,0.021812,0.0345349,0.0222059,0.0444859,0.0306974,0.0340635,0.0219498,0.0295895,0.0144041,0.0455076,0.039445,0.03598,0.0192337,0.0455066,0.00874625,0.0203714,0.0295142,0,0.0214028,0.0200317,0,0,0.0122917,0,0,0.0336359,0.0570985,0.0555134,0.0333584,0.0343651,0.0155985,0.0467314,0.0244046,0.0619822,0.060517,0.0554836,0.0604056,0.067797,0.0503155,0.0372318,0.0180355,0.0202106,0.0419732,0.0247928,0,0,0,0,0,0,0,0,0,0.0488213,0.0440102,0,0.0545577,0,0.0312382,0.0368721,0
217,0.0376627,0.0464222,0,0,0,0,0.0252548,0.0503686,0,0,0.0137232,0,0,0.0345228,0.0218438,0.0347892,0.0220685,0.0447455,0.0306907,0.0338456,0.0218564,0.0293816,0.0142597,0.0453663,0.0394373,0.0359702,0.0185791,0.0456048,0.00868958,0.0202886,0.0299777,0,0.021762,0.0200476,0,0,0.0122352,0,0,0.0336516,0.0569113,0.0561128,0.0327061,0.0347776,0.0155909,0.0452642,0.0238331,0.0607156,0.0600181,0.0552808,0.0609714,0.0679746,0.0511869,0.0372173,0.0180341,0.020192,0.0420501,0.0246066,0,0,0,0,0,0,0,0,0,0.0488624,0.0432082,0,0.0545518,0,0.0304882,0.0374351,0
218,0.037713,0.0463347,0,0,0,0,0.0252952,0.051006,0,0,0.013664,0,0,0.0343465,0.0218172,0.035459,0.021806,0.0451839,0.0302715,0.0334953,0.0219535,0.0291956,0.0143478,0.0453424,0.039397,0.0361767,0.0182481,0.0457819,0.00862334,0.0201142,0.0303526,0,0.0218755,0.0200034,0,0,0.0122196,0,0,0.0336745,0.0567126,0.0566827,0.0325344,0.0350189,0.0156198,0.0438895,0.023471,0.059659,0.0594615,0.0554535,0.0615359,0.0682269,0.0519769,0.0372267,0.018058,0.0202285,0.0421093,0.0244183,0,0,0,0,0,0,0,0,0,0.0487883,0.0426732,0,0.0541173,0,0.0300249,0.0377444,0
219,0.0377614,0.046226,0,0,0,0,0.0253823,0.0517475,0,0,0.0136,0,0,0.0342456,0.0216754,0.0357709,0.0217327,0.0455829,0.0297403,0.0330523,0.0222096,0.0289871,0.0145067,0.0451827,0.0394116,0.036406,0.0178871,0.045963,0.00857861,0.0199587,0.0306478,0,0.0219751,0.0200325,0,0,0.0122053,0,0,0.0336185,0.056657,0.0572696,0.0327258,0.035463,0.0156037,0.0426426,0.0230158,0.0585851,0.0595607,0.0558907,0.0620499,0.0684764,0.0528639,0.0371961,0.0181326,0.0201834,0.0421255,0.024229,0,0,0,0,0,0,0,0,0,0.0484784,0.042401,0,0.0535551,0,0.0297936,0.0381822,0
220,0.0376496,0.046237,0,0,0,0,0.0254943,0.0525579,0,0,0.0143537,0,0,0.0336232,0.02152,0.0357037,0.021805,0.0454813,0.0290703,0.033688,0.0222082,0.0289118,0.0146188,0.0449525,0.0397021,0.0363748,0.0172326,0.0460076,0.00851409,0.0188011,0.0309661,0,0.0216833,0.0200898,0,0,0.0127003,0,0,0.0333908,0.0566601,0.0578015,0.0329687,0.0360118,0.0160784,0.041376,0.0229065,0.0576091,0.0598625,0.0565304,0.0626473,0.0688805,0.0535724,0.0372283,0.0179197,0.0199928,0.042168,0.023922,0,0,0,0,0,0,0,0,0,0.04797,0.0419938,0,0.0530517,0,0.029786,0.0388993,0
221,0.0379185,0.0461125,0,0,0,0,0.0255219,0.0535749,0,0,0.0129895,0,0,0.0344042,0.021372,0.035468,0.0217891,0.0457844,0.0284662,0.0314081,0.0213653,0.0289568,0.0145424,0.0450368,0.0395958,0.0361667,0.0164312,0.0464778,0.00855837,0.0201003,0.0313775,0,0.0212494,0.0201999,0,0,0.012654,0,0,0.0334185,0.0563942,0.0580429,0.0330211,0.0363184,0.0159533,0.0402596,0.0233754,0.057071,0.0603458,0.0573445,0.0632835,0.0693556,0.0541645,0.0371897,0.0179921,0.0201406,0.0421939,0.0236505,0,0,0,0,0,0,0,0,0,0.0476593,0.0413168,0,0.0524107,0,0.0299015,0.0396402,0
222,0.0379453,0.0461101,0,0,0,0,0.0257115,0.0543792,0,0,0.012916,0,0,0.034274,0.0212185,0.0353977,0.0218005,0.0461068,0.0279635,0.0310877,0.0208087,0.0285939,0.01423,0.0450946,0.039331,0.0360656,0.0158503,0.0466307,0.00847143,0.0197989,0.0318877,0,0.0208455,0.0202318,0,0,0.0126416,0,0,0.0334693,0.0561995,0.0580683,0.0330303,0.0367264,0.0160555,0.0391355,0.0239574,0.0564186,0.0609121,0.058251,0.0639729,0.069819,0.0546217,0.0372538,0.0179968,0.020127,0.0422727,0.02332,0,0,0,0,0,0,0,0,0,0.0478035,0.0407971,0,0.0519908,0,0.0298894,0.0401412,0
223,0.0379464,0.0461136,0,0,0,0,0.0259292,0.0551389,0,0,0.0128445,0,0,0.0341391,0.0210192,0.0353982,0.0217367,0.046273,0.0276061,0.0307907,0.0207287,0.0273043,0.0137542,0.0449208,0.0391535,0.0360247,0.0155147,0.0467919,0.0083817,0.019523,0.0322232,0,0.0204112,0.0203335,0,0,0.0125766,0,0,0.0334506,0.0559541,0.057662,0.0330567,0.0370418,0.0161865,0.0382568,0.0247234,0.0558514,0.0615114,0.0591291,0.0646298,0.0702935,0.0543778,0.0371877,0.0180154,0.0201227,0.0423593,0.0229415,0,0,0,0,0,0,0,0,0,0.0478062,0.0405273,0,0.0516003,0,0.0298008,0.0405591,0
224,0.0379278,0.0461662,0,0,0,0,0.0262039,0.0558091,0,0,0.0128002,0,0,0.0340232,0.0207519,0.0354161,0.0216922,0.0463159,0.0272863,0.0305078,0.0207016,0.0265488,0.0135538,0.0447628,0.0390809,0.0359979,0.0154057,0.0469258,0.00832108,0.0192764,0.0324013,0,0.0198065,0.0207287,0,0,0.0125269,0,0,0.0334421,0.0556173,0.05707,0.0330892,0.0372763,0.0162801,0.0375172,0.0256576,0.0555775,0.0621305,0.0601802,0.0652887,0.0706802,0.0532404,0.0371237,0.0180683,0.020141,0.0424998,0.0225554,0,0,0,0,0,0,0,0,0,0.0476295,0.0401123,0,0.0513268,0,0.0297712,0.0407743,0
225,0.0379254,0.0462402,0,0,0,0,0.026488,0.0564418,0,0,0.0127674,0,0,0.0338901,0.0205592,0.0354958,0.0216526,0.0464053,0.0268871,0.0301484,0.0205446,0.0263445,0.013982,0.0446222,0.0390543,0.0360246,0.0153608,0.0470438,0.00825396,0.0190395,0.0325462,0,0.0190211,0.0211891,0,0,0.0125448,0,0,0.0334599,0.0551783,0.0566267,0.0331022,0.0374942,0.0164379,0.0367223,0.0266948,0.055563,0.0628223,0.061506,0.0658969,0.0709508,0.0512066,0.0370681,0.0181383,0.0201441,0.042629,0.0222048,0,0,0,0,0,0,0,0,0,0.0472628,0.0399461,0,0.0511309,0,0.0297797,0.0409979,0
226,0.037961,0.0462875,0,0,0,0,0.0266397,0.0568929,0,0,0.0127126,0,0,0.0337552,0.0205387,0.0356226,0.0215264,0.046596,0.0265358,0.0298496,0.0204074,0.0263309,0.0144378,0.0444496,0.0389298,0.0359751,0.0150877,0.0471687,0.00820798,0.0188393,0.0329682,0,0.0183124,0.0213375,0,0,0.0126072,0,0,0.0334835,0.0546738,0.0561329,0.0331453,0.0377372,0.0166166,0.0359502,0.0278472,0.0554762,0.0635551,0.0627096,0.0664249,0.0711062,0.0480008,0.0370852,0.018154,0.0201424,0.0427569,0.0218642,0,0,0,0,0,0,0,0,0,0.0469325,0.0398545,0,0.0511205,0,0.0297396,0.0415025,0
227,0.0380004,0.0462983,0,0,0,0,0.0267341,0.0571207,0,0,0.0126262,0,0,0.0336286,0.020667,0.035806,0.0213212,0.0466937,0.0263867,0.0296657,0.0203378,0.0263871,0.0146713,0.0439914,0.0387052,0.0358197,0.014603,0.047264,0.00818016,0.0186434,0.0337762,0,0.0175517,0.0213089,0,0,0.0125965,0,0,0.0335791,0.054138,0.0556256,0.0332686,0.0379385,0.0167508,0.0351466,0.0290031,0.0552748,0.0642848,0.0636012,0.0668891,0.0709715,0.0430556,0.0370888,0.0180772,0.0201402,0.0428424,0.0215412,0,0,0,0,0,0,0,0,0,0.0471148,0.0394183,0,0.0513086,0,0.0297665,0.0422057,0
228,0.0380912,0.0463016,0,0,0,0,0.0270053,0.0572471,0,0,0.0125516,0,0,0.0334846,0.0209438,0.0358943,0.0211011,0.0464832,0.0262303,0.0294827,0.0203128,0.0263058,0.0148044,0.0435218,0.0385665,0.0357556,0.0141662,0.0473954,0.00814604,0.0184341,0.035451,0,0.016759,0.0213538,0,0,0.0119981,0,0,0.0338509,0.0536015,0.054768,0.0334455,0.0380956,0.0164595,0.0344109,0.0301366,0.0550169,0.0648738,0.0644008,0.0672963,0.0705631,0.0372043,0.0370872,0.018206,0.020306,0.0428628,0.0212985,0,0,0,0,0,0,0,0,0,0.0470129,0.0388904,0,0.0515853,0,0.0298372,0.0426959,0
229,0.0380554,0.0463015,0,0,0,0,0.0273015,0.0577365,0,0,0.0126478,0,0,0.0333788,0.021584,0.0360713,0.0207037,0.0466715,0.0254004,0.0294257,0.0202493,0.0260589,0.0154509,0.0435333,0.0384396,0.0357019,0.0138414,0.0474778,0.00813636,0.0182159,0.0384116,0,0.0158098,0.0214546,0,0,0.0125869,0,0,0.0336001,0.0528429,0.0535176,0.0336062,0.0380472,0.0171695,0.0339902,0.0313662,0.0550203,0.0655067,0.0652036,0.0673784,0.0700662,0.0302234,0.0369038,0.017971,0.0201924,0.0428535,0.0208466,0,0,0,0,0,0,0,0,0,0.0466473,0.0381644,0,0.0520425,0,0.0299966,0.0433238,0
230,0.0381363,0.0462665,0,0,0,0,0.027497,0.0574349,0,0,0.0125916,0,0,0.0333905,0.0222845,0.0363007,0.0203536,0.0468386,0.0253012,0.0292888,0.0204966,0.0258125,0.0159584,0.0436615,0.0384817,0.035728,0.0136953,0.0475493,0.00813324,0.0181836,0.0426292,0,0.0152238,0.0214656,0,0,0.0125158,0,0,0.0335524,0.0525601,0.0525539,0.0339364,0.0381979,0.0170292,0.0334413,0.0322532,0.0546927,0.0659069,0.0657902,0.067312,0.0695009,0.0233747,0.0369595,0.017981,0.0201523,0.0429244,0.0206583,0,0,0,0,0,0,0,0,0,0.0464563,0.0368006,0,0.0527742,0,0.0300171,0.0436322,0
231,0.0382917,0.046235,0,0,0,0,0.0276763,0.0570355,0,0,0.0125557,0,0,0.0334129,0.0233397,0.0362566,0.0198679,0.04686,0.0250455,0.0291841,0.0209561,0.0254774,0.0166948,0.043451,0.0382845,0.0357327,0.0133638,0.0475772,0.00812933,0.0181526,0.0477227,0,0.0149481,0.0215162,0,0,0.0124819,0,0,0.033569,0.0521755,0.0515617,0.0341898,0.0381716,0.0168673,0.0332079,0.0328594,0.0547969,0.0660657,0.0662097,0.0671283,0.0688761,0.0166149,0.036993,0.0180493,0.0201659,0.0430048,0.0204707,0,0,0,0,0,0,0,0,0,0.0465074,0.0350192,0,0.053742,0,0.0299212,0.044619,0
232,0.0384915,0.0462466,0,0,0,0,0.0278199,0.0563975,0,0,0.0125505,0,0,0.0334251,0.0247083,0.0361214,0.0192365,0.0466693,0.0247514,0.0290002,0.0215766,0.0251902,0.0174775,0.0432117,0.0381378,0.0357826,0.0130828,0.0476058,0.0080948,0.0181874,0.0531956,0,0.015067,0.0215176,0,0,0.0124871,0,0,0.0335757,0.0515228,0.0501385,0.0345833,0.0379905,0.0167662,0.0333711,0.0328697,0.0554345,0.0660173,0.0663297,0.0666938,0.0680774,0.0122021,0.0369692,0.0180797,0.02011,0.043069,0.0202935,0,0,0,0,0,0,0,0,0,0.0466794,0.0329872,0,0.0550279,0,0.0298315,0.045868,0
