Timestep,C7,CLAV,IMUL_L,IMUL_M,IMUL_R,IMUR_B,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x71,x72,x73,x74,x75,IMUR_M
95,0.03049,0.0497577,0,0,0,0,0,0.0176064,0,0.0306709,0.0511901,0,0,0.014315,0,0,0.0327943,0.0357094,0.0442742,0.0254098,0.0609139,0.0248493,0.0307127,0.014839,0.0499448,0.0319337,0.0453026,0.0464284,0.0387766,0.0340492,0.0538488,0.044762,0.00719716,0.0163809,0.0572597,0,0.00995939,0.0604944,0.0178121,0,0,0.0135688,0,0,0.0344759,0.0511505,0.0477289,0.0321278,0.0215541,0.0290558,0.0230207,0.0337448,0.0274425,0.055811,0.0645579,0.064348,0.0652853,0.0654266,0.0171015,0.0325517,0.0189857,0.0217438,0.0426999,0.0161522,0,0,0,0,0,0,0,0,0,0,0
96,0.0305711,0.0497115,0,0,0,0,0,0.017116,0,0.0302931,0.0509892,0,0,0.014192,0,0,0.032619,0.0365981,0.0438767,0.0253519,0.0613337,0.0249243,0.030397,0.0149323,0.0497144,0.0317197,0.0451592,0.0463612,0.0385813,0.0336488,0.0525725,0.0448262,0.00718472,0.0163029,0.0607852,0,0.0111466,0.0610283,0.017979,0,0,0.0135602,0,0,0.0345007,0.0500912,0.0498914,0.0323621,0,0.0289104,0.0231939,0.0337214,0.0292758,0.0564109,0.0635668,0.063529,0.0642638,0.0642655,0.0207994,0.0325144,0.0190944,0.0219982,0.0426629,0.0160588,0,0,0,0,0,0,0,0,0,0,0
97,0.0305721,0.0496531,0,0,0,0,0,0.0292649,0,0.0254432,0.0523348,0,0,0.0144173,0,0,0.0322437,0.0353976,0.0360582,0.0246281,0.0606184,0.0248964,0.0298219,0.0147505,0.047365,0.0310564,0.0437771,0.0463165,0.0370314,0.0309626,0,0.0449019,0.00734159,0.0162175,0.0599998,0,0.0101713,0.0595708,0.0185823,0,0,0.0133096,0,0,0.03467,0.0514183,0.0478986,0.0318288,0.0199459,0.0291175,0.0236896,0.034375,0.026753,0.0561665,0.0646245,0.0646315,0.0653516,0.0649252,0.0194672,0.0323055,0.0192665,0.0221591,0.042679,0.0159172,0,0,0,0,0,0,0,0,0,0,0
98,0.0305412,0.0496525,0,0,0,0,0,0.0180521,0,0.030075,0.0507868,0,0,0.0142715,0,0,0.0325489,0.0370217,0.0437276,0.0247336,0.0623068,0.0256059,0.0299832,0.0143423,0.04738,0.0307294,0.0443967,0.046012,0.0380443,0.0330783,0.051446,0.0448338,0.00705676,0.0162177,0.0603734,0,0.0102839,0.0608862,0.0182303,0,0,0.0139864,0,0,0.0345392,0.0507138,0.0480434,0.0314607,0.019739,0.0282403,0.0234681,0.0343834,0.0269254,0.056196,0.0647219,0.0646696,0.0654098,0.064572,0.0199973,0.0320952,0.0192254,0.0221202,0.0426757,0.0160765,0,0,0,0,0,0,0,0,0,0,0
99,0.030542,0.0496269,0,0,0,0,0,0.0196225,0,0.0302033,0.0507179,0,0,0.014313,0,0,0.0325447,0.037488,0.0434984,0.0246788,0.0621356,0.026031,0.0297142,0.0141398,0.0468655,0.0300346,0.04402,0.0460113,0.038107,0.0330989,0.0513879,0.0448382,0.00701491,0.0161398,0.0613494,0,0.010554,0.0611635,0.018278,0,0,0.0139802,0,0,0.0345721,0.0505249,0.0481821,0.0312348,0.0193771,0.0279746,0.0237111,0.0344678,0.0267388,0.0561725,0.0647195,0.0647155,0.0654356,0.0647017,0.0207785,0.0319237,0.019239,0.0222942,0.0427686,0.0160677,0,0,0,0,0,0,0,0,0,0,0
100,0.0305057,0.0495782,0,0,0,0,0,0.0187918,0,0.0300289,0.0505786,0,0,0.014297,0,0,0.0324063,0.0379535,0.0438708,0.0246665,0.0613189,0.0264135,0.0295122,0.0138581,0.0463283,0.0293111,0.0436381,0.0460441,0.0380166,0.0329081,0.0506894,0.0448516,0.006963,0.0159584,0.0625321,0,0.0107923,0.0614814,0.0183169,0,0,0.0140064,0,0,0.0346656,0.050347,0.0483555,0.0309321,0.0191439,0.0276443,0.0239295,0.0344404,0.0263401,0.056244,0.0645809,0.0648334,0.0654779,0.0648988,0.0214506,0.0317921,0.0192094,0.0223741,0.0428094,0.0160168,0,0,0,0,0,0,0,0,0,0,0
101,0.0308023,0.0495318,0,0,0,0,0,0.0197057,0,0.0324635,0.0516047,0,0,0.0140308,0,0,0.0321433,0.0377628,0.0486846,0.0269534,0,0.0274587,0.0293978,0.0138124,0.0497421,0.0290933,0.0400442,0.0419013,0.0343546,0.0301299,0.0484241,0.0452091,0.00716895,0.0155131,0.062867,0,0.0112122,0.0620813,0.0177928,0,0,0.013978,0,0,0.0344061,0.0497964,0.0488539,0.0306585,0.019025,0.0267312,0.0231618,0.0343868,0.0261709,0.056371,0.0640736,0.0645801,0.0653839,0.06479,0.0218645,0.0324783,0.0187022,0.0217796,0.0430513,0.0153742,0,0,0,0,0,0,0,0,0,0,0
102,0.0304717,0.049433,0,0,0,0,0,0.0187969,0,0.0298896,0.0502735,0,0,0.0140746,0,0,0.0323166,0.0388537,0.0447561,0.0249161,0.0580119,0.0270356,0.0291298,0.0136432,0.0452985,0.0280645,0.0431735,0.0457689,0.0378235,0.0326684,0.0494834,0.0451442,0.00706368,0.0154472,0.063661,0,0.0111484,0.0623029,0.0182484,0,0,0.0140166,0,0,0.0345545,0.0500678,0.0491764,0.0305071,0.0184386,0.0268139,0.0238038,0.0343595,0.0256984,0.0563424,0.0644827,0.0648672,0.0655406,0.064977,0.0238965,0.0318414,0.0191006,0.0222882,0.0427103,0.0157669,0,0,0,0,0,0,0,0,0,0,0
103,0.0306749,0.0492812,0,0,0,0,0,0.0192747,0,0.0295522,0.04992,0,0,0.0140145,0,0,0.0322816,0.0393605,0.0450957,0.0251351,0.0571823,0.0272344,0.0290423,0.0136265,0.0448366,0.0274679,0.0432281,0.0459071,0.037905,0.0329405,0.0495343,0.0453145,0.00713706,0.015377,0.0636757,0,0.01142,0.0630215,0.0181333,0,0,0.0142176,0,0,0.0343897,0.0497766,0.0493071,0.030113,0.0180891,0.0262847,0.0236583,0.034792,0.0255975,0.0565739,0.0644868,0.06473,0.0654578,0.0651012,0.0246739,0.0318388,0.0188878,0.0222062,0.0425717,0.0157357,0,0,0,0,0,0,0,0,0,0,0
104,0.0308425,0.0492319,0,0,0,0,0,0.0193643,0,0.0291518,0.0497233,0,0,0.0139312,0,0,0.032093,0.0394856,0.0461453,0.0250655,0.0570146,0.0273408,0.0288584,0.0132787,0.0444197,0.0267763,0.0435033,0.0463494,0.0383396,0.0336762,0.0494662,0.0453992,0.00717626,0.0152566,0.064278,0,0.0116328,0.0635693,0.0181407,0,0,0.0143237,0,0,0.0343254,0.0494839,0.0494465,0.0296447,0.0179365,0.0258836,0.0235482,0.0350556,0.0254388,0.0567165,0.0643918,0.0646092,0.0653425,0.0650726,0.0246867,0.0318394,0.0188232,0.022198,0.0424817,0.015668,0,0,0,0,0,0,0,0,0,0,0
