Timestep,C7,CLAV,IMUL_L,IMUL_M,IMUL_R,IMUR_B,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x71,x72,x73,x74,x75,IMUR_M
115,0.0313,0.0492657,0,0,0,0,0,0.0285098,0,0.0251489,0.0511467,0,0,0.013179,0,0,0.0329326,0.039558,0.0438679,0.0242965,0.0538448,0.027338,0.0288124,0.0193864,0.0425728,0.0232774,0.0459424,0.0492478,0.0397761,0.0367115,0.0332949,0.0454695,0.00721259,0.0159136,0.0681472,0,0.0142578,0.0664407,0.0178761,0,0,0.0142231,0,0,0.0340705,0.0472443,0.0504873,0.0291577,0.0160378,0.024227,0.0225624,0.0358642,0.024958,0.0573586,0.0638055,0.0640623,0.0642419,0.0637213,0.0301641,0.0324985,0.0185263,0.0219008,0.0424787,0.0149246,0,0,0,0,0,0,0,0,0,0,0
116,0.0318081,0.049114,0,0,0,0,0,0.0351446,0,0.026409,0.0534747,0,0,0.0133727,0,0,0.0324115,0.0410704,0.0464609,0.0267876,0,0.0273749,0.0290115,0.0219166,0.0458765,0.024414,0.0428344,0.0469541,0.03661,0.0340917,0.0242168,0.0456132,0.00763518,0.0161922,0.066373,0,0.0149134,0.0663968,0.0178064,0,0,0.0139214,0,0,0.0343627,0.0475688,0.0506436,0.0292634,0.015283,0.0234163,0.0218595,0.0363863,0.023905,0.0573787,0.0636772,0.064102,0.0642483,0.0637872,0.0272783,0.0330312,0.017833,0.0210318,0.0426482,0.0143786,0,0,0,0,0,0,0,0,0,0,0
117,0.0312834,0.0492229,0,0,0,0,0,0.0353062,0,0.0249685,0.0525434,0,0,0.0131464,0,0,0.0328188,0.0408551,0.0427606,0.0240426,0.0523609,0.0266511,0.0286885,0.0200391,0.0412971,0.0261961,0.0446671,0.0486425,0.0387913,0.0364831,0.0235068,0.0455146,0.00710575,0.015979,0.069158,0,0.0144542,0.0655629,0.0181639,0,0,0.0139782,0,0,0.0343701,0.0476439,0.0506404,0.0289958,0.01491,0.0245293,0.0227012,0.0356113,0.0244055,0.0568555,0.0641261,0.0644946,0.0644487,0.0639794,0.0320772,0.0324138,0.0187152,0.0219507,0.0424278,0.0148233,0,0,0,0,0,0,0,0,0,0,0
118,0.0317706,0.048812,0,0,0,0,0,0.0380321,0,0.0257199,0.0539115,0,0,0.0137409,0,0,0.0323098,0.041094,0.0424091,0.0246574,0.0515096,0.0263241,0.0288648,0.020774,0.0406634,0.0283324,0.0442682,0.0482022,0.0385671,0.0362973,0.0197629,0.0453526,0.0080067,0.0165154,0.0671759,0,0.0150185,0.0646148,0.0185457,0,0,0.0137097,0,0,0.0344752,0.048324,0.0505125,0.0287237,0.0140341,0.0246803,0.0228806,0.0363554,0.0228929,0.05681,0.0642173,0.0648044,0.0648164,0.0642617,0.0280545,0.0326449,0.0185897,0.0218343,0.0421188,0.0149815,0,0,0,0,0,0,0,0,0,0,0
119,0.0312369,0.0492455,0,0,0,0,0,0.0418235,0,0.0256154,0.0545015,0,0,0.0130957,0,0,0.0328226,0.040976,0.0417285,0.0244284,0.0500978,0.0259898,0.0287152,0.0219898,0.0399964,0.0305697,0.044562,0.0485436,0.0386118,0.0353108,0.0159624,0.0456694,0.00724029,0.015902,0.0706366,0,0.0151492,0.064107,0.0183094,0,0,0.0138545,0,0,0.0344324,0.0481737,0.0504102,0.0287045,0.0140494,0.0249691,0.0227979,0.0351896,0.0239436,0.0561245,0.0644558,0.0649366,0.0646686,0.064157,0.0330627,0.0322228,0.0187527,0.0220081,0.0424252,0.0147617,0,0,0,0,0,0,0,0,0,0,0
120,0.0317074,0.0488186,0,0,0,0,0,0.0437949,0,0.0264262,0.0556436,0,0,0.0136396,0,0,0.0321156,0.0400119,0.0416823,0.0252265,0.049072,0.0258961,0.0289683,0.0231184,0.0400321,0.0322127,0.0447396,0.0485085,0.0389584,0.0359856,0.0142151,0.0454808,0.00794742,0.016506,0.0683605,0,0.0156715,0.0633338,0.0185781,0,0,0.0135026,0,0,0.0343016,0.0489655,0.0504851,0.0285836,0.0131773,0.0250114,0.0229831,0.0359183,0.0226227,0.0560365,0.0645042,0.0651742,0.0649991,0.064454,0.02904,0.0324417,0.0185362,0.0219067,0.0421535,0.014866,0,0,0,0,0,0,0,0,0,0,0
121,0.0315491,0.0489666,0,0,0,0,0,0.04581,0,0.0261703,0.0563104,0,0,0.0135287,0,0,0.0321952,0.0386951,0.0411087,0.0257628,0.0482108,0.0258018,0.0291046,0.0244836,0.0400099,0.0330279,0.0450622,0.0486468,0.0393112,0.0372512,0.0125081,0.0455012,0.0077808,0.0166125,0.0683408,0,0.0159915,0.0630818,0.018473,0,0,0.0134626,0,0,0.0343728,0.0490345,0.0505428,0.0284933,0.0129819,0.0250608,0.0229348,0.0356851,0.0227323,0.0556054,0.0645482,0.0652228,0.0648879,0.0643694,0.0291995,0.0324291,0.0184239,0.0218029,0.0422899,0.0146397,0,0,0,0,0,0,0,0,0,0,0
122,0.0314673,0.0490865,0,0,0,0,0,0.0465798,0,0.0257122,0.0570111,0,0,0.013601,0,0,0.0323978,0.0372264,0.0399373,0.0262363,0.0475788,0.0257813,0.0292833,0.0254121,0.03991,0.0327866,0.0453553,0.0487992,0.0396985,0.0383142,0.0117527,0.0455184,0.00783886,0.0168475,0.0680242,0,0.0163111,0.0628722,0.0183928,0,0,0.0133677,0,0,0.0344243,0.0494071,0.0508397,0.0282803,0.0130209,0.0251987,0.0228814,0.0354666,0.0228574,0.0552868,0.0644478,0.0652105,0.06475,0.0642067,0.0292082,0.0326144,0.0183175,0.0216919,0.0424025,0.0144983,0,0,0,0,0,0,0,0,0,0,0
123,0.0313846,0.0491774,0,0,0,0,0,0.0460215,0,0.0253039,0.0573088,0,0,0.0135835,0,0,0.0325835,0.0358965,0.0386058,0.0268362,0.0471035,0.025957,0.0297185,0.0261813,0.0398691,0.0319872,0.0455508,0.0489975,0.0399596,0.0386584,0.0119379,0.0455144,0.00784928,0.0170148,0.0675714,0,0.0165861,0.0628162,0.0180594,0,0,0.0133798,0,0,0.0344278,0.0494481,0.0513008,0.0282595,0.0132054,0.0250901,0.0225949,0.0352475,0.0231687,0.0550635,0.064157,0.0650117,0.0644462,0.0638856,0.0291284,0.0328623,0.0181808,0.0215143,0.0424942,0.0144392,0,0,0,0,0,0,0,0,0,0,0
124,0.0312598,0.0492557,0,0,0,0,0,0.0447155,0,0.0250778,0.0576761,0,0,0.0137457,0,0,0.0327901,0.0346326,0.0370595,0.0272125,0.0466034,0.0260571,0.030226,0.0264695,0.0393995,0.0305494,0.0455659,0.0491176,0.0400319,0.0384661,0.0124348,0.0453784,0.00798678,0.0172906,0.0665737,0,0.0167943,0.0626429,0.0177908,0,0,0.013279,0,0,0.0344465,0.0493581,0.0518916,0.0281068,0.0135138,0.0251483,0.0223691,0.03517,0.0234598,0.055002,0.063813,0.0646943,0.0640436,0.0634255,0.0284847,0.033217,0.0180313,0.0212859,0.0425623,0.0143687,0,0,0,0,0,0,0,0,0,0,0
125,0.0310197,0.0494132,0,0,0,0,0,0.0431853,0,0.0248869,0.0578905,0,0,0.013889,0,0,0.032917,0.0342227,0.0355213,0.0274722,0.046167,0.0260943,0.0308378,0.0265327,0.0389408,0.0288157,0.0453414,0.0489764,0.0396471,0.0378299,0.0129324,0.0451577,0.00796376,0.0175557,0.0653951,0,0.0171996,0.0624786,0.0174215,0,0,0.0130723,0,0,0.0345388,0.0492372,0.0524828,0.0280157,0.0141095,0.0251731,0.0220895,0.0351086,0.0238945,0.0551027,0.0633371,0.0641836,0.0635382,0.0629214,0.0275473,0.0335298,0.0178229,0.0209534,0.0426621,0.0142675,0,0,0,0,0,0,0,0,0,0,0
126,0.0308704,0.0494794,0,0,0,0,0,0.0415814,0,0.024438,0.0577531,0,0,0.0140553,0,0,0.0331001,0.0340962,0.0343285,0.0274379,0.0455447,0.0260648,0.0315877,0.0263097,0.0389583,0.0272529,0.0450925,0.0488567,0.0391359,0.0372249,0.0136626,0.044929,0.00803253,0.0177168,0.0639778,0,0.0176646,0.0622965,0.016947,0,0,0.0129002,0,0,0.0344488,0.0491841,0.053147,0.0276044,0.0150499,0.0251165,0.0218309,0.0351029,0.0243722,0.0553365,0.0627044,0.0635567,0.0630899,0.0623875,0.0267223,0.0338405,0.017689,0.0206752,0.0427131,0.0143107,0,0,0,0,0,0,0,0,0,0,0
127,0.030366,0.0498784,0,0,0,0,0,0.041262,0,0.023338,0.0576846,0,0,0.0139165,0,0,0.0335988,0.0337379,0.0332569,0.0269937,0.0447906,0.0258471,0.0321177,0.025976,0.0378774,0.0257322,0.044891,0.0487677,0.038875,0.0366305,0.0140632,0.0448759,0.00756803,0.0175002,0.0641797,0,0.0180265,0.0619071,0.0164367,0,0,0.0127517,0,0,0.0343823,0.0490406,0.0541998,0.0277237,0.0164649,0.0251551,0.0215714,0.0344627,0.0258027,0.0552,0.0621466,0.0629369,0.0622899,0.0616581,0.0288587,0.0340016,0.0176627,0.0204207,0.0430732,0.0141936,0,0,0,0,0,0,0,0,0,0,0
128,0.0304109,0.0502283,0,0,0,0,0,0.0413728,0,0.0228947,0.0591183,0,0,0.0137015,0,0,0.0336136,0.0328188,0.0343953,0.029584,0.0465495,0.02633,0.0329437,0.0261911,0,0.0246659,0.0427021,0.0463211,0.037381,0.0352375,0.0143826,0.0451667,0.00732351,0.017353,0.0625086,0,0.0185318,0.0623439,0.0155593,0,0,0.0126515,0,0,0.0342755,0.0490589,0.054906,0.0279965,0.018051,0.0242151,0.0204208,0.0341253,0.0264108,0.0549866,0.0614492,0.062195,0.0615364,0.061041,0.0276631,0.034965,0.0169812,0.0193728,0.043815,0.0137297,0,0,0,0,0,0,0,0,0,0,0
129,0.030473,0.0499091,0,0,0,0,0,0.0429811,0,0.0215665,0.0578771,0,0,0.0146014,0,0,0.0329781,0.0315004,0.0315465,0.025998,0.0450895,0.0260609,0.0333919,0.024412,0.0380838,0.0227186,0.0442109,0.0477575,0.0395671,0.0367174,0.0133928,0.0449884,0.00793226,0.0178676,0.0701634,0,0.0200937,0.0613557,0.0163898,0,0,0.011883,0,0,0.0342277,0.0480506,0.0525831,0.0283441,0.0241457,0.0259802,0.0212746,0.0332612,0.0303916,0.0554477,0.0605467,0.0605545,0.0594104,0.0599736,0.0363973,0.0352787,0.0172757,0.0196491,0.0435495,0.0141333,0,0,0,0,0,0,0,0,0,0,0
130,0.0304599,0.0499605,0,0,0,0,0,0.0419669,0,0.0209065,0.0578967,0,0,0.0149095,0,0,0.0332138,0.0303801,0.0311524,0.0256705,0.0458347,0.0263509,0.0343565,0.0238809,0.0375598,0.0219185,0.0443095,0.0477599,0.0399304,0.0369226,0.0140168,0.0446849,0.0079427,0.0182954,0.066806,0,0.0201625,0.0610247,0.0160198,0,0,0.0118212,0,0,0.0341931,0.0482142,0.0532422,0.0283396,0.0255878,0.0260324,0.0211894,0.0334112,0.0305186,0.0555534,0.0601327,0.0599328,0.0592488,0.0600721,0.0336712,0.0355121,0.0171517,0.0194671,0.0436971,0.0141381,0,0,0,0,0,0,0,0,0,0,0
131,0.0303516,0.0498742,0,0,0,0,0,0.0403446,0,0.0216751,0.0576821,0,0,0.0152932,0,0,0.0335296,0.0295017,0.0319936,0.0249864,0.0464611,0.0268177,0.0353853,0.023456,0.0366576,0.0212937,0.0446771,0.0484384,0.03946,0.0356283,0.0152714,0.0441658,0.00795567,0.0187743,0.0626837,0,0.0202473,0.0607073,0.0156202,0,0,0.011775,0,0,0.0342616,0.0483489,0.0540671,0.0283424,0.0267587,0.0264197,0.0210605,0.034063,0.0306519,0.0556427,0.059789,0.0594749,0.0591822,0.0604342,0.0308392,0.0356463,0.0170954,0.0193994,0.0436811,0.0142402,0,0,0,0,0,0,0,0,0,0,0
132,0.0300738,0.0497529,0,0,0,0,0,0.0386773,0,0.0232733,0.0572967,0,0,0.0158189,0,0,0.0338233,0.0300995,0.0337689,0.0242424,0.0463351,0.0272239,0.0363762,0.0231396,0.0360265,0.020931,0.0447824,0.0490974,0.0385739,0.0344434,0.0170759,0.0436316,0.00789991,0.0192816,0.0581001,0,0.0205717,0.0601223,0.0152599,0,0,0.0116637,0,0,0.0345304,0.0485934,0.0549586,0.0282736,0.0277424,0.0270966,0.0208907,0.034892,0.0306793,0.0561666,0.0596139,0.0589914,0.0591413,0.0609186,0.0284669,0.0357122,0.0171444,0.01951,0.0435443,0.0144574,0,0,0,0,0,0,0,0,0,0,0
133,0.0298113,0.0497063,0,0,0,0,0,0.0373773,0,0.0252254,0.0569444,0,0,0.0163871,0,0,0.0341599,0.0323528,0.0358182,0.0238118,0.0459379,0.0275297,0.0373281,0.0229785,0.0356771,0.0209318,0.0444921,0.0491663,0.0377503,0.0350252,0.0190789,0.0430751,0.00792908,0.0197887,0.0536701,0,0.0210576,0.0592137,0.0150128,0,0,0.0114137,0,0,0.0347483,0.0491488,0.0558904,0.0284119,0.0284143,0.0279807,0.0207059,0.0357127,0.0304157,0.0569444,0.0594148,0.0584788,0.058943,0.0612922,0.0269423,0.0358078,0.0171999,0.0195921,0.0435116,0.0147527,0,0,0,0,0,0,0,0,0,0,0
134,0.0296999,0.0497936,0,0,0,0,0,0.0368209,0,0.0263016,0.0563624,0,0,0.0170386,0,0,0.0344428,0.0332217,0.0372834,0.0235716,0.0458587,0.0269945,0.03843,0.0232193,0.0349597,0.0210068,0.0440635,0.0487496,0.0372762,0.0355106,0.0199191,0.0424541,0.00803179,0.0202901,0.049731,0,0.021347,0.0581425,0.0148333,0,0,0.0110435,0,0,0.0347907,0.0498589,0.0566436,0.0286335,0.0289695,0.0285442,0.0205269,0.0367357,0.0299487,0.0578271,0.0591802,0.0578895,0.0586657,0.0615223,0.0260199,0.0358906,0.0172284,0.0196515,0.0435182,0.0151646,0,0,0,0,0,0,0,0,0,0,0
135,0.0299155,0.0501,0,0,0,0,0,0.0376928,0,0.0275414,0.0571136,0,0,0.0174106,0,0,0.0345875,0.0345014,0.0389722,0.0261595,0.0490709,0.0273157,0.0395854,0.0238275,0,0.0202048,0.0419925,0.0464245,0.0355472,0.0338537,0.0191635,0.0421674,0.00822207,0.0205965,0.0465146,0,0.0212844,0.0571657,0.0142949,0,0,0.0107838,0,0,0.0346145,0.051104,0.0569922,0.0296402,0.0297455,0.0281095,0.0197353,0.0380078,0.0295913,0.0587512,0.0587629,0.0570405,0.0581381,0.0614985,0.0255385,0.0365069,0.016959,0.0191278,0.0438873,0.0151787,0,0,0,0,0,0,0,0,0,0,0
136,0.0297587,0.0500597,0,0,0,0,0,0.0376627,0,0.0256819,0.0551836,0,0,0.0182805,0,0,0.0349157,0.035866,0.0375234,0.0238568,0.0489665,0.0274254,0.0405707,0.0237029,0.0333355,0.0196031,0.0433828,0.0476035,0.0370856,0.0348475,0.0192047,0.0414169,0.00840465,0.0210124,0.0429718,0,0.0204438,0.0563545,0.0144655,0,0,0.0107923,0,0,0.0348607,0.0520169,0.0567228,0.0298394,0.0308563,0.028663,0.0208161,0.0391202,0.0292071,0.0595288,0.0587691,0.0566028,0.0577493,0.0615611,0.0255946,0.035732,0.0173917,0.0198609,0.0434924,0.0154058,0,0,0,0,0,0,0,0,0,0,0
137,0.0297357,0.049968,0,0,0,0,0,0.0386128,0,0.0245731,0.0543743,0,0,0.0189665,0,0,0.0352152,0.0363549,0.0366063,0.0239599,0.0512065,0.0281918,0.0416232,0.0233065,0.0333211,0.0184672,0.0434509,0.0474651,0.0373795,0.0348882,0.0182865,0.0408062,0.00855279,0.0213913,0.0397009,0,0.0196395,0.0559355,0.0142574,0,0,0.0108314,0,0,0.0349085,0.053208,0.0564147,0.0298552,0.0324308,0.0284938,0.0213094,0.0401297,0.0288923,0.0603507,0.0587585,0.0560841,0.0570089,0.0614494,0.0263757,0.0353895,0.0175567,0.0200957,0.0434248,0.0152696,0,0,0,0,0,0,0,0,0,0,0
138,0.0296774,0.0498052,0,0,0,0,0,0.039746,0,0.0233932,0.0535239,0,0,0.0198062,0,0,0.0355375,0.0359845,0.035643,0.0240768,0.0522895,0.0288132,0.0427996,0.0226216,0.0335069,0.0173578,0.043635,0.0475146,0.0377813,0.0351591,0.0171845,0.0400684,0.00865542,0.0217745,0.0364298,0,0.0190348,0.0556894,0.0140338,0,0,0.0108806,0,0,0.0349948,0.0541945,0.055952,0.0298461,0.0337976,0.0283726,0.0217366,0.041493,0.0287629,0.0614344,0.0590211,0.0557465,0.0564986,0.0614631,0.0276343,0.035029,0.0177004,0.0203058,0.0432712,0.0151871,0,0,0,0,0,0,0,0,0,0,0
139,0.0296227,0.0497215,0,0,0,0,0,0.0404971,0,0.0224205,0.0528442,0,0,0.0206687,0,0,0.0358646,0.0349094,0.035033,0.0242855,0.0517382,0.029371,0.0439135,0.0221252,0.0335615,0.0163856,0.0437035,0.0476147,0.0380479,0.0353576,0.0163102,0.0393611,0.00874215,0.0221289,0.0334772,0,0.0184469,0.0555868,0.0137871,0,0,0.0110824,0,0,0.0351213,0.0548477,0.0549981,0.0298992,0.0351207,0.0283,0.0220571,0.0431309,0.0293932,0.0625254,0.0595025,0.0556461,0.056302,0.0616725,0.0294841,0.0348236,0.0177906,0.0204555,0.0430555,0.0152221,0,0,0,0,0,0,0,0,0,0,0
140,0.0295421,0.0497174,0,0,0,0,0,0.0409024,0,0.022059,0.0523438,0,0,0.0214901,0,0,0.0361207,0.033359,0.0349086,0.0246071,0.0499176,0.0299345,0.044944,0.0220542,0.0334412,0.0155779,0.0438324,0.0477603,0.0380056,0.035425,0.0158682,0.0387509,0.00878768,0.0224147,0.0312851,0,0.0177958,0.0555857,0.0135146,0,0,0.0112836,0,0,0.035284,0.0549845,0.0533592,0.0298686,0.0366597,0.0283506,0.0221833,0.0448874,0.0305448,0.0639376,0.0599165,0.0556264,0.0563125,0.0621154,0.0324044,0.0348073,0.017863,0.020489,0.0428354,0.0154273,0,0,0,0,0,0,0,0,0,0,0
141,0.0294448,0.049726,0,0,0,0,0,0.0409469,0,0.0223343,0.0520326,0,0,0.022104,0,0,0.0363788,0.0310687,0.035182,0.0250013,0.0476719,0.0302034,0.0457868,0.0224205,0.0333157,0.0150313,0.0441184,0.047924,0.0379554,0.0354302,0.0159197,0.038289,0.00883332,0.0226313,0.030338,0,0.0174578,0.0555059,0.0132363,0,0,0.0112973,0,0,0.0353223,0.054437,0.0512894,0.0299359,0.0383189,0.02853,0.022052,0.0464378,0.0319302,0.0657506,0.0601328,0.0556328,0.056722,0.0630146,0.036614,0.0349024,0.0178571,0.0203897,0.0427657,0.0156641,0,0,0,0,0,0,0,0,0,0,0
142,0.0293832,0.0497096,0,0,0,0,0,0.0403388,0,0.0229749,0.0518517,0,0,0.022525,0,0,0.0365496,0.0283536,0.0356245,0.0252797,0.0460099,0.0301418,0.0463224,0.0230989,0.0333277,0.0146909,0.0442882,0.0480114,0.0382949,0.0354844,0.0164274,0.0380483,0.00885742,0.0226712,0.0299817,0,0.0177468,0.0553702,0.0130048,0,0,0.0112843,0,0,0.0353574,0.0534286,0.0499044,0.0298628,0.0399546,0.0286629,0.0218583,0.0476262,0.0325077,0.0672525,0.0605206,0.0557092,0.0575142,0.0641967,0.0415007,0.0351017,0.0177265,0.0202052,0.0427712,0.0158118,0,0,0,0,0,0,0,0,0,0,0
143,0.029384,0.0496512,0,0,0,0,0,0.0393667,0,0.0234547,0.0516683,0,0,0.022626,0,0,0.0365501,0.0271631,0.0359144,0.0252744,0.0455504,0.02982,0.0464851,0.0237576,0.0334111,0.0148053,0.0444312,0.0478767,0.0384867,0.0356739,0.0171611,0.0380359,0.00885987,0.0225373,0.0293084,0,0.0179645,0.0552079,0.0128528,0,0,0.0113242,0,0,0.0354488,0.0528245,0.0494987,0.0300828,0.0415897,0.0286972,0.0216268,0.0488324,0.0326844,0.0682342,0.0615866,0.0559762,0.0582824,0.0651994,0.045332,0.0353776,0.0175773,0.0199689,0.0427637,0.0158778,0,0,0,0,0,0,0,0,0,0,0
144,0.0293694,0.0496083,0,0,0,0,0,0.0386524,0,0.0237105,0.0515316,0,0,0.0223868,0,0,0.0364233,0.0274947,0.036044,0.0250215,0.0458901,0.0293227,0.0463,0.0241898,0.033616,0.0152717,0.0446115,0.0476624,0.0383901,0.0358579,0.0177338,0.0382519,0.00881344,0.0223377,0.0281983,0,0.0180889,0.0550741,0.0127647,0,0,0.0114199,0,0,0.0354349,0.0528982,0.0496285,0.030328,0.0429117,0.0285395,0.0213618,0.0499632,0.033132,0.0688687,0.0626232,0.0564138,0.0589465,0.0662948,0.0473583,0.0356724,0.017389,0.0197137,0.0426689,0.0158885,0,0,0,0,0,0,0,0,0,0,0
145,0.0293566,0.0495946,0,0,0,0,0,0.0383314,0,0.0239847,0.0514015,0,0,0.0220071,0,0,0.036282,0.0280865,0.0360871,0.0246946,0.0466809,0.0288962,0.0458832,0.0245137,0.0338997,0.0156777,0.0447481,0.0482423,0.0380217,0.0360295,0.0178031,0.0385629,0.00880278,0.0221448,0.02736,0,0.0183623,0.0551603,0.0127345,0,0,0.011375,0,0,0.0354184,0.0536693,0.0499625,0.030554,0.0440766,0.0283149,0.021042,0.0508846,0.0335756,0.0694334,0.0634859,0.0568072,0.0596649,0.0674597,0.0483581,0.0358661,0.0173282,0.019575,0.0425222,0.0159,0,0,0,0,0,0,0,0,0,0,0
146,0.0293831,0.0495791,0,0,0,0,0,0.038349,0,0.0241145,0.0511515,0,0,0.0216629,0,0,0.0361767,0.0287314,0.0359826,0.0245078,0.0475036,0.0286136,0.0453348,0.024791,0.0342452,0.0157696,0.0448844,0.0493861,0.0377028,0.0362455,0.0175522,0.0388282,0.00878325,0.0220593,0.0267195,0,0.0185519,0.0553806,0.0127375,0,0,0.0112726,0,0,0.0353356,0.0549716,0.0502569,0.0304815,0.045018,0.0280453,0.0208179,0.0516698,0.0339776,0.0702578,0.0641921,0.057065,0.0603038,0.0682848,0.0488468,0.0359046,0.0173775,0.0195935,0.0424474,0.0158556,0,0,0,0,0,0,0,0,0,0,0
147,0.0293981,0.0495828,0,0,0,0,0,0.0384594,0,0.0239399,0.0508493,0,0,0.0214173,0,0,0.0361221,0.029552,0.0358856,0.0244954,0.0475251,0.0283296,0.0448375,0.024898,0.0343888,0.0156136,0.0450691,0.0490197,0.0381928,0.0364757,0.0177757,0.0390174,0.00872048,0.0220279,0.0262344,0,0.0185013,0.0557195,0.0127783,0,0,0.0112457,0,0,0.0352459,0.0564771,0.0502751,0.0299691,0.0458856,0.0276951,0.0207013,0.0524029,0.0343523,0.0712097,0.0644575,0.057245,0.0607469,0.0688808,0.0490868,0.0358225,0.0175129,0.0197121,0.0422094,0.0157008,0,0,0,0,0,0,0,0,0,0,0
148,0.0294322,0.0495075,0,0,0,0,0,0.0391748,0,0.0237605,0.0507136,0,0,0.0212275,0,0,0.0361104,0.0303361,0.0358681,0.0246079,0.046204,0.028087,0.0443733,0.0248556,0.0343582,0.015287,0.0452034,0.048492,0.0387194,0.0365706,0.0174273,0.0391881,0.00867251,0.0220179,0.025821,0,0.0183011,0.0559139,0.0128416,0,0,0.0112008,0,0,0.035091,0.0578975,0.0500778,0.029792,0.0467934,0.0274816,0.0205794,0.053001,0.0347387,0.0722146,0.0647003,0.0574939,0.0610445,0.0693643,0.0496214,0.0356756,0.0176803,0.0198544,0.0420275,0.0155291,0,0,0,0,0,0,0,0,0,0,0
149,0.0294852,0.0493737,0,0,0,0,0,0.0400122,0,0.0237511,0.0507412,0,0,0.0211276,0,0,0.0360724,0.0306703,0.0360412,0.0248323,0.045893,0.0280819,0.0439494,0.0248328,0.0340021,0.0152165,0.0453703,0.0487733,0.0393171,0.0366483,0.0168835,0.0392852,0.00867218,0.0220064,0.0255336,0,0.0181739,0.0559925,0.0129742,0,0,0.0111786,0,0,0.0350933,0.0588339,0.0499562,0.0295833,0.047665,0.0274909,0.0205402,0.0533795,0.0350523,0.0728781,0.065039,0.0578075,0.0613369,0.0698086,0.0502488,0.0354788,0.0178668,0.0201006,0.0419042,0.0152969,0,0,0,0,0,0,0,0,0,0,0
150,0.0296658,0.0493935,0,0,0,0,0,0.0417108,0,0.0246445,0.0522187,0,0,0.0207688,0,0,0.0359072,0.0297224,0.0369499,0.0274233,0.048115,0.0286473,0.0436089,0.0252157,0,0.0148134,0.0437872,0.0471098,0.0379941,0.035329,0.0154603,0.0396145,0.00866381,0.0218756,0.025255,0,0.0181893,0.0558629,0.0127811,0,0,0.0112044,0,0,0.0349926,0.059508,0.0499824,0.0292122,0.0484744,0.0271223,0.019893,0.0537615,0.0354258,0.0729006,0.0652964,0.0579911,0.0614346,0.0698936,0.0505175,0.0357687,0.0177877,0.0198619,0.0421043,0.0148046,0,0,0,0,0,0,0,0,0,0,0
151,0.0296596,0.0491427,0,0,0,0,0,0.0410145,0,0.0236744,0.051097,0,0,0.0207657,0,0,0.0359367,0.0293004,0.0359132,0.0252065,0.0456646,0.0282301,0.0432895,0.0249766,0.0338394,0.015911,0.0456799,0.0489356,0.039707,0.0369634,0.0153586,0.0394562,0.00869945,0.0220141,0.025134,0,0.0180675,0.0557164,0.0133848,0,0,0.011224,0,0,0.0351385,0.0594008,0.0499742,0.0281845,0.0488426,0.0276447,0.0206473,0.0534579,0.0349853,0.0723225,0.0655308,0.058353,0.0617171,0.0702593,0.0516466,0.0349489,0.018354,0.0206745,0.041603,0.0146928,0,0,0,0,0,0,0,0,0,0,0
152,0.0297632,0.0490578,0,0,0,0,0,0.0418189,0,0.0235345,0.0512933,0,0,0.0205099,0,0,0.0358148,0.0281727,0.0356662,0.0252114,0.0454259,0.0282696,0.0430176,0.0247514,0.0346661,0.0160502,0.045843,0.0490608,0.0397517,0.0370393,0.0148114,0.039584,0.00865967,0.0219647,0.0251526,0,0.0179577,0.0554148,0.0135424,0,0,0.0113031,0,0,0.0351233,0.0594543,0.0499501,0.0278199,0.0499658,0.0277042,0.0207644,0.0530123,0.0346795,0.071828,0.0658055,0.0587727,0.0621153,0.070704,0.0523774,0.0347286,0.0183964,0.0209198,0.0414464,0.0145373,0,0,0,0,0,0,0,0,0,0,0
153,0.0298113,0.0490805,0,0,0,0,0,0.0422419,0,0.0236531,0.0520512,0,0,0.020193,0,0,0.0354827,0.0267828,0.035644,0.0252871,0.0454777,0.0282476,0.0424287,0.0244062,0.0357509,0.0160947,0.0457413,0.0489497,0.0396274,0.0370007,0.0144727,0.0399332,0.008499,0.0216476,0.0268123,0,0.0211976,0.0548705,0.0137425,0,0,0.0114833,0,0,0.0351304,0.0577779,0.0567858,0.0280582,0,0.0281376,0.0209927,0.0538687,0.038875,0.0738026,0.063601,0.0554303,0.0594274,0.0688143,0.0522752,0.034555,0.018403,0.0210223,0.0413,0.0141114,0,0,0,0,0,0,0,0,0,0,0
