Timestep,C7,CLAV,IMUL_L,IMUL_M,IMUL_R,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x71,x72,x73,x74,x75
All Timesteps RMSE,0.033342,0.0483004,0,0,0,0,0,0,0.0379692,0,0.0264419,0.053415,0,0,0.0142726,0,0,0.0337327,0.0320452,0.0356138,0.0226818,0.0467795,0.023674,0.0337641,0.0219394,0.0286106,0.0330911,0.0234659,0.0464009,0.049686,0.0399182,0.036813,0.0283714,0.0456276,0.00787247,0.019394,0.0558032,0,0.0196227,0.0633662,0.0172122,0,0,0.0128809,0,0,0.0338015,0.0509337,0.0529262,0.0349225,0.0283724,0.0303117,0.0210286,0.041633,0.029986,0.0613711,0.0615075,0.0607571,0.0623802,0.0641668,0.0347049,0.0343558,0.0186535,0.0205114,0.0416753,0.017027,0,0,0,0,0,0,0,0,0,0
0,0.0338657,0.0497115,0,0,0,0,0,0,0.0477247,0,0.022033,0.0554308,0,0,0.0132491,0,0,0.0341734,0.0336461,0.0405087,0.0195825,0.0436305,0.0255974,0.0319235,0.0219466,0.0286533,0.0326806,0.0327107,0.0504131,0.0528274,0.0437121,0.0417584,0.0115536,0.0449488,0.00728929,0.0199911,0.0639497,0,0.0181222,0.0662379,0.0167032,0,0,0.0131578,0,0,0.0333483,0.0481916,0.0493351,0.0317413,0.0176002,0.0303376,0.022925,0.038991,0.0229441,0.0588502,0.0621159,0.0611359,0.063441,0.0630576,0.0239046,0.0328621,0.0199773,0.0214289,0.0426409,0.0146566,0,0,0,0,0,0,0,0,0,0
1,0.0337831,0.0498147,0,0,0,0,0,0,0.049318,0,0.0227433,0.0561385,0,0,0.0134248,0,0,0.033995,0.0328888,0.0392649,0.0198066,0.0440246,0.0257604,0.0320336,0.0216461,0.0273775,0.0332316,0.0329222,0.0505158,0.0528015,0.043796,0.0417169,0.0112763,0.0447143,0.00725936,0.0198075,0.0635748,0,0.0184585,0.0663903,0.0166108,0,0,0.0130964,0,0,0.0333105,0.0486789,0.0495446,0.0315734,0.0175342,0.0305739,0.0228436,0.0396204,0.0228384,0.0587523,0.0619324,0.0610519,0.0632075,0.0626348,0.0243509,0.0330074,0.0198465,0.0212553,0.0427877,0.0145963,0,0,0,0,0,0,0,0,0,0
2,0.0341326,0.049688,0,0,0,0,0,0,0.0545154,0,0.0252074,0.0571739,0,0,0.0137911,0,0,0.0331374,0.0325821,0.037997,0.019588,0.0449528,0.0262223,0.0318246,0.0218443,0.0273328,0.0331078,0.0320239,0.0495609,0.0519269,0.0428797,0.0403283,0.0115041,0.0450202,0.00753305,0.0193145,0.0759133,0,0.0234516,0.067191,0.0171138,0,0,0.0126788,0,0,0.033213,0.0461445,0.0471621,0.0319455,0,0.0314238,0.0224825,0.0391022,0.0279166,0.0603555,0.0591179,0.0577989,0.0583812,0.0587225,0.0386933,0.0336318,0.0193711,0.0206857,0.0429116,0.0145548,0,0,0,0,0,0,0,0,0,0
3,0.0341343,0.049763,0,0,0,0,0,0,0.0554782,0,0.024464,0.0562243,0,0,0.0142871,0,0,0.0333182,0.0343473,0.0367247,0.0198674,0.044614,0.0262598,0.032748,0.023311,0.0259788,0.03363,0,0.0496874,0.0520244,0.0430104,0.0407182,0.0122336,0.0446194,0.00758632,0.0194001,0.0738512,0,0.0238038,0.0693894,0.0166652,0,0,0.0124875,0,0,0.0332273,0.0449677,0.0476366,0.031658,0,0.0305909,0.0216927,0.0395141,0.0286903,0.0612122,0.0584342,0.0569281,0.0576756,0.0580161,0.0368186,0.0340343,0.019206,0.020336,0.0430222,0.0147011,0,0,0,0,0,0,0,0,0,0
4,0.0336165,0.0500635,0,0,0,0,0,0,0.0486256,0,0.0226206,0.0575973,0,0,0.0143439,0,0,0.0339178,0.0325964,0.0360951,0.0211242,0.0442282,0.025314,0.032817,0.0232544,0.0261978,0.0337726,0.0286612,0.0501203,0.0524887,0.043682,0.0410895,0.0104166,0.0443336,0.00712567,0.0192484,0.0624321,0,0.0190981,0.066114,0.016082,0,0,0.0126311,0,0,0.0335135,0.0484248,0.0497165,0.0307835,0.0175833,0.0303683,0.0223339,0.0404638,0.0233378,0.0592487,0.0613232,0.060598,0.0626405,0.0618176,0.0235218,0.0333989,0.0198606,0.0209031,0.0431069,0.0146789,0,0,0,0,0,0,0,0,0,0
5,0.0338554,0.0500032,0,0,0,0,0,0,0.0510276,0,0.023607,0.0561599,0,0,0.0147335,0,0,0.0332819,0.0338701,0.0332689,0.0206353,0.044128,0.0263363,0.0329021,0.0233476,0.0267607,0.0343982,0,0.0493513,0.0520355,0.0428387,0.0401981,0.0101264,0.0446002,0.00750629,0.0190192,0.0723207,0,0.0225968,0.0683343,0.0162966,0,0,0.0123891,0,0,0.0333188,0.04541,0.0481106,0.0311415,0.0209836,0.0305634,0.0215478,0.0386544,0.0278004,0.0594644,0.0592879,0.0583463,0.059212,0.0591286,0.0342758,0.0343389,0.0191504,0.0199505,0.0433021,0.0148097,0,0,0,0,0,0,0,0,0,0
6,0.0336952,0.0501057,0,0,0,0,0,0,0.0485295,0,0.0234979,0.0561629,0,0,0.0149519,0,0,0.033276,0.0341359,0.032638,0.0208361,0.0435963,0.0259804,0.0329126,0.024095,0.0275344,0.0341502,0,0.0494327,0.052207,0.0429525,0.0400285,0.0101173,0.0445153,0.00752815,0.0188722,0.0712253,0,0.0221324,0.0677817,0.0162194,0,0,0.0122746,0,0,0.0333536,0.0451883,0.0484138,0.0313352,0.02091,0.0304273,0.0216541,0.0380061,0.0278193,0.058851,0.0595205,0.0586102,0.0594823,0.0593917,0.0331597,0.0343448,0.0192487,0.019872,0.043422,0.0147902,0,0,0,0,0,0,0,0,0,0
7,0.0335164,0.0502706,0,0,0,0,0,0,0.0456651,0,0.0249805,0.0577968,0,0,0.0149955,0,0,0.0330876,0.0323372,0.0336235,0.0216382,0.0443375,0.0257131,0.0326024,0.024213,0.0294274,0.0341968,0.0278438,0.0488238,0.0516165,0.0422771,0.0387396,0.0118908,0.0447406,0.00756078,0.0184796,0.0714774,0,0.0217364,0.065888,0.0162945,0,0,0.0121137,0,0,0.0334619,0.0460627,0.0485362,0.0313344,0.0205189,0.0308074,0.0219817,0.0378578,0.0271872,0.058497,0.0597624,0.0590231,0.0597552,0.0597074,0.0331019,0.034318,0.0193783,0.0198064,0.0435986,0.0146019,0,0,0,0,0,0,0,0,0,0
8,0.033361,0.0503766,0,0,0,0,0,0,0.0431919,0,0.0253255,0.0577661,0,0,0.0150707,0,0,0.0330583,0.0318513,0.0333248,0.0217548,0.0444317,0.0256639,0.0327304,0.0244363,0.0298729,0.0339078,0.0269827,0.0485445,0.0514246,0.0419646,0.0382795,0.0135897,0.044756,0.00754797,0.0184548,0.0715974,0,0.0214637,0.0659213,0.0161226,0,0,0.0120449,0,0,0.0334434,0.0459945,0.0490846,0.0314009,0.0210813,0.030641,0.0218986,0.0376587,0.0269734,0.0584386,0.0595681,0.0589143,0.0596232,0.0595166,0.0324743,0.034412,0.0193085,0.0195748,0.0437058,0.0145954,0,0,0,0,0,0,0,0,0,0
9,0.0332579,0.0504172,0,0,0,0,0,0,0.040962,0,0.0249923,0.0575098,0,0,0.0150813,0,0,0.0331062,0.031855,0.0325067,0.0217065,0.0442635,0.0254381,0.032878,0.0242455,0.0301665,0.0334558,0.0250001,0.048161,0.0510905,0.0419548,0.0382811,0.0149843,0.0447169,0.00751738,0.0185182,0.0705473,0,0.0211661,0.066112,0.0159841,0,0,0.0119559,0,0,0.033393,0.0458997,0.049565,0.0317242,0.0219087,0.0305334,0.0218035,0.0373468,0.0265889,0.0581262,0.0594165,0.0587822,0.0595641,0.0591049,0.0309692,0.0344674,0.0192442,0.0193422,0.043733,0.0146187,0,0,0,0,0,0,0,0,0,0
10,0.0332015,0.050458,0,0,0,0,0,0,0.0395602,0,0.0230016,0.0558793,0,0,0.0147812,0,0,0.0333268,0.0331483,0.0317498,0.0208193,0.0433343,0.0254117,0.0331899,0.0236577,0.0294374,0.0327138,0,0.0481663,0.0508682,0.0423519,0.0392612,0.0164422,0.0445997,0.00742648,0.0189781,0.0667719,0,0.0209602,0.0678026,0.0157899,0,0,0.0117767,0,0,0.0334991,0.0451641,0.0504069,0.0325779,0.0228726,0.0303885,0.0213344,0.0370499,0.0265291,0.0580437,0.0592965,0.0583306,0.0592301,0.0583858,0.0292234,0.0346915,0.0190445,0.019151,0.0438477,0.0148683,0,0,0,0,0,0,0,0,0,0
11,0.0331076,0.0506248,0,0,0,0,0,0,0.0385989,0,0.0219685,0.0571796,0,0,0.01473,0,0,0.0333503,0.0317677,0.0298841,0.0212698,0.0440655,0.0252836,0.0334958,0.0228509,0.0308028,0.032967,0.0216691,0.0475281,0.0500992,0.0419826,0.0392404,0.0176305,0.0446149,0.00743438,0.0191129,0.0650302,0,0.0206939,0.0665027,0.0157013,0,0,0.0116799,0,0,0.0334849,0.0458095,0.0510626,0.0325473,0.0233856,0.0305583,0.0213439,0.0375021,0.0260389,0.0583508,0.0594952,0.0580034,0.0588866,0.0581196,0.0289877,0.0347484,0.0190876,0.0190602,0.0440774,0.0151122,0,0,0,0,0,0,0,0,0,0
12,0.0331103,0.0507484,0,0,0,0,0,0,0.0375657,0,0.0206034,0.0577994,0,0,0.0147508,0,0,0.0337136,0.0298254,0.0282419,0.021007,0.0451638,0.025882,0.0343327,0.0219372,0.0304511,0.0326078,0.0226197,0.0468912,0.0494733,0.0410779,0.0386262,0.0188227,0.0443294,0.00750159,0.0195613,0.0634916,0,0.0205485,0.0660118,0.0153143,0,0,0.0117121,0,0,0.0333467,0.0463637,0.0522452,0.0319287,0.0242623,0.0306091,0.0210321,0.0385746,0.0256813,0.0592366,0.0587935,0.0575552,0.0584574,0.0580466,0.028724,0.0348323,0.0191127,0.0188965,0.044218,0.0156939,0,0,0,0,0,0,0,0,0,0
13,0.0331332,0.0507134,0,0,0,0,0,0,0.0352762,0,0.0206416,0.0581691,0,0,0.0147246,0,0,0.0338952,0.028208,0.0284307,0.0207824,0.0464079,0.025995,0.0347781,0.0218219,0.0301106,0.0319286,0.0236292,0.046861,0.0496622,0.0402252,0.0377008,0.0211984,0.0442467,0.00757987,0.0197467,0.0604173,0,0.0200375,0.0647595,0.0150508,0,0,0.0117077,0,0,0.033313,0.0463902,0.0528664,0.0325393,0.0247875,0.0308398,0.0209656,0.0384956,0.0252985,0.0589308,0.0587775,0.0579527,0.0587148,0.0586745,0.0268288,0.0349044,0.0191071,0.0187323,0.0442082,0.0159946,0,0,0,0,0,0,0,0,0,0
14,0.0329096,0.0506871,0,0,0,0,0,0,0.0327134,0,0.0217595,0.0567685,0,0,0.0148101,0,0,0.0340297,0.0283427,0.0291948,0.0199471,0.0464159,0.0262979,0.0354428,0.0219699,0.0284386,0.031071,0,0.0472423,0.0508219,0.0398667,0.0374134,0.0234438,0.0440862,0.00757581,0.0200635,0.0550517,0,0.0201963,0.0652844,0.0146358,0,0,0.0115878,0,0,0.0333963,0.045868,0.0536036,0.0333002,0.0254487,0.030948,0.0203459,0.0385898,0.0251121,0.0590678,0.0582363,0.0577413,0.058826,0.0592481,0.0243977,0.0353429,0.018842,0.0184122,0.0442923,0.0162021,0,0,0,0,0,0,0,0,0,0
15,0.0326133,0.0506108,0,0,0,0,0,0,0.030881,0,0.0235697,0.0565226,0,0,0.0149794,0,0,0.0342014,0.0278205,0.0306779,0.0197569,0.0457021,0.0263918,0.035984,0.0209945,0.0283667,0.0305544,0,0.0472992,0.0517385,0.0392626,0.0366999,0.0264805,0.0438943,0.00764949,0.0203863,0.0510522,0,0.0207795,0.0645899,0.0144332,0,0,0.0115066,0,0,0.0334933,0.0468435,0.05458,0.0333218,0.0258063,0.0314856,0.0199397,0.0390897,0.0247267,0.0595712,0.0579921,0.057241,0.0587499,0.0594749,0.0241814,0.0355866,0.0187426,0.0182455,0.0444448,0.0164171,0,0,0,0,0,0,0,0,0,0
16,0.0325044,0.0505444,0,0,0,0,0,0,0.0292143,0,0.0248139,0.0562127,0,0,0.0151418,0,0,0.0343858,0.0282206,0.0325739,0.0197166,0.0443231,0.0263757,0.0364151,0.0205911,0.0282666,0.0300701,0,0.0470361,0.0518943,0.0387394,0.0361847,0.0291955,0.0436382,0.00775862,0.0207241,0.0474599,0,0.0213723,0.0638023,0.0143443,0,0,0.0113907,0,0,0.0336146,0.0481793,0.0554318,0.0332249,0.0259953,0.0319768,0.0194929,0.0395144,0.0242901,0.0601507,0.0576854,0.0566531,0.0585619,0.0593755,0.0247269,0.0357405,0.0188509,0.0180935,0.0446654,0.0166462,0,0,0,0,0,0,0,0,0,0
17,0.032543,0.050535,0,0,0,0,0,0,0.0279633,0,0.0253879,0.0567599,0,0,0.0152326,0,0,0.0345773,0.0285953,0.0337845,0.0202567,0.043938,0.0264642,0.0364583,0.020775,0.0292952,0.0307974,0.0220049,0.046492,0.0510876,0.038343,0.0355072,0.0306603,0.0436463,0.007817,0.0208729,0.0447886,0,0.0215402,0.061362,0.01441,0,0,0.0112131,0,0,0.0338351,0.0504336,0.0559223,0.0331841,0.0260075,0.0327418,0.0193889,0.0400859,0.0234492,0.0599993,0.0573894,0.0562527,0.0583052,0.0592,0.0254984,0.0357139,0.0189672,0.0181858,0.0447076,0.0167745,0,0,0,0,0,0,0,0,0,0
