Timestep,C7,CLAV,IMUL_L,IMUL_M,IMUL_R,IMUR_B,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LPSI,LSHO,LTHI,LTHII,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RPSI,RSHO,RTHI,RTHIA,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x70,x71,x72,x73,LTHIP,LKNE,RKNE,IMUR_M
129,0.0360938,0.0470265,0,0,0,0,0,0.0535326,0,0.0260417,0.0592597,0,0,0.0134752,0,0,0.0365641,0.0349188,0.0377298,0.0276611,0.0263356,0.0279621,0.0212725,0,0.0436791,0.0477441,0.0379922,0.0367059,0.0124195,0.0485655,0.0130381,0.0204042,0.0647372,0,0.020601,0.0655095,0.0195392,0,0,0.0135336,0,0,0.0335783,0.0467399,0.0436503,0.0319048,0.026356,0.0228065,0.0391476,0.0343283,0.0629458,0.0621773,0.0618498,0.0612417,0.0617641,0.0257074,0.0324294,0.019883,0.0215601,0.0420104,0.0126048,0,0,0,0,0,0,0,0,0,0.0298915,0.0528669,0.021659,0
130,0.0360994,0.0470967,0,0,0,0,0,0.0558422,0,0.0264119,0.0599958,0,0,0.0136266,0,0,0.0366095,0.0341728,0.0368611,0.0279524,0.0263372,0.028083,0.0218459,0,0.0435923,0.047447,0.0380134,0.0371251,0.0132561,0.0485114,0.0131465,0.0203723,0.0652876,0,0.0206343,0.0651463,0.0193943,0,0,0.0134287,0,0,0.033598,0.0468962,0.0437161,0.0317178,0.0266528,0.0225755,0.039109,0.0342913,0.0628567,0.0622054,0.0620042,0.061244,0.0618837,0.0259755,0.0324738,0.0198231,0.021517,0.0419058,0.0126176,0,0,0,0,0,0,0,0,0,0.0306281,0.0523478,0.0211594,0
131,0.0360783,0.0471557,0,0,0,0,0,0.0573451,0,0.0267346,0.0606336,0,0,0.0137795,0,0,0.0365831,0.0334257,0.0362865,0.0282907,0.0263229,0.028203,0.0222836,0,0.0437101,0.0473484,0.0381391,0.0374292,0.0138171,0.0484483,0.0132421,0.0203502,0.0655917,0,0.0205994,0.0648221,0.0192535,0,0,0.0133781,0,0,0.0336091,0.0469188,0.0437177,0.0315156,0.0268627,0.0222864,0.0390664,0.0342737,0.0627573,0.062276,0.06211,0.0611209,0.061824,0.0261371,0.0326074,0.019726,0.0213927,0.0419186,0.0126592,0,0,0,0,0,0,0,0,0,0.0312524,0.0519555,0.0207585,0
132,0.0356108,0.0471354,0,0,0,0,0,0.0573734,0,0.025533,0.0598634,0,0,0.0141125,0,0,0.0366151,0.0330612,0.0341145,0.0259494,0.0257213,0.0282607,0.0217802,0.041364,0.0457851,0.0493849,0.039922,0.0386984,0.0134021,0.0480431,0.0133722,0.0204376,0.0661007,0,0.0205565,0.0640435,0.0189431,0,0,0.0135215,0,0,0.0338956,0.047157,0.0438308,0.0315573,0.0277837,0.0229567,0.0390485,0.0339647,0.0626731,0.0624028,0.0622578,0.0611109,0.0618228,0.0267394,0.0320842,0.0200781,0.021946,0.0416174,0.012809,0,0,0,0,0,0,0,0,0,0.0308057,0.0497205,0.020373,0
133,0.0355464,0.0472458,0,0,0,0,0,0.0574517,0,0.0256191,0.06025,0,0,0.0141872,0,0,0.0365637,0.0328229,0.0338255,0.0261619,0.0258197,0.0284313,0.0218378,0.0410685,0.0459348,0.0495256,0.0400479,0.0383702,0.013623,0.047895,0.0133835,0.0204169,0.0658764,0,0.020843,0.0638119,0.0187028,0,0,0.0135698,0,0,0.0338726,0.047161,0.0444585,0.0316693,0.0278666,0.0225865,0.0390313,0.0339031,0.0625593,0.0623745,0.0621896,0.061145,0.0617863,0.0267031,0.0322664,0.0199102,0.0217171,0.0417411,0.0129697,0,0,0,0,0,0,0,0,0,0.0303928,0.0495912,0.0203492,0
134,0.0354661,0.0473722,0,0,0,0,0,0.0575967,0,0.0255404,0.0606175,0,0,0.0142327,0,0,0.0365202,0.0326065,0.0337987,0.026431,0.0258277,0.0286287,0.0218015,0.0408096,0.0459859,0.0497084,0.0400456,0.0383989,0.0139463,0.0477192,0.0133925,0.0204736,0.0656202,0,0.0209262,0.0636177,0.0184116,0,0,0.0135533,0,0,0.033863,0.0470949,0.0450521,0.0316021,0.0279233,0.0222063,0.0390676,0.0338318,0.0625153,0.0622894,0.0621431,0.061095,0.0615881,0.0267152,0.0324648,0.019818,0.0214505,0.0416554,0.0130639,0,0,0,0,0,0,0,0,0,0.0298324,0.0493481,0.0204191,0
135,0.0353664,0.0475161,0,0,0,0,0,0.0578786,0,0.0254116,0.0609392,0,0,0.0143606,0,0,0.0365194,0.0321569,0.0337911,0.0266322,0.0257029,0.0288623,0.0219616,0.0405988,0.0459533,0.0498753,0.0399676,0.0382,0.014488,0.047584,0.0134661,0.0205766,0.0653874,0,0.0207564,0.06339,0.018121,0,0,0.0135,0,0,0.0338371,0.0470081,0.0455626,0.0314324,0.0278526,0.0218802,0.039049,0.0338704,0.0624599,0.0620715,0.0621782,0.0608484,0.0613343,0.0264871,0.0327088,0.01978,0.0212069,0.0415432,0.0130448,0,0,0,0,0,0,0,0,0,0.0289831,0.0490159,0.0202974,0
136,0.0356417,0.0477595,0,0,0,0,0,0.0575623,0,0.0263284,0.0622125,0,0,0.0143201,0,0,0.0364685,0.0312119,0.0351889,0.0290969,0.0260877,0.0292864,0.0226382,0,0.0441044,0.048317,0.0383144,0.036937,0.01464,0.0477653,0.0135903,0.0206298,0.0644767,0,0.0207432,0.0640477,0.0178888,0,0,0.0134044,0,0,0.0334508,0.0466333,0.0460567,0.031309,0.0269365,0.0205876,0.0390427,0.034302,0.0624815,0.0615384,0.0617444,0.0604397,0.0608909,0.0251765,0.0336827,0.0191506,0.020275,0.0420165,0.0130341,0,0,0,0,0,0,0,0,0,0.0282074,0.0505017,0.0206837,0
137,0.0346989,0.0482016,0,0,0,0,0,0.0517326,0,0.0222327,0.0610994,0,0,0.0140393,0,0,0.037085,0.0314888,0.033703,0.027222,0.0244288,0.0294385,0.0233725,0.0396889,0.0462916,0.0503247,0.040545,0.0394794,0.0101138,0.047564,0.0132247,0.0205014,0.060471,0,0.0184677,0.0648501,0.017217,0,0,0.0132808,0,0,0.0338893,0.0458281,0.0511846,0.0323794,0.0270168,0.0212758,0.038836,0,0.0625802,0.0608725,0.0613558,0.0607599,0.060545,0.0221824,0.0327497,0.0198708,0.0209147,0.0421419,0.0124703,0,0,0,0,0,0,0,0,0,0.0277898,0.0479993,0.0204291,0
138,0.035169,0.0481309,0,0,0,0,0,0.055196,0,0.0253176,0.0623648,0,0,0.0144506,0,0,0.0365912,0.0295941,0.0331411,0.0291322,0.0257061,0.0298998,0.0231178,0,0.0432489,0.047737,0.0375589,0.036213,0.0137501,0.0476478,0.0141749,0.0208762,0.0630045,0,0.02043,0.0637865,0.0171762,0,0,0.0131849,0,0,0.0333473,0.0466378,0.0474215,0.0308657,0.0267418,0.0199811,0.0390857,0.034384,0.0623748,0.0607956,0.0609399,0.059895,0.0602043,0.0235206,0.0340957,0.018944,0.0199234,0.0423457,0.0129992,0,0,0,0,0,0,0,0,0,0.0249483,0.0503326,0.0215822,0
139,0.034869,0.0483374,0,0,0,0,0,0.0529989,0,0.0247945,0.0623795,0,0,0.0147342,0,0,0.0368081,0.0290281,0.0320577,0.0291261,0.0257049,0.0302248,0.022984,0,0.04267,0.047044,0.0370341,0.0356504,0.0130744,0.0473812,0.0146037,0.0210149,0.0614611,0,0.0205829,0.0637263,0.016815,0,0,0.013112,0,0,0.0334499,0.046829,0.0480314,0.0307035,0.0267429,0.0197626,0.0391196,0.0341474,0.0621803,0.0604037,0.060385,0.0595901,0.0597562,0.0225673,0.0343341,0.0189752,0.0197493,0.0424797,0.0129025,0,0,0,0,0,0,0,0,0,0.023364,0.0501778,0.021796,0
140,0.0342186,0.048484,0,0,0,0,0,0.0503506,0,0.0225878,0.0610557,0,0,0.0153253,0,0,0.0372685,0.0289596,0.0295536,0.0267344,0.0252869,0.0305122,0.0224332,0.0383147,0.0440487,0.0484129,0.0382507,0.0367082,0.0117621,0.04679,0.0151763,0.0214222,0.0597669,0,0.0205658,0.062986,0.0163514,0,0,0.0129627,0,0,0.0337341,0.0470802,0.0488449,0.0306286,0.0275584,0.020536,0.0390404,0.0337478,0.061996,0.0601371,0.0599287,0.0594085,0.0595236,0.021954,0.0338861,0.0195629,0.0203398,0.0422826,0.0128012,0,0,0,0,0,0,0,0,0,0.0218774,0.0481345,0.0222097,0
141,0.0340555,0.0487575,0,0,0,0,0,0.0491021,0,0.0210975,0.0609473,0,0,0.0156744,0,0,0.0374015,0.028496,0.0285567,0.0267271,0.0255328,0.0308425,0.0222197,0.0379958,0.043729,0.0478452,0.0381549,0.0368822,0.0107249,0.0465078,0.0155684,0.0217049,0.0573706,0,0.0206417,0.0626566,0.016005,0,0,0.0127115,0,0,0.033829,0.0473467,0.0496056,0.0307823,0.0276721,0.0206324,0.0390895,0.0335309,0.0619244,0.0595981,0.0592992,0.0590114,0.0593648,0.0208621,0.0339911,0.0195841,0.0203432,0.0424683,0.0127118,0,0,0,0,0,0,0,0,0,0.0212409,0.0482772,0.0229081,0
142,0.0343483,0.0490739,0,0,0,0,0,0.0483957,0,0.0210501,0.0622801,0,0,0.0157641,0,0,0.0375124,0.027069,0.0289671,0.0292036,0.0265689,0.0312277,0.0225058,0,0.0414541,0.0453745,0.0365484,0.0354818,0.0107457,0.0465802,0.0158996,0.0217674,0.0550058,0,0.0207492,0.0623734,0.0157481,0,0,0.0124166,0,0,0.0336908,0.0479468,0.0504786,0.0311704,0.0271555,0.0198373,0.039213,0.0333624,0.0618319,0.0589514,0.0587305,0.0586443,0.0592769,0.0200603,0.0347225,0.0191191,0.01962,0.0430519,0.0127154,0,0,0,0,0,0,0,0,0,0.0210216,0.0512791,0.0236796,0
143,0.0342712,0.0491473,0,0,0,0,0,0.0465729,0,0.0205799,0.062166,0,0,0.0160363,0,0,0.037496,0.0258503,0.0284747,0.0289775,0.0271167,0.031516,0.0222472,0,0.0412246,0.0455334,0.0361011,0.0348857,0.0107009,0.0464741,0.0164193,0.021748,0.0522801,0,0.0207262,0.0617128,0.0152632,0,0,0.0120804,0,0,0.0337346,0.0483316,0.0513862,0.0315575,0.0273304,0.0196709,0.0395782,0.0331191,0.0619265,0.0585731,0.0584136,0.0585107,0.0594482,0.0201558,0.0348944,0.0191537,0.0194117,0.0430852,0.0129401,0,0,0,0,0,0,0,0,0,0.0200549,0.052625,0.0245501,0
144,0.0337299,0.0489738,0,0,0,0,0,0.0434245,0,0.0203532,0.0600863,0,0,0.0166604,0,0,0.0376446,0.0254418,0.0277774,0.0257271,0.0269247,0.0316802,0.0208383,0.0376767,0.0433659,0.0484957,0.0371313,0.0356376,0.0114815,0.0461703,0.0172921,0.0216815,0.0488417,0,0.0207843,0.0612627,0.0146884,0,0,0.0118207,0,0,0.0339659,0.0482698,0.0523904,0.0318056,0.0282279,0.0201971,0.0404876,0.0327723,0.0624076,0.058493,0.0580998,0.0586135,0.0598481,0.021243,0.0345188,0.0195768,0.019821,0.0425227,0.0134429,0,0,0,0,0,0,0,0,0,0.0190744,0.0513063,0.0253564,0
145,0.0337302,0.0490026,0,0,0,0,0,0.0419881,0,0.0232108,0.061048,0,0,0.0168246,0,0,0.0376724,0.0249783,0.0304845,0.0276929,0.0274863,0.0318396,0.0207819,0,0.041738,0.0477853,0.0346085,0.0334325,0.0130816,0.0464263,0.0177583,0.0213539,0.0454233,0,0.0213416,0.0605996,0.0143445,0,0,0.0117147,0,0,0.0338059,0.04927,0.0536227,0.0321605,0.0282354,0.0191369,0.0412056,0.032203,0.0626933,0.0580418,0.0575523,0.0584159,0.0599705,0.0232817,0.0352577,0.0191081,0.019043,0.0428496,0.0137267,0,0,0,0,0,0,0,0,0,0.0180201,0.0537017,0.0256703,0
146,0.0332122,0.0488425,0,0,0,0,0,0.038157,0,0.0234832,0.0585381,0,0,0.0176409,0,0,0.0377933,0.0260328,0.031147,0.0244106,0.0267731,0.0318203,0.0191564,0.0373512,0.0435425,0.0499886,0.0356744,0.0341788,0.0162334,0.0460241,0.0186803,0.0211903,0.0415085,0,0.0214541,0.0601546,0.0141462,0,0,0.0115897,0,0,0.034108,0.049631,0.0544858,0.0321337,0.0293016,0.0197507,0.0419413,0.0311199,0.0632564,0.0578479,0.0570227,0.0580884,0.0602755,0.0260991,0.0347816,0.019618,0.0195517,0.0425013,0.0142196,0,0,0,0,0,0,0,0,0,0.0187879,0.0506737,0.0257236,0
147,0.0331281,0.0488822,0,0,0,0,0,0.0356047,0,0.0244123,0.057637,0,0,0.018227,0,0,0.0378689,0.0279028,0.0327966,0.0241557,0.0266042,0.0318921,0.0187022,0.03728,0.0430038,0.0496743,0.0349986,0.0335965,0.0187255,0.0458376,0.0194258,0.0209373,0.0383694,0,0.0214911,0.0596062,0.014099,0,0,0.0116104,0,0,0.0342159,0.0506289,0.0552233,0.0322664,0.0295819,0.0197569,0.0427607,0.0304091,0.0637462,0.0573987,0.0562955,0.0575792,0.0604802,0.0290945,0.0347401,0.0195568,0.0195615,0.0425264,0.0144364,0,0,0,0,0,0,0,0,0,0.0187461,0.0499935,0.0259756,0
148,0.0333885,0.0490985,0,0,0,0,0,0.0352748,0,0.0258331,0.0581847,0,0,0.0187411,0,0,0.0379408,0.0295636,0.0352773,0.0267031,0.0272683,0.0320331,0.0193289,0,0.0405513,0.0472945,0.0327914,0.0321346,0.0193926,0.0458759,0.0203063,0.0205587,0.0356948,0,0.0213854,0.0589855,0.014021,0,0,0.0116096,0,0,0.0341534,0.0521803,0.0558385,0.0328019,0.0291442,0.0190232,0.0437614,0.0301408,0.0640583,0.0567939,0.0554358,0.0568747,0.0604101,0.0321321,0.0351797,0.019091,0.019117,0.0428959,0.0143842,0,0,0,0,0,0,0,0,0,0.0176475,0.05238,0.0270237,0
149,0.033376,0.0491469,0,0,0,0,0,0.0348295,0,0.0255769,0.0570995,0,0,0.019557,0,0,0.0381375,0.0308274,0.0357564,0.0266087,0.0276724,0.0322412,0.0195825,0,0.0400185,0.0464883,0.0325973,0.0325094,0.0203076,0.0455604,0.0213473,0.0204549,0.0329747,0,0.0210396,0.0587076,0.0138832,0,0,0.0114907,0,0,0.0342599,0.0531937,0.0561114,0.0332535,0.0291351,0.0192448,0.0450672,0.0302239,0.0646185,0.0566727,0.0549341,0.0563456,0.0605039,0.0356817,0.0349234,0.0192229,0.0194036,0.0428432,0.0144283,0,0,0,0,0,0,0,0,0,0.0170835,0.0528461,0.028764,0
150,0.0330586,0.0489855,0,0,0,0,0,0.0335785,0,0.0239361,0.054645,0,0,0.0205877,0,0,0.0384264,0.0317334,0.0343595,0.0239919,0.0274701,0.032642,0.0192658,0.0380572,0.0416318,0.0477071,0.0343628,0.0340116,0.0219013,0.04489,0.0223466,0.0208312,0.0302598,0,0.0204034,0.0587063,0.0138115,0,0,0.0114132,0,0,0.034616,0.0534315,0.0558384,0.033298,0.029499,0.0204498,0.0468314,0.0309142,0.0657185,0.0570534,0.0549134,0.0560046,0.0605498,0.0397641,0.0339696,0.0200346,0.0203867,0.042373,0.0146375,0,0,0,0,0,0,0,0,0,0.017231,0.0509759,0.0303029,0
151,0.0331578,0.0491546,0,0,0,0,0,0.0345087,0,0.0245536,0.055051,0,0,0.0212682,0,0,0.0384266,0.0312269,0.0353747,0.0265804,0.028985,0.0328651,0.0207139,0,0.0397887,0.0459076,0.0327733,0.0321921,0.0206995,0.0448936,0.0234077,0.0205688,0.0281021,0,0.0203673,0.0584891,0.0135808,0,0,0.0113921,0,0,0.0345989,0.0541459,0.0557146,0.0343408,0.0291418,0.0201345,0.048403,0.0323947,0.0667319,0.0569662,0.0545512,0.0553514,0.0602474,0.0437375,0.0341496,0.0196848,0.0201826,0.0426557,0.0146586,0,0,0,0,0,0,0,0,0,0.0154092,0.0542488,0.0320197,0
152,0.0329972,0.0491062,0,0,0,0,0,0.0342996,0,0.024197,0.0545678,0,0,0.0219858,0,0,0.0386771,0.0302999,0.0350249,0.0268609,0.0295386,0.033277,0.0213891,0,0.0399828,0.0458706,0.0330357,0.032061,0.0205578,0.0445264,0.0242658,0.0207327,0.0268678,0,0.0199558,0.0583503,0.0134488,0,0,0.0114226,0,0,0.0347805,0.0536276,0.0545264,0.0346419,0.0290293,0.0206038,0.0502752,0.0339585,0.0682892,0.0571729,0.0544061,0.0549141,0.0603619,0.0485969,0.033723,0.0199796,0.0205421,0.0424532,0.0148625,0,0,0,0,0,0,0,0,0,0.0146655,0.0544193,0.0336226,0
153,0.0328203,0.0490365,0,0,0,0,0,0.0340896,0,0.0241357,0.0540505,0,0,0.0225795,0,0,0.0388331,0.028817,0.0349665,0.0271303,0.0301557,0.0335152,0.0221702,0,0.0402431,0.0460209,0.033332,0.0321305,0.0205796,0.0442266,0.0249929,0.0207695,0.026738,0,0.019509,0.0583722,0.0132716,0,0,0.0115862,0,0,0.034864,0.052806,0.0526408,0.0348883,0.029056,0.021011,0.0519466,0.0352857,0.069825,0.0574028,0.0542581,0.0544344,0.0607411,0.0541147,0.0333953,0.0199972,0.020791,0.042258,0.0150969,0,0,0,0,0,0,0,0,0,0.0140079,0.0539318,0.0352754,0
154,0.0326887,0.0489538,0,0,0,0,0,0.0338901,0,0.0243249,0.0536554,0,0,0.0228718,0,0,0.0388061,0.0273429,0.0352574,0.0273777,0.0305884,0.033563,0.0227292,0,0.0404098,0.0462171,0.0336252,0.0322363,0.0212717,0.0439945,0.0255172,0.020888,0.0274667,0,0.0192533,0.0584956,0.0131373,0,0,0.0117431,0,0,0.0349273,0.0522607,0.0504417,0.0349701,0.0291162,0.0212592,0.0533963,0.0364392,0.0710815,0.0577034,0.0542756,0.0546614,0.0614002,0.0601071,0.0330728,0.0199829,0.0209848,0.0420061,0.0152002,0,0,0,0,0,0,0,0,0,0.0136061,0.0529145,0.037092,0
155,0.0326076,0.0488374,0,0,0,0,0,0.0338147,0,0.024505,0.0531623,0,0,0.0228976,0,0,0.0388263,0.0272525,0.0355642,0.027438,0.0307792,0.03352,0.0235796,0,0.040738,0.0466012,0.0340664,0.0325414,0.0216737,0.0438209,0.0256982,0.0208361,0.0285394,0,0.0192291,0.0586622,0.0131125,0,0,0.0119239,0,0,0.0350437,0.052011,0.0494095,0.0350009,0.0289658,0.0214609,0.0542574,0.0370519,0.0718123,0.0580702,0.0545482,0.0554234,0.0624093,0.0653583,0.0328256,0.0199408,0.0211574,0.0417684,0.0152957,0,0,0,0,0,0,0,0,0,0.0133281,0.0515054,0.0390362,0
156,0.0325682,0.0487306,0,0,0,0,0,0.033763,0,0.0247979,0.0528389,0,0,0.0226619,0,0,0.0387128,0.0268255,0.0357934,0.0275164,0.0307869,0.0332298,0.0238191,0,0.0409552,0.0466094,0.0340783,0.0326805,0.0217386,0.043853,0.0254986,0.0204166,0.0289848,0,0.0192292,0.0588126,0.0132205,0,0,0.0120496,0,0,0.0351244,0.0525749,0.0495792,0.034964,0.0288855,0.0215768,0.0549979,0.037441,0.0723894,0.0586923,0.0550846,0.056135,0.0634152,0.0683107,0.0327243,0.0197778,0.0212069,0.0415307,0.015398,0,0,0,0,0,0,0,0,0,0.0134363,0.0509612,0.0408746,0
157,0.0325238,0.0485796,0,0,0,0,0,0.0338461,0,0.0250099,0.0525862,0,0,0.0223724,0,0,0.0385665,0.0267678,0.0358251,0.0274784,0.030521,0.0328033,0.0238369,0,0.0410207,0.0463226,0.0338326,0.0327295,0.021499,0.0440208,0.025156,0.0198438,0.0292485,0,0.0194332,0.0589611,0.0134134,0,0,0.012164,0,0,0.0351483,0.0534336,0.0503074,0.0347012,0.028684,0.0216896,0.0553464,0.0376343,0.0728297,0.0593404,0.0555191,0.0567047,0.0645569,0.0699088,0.032602,0.0195893,0.0212531,0.0412832,0.0155125,0,0,0,0,0,0,0,0,0,0.0134645,0.0507197,0.0416073,0
158,0.0325072,0.0484253,0,0,0,0,0,0.0340284,0,0.0251696,0.0524626,0,0,0.0220889,0,0,0.0384577,0.0271005,0.0356275,0.0274991,0.0301205,0.0323747,0.0237087,0,0.0408153,0.0461076,0.0337913,0.0327007,0.0212504,0.0442547,0.0247719,0.0193004,0.0294061,0,0.0197129,0.0589884,0.0136544,0,0,0.0122313,0,0,0.0350774,0.0542653,0.050962,0.0345342,0.0283918,0.0217492,0.0556873,0.037923,0.0732542,0.05985,0.0557839,0.057306,0.0657511,0.0706227,0.0325195,0.0194623,0.0212432,0.0410696,0.0156163,0,0,0,0,0,0,0,0,0,0.0134486,0.0509121,0.041824,0
159,0.0325334,0.0482993,0,0,0,0,0,0.0343608,0,0.0253773,0.052532,0,0,0.0217053,0,0,0.0382657,0.0262785,0.0352478,0.0277465,0.029667,0.0319741,0.0227688,0,0.040235,0.0456094,0.0335701,0.032365,0.0209096,0.0444924,0.0243523,0.0189141,0.0292025,0,0.0197956,0.0589594,0.013882,0,0,0.0123166,0,0,0.035062,0.0551351,0.0513529,0.0341811,0.028257,0.0217898,0.056229,0.0381033,0.0738009,0.0603882,0.0557072,0.0579881,0.0669324,0.0699825,0.0325242,0.0193642,0.0211695,0.040908,0.0156629,0,0,0,0,0,0,0,0,0,0.0137146,0.0517022,0.0426031,0
160,0.032585,0.0482086,0,0,0,0,0,0.0344255,0,0.0254418,0.0525856,0,0,0.0214368,0,0,0.0381139,0.026813,0.0348903,0.0277793,0.029196,0.031634,0.0224835,0,0.0401365,0.0453557,0.0336326,0.0323316,0.0206938,0.0446519,0.0240326,0.018654,0.0288124,0,0.0196916,0.0588523,0.0140361,0,0,0.0124879,0,0,0.0350447,0.0553878,0.0517144,0.0336144,0.027944,0.0217534,0.0563102,0.0381521,0.073882,0.0606434,0.0556284,0.0585367,0.0675984,0.0693197,0.0325096,0.0193604,0.0211539,0.0407117,0.0157105,0,0,0,0,0,0,0,0,0,0.0134749,0.0520822,0.0433332,0
161,0.0326347,0.0481546,0,0,0,0,0,0.0344659,0,0.0253947,0.0526702,0,0,0.0212704,0,0,0.0379136,0.027024,0.0346316,0.0278514,0.0287399,0.0314215,0.0221842,0,0.0402212,0.0447639,0.0337914,0.032213,0.020503,0.0447327,0.0238172,0.0184201,0.0282666,0,0.0196133,0.0586516,0.0141464,0,0,0.0125042,0,0,0.0350059,0.0550244,0.0518932,0.0330419,0.0276432,0.021677,0.0562316,0.0381149,0.0739023,0.0606369,0.0554666,0.058772,0.0677456,0.0683419,0.0324623,0.0194221,0.0212354,0.0405353,0.0157646,0,0,0,0,0,0,0,0,0,0.0133744,0.0521897,0.04408,0
162,0.0326713,0.0480633,0,0,0,0,0,0.0349064,0,0.0252267,0.0528521,0,0,0.0212098,0,0,0.0378645,0.0267757,0.0344706,0.0280338,0.028424,0.0313187,0.0219979,0,0.0404014,0.0444589,0.033946,0.0322505,0.0199717,0.0447277,0.0236882,0.0183711,0.0276804,0,0.019805,0.058347,0.0142012,0,0,0.0125328,0,0,0.0349446,0.054209,0.0519989,0.0325483,0.0272683,0.0215827,0.0561395,0.0379414,0.0739359,0.0605049,0.0553967,0.0587273,0.0674557,0.0671048,0.0323813,0.0195163,0.0213072,0.0404509,0.0157809,0,0,0,0,0,0,0,0,0,0.0133036,0.0516707,0.0444422,0
163,0.0326794,0.0478926,0,0,0,0,0,0.0356392,0,0.0250463,0.0529544,0,0,0.0211965,0,0,0.0377956,0.0261367,0.034282,0.028208,0.0282876,0.0312632,0.0220259,0,0.0405492,0.0444993,0.0341701,0.0324448,0.0192556,0.044728,0.0235907,0.0183773,0.0271925,0,0.0201656,0.0581979,0.0142533,0,0,0.012648,0,0,0.0348955,0.0543328,0.0521325,0.0320792,0.0269224,0.0215176,0.0558156,0.037711,0.0740172,0.0603718,0.0551296,0.0584311,0.0671078,0.065744,0.0323091,0.0195978,0.0213646,0.0403504,0.0157658,0,0,0,0,0,0,0,0,0,0.0132154,0.0515237,0.0445347,0
164,0.0325437,0.047573,0,0,0,0,0,0.0353553,0,0.0236386,0.0516218,0,0,0.0213925,0,0,0.0377791,0.026164,0.0324903,0.0259736,0.0276577,0.0312597,0.0219024,0.0378762,0.0424418,0.0466996,0.0362152,0.0340749,0.0193902,0.044426,0.0236752,0.0186682,0.0269977,0,0.0205011,0.0581958,0.0145223,0,0,0.0127482,0,0,0.0350427,0.0537011,0.0524212,0.0310348,0.0273463,0.0222669,0.0551091,0.0369617,0.0737046,0.0600962,0.0549495,0.0582801,0.0668822,0.064434,0.0316835,0.0200245,0.0220175,0.039872,0.0160431,0,0,0,0,0,0,0,0,0,0.0135784,0.049103,0.0444788,0
165,0.0327823,0.0475884,0,0,0,0,0,0.037479,0,0.024598,0.0532864,0,0,0.0212276,0,0,0.0377354,0.0242322,0.03382,0.0285958,0.028342,0.0311451,0.0218875,0,0.0406637,0.0449584,0.0347279,0.032804,0.0176508,0.0446927,0.0234717,0.0185395,0.0265205,0,0.020674,0.0579742,0.0143291,0,0,0.0126697,0,0,0.0347539,0.0545125,0.052773,0.0308262,0.0271063,0.0213788,0.0549124,0.0369612,0.0734327,0.0598225,0.0546396,0.0579981,0.0663689,0.0617137,0.0322049,0.0196002,0.0215227,0.0401637,0.0156958,0,0,0,0,0,0,0,0,0,0.0132936,0.0512691,0.0452961,0
166,0.0328596,0.0475164,0,0,0,0,0,0.0383811,0,0.024473,0.0534768,0,0,0.0212034,0,0,0.0376662,0.0234116,0.0337732,0.0287543,0.0284743,0.0310638,0.0218636,0,0.0409708,0.044924,0.0349718,0.0330683,0.0170415,0.0447234,0.0234492,0.018617,0.0263345,0,0.020654,0.057826,0.0144273,0,0,0.0127104,0,0,0.0347558,0.0548373,0.0529479,0.0305423,0.0272934,0.0213236,0.0541609,0.0365934,0.0727187,0.0597394,0.0545059,0.0581771,0.0660614,0.0592043,0.0321303,0.0196433,0.0216391,0.0401335,0.0156546,0,0,0,0,0,0,0,0,0,0.0137834,0.0510838,0.0468336,0
167,0.0328175,0.0473361,0,0,0,0,0,0.0376268,0,0.0233653,0.0526376,0,0,0.0211554,0,0,0.0376203,0.0236942,0.032077,0.0267214,0.0279496,0.0307399,0.0219536,0.0371997,0.0429013,0.046583,0.0367526,0.0344673,0.0173518,0.044628,0.0232262,0.0185744,0.0283643,0,0.025073,0.0575938,0.0148986,0,0,0.0128471,0,0,0.0349974,0.0530025,0.0600992,0.0303779,0.0282151,0.0222163,0.0543745,0.0396663,0.0738624,0.0556074,0.0493107,0.054597,0.0626568,0.055892,0.0315115,0.0200811,0.0223089,0.0398131,0.0156045,0,0,0,0,0,0,0,0,0,0.0139507,0.0489149,0,0
168,0.0329148,0.0472605,0,0,0,0,0,0.0380378,0,0.0235059,0.052825,0,0,0.0210224,0,0,0.0375883,0.0234411,0.032302,0.0267519,0.0278138,0.0305911,0.0217082,0.0367781,0.04288,0.0466067,0.0368117,0.0346103,0.0169832,0.04477,0.022995,0.018445,0.0288322,0,0.0254109,0.0576273,0.0150232,0,0,0.0127982,0,0,0.0349739,0.0528452,0.0603497,0.0299002,0.0284007,0.0222254,0.0534541,0.0392594,0.072991,0.0551886,0.0491685,0.054587,0.0623198,0.0529943,0.0315097,0.0200647,0.0223234,0.0398232,0.0154275,0,0,0,0,0,0,0,0,0,0.0143241,0.0487752,0,0
