Timestep,C7,CLAV,IMUL_L,IMUL_M,IMUL_R,IMUR_B,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LPSI,LSHO,LTHI,LTHII,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RPSI,RSHO,RTHI,RTHIA,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x70,x71,x72,x73,LTHIP,LKNE,RKNE,IMUR_M
107,0.0335274,0.0472101,0,0,0,0,0,0.0162668,0,0.0313099,0.0510111,0,0,0.0146957,0,0,0.0376875,0.0368699,0.0441352,0.0248867,0.024515,0.028438,0.0136454,0.0468709,0.0432596,0.0449178,0.0365586,0.0304693,0.0545042,0.0464605,0.0131275,0.02077,0.0487163,0,0.0114905,0.0628947,0.0174995,0,0,0.0149393,0,0,0.0353345,0.0462766,0.0438752,0.033747,0.0282801,0.026894,0.0371562,0.0337699,0.0609462,0.0633004,0.0632525,0.0639823,0.0640304,0.0137238,0.0297787,0.021962,0.0246872,0.0420274,0.0125878,0,0,0,0,0,0,0,0,0,0.0299475,0.0621589,0.0233585,0
108,0.033576,0.0471589,0,0,0,0,0,0.0166457,0,0.0307076,0.0509039,0,0,0.0145977,0,0,0.0377387,0.0375595,0.0436537,0.0246939,0.0249271,0.0284041,0.0132729,0.046268,0.0429747,0.0451716,0.0362411,0.0301226,0.05308,0.0466083,0.0130075,0.0209294,0.0495757,0,0.0117294,0.0631844,0.0176267,0,0,0.0151312,0,0,0.035189,0.0461121,0.043605,0.0336902,0.0281489,0.0270324,0.0373519,0.0335992,0.0612085,0.0632596,0.0631798,0.0638981,0.0640047,0.013509,0.0296205,0.0217857,0.0247469,0.0419689,0.0124812,0,0,0,0,0,0,0,0,0,0.0290302,0.0619312,0.0228341,0
109,0.0336026,0.0471288,0,0,0,0,0,0.0172266,0,0.0303925,0.0508106,0,0,0.0144068,0,0,0.0377755,0.0384226,0.043459,0.0245153,0.0253421,0.0283617,0.0130218,0.0452758,0.0426926,0.0454257,0.036066,0.0300485,0.0515693,0.0467783,0.0127678,0.0211341,0.0504116,0,0.0119202,0.0635524,0.0177048,0,0,0.0152538,0,0,0.0350843,0.0459045,0.0432201,0.0337298,0.0279578,0.0271263,0.0377249,0.03352,0.0614731,0.0632499,0.0630656,0.0638047,0.0640677,0.0132962,0.0294927,0.0216651,0.0246998,0.0419103,0.01241,0,0,0,0,0,0,0,0,0,0.0282123,0.061522,0.0224626,0
110,0.0340824,0.0472784,0,0,0,0,0,0.0181467,0,0.0310599,0.0522001,0,0,0.01389,0,0,0.0376016,0.0382173,0.0446835,0.026376,0.0263911,0.0281899,0.0134435,0,0.0413352,0.0441929,0.0347885,0.0289156,0.0494225,0.047279,0.0124719,0.0209329,0.0508357,0,0.0124936,0.0643748,0.0177673,0,0,0.0149179,0,0,0.0347048,0.0456355,0.043159,0.0335705,0.0271022,0.0259726,0.0379892,0.033835,0.0618017,0.0630027,0.0626968,0.0635338,0.0637621,0.0132116,0.0303058,0.0209737,0.0238303,0.0424172,0.0121784,0,0,0,0,0,0,0,0,0,0.0280163,0.063685,0.0227314,0
111,0.0336428,0.047378,0,0,0,0,0,0.0191045,0,0.0289925,0.050527,0,0,0.0134882,0,0,0.0377842,0.0410126,0.0427443,0.0249905,0.0256199,0.0283327,0.013444,0.0443719,0.0427566,0.0459787,0.0362765,0.0302202,0.0476061,0.0471201,0.011382,0.0213696,0.0527727,0,0.0136338,0.0659265,0.0177653,0,0,0.0155845,0,0,0.0351247,0.0438087,0.0432859,0.0349428,0.027218,0.0270435,0.0384772,0.034926,0.06329,0.0623439,0.0615766,0.062285,0.0627534,0.0139639,0.0295189,0.0214636,0.0243316,0.0422646,0.0121668,0,0,0,0,0,0,0,0,0,0.027148,0.0601692,0,0
112,0.0340563,0.0473455,0,0,0,0,0,0.0201362,0,0.0300234,0.0522191,0,0,0.0132636,0,0,0.0375186,0.0390392,0.0446887,0.0261513,0.0264773,0.0284359,0.0129529,0,0.0419461,0.044695,0.0350575,0.0293645,0.0458372,0.0473421,0.0115915,0.0214701,0.0520489,0,0.013332,0.0652083,0.0180068,0,0,0.0150462,0,0,0.0345845,0.0452732,0.0434889,0.0334354,0.0264716,0.0262185,0.038429,0.0331416,0.0624839,0.0628005,0.0626008,0.0635246,0.0637359,0.0131253,0.0303738,0.0210853,0.0237975,0.0424619,0.0122148,0,0,0,0,0,0,0,0,0,0.0262027,0.0628578,0.0225178,0
113,0.0336665,0.0472427,0,0,0,0,0,0.0208837,0,0.0282198,0.0506249,0,0,0.0133824,0,0,0.0376337,0.0399541,0.0440051,0.0241577,0.0260114,0.0284905,0.0119158,0.0434784,0.043454,0.046412,0.0366337,0.0311119,0.0447768,0.0470315,0.0116292,0.0216671,0.0532414,0,0.0130523,0.0653267,0.0181025,0,0,0.0151325,0,0,0.0346846,0.0453955,0.0434494,0.0333738,0.0267984,0.0270662,0.0383342,0.0325876,0.0623377,0.0630958,0.0628886,0.0637166,0.06385,0.0135062,0.0297924,0.0217532,0.0244242,0.041902,0.0124084,0,0,0,0,0,0,0,0,0,0.0250654,0.0598711,0.0219974,0
114,0.0337584,0.0472081,0,0,0,0,0,0.0218307,0,0.0273866,0.0505697,0,0,0.013231,0,0,0.0375133,0.0399878,0.0446331,0.0242856,0.0260469,0.0283734,0.0117419,0.0433271,0.0436843,0.0468103,0.0368958,0.0316806,0.043082,0.0471491,0.0115476,0.0215449,0.053233,0,0.0133489,0.065775,0.0182233,0,0,0.0150838,0,0,0.0344831,0.0452355,0.0435279,0.0333547,0.0266347,0.0268489,0.0384735,0.0323345,0.0622029,0.0631329,0.0627599,0.0635854,0.0637285,0.0138782,0.0299166,0.0216181,0.0243274,0.0418209,0.0123851,0,0,0,0,0,0,0,0,0,0.0243611,0.0597961,0.0221492,0
115,0.0340088,0.0472273,0,0,0,0,0,0.0230717,0,0.0266834,0.0505701,0,0,0.0130324,0,0,0.0372909,0.0411211,0.0442462,0.0248647,0.0257189,0.027996,0.0119215,0.0430945,0.0439886,0.0474361,0.0371382,0.032085,0.0407542,0.0474304,0.0115076,0.0211402,0.0526323,0,0.0148864,0.0677818,0.018564,0,0,0.0150357,0,0,0.0343393,0.0434622,0.0431787,0.0348463,0.02639,0.0265399,0.0391448,0.0333478,0.0637327,0.062358,0.0611015,0.0619663,0.062517,0.0149565,0.0301801,0.0215234,0.0241151,0.0419607,0.0122184,0,0,0,0,0,0,0,0,0,0.0243489,0.0596575,0,0
116,0.0340354,0.0471971,0,0,0,0,0,0.0239142,0,0.0264549,0.0506622,0,0,0.0131951,0,0,0.0373553,0.0400454,0.0437227,0.0249273,0.0257575,0.0281783,0.0119265,0.0428717,0.0442613,0.0478291,0.0372565,0.0324761,0.0399536,0.0473568,0.0116359,0.021215,0.0526237,0,0.014387,0.0667891,0.0185253,0,0,0.015063,0,0,0.0344583,0.0448364,0.0437431,0.0334285,0.0259693,0.0263087,0.0387667,0.0318445,0.0623285,0.0628673,0.0623903,0.0632613,0.063504,0.0144775,0.0301869,0.0214021,0.0240809,0.0417929,0.0124153,0,0,0,0,0,0,0,0,0,0.0232095,0.0594365,0.0222727,0
