Timestep,C7,CLAV,IMUL_L,IMUL_M,IMUR_B,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RPSI,RSHO,RTHI,RTHIA,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x71,x72,x73,x74,x75,RTHIP,IMUL_R,RKNE,LTHII,IMUR_M
185,0.0312812,0.0484706,0,0,0,0,0.0479821,0,0.0239104,0.0510254,0,0,0.0144032,0,0,0.035748,0.0283442,0.0352329,0.0245954,0.0495131,0.0297257,0.0323681,0.0240067,0,0.0180289,0.0420199,0.0468435,0.0356931,0.0349627,0.0135017,0.0440754,0.00832403,0.0223327,0.0276631,0,0.0182411,0.0593012,0.0176793,0,0,0.0117225,0,0,0.0338556,0.057389,0.0501794,0.0315294,0.0293155,0.0216297,0.052746,0.0318753,0.0583597,0.0554318,0.0559493,0.0621753,0.048619,0.0352257,0.0179492,0.0206953,0.0423609,0.0159423,0,0,0,0,0,0,0,0,0,0,0.0699438,0,0.0365195,0,0
186,0.031179,0.0483531,0,0,0,0,0.0482844,0,0.0244045,0.0509106,0,0,0.0145506,0,0,0.0357817,0.0274203,0.0357752,0.0248909,0.0478268,0.030288,0.0325438,0.0240679,0,0.0182039,0.0421755,0.0471754,0.0357494,0.0349584,0.0137736,0.0439507,0.00833632,0.0222157,0.0287795,0,0.018201,0.0591512,0.0176495,0,0,0.0118741,0,0,0.033968,0.0569544,0.0489469,0.0315673,0.0296034,0.0218236,0.0534164,0.0324547,0.0590939,0.0557663,0.056808,0.0635855,0.0539746,0.03503,0.0179008,0.0207857,0.0421773,0.0160542,0,0,0,0,0,0,0,0,0,0,0.0705919,0,0.0374758,0,0
187,0.03107,0.0482745,0,0,0,0,0.0485508,0,0.0248677,0.0510053,0,0,0.0145757,0,0,0.0356269,0.0270702,0.0361013,0.0251169,0.047164,0.0302868,0.0324924,0.0241004,0,0.0183196,0.0422944,0.0473473,0.035845,0.0350116,0.0139085,0.0440628,0.00822764,0.0218753,0.0295559,0,0.0182669,0.0589276,0.0177154,0,0,0.0120784,0,0,0.0340632,0.0560637,0.0484378,0.0314414,0.0298944,0.0220502,0.0539293,0.032684,0.0598406,0.056334,0.057753,0.0650275,0.0583942,0.0349853,0.0177931,0.0207445,0.0420076,0.0160581,0,0,0,0,0,0,0,0,0,0,0.0709569,0,0.0386412,0,0
188,0.0309968,0.048225,0,0,0,0,0.0488159,0,0.0251168,0.0511825,0,0,0.0144673,0,0,0.0353717,0.0272053,0.0361989,0.0251643,0.0474156,0.0298507,0.0321909,0.0241773,0,0.0182467,0.0422902,0.0473116,0.0359279,0.0351013,0.0140738,0.0443801,0.0081765,0.0213542,0.0299287,0,0.0182948,0.0587232,0.017886,0,0,0.0121736,0,0,0.0339564,0.0553137,0.0485398,0.031384,0.030133,0.022101,0.0547217,0.0331624,0.0605072,0.0571227,0.0585044,0.0663683,0.0616435,0.0350238,0.0177086,0.0206119,0.0417466,0.0160971,0,0,0,0,0,0,0,0,0,0,0.0712922,0,0.0394492,0,0
189,0.0309713,0.0482001,0,0,0,0,0.0493925,0,0.0250831,0.0513357,0,0,0.0143374,0,0,0.0351434,0.0276656,0.036058,0.0250796,0.0481288,0.0292109,0.0317443,0.0242127,0,0.0179814,0.0422355,0.0470225,0.0359437,0.0351254,0.0142967,0.0447386,0.00810527,0.0208933,0.0303295,0,0.0183657,0.0585507,0.0180369,0,0,0.0121236,0,0,0.0337458,0.0552477,0.0490663,0.0313091,0.0300619,0.0220001,0.0554832,0.0334977,0.0610778,0.0577132,0.0590537,0.0675122,0.0640312,0.0351962,0.017611,0.0204353,0.0414232,0.0161563,0,0,0,0,0,0,0,0,0,0,0.0716696,0,0.0399602,0,0
190,0.0309943,0.04818,0,0,0,0,0.0500246,0,0.0251657,0.0514738,0,0,0.0142118,0,0,0.0349383,0.0281581,0.0356967,0.0250203,0.0485549,0.028551,0.0312836,0.0243348,0,0.0176691,0.0422634,0.0466164,0.0361201,0.0353256,0.014335,0.0450589,0.00799421,0.020627,0.0305449,0,0.0185595,0.0584025,0.0181145,0,0,0.0119836,0,0,0.0336489,0.0556999,0.0497208,0.0311037,0.0297906,0.0218381,0.0558713,0.0337,0.0614557,0.0578503,0.0595217,0.0684352,0.0651518,0.0354057,0.0175408,0.0203027,0.0411902,0.0161865,0,0,0,0,0,0,0,0,0,0,0.0720092,0,0.0404591,0,0
191,0.0310109,0.048036,0,0,0,0,0.0463608,0,0.0231433,0.0520481,0,0,0.0144975,0,0,0.0345347,0.0277828,0.0360189,0.0242703,0.0475447,0.0275849,0.0306968,0.0238211,0,0.0181551,0.0434307,0.0470422,0.0375938,0.0372034,0.0127353,0.0451189,0.00816753,0.0207826,0.0288684,0,0.0210359,0.0577239,0.0187864,0,0,0.0112196,0,0,0.0339755,0.0559734,0.0507935,0.0314545,0.0301565,0.0221959,0.0564781,0.034958,0.0616817,0.056263,0.0607624,0.0710825,0.0564877,0.0352993,0.0177272,0.0203823,0.0409364,0.0161827,0,0,0,0,0,0,0,0,0,0,0.0736152,0,0.0439503,0,0
192,0.0310493,0.0479874,0,0,0,0,0.0469959,0,0.0228512,0.0521846,0,0,0.0144331,0,0,0.0345079,0.0276814,0.0358099,0.024347,0.0474006,0.0271326,0.0305023,0.0234703,0,0.0182781,0.0437439,0.0470663,0.0379506,0.0374815,0.0123778,0.0452012,0.00813451,0.0207918,0.028404,0,0.0209691,0.0577116,0.0187214,0,0,0.011117,0,0,0.0339664,0.0567903,0.0509756,0.0312735,0.0298893,0.0219854,0.0563628,0.0351033,0.0617517,0.0561442,0.061052,0.0714558,0.0562683,0.03535,0.0177249,0.0203194,0.0408736,0.0162799,0,0,0,0,0,0,0,0,0,0,0.0736716,0,0.044941,0,0
193,0.0310969,0.0479424,0,0,0,0,0.0475038,0,0.0226674,0.0522898,0,0,0.0143489,0,0,0.034539,0.0272062,0.0356487,0.0244378,0.0471747,0.0268889,0.0303822,0.0231666,0,0.0181909,0.0440918,0.0472321,0.0383361,0.0376695,0.0123608,0.0452227,0.00814454,0.0208646,0.0278029,0,0.0210823,0.0576781,0.0186881,0,0,0.0110771,0,0,0.0340752,0.0573918,0.0511279,0.0315653,0.0297218,0.0217952,0.0562172,0.0352403,0.0615721,0.0559281,0.0610675,0.071244,0.0560913,0.0354572,0.0177983,0.0202624,0.0408855,0.0163014,0,0,0,0,0,0,0,0,0,0,0.0735664,0,0.0454694,0,0
194,0.0311541,0.0478512,0,0,0,0,0.0480629,0,0.022508,0.0523991,0,0,0.0143362,0,0,0.0346272,0.0263418,0.0355488,0.0245246,0.0469827,0.0267999,0.0303677,0.022996,0,0.017971,0.0443422,0.0474257,0.0385954,0.0377452,0.0126167,0.0451929,0.00820167,0.0210472,0.0271646,0,0.0214074,0.0576618,0.0186484,0,0,0.0110528,0,0,0.0341173,0.0574734,0.0511944,0.0315293,0.0296713,0.0215992,0.0559397,0.0353814,0.0614221,0.0557147,0.0609387,0.0708156,0.0561591,0.0354926,0.017931,0.0203085,0.040895,0.0162715,0,0,0,0,0,0,0,0,0,0,0.0735474,0,0.0457191,0,0
195,0.0312096,0.0477641,0,0,0,0,0.0485446,0,0.0223397,0.0525972,0,0,0.014383,0,0,0.0347088,0.0252317,0.035257,0.0245711,0.046895,0.0266405,0.030506,0.0227589,0,0.0179569,0.0444695,0.0476111,0.0388675,0.0377805,0.0126071,0.0450923,0.00824796,0.0213278,0.0269158,0,0.0217963,0.0574823,0.0186277,0,0,0.0110137,0,0,0.0340014,0.0564382,0.0515528,0.0310078,0.0296885,0.0214401,0.055653,0.0352594,0.0613349,0.0556078,0.0606817,0.0704406,0.0565334,0.0354708,0.0181787,0.0204191,0.040872,0.0161551,0,0,0,0,0,0,0,0,0,0,0.0736649,0,0.0457631,0,0
196,0.0311597,0.0474886,0,0,0,0,0.0483262,0,0.0210726,0.0518853,0,0,0.0146206,0,0,0.0349354,0.025157,0.0336541,0.0225461,0.0450138,0.026276,0.0305062,0.0228462,0,0.0185785,0.0462743,0.0494526,0.0405445,0.0387255,0.0119425,0.0447087,0.00833494,0.0216993,0.0269964,0,0.0221718,0.0567389,0.0189778,0,0,0.0109016,0,0,0.0340839,0.0543783,0.0520429,0.0302389,0.0303283,0.022128,0.0550589,0.0346461,0.0612777,0.0555979,0.0604182,0.0700777,0.0569523,0.034824,0.0187501,0.0210785,0.0405454,0.0164706,0,0,0,0,0,0,0,0,0,0,0.073328,0,0.0456908,0.0334941,0
197,0.0312339,0.0472454,0,0,0,0,0.0487027,0,0.0209263,0.0520501,0,0,0.0147307,0,0,0.0351134,0.0245254,0.0336167,0.0224576,0.0448413,0.0264832,0.0304722,0.0227254,0,0.0189299,0.0465035,0.0496519,0.0407872,0.0385312,0.0120107,0.0445269,0.00835128,0.0219387,0.0271262,0,0.022483,0.0564925,0.0189533,0,0,0.0109295,0,0,0.0341195,0.0546022,0.0525639,0.0302246,0.0305505,0.0220355,0.0545064,0.0343412,0.0611407,0.0554476,0.0600869,0.0698515,0.057332,0.0346598,0.0187983,0.0212759,0.040497,0.0162998,0,0,0,0,0,0,0,0,0,0,0.07264,0,0.0458522,0.0335612,0
198,0.0313088,0.0470869,0,0,0,0,0.049092,0,0.0208039,0.0522583,0,0,0.014865,0,0,0.0351532,0.0241645,0.0340284,0.0223572,0.0447574,0.026658,0.03057,0.0225943,0,0.0190509,0.0466913,0.049783,0.0409889,0.03867,0.0122965,0.044334,0.00833416,0.0221986,0.0273787,0,0.0227831,0.056259,0.0189192,0,0,0.0109339,0,0,0.0341599,0.055188,0.0532672,0.0301187,0.030827,0.0219153,0.0538601,0.0338853,0.0608065,0.0551799,0.0599146,0.069515,0.0577606,0.0346013,0.0187935,0.0213581,0.0404315,0.016137,0,0,0,0,0,0,0,0,0,0,0.0719098,0,0.0455895,0.0330767,0
199,0.0314561,0.0470143,0,0,0,0,0.0494347,0,0.0207707,0.0524775,0,0,0.0149627,0,0,0.0351044,0.0239386,0.0343269,0.0222595,0.0447298,0.0267447,0.0307594,0.022482,0,0.018986,0.0468309,0.0498518,0.0411539,0.0393058,0.0125361,0.0441619,0.00833385,0.0224221,0.027717,0,0.0231674,0.056058,0.0189187,0,0,0.0109168,0,0,0.0341628,0.0557525,0.0539511,0.0299025,0.0311074,0.0218024,0.0530512,0.0331442,0.0604525,0.0549442,0.0601054,0.0691416,0.0583313,0.0345374,0.0187757,0.0213364,0.0403559,0.0160756,0,0,0,0,0,0,0,0,0,0,0.0711362,0,0.0465076,0.0326085,0
200,0.0316306,0.0470234,0,0,0,0,0.0494162,0,0.0210215,0.0533669,0,0,0.0148914,0,0,0.0348769,0.0235862,0.0346546,0.0222191,0.044982,0.02657,0.0305484,0.0222205,0,0.0188447,0.0467361,0.0496856,0.041006,0.0394699,0.0126039,0.0443864,0.0081536,0.0221611,0.0299529,0,0.0260237,0.0557808,0.019059,0,0,0.0110111,0,0,0.0340749,0.0536909,0.059578,0.0300846,0.0317279,0.0218702,0.0528597,0.0372236,0.0584931,0.0517595,0.058113,0.0676091,0.0569272,0.0344926,0.0186688,0.0211886,0.0404507,0.0157541,0,0,0,0,0,0,0,0,0,0,0.0724322,0,0,0.0326717,0
201,0.0318008,0.0469753,0,0,0,0,0.0495266,0,0.0210979,0.0537441,0,0,0.0148737,0,0,0.0350135,0.0236289,0.0353247,0.0220242,0.0451252,0.0264879,0.0305037,0.0220179,0,0.0190819,0.0468836,0.0497429,0.0409546,0.0394502,0.0127893,0.0445298,0.00807845,0.022187,0.0305572,0,0.0259682,0.0557081,0.019082,0,0,0.0109832,0,0,0.0340579,0.0534186,0.0598738,0.0299116,0.032076,0.021668,0.0515758,0.036846,0.0583627,0.0519787,0.0586523,0.0679612,0.0567326,0.0346104,0.0185557,0.0211418,0.0403907,0.0156445,0,0,0,0,0,0,0,0,0,0,0.0711983,0,0,0.0324911,0
202,0.0319851,0.046913,0,0,0,0,0.0497588,0,0.0212002,0.0542223,0,0,0.014849,0,0,0.0349745,0.0237079,0.0356666,0.0218228,0.0453488,0.0263141,0.0303269,0.0217961,0,0.0193887,0.0468587,0.0497805,0.0410412,0.039428,0.0129325,0.044688,0.00801518,0.0222196,0.0310717,0,0.0257392,0.0555582,0.0191123,0,0,0.0109682,0,0,0.0341372,0.0530016,0.0603694,0.030076,0.0323744,0.0214149,0.050249,0.0365257,0.0582756,0.0522918,0.0591791,0.0683639,0.0566891,0.0347253,0.0184385,0.0211032,0.0403578,0.0155075,0,0,0,0,0,0,0,0,0,0,0.069939,0,0,0.0321351,0
203,0.0321825,0.0468845,0,0,0,0,0.0500031,0,0.0213902,0.0547249,0,0,0.0148118,0,0,0.0348022,0.0237552,0.0356105,0.0216228,0.0455901,0.0260168,0.0301204,0.0216491,0,0.0194889,0.0467294,0.0497855,0.0414728,0.039488,0.0129822,0.0448708,0.00793014,0.0220332,0.0314039,0,0.025546,0.0554437,0.0191364,0,0,0.0109516,0,0,0.0341043,0.0536623,0.0608528,0.0303076,0.0327323,0.0211753,0.048757,0.036549,0.0583761,0.0527471,0.0595932,0.0688186,0.0564636,0.034761,0.0183368,0.0209427,0.0403664,0.0153092,0,0,0,0,0,0,0,0,0,0,0.0687085,0,0,0.0322946,0
204,0.0323991,0.046868,0,0,0,0,0.0501355,0,0.0217291,0.0553127,0,0,0.0148061,0,0,0.0346146,0.0237514,0.0353296,0.0214556,0.0458744,0.0256653,0.0299085,0.0214291,0,0.0194937,0.0467571,0.049796,0.0415599,0.0395479,0.0129304,0.0450535,0.00787071,0.0217673,0.031647,0,0.0254173,0.0552566,0.0191995,0,0,0.0109106,0,0,0.0341024,0.0539424,0.0612495,0.0303953,0.0330983,0.0209319,0.0473767,0.0369352,0.0586073,0.0532925,0.060009,0.0692859,0.056213,0.0348345,0.0182468,0.0207706,0.0403799,0.015137,0,0,0,0,0,0,0,0,0,0,0.0676132,0,0,0.0325618,0
205,0.0326532,0.0468298,0,0,0,0,0.0503239,0,0.0220879,0.0559006,0,0,0.0147972,0,0,0.0344145,0.0235623,0.0348162,0.0214802,0.0461501,0.0252624,0.0297259,0.0211792,0,0.0195268,0.0468745,0.0497207,0.0413513,0.039489,0.0126789,0.0452928,0.00784564,0.0214567,0.0318335,0,0.0252313,0.0550141,0.0192345,0,0,0.0109515,0,0,0.0340419,0.053827,0.061699,0.0308494,0.0334059,0.0206548,0.0461167,0.0377242,0.0590337,0.0539388,0.0609844,0.0697351,0.0561212,0.034978,0.0182226,0.0206472,0.0403965,0.0149189,0,0,0,0,0,0,0,0,0,0,0.0666724,0,0,0.03269,0
206,0.0328787,0.0468267,0,0,0,0,0.0506615,0,0.0220586,0.0564402,0,0,0.0147612,0,0,0.034115,0.0232093,0.0347649,0.0215629,0.0462677,0.0249244,0.0295952,0.0209323,0,0.0196258,0.0468498,0.0496155,0.0412357,0.0393956,0.0124317,0.0454872,0.00774727,0.0211569,0.0320106,0,0.0249013,0.0548078,0.0192347,0,0,0.0110101,0,0,0.0338587,0.0536428,0.0617415,0.0313725,0.0335954,0.0203459,0.044993,0.0385638,0.0595103,0.0546715,0.0617979,0.0699783,0.0559798,0.0351127,0.0181759,0.0204818,0.0403773,0.0147398,0,0,0,0,0,0,0,0,0,0,0.0659366,0,0,0.0327108,0
207,0.0330827,0.0468123,0,0,0,0,0.0506959,0,0.0221512,0.0570322,0,0,0.0146485,0,0,0.033661,0.0228489,0.0350479,0.0216309,0.0463574,0.0247111,0.0294194,0.0207359,0,0.0197531,0.0469381,0.0493423,0.0413702,0.0395062,0.0123467,0.0456694,0.00764981,0.0208654,0.032022,0,0.0244395,0.0546107,0.019292,0,0,0.0110969,0,0,0.0337569,0.0532592,0.061276,0.0319163,0.0338492,0.0201058,0.0440667,0.0393844,0.0600602,0.0555269,0.0623382,0.0701012,0.0554305,0.0351445,0.018028,0.0203478,0.0404405,0.0145965,0,0,0,0,0,0,0,0,0,0,0.0654462,0,0,0.032613,0
