Timestep,C7,CLAV,IMUL_L,IMUL_M,IMUR_B,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RPSI,RSHO,RTHI,RTHIA,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x71,x72,x73,x74,x75,RTHIP,IMUL_R,RKNE,LTHII,IMUR_M
208,0.0332728,0.0467835,0,0,0,0,0.0506664,0,0.0225465,0.0576719,0,0,0.01455,0,0,0.0334253,0.0225136,0.0348579,0.021787,0.046497,0.0245217,0.0292229,0.0205851,0,0.0198975,0.0469469,0.0488559,0.0414314,0.0396537,0.0124178,0.0458592,0.0076674,0.0206763,0.0318813,0,0.0238247,0.0543845,0.0193555,0,0,0.0111817,0,0,0.033687,0.0525522,0.0608806,0.0323681,0.0341266,0.019951,0.0433024,0.0401575,0.0606513,0.0565488,0.0627755,0.0701087,0.0543922,0.0351989,0.017954,0.0202815,0.0405836,0.0144441,0,0,0,0,0,0,0,0,0,0,0.065001,0,0,0.0323273,0
209,0.0334539,0.0468078,0,0,0,0,0.0508623,0,0.0228738,0.05827,0,0,0.0144454,0,0,0.0334338,0.02224,0.0349101,0.0220782,0.0467383,0.0242798,0.0290348,0.0206237,0,0.0198878,0.0467962,0.0487451,0.0413424,0.0396466,0.0127955,0.0460196,0.00768899,0.0205571,0.0318054,0,0.023045,0.0542645,0.0194307,0,0,0.0112195,0,0,0.0336683,0.0516392,0.0604288,0.0326734,0.0344245,0.0198169,0.0426154,0.0409251,0.0612088,0.0577141,0.0631507,0.0700492,0.0528938,0.0352636,0.0179511,0.0202752,0.0407163,0.014269,0,0,0,0,0,0,0,0,0,0,0.0646012,0,0,0.032073,0
210,0.0336007,0.0468238,0,0,0,0,0.0511538,0,0.023067,0.0586252,0,0,0.0143522,0,0,0.0335501,0.0222318,0.0351555,0.0223065,0.0469702,0.0241214,0.0289957,0.020677,0,0.019818,0.0467215,0.0490471,0.0413482,0.0396355,0.0130712,0.0460901,0.00773712,0.0206001,0.0318496,0,0.0221588,0.0544259,0.0195272,0,0,0.0112397,0,0,0.0336753,0.0510332,0.0599244,0.0328464,0.0347325,0.0197052,0.0419722,0.0417987,0.0618481,0.0588948,0.0635338,0.0698711,0.0507849,0.0352458,0.0179933,0.0202615,0.0408477,0.0140468,0,0,0,0,0,0,0,0,0,0,0.0642365,0,0,0.0319612,0
211,0.0337384,0.0468693,0,0,0,0,0.0513331,0,0.0231701,0.0589408,0,0,0.0142022,0,0,0.0336459,0.0224159,0.0354477,0.0222838,0.0472523,0.0240011,0.029022,0.0205294,0,0.0198935,0.0467017,0.0491063,0.0414613,0.0397011,0.0132453,0.0461636,0.00775757,0.0206806,0.0322278,0,0.0211445,0.0546358,0.0196046,0,0,0.0112751,0,0,0.0336846,0.0505503,0.0593156,0.0330568,0.0350271,0.0196339,0.0414104,0.0426615,0.0625328,0.0599737,0.0638721,0.0695526,0.048044,0.0352194,0.0179425,0.0202655,0.0409833,0.0138443,0,0,0,0,0,0,0,0,0,0,0.0639891,0,0,0.0319745,0
212,0.0339029,0.0470001,0,0,0,0,0.0584253,0,0.0258362,0.0595976,0,0,0.0134782,0,0,0.0341473,0.0227888,0.0345918,0.0229855,0.0485271,0.0239307,0.0291417,0.0210935,0,0.0185713,0.0450823,0.0476169,0.0396326,0.0375971,0.0198509,0.0462919,0.00764967,0.0205328,0.032491,0,0.0196175,0.0546283,0.0189831,0,0,0.012078,0,0,0.0331939,0.0506612,0.0594645,0.0321363,0.0344514,0.0192935,0.0409329,0.0413484,0.0625345,0.0609068,0.0640471,0.0684073,0.0489242,0.0354758,0.0178098,0.020261,0.0412029,0.0138218,0,0,0,0,0,0,0,0,0,0,0.0633623,0,0,0.0327446,0
213,0.0340821,0.0470108,0,0,0,0,0.0590901,0,0.0261369,0.0600465,0,0,0.0133092,0,0,0.0341698,0.0230936,0.034594,0.0227814,0.0485034,0.0236845,0.0290421,0.0213214,0,0.0186669,0.0450416,0.0474254,0.0395699,0.0375955,0.0202762,0.0463479,0.00764671,0.0205234,0.0334257,0,0.0189344,0.0549511,0.0191835,0,0,0.012123,0,0,0.0332608,0.0499596,0.0587453,0.0325757,0.0346067,0.0193894,0.0404867,0.0424826,0.0633849,0.0620026,0.0645061,0.0684396,0.0429336,0.0354258,0.0177735,0.0203162,0.0412939,0.013554,0,0,0,0,0,0,0,0,0,0,0.0634778,0,0,0.0327317,0
214,0.0342709,0.0470044,0,0,0,0,0.0592318,0,0.0264259,0.0601295,0,0,0.0131418,0,0,0.0342025,0.0234494,0.03474,0.0226785,0.0485075,0.0235669,0.0289946,0.0216036,0,0.0187063,0.0450083,0.0472693,0.0394551,0.037613,0.0206321,0.0464197,0.00772348,0.0204826,0.0356216,0,0.0181939,0.0554691,0.0193426,0,0,0.0121644,0,0,0.0332412,0.0494579,0.0580443,0.0330871,0.0348527,0.0193971,0.0400184,0.0432929,0.0639502,0.0628899,0.0647662,0.0683335,0.0365891,0.0353868,0.0176769,0.0202827,0.0413581,0.0133435,0,0,0,0,0,0,0,0,0,0,0.0635412,0,0,0.0327212,0
215,0.0344768,0.0470031,0,0,0,0,0.0591473,0,0.0266926,0.060039,0,0,0.0129777,0,0,0.0342213,0.0239163,0.0349185,0.0225829,0.0484904,0.0235407,0.028971,0.021953,0,0.0186227,0.045036,0.0472758,0.0393618,0.0377272,0.0207749,0.0465292,0.0077699,0.0203948,0.0345876,0,0.0153336,0.0560829,0.0194695,0,0,0.0122733,0,0,0.0332636,0.0501518,0.0530371,0.033661,0.0350847,0.0193453,0.0400634,0.0377084,0.0654702,0.0649895,0.0667707,0.0696976,0.0372787,0.0353884,0.0175771,0.0202125,0.0414928,0.0132057,0,0,0,0,0,0,0,0,0,0,0.0629793,0,0.0360076,0.0327079,0
216,0.034651,0.0469957,0,0,0,0,0.0596829,0,0.0269759,0.0597675,0,0,0.0128907,0,0,0.0342337,0.0244774,0.035127,0.0222412,0.048481,0.0234525,0.0289518,0.0220679,0,0.0186975,0.0449181,0.0472136,0.0395087,0.0377245,0.0212519,0.0466354,0.00775821,0.0203616,0.0378006,0,0.01488,0.0568717,0.0196033,0,0,0.012349,0,0,0.0332256,0.049484,0.0522858,0.0341363,0.0351238,0.0194108,0.0401946,0.0379402,0.0657019,0.0653711,0.0668068,0.0691823,0.0298869,0.0353207,0.0175398,0.0201815,0.0415858,0.0131678,0,0,0,0,0,0,0,0,0,0,0.0631906,0,0.0352035,0.0327204,0
217,0.0347916,0.0470151,0,0,0,0,0.0603605,0,0.0272248,0.0593991,0,0,0.0128131,0,0,0.0342154,0.02523,0.0353995,0.0219884,0.0483317,0.0233354,0.0290302,0.0222133,0,0.0189827,0.0448935,0.0472006,0.0396865,0.0377088,0.0217743,0.0467382,0.00776154,0.0203279,0.0422614,0,0.0147793,0.0576571,0.0197546,0,0,0.0124063,0,0,0.0332483,0.0487778,0.0512996,0.0345044,0.0349917,0.0194391,0.0400544,0.0380764,0.0657882,0.0657054,0.0667357,0.0685538,0.0219624,0.0352843,0.0175259,0.0202099,0.0416164,0.0131567,0,0,0,0,0,0,0,0,0,0,0.063441,0,0.0338138,0.0327128,0
218,0.0348732,0.0470487,0,0,0,0,0.0608145,0,0.027451,0.0588281,0,0,0.0127738,0,0,0.0341606,0.02619,0.0356007,0.0217446,0.0480804,0.023174,0.0291048,0.022404,0,0.019624,0.0449044,0.047266,0.0395402,0.0377351,0.0223196,0.0467827,0.00776609,0.0203415,0.0478545,0,0.0149678,0.0585444,0.0199161,0,0,0.0124638,0,0,0.0333688,0.0481986,0.0502855,0.0349695,0.0348934,0.0194117,0.039945,0.0379091,0.0657474,0.0658706,0.0665673,0.0679182,0.0157696,0.0352203,0.0175442,0.0203153,0.041644,0.0131104,0,0,0,0,0,0,0,0,0,0,0.0638814,0,0.031913,0.0325765,0
219,0.0349714,0.0470983,0,0,0,0,0.0612112,0,0.0275819,0.0580687,0,0,0.012785,0,0,0.0341273,0.0272931,0.0355827,0.0215009,0.0478088,0.023061,0.0291682,0.0226219,0,0.0200865,0.0449847,0.0473203,0.0393092,0.0378655,0.022622,0.0467812,0.00772521,0.02038,0.0544821,0,0.0153023,0.0596451,0.0200329,0,0,0.012559,0,0,0.0333693,0.0480033,0.0494272,0.0355738,0.0348479,0.0193882,0.039955,0.0374852,0.0656463,0.0658341,0.0663569,0.0673348,0.0139803,0.0351441,0.0175366,0.020359,0.0417109,0.0130514,0,0,0,0,0,0,0,0,0,0,0.0643564,0,0.0299814,0.0323725,0
220,0.0350893,0.0471619,0,0,0,0,0.0618491,0,0.0276899,0.0571913,0,0,0.0128468,0,0,0.03409,0.0286258,0.0355202,0.0211781,0.0474165,0.0228942,0.0293249,0.0232598,0,0.0214587,0.0450286,0.0474498,0.0390243,0.0379859,0.0232343,0.0467677,0.00769702,0.0203202,0.060604,0,0.0157815,0.0610279,0.02012,0,0,0.0127059,0,0,0.0333067,0.0479565,0.0481252,0.0364827,0.034776,0.0195007,0.0403242,0.0364898,0.0655053,0.0656108,0.0660891,0.0670066,0.0166896,0.0350325,0.017495,0.0204163,0.0418251,0.0129873,0,0,0,0,0,0,0,0,0,0,0.0648421,0,0.0281522,0.0321428,0
221,0.0351831,0.0472562,0,0,0,0,0.0625794,0,0.0278114,0.0561909,0,0,0.012952,0,0,0.0340115,0.0298955,0.0354409,0.0209268,0.0470596,0.022865,0.0296104,0.0235668,0,0.0224733,0.0450277,0.0475539,0.038859,0.0379392,0.0236505,0.0467341,0.00774645,0.0201221,0.0659162,0,0.0163465,0.0623573,0.0201602,0,0,0.0128964,0,0,0.0332774,0.0473593,0.0465324,0.0373526,0.0346635,0.0194689,0.0409069,0.0351038,0.0655262,0.0654713,0.0659073,0.0668523,0.021001,0.0350588,0.0173285,0.0203754,0.041931,0.0129928,0,0,0,0,0,0,0,0,0,0,0.0654473,0,0.0265517,0.0319483,0
222,0.0352871,0.0473515,0,0,0,0,0.0630349,0,0.0280569,0.0552225,0,0,0.0130159,0,0,0.0339569,0.0312037,0.0353761,0.0207677,0.0466648,0.0228928,0.029828,0.0240011,0,0.0231977,0.0452182,0.0476752,0.0388347,0.0378627,0.0240361,0.0467026,0.00776929,0.0198896,0.0698933,0,0.0173537,0.0636947,0.0202032,0,0,0.0128465,0,0,0.0331288,0.046369,0.0448965,0.038202,0.0345345,0.0193784,0.0416759,0.03344,0.0656546,0.0653802,0.0657527,0.0668032,0.0247144,0.0351328,0.017152,0.02023,0.0420429,0.0130271,0,0,0,0,0,0,0,0,0,0,0.0661474,0,0.0256828,0.0319032,0
223,0.035139,0.0474126,0,0,0,0,0.0542142,0,0.0256021,0.0545523,0,0,0.0132993,0,0,0.0343567,0.0330036,0.0363984,0.0213243,0.0451107,0.0221357,0.0302996,0.0251478,0,0.0250495,0.0477367,0.0496964,0.0415959,0.040646,0.0136383,0.0461694,0.00775493,0.0202157,0.0606281,0,0.0144237,0.0650758,0.0203581,0,0,0.0125125,0,0,0.033389,0.0462725,0.0462764,0.0395619,0.0339864,0.0197178,0.044005,0.0291775,0.0667092,0.0666768,0.0672291,0.0676378,0.0121895,0.0349168,0.0172221,0.0202415,0.0420626,0.0126961,0,0,0,0,0,0,0,0,0,0,0.0669871,0,0.0243925,0.0309806,0
224,0.0352095,0.0476928,0,0,0,0,0.0633561,0,0.0283345,0.0536017,0,0,0.0130188,0,0,0.0338894,0.0336335,0.0353943,0.0209737,0.0457015,0.0228096,0.0302939,0.0253303,0,0.0243208,0.04526,0.0478415,0.0390305,0.0378697,0.0240472,0.0468496,0.00790586,0.0195126,0.0720894,0,0.0196757,0.0661594,0.0204452,0,0,0.0129051,0,0,0.0330582,0.0450016,0.0426496,0.0401311,0.0343687,0.019038,0.0430625,0.0306405,0.0659863,0.0649228,0.065261,0.0666684,0.0265812,0.0353522,0.0169406,0.0199254,0.0425442,0.0128425,0,0,0,0,0,0,0,0,0,0,0.0670853,0,0.0273283,0.0314992,0
