Timestep,C7,CLAV,IMUL_L,IMUL_M,IMUL_R,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RPSI,RSHO,RTHI,RTHIA,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x71,x72,x73,x74,x75,RKNE
13,0.0327091,0.0512094,0,0,0,0,0,0,0.0225062,0,0.026526,0.0522374,0,0,0.0123497,0,0,0.0336074,0.0388026,0.0423757,0.0250188,0.0601617,0.0268941,0.0292474,0.0133984,0.0324718,0.0503772,0,0.0458303,0.0477425,0.0388601,0.0335602,0.0409537,0.0468095,0.00717408,0.0175619,0.0566467,0,0.0166035,0.0707548,0.0162276,0,0,0.0117033,0,0,0.032655,0.0448912,0.0458276,0.0347038,0.0283535,0.0186944,0.036809,0.0215356,0.0581495,0.0606072,0.0572183,0.0596912,0.0602489,0.0186258,0.0366763,0.0190612,0.0188816,0.046382,0.0152622,0,0,0,0,0,0,0,0,0,0,0
14,0.0323598,0.051134,0,0,0,0,0,0,0.0232585,0,0.027891,0.0506168,0,0,0.0125397,0,0,0.0337613,0.0402984,0.0445075,0.0229373,0.0568911,0.0267681,0.0290737,0.0133729,0.0277467,0.0352229,0,0.0444941,0.0469671,0.038345,0.0338156,0.0432647,0.0464522,0.00710045,0.01776,0.0565072,0,0.0165819,0.070702,0.0163421,0,0,0.0115727,0,0,0.0327475,0.0454351,0.0455096,0.0346075,0.0289303,0.0193917,0.0368651,0.0209123,0.0582396,0.0608935,0.0573224,0.0596851,0.060368,0.0187967,0.0360528,0.0195064,0.01958,0.0460064,0.0156369,0,0,0,0,0,0,0,0,0,0,0
15,0.0325832,0.0511468,0,0,0,0,0,0,0.0256041,0,0.0297593,0.0511272,0,0,0.0123875,0,0,0.0336397,0.0400219,0.048086,0.0239647,0,0.0270815,0.0290197,0.0119256,0.0313349,0.0466488,0,0.0418987,0.0441547,0.0357068,0.032099,0.0410583,0.046608,0.00712418,0.0176143,0.0559074,0,0.0171262,0.0714557,0.0163653,0,0,0.0117209,0,0,0.0326979,0.0452558,0.0452351,0.0345975,0.0284929,0.0188777,0.0369434,0.021355,0.058557,0.0606133,0.0569343,0.0592578,0.060019,0.0184704,0.0363942,0.0192045,0.0193131,0.0461336,0.015561,0,0,0,0,0,0,0,0,0,0,0
16,0.0324348,0.0508799,0,0,0,0,0,0,0.0243318,0,0.0267751,0.0504633,0,0,0.01246,0,0,0.0335474,0.0405082,0.0432242,0.0227219,0.0554461,0.0269104,0.0287997,0.0134768,0.0276143,0.0434466,0.0296521,0.0453991,0.0480732,0.0394614,0.0349728,0.0434203,0.0466011,0.00716863,0.0175438,0.0557105,0,0.0170844,0.0696512,0.0165881,0,0,0.011658,0,0,0.0328489,0.0462095,0.0440694,0.0342418,0.0294357,0.019677,0.0367769,0.0205537,0.0580242,0.061084,0.0575038,0.0597657,0.0605978,0.0184554,0.0357017,0.0201686,0.0201823,0.0456338,0.0161258,0,0,0,0,0,0,0,0,0,0,0
17,0.0326814,0.0510719,0,0,0,0,0,0,0.0268339,0,0.0277035,0.0521419,0,0,0.0121762,0,0,0.0332788,0.0391915,0.0454744,0.0245213,0,0.0270949,0.0285043,0.0122312,0.0332488,0.0443198,0.0283716,0.0437034,0.0460959,0.0372887,0.0332097,0.0391103,0.0469419,0.0070936,0.0172218,0.0555791,0,0.0173585,0.0702673,0.0167503,0,0,0.0114361,0,0,0.032935,0.0457824,0.0445504,0.0342781,0.0287212,0.0189914,0.036655,0.020969,0.0582879,0.0608479,0.0571094,0.0592892,0.0602106,0.0184184,0.0364259,0.0195399,0.0194782,0.0460136,0.015529,0,0,0,0,0,0,0,0,0,0,0
18,0.0326458,0.0508286,0,0,0,0,0,0,0.0248614,0,0.0260115,0.0511777,0,0,0.0122492,0,0,0.0332804,0.0402395,0.042041,0.0231963,0.0566021,0.027172,0.0285601,0.0141999,0.0275245,0.0395516,0.0291826,0.0458171,0.0484949,0.0400836,0.035757,0.0420486,0.0468578,0.00722769,0.0173328,0.0557271,0,0.0175725,0.0698595,0.0167825,0,0,0.0116265,0,0,0.0330523,0.0464485,0.0444395,0.0337017,0.0291185,0.0194589,0.0367214,0.0203779,0.0582159,0.060967,0.0572952,0.0595961,0.0605045,0.0185287,0.0359976,0.0202952,0.0199253,0.0455834,0.0160116,0,0,0,0,0,0,0,0,0,0,0
19,0.0328591,0.0510674,0,0,0,0,0,0,0.0273002,0,0.0265762,0.0531462,0,0,0.011963,0,0,0.0331588,0.0387589,0.0435919,0.0252071,0,0.0273778,0.0283936,0.0133952,0.0328701,0.0421818,0.0284702,0.0440442,0.046719,0.0379967,0.0338197,0.0365599,0.0471583,0.00714496,0.017084,0.0556771,0,0.0179361,0.0705742,0.0168462,0,0,0.0115444,0,0,0.0331104,0.0461166,0.0453433,0.0335867,0.0281716,0.0187074,0.0366918,0.0212952,0.0583805,0.0606345,0.0569091,0.0590075,0.0600099,0.0185644,0.0366211,0.0195707,0.0190385,0.0460427,0.0153478,0,0,0,0,0,0,0,0,0,0,0
20,0.0328738,0.0510942,0,0,0,0,0,0,0.028409,0,0.0260671,0.0536387,0,0,0.0119371,0,0,0.0331393,0.0384133,0.042621,0.0255655,0,0.0275469,0.0283828,0.0139463,0.032635,0.042066,0.0285082,0.0441606,0.0471304,0.0380397,0.0339269,0.0346249,0.0472238,0.00714667,0.0170767,0.0558566,0,0.0181741,0.0706689,0.0168703,0,0,0.011456,0,0,0.0330574,0.0463312,0.0455656,0.0333073,0.0279978,0.0185812,0.0367992,0.0213562,0.0583974,0.0605024,0.0567927,0.0589058,0.0598655,0.018821,0.0366886,0.0195265,0.0190496,0.0459527,0.0152778,0,0,0,0,0,0,0,0,0,0,0
21,0.0328723,0.0511399,0,0,0,0,0,0,0.030159,0,0.0255915,0.0540976,0,0,0.0119552,0,0,0.0331198,0.038114,0.0420644,0.0258333,0,0.0276953,0.0283653,0.0145066,0.0323525,0.0417012,0.0285836,0.0444158,0.047538,0.0380005,0.0338269,0.0320896,0.0472487,0.00713787,0.0171031,0.0561513,0,0.018458,0.0706478,0.016909,0,0,0.0114534,0,0,0.0330533,0.0465155,0.0455621,0.0329975,0.027918,0.018484,0.036891,0.0213125,0.0586015,0.0604182,0.056674,0.0587652,0.0597275,0.0190086,0.0366876,0.019507,0.0190531,0.0458048,0.0152167,0,0,0,0,0,0,0,0,0,0,0
22,0.0328875,0.0511158,0,0,0,0,0,0,0.031708,0,0.0251034,0.0545623,0,0,0.0120143,0,0,0.0330709,0.0377931,0.0417262,0.0259626,0,0.0277518,0.0283846,0.0150309,0.0322113,0.0413651,0.0287499,0.0446386,0.0480981,0.0381256,0.0337776,0.028957,0.0471895,0.00711351,0.0171252,0.0562837,0,0.0188042,0.0706308,0.0169525,0,0,0.0114437,0,0,0.0330796,0.0467374,0.0455209,0.0327804,0.0278353,0.0183712,0.0369754,0.0213637,0.0587777,0.0603266,0.0565584,0.0588039,0.0596766,0.0192344,0.0366588,0.0194832,0.0190329,0.0457325,0.0151884,0,0,0,0,0,0,0,0,0,0,0
