Timestep,C7,CLAV,IMUL_L,IMUL_M,IMUL_R,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x71,x72,x73,x74,x75
22,0.0398906,0.045375,0,0,0,0,0,0,0.0445311,0,0.0256915,0.0586221,0,0,0.0105925,0,0,0.0293171,0.0299482,0.0362886,0.0228942,0.0456007,0.0254369,0.0257125,0.0214172,0.0283193,0.03503,0.0292638,0.0484002,0.0515314,0.042132,0.0392765,0.0122324,0.0517768,0.00901742,0.0131297,0.0623691,0,0.0180911,0.0609134,0.0238041,0,0,0.0115229,0,0,0.0324198,0.0490566,0.0456226,0.0283528,0.0246069,0.0304429,0.0202563,0.0373712,0.025553,0.0575718,0.0611158,0.060173,0.0587029,0.0596169,0.0247753,0.0364948,0.0179074,0.0174945,0.0405395,0.0254948,0,0,0,0,0,0,0,0,0,0
23,0.0396375,0.0455177,0,0,0,0,0,0,0.0434218,0,0.0255875,0.0586219,0,0,0.0106133,0,0,0.02929,0.0292457,0.0355182,0.0229361,0.0458514,0.0255285,0.0257943,0.0222368,0.0286054,0.034861,0.0287998,0.0480071,0.0510245,0.0418531,0.039358,0.0128639,0.0516847,0.00902099,0.0130953,0.0611565,0,0.0180984,0.0608899,0.0237646,0,0,0.0115111,0,0,0.0323582,0.0489679,0.0461143,0.0281479,0.0249668,0.030419,0.0202989,0.0375771,0.0254303,0.0575742,0.0610851,0.0600356,0.0585462,0.0594977,0.0244409,0.0364657,0.0178163,0.0174434,0.0406256,0.0255933,0,0,0,0,0,0,0,0,0,0
24,0.039374,0.0456296,0,0,0,0,0,0,0.0423499,0,0.025358,0.0586212,0,0,0.0107117,0,0,0.0292574,0.0283563,0.0347213,0.0229615,0.0460341,0.0255049,0.0259371,0.0221796,0.0290421,0.03457,0.0281184,0.0475863,0.0501001,0.0415334,0.0392807,0.0139668,0.0515644,0.00902814,0.0130973,0.0597965,0,0.018116,0.0607999,0.0236617,0,0,0.0115399,0,0,0.0323797,0.0487516,0.0467967,0.0279219,0.0253691,0.0303463,0.0203548,0.0378131,0.0253174,0.0574729,0.0609421,0.0597923,0.0583553,0.0593012,0.0240288,0.0364112,0.0177943,0.0173903,0.0407546,0.0256314,0,0,0,0,0,0,0,0,0,0
25,0.0391337,0.0457543,0,0,0,0,0,0,0.041459,0,0.0250399,0.0584956,0,0,0.0107809,0,0,0.0293209,0.0274589,0.034269,0.0230109,0.0460713,0.0254593,0.0261458,0.0219716,0.0294523,0.0337793,0.027146,0.0471739,0.0494795,0.0411145,0.038611,0.0149775,0.0514687,0.0089544,0.0132029,0.0585356,0,0.018127,0.0608426,0.0234791,0,0,0.0115894,0,0,0.0324884,0.0493014,0.0476049,0.0277225,0.0258196,0.0302704,0.0204351,0.0379563,0.0253806,0.0574129,0.0607293,0.059503,0.0582424,0.0589866,0.0236463,0.0363519,0.0178732,0.017365,0.0408728,0.0256862,0,0,0,0,0,0,0,0,0,0
26,0.0390949,0.0459824,0,0,0,0,0,0,0.0407655,0,0.0258745,0.0594441,0,0,0.0106849,0,0,0.0294977,0.0259789,0.0335792,0.0253985,0.0477201,0.0256697,0.0266289,0.0213984,0.0313198,0,0.0262041,0.0450634,0.0471738,0.0391853,0.0367322,0.0154408,0.0514703,0.009,0.0133589,0.056759,0,0.0183589,0.0613914,0.0228528,0,0,0.0118256,0,0,0.0324854,0.0496677,0.0483345,0.02757,0.0263912,0.0293913,0.0197862,0.0381046,0.0254369,0.0574903,0.0602036,0.0589154,0.0579702,0.0582637,0.0228043,0.0367835,0.0174435,0.0168835,0.0412262,0.0251793,0,0,0,0,0,0,0,0,0,0
27,0.0388381,0.046164,0,0,0,0,0,0,0.0401208,0,0.02514,0.0593213,0,0,0.0106051,0,0,0.029701,0.0252283,0.0325077,0.0255839,0.0475806,0.0259111,0.0270123,0.0207189,0.0318739,0,0.0252354,0.0444895,0.0463597,0.038835,0.0365853,0.0158909,0.0512973,0.0089242,0.0136307,0.0550888,0,0.0183265,0.0611802,0.0226529,0,0,0.0118158,0,0,0.0323714,0.0502069,0.0490273,0.0274453,0.0269774,0.0294851,0.0197446,0.0383321,0.0251323,0.0576589,0.060026,0.0586593,0.0579186,0.0579223,0.0221917,0.0367727,0.0174023,0.0167806,0.0413689,0.0252385,0,0,0,0,0,0,0,0,0,0
28,0.0384627,0.0463039,0,0,0,0,0,0,0.0388151,0,0.023627,0.0575439,0,0,0.0105744,0,0,0.030189,0.0248508,0.032454,0.0255321,0.0471986,0.027129,0.028192,0.0212875,0.0323612,0,0.0240588,0.0443264,0.046007,0.0391905,0.0370782,0.0176241,0.0506345,0.00862561,0.0144957,0.0532541,0,0.0143414,0.0599009,0.0222556,0,0,0.0119859,0,0,0.0322068,0.0521293,0.0441431,0.0269601,0.0258834,0.0293538,0.0192931,0.0353628,0.0230648,0.0546956,0,0.0622223,0.06106,0.0616689,0.021125,0.0368391,0.0173693,0.01649,0.0413792,0.025946,0,0,0,0,0,0,0,0,0,0
29,0.0383767,0.0463744,0,0,0,0,0,0,0.0376425,0,0.0224246,0.0576104,0,0,0.0109102,0,0,0.0301321,0.0239345,0.031592,0.0254813,0.0480079,0.027792,0.0289793,0.0212744,0.0323424,0,0.0237563,0.0437235,0.0454509,0.0389167,0.0367018,0.0190817,0.0504269,0.00849996,0.0143578,0.0513631,0,0.0138995,0.0593575,0.0221327,0,0,0.0113219,0,0,0.0324488,0.0526009,0.0446644,0.02755,0.0268237,0.0296258,0.0188156,0.0356516,0.0229742,0.0550258,0,0.0618604,0.0611141,0.0619396,0.0210514,0.0370647,0.0174513,0.0167116,0.041477,0.0262296,0,0,0,0,0,0,0,0,0,0
30,0.0384487,0.0463262,0,0,0,0,0,0,0.0362711,0,0.022958,0.0588726,0,0,0.0104498,0,0,0.0301524,0.0227,0.0310265,0.0252332,0.049201,0.0278489,0.028218,0.0202774,0.0321816,0,0.0235312,0.0433136,0.0454648,0.0378734,0.0355592,0.0201297,0.0507771,0.00843515,0.0144586,0.0466698,0,0.0177342,0.0595927,0.0221536,0,0,0.0110829,0,0,0.0325341,0.0519074,0.0508519,0.0290953,0.029495,0.0305141,0.0188883,0.0393097,0.0240798,0.0583939,0.0585671,0.0574595,0.0579588,0.0584937,0.0220511,0.0372765,0.0173997,0.0168019,0.0415818,0.0257588,0,0,0,0,0,0,0,0,0,0
31,0.0382032,0.0461543,0,0,0,0,0,0,0.0344477,0,0.0243084,0.0583699,0,0,0.0105885,0,0,0.0302717,0.0222456,0.0326212,0.0248108,0.0488978,0.0282443,0.0287295,0.0197684,0.0321736,0,0.022602,0.0437752,0.046389,0.0371668,0.034966,0.0217096,0.050356,0.00835639,0.0147241,0.0423624,0,0.0178555,0.0589519,0.0218681,0,0,0.0111101,0,0,0.0325362,0.0525515,0.051546,0.0295624,0.030086,0.0311508,0.0185846,0.0396517,0.0235721,0.0587343,0.0587503,0.0572403,0.0576936,0.0586387,0.0238846,0.0374436,0.017315,0.0166639,0.0413785,0.0255991,0,0,0,0,0,0,0,0,0,0
32,0.0379379,0.0459588,0,0,0,0,0,0,0.0324651,0,0.0258361,0.0581976,0,0,0.0109322,0,0,0.0305194,0.0222601,0.0333649,0.0246749,0.0480262,0.0282038,0.0294952,0.0189736,0.0321895,0,0.0220056,0.0439306,0.0470329,0.0364122,0.034442,0.0236938,0.0499604,0.00824147,0.0151195,0.0394546,0,0.0181832,0.057868,0.0216543,0,0,0.0116936,0,0,0.0324882,0.0538076,0.0522396,0.0294207,0.0304611,0.0317178,0.0184897,0.0402202,0.0231698,0.0594882,0.0589494,0.0569062,0.0576384,0.0588651,0.0270259,0.0373747,0.0170929,0.0163726,0.0412806,0.0255098,0,0,0,0,0,0,0,0,0,0
33,0.0380149,0.0460555,0,0,0,0,0,0,0.0347251,0,0.0290824,0.0584016,0,0,0.0110546,0,0,0.0306228,0.0222061,0,0.026605,0.0489982,0.0285812,0.0299682,0.0164836,0.0312469,0,0.0221107,0.0408667,0.0450326,0.032139,0.0305455,0.0281992,0.0499863,0.00823241,0.0152428,0.0360632,0,0.0182641,0.0569076,0.0211856,0,0,0.0116349,0,0,0.032578,0.0551536,0.0534252,0.0305158,0.0305751,0.0316662,0.0174332,0.0405422,0.0227028,0.059444,0.0587003,0.0563568,0.0576986,0.0593185,0.0308457,0.0379504,0.0169012,0.0160524,0.0416035,0.025099,0,0,0,0,0,0,0,0,0,0
