Timestep,C7,CLAV,IMUL_L,IMUL_M,IMUL_R,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x70,x71,x72,x73,,x74
103,0.0339373,0.049299,0,0,0,0,0,0,0.0450106,0,0.0210264,0.0564624,0,0,0.0154853,0,0,0.0362493,0.0301892,0.0334513,0.0208982,0.0522699,0.0320227,0.0392082,0.0190591,0,0.0175089,0.0427849,0.0470488,0.0368137,0.0354716,0.0119121,0.0439505,0.00864665,0.0219962,0.0271694,0,0.0277978,0.0547045,0.0192832,0,0,0.0114968,0,0,0.0346607,0.0491493,0.0610843,0.0330933,0,0.0367835,0.0219405,0.0589678,0.0434359,0.0530742,0.0472148,0.0500177,0.0574602,0.0511318,0.0327034,0.0184796,0.0206088,0.0444531,0.0162634,0,0,0,0,0,0,0,0,0,0,0
104,0.0335038,0.0490447,0,0,0,0,0,0,0.0448548,0,0.0198123,0.0548215,0,0,0.0164727,0,0,0.0368574,0.0298533,0.0325253,0.0189958,0.0488738,0.0323808,0.0399343,0.0193925,0.0349121,0.0195851,0.0445059,0.0491704,0.0387311,0.0366579,0.0116765,0.0430481,0.00885434,0.0226264,0.0255007,0,0.025862,0.0539239,0.0192094,0,0,0.0117572,0,0,0.0349721,0.0513803,0.0558117,0.0327545,0.0412681,0.0369483,0.0230882,0.0591271,0.0416328,0.056193,0.050434,0.0525366,0.0604062,0.0562528,0.0316869,0.0191152,0.0215224,0.0436263,0.0169086,0,0,0,0,0,0,0,0,0,0,0
105,0.0333916,0.0490691,0,0,0,0,0,0,0.0447952,0,0.0200025,0.0545967,0,0,0.0167989,0,0,0.0369025,0.0287615,0.0330627,0.0192967,0.0466564,0.0327696,0.040012,0.0197533,0.0349197,0.0191129,0.0450697,0.049519,0.0391534,0.0368269,0.0123286,0.0429243,0.00882693,0.0224888,0.0261163,0,0.0266544,0.0539626,0.0192559,0,0,0.0120748,0,0,0.0350144,0.0520023,0.0550823,0.0329528,0.042842,0.0370081,0.0233588,0.0603797,0.0422718,0.056596,0.0503962,0.0532193,0.0614495,0.0604663,0.0314507,0.0190198,0.0216214,0.0433861,0.0168832,0,0,0,0,0,0,0,0,0,0,0
106,0.0333098,0.049079,0,0,0,0,0,0,0.0446989,0,0.0204745,0.0544149,0,0,0.0169363,0,0,0.0367936,0.0277534,0.0335501,0.0195789,0.044806,0.0329408,0.039923,0.0200829,0.034959,0.0185114,0.0455127,0.0497434,0.0395057,0.0369916,0.0127897,0.0429124,0.00880393,0.0222863,0.0266342,0,0.0273679,0.0541952,0.0192791,0,0,0.0122486,0,0,0.034968,0.052806,0.0550349,0.0329881,0.0447666,0.0372831,0.0234783,0.0613478,0.0426081,0.0569538,0.0505668,0.0541642,0.0626068,0.0635217,0.0313987,0.0188814,0.0215819,0.0431795,0.0167862,0,0,0,0,0,0,0,0,0,0,0
107,0.0332199,0.0490703,0,0,0,0,0,0,0.0446546,0,0.0208669,0.0541551,0,0,0.0169657,0,0,0.0365281,0.0268136,0.0337993,0.0196308,0.0440131,0.0329358,0.0396919,0.020354,0.0349173,0.0182661,0.0456692,0.049848,0.0396969,0.0371413,0.0129146,0.0429545,0.00872665,0.0220418,0.0267023,0,0.0276997,0.0545529,0.0193026,0,0,0.012389,0,0,0.0349274,0.0535029,0.0555253,0.0328215,0.0468188,0.0376621,0.0235175,0.0622045,0.0427743,0.057307,0.0509236,0.0549714,0.06373,0.0647102,0.0314206,0.0187346,0.0214658,0.0429721,0.016648,0,0,0,0,0,0,0,0,0,0,0
108,0.0333068,0.049177,0,0,0,0,0,0,0.045429,0,0.0219664,0.0548892,0,0,0.016622,0,0,0.0360176,0.0256303,0.034943,0.0217769,0.0461249,0.0330904,0.0393796,0.0207336,0,0.0178685,0.0440577,0.0482455,0.038283,0.036057,0.0129724,0.0433457,0.00860507,0.0216281,0.026593,0,0.0278224,0.0549657,0.0191984,0,0,0.0123808,0,0,0.0346983,0.0540199,0.0560057,0.0324528,0.0481641,0.0373232,0.0227603,0.0628279,0.0430862,0.0576846,0.0512087,0.0555129,0.0648139,0.0644029,0.032003,0.0182389,0.0208074,0.0431098,0.0161833,0,0,0,0,0,0,0,0,0,0,0
109,0.0329977,0.0490245,0,0,0,0,0,0,0.0449742,0,0.021106,0.0534335,0,0,0.0166518,0,0,0.0360014,0.0258209,0.033561,0.0192899,0.045195,0.0323564,0.0389457,0.0208224,0.0342838,0.0183696,0.0454221,0.0495997,0.0393677,0.0371793,0.0125958,0.0433438,0.0085948,0.0215767,0.026496,0,0.0275504,0.0550402,0.0193488,0,0,0.0124278,0,0,0.0348312,0.0545034,0.0561087,0.0325187,0.0483987,0.0375905,0.0235816,0.0628744,0.0426298,0.0579027,0.0514244,0.056194,0.065914,0.0640493,0.0316623,0.0185439,0.021168,0.0425586,0.0163694,0,0,0,0,0,0,0,0,0,0,0
110,0.0330736,0.0491706,0,0,0,0,0,0,0.0459861,0,0.0220071,0.0540929,0,0,0.0160289,0,0,0.0358734,0.0251396,0.0344017,0.0211185,0.0481333,0.0319925,0.0384354,0.0211397,0,0.0180368,0.0437612,0.0478513,0.0377378,0.0360653,0.01274,0.0439299,0.00859973,0.0212102,0.0258939,0,0.0272503,0.0552852,0.0192927,0,0,0.0121883,0,0,0.0345081,0.0548668,0.0560997,0.0322591,0.0485334,0.0366727,0.0228145,0.0630146,0.0427863,0.0578915,0.0512505,0.0565233,0.0665771,0.062908,0.032311,0.0181086,0.0205062,0.0428354,0.0159776,0,0,0,0,0,0,0,0,0,0,0
111,0.0328998,0.0490141,0,0,0,0,0,0,0.0459571,0,0.0209719,0.0531399,0,0,0.0159813,0,0,0.0358072,0.0258965,0.0328212,0.0187285,0.0473835,0.0309252,0.0380122,0.0216994,0.0343003,0.0181707,0.045065,0.0491821,0.0390638,0.0370254,0.0121843,0.0439412,0.00856668,0.0211377,0.0252514,0,0.0267952,0.0549097,0.0195404,0,0,0.0120946,0,0,0.0345331,0.0552639,0.0563192,0.0324099,0.0486266,0.03686,0.0236089,0.0627617,0.0422132,0.0577892,0.0511923,0.0569831,0.067132,0.062182,0.0319302,0.0184018,0.02097,0.042555,0.0162629,0,0,0,0,0,0,0,0,0,0,0
112,0.032969,0.0490164,0,0,0,0,0,0,0.0462377,0,0.0209468,0.0532573,0,0,0.0156947,0,0,0.0354685,0.0260899,0.0327768,0.0186423,0.0472263,0.03031,0.0376734,0.0215852,0.0346214,0.0183406,0.0451902,0.0491457,0.0393517,0.0371493,0.0120966,0.0442136,0.00851126,0.0210158,0.0251698,0,0.026192,0.0547261,0.0196117,0,0,0.0121029,0,0,0.0344517,0.05509,0.0564088,0.0324773,0.0503518,0.0366622,0.0235749,0.0624276,0.0420658,0.0581941,0.0513324,0.0574466,0.0677507,0.0612155,0.0320197,0.0183537,0.0209072,0.0427448,0.0161772,0,0,0,0,0,0,0,0,0,0,0
113,0.033074,0.0491411,0,0,0,0,0,0,0.0464779,0,0.0210446,0.0537577,0,0,0.0152546,0,0,0.0352766,0.0259141,0.0330425,0.0188815,0.0470405,0.0299213,0.037006,0.021328,0.0350137,0.0184438,0.0452773,0.0490441,0.0395729,0.0372762,0.0120993,0.0446847,0.00845128,0.020851,0.0272251,0,0.0289655,0.0545131,0.0198155,0,0,0.0122655,0,0,0.0344329,0.0519309,0.0618411,0.0327393,0,0.0368834,0.0236257,0.063735,0.0467408,0.0564993,0.047483,0.0550494,0.0664789,0.0589008,0.0319833,0.0183929,0.0208802,0.0430257,0.0158664,0,0,0,0,0,0,0,0,0,0,0
