Timestep,C7,CLAV,IMUL_L,IMUL_M,IMUL_R,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x70,x71,x72,x73,,x74
124,0.0336161,0.0489166,0,0,0,0,0,0,0.0489608,0,0.0219538,0.0553539,0,0,0.0145981,0,0,0.0337717,0.0235582,0.0356357,0.019771,0.0467393,0.0293359,0.0331532,0.0205262,0.0348637,0.0170411,0.0452475,0.0480204,0.0394217,0.0373437,0.0140136,0.0463691,0.00795296,0.0188868,0.0311173,0,0.0278733,0.0557027,0.0218273,0,0,0.011993,0,0,0.0349674,0.049663,0.0637442,0.0338138,0,0.0390523,0.0261616,0.0532044,0.0434956,0.0557449,0.0508739,0.0591335,0.0679538,0.0574296,0.0311302,0.0187945,0.0221434,0.0419345,0.0144006,0,0,0,0,0,0,0,0,0,0,0
125,0.0337361,0.0488926,0,0,0,0,0,0,0.0487711,0,0.0221722,0.0556037,0,0,0.0143881,0,0,0.0334381,0.0236135,0.0355193,0.0198729,0.0468409,0.0290805,0.0325609,0.0203714,0.0346964,0.0170504,0.0452561,0.047869,0.0392721,0.0372766,0.0137127,0.0467402,0.00788224,0.0184939,0.0313249,0,0.0273286,0.0559369,0.0219767,0,0,0.0119996,0,0,0.0347935,0.0493632,0.0632524,0.0341375,0,0.039126,0.0261846,0.052372,0.0438622,0.0563992,0.0519098,0.0599396,0.0685683,0.0569316,0.0311754,0.0188334,0.0221504,0.0420723,0.014349,0,0,0,0,0,0,0,0,0,0,0
126,0.0338553,0.0488963,0,0,0,0,0,0,0.0485526,0,0.0224123,0.0559445,0,0,0.0142643,0,0,0.0332632,0.0236068,0.0348976,0.0200329,0.0470184,0.0288323,0.0319781,0.0201432,0.0344888,0.0171075,0.0451184,0.0476819,0.0389578,0.0369187,0.0133587,0.0471141,0.00790479,0.018137,0.0313784,0,0.0263818,0.056112,0.0222122,0,0,0.011862,0,0,0.0346856,0.0491306,0.0627917,0.0346245,0,0.0392002,0.0262371,0.0515856,0.0443098,0.0571967,0.0529217,0.0607424,0.0689512,0.0563371,0.0312392,0.0188208,0.0221208,0.042159,0.0142856,0,0,0,0,0,0,0,0,0,0,0
127,0.0340844,0.0488547,0,0,0,0,0,0,0.0482635,0,0.0229292,0.0561256,0,0,0.0141753,0,0,0.0329273,0.0237814,0.0349142,0.0200113,0.0470271,0.0286487,0.0313724,0.0201287,0.034176,0.0172205,0.0449898,0.047594,0.0387876,0.0364131,0.0135441,0.0474797,0.00799123,0.0178083,0.0297989,0,0.0229237,0.0563708,0.0225517,0,0,0.0115647,0,0,0.0346372,0.0506558,0.057256,0.0352466,0.0442822,0.0394356,0.0263757,0.0501214,0.0391268,0.0593775,0.05638,0.063493,0.0707764,0.0595222,0.0313673,0.0188839,0.0221068,0.04221,0.0143257,0,0,0,0,0,0,0,0,0,0,0
128,0.0342536,0.0488188,0,0,0,0,0,0,0.0480297,0,0.0233361,0.0562953,0,0,0.0139665,0,0,0.0325735,0.0239023,0.0349953,0.0199589,0.0470057,0.0284555,0.0308795,0.020027,0.0340254,0.0174971,0.0447681,0.0474779,0.0387396,0.0358195,0.0137531,0.0478252,0.00798227,0.0174778,0.0297928,0,0.0221174,0.0566352,0.0226965,0,0,0.0114386,0,0,0.0345522,0.0501507,0.0570353,0.0356706,0.0427191,0.0395042,0.0264421,0.0495584,0.039662,0.0599031,0.0571715,0.0638196,0.0708088,0.0581159,0.0314704,0.018962,0.0221266,0.0423371,0.0143516,0,0,0,0,0,0,0,0,0,0,0
129,0.0344173,0.0488404,0,0,0,0,0,0,0.0479458,0,0.02372,0.0566437,0,0,0.0137028,0,0,0.0323304,0.0241458,0.0348743,0.0200115,0.0470407,0.028138,0.0303091,0.019884,0.0338871,0.017656,0.0440369,0.0473665,0.0386183,0.0357726,0.0138489,0.0482603,0.00800046,0.0171172,0.0296966,0,0.0208028,0.0568573,0.0229294,0,0,0.0114367,0,0,0.0344613,0.0494437,0.0564138,0.0363247,0.0417472,0.0396171,0.0265518,0.0489852,0.0403505,0.0606981,0.0583614,0.0642551,0.070898,0.0560508,0.0316216,0.0189323,0.0221164,0.0425186,0.0142861,0,0,0,0,0,0,0,0,0,0,0
130,0.0346141,0.0488607,0,0,0,0,0,0,0.047856,0,0.0241962,0.0570177,0,0,0.0133412,0,0,0.0320901,0.0244968,0.0348746,0.0201157,0.0471309,0.0278868,0.0297836,0.0199862,0.0338028,0.0178077,0.0436546,0.0472258,0.0384473,0.0361131,0.0137271,0.04869,0.00798319,0.0167494,0.0297581,0,0.019685,0.057157,0.0232134,0,0,0.0116574,0,0,0.0343174,0.0486335,0.0556296,0.0370668,0.0410702,0.0397401,0.0267287,0.0483342,0.0411024,0.0616893,0.0597209,0.0648366,0.0709512,0.053686,0.0316469,0.0189149,0.0220014,0.042675,0.0141614,0,0,0,0,0,0,0,0,0,0,0
131,0.0347389,0.0489221,0,0,0,0,0,0,0.0534725,0,0.0263593,0.0574642,0,0,0.0124397,0,0,0.0325296,0.0252165,0.0339161,0.0212853,0.0483283,0.0277187,0.0294686,0.0208587,0.0344322,0.0168197,0.0424564,0.0466162,0.036903,0.0343547,0.0178708,0.048879,0.00779757,0.0164913,0.0307207,0,0.0175416,0.0572424,0.0226254,0,0,0.0123875,0,0,0.0336837,0.0491491,0.0558734,0.0358457,0.0389806,0.0388585,0.0265405,0.0474995,0.0391063,0.0619597,0.0611719,0.0651705,0.0698849,0.057286,0.0318367,0.0187029,0.0217887,0.0427867,0.0140342,0,0,0,0,0,0,0,0,0,0,0
132,0.0347827,0.0489249,0,0,0,0,0,0,0.0534774,0,0.0266123,0.058026,0,0,0.0120801,0,0,0.0326172,0.0253283,0.0340361,0.0213852,0.0483339,0.0274427,0.0290868,0.0210207,0.0342949,0.0171179,0.0423437,0.0465395,0.036736,0.0342138,0.0179658,0.0489993,0.00774488,0.0167146,0.0309332,0,0.0166466,0.0571837,0.022761,0,0,0.012659,0,0,0.0337042,0.0488556,0.0550054,0.036012,0.0411596,0.0388165,0.0268552,0.0468314,0.039699,0.0628912,0.0622229,0.0659255,0.0699376,0.0515845,0.0316967,0.0186529,0.0217453,0.0427543,0.013972,0,0,0,0,0,0,0,0,0,0,0
133,0.0348419,0.0489484,0,0,0,0,0,0,0.0535917,0,0.0268158,0.0583966,0,0,0.0118818,0,0,0.0326385,0.0256042,0.0341406,0.0214442,0.048365,0.0272432,0.0287886,0.021245,0.0341774,0.0173889,0.0420648,0.0464467,0.036509,0.0341779,0.0181294,0.049156,0.00771591,0.016837,0.0319773,0,0.0158399,0.0573314,0.0229387,0,0,0.0129025,0,0,0.0338841,0.0483199,0.0542974,0.0365504,0.0415471,0.0388567,0.0269153,0.0461683,0.0406517,0.0636856,0.0631414,0.0664639,0.0697385,0.044686,0.0316191,0.0186351,0.0217091,0.0427944,0.0139482,0,0,0,0,0,0,0,0,0,0,0
134,0.0348887,0.0489742,0,0,0,0,0,0,0.0539593,0,0.0269465,0.0584687,0,0,0.0118016,0,0,0.0325794,0.0260231,0.0342111,0.0214327,0.0482801,0.0271777,0.0286661,0.0214259,0.0340611,0.017576,0.041669,0.0464824,0.0361567,0.0344288,0.018512,0.0492908,0.00773475,0.0167466,0.034253,0,0.0152932,0.0578781,0.023088,0,0,0.0130504,0,0,0.0339784,0.0478649,0.05339,0.0369429,0.0404963,0.0390199,0.0268856,0.0455842,0.0415819,0.064185,0.0638295,0.0666547,0.0692791,0.0372474,0.0316747,0.0185849,0.0215991,0.0428808,0.0139463,0,0,0,0,0,0,0,0,0,0,0
135,0.0349385,0.0489765,0,0,0,0,0,0,0.0546732,0,0.0271418,0.058449,0,0,0.0117182,0,0,0.0325316,0.0264625,0.0342746,0.021365,0.0481683,0.0271116,0.028496,0.021454,0.033909,0.0177128,0.0415143,0.0464987,0.0357989,0.0346616,0.0191712,0.049394,0.0077396,0.0166318,0.0379222,0,0.0149265,0.0585445,0.0231565,0,0,0.0129382,0,0,0.0339237,0.0474372,0.0523474,0.0373387,0.0390274,0.0390169,0.026854,0.0451092,0.0421921,0.064334,0.0643539,0.0665596,0.0686854,0.029512,0.0317568,0.0184891,0.0214783,0.0429235,0.0139444,0,0,0,0,0,0,0,0,0,0,0
136,0.0350007,0.0489759,0,0,0,0,0,0,0.0557903,0,0.0275407,0.0584016,0,0,0.011648,0,0,0.032509,0.0270045,0.0343721,0.0212512,0.0480378,0.0268326,0.0284035,0.0216427,0.0337583,0.0179586,0.0420311,0.046413,0.0359164,0.0346434,0.0198656,0.0494564,0.00774905,0.0165795,0.0429796,0,0.0146303,0.0593283,0.0231613,0,0,0.0129114,0,0,0.033814,0.0470196,0.0511968,0.0379856,0.0374988,0.0389045,0.0267834,0.0447124,0.0425126,0.0644035,0.0647124,0.066281,0.0679512,0.0218314,0.0318487,0.0183832,0.0213672,0.0429223,0.0139038,0,0,0,0,0,0,0,0,0,0,0
137,0.0350577,0.048987,0,0,0,0,0,0,0.0569177,0,0.0278248,0.0582841,0,0,0.01159,0,0,0.0325378,0.0277353,0.0343534,0.0211152,0.047814,0.0263731,0.0284248,0.0219399,0.0335735,0.0183494,0.0421379,0.0463164,0.0360789,0.0346595,0.0205019,0.0494737,0.00773926,0.0166404,0.0489845,0,0.01468,0.0602434,0.0231214,0,0,0.0130234,0,0,0.0337547,0.0466336,0.0500571,0.038701,0.0354892,0.0388016,0.0265878,0.0444538,0.0425825,0.0644682,0.0647491,0.0658326,0.0670926,0.0154996,0.0319072,0.018317,0.0212583,0.0429388,0.013821,0,0,0,0,0,0,0,0,0,0,0
138,0.0354381,0.0490349,0,0,0,0,0,0,0.0581859,0,0.0281873,0.0578732,0,0,0.0114214,0,0,0.0322946,0.0294846,0.0342457,0.0208692,0.047725,0.0256724,0.0279761,0.0228493,0.0335894,0.0192682,0.0418565,0.0460944,0.0359509,0.0347115,0.0213913,0.0499515,0.00780458,0.0162191,0.0578236,0,0.016659,0.0627476,0.0235287,0,0,0.0129701,0,0,0.0337206,0.0444129,0.0500488,0.0410885,0,0.0392801,0.0265694,0.0447207,0.0458062,0.0631887,0.0630526,0.0635611,0.064786,0.0141517,0.0320477,0.018288,0.0211755,0.0432452,0.0136391,0,0,0,0,0,0,0,0,0,0,0
139,0.0355926,0.0489585,0,0,0,0,0,0,0.0595622,0,0.028438,0.0577238,0,0,0.0112802,0,0,0.0323834,0.0309745,0.0342203,0.0206814,0.0475571,0.0249924,0.0278806,0.0234093,0.0335778,0.0201617,0.0416864,0.0460573,0.0357205,0.0347569,0.0226133,0.0499674,0.00777402,0.0163948,0.0604425,0,0.0173955,0.0642986,0.0236517,0,0,0.0131347,0,0,0.033819,0.0436112,0.0477112,0.0423733,0,0.0392217,0.0266622,0.0450227,0.0442453,0.0633701,0.0626139,0.0631838,0.0645008,0.0156378,0.0319157,0.0183838,0.0213336,0.0433073,0.0134881,0,0,0,0,0,0,0,0,0,0,0
140,0.0356544,0.0488982,0,0,0,0,0,0,0.0605033,0,0.0287104,0.0572787,0,0,0.0111996,0,0,0.0324371,0.0322091,0.034137,0.020553,0.0472628,0.0248634,0.0279307,0.0239175,0.0334676,0.0211562,0.0417652,0.0461232,0.035569,0.0349036,0.0234491,0.0499228,0.00774754,0.0165139,0.062532,0,0.0185057,0.0651971,0.0236471,0,0,0.013221,0,0,0.0338145,0.0431858,0.04636,0.0433634,0,0.0392306,0.0265709,0.0452539,0.0425945,0.0636018,0.0622614,0.0629693,0.0644604,0.0172275,0.0319688,0.0183053,0.021226,0.0433493,0.0134181,0,0,0,0,0,0,0,0,0,0,0
141,0.0356627,0.0487648,0,0,0,0,0,0,0.0614499,0,0.0287186,0.056944,0,0,0.0111736,0,0,0.0324746,0.0333858,0.0341388,0.0205608,0.0469473,0.0247566,0.0280158,0.0243336,0.0332261,0.0229569,0.0417865,0.0461247,0.0355752,0.0350739,0.0242987,0.0498443,0.00774385,0.0165981,0.0634571,0,0.0197908,0.0660149,0.023593,0,0,0.0132076,0,0,0.033719,0.0430373,0.0453189,0.0443286,0,0.0393101,0.0264081,0.0455278,0.0408142,0.0639262,0.0619285,0.0627368,0.0645123,0.0177435,0.0320222,0.0182255,0.0211136,0.0433354,0.01336,0,0,0,0,0,0,0,0,0,0,0
142,0.0356631,0.0486237,0,0,0,0,0,0,0.0623602,0,0.0285257,0.056689,0,0,0.0111894,0,0,0.032546,0.0344102,0.0341949,0.0204644,0.0468962,0.0245116,0.0281424,0.0246811,0.0330642,0.0241433,0.0417244,0.0458865,0.0356428,0.0351532,0.0250699,0.0497512,0.00775092,0.0166695,0.0630209,0,0.0209801,0.0667447,0.0235044,0,0,0.0130524,0,0,0.0336252,0.04308,0.0448078,0.044966,0,0.039316,0.0262035,0.0456465,0.039253,0.0642278,0.0614714,0.0623583,0.0644716,0.0173901,0.0320626,0.0181407,0.0209928,0.0433232,0.0132812,0,0,0,0,0,0,0,0,0,0,0
143,0.0353243,0.0485182,0,0,0,0,0,0,0.0626448,0,0.0283362,0.0561672,0,0,0.0113219,0,0,0.0330148,0.0341417,0.0340589,0.0200525,0.046614,0.0246993,0.0289151,0.0243477,0.0325739,0.0238246,0.0419936,0.0459318,0.0359658,0.0352594,0.0253162,0.0491711,0.00775993,0.0173323,0.0668619,0,0.0203673,0.0655609,0.022891,0,0,0.0129179,0,0,0.033532,0.0445621,0.0448895,0.0431869,0.0303374,0.0386983,0.0257172,0.0448928,0.0370231,0.0643727,0.0632627,0.0642734,0.0654855,0.0204018,0.0321702,0.0180486,0.020805,0.043044,0.0133267,0,0,0,0,0,0,0,0,0,0,0
144,0.0352851,0.048559,0,0,0,0,0,0,0.0631261,0,0.0283029,0.056042,0,0,0.0112672,0,0,0.0330114,0.0343946,0.0342719,0.0199745,0.0460197,0.0245104,0.0290785,0.0242984,0.0324861,0.0233469,0.0420349,0.0460664,0.0358862,0.035136,0.0258765,0.0492018,0.0077669,0.0173261,0.0686871,0,0.0204869,0.06556,0.0227139,0,0,0.0128614,0,0,0.0334668,0.0445051,0.044787,0.0432548,0.0297317,0.0386626,0.0253711,0.0445662,0.0362391,0.0643104,0.0632544,0.0642334,0.0653866,0.0226706,0.0325331,0.0178988,0.0205159,0.0430232,0.0133107,0,0,0,0,0,0,0,0,0,0,0
145,0.035101,0.0485152,0,0,0,0,0,0,0.0541792,0,0.0258637,0.0563474,0,0,0.0114343,0,0,0.0333433,0.0349981,0.0359445,0.020412,0.0436947,0.0232769,0.0294861,0.0246674,0.031404,0.0241381,0.0440632,0.0471758,0.0382961,0.0378747,0.0158987,0.0486929,0.00764313,0.0176962,0.0583571,0,0.0169027,0.0657946,0.0227027,0,0,0.0127404,0,0,0.0338887,0.0441141,0.0464462,0.043684,0.02896,0.0382261,0.0256124,0.0457766,0.0331847,0.0649306,0.0644065,0.0656111,0.0660191,0.0104867,0.032392,0.0179861,0.0205277,0.0428449,0.0129866,0,0,0,0,0,0,0,0,0,0,0
146,0.0352314,0.0485999,0,0,0,0,0,0,0.0634342,0,0.0282922,0.056029,0,0,0.011144,0,0,0.0330475,0.0346758,0.03488,0.0197281,0.0448873,0.0236967,0.0295388,0.0239384,0.0323356,0.022409,0.0418376,0.0457751,0.0357059,0.034498,0.0267315,0.0492075,0.00788057,0.017274,0.0680014,0,0.0202263,0.0660748,0.0225705,0,0,0.0128614,0,0,0.0335487,0.0437791,0.0428576,0.0435103,0.0296093,0.0383021,0.0249705,0.0442921,0.035,0.0637559,0.0624772,0.0636314,0.064883,0.0229068,0.0329445,0.0176596,0.0202026,0.0430286,0.0132417,0,0,0,0,0,0,0,0,0,0,0
147,0.035158,0.0486337,0,0,0,0,0,0,0.063529,0,0.0280775,0.0563037,0,0,0.0110929,0,0,0.0331414,0.0346623,0.0351763,0.0197134,0.0446581,0.0232506,0.0296592,0.0235493,0.03224,0.0223998,0.0415525,0.0454431,0.0354424,0.0339888,0.0273086,0.0492058,0.00795652,0.0173135,0.0670862,0,0.0198747,0.0659672,0.0225365,0,0,0.0129036,0,0,0.0336141,0.0428885,0.0411159,0.0437654,0.0287169,0.0381593,0.024888,0.0440723,0.0348084,0.0632851,0.0620969,0.0631677,0.0643543,0.0230002,0.0330664,0.0175999,0.0200979,0.04309,0.013219,0,0,0,0,0,0,0,0,0,0,0
148,0.0351008,0.0486823,0,0,0,0,0,0,0.0632346,0,0.0278434,0.056637,0,0,0.0110415,0,0,0.033214,0.0346002,0.0355074,0.019755,0.0445222,0.0227782,0.0298231,0.0230608,0.0322961,0.0220158,0.0411193,0.044942,0.0350694,0.0334454,0.0276961,0.04921,0.00799715,0.0173998,0.0662862,0,0.0192954,0.0657807,0.0225176,0,0,0.0129133,0,0,0.033628,0.0420501,0.0395997,0.0440852,0.0276716,0.0379957,0.0248953,0.0438394,0.0348307,0.062677,0.0616068,0.0627249,0.0638618,0.0226779,0.0331845,0.0175773,0.0199952,0.0431585,0.0132214,0,0,0,0,0,0,0,0,0,0,0
149,0.0350753,0.0487343,0,0,0,0,0,0,0.062817,0,0.027658,0.0569215,0,0,0.0109105,0,0,0.0331674,0.0345226,0.0358096,0.0198012,0.044459,0.0224198,0.0299748,0.022429,0.0323758,0.0213188,0.0407509,0.0444964,0.0346728,0.032877,0.0281642,0.0491922,0.00800191,0.0175119,0.0660394,0,0.0180832,0.065607,0.0225093,0,0,0.0126912,0,0,0.0335427,0.0415184,0.038089,0.0443224,0.0266204,0.0379928,0.0250048,0.0437235,0.0353378,0.0619558,0.0609188,0.0625429,0.0636778,0.021924,0.0332458,0.0175705,0.0199113,0.0432698,0.0132504,0,0,0,0,0,0,0,0,0,0,0
150,0.0351488,0.0487495,0,0,0,0,0,0,0.0622787,0,0.0272843,0.0569747,0,0,0.0107259,0,0,0.03302,0.0344913,0.0360785,0.0199476,0.0448649,0.0221931,0.0302149,0.0216831,0.0325962,0.0203772,0.0403902,0.0441689,0.0341989,0.0320476,0.028533,0.0492598,0.00800926,0.017629,0.0652555,0,0.0164793,0.0656218,0.0225266,0,0,0.0125779,0,0,0.0335879,0.0413636,0.0366451,0.0446141,0.0255394,0.0384198,0.0251912,0.0437811,0.0363698,0.0616063,0.0605127,0.0627081,0.0639635,0.0208207,0.0332407,0.0175982,0.0199447,0.0434373,0.0133541,0,0,0,0,0,0,0,0,0,0,0
151,0.0352857,0.0487199,0,0,0,0,0,0,0.0612301,0,0.0264851,0.0568999,0,0,0.0105727,0,0,0.0328505,0.034527,0.0364229,0.0202775,0.0458692,0.0222101,0.0305306,0.0209226,0.0330503,0.0194916,0.0398627,0.0437363,0.0336571,0.0309537,0.0285608,0.0493954,0.00805327,0.0176441,0.0637558,0,0.0151814,0.0658317,0.0225875,0,0,0.01267,0,0,0.0336912,0.0408988,0.0357123,0.0448206,0.0240032,0.0391412,0.0254434,0.0437863,0.0369752,0.0619978,0.0610547,0.0627466,0.0641944,0.0186657,0.0331724,0.017657,0.0200451,0.0434586,0.0135449,0,0,0,0,0,0,0,0,0,0,0
152,0.0354291,0.0486476,0,0,0,0,0,0,0.0592789,0,0.0257968,0.0568235,0,0,0.0103889,0,0,0.032417,0.0349878,0.0369761,0.0208463,0.0469879,0.0223509,0.030214,0.0203987,0.0340168,0.0189542,0.0392342,0.0430368,0.0330222,0.0299173,0.028243,0.0497675,0.00804758,0.0171401,0.0626405,0,0.0157126,0.0669276,0.022868,0,0,0.0127787,0,0,0.0337421,0.0393259,0.0364958,0.0462158,0,0.0401638,0.0258331,0.0437807,0.0384977,0.0616714,0.0609129,0.0610584,0.0626574,0.0174975,0.0330442,0.017682,0.0201462,0.043336,0.0136362,0,0,0,0,0,0,0,0,0,0,0
153,0.0350218,0.0484454,0,0,0,0,0,0,0.0561967,0,0.0252087,0.056574,0,0,0.010602,0,0,0.0323943,0.0345376,0.0378081,0.0209366,0.0478228,0.0228485,0.0301586,0.0192646,0.0349742,0.018279,0.0390841,0.0427336,0.0327589,0.0293976,0.0273895,0.0496142,0.00802485,0.0171057,0.060912,0,0.0163614,0.0662566,0.0226857,0,0,0.0127804,0,0,0.0338161,0.0395765,0.0386698,0.0453598,0,0.040112,0.0261112,0.0431643,0.0389541,0.0613746,0.061413,0.0602818,0.0615401,0.015808,0.0327613,0.0177519,0.020376,0.0428314,0.0137705,0,0,0,0,0,0,0,0,0,0,0
154,0.0344809,0.048287,0,0,0,0,0,0,0.0526694,0,0.0247472,0.0562523,0,0,0.0108946,0,0,0.032507,0.0336804,0.0389263,0.0207176,0.0491477,0.0233191,0.0301556,0.0178148,0.035877,0.0179787,0.0393702,0.0429898,0.0330601,0.0291212,0.026398,0.0493785,0.00797161,0.0172431,0.0594915,0,0.0174929,0.0648883,0.0224317,0,0,0.0128612,0,0,0.033933,0.040367,0.0415556,0.0440993,0,0.0396452,0.0263749,0.042725,0.0396649,0.0606925,0.0610313,0.0596335,0.0605926,0.0146017,0.0325256,0.0177754,0.0205524,0.0423948,0.0139431,0,0,0,0,0,0,0,0,0,0,0
155,0.0340542,0.0482051,0,0,0,0,0,0,0.048927,0,0.0242513,0.0558049,0,0,0.0110936,0,0,0.032619,0.0327893,0.0399943,0.0203971,0.0503662,0.0233898,0.0303093,0.0161684,0.0366896,0.0180461,0.0399961,0.0436532,0.0337159,0.0290349,0.025283,0.0491494,0.00792552,0.0173984,0.0583793,0,0.0182405,0.0633983,0.0221802,0,0,0.0129613,0,0,0.0340435,0.041089,0.0441119,0.0429624,0,0.0387969,0.0266247,0.0424649,0.0401588,0.059864,0.0599487,0.059204,0.0601451,0.0141217,0.0324232,0.0177126,0.0206144,0.0422023,0.0140906,0,0,0,0,0,0,0,0,0,0,0
156,0.0338553,0.0481877,0,0,0,0,0,0,0.0449401,0,0.0238247,0.0552082,0,0,0.0112204,0,0,0.0327327,0.0322757,0.0404615,0.0200426,0.0510279,0.0231809,0.0306311,0.0147077,0.0375554,0.0186158,0.0406835,0.0444265,0.0343097,0.0288957,0.0240132,0.0489687,0.0079505,0.0175324,0.0573953,0,0.0181816,0.0625009,0.0220178,0,0,0.0130249,0,0,0.0340712,0.0412852,0.0454218,0.0425593,0,0.0379527,0.0268668,0.0422841,0.0399832,0.0592214,0.0589189,0.0589653,0.0600624,0.0141526,0.0323551,0.0176988,0.0207418,0.0421544,0.014071,0,0,0,0,0,0,0,0,0,0,0
157,0.0338939,0.0481897,0,0,0,0,0,0,0.0407826,0,0.0234118,0.0545705,0,0,0.0113524,0,0,0.0328552,0.0321059,0.0404439,0.0197879,0.0514487,0.0229367,0.0310247,0.013901,0.0389037,0.0195769,0.0413619,0.0450634,0.0347069,0.028822,0.0227458,0.0487891,0.00798367,0.0177459,0.0571902,0,0.0176478,0.0618774,0.0219381,0,0,0.013137,0,0,0.0341588,0.0412638,0.0458757,0.0425914,0,0.037577,0.0270995,0.0422397,0.0396814,0.0585853,0.0581557,0.0587742,0.0598536,0.0145309,0.032283,0.0177946,0.0209432,0.0422207,0.0139468,0,0,0,0,0,0,0,0,0,0,0
158,0.0340987,0.0481515,0,0,0,0,0,0,0.0366155,0,0.0231427,0.0540338,0,0,0.0115456,0,0,0.0329017,0.0322486,0.0401881,0.0197028,0.0520288,0.0228928,0.0315552,0.0133451,0.0402746,0.0206603,0.0417775,0.0453464,0.0350531,0.0288864,0.0224032,0.048464,0.00791354,0.0180787,0.0571272,0,0.0169349,0.0612649,0.0219808,0,0,0.0132913,0,0,0.0343283,0.0412423,0.0459294,0.0427239,0,0.0379752,0.027363,0.0425603,0.0396339,0.0582201,0.0578224,0.0585845,0.0596381,0.014886,0.0321,0.0179212,0.0212146,0.042376,0.0138607,0,0,0,0,0,0,0,0,0,0,0
159,0.0343176,0.048048,0,0,0,0,0,0,0.0327988,0,0.0230956,0.0536155,0,0,0.0118214,0,0,0.0330047,0.0326648,0.0397065,0.0196838,0.0529727,0.0230398,0.0320739,0.0130054,0.0416436,0.0221172,0.0419876,0.0455246,0.0352812,0.0288512,0.0239242,0.047976,0.00794405,0.0185302,0.0563913,0,0.0162145,0.0608463,0.0220776,0,0,0.0134826,0,0,0.0345204,0.0411591,0.0457346,0.0429173,0,0.0388571,0.0276696,0.0433255,0.039833,0.0583279,0.0579976,0.0585106,0.0596188,0.0149269,0.0317341,0.0181141,0.0215843,0.0425758,0.013953,0,0,0,0,0,0,0,0,0,0,0
160,0.0343044,0.0479412,0,0,0,0,0,0,0.029128,0,0.023286,0.0535673,0,0,0.0126063,0,0,0.0329909,0.0329559,0.0391194,0.0198862,0.0543918,0.0236023,0.0332675,0.0126895,0.042983,0.0236843,0.0424521,0.0458917,0.0354567,0.0287767,0.0268418,0.0472001,0.00792846,0.018531,0.0509287,0,0.014311,0.0598705,0.0220284,0,0,0.014098,0,0,0.0347149,0.0418146,0.0434763,0.0423811,0.0270001,0.0393425,0.0281198,0.0441808,0.0371354,0.0599141,0.0595895,0.0600131,0.0611873,0.0130263,0.0311188,0.0181959,0.0219695,0.0426224,0.0142698,0,0,0,0,0,0,0,0,0,0,0
161,0.0342346,0.0478434,0,0,0,0,0,0,0.0263377,0,0.0238827,0.0532886,0,0,0.0130991,0,0,0.0331492,0.0334203,0.0379795,0.020212,0.0564032,0.0243172,0.0335991,0.0127519,0.0445314,0.0253291,0.0429274,0.046211,0.0355796,0.0287251,0.0309094,0.0466654,0.00789502,0.0188375,0.0499009,0,0.0141568,0.0595133,0.0220306,0,0,0.0144954,0,0,0.0349498,0.0422543,0.043727,0.0424341,0.0282483,0.0399378,0.0286447,0.044436,0.0367785,0.0601679,0.0598769,0.0601329,0.0613647,0.0133168,0.0304145,0.0185236,0.0223537,0.0424875,0.0143963,0,0,0,0,0,0,0,0,0,0,0
162,0.0341081,0.0477711,0,0,0,0,0,0,0.0246082,0,0.0246666,0.0528864,0,0,0.0133216,0,0,0.0330779,0.0343465,0.0368058,0.0204246,0.058072,0.0247702,0.0334982,0.0132134,0.0459316,0.0269613,0.043289,0.0464127,0.0357468,0.0287847,0.0352348,0.0464929,0.00780276,0.0187431,0.0530621,0,0.0156674,0.0600081,0.0220981,0,0,0.0146033,0,0,0.0351533,0.0412569,0.0459287,0.0436228,0,0.0403312,0.0292123,0.044076,0.0391137,0.0590682,0.058672,0.0586553,0.0600292,0.0146687,0.0299777,0.0186123,0.0225786,0.042365,0.0141974,0,0,0,0,0,0,0,0,0,0,0
163,0.0338086,0.0475889,0,0,0,0,0,0,0.0228824,0,0.0251252,0.0530662,0,0,0.0138517,0,0,0.0330333,0.0341461,0.0365939,0.0203472,0.058458,0.0250133,0.0341235,0.0128863,0.0463029,0.0280595,0.043746,0.0467504,0.0361109,0.0291123,0.0394382,0.0461088,0.00776587,0.0186002,0.0484806,0,0.0146795,0.0590641,0.0219031,0,0,0.0147307,0,0,0.0352591,0.042033,0.0444081,0.0425888,0.027979,0.0400761,0.0296035,0.0432844,0.035979,0.0600884,0.0595473,0.0600972,0.0613778,0.0138587,0.0298407,0.0184476,0.0227288,0.0420466,0.0144715,0,0,0,0,0,0,0,0,0,0,0
