Timestep,C7,CLAV,IMUL_L,IMUL_M,IMUL_R,IMUR_B,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x71,x72,x73,x74,IMUR_M,x75
162,0.0307734,0.0519494,0,0,0,0,0,0.0201337,0,0.0254424,0.0507952,0,0,0.0128262,0,0,0.0327391,0.0358578,0.042351,0.0188883,0.0534914,0.0259341,0.0337879,0.01255,0.0236612,0.0434868,0.0277184,0.0453783,0.0476662,0.0390702,0.033787,0.0544142,0.0473483,0.00833514,0.0172977,0.0498238,0,0.0151502,0.061158,0.0192626,0,0,0.0119495,0,0,0.0338151,0.0453883,0.0421051,0.0407456,0.025572,0.0388082,0.0188907,0.0337461,0.0261726,0.0548693,0.0614689,0.060135,0.0595345,0.0610715,0.0159464,0.0380652,0.016447,0.0208212,0.0459595,0.016972,0,0,0,0,0,0,0,0,0,0,0
163,0.0308117,0.051967,0,0,0,0,0,0.0205063,0,0.025609,0.050708,0,0,0.0127859,0,0,0.032723,0.0364906,0.0428015,0.0187247,0.0534407,0.0259764,0.0337676,0.0127263,0.0236589,0.0438033,0.0282112,0.0457697,0.0480784,0.0394517,0.0343912,0.0586741,0.0474077,0.00830233,0.0173151,0.0505503,0,0.0150397,0.0614578,0.0192611,0,0,0.0119398,0,0,0.0338104,0.045393,0.0419558,0.0408649,0.0257224,0.0386341,0.0188228,0.0338671,0.0259333,0.0550285,0.0614883,0.0600596,0.0594346,0.0609647,0.016249,0.0380548,0.0164227,0.0208214,0.0460214,0.0170814,0,0,0,0,0,0,0,0,0,0,0
164,0.0306996,0.0521788,0,0,0,0,0,0.0184295,0,0.0288694,0.0501193,0,0,0.0122795,0,0,0.0335084,0.0372136,0.0442828,0.0196922,0.0556941,0.0260947,0.0341952,0.0119983,0.0253426,0.0451426,0.0281802,0.045941,0.0474361,0.0396929,0.0355952,0.0541096,0.0473506,0.00781092,0.0172718,0.0462008,0,0.0128578,0.0620893,0.0182967,0,0,0.0128088,0,0,0.0335228,0.0460134,0.0436042,0.0396692,0.0240912,0.0372998,0.0182469,0.0343703,0.0239429,0.0548258,0.0619374,0.060375,0.0603409,0.0614955,0.0142997,0.0379465,0.0163861,0.0207843,0.0462363,0.0172643,0,0,0,0,0,0,0,0,0,0,0
165,0.0307194,0.0522284,0,0,0,0,0,0.0185719,0,0.0290734,0.0498364,0,0,0.0121519,0,0,0.0335977,0.0374488,0.0449529,0.0196165,0.0559996,0.0263008,0.0342878,0.0122637,0.0254575,0.0447753,0.0280902,0.0461564,0.0476223,0.039879,0.036111,0.0558995,0.0473517,0.00778616,0.0172185,0.0466502,0,0.0131145,0.0623629,0.0181781,0,0,0.0129128,0,0,0.0335354,0.0460153,0.0437472,0.0393675,0.024846,0.0369337,0.0180932,0.0342543,0.0238672,0.0549085,0.0618588,0.0601911,0.0602112,0.0613387,0.0141765,0.037823,0.0164243,0.0208827,0.0463166,0.0173757,0,0,0,0,0,0,0,0,0,0,0
166,0.0307737,0.0522136,0,0,0,0,0,0.0189917,0,0.0291483,0.04964,0,0,0.0121182,0,0,0.0336762,0.0372703,0.0451646,0.0194304,0.0561446,0.0265463,0.0343415,0.0123349,0.0256808,0.0440706,0.0280782,0.0464232,0.0478454,0.0402742,0.0366206,0.0573217,0.0472572,0.00778215,0.0173007,0.0470228,0,0.0133451,0.0625682,0.0181453,0,0,0.0127409,0,0,0.0335645,0.0460429,0.0439305,0.0391253,0.0250081,0.0367027,0.0180199,0.0342957,0.0237816,0.0551135,0.061699,0.0602483,0.0600354,0.061118,0.0141836,0.0377729,0.0164933,0.0210113,0.0463185,0.0175602,0,0,0,0,0,0,0,0,0,0,0
167,0.0308355,0.0521899,0,0,0,0,0,0.0195998,0,0.029014,0.0495567,0,0,0.0121388,0,0,0.0337616,0.0368877,0.0450516,0.0193281,0.0560618,0.0268633,0.0343569,0.012296,0.0260845,0.0444026,0.0278145,0.0466788,0.0480484,0.0407938,0.0371508,0.0584084,0.0472081,0.00770319,0.0174147,0.0473223,0,0.0135746,0.0628924,0.0181499,0,0,0.012675,0,0,0.033571,0.0459711,0.0441035,0.0390675,0.0237956,0.0366027,0.0180128,0.0346925,0.0239372,0.055258,0.0615103,0.0601563,0.0598381,0.0609376,0.0142714,0.0376904,0.0165411,0.0211291,0.0462853,0.0176378,0,0,0,0,0,0,0,0,0,0,0
168,0.0309158,0.0521548,0,0,0,0,0,0.0191091,0,0.0290381,0.0494282,0,0,0.0121746,0,0,0.0338163,0.0366853,0.0456758,0.0193335,0.0557961,0.0271647,0.0344414,0.0123838,0.0262287,0.043014,0.0277115,0.0466457,0.0480201,0.0408898,0.0373965,0.0587507,0.0471733,0.00772256,0.0174835,0.0475685,0,0.0137425,0.0633279,0.0180819,0,0,0.0128001,0,0,0.0336421,0.0458862,0.0442503,0.0389598,0.0232321,0.0364184,0.0179133,0.0348035,0.0241412,0.0553829,0.0613475,0.0599424,0.0596975,0.0608145,0.0143416,0.0376137,0.0164905,0.021208,0.0462232,0.0176525,0,0,0,0,0,0,0,0,0,0,0
169,0.0309824,0.0521362,0,0,0,0,0,0.0189907,0,0.0290698,0.0493729,0,0,0.0122013,0,0,0.0338294,0.0365076,0.0462856,0.0192974,0.0556274,0.0274032,0.0345269,0.0123856,0.026478,0.0421238,0.0273736,0.0466812,0.0480303,0.0409174,0.0375385,0.0588179,0.047113,0.00772037,0.0174574,0.04785,0,0.0138605,0.0636616,0.018017,0,0,0.0129463,0,0,0.0336325,0.0458421,0.0443604,0.0389068,0.0232598,0.0362211,0.0178012,0.034742,0.024152,0.0554912,0.0612431,0.0598064,0.0596594,0.0606769,0.0143777,0.0375931,0.0163717,0.0212103,0.0461978,0.0176818,0,0,0,0,0,0,0,0,0,0,0
170,0.0310658,0.052124,0,0,0,0,0,0.01917,0,0.0289515,0.0492875,0,0,0.0121725,0,0,0.0337141,0.0364488,0.0467201,0.0192048,0.0554167,0.0276042,0.0344391,0.0123678,0.0268343,0.0417678,0.0266695,0.0467186,0.0481071,0.0409676,0.0376021,0.0583457,0.0470946,0.00769866,0.0175021,0.0482144,0,0.0140182,0.0639402,0.0179707,0,0,0.0131241,0,0,0.0335318,0.0458167,0.044266,0.0388408,0.0233757,0.035999,0.0176842,0.0347608,0.024043,0.0557231,0.0611441,0.0597178,0.059599,0.0605675,0.0143693,0.037577,0.0163005,0.0211941,0.0461746,0.0177276,0,0,0,0,0,0,0,0,0,0,0
171,0.0311352,0.0521689,0,0,0,0,0,0.0192944,0,0.0288461,0.0492199,0,0,0.0121206,0,0,0.0336253,0.036585,0.0470224,0.0191436,0.055285,0.0277782,0.0343116,0.0123588,0.0270575,0.0414788,0.0257657,0.0467334,0.0482391,0.0410327,0.0376418,0.0575955,0.0471299,0.00762141,0.0176702,0.0486325,0,0.0141988,0.0642244,0.0179186,0,0,0.0132331,0,0,0.0334655,0.0458439,0.0442945,0.0388134,0.0234459,0.0357857,0.0175517,0.0348634,0.0238813,0.05596,0.0608342,0.0596288,0.0595294,0.0605602,0.0143753,0.0376197,0.0162245,0.0211575,0.0461659,0.0177439,0,0,0,0,0,0,0,0,0,0,0
172,0.0311438,0.0521907,0,0,0,0,0,0.0193583,0,0.0288292,0.0492292,0,0,0.0120778,0,0,0.0335931,0.0368678,0.0471739,0.0191641,0.0552171,0.0278648,0.0341827,0.0123617,0.0272497,0.0406396,0.02554,0.0467461,0.0482745,0.0410451,0.0376434,0.0573161,0.0471636,0.00754411,0.0176047,0.0490049,0,0.0144319,0.0646672,0.0178792,0,0,0.0133113,0,0,0.0333991,0.0459014,0.0443663,0.038666,0.0235668,0.0355021,0.0174491,0.0349723,0.0237393,0.0560781,0.0605368,0.0595655,0.0594529,0.0605864,0.0144407,0.0377164,0.0161144,0.0210792,0.0461073,0.0177133,0,0,0,0,0,0,0,0,0,0,0
173,0.0311383,0.0521034,0,0,0,0,0,0.0195835,0,0.0287631,0.0492293,0,0,0.012028,0,0,0.0335551,0.0372104,0.0472741,0.0191804,0.0550083,0.0278268,0.034025,0.0122116,0.0277183,0.0401002,0.0254987,0.0468658,0.0484074,0.0410989,0.0376891,0.0568596,0.047217,0.00762383,0.017173,0.0493651,0,0.0148057,0.0651249,0.0178796,0,0,0.0133349,0,0,0.0334086,0.0459117,0.0443493,0.0384186,0.0237883,0.0351509,0.0173634,0.0351104,0.0234563,0.0560771,0.0608516,0.0594946,0.0593106,0.0604151,0.0145436,0.0378333,0.0160349,0.0210169,0.0460152,0.0176883,0,0,0,0,0,0,0,0,0,0,0
174,0.0311515,0.051947,0,0,0,0,0,0.0199395,0,0.0285055,0.0492371,0,0,0.011871,0,0,0.0334203,0.0375712,0.0473497,0.0191899,0.0546721,0.0276416,0.0337658,0.0120096,0.0282724,0.0402394,0.0252569,0.0469615,0.0485092,0.0410957,0.0377415,0.0561912,0.0473751,0.00765897,0.0168536,0.0496458,0,0.015121,0.0655627,0.0179339,0,0,0.0133296,0,0,0.0334241,0.0458472,0.0441639,0.0381464,0.0236925,0.0347978,0.0172758,0.03538,0.0231619,0.0561845,0.0609768,0.0593745,0.0591291,0.0602496,0.0146469,0.0379714,0.0159833,0.0209789,0.0459996,0.017642,0,0,0,0,0,0,0,0,0,0,0
175,0.0311959,0.0517594,0,0,0,0,0,0.0203082,0,0.0282187,0.0493642,0,0,0.0116443,0,0,0.0332266,0.0378844,0.0470636,0.0192045,0.0543061,0.0274158,0.0334082,0.0118106,0.0288191,0.0404933,0.0248338,0.0470588,0.0486409,0.041133,0.0378584,0.0553588,0.0475904,0.00764105,0.0167225,0.0499327,0,0.0153479,0.0659241,0.0180287,0,0,0.0133226,0,0,0.0334299,0.0457107,0.0440324,0.0377922,0.0236472,0.0344957,0.0172167,0.0356829,0.0229023,0.0562957,0.0609477,0.0593127,0.0590321,0.0601752,0.0148379,0.0381044,0.0159136,0.0209511,0.0459715,0.0175839,0,0,0,0,0,0,0,0,0,0,0
176,0.0312577,0.0515341,0,0,0,0,0,0.0206584,0,0.0277067,0.049445,0,0,0.0114754,0,0,0.0331136,0.0382421,0.046659,0.019196,0.0539457,0.0273627,0.0330891,0.0116109,0.0294374,0.0403207,0.0243918,0.0471587,0.0488452,0.0411762,0.0379607,0.0539874,0.0477585,0.00764112,0.0166346,0.0503898,0,0.0155909,0.066394,0.0180869,0,0,0.0133808,0,0,0.0333978,0.0455196,0.0440408,0.0375448,0.0237817,0.0340638,0.0171284,0.0359174,0.0226347,0.0565357,0.0609283,0.0592731,0.0590798,0.0601933,0.0151309,0.0381687,0.0158653,0.0209498,0.0458784,0.0176022,0,0,0,0,0,0,0,0,0,0,0
177,0.0313117,0.0514267,0,0,0,0,0,0.0212112,0,0.0270537,0.0495127,0,0,0.0113289,0,0,0.0330748,0.0385839,0.0462947,0.0191392,0.0541457,0.0274014,0.0328495,0.0113818,0.0304167,0.0399981,0.0239806,0.0473603,0.049088,0.0412774,0.0381642,0.0520023,0.0478327,0.00768218,0.016549,0.0512681,0,0.0157287,0.0668541,0.0181867,0,0,0.0133822,0,0,0.0334035,0.045213,0.0443827,0.0372922,0.023537,0.0336219,0.0170828,0.03608,0.022406,0.0565556,0.0609913,0.0591838,0.0591579,0.0601532,0.015208,0.0381484,0.0158569,0.0209552,0.0458132,0.01768,0,0,0,0,0,0,0,0,0,0,0
178,0.0313983,0.0513685,0,0,0,0,0,0.0217542,0,0.0266097,0.0496479,0,0,0.011173,0,0,0.0330368,0.0389071,0.0462644,0.0191444,0.0548412,0.0274013,0.0326442,0.0114718,0.0313686,0.0396259,0.0236888,0.047597,0.0494753,0.0415778,0.0384427,0.0502199,0.0479149,0.00776815,0.0164631,0.0521719,0,0.0159896,0.0672133,0.0182576,0,0,0.0132929,0,0,0.033296,0.0448123,0.044561,0.037108,0.0230959,0.0331501,0.0170398,0.0361467,0.0222067,0.0564502,0.0610718,0.0590542,0.0591734,0.060156,0.0153793,0.0381792,0.0158394,0.0209554,0.0457429,0.0177315,0,0,0,0,0,0,0,0,0,0,0
179,0.0314747,0.0513554,0,0,0,0,0,0.0223902,0,0.0260836,0.0498048,0,0,0.0110493,0,0,0.0329521,0.0390485,0.0464687,0.0192166,0.0550148,0.0273625,0.0323588,0.0117386,0.0322241,0.0394275,0.0233459,0.047912,0.0499413,0.0418492,0.0386855,0.0484863,0.0479725,0.00775853,0.016421,0.0530675,0,0.0162023,0.0674137,0.0183599,0,0,0.0130468,0,0,0.0334014,0.0446785,0.0446658,0.0370955,0.0226582,0.0327258,0.0169352,0.036019,0.021981,0.05645,0.0608782,0.0589207,0.0591013,0.06009,0.0154911,0.0384776,0.0157961,0.0209309,0.0456833,0.0177178,0,0,0,0,0,0,0,0,0,0,0
180,0.0315265,0.0513883,0,0,0,0,0,0.0231139,0,0.0255587,0.0499553,0,0,0.0109474,0,0,0.0328874,0.0390279,0.0460796,0.0193263,0.0547845,0.0273599,0.0321239,0.0120466,0.0329158,0.0392551,0.0231236,0.048088,0.0503926,0.0420245,0.0387924,0.0465204,0.0480218,0.00778135,0.0164452,0.0538189,0,0.0163424,0.0674648,0.0184379,0,0,0.0128162,0,0,0.0337,0.0447844,0.0448849,0.0372275,0.0229849,0.0324167,0.0166991,0.0358566,0.0215182,0.0565387,0.060756,0.0589169,0.0590789,0.0600195,0.0158553,0.0388152,0.0157605,0.0209298,0.0455955,0.0177234,0,0,0,0,0,0,0,0,0,0,0
181,0.0316564,0.0513332,0,0,0,0,0,0.0238596,0,0.0251585,0.0501462,0,0,0.0108615,0,0,0.03286,0.0389049,0.0452195,0.0194029,0.0543964,0.0274419,0.0319106,0.0124148,0.033389,0.038993,0.0229761,0.0481736,0.0506335,0.0421145,0.0388222,0.0442982,0.0480813,0.00781145,0.0164884,0.0544649,0,0.0164544,0.0675415,0.0184489,0,0,0.0129106,0,0,0.0335632,0.0449153,0.045283,0.0373671,0.0232277,0.0321992,0.0165093,0.0354241,0.021126,0.0566424,0.0607053,0.0589774,0.0591763,0.0600129,0.0161968,0.0383734,0.015751,0.0209914,0.0454053,0.0177924,0,0,0,0,0,0,0,0,0,0,0
182,0.0317829,0.05125,0,0,0,0,0,0.0247953,0,0.0246278,0.0503391,0,0,0.0108399,0,0,0.0328155,0.0387211,0.0445675,0.0194043,0.0538858,0.0275168,0.0317653,0.0127778,0.0336633,0.0387061,0.0229603,0.0482232,0.050684,0.0421677,0.0387611,0.0419036,0.0481299,0.00781054,0.0165114,0.0550207,0,0.0165903,0.0676953,0.0184842,0,0,0.0130141,0,0,0.0333979,0.0450582,0.0456062,0.0371685,0.0232313,0.0320988,0.0163952,0.03512,0.0211347,0.0567086,0.0607571,0.0590137,0.0593391,0.0601351,0.0166845,0.0382137,0.0157674,0.0210407,0.0452372,0.017837,0,0,0,0,0,0,0,0,0,0,0
183,0.0318435,0.051233,0,0,0,0,0,0.0260063,0,0.0240926,0.0504692,0,0,0.0108199,0,0,0.0327793,0.038545,0.0440504,0.019421,0.0534534,0.0275932,0.0316341,0.0132337,0.0337853,0.0384771,0.0230224,0.0483218,0.0508389,0.0421263,0.0385835,0.0393869,0.048142,0.00783199,0.0165074,0.055416,0,0.0167,0.0679856,0.0185138,0,0,0.0129697,0,0,0.0332898,0.045146,0.045894,0.0370136,0.0231914,0.0319507,0.0163225,0.0352047,0.0210345,0.0566567,0.0608894,0.0591407,0.059458,0.0602134,0.0173922,0.0381548,0.015751,0.0210586,0.0451523,0.0178284,0,0,0,0,0,0,0,0,0,0,0
184,0.0319131,0.0512224,0,0,0,0,0,0.0275135,0,0.0236441,0.0506363,0,0,0.0108054,0,0,0.0327625,0.0383227,0.0433403,0.019404,0.0529155,0.0277011,0.0314626,0.0137126,0.0337112,0.0382033,0.0232043,0.0482892,0.0508818,0.0420499,0.0383032,0.0368408,0.0481293,0.00786708,0.0165495,0.0561207,0,0.0168558,0.0682788,0.0185792,0,0,0.0128965,0,0,0.0331725,0.0452188,0.0460682,0.0368871,0.0230898,0.0317297,0.0163415,0.0351214,0.0208435,0.0566511,0.060897,0.059193,0.0595314,0.060254,0.0176823,0.0380858,0.0157139,0.0210452,0.0451046,0.0177912,0,0,0,0,0,0,0,0,0,0,0
185,0.0319966,0.051231,0,0,0,0,0,0.0290279,0,0.0233207,0.0508338,0,0,0.0107867,0,0,0.0327626,0.0381398,0.042541,0.0193768,0.0523222,0.0277911,0.0312972,0.0142722,0.0335731,0.0378656,0.0236296,0.0480916,0.0511125,0.041924,0.0380623,0.0339096,0.0481814,0.00787682,0.0166545,0.0567431,0,0.0170358,0.0683883,0.0186861,0,0,0.012895,0,0,0.0331696,0.0453106,0.046288,0.0367952,0.0229705,0.0314891,0.016376,0.0350372,0.0205318,0.0566809,0.0608647,0.059193,0.0596317,0.0603286,0.0181003,0.0379765,0.0157075,0.0210449,0.0450267,0.017761,0,0,0,0,0,0,0,0,0,0,0
186,0.0320329,0.051233,0,0,0,0,0,0.0308103,0,0.0230376,0.0511787,0,0,0.0107768,0,0,0.0327378,0.0379388,0.0419236,0.019331,0.0516723,0.0275122,0.0311423,0.0148928,0.0331698,0.0374816,0.0242475,0.0478341,0.0513688,0.0418316,0.0378485,0.0305266,0.0482189,0.00787071,0.0167168,0.0572097,0,0.0171187,0.0683164,0.0187931,0,0,0.0128626,0,0,0.0332283,0.0455387,0.0464169,0.0366936,0.023021,0.0315014,0.0163832,0.0352765,0.0202477,0.056592,0.0609734,0.0592612,0.0597488,0.0604117,0.0187551,0.0379019,0.0156885,0.0210691,0.0449959,0.0176878,0,0,0,0,0,0,0,0,0,0,0
187,0.0324151,0.0508961,0,0,0,0,0,0.0326071,0,0.0230488,0.0514382,0,0,0.0114422,0,0,0.0317093,0.0373627,0.0413832,0.0178725,0.0503639,0.0273846,0.0308853,0.0148675,0.0318779,0.0366732,0.0251419,0.0478693,0.0517606,0.0420433,0.0382117,0.0272366,0.0484025,0.00851722,0.0167631,0.0669945,0,0.020932,0.0682934,0.019842,0,0,0.012273,0,0,0.0333286,0.0444344,0.0441004,0.0375743,0.025363,0.0326276,0.0167016,0.0341194,0.0227813,0.0565393,0.0601918,0.0581564,0.0578888,0.059153,0.0295842,0.0380841,0.0156182,0.0210696,0.0448859,0.0176792,0,0,0,0,0,0,0,0,0,0,0
188,0.0324252,0.0508747,0,0,0,0,0,0.0357971,0,0.0229878,0.0519305,0,0,0.0113792,0,0,0.0316875,0.0372906,0.0407255,0.0179772,0.0496832,0.0272358,0.0308546,0.0154594,0.0316786,0.0363902,0.0258041,0.0477127,0.0518274,0.0419482,0.0381291,0.0228945,0.0484338,0.00857382,0.0166193,0.0682712,0,0.021197,0.0681826,0.0198967,0,0,0.0123133,0,0,0.0333317,0.0447541,0.0441287,0.0373802,0.0250818,0.0325792,0.0166497,0.0341204,0.0227159,0.0565583,0.0602171,0.0581871,0.0579564,0.0592083,0.0303806,0.0381174,0.0155713,0.0210474,0.0448979,0.017648,0,0,0,0,0,0,0,0,0,0,0
189,0.0324711,0.0508647,0,0,0,0,0,0.0393251,0,0.022962,0.0524192,0,0,0.0113045,0,0,0.0316781,0.0373441,0.0400923,0.018092,0.0490429,0.0271702,0.0308347,0.0160996,0.0313529,0.0361636,0.0264687,0.0474817,0.0519282,0.0417658,0.0380847,0.0186762,0.0484775,0.00863078,0.0164573,0.069248,0,0.0213873,0.0680653,0.0199494,0,0,0.0123057,0,0,0.0333352,0.0453609,0.0441982,0.0372361,0.0248755,0.0325617,0.0165936,0.0341394,0.0225881,0.0565598,0.0603214,0.0582957,0.0580193,0.0593241,0.0313897,0.038111,0.015524,0.0210182,0.0448963,0.0175846,0,0,0,0,0,0,0,0,0,0,0
190,0.0325129,0.0508504,0,0,0,0,0,0.0428566,0,0.0229906,0.0530217,0,0,0.0112293,0,0,0.0316721,0.0372907,0.0393398,0.0182671,0.0484095,0.0270187,0.0308178,0.0168065,0.0307558,0.0359809,0.0271331,0.047221,0.052046,0.0413345,0.0380835,0.0148864,0.0485537,0.00863434,0.0163299,0.0699295,0,0.0216158,0.067899,0.0199841,0,0,0.0123036,0,0,0.0333383,0.0458477,0.0442534,0.0369949,0.0247663,0.032483,0.0165674,0.0343659,0.022311,0.0566432,0.0603558,0.0584424,0.0581347,0.0594088,0.0325109,0.0381305,0.0154583,0.0209789,0.0448993,0.0175079,0,0,0,0,0,0,0,0,0,0,0
191,0.0325427,0.0508298,0,0,0,0,0,0.0462765,0,0.0230331,0.0536537,0,0,0.0111211,0,0,0.0316168,0.0372226,0.0385225,0.0184346,0.0477309,0.0268229,0.0306616,0.0176394,0.0297834,0.0358435,0.0277264,0.0470727,0.0516033,0.0404368,0.0382574,0.0125295,0.0486781,0.00863541,0.0162187,0.0707374,0,0.0218755,0.0675646,0.0200472,0,0,0.0123374,0,0,0.033353,0.0461522,0.0442756,0.0367141,0.0245882,0.0324613,0.0166208,0.0345775,0.0220204,0.0566595,0.0604181,0.0586017,0.0583149,0.0594939,0.0334144,0.0381835,0.0154166,0.0209982,0.0448576,0.0174639,0,0,0,0,0,0,0,0,0,0,0
192,0.0326652,0.0508506,0,0,0,0,0,0.0461858,0,0.0230378,0.0547274,0,0,0.0109793,0,0,0.0315656,0.0370102,0.036727,0.0192631,0.0472532,0.0267469,0.0304632,0.0193316,0.0272377,0.0360412,0.0283541,0.0473202,0.050248,0.0409293,0.0385603,0.0121929,0.0488934,0.00868006,0.0160144,0.0717391,0,0.0220777,0.0672889,0.0201316,0,0,0.0123984,0,0,0.0332636,0.0464957,0.044273,0.0363815,0.0243896,0.0322793,0.0165025,0.034817,0.0218535,0.0566182,0.0604459,0.0586903,0.0583796,0.0595681,0.0343846,0.0383886,0.0152736,0.0208244,0.0449149,0.0173297,0,0,0,0,0,0,0,0,0,0,0
193,0.0327176,0.0508477,0,0,0,0,0,0.0496301,0,0.0233771,0.0554008,0,0,0.0109002,0,0,0.0315821,0.0368264,0.0363195,0.0195607,0.0472359,0.0266403,0.0302897,0.0201161,0.0263231,0.0363056,0.0291656,0.0472083,0.0495312,0.041114,0.0387958,0.0110704,0.0489972,0.00879538,0.0158642,0.0726481,0,0.0222868,0.0669043,0.020313,0,0,0.0123052,0,0,0.0332784,0.0469406,0.0443096,0.0361217,0.0242223,0.0323116,0.0165767,0.0349836,0.0216829,0.0564297,0.0605614,0.0588319,0.0585101,0.0596592,0.035583,0.0382696,0.0153693,0.0208913,0.044912,0.017359,0,0,0,0,0,0,0,0,0,0,0
194,0.0327484,0.050836,0,0,0,0,0,0.0529373,0,0.0238186,0.0560382,0,0,0.010809,0,0,0.0315513,0.0365673,0.0360149,0.019867,0.0469881,0.0265178,0.0300982,0.0209078,0.0255565,0.0367519,0.0307094,0.0471296,0.0494501,0.0412247,0.039084,0.0115134,0.0491676,0.00881533,0.015872,0.073326,0,0.0224284,0.0664115,0.0204608,0,0,0.0122089,0,0,0.0333192,0.0473885,0.0444207,0.0358985,0.0240015,0.032415,0.0166113,0.0351701,0.0214673,0.05645,0.0607159,0.0590735,0.0587503,0.059793,0.0368897,0.0381534,0.0154506,0.0209705,0.044909,0.0173767,0,0,0,0,0,0,0,0,0,0,0
195,0.0322328,0.0511485,0,0,0,0,0,0.0508317,0,0.0221655,0.0570015,0,0,0.0101813,0,0,0.0324437,0.0365194,0.03609,0.0211262,0.046012,0.0257751,0.030135,0.022535,0.0237357,0.037329,0.0323055,0.0478075,0.0500877,0.0423149,0.0405116,0.00938868,0.0490713,0.00806925,0.0158063,0.0634767,0,0.0176562,0.0657489,0.0198908,0,0,0.0122315,0,0,0.0335208,0.0493788,0.046697,0.0351522,0.0215626,0.0315579,0.0166106,0.0367973,0.0183263,0.0563461,0.0624966,0.0613632,0.0617475,0.0618546,0.0253498,0.0375247,0.0156959,0.021207,0.0449597,0.0171131,0,0,0,0,0,0,0,0,0,0,0
196,0.032681,0.0511832,0,0,0,0,0,0.0517181,0,0.0237614,0.0583774,0,0,0.0100425,0,0,0.032261,0.0361027,0.0363616,0.0234184,0.0486304,0.025942,0.0301876,0.0234607,0.0239747,0,0.0329562,0.0466764,0.0489663,0.0417795,0.0397638,0.00928128,0.0493734,0.00832063,0.0157688,0.0637104,0,0.017864,0.0660478,0.019856,0,0,0.0124794,0,0,0.033217,0.0490965,0.0469003,0.035078,0.0213191,0.0309573,0.0158905,0.0368969,0.0184736,0.056338,0.06244,0.0614017,0.0618396,0.0618163,0.0252923,0.0381359,0.0152635,0.0206533,0.0451847,0.0167931,0,0,0,0,0,0,0,0,0,0,0
197,0.0322727,0.0512493,0,0,0,0,0,0.0532973,0,0.023132,0.0583891,0,0,0.010027,0,0,0.0324628,0.0357488,0.0349231,0.0221324,0.048515,0.0255895,0.0298545,0.0238783,0.0224425,0.0386349,0.03314,0.0481177,0.0506715,0.0429759,0.0406241,0.00907319,0.0492731,0.00811928,0.0157282,0.0650788,0,0.0176323,0.064613,0.0201292,0,0,0.0120969,0,0,0.0334937,0.0496945,0.0466131,0.0349766,0.0205469,0.0317699,0.0166921,0.0371354,0.017975,0.0560262,0.062927,0.061975,0.0622038,0.0622016,0.0263694,0.0372943,0.015837,0.0213586,0.044938,0.0170916,0,0,0,0,0,0,0,0,0,0,0
198,0.0328967,0.0509739,0,0,0,0,0,0.0588371,0,0.0269203,0.0587276,0,0,0.0105539,0,0,0.0315089,0.0349377,0.034424,0.0217082,0.0499788,0.0263053,0.0293802,0.0236777,0.0229773,0.0390856,0.0323119,0.0472756,0.0501224,0.0412639,0.0391564,0.0143636,0.0496042,0.008894,0.0157801,0.0772479,0,0.0227639,0.0642036,0.0208872,0,0,0.0121621,0,0,0.0331676,0.0480835,0.0443308,0.0353958,0.0222336,0.032847,0.0168595,0.0360818,0.0206695,0.0559715,0.0612146,0.0600149,0.059355,0.0602083,0.0404004,0.0378027,0.0156131,0.0212331,0.0448144,0.0174346,0,0,0,0,0,0,0,0,0,0,0
199,0.0322752,0.0513347,0,0,0,0,0,0.0520944,0,0.0243421,0.0592893,0,0,0.00996678,0,0,0.0325053,0.0347931,0.0347527,0.022763,0.0508482,0.0258521,0.0293768,0.0251318,0.021631,0.0396859,0.0331218,0.0485779,0.051193,0.0420736,0.0405654,0.00858531,0.049343,0.00812845,0.0157668,0.0663431,0,0.0177775,0.0638216,0.0202488,0,0,0.0123476,0,0,0.0333878,0.0497637,0.0469494,0.0347118,0.019863,0.0318469,0.0169958,0.0383634,0.0173573,0.0558535,0.0630919,0.0624078,0.0625061,0.0622774,0.027749,0.0370146,0.0158791,0.0214836,0.0448834,0.0172181,0,0,0,0,0,0,0,0,0,0,0
200,0.0327337,0.0512901,0,0,0,0,0,0.0501535,0,0.0260996,0.0599774,0,0,0.0101214,0,0,0.0322748,0.0344494,0.0362129,0.0244867,0.0528362,0.0263909,0.0294957,0.0256415,0.0221051,0,0.0333152,0.0475538,0.0500632,0.0418574,0.0398907,0.00901836,0.0493597,0.00851799,0.0160304,0.065331,0,0.0181602,0.0647167,0.0201852,0,0,0.0126049,0,0,0.0330344,0.0492215,0.0476704,0.0345123,0.0200708,0.0310613,0.0164873,0.0387785,0.0173977,0.0561681,0.0626943,0.0621524,0.0623569,0.0619223,0.0269268,0.037748,0.0155304,0.020976,0.0450574,0.0171031,0,0,0,0,0,0,0,0,0,0,0
