Timestep,C7,CLAV,IMUL_L,IMUL_M,IMUL_R,IMUR_B,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x71,x72,x73,x74,IMUR_M,x75
140,0.0320405,0.0522015,0,0,0,0,0,0.0581932,0,0.0274144,0.0551602,0,0,0.010094,0,0,0.033386,0.035085,0.0360261,0.0180881,0.0451367,0.024588,0.0265325,0.0225268,0.0199236,0.0304222,0.02387,0.0406803,0.0437754,0.0351532,0.0334125,0.0239766,0.0506696,0.00846528,0.0172902,0.0642866,0,0.0142353,0.0676154,0.0204312,0,0,0.0120734,0,0,0.0332528,0.0440587,0.0366541,0.0418847,0,0.0388493,0.0185412,0.0356864,0.0276646,0.0574942,0.0633564,0.0623903,0.0623491,0.0641979,0.0208729,0.0385276,0.0157118,0.0194408,0.0468533,0.0147122,0,0,0,0,0,0,0,0,0,0,0
141,0.0317334,0.0521838,0,0,0,0,0,0.0572269,0,0.0271584,0.0551435,0,0,0.00990152,0,0,0.0333595,0.0348043,0.0368038,0.0180593,0.0448677,0.0245273,0.0265355,0.0219255,0.0206711,0.030496,0.0230897,0.040632,0.0437271,0.0350782,0.0330218,0.0241352,0.0508477,0.00843586,0.0170666,0.0641091,0,0.0145098,0.0674512,0.0204793,0,0,0.01232,0,0,0.0331994,0.0441396,0.0373706,0.0412057,0,0.0386889,0.0187293,0.035522,0.0275692,0.0570903,0.063146,0.0627067,0.061744,0.0633673,0.0207143,0.0386768,0.0155449,0.0192805,0.0467021,0.0149112,0,0,0,0,0,0,0,0,0,0,0
142,0.0314055,0.0521544,0,0,0,0,0,0.0561539,0,0.0269743,0.0551823,0,0,0.00973516,0,0,0.0332108,0.0343826,0.0375276,0.0179295,0.0446076,0.0244509,0.0265498,0.0212117,0.0211864,0.0304877,0.0223426,0.0405107,0.0436151,0.0349063,0.0325628,0.0244173,0.0509335,0.00833363,0.0169625,0.0627061,0,0.0150404,0.066927,0.0204795,0,0,0.0123537,0,0,0.0332303,0.044307,0.0385005,0.0404866,0,0.0384184,0.0188233,0.0353195,0.0278036,0.0568341,0.0628357,0.0627152,0.061183,0.0626314,0.0199376,0.0387608,0.0154899,0.0192259,0.0466202,0.0151863,0,0,0,0,0,0,0,0,0,0,0
143,0.0311764,0.0521413,0,0,0,0,0,0.0552138,0,0.0266647,0.055072,0,0,0.00962412,0,0,0.0330731,0.0339005,0.0383601,0.0177824,0.044339,0.024405,0.0266467,0.0203841,0.0214904,0.0306634,0.0216909,0.0403921,0.0435898,0.0347099,0.0319778,0.0248967,0.050874,0.00821745,0.0170857,0.0613939,0,0.0154588,0.0661614,0.0204018,0,0,0.0122747,0,0,0.0332828,0.0447639,0.0399783,0.0399316,0,0.0380637,0.0188835,0.0349283,0.0284221,0.0564619,0.0623553,0.062397,0.0607808,0.0621605,0.0188483,0.0388084,0.0155325,0.0192563,0.0466055,0.0152731,0,0,0,0,0,0,0,0,0,0,0
144,0.0310683,0.0520996,0,0,0,0,0,0.054303,0,0.0262453,0.0549516,0,0,0.0096237,0,0,0.033131,0.0335912,0.0391403,0.0176007,0.0443209,0.0243565,0.0268605,0.0194474,0.021692,0.0308711,0.0211447,0.0402268,0.0435852,0.0345255,0.031524,0.0254748,0.0506986,0.00811949,0.0174309,0.0602077,0,0.0157303,0.065369,0.0202785,0,0,0.012154,0,0,0.03338,0.0451988,0.041307,0.0397342,0,0.0378161,0.0188871,0.0344539,0.0290505,0.0559639,0.0618536,0.0619944,0.0605985,0.0619915,0.0178392,0.0388575,0.0155902,0.0193053,0.0466399,0.0152846,0,0,0,0,0,0,0,0,0,0,0
145,0.0310582,0.0520426,0,0,0,0,0,0.0533626,0,0.0259455,0.0546225,0,0,0.00972548,0,0,0.0333459,0.0335224,0.0398269,0.0174686,0.0446557,0.0243501,0.0271673,0.0185259,0.0218074,0.0311409,0.0206102,0.0401208,0.0434781,0.0342196,0.0308899,0.0259259,0.0504554,0.00811765,0.017908,0.0591997,0,0.0157687,0.064684,0.0201597,0,0,0.0120763,0,0,0.0334402,0.0454308,0.0422203,0.0396283,0,0.0377501,0.0189027,0.0341424,0.0293077,0.0555542,0.061401,0.0616037,0.0604641,0.0618625,0.017289,0.038817,0.0156807,0.0193451,0.0465879,0.0155881,0,0,0,0,0,0,0,0,0,0,0
146,0.0310632,0.0520176,0,0,0,0,0,0.0521872,0,0.0257401,0.0541591,0,0,0.00986629,0,0,0.0334203,0.0337066,0.0404757,0.0173934,0.0451017,0.0244066,0.0276725,0.0176809,0.0219575,0.031541,0.0203527,0.0400079,0.0433958,0.0338843,0.0301398,0.0258679,0.0501435,0.00808909,0.0183241,0.0583687,0,0.0154738,0.0639907,0.0200958,0,0,0.0120187,0,0,0.0333236,0.0454755,0.0426309,0.0396722,0,0.0380142,0.0188363,0.0340877,0.0291851,0.0553697,0.061214,0.0612783,0.0602523,0.0616474,0.0171804,0.0386998,0.0157396,0.0194602,0.0464085,0.0154437,0,0,0,0,0,0,0,0,0,0,0
147,0.0310904,0.0520012,0,0,0,0,0,0.0503036,0,0.0254847,0.053725,0,0,0.0100471,0,0,0.0334271,0.0340066,0.0408587,0.017334,0.0455922,0.024505,0.0285277,0.0168062,0.0223764,0.0321185,0.0202823,0.0397344,0.0432327,0.0335404,0.0294262,0.0247436,0.0497625,0.00815058,0.0184859,0.0573576,0,0.0150327,0.0634696,0.0200842,0,0,0.0119207,0,0,0.0333488,0.0454783,0.0429576,0.0398376,0,0.0384396,0.0188721,0.0343078,0.0289465,0.0554015,0.0613571,0.061194,0.0600358,0.0614966,0.0172521,0.0386093,0.015827,0.0197207,0.046308,0.0151469,0,0,0,0,0,0,0,0,0,0,0
148,0.0311215,0.0519957,0,0,0,0,0,0.0478443,0,0.0251935,0.0533503,0,0,0.0102332,0,0,0.0332481,0.0342802,0.0410385,0.0173281,0.0461268,0.0247186,0.0293814,0.0158298,0.0226917,0.0327783,0.0203203,0.0395318,0.042963,0.03329,0.0289534,0.022606,0.0493895,0.00820366,0.0185795,0.0557432,0,0.0144891,0.0630229,0.0201312,0,0,0.0117662,0,0,0.0334962,0.0454473,0.0426841,0.0400808,0,0.0389196,0.0189939,0.0347163,0.0288551,0.0555773,0.0616037,0.0612571,0.0598022,0.0613599,0.0171389,0.0384619,0.0159693,0.01999,0.0462811,0.0151287,0,0,0,0,0,0,0,0,0,0,0
149,0.031138,0.0520084,0,0,0,0,0,0.0455531,0,0.0248525,0.0530286,0,0,0.010511,0,0,0.0332166,0.0345486,0.0410393,0.017384,0.0470058,0.0249928,0.0302016,0.0147972,0.0227631,0.0335658,0.0205627,0.0394903,0.0428098,0.033123,0.0285091,0.0210811,0.049019,0.00829426,0.0186451,0.0535867,0,0.013971,0.0625775,0.0201315,0,0,0.0117089,0,0,0.0336495,0.0453145,0.0423295,0.040419,0,0.039418,0.0192333,0.0350865,0.0287207,0.0557751,0.0618654,0.0613347,0.0595901,0.0612679,0.0169063,0.0382844,0.016098,0.020281,0.0462714,0.0149662,0,0,0,0,0,0,0,0,0,0,0
