Timestep,C7,CLAV,IMUL_L,IMUR_B,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74,x75,x76,IMUL_R,IMUL_M,IMUR_M,
28,0.0369761,0.0471473,0,0,0,0.0326854,0,0.0257516,0.0518561,0,0,0.0106256,0,0,0.03218,0.0337148,0.0426581,0.0184798,0.046492,0.0226892,0.0301411,0.0188102,0.0231048,0.0285506,0.0185972,0.0385845,0.0433175,0.0325204,0.028172,0.0289019,0.0494481,0.00836305,0.0168062,0.0479431,0,0.0135675,0.0628306,0.0206048,0,0,0.0109536,0,0,0.0321923,0.0474235,0.0461281,0.0391223,0.0289185,0.0375113,0.0225705,0.0299923,0.0234663,0,0.0472846,0.0627198,0.0621588,0.0614974,0.0628542,0.0164341,0.0379945,0.0162003,0.0197235,0.0441528,0.0255809,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0.0368574,0.0471046,0,0,0,0.0297063,0,0.0255779,0.0518585,0,0,0.0104644,0,0,0.0323441,0.0337037,0.0435152,0.0185553,0.0469827,0.0223674,0.0303574,0.0175251,0.0252924,0.0290488,0.0188015,0.0385532,0.0433233,0.0323321,0.0274936,0.0309496,0.0495129,0.00832793,0.0172183,0.0466248,0,0.0134303,0.0625073,0.0203473,0,0,0.0115563,0,0,0.0319669,0.047496,0.0460967,0.039184,0.0297871,0.0375076,0.0226512,0.0301036,0.0233559,0,0.0472827,0.0626227,0.0620165,0.0612831,0.0626982,0.0166489,0.0381098,0.0160233,0.0193142,0.0441571,0.0254964,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0.036757,0.0470421,0,0,0,0.0265376,0,0.0253936,0.052005,0,0,0.0108622,0,0,0.0321703,0.0336492,0.0440803,0.018878,0.0476801,0.0221099,0.0311254,0.0163726,0.0259695,0.0298824,0.0191784,0.0386758,0.0435253,0.0323115,0.0271597,0.032866,0.0494546,0.00839065,0.0169553,0.0456411,0,0.0133409,0.0619774,0.0201303,0,0,0.0114484,0,0,0.0320077,0.0472411,0.0459056,0.0392983,0.0303919,0.0375658,0.0225798,0.0301784,0.0232842,0,0.0473083,0.0626572,0.0620108,0.0610755,0.0625574,0.0168568,0.0382986,0.0161732,0.0193212,0.0441575,0.025402,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,0.0367377,0.0469985,0,0,0,0.0236399,0,0.0251767,0.051934,0,0,0.010807,0,0,0.0322914,0.033482,0.0445749,0.0190612,0.0485726,0.0220972,0.0313085,0.0153653,0.0249492,0.0311699,0.0196138,0.0389369,0.0439129,0.0326755,0.0270457,0.0355385,0.0493925,0.00839238,0.017264,0.0449509,0,0.0134053,0.0617931,0.0199597,0,0,0.0114554,0,0,0.0320656,0.0474275,0.0458513,0.0395579,0.0305253,0.0377516,0.0226968,0.0300776,0.0231869,0,0.047208,0.0626292,0.0619228,0.0608974,0.0624504,0.0169596,0.038359,0.0163349,0.0194341,0.044116,0.0253588,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,0.0367353,0.046974,0,0,0,0.0213487,0,0.0252324,0.0520118,0,0,0.0107467,0,0,0.0323679,0.0333288,0.0443867,0.0195369,0.0496171,0.0222691,0.0314053,0.0141562,0.0240008,0.032432,0.0204395,0.0397333,0.0443076,0.0329698,0.0269773,0.0383531,0.0492766,0.00839449,0.0174934,0.0446751,0,0.0136512,0.0615753,0.0198421,0,0,0.0113647,0,0,0.0321951,0.0474072,0.045959,0.0396939,0.030234,0.0379889,0.0228384,0.029811,0.0230451,0,0.0469753,0.0625449,0.0617706,0.0608793,0.0624556,0.0170121,0.0383367,0.0164088,0.0195723,0.0440818,0.0253862,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,0.0367233,0.0468808,0,0,0,0.0203576,0,0.025671,0.0521358,0,0,0.0106632,0,0,0.0324106,0.0330734,0.0430115,0.0200825,0.0507821,0.0225021,0.0314661,0.0131767,0.0230006,0.0337213,0.0214491,0.0408061,0.0446055,0.0332541,0.0269198,0.0415388,0.0491537,0.00840282,0.0177114,0.0446175,0,0.0140842,0.0612705,0.0198241,0,0,0.0112465,0,0,0.032351,0.0473173,0.0460924,0.0396638,0.0298473,0.0382278,0.0229779,0.0293428,0.0233172,0,0.0466961,0.0624047,0.0615919,0.0609767,0.0624979,0.017047,0.0382659,0.0164222,0.0196963,0.0440357,0.0254583,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,0.0367458,0.0467585,0,0,0,0.0197872,0,0.0262669,0.0521176,0,0,0.0106903,0,0,0.0324567,0.0328307,0.0415661,0.0206403,0.0518313,0.0226574,0.0315145,0.0126732,0.0223447,0.0348892,0.0223962,0.0413542,0.0449131,0.0336449,0.0271454,0.045612,0.0490638,0.00843358,0.0179024,0.0448399,0,0.0146511,0.0608238,0.0198842,0,0,0.0111806,0,0,0.0324347,0.0472678,0.0462239,0.03955,0.0296563,0.0384247,0.0230625,0.0286607,0.0237309,0,0.0464283,0.0622335,0.0614524,0.0610578,0.0624453,0.0170525,0.0381798,0.0163507,0.0198755,0.0439556,0.0256041,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,0.036687,0.0467636,0,0,0,0.0193665,0,0.0265637,0.0521704,0,0,0.0112885,0,0,0.0320793,0.0328266,0.04146,0.0216581,0.0524258,0.0227885,0.0321938,0.0127116,0.0219255,0.0356759,0.023121,0.041477,0.0454071,0.0342612,0.0275954,0.0495571,0.0489024,0.00849146,0.017251,0.0453061,0,0.0152397,0.060213,0.0199771,0,0,0.0112368,0,0,0.0325251,0.0472563,0.0463952,0.0393614,0.0292057,0.0385633,0.0231501,0.0280113,0.0243798,0,0.0461231,0.0620804,0.0613907,0.0609878,0.0623312,0.0171805,0.0381414,0.0162595,0.0199401,0.04388,0.02581,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,0.0367803,0.046711,0,0,0,0,0,0.0247782,0.0530213,0,0,0.0113351,0,0,0.031993,0.0323219,0.0440241,0.0226867,0.0529853,0.0228427,0.0321835,0.0130411,0.0203626,0.0365363,0.0253511,0.0398139,0.044656,0.0321049,0.0247543,0.0542163,0.0489367,0.00842866,0.0172023,0.0459858,0,0.0158195,0.059568,0.0200231,0,0,0.0113964,0,0,0.0326129,0.0475349,0.0465,0.0392626,0.0280294,0.0384845,0.0231838,0.0274325,0.0247894,0,0.0456422,0.061897,0.0613035,0.0608378,0.0621664,0.0171714,0.0381848,0.016447,0.0196956,0.0438291,0.0258044,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,0.0369385,0.0465517,0,0,0,0.019176,0,0.0262221,0.0520504,0,0,0.0107695,0,0,0.0324522,0.0325471,0.0423072,0.0226445,0.0528137,0.0229251,0.0316667,0.0127491,0.0218027,0.0364992,0.0246119,0.0428187,0.0461255,0.0357001,0.0287366,0.0553484,0.049025,0.00834335,0.0180988,0.0465055,0,0.0160818,0.0601924,0.0200206,0,0,0.0111781,0,0,0.0326492,0.0469905,0.0466202,0.0393665,0.0279805,0.0381306,0.0227792,0.027368,0.0250259,0,0.0457275,0.0616404,0.0610073,0.0604569,0.0617118,0.0167376,0.0383206,0.0165456,0.0196684,0.0437075,0.0261135,0,0,0,0,0,0,0,0,0,0,0,0,0,0
