Timestep,C7,CLAV,IMUL_L,IMUL_M,IMUR_B,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74,x75,LTHII,IMUL_R,RTHII,,IMUR_M
35,0.0372269,0.0489724,0,0,0,0,0.0463385,0,0.0236988,0.0550111,0,0,0.013062,0,0,0.0339678,0.0331354,0.0368264,0.0209323,0.0447864,0.0294494,0.0314997,0.0206267,0.0283888,0.0305703,0.0481149,0.0511088,0.0414813,0.038781,0.0132019,0.0456587,0.00851643,0.0194489,0.0690667,0,0.0208437,0.06121,0.0182601,0,0,0.0109843,0,0,0.033962,0.0492415,0.0429877,0.0314732,0.0191497,0.0337461,0.0169388,0.0330448,0.0183682,0.0512312,0.0619775,0.0608338,0.0613046,0.0613627,0.028249,0.0377928,0.0186161,0.02207,0.0458298,0.020649,0,0,0,0,0,0,0,0,0,0.0332549,0,0.0502662,0,0
36,0.0371162,0.0489918,0,0,0,0,0.045961,0,0.0236959,0.0554114,0,0,0.013086,0,0,0.0340316,0.0328873,0.0370977,0.0209409,0.0448302,0.0297093,0.0314982,0.0199895,0.028698,0.0301796,0.0482065,0.0512558,0.0415665,0.0387149,0.0136969,0.0456875,0.00845975,0.0193593,0.069297,0,0.0206644,0.0611719,0.0183475,0,0,0.010871,0,0,0.0340151,0.0492052,0.0432063,0.0310965,0.0192908,0.0338327,0.0171423,0.0333895,0.018412,0.0515888,0.0617836,0.060693,0.0610881,0.0610517,0.0282667,0.0377692,0.0187269,0.0221084,0.0458674,0.0207112,0,0,0,0,0,0,0,0,0,0.0338071,0,0.0489788,0,0
37,0.0371672,0.048725,0,0,0,0,0.0447536,0,0.0238733,0.055435,0,0,0.0127318,0,0,0.0348284,0.0324736,0.0369968,0.020952,0.0449917,0.0297253,0.0307997,0.0193582,0.0289788,0.0297253,0.0482311,0.0513425,0.0416633,0.0385075,0.0145889,0.0454286,0.00900538,0.0202925,0.0677966,0,0.0201383,0.0613986,0.0183381,0,0,0.0105343,0,0,0.0341009,0.0496613,0.0425294,0.0302999,0.0193407,0.0335192,0.0171605,0.0336274,0.0177698,0.0516674,0.062259,0.0610168,0.0612905,0.0613424,0.0269498,0.0374507,0.0190315,0.0224329,0.0456822,0.0209726,0,0,0,0,0,0,0,0,0,0.0336644,0,0.0616371,0,0
38,0.0374185,0.0488972,0,0,0,0,0.0462311,0,0.024138,0.0570359,0,0,0.0122768,0,0,0.0341054,0.0336261,0.0371661,0.02093,0.0451307,0.0286684,0.0298351,0.0202841,0.0284322,0.0311163,0.0479343,0.0511818,0.0412556,0.0383472,0.0139376,0.0462443,0.00879897,0.0188836,0.0703464,0,0.0237083,0.0646335,0.0187632,0,0,0.0102162,0,0,0.0340845,0.0455771,0.0457868,0.0327596,0,0.0339988,0.0176498,0.0349421,0.0227932,0.0557217,0.0584741,0.0562157,0.0561212,0.0567354,0.031734,0.0375298,0.0190043,0.0223142,0.0460772,0.0205559,0,0,0,0,0,0,0,0,0,0.0334547,0,0,0,0
39,0.0367228,0.0486018,0,0,0,0,0.04223,0,0.0236664,0.0539682,0,0,0.0135004,0,0,0.0350319,0.0313348,0.0380183,0.0213249,0.0445766,0.0305406,0.0323676,0.0220931,0.0298083,0.0280285,0.0483668,0.0518303,0.0418536,0.0385551,0.0175452,0.0445934,0.00934939,0.0205237,0.0650586,0,0.0171398,0.0594695,0.0184056,0,0,0.0104306,0,0,0.0340392,0.0520189,0.0387356,0.0275238,0,0.0331857,0.017518,0.0323882,0.0165833,0.0484509,0.0655609,0.0639923,0.063579,0.0640218,0.0243376,0.0369894,0.0193041,0.0225708,0.0453537,0.0221375,0,0,0,0,0,0,0,0,0,0.0324106,0,0.133187,0,0
40,0.0372686,0.0488838,0,0,0,0,0.0431563,0,0.023939,0.0570917,0,0,0.0124421,0,0,0.0339566,0.0321541,0.0375597,0.0208877,0.0446918,0.0287082,0.0302754,0.0221212,0.0287333,0.0301781,0.0470568,0.0507273,0.0404515,0.0379304,0.0152771,0.0462916,0.00867473,0.0188721,0.0695781,0,0.0232613,0.0639577,0.0192858,0,0,0.0100832,0,0,0.034068,0.0455218,0.0471027,0.0315138,0,0.0339175,0.0181615,0.035485,0.0238677,0.0557214,0.0580307,0.056119,0.0557645,0.0562217,0.0313206,0.0372455,0.0193623,0.0223816,0.0459382,0.0210798,0,0,0,0,0,0,0,0,0,0.0327164,0,0,0,0
41,0.0372513,0.048906,0,0,0,0,0.0389728,0,0.0247718,0.0560454,0,0,0.0129193,0,0,0.0342317,0.0300855,0.0376292,0.0234821,0.0464997,0.0303305,0.0319553,0.0230449,0.0321589,0.0268395,0.0452093,0.0486359,0.0390191,0.0366085,0.0189289,0.0456963,0.00874863,0.0192178,0.0644402,0,0.0189606,0.0605628,0.0188356,0,0,0.0100399,0,0,0.0339419,0.0495521,0.0449465,0.0286388,0.020239,0.0328442,0.0169337,0.0341783,0.0189835,0.0513483,0.0617004,0.0609147,0.0606421,0.06066,0.0237797,0.0377516,0.0193347,0.0218005,0.0459335,0.0216553,0,0,0,0,0,0,0,0,0,0,0,0.0613313,0,0
42,0.0374077,0.0490102,0,0,0,0,0.0382543,0,0.0252649,0.0566117,0,0,0.0129296,0,0,0.0340956,0.029656,0.0370561,0.0237804,0.0466286,0.0302,0.0319586,0.0230659,0.0327007,0.0257756,0.0445451,0.047926,0.0386632,0.0365171,0.0198098,0.0458479,0.008763,0.0190607,0.0632735,0,0.0193583,0.0606988,0.0190293,0,0,0.00994816,0,0,0.0339452,0.0488549,0.0462278,0.0289769,0.0215574,0.0329442,0.0169136,0.0345584,0.0194709,0.0521279,0.0607637,0.0600456,0.0598054,0.0599139,0.0234639,0.0376381,0.0193891,0.0217308,0.0460239,0.0217275,0,0,0,0,0,0,0,0,0,0,0,0.0486672,0,0
43,0.0369729,0.0489223,0,0,0,0,0.0434265,0,0.0286784,0.058152,0,0,0.0131871,0,0,0.034261,0.0250288,0.0448282,0.0218744,0.0481325,0.0307966,0.0319354,0.0131145,0.0309916,0.0302007,0.0458418,0.0486515,0.0396653,0.0417342,0.0183746,0.0455604,0.00875172,0.0192629,0.0675576,0,0.020476,0.0596859,0.0197379,0,0,0.00965433,0,0,0.0340265,0.0506274,0.0477404,0.0283184,0,0.0350896,0.0181863,0.03664,0.0200154,0.0544583,0.0593265,0.0586515,0.0577565,0.0580431,0.0287358,0.0365635,0.0204016,0.022692,0.0456751,0.0226055,0,0,0,0,0,0,0,0,0,0.133979,0,0.0518533,0,0
44,0.0370542,0.0489144,0,0,0,0,0.0439507,0,0.0280486,0.0588056,0,0,0.013202,0,0,0.0343549,0.0238822,0.0441428,0.0222318,0.0493218,0.0310005,0.0322783,0.0121458,0.0322037,0.030452,0.0452821,0.0477941,0.0394972,0.0422477,0.0181713,0.0454509,0.00878386,0.0193928,0.0660971,0,0.0199456,0.0592249,0.0197614,0,0,0.0096823,0,0,0.0338939,0.0513059,0.0483194,0.0284393,0,0.0352857,0.0184403,0.0365506,0.0201805,0.0543271,0.0592903,0.0586604,0.0576272,0.0579539,0.0275506,0.036338,0.0204583,0.0227157,0.0456201,0.0228677,0,0,0,0,0,0,0,0,0,0.144738,0,0.0542885,0,0
45,0.0371777,0.0488861,0,0,0,0,0.0417097,0,0.0269235,0.0590637,0,0,0.0131385,0,0,0.0346463,0.0231985,0.0406574,0.0231687,0.0485747,0.0314679,0.0327837,0.0137883,0.0318864,0.0328603,0.0439931,0.04667,0.0383309,0.0403185,0.0195172,0.0454915,0.00883631,0.019627,0.0606274,0,0.0181117,0.0582511,0.0194595,0,0,0.00976657,0,0,0.0337711,0.0525701,0.047647,0.0289929,0.0235533,0.035116,0.0183056,0.0362808,0.0182295,0.0530978,0.0602915,0.059718,0.0590659,0.0592847,0.0224047,0.0365329,0.0200022,0.0223672,0.0456006,0.0229594,0,0,0,0,0,0,0,0,0,0.125661,0,0.0530008,0,0
46,0.0377075,0.048853,0,0,0,0,0.0352709,0,0.0243225,0.05936,0,0,0.012422,0,0,0.0354434,0.0270056,0.031042,0.025588,0.0478829,0.0310889,0.0324768,0.0237066,0.0336896,0.0276308,0.0424581,0.0456183,0.0362363,0.0340845,0.0221483,0.045919,0.00908552,0.0204102,0.0548264,0,0.017533,0.0588515,0.0186113,0,0,0.0106123,0,0,0.0334586,0.0503626,0.0484414,0.0294361,0.0245837,0.0331425,0.0175319,0.0347783,0.0187796,0.0519099,0.0601691,0.0597384,0.0593934,0.059624,0.0192167,0.037359,0.0184561,0.0210286,0.0457649,0.0221154,0,0,0,0,0,0,0,0,0,0,0,0.0519855,0,0
47,0.0373451,0.0485483,0,0,0,0,0.0363292,0,0.0239061,0.0590971,0,0,0.0127197,0,0,0.0351294,0.0268934,0.0326793,0.0214951,0.0449286,0.0300559,0.0325573,0.0215689,0.0298255,0.019589,0.0443502,0.0482367,0.0369989,0.0354053,0.0213873,0.0459947,0.00895817,0.0193615,0.0589413,0,0.020595,0.0600996,0.0191306,0,0,0.0100134,0,0,0.0336653,0.0466175,0.0533145,0.0299964,0,0.0347855,0.0184739,0.0357052,0.0256684,0.0558299,0.0570607,0.0560973,0.0546852,0.055586,0.0252826,0.0369682,0.0190086,0.0214405,0.0453913,0.0220042,0,0,0,0,0,0,0,0,0,0.0234496,0,0,0,0
48,0.0370658,0.048115,0,0,0,0,0.0349572,0,0.0238429,0.0565007,0,0,0.0127064,0,0,0.0355106,0.0275998,0.0352109,0.0186499,0.0426216,0.0300997,0.0326772,0.0201877,0.0259722,0.0567864,0.0461157,0.0502855,0.0379039,0.0370015,0.0243889,0.0456005,0.00907034,0.0200555,0.0548561,0,0.0204539,0.0606002,0.0193528,0,0,0.0101654,0,0,0.0336998,0.0462221,0.0543152,0.0298988,0,0.0356939,0.0189669,0.0360453,0.026071,0.0565823,0.0569375,0.0555203,0.054221,0.0556126,0.0243697,0.0365562,0.0189783,0.0213919,0.0448544,0.022497,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,0.0372604,0.0481085,0,0,0,0,0.0319006,0,0.0244711,0.0575028,0,0,0.0125988,0,0,0.0350178,0.0277374,0.0342591,0.0216547,0.0438068,0.0299935,0.0329727,0.0217323,0.0305582,0.0789886,0.0448497,0.0493682,0.0369591,0.0341291,0.0259282,0.0460195,0.00890588,0.0196278,0.0466365,0,0.0187296,0.0584117,0.0191337,0,0,0.0101513,0,0,0.0336132,0.0493451,0.0525817,0.030279,0.0303946,0.0353579,0.0181569,0.0357136,0.0216765,0.0550404,0.0577851,0.0561341,0.0561002,0.0577376,0.0232943,0.0372705,0.018412,0.0205227,0.0451538,0.0221673,0,0,0,0,0,0,0,0,0,0.059483,0,0,0,0
50,0.0376206,0.0484495,0,0,0,0,0.0318343,0,0.0257078,0.0592671,0,0,0.0125371,0,0,0.0343832,0.0285114,0.0348901,0.0262171,0.0488762,0.0302847,0.0335376,0.0240697,0.035649,0,0.0420328,0.0463015,0.0343938,0.0312322,0.0247336,0.0465606,0.00873441,0.0188856,0.0421869,0,0.0189517,0.0580325,0.0185654,0,0,0.011188,0,0,0.0332732,0.0507651,0.0533778,0.0306829,0.0293339,0.0341197,0.0173286,0.0360456,0.021269,0.0549969,0.0571118,0.0551966,0.0558798,0.057831,0.025026,0.0385651,0.0170423,0.0190628,0.0458176,0.0215252,0,0,0,0,0,0,0,0,0,0.0429397,0,0,0,0
51,0.0373258,0.0481592,0,0,0,0,0.0307212,0,0.0251538,0.0566342,0,0,0.0123895,0,0,0.034992,0.0277336,0.0357982,0.0222515,0.0463506,0.0301231,0.0327617,0.0217096,0.0297867,0,0.0430418,0.0470442,0.0358548,0.0336249,0.0270795,0.0461948,0.00896561,0.019886,0.0380885,0,0.0186212,0.0577839,0.0190966,0,0,0.0103148,0,0,0.0335993,0.0521489,0.0533963,0.030469,0.029982,0.0351776,0.0179425,0.0375552,0.0210861,0.0561489,0.0574454,0.0547129,0.0560582,0.0584216,0.027665,0.0378746,0.0180845,0.0200478,0.0451538,0.0224429,0,0,0,0,0,0,0,0,0,0.0188105,0,0,0,0
52,0.0367284,0.0479848,0,0,0,0,0.0296122,0,0.0248834,0.0544068,0,0,0.0136624,0,0,0.0350615,0.0273894,0.0365101,0.0204416,0.0466745,0.0308971,0.0347613,0.020993,0.0285767,0.0190034,0.0437159,0.0477139,0.0364748,0.0346558,0.0283192,0.0450903,0.00886527,0.0199223,0.0351353,0,0.0116266,0.0552348,0.019474,0,0,0.0106679,0,0,0.0335649,0.055541,0.0450232,0.0295695,0.0414448,0.035563,0.0187793,0.0336672,0.0191548,0.0524469,0,0.0609229,0.0612176,0.0652663,0.0282405,0.0371574,0.0185053,0.0204525,0.0443482,0.0237674,0,0,0,0,0,0,0,0,0,0.0318487,0,0,0,0
53,0.036873,0.0477504,0,0,0,0,0.0294715,0,0.0248751,0.052361,0,0,0.0133122,0,0,0.036194,0.0277018,0.0362768,0.0204788,0.0475214,0.0313694,0.0344229,0.0214022,0.0278474,0,0.0436446,0.0476739,0.0362582,0.0350366,0.0287687,0.0446723,0.00944075,0.0217923,0.0309372,0,0.00764214,0.0559545,0.0194345,0,0,0.0104542,0,0,0.0335095,0.0568887,0.0394937,0.0285919,0.0864218,0.0349378,0.0182263,0.0320271,0.0189138,0.0517823,0,0.0653263,0.0653331,0.0710029,0.0312081,0.0368059,0.0187719,0.0207293,0.0439755,0.0245953,0,0,0,0,0,0,0,0,0,0.031055,0,0,0,0
54,0.0368898,0.0476839,0,0,0,0,0.028854,0,0.0255572,0.0525624,0,0,0.0134478,0,0,0.0363069,0.0267566,0.0358131,0.0212967,0.048926,0.0316828,0.0345946,0.0218769,0.0298958,0.0190827,0.0431475,0.0471703,0.0355877,0.0340684,0.029469,0.0445186,0.00951035,0.0220153,0.028706,0,0.00660532,0.054505,0.0195622,0,0,0.0105286,0,0,0.0333157,0.0588305,0.0372662,0.0290668,0.105921,0.0349544,0.018647,0.0319312,0.0177913,0.0516853,0,0.0675752,0.0678038,0.0738807,0.0338615,0.0363425,0.0188134,0.0211171,0.0438924,0.0249058,0,0,0,0,0,0,0,0,0,0.0289901,0,0,0,0
55,0.0369329,0.0476493,0,0,0,0,0.0277925,0,0.0256289,0.0512311,0,0,0.0136764,0,0,0.0364453,0.0267359,0.03604,0.0211328,0.0481936,0.032215,0.0349809,0.0221963,0.0293273,0,0.0432015,0.0470255,0.0357471,0.0344189,0.0305688,0.0442385,0.00963866,0.0223024,0.0255815,0,0.00754667,0.0557734,0.0193553,0,0,0.0107145,0,0,0.0331689,0.0586828,0.0370948,0.0293253,0.105283,0.0347585,0.0188376,0.0337134,0.0172712,0.0534748,0,0.0679446,0.0687631,0.0744538,0.0376893,0.0360701,0.0186262,0.0213654,0.0439568,0.0249303,0,0,0,0,0,0,0,0,0,0.027915,0,0,0,0
56,0.0368741,0.0476229,0,0,0,0,0.0270629,0,0.026106,0.0517357,0,0,0.0138728,0,0,0.0364317,0.0255803,0.0369128,0.0218202,0.0469699,0.0329332,0.0350271,0.0225906,0.0311074,0.0190157,0.043017,0.0468038,0.035886,0.0341612,0.0315008,0.0440494,0.00962395,0.0224162,0.0228822,0,0.00896009,0.0547498,0.0194313,0,0,0.0107404,0,0,0.0333023,0.0591972,0.0369916,0.0302922,0.102115,0.0352211,0.0194844,0.035224,0.0171391,0.0546068,0,0.0681687,0.0692448,0.074335,0.0409398,0.0356182,0.0191301,0.0218242,0.043907,0.0248623,0,0,0,0,0,0,0,0,0,0.0288584,0,0,0,0
57,0.0367539,0.0476569,0,0,0,0,0.0264972,0,0.0262281,0.051332,0,0,0.0140517,0,0,0.0364862,0.0251266,0.0377281,0.0222885,0.0457809,0.0338124,0.0352453,0.0226412,0.0316602,0.0192741,0.0433215,0.0468117,0.0362729,0.0345985,0.0330479,0.0437773,0.00962976,0.0227189,0.021004,0,0.0108737,0.0547797,0.0194237,0,0,0.0107617,0,0,0.0334483,0.058518,0.0359307,0.030794,0.101288,0.0356036,0.0198623,0.036577,0.0176738,0.0558351,0,0.0685284,0.0697626,0.0748803,0.0455856,0.0353525,0.0194528,0.022039,0.0438417,0.0248241,0,0,0,0,0,0,0,0,0,0.0293341,0,0,0,0
58,0.0365022,0.0476663,0,0,0,0,0.0262363,0,0.0264822,0.0507765,0,0,0.0152282,0,0,0.0357944,0.0253274,0.0380078,0.022705,0.0455504,0.0345153,0.0368822,0.0225156,0.032065,0.0192715,0.043676,0.0466,0.0364707,0.0350621,0.0344718,0.0433033,0.00927958,0.0215051,0.0209491,0,0.0123247,0.0550272,0.0193828,0,0,0.0103934,0,0,0.0336636,0.0578672,0.0349409,0.0313679,0.101365,0.0358958,0.0202245,0.0376046,0.0177621,0.0565317,0,0.0689072,0.0701104,0.075579,0.0498996,0.0352586,0.0196012,0.0222992,0.0437678,0.0248132,0,0,0,0,0,0,0,0,0,0.0294712,0,0,0,0
59,0.0364097,0.0475118,0,0,0,0,0.0261053,0,0.0262791,0.0496458,0,0,0.0152509,0,0,0.0358362,0.0263348,0.0377033,0.0226845,0.0454606,0.0346949,0.0369677,0.0227929,0.031074,0,0.0439823,0.0463146,0.0365614,0.0355697,0.0349134,0.0432752,0.00928672,0.021633,0.0211432,0,0.0136593,0.0562287,0.019276,0,0,0.0104158,0,0,0.0337175,0.0567721,0.0342125,0.0312554,0.101201,0.035828,0.0204502,0.0388182,0.0178955,0.0575858,0,0.0692436,0.0707108,0.0766825,0.0539932,0.0352087,0.0195056,0.0222346,0.0436634,0.0247523,0,0,0,0,0,0,0,0,0,0.0290907,0,0,0,0
60,0.0362656,0.0473201,0,0,0,0,0.025867,0,0.0267679,0.0503886,0,0,0.0151209,0,0,0.0356138,0.0265822,0.0377947,0.0230905,0.0464415,0.034705,0.0364938,0.0232261,0.0319247,0.0186654,0.0435208,0.0460176,0.0363865,0.0349159,0.0346529,0.0434582,0.00915676,0.0214127,0.0211788,0,0.0139745,0.0553022,0.0195286,0,0,0.0103641,0,0,0.0338923,0.05704,0.0342586,0.0318706,0.100723,0.0362956,0.0211934,0.0394936,0.0176491,0.0576952,0,0.0695122,0.071265,0.0775373,0.0552813,0.0349828,0.0196135,0.0224497,0.0434268,0.0247667,0,0,0,0,0,0,0,0,0,0.0301101,0,0,0,0
61,0.0361934,0.0472095,0,0,0,0,0.0258631,0,0.0269712,0.0500868,0,0,0.0147928,0,0,0.035503,0.026854,0.0378874,0.0232489,0.0468008,0.0346583,0.0358797,0.0232522,0.0314947,0.0182882,0.0432009,0.0463338,0.0365456,0.0346893,0.0342522,0.043797,0.0093354,0.0212108,0.021527,0,0.0140197,0.0555201,0.0196368,0,0,0.0104805,0,0,0.033975,0.057217,0.0345297,0.0321143,0.100019,0.0363955,0.0214325,0.0403104,0.0175599,0.0579746,0,0.0698507,0.071901,0.0784154,0.0561335,0.0349919,0.0192835,0.0223612,0.0432977,0.0247881,0,0,0,0,0,0,0,0,0,0.0304856,0,0,0,0
62,0.0362791,0.0472634,0,0,0,0,0.0267357,0,0.0277823,0.0509709,0,0,0.0143057,0,0,0.0351301,0.0263986,0.0382639,0.0255673,0.0487943,0.0344812,0.0354855,0.0242304,0.0329504,0.0171702,0.04163,0.0445485,0.0351473,0.033667,0.0322556,0.0442993,0.00923388,0.0207996,0.0219236,0,0.014287,0.0556979,0.0193335,0,0,0.010691,0,0,0.0337853,0.0576981,0.0344999,0.0322938,0.0998175,0.0356728,0.020786,0.0412372,0.0179311,0.0585069,0,0.0701748,0.0724467,0.0791503,0.0560105,0.0355922,0.01867,0.0216971,0.0434673,0.0242796,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,0.0361698,0.0467828,0,0,0,0,0.0272466,0,0.0275001,0.0493003,0,0,0.0148996,0,0,0.0358527,0.0260647,0.0378253,0.025663,0.0482942,0.0346599,0.0365503,0.0249572,0.0325548,0.0163381,0.0421171,0.0442472,0.0355315,0.0342586,0.0314502,0.0434234,0.00984006,0.0220547,0.0221443,0,0.0143037,0.056296,0.0193352,0,0,0.0109547,0,0,0.0338487,0.0610042,0.033,0.0318205,0.0977975,0.0346378,0.0205781,0.0415395,0.0154904,0.0564865,0,0.0715068,0.0737248,0.0801685,0.0572402,0.0353453,0.0187838,0.0218066,0.0427225,0.0253063,0,0,0,0,0,0,0,0,0,0,0,0.0509766,0,0
64,0.0360565,0.0465562,0,0,0,0,0.0275462,0,0.0267316,0.0483315,0,0,0.0148792,0,0,0.0358032,0.0258216,0.0368328,0.0234277,0.0466774,0.0338496,0.0361398,0.0253632,0.0309833,0.0164547,0.0436738,0.0454572,0.0369524,0.035376,0.0309157,0.0435434,0.0098885,0.0220033,0.0219622,0,0.0141627,0.0564934,0.0197926,0,0,0.0108908,0,0,0.0339687,0.0617431,0.0330724,0.0313434,0.097563,0.034654,0.0213058,0.0415888,0.015496,0.0565748,0,0.0716604,0.0737693,0.080848,0.0564821,0.0350125,0.0191809,0.0222461,0.0423555,0.0255917,0,0,0,0,0,0,0,0,0,0.0288814,0,0.0513434,0,0
65,0.035965,0.0465158,0,0,0,0,0.0281607,0,0.0268311,0.0482103,0,0,0.0147293,0,0,0.0357434,0.025116,0.0366478,0.0230159,0.0466134,0.0335283,0.0357343,0.025471,0.0310727,0.0160488,0.0438579,0.0458455,0.0371621,0.0355053,0.0297099,0.0439073,0.00984227,0.0219092,0.0219732,0,0.013802,0.0566694,0.019767,0,0,0.0109087,0,0,0.0339391,0.0624037,0.0333474,0.0310228,0.0976513,0.0340895,0.0214899,0.0412895,0.0160368,0.0571404,0,0.0716798,0.0736286,0.0812729,0.0546596,0.0350435,0.0191703,0.0223348,0.0422792,0.0255433,0,0,0,0,0,0,0,0,0,0.0287487,0,0.0517454,0,0
66,0.0358283,0.04652,0,0,0,0,0.0285628,0,0.0269113,0.0480967,0,0,0.0150576,0,0,0.0352676,0.0246017,0.0366211,0.0230668,0.0465285,0.0333794,0.0362278,0.0255511,0.0313046,0.016233,0.044128,0.0466328,0.0370562,0.035648,0.0289703,0.0438557,0.00952458,0.0211982,0.0221384,0,0.0138777,0.0569459,0.0197641,0,0,0.010364,0,0,0.0339738,0.0626565,0.0330012,0.0307511,0.0975296,0.03357,0.0215225,0.0414576,0.0164714,0.0576481,0,0.0718428,0.0739351,0.0814509,0.0538025,0.0351103,0.019564,0.0226609,0.042267,0.0255157,0,0,0,0,0,0,0,0,0,0.0286886,0,0.0518541,0,0
67,0.0358787,0.0468944,0,0,0,0,0.0289663,0,0.0273056,0.0492384,0,0,0.0135801,0,0,0.0347296,0.0242316,0.0370778,0.023021,0.0466803,0.0327116,0.0333752,0.0254648,0.0317636,0.0170275,0.0440578,0.0466341,0.0364714,0.0354412,0.0289844,0.0453079,0.00932011,0.0202882,0.0223916,0,0.0142161,0.0567958,0.0199697,0,0,0.0113842,0,0,0.0335489,0.0597578,0.034561,0.0312944,0.0997062,0.034149,0.0225475,0.0422385,0.0195751,0.0602017,0,0.0705565,0.0731676,0.0808425,0.052111,0.0352241,0.0190848,0.0221814,0.0428776,0.0243379,0,0,0,0,0,0,0,0,0,0.0291013,0,0,0,0
68,0.0358992,0.0468698,0,0,0,0,0.0294015,0,0.0274616,0.0492097,0,0,0.0136102,0,0,0.0346461,0.0241952,0.0373879,0.0233534,0.0461503,0.0328591,0.0331352,0.0256201,0.0320547,0.0174813,0.0440229,0.0469399,0.0366938,0.0354736,0.0289299,0.0453195,0.00926593,0.0201618,0.0229821,0,0.0144355,0.0568333,0.0200938,0,0,0.0114615,0,0,0.0335308,0.0595369,0.0347837,0.0310587,0.0997537,0.0339566,0.0228564,0.0424381,0.0198709,0.0601945,0,0.0706945,0.073441,0.0811014,0.0512652,0.0350021,0.0192691,0.0224488,0.0428402,0.0243435,0,0,0,0,0,0,0,0,0,0.0290354,0,0,0,0
69,0.0359202,0.0468013,0,0,0,0,0.0295106,0,0.0276419,0.049346,0,0,0.0135992,0,0,0.0345555,0.0240702,0.0371475,0.023742,0.0457987,0.0330461,0.0329196,0.0257223,0.0320789,0.0177527,0.0437262,0.0470538,0.0372883,0.0355047,0.0283241,0.0453769,0.00917075,0.0200713,0.0226754,0,0.0143153,0.0566736,0.0202759,0,0,0.0115162,0,0,0.0335495,0.0591175,0.0353416,0.0307042,0.0999407,0.0338493,0.0231843,0.042279,0.0204067,0.0601096,0,0.0709881,0.0736442,0.0816071,0.0497908,0.0347418,0.019493,0.0227616,0.0427666,0.0243583,0,0,0,0,0,0,0,0,0,0.0289619,0,0,0,0
70,0.0359392,0.0467371,0,0,0,0,0.0293248,0,0.0275216,0.049497,0,0,0.0136028,0,0,0.0345194,0.0239647,0.0370826,0.0240552,0.0456097,0.0332924,0.0327875,0.0256181,0.0320111,0.0181372,0.0434972,0.0470645,0.0372462,0.0355949,0.0276834,0.0453852,0.00921682,0.0199535,0.0221287,0,0.0139329,0.056551,0.0204588,0,0,0.0115418,0,0,0.0335938,0.0589021,0.0355896,0.0303614,0.100065,0.0338381,0.0235229,0.0419251,0.0208465,0.0604607,0,0.0712962,0.0739581,0.0821035,0.0489953,0.0344551,0.0195754,0.0230692,0.042671,0.0244102,0,0,0,0,0,0,0,0,0,0.0288181,0,0,0,0
71,0.0359441,0.0467129,0,0,0,0,0.0291721,0,0.027527,0.0495977,0,0,0.0135669,0,0,0.0344149,0.0240739,0.0371402,0.0243169,0.045479,0.0335272,0.0325789,0.0251434,0.0318841,0.0184849,0.0435235,0.0468152,0.0370598,0.0356651,0.0272358,0.0454001,0.00920334,0.0197863,0.0219988,0,0.0138471,0.0565369,0.0206119,0,0,0.011559,0,0,0.0336905,0.0591828,0.0358064,0.0301048,0.0999879,0.0339332,0.0238759,0.0415762,0.0207991,0.0604519,0,0.0714182,0.0743215,0.0822856,0.0495336,0.0342709,0.0197076,0.0233453,0.0425805,0.0243616,0,0,0,0,0,0,0,0,0,0.028644,0,0,0,0
72,0.0359327,0.0466918,0,0,0,0,0.0295562,0,0.0276081,0.0497004,0,0,0.0135617,0,0,0.0342491,0.0244896,0.0370095,0.0244916,0.0455437,0.0337162,0.0323419,0.0246102,0.0319483,0.0187277,0.0435868,0.0464462,0.0369747,0.0355929,0.027253,0.045528,0.00907154,0.019597,0.02249,0,0.0136706,0.056526,0.0208173,0,0,0.0115454,0,0,0.0338675,0.0593723,0.0362308,0.0298163,0.100011,0.0340829,0.0241935,0.0410739,0.0205573,0.0599925,0,0.0716008,0.0746723,0.082389,0.0499601,0.0341494,0.0199206,0.023611,0.0424855,0.024277,0,0,0,0,0,0,0,0,0,0.0287025,0,0,0,0
73,0.0360302,0.046592,0,0,0,0,0.0292826,0,0.0277818,0.0498873,0,0,0.0132589,0,0,0.0343819,0.024844,0.03717,0.024676,0.0456199,0.0339238,0.0316412,0.0243679,0.0319596,0.0187903,0.0436271,0.0462629,0.03705,0.0356109,0.0265506,0.0457267,0.00913593,0.0197167,0.0229409,0,0.0136954,0.0563762,0.0210295,0,0,0.010956,0,0,0.0342607,0.0593604,0.0366941,0.029508,0.100108,0.0343158,0.0241415,0.0403937,0.0202541,0.0591313,0,0.0717608,0.0750482,0.0825559,0.0510538,0.0341302,0.0202595,0.0240527,0.0423928,0.0242626,0,0,0,0,0,0,0,0,0,0.0292328,0,0,0,0
