Timestep,C7,CLAV,IMUL_L,IMUL_M,IMUR_B,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74,x75,LTHII,IMUL_R,RTHII,,IMUR_M
15,0.0370134,0.0483207,0,0,0,0,0.0252067,0,0.0240253,0.0493496,0,0,0.0130037,0,0,0.0338131,0.0382872,0.0418405,0.0196561,0.0535641,0.0256449,0.0323093,0.014739,0.0268156,0.0245798,0.0450983,0.0486186,0.0394765,0.0350175,0.0373491,0.0458126,0.008238,0.0179089,0.0586916,0,0.0155892,0.0639385,0.0172996,0,0,0.0141315,0,0,0.032995,0.0433317,0.0472819,0.0366898,0.0217959,0.0333707,0.0183429,0.0324097,0.0185049,0.0516083,0.0611,0.0597931,0.061726,0.061449,0.0183806,0.0381816,0.0176825,0.0209481,0.0449172,0.0216209,0,0,0,0,0,0,0,0,0,0.035469,0,0,0,0
16,0.0376873,0.0480431,0,0,0,0,0.0256742,0,0.0241992,0.0487383,0,0,0.0122206,0,0,0.0345715,0.0391694,0.0421907,0.0196246,0.052927,0.0262104,0.0310455,0.0148957,0.02501,0,0.0445861,0.04802,0.0392117,0.0350169,0.0362639,0.0458581,0.0084684,0.0191105,0.0579713,0,0.0161941,0.0653637,0.0172748,0,0,0.0115242,0,0,0.0335945,0.0425996,0.0475877,0.036965,0.0225232,0.0330013,0.0155686,0.0327993,0.0187693,0.0520229,0.0607456,0.0592472,0.0613028,0.0610566,0.0180797,0.0383996,0.0188276,0.0215715,0.0447538,0.0217844,0,0,0,0,0,0,0,0,0,0.0354354,0,0,0,0
17,0.0372685,0.0482996,0,0,0,0,0.0262292,0,0.0238376,0.0491429,0,0,0.0127245,0,0,0.0339964,0.0390207,0.04207,0.0197623,0.0525713,0.0260039,0.032087,0.0157567,0.0249545,0,0.0454633,0.0481983,0.0387635,0.0353288,0.0345759,0.0456963,0.00827172,0.0185481,0.058058,0,0.0164357,0.0653689,0.0172552,0,0,0.0137585,0,0,0.0329445,0.0426494,0.0477661,0.0372193,0.0225177,0.0329572,0.0176316,0.0326608,0.0188024,0.0519927,0.0607568,0.0592624,0.061347,0.0609683,0.018225,0.0381387,0.0174508,0.0211905,0.0449191,0.0214114,0,0,0,0,0,0,0,0,0,0.0354034,0,0,0,0
18,0.0377672,0.0479527,0,0,0,0,0.0272875,0,0.0226247,0.0499733,0,0,0.0121925,0,0,0.0344569,0.038439,0.0406041,0.0200284,0.0525137,0.0261162,0.0310642,0.0166494,0.0265231,0.0252077,0.0466272,0.0486573,0.0392742,0.0355857,0.0325795,0.0458052,0.00820449,0.0195206,0.0579729,0,0.0168809,0.064684,0.0173336,0,0,0.0115199,0,0,0.0335511,0.0431276,0.0472332,0.0367612,0.022466,0.0328809,0.0156816,0.0328516,0.0183704,0.0520697,0.0608391,0.0593133,0.0614528,0.0610684,0.018216,0.0378972,0.0190736,0.0221358,0.0446145,0.021544,0,0,0,0,0,0,0,0,0,0.0358209,0,0,0,0
19,0.0379942,0.0479989,0,0,0,0,0.0285468,0,0.0224287,0.0491433,0,0,0.0124569,0,0,0.0335069,0.0396676,0.0412846,0.018474,0.050637,0.0264099,0.0307877,0.0177407,0.0233322,0,0.046386,0.0482896,0.039733,0.0361408,0.0326832,0.0461126,0.00848537,0.0192205,0.0671957,0,0.0217349,0.0671283,0.0180365,0,0,0.0108654,0,0,0.0338783,0.040158,0.0454716,0.0392125,0,0.0338149,0.0154947,0.0316394,0.0235914,0.0536847,0.0590527,0.0563332,0.0573244,0.0581201,0.0294573,0.0382913,0.0185917,0.0216477,0.0448818,0.0212063,0,0,0,0,0,0,0,0,0,0.0349436,0,0,0,0
20,0.0376115,0.0480535,0,0,0,0,0.0305049,0,0.0215836,0.0502457,0,0,0.0122294,0,0,0.0343527,0.0383155,0.0397395,0.0200727,0.0514691,0.0262785,0.0313788,0.0176332,0.0269843,0.0257141,0.0468838,0.0488556,0.0404175,0.0362942,0.0286614,0.045708,0.00812087,0.018943,0.058509,0,0.017258,0.064329,0.0172582,0,0,0.0123484,0,0,0.0335193,0.0434834,0.0475423,0.0364581,0.0223936,0.0328505,0.0164784,0.0329644,0.0183031,0.0521746,0.0606798,0.0595552,0.0614015,0.0610296,0.0185389,0.037756,0.018351,0.0218201,0.0447945,0.0212541,0,0,0,0,0,0,0,0,0,0.0346793,0,0,0,0
21,0.0376388,0.0480926,0,0,0,0,0.0321265,0,0.0211932,0.0507766,0,0,0.0121241,0,0,0.0343244,0.0379574,0.0397702,0.0198612,0.0509331,0.0265302,0.0312551,0.0186784,0.0271697,0.0260895,0.0470127,0.0491835,0.0405588,0.0366464,0.0265078,0.0458825,0.00807504,0.018841,0.0591655,0,0.0172731,0.0638659,0.0172915,0,0,0.0123034,0,0,0.0335361,0.043885,0.0477616,0.0361718,0.0218865,0.0330575,0.016354,0.0327968,0.0183164,0.0519035,0.0607371,0.0596539,0.0615416,0.0611194,0.0190445,0.0378143,0.0182693,0.0217197,0.0449045,0.0212092,0,0,0,0,0,0,0,0,0,0.0340531,0,0,0,0
22,0.0378093,0.0480707,0,0,0,0,0.034053,0,0.0213236,0.0510199,0,0,0.0124847,0,0,0.0335478,0.037007,0.039733,0.0181818,0.0500067,0.0268774,0.0310328,0.0192024,0.0267055,0.0266241,0.0472457,0.0498037,0.040741,0.0371139,0.0244286,0.0461551,0.00844901,0.01889,0.0689276,0,0.020869,0.0637824,0.018067,0,0,0.0116665,0,0,0.0337794,0.0429568,0.045526,0.0370519,0.0237766,0.0342226,0.0163933,0.0310271,0.0223852,0.0516118,0.0598046,0.0583601,0.0593274,0.0595797,0.0301578,0.0379356,0.0181212,0.021561,0.0449884,0.0211481,0,0,0,0,0,0,0,0,0,0.0334299,0,0,0,0
23,0.0377756,0.048171,0,0,0,0,0.0358004,0,0.0213646,0.0512692,0,0,0.0125112,0,0,0.0335883,0.0366026,0.0398219,0.0181796,0.0493089,0.0270481,0.0310946,0.0191158,0.0271824,0.0270359,0.0473353,0.0501323,0.0407239,0.0374806,0.0223928,0.0459969,0.00851671,0.0190841,0.0692226,0,0.0211069,0.063588,0.0180252,0,0,0.0116102,0,0,0.0338014,0.0432755,0.0456348,0.0366592,0.0235728,0.0342271,0.016439,0.0311559,0.0232479,0.051709,0.0598408,0.0583418,0.0593031,0.0595169,0.0304549,0.037894,0.0181981,0.0216574,0.0450574,0.0210124,0,0,0,0,0,0,0,0,0,0.0332803,0,0,0,0
24,0.0369356,0.0485563,0,0,0,0,0.0363306,0,0.0203592,0.0511495,0,0,0.0126271,0,0,0.0348603,0.0359985,0.0406343,0.0200768,0.0484659,0.0275212,0.0328673,0.0198649,0.0282103,0.0267782,0.0473887,0.0503374,0.040902,0.0375955,0.0223689,0.0451162,0.00769177,0.0193921,0.0598971,0,0.0158662,0.0616681,0.0165988,0,0,0.0120674,0,0,0.0340586,0.0473744,0.0458087,0.0325243,0.0179368,0.0323371,0.0158998,0.0321772,0.016865,0.0495699,0.0632288,0.062456,0.0638196,0.0632217,0.0180634,0.0373874,0.0183752,0.0215732,0.045156,0.0210919,0,0,0,0,0,0,0,0,0,0.033363,0,0.0493474,0,0
