Timestep,BBL,BBR,BFBL,BFBR,BFTL,BFTR,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72,x73
All Timesteps RMSE,0,0,0,0,0,0,0.0785659,0.0522562,0,0,0,0.0627788,0,0.0216434,0.0687788,0,0,0.0205184,0,0,0.0295484,0.0763964,0.0302501,0.0488964,0.0333945,0.103919,0.0688854,0.0629333,0.0766718,0.0801886,0.0699729,0.0454838,0.0436267,0.0439574,0.0514466,0.0424734,0.0260731,0.00939315,0.0171418,0.0442939,0,0.0284823,0.0637117,0.030736,0,0,0.0243274,0,0,0.0314632,0.0651245,0.0337088,0.0549704,0.025309,0.109097,0.0642063,0.0606784,0.0854228,0.0684642,0.043232,0.0504645,0.0250014,0.0340396,0.0645574,0.0260087,0.0168831,0.00867236,0.0145228,0.0398561,0.0380623,0,0,0,0
0,0,0,0,0,0,0,0.0734063,0.0514318,0,0,0,0.0400878,0,0.0256238,0.0750066,0,0,0.036837,0,0,0.0297305,0.0749927,0.0250634,0.0326489,0.014266,0.0570054,0.0544485,0.0712871,0.0895895,0.0963264,0.0763178,0.0457624,0.0466387,0.0437126,0.0460607,0.034848,0.0292059,0.0324152,0.026237,0.0513118,0,0.0249169,0.0820878,0.0233641,0,0,0.014181,0,0,0.0363384,0.0632164,0.00884663,0.0497177,0.0177985,0.0684385,0.0593957,0.0648176,0.095792,0.0822753,0.0459995,0.0612831,0.0312303,0.04485,0.0788231,0.0170534,0.020413,0.00982627,0.0211954,0.0260555,0.0379213,0,0,0,0
1,0,0,0,0,0,0,0.0734528,0.0512538,0,0,0,0.0399824,0,0.0256471,0.0750954,0,0,0.0256939,0,0,0.0317791,0.0749569,0.025456,0.032607,0.0142153,0.0571232,0.0574777,0.0713206,0.0895255,0.0963422,0.0763714,0.0456571,0.0465805,0.0436535,0.0459886,0.035371,0.0267002,0.0230679,0.0277216,0.0513345,0,0.0249197,0.0820225,0.0232025,0,0,0.0143233,0,0,0.0362646,0.0632087,0.00905391,0.049677,0.0176263,0.0684297,0.0593776,0.0648292,0.095813,0.0822959,0.0459997,0.0612271,0.031112,0.0447847,0.0787404,0.0171636,0.0204353,0.00994108,0.0213581,0.0259099,0.0378902,0,0,0,0
2,0,0,0,0,0,0,0.0734476,0.0512343,0,0,0,0.0399578,0,0.0255849,0.0750902,0,0,0.0256167,0,0,0.031817,0.0749678,0.0256607,0.0327276,0.0141654,0.0571333,0.0574626,0.0713191,0.0894749,0.0963645,0.0763896,0.0455849,0.0465378,0.0435761,0.0458888,0.0358377,0.0266886,0.0230631,0.0276673,0.051292,0,0.024915,0.0820333,0.0231119,0,0,0.0143487,0,0,0.0363022,0.0632218,0.00908982,0.0496662,0.0175203,0.0684382,0.0594125,0.0648091,0.0958039,0.0823008,0.0460168,0.0612329,0.0311139,0.0447726,0.0787293,0.0172044,0.0204361,0.00995511,0.0213471,0.0259089,0.0378965,0,0,0,0
3,0,0,0,0,0,0,0.0734288,0.0512348,0,0,0,0.0398704,0,0.0255354,0.0751056,0,0,0.0255927,0,0,0.0318085,0.0749812,0.0259383,0.0328302,0.0140787,0.0571347,0.0574365,0.0713048,0.0893963,0.0964146,0.0763786,0.0455053,0.0464812,0.0434914,0.0458168,0.0364851,0.0266854,0.0230148,0.0276489,0.05123,0,0.0249109,0.0820551,0.0231194,0,0,0.0143843,0,0,0.0362998,0.0632338,0.00910069,0.0496447,0.017572,0.0684259,0.0594273,0.0647952,0.0957917,0.0823356,0.0460535,0.0612328,0.0310983,0.0447787,0.0787143,0.0172205,0.0204322,0.00996122,0.0213132,0.0259343,0.0378888,0,0,0,0
4,0,0,0,0,0,0,0.0734629,0.0512101,0,0,0,0.0399037,0,0.0255528,0.0750703,0,0,0.0256257,0,0,0.0317728,0.0749889,0.0258638,0.0328172,0.0140964,0.0571361,0.0574537,0.0713152,0.0894023,0.0963862,0.0763489,0.0455476,0.0464864,0.043517,0.0458534,0.0363057,0.0266749,0.02296,0.0276821,0.0512349,0,0.0249155,0.0820447,0.0231291,0,0,0.0143775,0,0,0.036341,0.0632235,0.00909643,0.0496373,0.0176617,0.0684373,0.0594506,0.0647975,0.0957852,0.0823286,0.0460464,0.0612359,0.0311629,0.0448037,0.0787138,0.017192,0.0204611,0.00997361,0.0212735,0.0259221,0.0379081,0,0,0,0
5,0,0,0,0,0,0,0.0734475,0.0512542,0,0,0,0.0399071,0,0.025544,0.0750916,0,0,0.0256332,0,0,0.0317764,0.0749934,0.0258614,0.0328357,0.0140882,0.0571317,0.0574124,0.0713208,0.0893703,0.0963718,0.0763386,0.0455355,0.0465104,0.0434951,0.0458224,0.0364794,0.026666,0.0229531,0.0276884,0.0511914,0,0.0249245,0.0820666,0.0232269,0,0,0.0143845,0,0,0.036334,0.0632225,0.00910449,0.0496392,0.017692,0.0684238,0.0594212,0.0648079,0.0957949,0.0823268,0.0460487,0.0612295,0.0311711,0.0447991,0.0787228,0.0172107,0.0204298,0.00996896,0.0213049,0.0259619,0.0379092,0,0,0,0
6,0,0,0,0,0,0,0.0734468,0.0512627,0,0,0,0.0399312,0,0.0255487,0.0750952,0,0,0.0256361,0,0,0.0317885,0.0750097,0.0257393,0.0328377,0.0141087,0.0571245,0.0573742,0.071341,0.0893872,0.0963693,0.0763375,0.0455396,0.0465178,0.0434823,0.0458033,0.0364152,0.0266544,0.0229972,0.0276748,0.0511794,0,0.0249461,0.0820582,0.0233112,0,0,0.014394,0,0,0.0363313,0.0632273,0.00911156,0.0496335,0.0177265,0.0684101,0.0594177,0.0648069,0.0957628,0.0823165,0.0460333,0.0612332,0.0311006,0.0447979,0.078744,0.0172054,0.0204314,0.0099791,0.0213544,0.0259646,0.037915,0,0,0,0
7,0,0,0,0,0,0,0.0734347,0.0512603,0,0,0,0.0399259,0,0.0255367,0.0751067,0,0,0.0256017,0,0,0.0317944,0.0750382,0.0258914,0.0328493,0.0141087,0.0571195,0.0573856,0.0713204,0.0893632,0.0963754,0.0763488,0.0455131,0.0465219,0.0434538,0.0457571,0.0366275,0.0266476,0.0229728,0.0276576,0.0511537,0,0.0249573,0.0820515,0.0233129,0,0,0.0144058,0,0,0.0363426,0.0632327,0.00913163,0.0496306,0.0177781,0.0683746,0.0594269,0.0648111,0.0957395,0.0823121,0.0460267,0.0612337,0.031066,0.0448084,0.0787612,0.0172267,0.0204199,0.00997002,0.0213566,0.0259946,0.0379026,0,0,0,0
8,0,0,0,0,0,0,0.0734674,0.0512183,0,0,0,0.0399356,0,0.02557,0.0750743,0,0,0.0255657,0,0,0.0317805,0.0750436,0.0259225,0.032823,0.0141365,0.0571185,0.0574106,0.0713131,0.0893889,0.0963681,0.0763652,0.0455556,0.0465317,0.043501,0.0457931,0.0364889,0.0266181,0.0229504,0.0276713,0.0511959,0,0.0249527,0.0820375,0.0232689,0,0,0.0144016,0,0,0.0363536,0.0632355,0.00910257,0.0496219,0.0177783,0.0683623,0.0594548,0.0648145,0.0957347,0.0822958,0.0460118,0.0612535,0.0310908,0.0448288,0.0787698,0.0172009,0.0204452,0.00998497,0.021345,0.025979,0.0379121,0,0,0,0
9,0,0,0,0,0,0,0.0734924,0.0511993,0,0,0,0.0398789,0,0.025589,0.0750716,0,0,0.025534,0,0,0.0318006,0.0750605,0.0262074,0.0327994,0.0141266,0.0570987,0.0573924,0.07131,0.0893605,0.0963491,0.0763355,0.0455687,0.0465468,0.0435435,0.0458401,0.0365969,0.0265903,0.0229435,0.0276598,0.0512028,0,0.0249551,0.0820356,0.0231928,0,0,0.014404,0,0,0.0363748,0.0632524,0.00907024,0.0496057,0.0177737,0.0683446,0.05949,0.0648032,0.0957534,0.0823042,0.0460056,0.0612785,0.031092,0.04484,0.0787786,0.0171901,0.0204605,0.00998308,0.021345,0.0259499,0.0379317,0,0,0,0
10,0,0,0,0,0,0,0.0734975,0.0512227,0,0,0,0.0398893,0,0.0256133,0.0750574,0,0,0.0255561,0,0,0.0317809,0.0750597,0.0261463,0.0328049,0.014124,0.0570754,0.057387,0.0713784,0.0893645,0.0963197,0.0763306,0.0455944,0.0465706,0.0435868,0.0458879,0.0363678,0.0265814,0.0229201,0.0276734,0.0512234,0,0.0249457,0.0820241,0.0233132,0,0,0.0144059,0,0,0.0363688,0.0632432,0.00904131,0.0496059,0.0178098,0.0683201,0.0594732,0.064792,0.0957566,0.0823065,0.0459755,0.0612976,0.0310999,0.0448467,0.0787846,0.017162,0.0204784,0.00998146,0.0213614,0.0259568,0.0379351,0,0,0,0
11,0,0,0,0,0,0,0.0734917,0.051235,0,0,0,0.0398846,0,0.0255902,0.0750598,0,0,0.0255243,0,0,0.0318183,0.0750715,0.0262232,0.0328301,0.0140941,0.0570574,0.0573825,0.0713502,0.089354,0.0963269,0.0763301,0.0455852,0.046585,0.0435703,0.0458672,0.0364901,0.0265636,0.0229166,0.0276507,0.0512492,0,0.0249228,0.0820132,0.0233054,0,0,0.0144166,0,0,0.0363946,0.0632353,0.00904942,0.0495998,0.017834,0.0682986,0.0594666,0.0647886,0.0957456,0.0823065,0.0459577,0.0612939,0.0310974,0.0448433,0.0787782,0.017146,0.0204833,0.00998257,0.0213677,0.0259659,0.037932,0,0,0,0
12,0,0,0,0,0,0,0.0735362,0.0511773,0,0,0,0.0399241,0,0.0255859,0.0750139,0,0,0.0255265,0,0,0.0318143,0.0750766,0.0260874,0.032806,0.0140647,0.057068,0.0573757,0.071312,0.0893682,0.0963313,0.0763043,0.0456233,0.0466139,0.0435871,0.0458694,0.0363099,0.0265584,0.0229204,0.0276469,0.0512951,0,0.0249082,0.082013,0.0231806,0,0,0.014416,0,0,0.0364394,0.0632309,0.0090446,0.0496076,0.0178492,0.0683109,0.0594993,0.0647893,0.0957424,0.0822903,0.0459416,0.0612902,0.0311001,0.0448355,0.0787933,0.0171375,0.0205147,0.0100042,0.0213745,0.0259184,0.0379479,0,0,0,0
13,0,0,0,0,0,0,0.0735264,0.0511783,0,0,0,0.0399105,0,0.0255825,0.0750281,0,0,0.0255254,0,0,0.0318044,0.0750829,0.0261568,0.0327962,0.014046,0.0570755,0.0573602,0.0712591,0.0893495,0.096335,0.0762914,0.0456266,0.046631,0.0435726,0.0458625,0.036402,0.0265647,0.0228987,0.0276381,0.0512977,0,0.0249143,0.0820367,0.0231716,0,0,0.0144252,0,0,0.0364823,0.063224,0.00904144,0.0495983,0.0178298,0.0682986,0.0594907,0.0647762,0.0957357,0.0822917,0.0459407,0.0612752,0.0311051,0.0448441,0.0788004,0.0171384,0.020521,0.0100024,0.0214016,0.0259153,0.0379456,0,0,0,0
14,0,0,0,0,0,0,0.0735081,0.0511817,0,0,0,0.0399294,0,0.0255893,0.0750079,0,0,0.0255419,0,0,0.0317784,0.0750825,0.0260487,0.0328037,0.0140207,0.0570811,0.0573535,0.0712799,0.0893671,0.0963163,0.0763088,0.045649,0.0466186,0.0436143,0.045882,0.0362206,0.0265629,0.0229184,0.027628,0.0513123,0,0.0249281,0.0820486,0.0232537,0,0,0.0144411,0,0,0.0364989,0.0632086,0.0090202,0.0495869,0.0178258,0.0683014,0.059469,0.0647687,0.0957385,0.0823024,0.0459336,0.0612625,0.0311018,0.0448514,0.0787916,0.0171354,0.0205133,0.0100149,0.0214331,0.0259348,0.0379405,0,0,0,0
15,0,0,0,0,0,0,0.0735274,0.051138,0,0,0,0.0399148,0,0.0255846,0.0750086,0,0,0.0255121,0,0,0.0317793,0.0750976,0.0261229,0.0328149,0.0139954,0.0570723,0.0573559,0.0713067,0.0893303,0.0963109,0.0763054,0.0456497,0.0465975,0.04363,0.0458619,0.0363195,0.0265589,0.0229476,0.0276204,0.0513135,0,0.0249273,0.0820402,0.0231636,0,0,0.0144407,0,0,0.0364815,0.063214,0.00900977,0.0495747,0.0178512,0.0682936,0.0594989,0.0647591,0.095747,0.0823123,0.0459454,0.0612689,0.0310903,0.0448434,0.078774,0.0171237,0.0205157,0.0100163,0.0214273,0.0259175,0.0379393,0,0,0,0
16,0,0,0,0,0,0,0.0735348,0.0511276,0,0,0,0.0399753,0,0.0255902,0.0749793,0,0,0.0255201,0,0,0.031781,0.0751015,0.0260151,0.0328004,0.0140181,0.057071,0.0573519,0.0713144,0.089352,0.096311,0.0763005,0.0456632,0.0465788,0.0436298,0.0458731,0.0361424,0.0265565,0.0229375,0.0276125,0.0513631,0,0.0249031,0.0820305,0.0231715,0,0,0.0144343,0,0,0.0364974,0.0632024,0.00901797,0.0495879,0.0178883,0.0683031,0.0595017,0.0647815,0.0957846,0.0822979,0.04593,0.0612757,0.0310768,0.0448127,0.0787518,0.0171388,0.0205172,0.0100318,0.0214189,0.0259331,0.037936,0,0,0,0
17,0,0,0,0,0,0,0.0735482,0.0511169,0,0,0,0.0399276,0,0.0256503,0.0749875,0,0,0.0255492,0,0,0.031752,0.0751028,0.0260614,0.0328016,0.0140143,0.0570639,0.0573588,0.0712513,0.0893414,0.0963159,0.0762778,0.0456804,0.0465906,0.0436521,0.045937,0.0361425,0.0265347,0.0229587,0.0276487,0.0512921,0,0.0249094,0.0820104,0.0232774,0,0,0.0144494,0,0,0.0364714,0.0632197,0.00897491,0.0495773,0.0178564,0.0682934,0.0595168,0.0647632,0.0957739,0.0823159,0.0459404,0.061296,0.0310861,0.0448385,0.0787831,0.017137,0.0205447,0.0100532,0.0214443,0.0259386,0.037945,0,0,0,0
18,0,0,0,0,0,0,0.073537,0.0511138,0,0,0,0.0399787,0,0.0256199,0.0749707,0,0,0.0255436,0,0,0.0317692,0.0751021,0.0260377,0.0328144,0.0140565,0.057082,0.0573288,0.0712846,0.0893663,0.096325,0.0763163,0.0456808,0.0465756,0.0436242,0.0459061,0.0360745,0.0265228,0.0229395,0.0276301,0.0513333,0,0.0248862,0.0820045,0.0232561,0,0,0.0144265,0,0,0.0364982,0.0631964,0.00900942,0.049579,0.0178461,0.0683056,0.0595237,0.0647831,0.0957879,0.0822887,0.0459196,0.0612818,0.0310969,0.0448329,0.078768,0.0171806,0.0205385,0.0100452,0.0214465,0.0259359,0.0379342,0,0,0,0
19,0,0,0,0,0,0,0.0735056,0.0511529,0,0,0,0.0399455,0,0.025607,0.0749667,0,0,0.0255239,0,0,0.0317796,0.0751085,0.0261394,0.0328351,0.0140481,0.0570919,0.0572919,0.0713222,0.0893543,0.0963062,0.0763098,0.0456605,0.0465793,0.0436071,0.0458696,0.0362267,0.0265262,0.022945,0.0276175,0.0513451,0,0.0248946,0.0820286,0.0233592,0,0,0.0144293,0,0,0.0365039,0.0631947,0.00902316,0.0495574,0.0178268,0.0682871,0.059496,0.064783,0.0957901,0.0822854,0.0459153,0.0612839,0.031098,0.0448391,0.0787649,0.0171889,0.0205143,0.0100177,0.0214708,0.02596,0.0379114,0,0,0,0
20,0,0,0,0,0,0,0.0734975,0.0511628,0,0,0,0.0399701,0,0.0256325,0.0749263,0,0,0.0255614,0,0,0.0317489,0.0751102,0.0259822,0.0328139,0.0140558,0.0570987,0.0572995,0.0713535,0.0893889,0.0962914,0.0762727,0.0456651,0.0465869,0.0436492,0.0458975,0.0359829,0.0265322,0.0229656,0.027606,0.0513531,0,0.0248917,0.0820285,0.0234448,0,0,0.014445,0,0,0.0365318,0.0631951,0.00901832,0.0495577,0.0178574,0.0682976,0.0594653,0.0647883,0.0957954,0.0822695,0.0459034,0.0612809,0.0310969,0.0448343,0.0787702,0.0171695,0.0205164,0.0100265,0.021495,0.0259578,0.0379199,0,0,0,0
21,0,0,0,0,0,0,0.0734875,0.0511799,0,0,0,0.0399618,0,0.0256361,0.0749127,0,0,0.0255808,0,0,0.0317285,0.0751336,0.0260227,0.0328086,0.0140653,0.0571004,0.0573043,0.0713349,0.0893708,0.0962766,0.0762571,0.0456625,0.0465974,0.0436552,0.0459239,0.0359991,0.0265343,0.022943,0.0275722,0.0513516,0,0.0248937,0.0820263,0.0234526,0,0,0.0144577,0,0,0.0365291,0.0631992,0.0090133,0.049555,0.0178794,0.0682949,0.0594626,0.0647848,0.0957836,0.0822567,0.0458928,0.0612665,0.0310927,0.0448331,0.0787685,0.0171696,0.0205202,0.0100372,0.0214914,0.0259662,0.0379253,0,0,0,0
22,0,0,0,0,0,0,0.0734783,0.0511841,0,0,0,0.0400085,0,0.0256404,0.074891,0,0,0.0255744,0,0,0.0317,0.0751409,0.0258957,0.0327877,0.0141236,0.0571164,0.0573178,0.0713254,0.0894135,0.0962765,0.0762612,0.0456952,0.0466042,0.0436652,0.0459468,0.0357644,0.0265178,0.022866,0.0275619,0.0513845,0,0.024879,0.0820148,0.0234494,0,0,0.0144715,0,0,0.0365093,0.0631742,0.0090162,0.0495629,0.0178947,0.0683072,0.0594656,0.0647869,0.0957785,0.082245,0.0458705,0.0612738,0.0311001,0.0448283,0.0787547,0.0171863,0.0205096,0.0100063,0.0214744,0.0259572,0.0379197,0,0,0,0
23,0,0,0,0,0,0,0.0735074,0.0511645,0,0,0,0.039956,0,0.0256933,0.0748939,0,0,0.0254383,0,0,0.0316353,0.0751559,0.0258777,0.0327464,0.014158,0.0571071,0.057428,0.0712684,0.0894078,0.0962637,0.0762429,0.0457154,0.0466197,0.0437044,0.0459846,0.0357154,0.0264161,0.0226609,0.0276483,0.0512894,0,0.0249063,0.0819576,0.0234822,0,0,0.0146887,0,0,0.0364458,0.0632087,0.00895403,0.0495313,0.017772,0.0683071,0.0595057,0.0647393,0.0957492,0.0822492,0.0458789,0.0613061,0.0311156,0.044862,0.0787889,0.0171723,0.0204863,0.0100277,0.0213906,0.0259257,0.0379328,0,0,0,0
24,0,0,0,0,0,0,0.0735243,0.0511741,0,0,0,0.0400696,0,0.02569,0.0748612,0,0,0.0250394,0,0,0.0315009,0.0751512,0.0255223,0.0327375,0.0142031,0.05709,0.0577299,0.0712846,0.089444,0.0962568,0.0762656,0.045739,0.0466332,0.043708,0.0459672,0.0353231,0.0261914,0.0219452,0.0278375,0.0513182,0,0.0248989,0.0819482,0.023545,0,0,0.0150892,0,0,0.0364011,0.0632302,0.00896896,0.0495021,0.0175636,0.0682948,0.059534,0.0647219,0.0957208,0.082196,0.0458457,0.0613161,0.0311423,0.0448803,0.078802,0.0171964,0.0203827,0.0102709,0.0210443,0.0259225,0.0379149,0,0,0,0
25,0,0,0,0,0,0,0.073625,0.0511036,0,0,0,0.0400761,0,0.0257348,0.0752583,0,0,0.0243677,0,0,0.0308124,0.0751255,0.0252352,0.032857,0.0141689,0.0565579,0.0587641,0.0713382,0.0894766,0.0962617,0.0762781,0.0457649,0.0466471,0.0437215,0.0459902,0.0350928,0.0255719,0.019663,0.0286447,0.0512563,0,0.0248957,0.0823102,0.0234115,0,0,0.0160212,0,0,0.0360856,0.0632603,0.00907415,0.0495175,0.0173593,0.0677965,0.0597722,0.0646763,0.0956958,0.0822142,0.0458372,0.0613532,0.0311781,0.0449125,0.0788137,0.0172837,0.0202994,0.0110568,0.0206414,0.0257464,0.0375918,0,0,0,0
