Timestep,BBL,BBR,BFBL,BFBR,BFTL,BFTR,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72,x73
761,0,0,0,0,0,0,0.0751298,0.0483732,0,0,0,0.0370477,0,0.0246309,0.0732556,0,0,0.0144534,0,0,0.0351395,0.0686494,0.0317218,0.039227,0.0156481,0.0745089,0.061582,0.063146,0.0812461,0.0840503,0.064818,0.0441253,0.0450534,0.0420106,0.0442062,0.0422194,0.0232163,0.00933034,0.0234261,0.0425242,0,0.0244206,0.0747028,0.0281881,0,0,0.0136953,0,0,0.0377703,0.056302,0.0239313,0.051932,0.0196587,0.0817649,0.0636756,0.0594853,0.0894294,0.0706681,0.0416466,0.0662712,0.0380876,0.0466317,0.0791847,0.0283215,0.0228008,0.0114471,0.0214372,0.0292008,0.0369942,0,0,0,0
762,0,0,0,0,0,0,0.0751986,0.0483304,0,0,0,0.037038,0,0.0246273,0.0732305,0,0,0.0144213,0,0,0.0351157,0.068667,0.0317204,0.0392361,0.0156635,0.0745229,0.061487,0.0631647,0.0812248,0.0840434,0.0648418,0.0441049,0.0450376,0.042057,0.044195,0.0421981,0.0231469,0.00929499,0.0233903,0.0425255,0,0.0244012,0.0746506,0.0282424,0,0,0.0136821,0,0,0.0377178,0.0563245,0.0239031,0.0518413,0.0196694,0.081734,0.0636512,0.0594796,0.0894394,0.0706338,0.041649,0.0663415,0.0381176,0.046639,0.0791357,0.0283664,0.0227929,0.0114196,0.0214034,0.0291615,0.0370613,0,0,0,0
763,0,0,0,0,0,0,0.0752556,0.048272,0,0,0,0.0370046,0,0.0246511,0.0731875,0,0,0.0143554,0,0,0.0350954,0.0686833,0.0317403,0.0392544,0.0157111,0.074521,0.0613932,0.0632235,0.0812122,0.084047,0.0648632,0.0441037,0.0450364,0.0420618,0.044209,0.042187,0.0230699,0.00929461,0.0233828,0.0425233,0,0.0243865,0.074573,0.0283141,0,0,0.013655,0,0,0.0376629,0.0563704,0.0238219,0.051723,0.0196742,0.0816878,0.0636232,0.0594415,0.0894081,0.0706074,0.0416387,0.0663413,0.0381609,0.0466713,0.0789862,0.0283886,0.0227889,0.0113669,0.021428,0.0291221,0.0371152,0,0,0,0
764,0,0,0,0,0,0,0.0752952,0.0482207,0,0,0,0.0369728,0,0.0246694,0.0731836,0,0,0.0143065,0,0,0.0351137,0.0686973,0.0317354,0.0392796,0.0157971,0.074519,0.0612984,0.0632393,0.081227,0.0840667,0.0648918,0.0440998,0.0450253,0.0420073,0.0442114,0.0421782,0.0229895,0.00928577,0.0233981,0.0425256,0,0.0243489,0.0744871,0.0283754,0,0,0.013646,0,0,0.0376389,0.0564143,0.0237556,0.0516177,0.0196831,0.08164,0.0635926,0.0593972,0.0893776,0.0705714,0.0416001,0.0663448,0.0381898,0.04669,0.0789367,0.0284073,0.0227799,0.0113405,0.0214569,0.0290766,0.0371678,0,0,0,0
765,0,0,0,0,0,0,0.0753286,0.0481748,0,0,0,0.0369716,0,0.0246674,0.0731883,0,0,0.0142911,0,0,0.0351123,0.0687071,0.0316782,0.0393059,0.0158393,0.0745819,0.0612148,0.0632432,0.0812428,0.0840677,0.0649134,0.0440979,0.0450127,0.0419451,0.0442062,0.0421729,0.0229299,0.00927295,0.0234083,0.0425513,0,0.0243115,0.0744057,0.0284144,0,0,0.0136454,0,0,0.0375975,0.056441,0.0237185,0.0515369,0.0197012,0.0816255,0.0635617,0.059374,0.0893528,0.0705351,0.0415372,0.066364,0.0381987,0.0467059,0.0790086,0.0284086,0.0227629,0.0113107,0.0214374,0.0290106,0.0372279,0,0,0,0
766,0,0,0,0,0,0,0.0753488,0.0481484,0,0,0,0.0370187,0,0.0246304,0.0731601,0,0,0.0142696,0,0,0.0350896,0.0687341,0.0316633,0.0393505,0.0158029,0.0746856,0.0611373,0.0632765,0.0812602,0.0840708,0.0649542,0.0440688,0.0450045,0.0419611,0.044157,0.0422207,0.0228806,0.00922062,0.0233734,0.0426335,0,0.024258,0.0743654,0.0284397,0,0,0.0136442,0,0,0.0375961,0.0564291,0.0237285,0.0514792,0.0197186,0.0816378,0.0635178,0.0593619,0.0893642,0.0705046,0.0414503,0.0663504,0.0382145,0.046691,0.0791272,0.0283964,0.0226948,0.0112355,0.0214367,0.0289775,0.0372888,0,0,0,0
767,0,0,0,0,0,0,0.0754116,0.0480785,0,0,0,0.0369955,0,0.024649,0.0731221,0,0,0.0142824,0,0,0.035032,0.0687644,0.0316536,0.0394034,0.0157186,0.0747771,0.0610756,0.0632804,0.081281,0.0840862,0.0649891,0.0440803,0.0450195,0.0419984,0.044176,0.042243,0.0228095,0.00920959,0.0233712,0.0426743,0,0.024219,0.0743114,0.028497,0,0,0.0136217,0,0,0.0375941,0.0564291,0.0236592,0.0514187,0.0197157,0.0816747,0.0634823,0.0593239,0.0893676,0.0705101,0.0413892,0.066355,0.038228,0.0466813,0.0791387,0.028406,0.022636,0.0111961,0.0214668,0.0289665,0.0373675,0,0,0,0
768,0,0,0,0,0,0,0.0754876,0.0479991,0,0,0,0.0369567,0,0.0246715,0.073096,0,0,0.0143035,0,0,0.0349625,0.0687973,0.0316568,0.0394575,0.0157151,0.0748412,0.0610376,0.0632411,0.0812936,0.0841153,0.0650247,0.0440845,0.0450228,0.0419618,0.0442024,0.0422252,0.0227327,0.00919836,0.0233774,0.0426765,0,0.0242003,0.07426,0.0285514,0,0,0.013592,0,0,0.03761,0.05643,0.0235739,0.0513506,0.019712,0.0817232,0.0634489,0.059303,0.0893459,0.0705182,0.0413392,0.0663795,0.038242,0.0467006,0.0789984,0.028413,0.0226033,0.0111589,0.021507,0.0290173,0.0374597,0,0,0,0
769,0,0,0,0,0,0,0.0754838,0.0485834,0,0,0,0.0370571,0,0.024626,0.0731362,0,0,0.0151479,0,0,0.0347293,0.0689325,0.0313057,0.0393795,0.0158878,0.0744904,0.0630281,0.0631747,0.0812756,0.0840399,0.0649906,0.0441745,0.0450816,0.0419093,0.044222,0.041747,0.0212256,0.0152038,0.0205626,0.0426919,0,0.0241771,0.0742959,0.0298288,0,0,0.0241555,0,0,0.0356111,0.056572,0.0234417,0.0510641,0.0198142,0.0813521,0.0632519,0.0591745,0.089234,0.0704257,0.0412236,0.0665216,0.0383899,0.0468279,0.0790531,0.0284108,0.0211563,0.0161048,0.0204167,0.0293295,0.0372533,0,0,0,0
770,0,0,0,0,0,0,0.0755843,0.0479095,0,0,0,0.0369453,0,0.0246572,0.0730992,0,0,0.014396,0,0,0.0347681,0.0689157,0.0316107,0.0395491,0.0158452,0.0749458,0.0610437,0.0631984,0.0812729,0.0841346,0.0650186,0.04408,0.0450296,0.0417854,0.044185,0.0421412,0.0225643,0.00929204,0.0231339,0.0427051,0,0.0241384,0.0741617,0.0286301,0,0,0.0135468,0,0,0.0376876,0.0564763,0.0234595,0.0512364,0.0197104,0.0817721,0.0633481,0.059275,0.0893356,0.0705342,0.0413218,0.0663991,0.0382837,0.0467179,0.0790095,0.028441,0.0226215,0.011077,0.0216165,0.0290101,0.0375799,0,0,0,0
