Timestep,BBL,BBR,BFBL,BFBR,BFTL,BFTR,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72,x73,LASI,,RASI
33,0,0,0,0,0,0,0.0672202,0.0521022,0,0,0,0.0245059,0,0.0325162,0,0,0.0254801,0,0,0.0258533,0.0645907,0.0331209,0.055128,0.0218973,0.0931213,0.0610831,0.064467,0.0823333,0.0874735,0.0769829,0.0389164,0.0369742,0.0344979,0.0378138,0.0457422,0.0176932,0.00686029,0.0189924,0.0456639,0,0.0255654,0.0293005,0,0,0.0218805,0,0,0.0342084,0.0563392,0.031024,0.0642684,0.0220053,0.0981205,0.0716471,0.0562388,0.0897469,0.0716235,0.0506839,0.0696268,0.042867,0.050336,0.0835827,0.0272624,0.0235009,0.0108381,0.0196086,0.0314192,0.0268678,0,0,0,0,0,0,0
34,0,0,0,0,0,0,0.0670409,0.0521231,0,0,0,0.0248996,0,0.0323813,0,0,0.025427,0,0,0.0259281,0.0645027,0.0327838,0.0558963,0.0216725,0.0939453,0.0611314,0.0641547,0.0822182,0.0873845,0.0772835,0.0390425,0.0370972,0.0346289,0.0379532,0.0447959,0.0177021,0.00685712,0.0189178,0.0455154,0,0.0254826,0.0292913,0,0,0.0218984,0,0,0.0342672,0.0568327,0.0310634,0.0640764,0.022239,0.0985885,0.0717491,0.0561826,0.0899475,0.0717294,0.0509656,0.0695179,0.0428117,0.050186,0.0833868,0.0275214,0.0235573,0.0108382,0.0195615,0.0316714,0.0266949,0,0,0,0,0,0,0
35,0,0,0,0,0,0,0.0668964,0.0521147,0,0,0,0.0254305,0,0.0321327,0,0,0.025408,0,0,0.0259941,0.0643424,0.032406,0.0567164,0.0213605,0.0948247,0.061233,0.0636437,0.0820771,0.0873303,0.0774995,0.0392404,0.0372002,0.0347922,0.0381524,0.0437648,0.0177491,0.00683873,0.0189197,0.0453103,0,0.025483,0.0292272,0,0,0.0218578,0,0,0.0342495,0.0573548,0.0311851,0.0639059,0.0225193,0.0991018,0.0718301,0.0560187,0.090145,0.0718477,0.0512799,0.0693488,0.0427148,0.049982,0.0831155,0.0278909,0.0235285,0.0108079,0.0195024,0.0319438,0.0265344,0,0,0,0,0,0,0
36,0,0,0,0,0,0,0.0667924,0.0520712,0,0,0,0.0259769,0,0.0319017,0,0,0.025406,0,0,0.0260581,0.0641384,0.0320035,0.0575835,0.0210321,0.0957284,0.0612638,0.0631011,0.081837,0.0871915,0.0775388,0.0395103,0.0373258,0.0350475,0.0384455,0.0426744,0.0178673,0.00684809,0.0188453,0.0450029,0,0.0254309,0.0291468,0,0,0.0217978,0,0,0.0342114,0.0579125,0.0313469,0.0637537,0.0228755,0.0996239,0.0718778,0.0557649,0.0902798,0.0719432,0.0515924,0.0691143,0.0425597,0.0497537,0.0827839,0.0283524,0.0234329,0.010739,0.0194488,0.0322685,0.0264273,0,0,0,0,0,0,0
37,0,0,0,0,0,0,0.0667185,0.0519682,0,0,0,0.0266614,0,0.0316388,0,0,0.0253973,0,0,0.0261116,0.0639139,0.0314742,0.0584645,0.0205878,0.0966389,0.0612607,0.0625543,0.0815269,0.0869406,0.077402,0.0398248,0.037509,0.035356,0.0388063,0.0414334,0.0180256,0.00682691,0.0187924,0.0446124,0,0.025447,0.0290875,0,0,0.0217377,0,0,0.0341399,0.0584965,0.0316459,0.0636059,0.0233757,0.100163,0.0719012,0.0554531,0.0903232,0.0719986,0.0518314,0.0688126,0.0423718,0.0494657,0.0824183,0.0289402,0.0232963,0.0106294,0.0193956,0.0326306,0.0263692,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0.0666421,0.0518287,0,0,0,0.0278331,0,0.0311874,0,0,0.0253889,0,0,0.0261483,0.0636776,0.0306116,0.0593238,0.0199583,0.0975357,0.0612612,0.0619342,0.0812219,0.0865585,0.0771363,0.0401013,0.0376827,0.0355766,0.0392008,0.039736,0.0181915,0.00681669,0.0187503,0.0441466,0,0.0255026,0.0291237,0,0,0.0217067,0,0,0.0340815,0.0591365,0.0321041,0.0634076,0.0240359,0.1007,0.0719394,0.0551013,0.0902906,0.0719734,0.0519586,0.0684789,0.0421597,0.0491218,0.0820148,0.0296551,0.023141,0.0106434,0.0192781,0.0330573,0.0263401,0,0,0,0,0,0,0
39,0,0,0,0,0,0,0.0665611,0.0517033,0,0,0,0.0300632,0,0.0303805,0,0,0.0253575,0,0,0.0261355,0.0634114,0.0290083,0.0600096,0.0185999,0.0983613,0.0612614,0.0612309,0.0812634,0.0860056,0.0766246,0.0404016,0.0378515,0.0359805,0.040059,0.0369918,0.018391,0.00678237,0.0187916,0.0436764,0,0.0255865,0.0292659,0,0,0.0217096,0,0,0.0339923,0.0598738,0.0326934,0.0632579,0.0248004,0.101223,0.0720358,0.0545947,0.0900858,0.0718516,0.0519442,0.0681541,0.0418953,0.0487358,0.0815907,0.0303801,0.0230252,0.0106615,0.0191646,0.033535,0.0263875,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0.0665112,0.0515198,0,0,0,0.0317497,0,0.0297647,0,0,0.025305,0,0,0.0261283,0.0632376,0.027822,0.0607254,0.017671,0.099138,0.0612688,0.0605521,0.0810958,0.0854406,0.0760817,0.0406885,0.0380147,0.0363448,0.040733,0.0350603,0.0185848,0.0067355,0.0188124,0.0432561,0,0.0256434,0.0293366,0,0,0.0216948,0,0,0.0338651,0.0606727,0.0334222,0.0630778,0.0255141,0.101637,0.0721257,0.0540255,0.0897083,0.0716788,0.051853,0.0677802,0.0415822,0.0482927,0.0810696,0.0311742,0.0229126,0.0106123,0.019043,0.0340593,0.0264293,0,0,0,0,0,0,0
41,0,0,0,0,0,0,0.0664249,0.0513472,0,0,0,0.0330222,0,0.0293029,0,0,0.0252832,0,0,0.0261184,0.0631307,0.0270206,0.0614633,0.017037,0.0999054,0.0612847,0.0599546,0.0808044,0.0849108,0.0755414,0.0409437,0.0381563,0.036718,0.0412243,0.0336138,0.0187362,0.00673808,0.018715,0.0427096,0,0.0258626,0.0293343,0,0,0.0216215,0,0,0.0336723,0.0614516,0.0341554,0.0629038,0.02606,0.102006,0.0721483,0.0534814,0.0892168,0.0714775,0.0517831,0.0673954,0.0412183,0.0478337,0.0805274,0.0319355,0.022751,0.0105701,0.0188626,0.0347134,0.0264534,0,0,0,0,0,0,0
42,0,0,0,0,0,0,0.0664236,0.0511357,0,0,0,0.0343692,0,0.0287541,0,0,0.0253162,0,0,0.0261499,0.0631131,0.0261367,0.062165,0.0164829,0.100608,0.0614035,0.0594364,0.0805586,0.0843712,0.0750235,0.0412276,0.0383563,0.0370354,0.0417252,0.0322986,0.0188526,0.00670481,0.0185943,0.0421904,0,0.0261974,0.0292731,0,0,0.0215798,0,0,0.03349,0.0620374,0.0348977,0.062686,0.0264791,0.102318,0.0720847,0.0530879,0.0887392,0.071287,0.0516411,0.0668336,0.0407526,0.0473138,0.0799262,0.0325814,0.0225844,0.0104728,0.0186657,0.0354116,0.0265558,0,0,0,0,0,0,0
