Timestep,BBL,BBR,BFBL,BFBR,BFTL,BFTR,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72,x73,LASI,,RASI
102,0,0,0,0,0,0,0.0691882,0.059846,0,0,0,0.0463449,0,0.0347433,0,0,0.0270933,0,0,0.0250542,0.0862142,0.0374441,0.0912915,0.033967,0.151214,0.0828702,0.0636943,0.065086,0.0668061,0.0726844,0.0281334,0.021563,0.0337654,0.0457843,0.0231892,0.0297194,0.00499361,0.015905,0.0197795,0,0.0477155,0.0268098,0,0,0.0238118,0,0,0.0300047,0.0369949,0.0566712,0.058141,0.0396617,0.141008,0.0770073,0.0393404,0.0606465,0.0506082,0.0355118,0.038457,0.018221,0.0208693,0.0535885,0.0399554,0.0167458,0.00807497,0.0133104,0.0546468,0.0319299,0,0,0,0,0.16423,0,0
103,0,0,0,0,0,0,0.0691466,0.0596146,0,0,0,0.0461879,0,0.0348861,0,0,0.0270149,0,0,0.0250494,0.0861533,0.0375222,0.0912484,0.0338946,0.151523,0.0832074,0.0637077,0.0651505,0.0668667,0.072601,0.0279751,0.0214044,0.0335411,0.0456786,0.0230827,0.0295988,0.0049744,0.0157383,0.0196466,0,0.0479208,0.0268796,0,0,0.0237938,0,0,0.0298765,0.0369054,0.0567316,0.0581847,0.0397506,0.141374,0.0770086,0.0393305,0.0605167,0.0505408,0.0354902,0.0384613,0.0182597,0.0208647,0.0535743,0.0399908,0.0169603,0.00803319,0.0132617,0.054954,0.0319264,0,0,0,0,0.164188,0,0
104,0,0,0,0,0,0,0.0691239,0.0594541,0,0,0,0.046165,0,0.0350294,0,0,0.0268952,0,0,0.0250266,0.0860467,0.0375971,0.091274,0.0338604,0.151818,0.0835479,0.0637438,0.0652168,0.0669373,0.072655,0.0278453,0.0212622,0.0334393,0.0456321,0.023012,0.0294865,0.00495443,0.0155576,0.019441,0,0.0480345,0.0269618,0,0,0.023869,0,0,0.0297444,0.0369599,0.0566709,0.0582424,0.0398375,0.141741,0.0770931,0.0393589,0.0603737,0.0505497,0.0354612,0.038441,0.0183839,0.0208002,0.053522,0.0400276,0.0172178,0.00799648,0.0132565,0.0552697,0.0318896,0,0,0,0,0.164228,0,0
105,0,0,0,0,0,0,0.0691334,0.0593193,0,0,0,0.0462097,0,0.0351894,0,0,0.0268401,0,0,0.0250018,0.085905,0.0377151,0.0913748,0.0338754,0.15213,0.0838075,0.0637985,0.0653075,0.0670212,0.0728276,0.0277532,0.0211267,0.0334409,0.0456185,0.0229789,0.0294291,0.00490386,0.0155481,0.0192056,0,0.0481162,0.0270547,0,0,0.0239557,0,0,0.0296632,0.0369127,0.0565772,0.0582761,0.0398797,0.142071,0.077269,0.0393523,0.0602799,0.0506224,0.0354007,0.0384032,0.0185432,0.0207394,0.0534834,0.0399849,0.0174089,0.0078776,0.0132439,0.055419,0.0318078,0,0,0,0,0.164246,0,0
106,0,0,0,0,0,0,0.0691568,0.059165,0,0,0,0.0461707,0,0.0353509,0,0,0.0268336,0,0,0.0249793,0.0857456,0.0378929,0.0914809,0.0339164,0.152503,0.0839677,0.06388,0.0654132,0.0670551,0.0729918,0.0276671,0.0210112,0.0335144,0.0456071,0.0229599,0.0294667,0.00486319,0.0155629,0.0190362,0,0.0482176,0.0271391,0,0,0.0240747,0,0,0.0296084,0.0367086,0.0565552,0.0582862,0.0397526,0.142344,0.0775486,0.0391565,0.0602719,0.0507129,0.0352896,0.0383849,0.018672,0.0207208,0.0534982,0.0398342,0.0174661,0.00776217,0.0132133,0.0552174,0.0317145,0,0,0,0,0.164206,0,0
107,0,0,0,0,0,0,0.0691592,0.0590695,0,0,0,0.0460043,0,0.0354725,0,0,0.0267919,0,0,0.0249049,0.0857436,0.0381675,0.0915972,0.0339747,0.152949,0.0841117,0.0639771,0.0654643,0.0669849,0.0730158,0.027635,0.0209951,0.0335642,0.0456347,0.0229428,0.0296735,0.00485366,0.015536,0.0190209,0,0.0483258,0.0271335,0,0,0.024069,0,0,0.0295585,0.0365108,0.0565384,0.0582384,0.0396755,0.142514,0.0778312,0.0386757,0.0602708,0.0507392,0.0351735,0.0384011,0.0187426,0.0207243,0.0535324,0.0395665,0.0174266,0.00776154,0.0131117,0.0547822,0.0316775,0,0,0,0,0.164028,0,0
108,0,0,0,0,0,0,0.0691832,0.0589907,0,0,0,0.0457345,0,0.0355416,0,0,0.0268093,0,0,0.0248446,0.0859436,0.0385744,0.0916415,0.0339742,0.153381,0.0842286,0.0640931,0.065516,0.0669329,0.0729355,0.0276565,0.0210103,0.0336244,0.0456659,0.0229332,0.0299959,0.00483674,0.0155191,0.0191109,0,0.0484306,0.0270892,0,0,0.0240333,0,0,0.0294677,0.0362342,0.0565464,0.0582326,0.0397129,0.14266,0.0778564,0.0383682,0.0602457,0.0507021,0.0352069,0.0384144,0.0187687,0.0207191,0.0535531,0.0392446,0.0173364,0.00775073,0.0130126,0.0543234,0.0317174,0,0,0,0,0.163743,0,0
109,0,0,0,0,0,0,0.0691746,0.0589673,0,0,0,0.0455298,0,0.0356451,0,0,0.0268808,0,0,0.0248179,0.0861521,0.038756,0.0916458,0.0338897,0.153752,0.0843905,0.0641891,0.0655205,0.0669375,0.0728104,0.0276151,0.0209446,0.0336023,0.0456113,0.0229449,0.0303261,0.00484693,0.0155136,0.0191476,0,0.0485233,0.027023,0,0,0.0240662,0,0,0.0294189,0.0359594,0.0565925,0.0582615,0.0398189,0.14287,0.0778892,0.0382232,0.0601422,0.0506094,0.0352863,0.0384251,0.0187737,0.0207189,0.0535557,0.0390194,0.0172898,0.00771805,0.0129361,0.0540401,0.0318107,0,0,0,0,0.163468,0,0
110,0,0,0,0,0,0,0.0691412,0.0590415,0,0,0,0.0455221,0,0.0357792,0,0,0.0269443,0,0,0.0247647,0.0862519,0.0386367,0.0916358,0.0337799,0.154038,0.0845891,0.0642449,0.0654679,0.0669807,0.0726742,0.0273464,0.0208409,0.033493,0.0455092,0.0228871,0.0305404,0.00487914,0.015437,0.0190944,0,0.048584,0.0269706,0,0,0.0242095,0,0,0.0294627,0.0358514,0.0566261,0.0582829,0.0399524,0.143136,0.0779612,0.0382652,0.0599466,0.0504784,0.0353736,0.0384451,0.0188285,0.0207149,0.0535527,0.0389938,0.0173189,0.0077046,0.0129375,0.0540053,0.0318785,0,0,0,0,0.163313,0,0
111,0,0,0,0,0,0,0.0691568,0.0591874,0,0,0,0.0455113,0,0.0359041,0,0,0.0270219,0,0,0.0247169,0.0862183,0.0386032,0.0915851,0.0336763,0.154255,0.0847241,0.0642752,0.0653538,0.0670845,0.0726062,0.0268908,0.0207528,0.0334107,0.0454448,0.0228218,0.030607,0.0048296,0.0153051,0.0189148,0,0.0485962,0.0270324,0,0,0.0243399,0,0,0.0294612,0.0358541,0.0566164,0.0583412,0.0400305,0.143476,0.0780125,0.0383743,0.0598734,0.0504086,0.0354186,0.0384404,0.0189331,0.0206804,0.0535295,0.039173,0.0174973,0.00770562,0.0129714,0.0542116,0.0318772,0,0,0,0,0.163317,0,0
112,0,0,0,0,0,0,0.0691714,0.0594074,0,0,0,0.0455122,0,0.036007,0,0,0.0270613,0,0,0.024716,0.0861465,0.038684,0.0915612,0.0336589,0.154463,0.0847999,0.0643051,0.0653249,0.0671324,0.072641,0.0266596,0.0206822,0.0333795,0.0454377,0.022801,0.0305977,0.00481492,0.0151502,0.0186811,0,0.0485556,0.0271817,0,0,0.0244329,0,0,0.0293299,0.0359773,0.0565412,0.0583564,0.0400458,0.143828,0.0780885,0.0382444,0.0597919,0.0504299,0.0353446,0.0384485,0.0191063,0.0206771,0.0535033,0.0394276,0.0177268,0.0077542,0.0129657,0.0546218,0.0317919,0,0,0,0,0.163448,0,0
113,0,0,0,0,0,0,0.0692218,0.0596114,0,0,0,0.0455343,0,0.036092,0,0,0.027045,0,0,0.0247224,0.0860655,0.0387859,0.0915806,0.0336353,0.154659,0.0847798,0.0643912,0.0653772,0.067194,0.0728024,0.0265886,0.0206051,0.0333503,0.045439,0.0228034,0.0304823,0.004801,0.0151263,0.0184766,0,0.0485254,0.0273923,0,0,0.0244521,0,0,0.0291503,0.0361009,0.0564885,0.0583664,0.0400461,0.144152,0.0782235,0.0382422,0.0597195,0.0504921,0.0352202,0.0384722,0.0192961,0.0206873,0.0535105,0.039745,0.0178803,0.00773013,0.0129128,0.0549856,0.0316601,0,0,0,0,0.163551,0,0
114,0,0,0,0,0,0,0.0692599,0.0597759,0,0,0,0.0456252,0,0.0361775,0,0,0.0269621,0,0,0.0247541,0.0859763,0.038882,0.091606,0.033607,0.154837,0.0847657,0.0644479,0.065444,0.0672569,0.0729719,0.0267012,0.0205506,0.0333314,0.0454496,0.0227989,0.0303291,0.00479172,0.015118,0.0182994,0,0.0484926,0.0275602,0,0,0.0244232,0,0,0.0289202,0.0361723,0.0565222,0.0583481,0.0400742,0.144438,0.0782993,0.0380967,0.0596705,0.0505118,0.0351735,0.0385198,0.0194636,0.0207259,0.0535394,0.0399956,0.0178867,0.00764536,0.0129251,0.055128,0.0315155,0,0,0,0,0.163565,0,0
115,0,0,0,0,0,0,0.069299,0.0598922,0,0,0,0.0456979,0,0.0362698,0,0,0.0269084,0,0,0.0248345,0.085901,0.0390061,0.091612,0.0335229,0.155073,0.0847902,0.0645042,0.0655135,0.0673376,0.0730609,0.0269758,0.0205078,0.0333359,0.0454389,0.0227973,0.0301199,0.00481512,0.0150661,0.0181716,0,0.0485034,0.0276746,0,0,0.0244005,0,0,0.0291026,0.0361439,0.0565859,0.0583521,0.0401029,0.1447,0.0782887,0.0381785,0.0595923,0.0505088,0.0351132,0.0385676,0.0195711,0.0207774,0.0535706,0.0401172,0.0177741,0.00755869,0.0129574,0.0550437,0.0314349,0,0,0,0,0.163488,0,0
116,0,0,0,0,0,0,0.0692865,0.0600666,0,0,0,0.0457533,0,0.0363392,0,0,0.0268261,0,0,0.0248719,0.0858998,0.0390999,0.0916109,0.0334591,0.155345,0.0848793,0.0645132,0.0655166,0.0673558,0.0730359,0.026992,0.0205074,0.0333475,0.0454228,0.0227545,0.029944,0.00481363,0.0149892,0.018129,0,0.0485377,0.0277097,0,0,0.0244131,0,0,0.0292512,0.0360916,0.0566295,0.0583438,0.0401441,0.144918,0.0783763,0.0381801,0.0595162,0.050488,0.0350506,0.0386041,0.0196458,0.0208337,0.0536131,0.04013,0.0175794,0.00755276,0.0129248,0.0549478,0.0314086,0,0,0,0,0.163396,0,0
117,0,0,0,0,0,0,0.0692167,0.0602812,0,0,0,0.0457864,0,0.0363804,0,0,0.0267989,0,0,0.0248366,0.0859426,0.0391616,0.0916663,0.0334206,0.155644,0.0850179,0.064512,0.0654965,0.067345,0.0729922,0.0267181,0.0205142,0.0333114,0.0453996,0.0226735,0.0298952,0.00482571,0.0149794,0.0181339,0,0.0485916,0.0277038,0,0,0.0243775,0,0,0.0293145,0.0360231,0.0566774,0.0583359,0.0401973,0.145169,0.0785736,0.0380902,0.0594134,0.0504358,0.0350311,0.0386342,0.0197483,0.0208806,0.0536691,0.0401607,0.0174699,0.00763705,0.0129888,0.0549157,0.0314043,0,0,0,0,0.163326,0,0
118,0,0,0,0,0,0,0.0691511,0.060515,0,0,0,0.0457603,0,0.0364507,0,0,0.0266732,0,0,0.024834,0.0859252,0.039218,0.0916397,0.0333452,0.155863,0.0851499,0.0645419,0.0654896,0.067371,0.0729541,0.0265189,0.0205022,0.0332703,0.0453453,0.0227026,0.0301312,0.00470549,0.0150172,0.0180687,0,0.0486632,0.0276967,0,0,0.0245175,0,0,0.0292889,0.0359574,0.0567194,0.0583982,0.0402358,0.145485,0.0786311,0.037989,0.0593035,0.050403,0.0349959,0.0386761,0.019877,0.0208993,0.0537167,0.0402978,0.0174453,0.00766275,0.0130338,0.0549867,0.0314215,0,0,0,0,0.163364,0,0
119,0,0,0,0,0,0,0.069158,0.0607588,0,0,0,0.0457584,0,0.0365216,0,0,0.0267061,0,0,0.0247919,0.0858579,0.0392467,0.0915534,0.0332653,0.155981,0.0852997,0.0645791,0.0655197,0.0674061,0.0729344,0.0264374,0.0204628,0.0332019,0.0452756,0.0227248,0.0304656,0.00474808,0.0149792,0.0178489,0,0.0487002,0.0277433,0,0,0.0244442,0,0,0.0291613,0.0360767,0.0567443,0.0584958,0.0403402,0.145819,0.0785091,0.0378976,0.0591829,0.0504124,0.0349491,0.0387242,0.0200143,0.0209273,0.0537256,0.0405711,0.0175382,0.00751597,0.0131014,0.0552206,0.0314197,0,0,0,0,0.163453,0,0
120,0,0,0,0,0,0,0.0691544,0.0609702,0,0,0,0.0457803,0,0.0365954,0,0,0.0266358,0,0,0.0247827,0.0857702,0.039306,0.0914699,0.0332122,0.156043,0.0854542,0.0645867,0.0655643,0.0674262,0.0729333,0.0265418,0.020416,0.0331295,0.0452355,0.0227271,0.0307195,0.00477498,0.0149293,0.0175419,0,0.0486626,0.0278314,0,0,0.0242936,0,0,0.0288889,0.036267,0.0567162,0.0585472,0.0404882,0.146128,0.0784109,0.0378714,0.0591023,0.0504549,0.0348934,0.0387822,0.0201411,0.0209606,0.0537173,0.0410253,0.0176408,0.00743341,0.0131113,0.0555118,0.0314087,0,0,0,0,0.163576,0,0
121,0,0,0,0,0,0,0.0692382,0.061089,0,0,0,0.045807,0,0.036655,0,0,0.0265154,0,0,0.0247996,0.0856749,0.0395431,0.0914347,0.0331649,0.156139,0.0855513,0.0646285,0.0656781,0.0674658,0.0729959,0.0268431,0.0203739,0.0330957,0.0452406,0.0227196,0.0307979,0.00476728,0.0148819,0.0171849,0,0.048546,0.0279704,0,0,0.024276,0,0,0.0287824,0.0363958,0.0566429,0.0585872,0.0404522,0.1464,0.0783003,0.0378415,0.0590795,0.0505652,0.0347758,0.0388055,0.020244,0.0209768,0.0537143,0.0415897,0.0178927,0.00744472,0.0131374,0.0556411,0.0314019,0,0,0,0,0.163641,0,0
122,0,0,0,0,0,0,0.0693398,0.0611695,0,0,0,0.045779,0,0.0366691,0,0,0.0264565,0,0,0.024731,0.0856553,0.0399495,0.0914282,0.0331591,0.156237,0.0856549,0.0646688,0.0657926,0.0674846,0.073058,0.0270171,0.0204215,0.03318,0.0453121,0.022694,0.0307702,0.00475605,0.0147866,0.0168786,0,0.048528,0.0281011,0,0,0.0241695,0,0,0.0288203,0.0365005,0.0565674,0.0585812,0.0403651,0.146594,0.0781408,0.0376789,0.0590685,0.0506528,0.0347444,0.0387992,0.0203539,0.0209722,0.0537104,0.0420592,0.0180976,0.00743347,0.0131459,0.0556033,0.031379,0,0,0,0,0.163665,0,0
123,0,0,0,0,0,0,0.0693945,0.0612284,0,0,0,0.0458192,0,0.0366926,0,0,0.0262347,0,0,0.0246545,0.0856522,0.0399942,0.0914057,0.0332106,0.15633,0.0857589,0.0646428,0.0658317,0.0674784,0.0730318,0.0270354,0.0204495,0.0332546,0.0453397,0.02271,0.0307511,0.00468354,0.0147221,0.0166421,0,0.0485869,0.0282363,0,0,0.0241298,0,0,0.0289029,0.0365519,0.0565424,0.0585441,0.0403571,0.146721,0.0780235,0.0374602,0.0590729,0.0507157,0.0347238,0.0388196,0.0204338,0.0209864,0.0537279,0.0423537,0.018085,0.00742748,0.0131673,0.0554688,0.0313493,0,0,0,0,0.163661,0,0
124,0,0,0,0,0,0,0.0694027,0.0612805,0,0,0,0.0459055,0,0.0367308,0,0,0.0259629,0,0,0.024497,0.0857036,0.0396731,0.0913736,0.0332392,0.156428,0.0859265,0.0645822,0.0658201,0.0674426,0.0729542,0.0270017,0.0204224,0.0332293,0.045331,0.0227834,0.030815,0.00456043,0.0146822,0.0165467,0,0.0486702,0.0283678,0,0,0.0240718,0,0,0.0289625,0.0365759,0.0566103,0.0584983,0.040292,0.146815,0.0779343,0.0375143,0.059032,0.0507175,0.0346942,0.0388354,0.0204705,0.0210074,0.0537552,0.042514,0.0179438,0.00745395,0.0131987,0.0553021,0.0313269,0,0,0,0,0.163616,0,0
125,0,0,0,0,0,0,0.0694363,0.0613177,0,0,0,0.0458846,0,0.0367274,0,0,0.0257137,0,0,0.0243694,0.0857536,0.0395309,0.0913859,0.0332123,0.156534,0.0861027,0.0645429,0.0658162,0.0674023,0.0728899,0.0269978,0.0204023,0.0332056,0.0453176,0.0228661,0.0309539,0.00448476,0.0146618,0.0165069,0,0.0487042,0.0284647,0,0,0.0239838,0,0,0.0289783,0.0365973,0.0566756,0.0584283,0.040245,0.146903,0.0778466,0.0373832,0.0590251,0.0506901,0.0346792,0.0388356,0.02048,0.0210175,0.053769,0.0426167,0.0177575,0.00750456,0.0132402,0.0552003,0.0313177,0,0,0,0,0.163552,0,0
126,0,0,0,0,0,0,0.0694351,0.0613426,0,0,0,0.0458707,0,0.0367059,0,0,0.0255706,0,0,0.0243288,0.0857728,0.0395959,0.0914116,0.0331455,0.156624,0.0861552,0.0645739,0.0658045,0.0673989,0.0728525,0.0270068,0.0203934,0.0332183,0.0453027,0.022814,0.0311047,0.00446484,0.0146651,0.0165019,0,0.0487389,0.0285226,0,0,0.0238701,0,0,0.0290073,0.0366144,0.0567173,0.0583664,0.0402453,0.146971,0.0777549,0.0372772,0.0590301,0.0506439,0.0346693,0.0388199,0.0204613,0.0210079,0.0537546,0.0426515,0.0175994,0.00755306,0.0132756,0.0551677,0.0312926,0,0,0,0,0.163498,0,0
127,0,0,0,0,0,0,0.0693589,0.0613542,0,0,0,0.0458734,0,0.0367057,0,0,0.0255005,0,0,0.0243745,0.0857921,0.0397848,0.0914288,0.0330939,0.156689,0.0861101,0.0646139,0.0658022,0.0674151,0.0728388,0.0270178,0.0204001,0.0332475,0.0453278,0.0227736,0.0312607,0.00450276,0.0146562,0.0164163,0,0.0487457,0.0285571,0,0,0.0237655,0,0,0.0290494,0.0366483,0.0567323,0.0583392,0.040324,0.147054,0.0777087,0.0372758,0.0590161,0.0506193,0.0346731,0.0388065,0.0204613,0.0210001,0.0537429,0.042689,0.0174977,0.00760391,0.0133113,0.0552737,0.0312562,0,0,0,0,0.16348,0,0
128,0,0,0,0,0,0,0.0693142,0.0613338,0,0,0,0.0459928,0,0.0367493,0,0,0.0254272,0,0,0.0244013,0.0857659,0.0396168,0.091394,0.0330846,0.156735,0.0862092,0.0646286,0.0658178,0.0674298,0.072853,0.0269536,0.0203434,0.0331991,0.0453043,0.0227863,0.0313318,0.00451739,0.0146107,0.0163419,0,0.0487496,0.0286253,0,0,0.0237209,0,0,0.0290734,0.0366932,0.0567303,0.0583688,0.0404448,0.147175,0.0776789,0.0374018,0.0589893,0.0506224,0.0346962,0.0388089,0.0204897,0.0210166,0.0537533,0.0427504,0.017464,0.00764923,0.0133058,0.0554261,0.0312455,0,0,0,0,0.163531,0,0
129,0,0,0,0,0,0,0.0693363,0.0612998,0,0,0,0.0461092,0,0.0368102,0,0,0.0254082,0,0,0.0243101,0.0857253,0.0395311,0.091373,0.0330822,0.156819,0.0862517,0.0646409,0.0658647,0.0674497,0.0729215,0.0269068,0.0202979,0.0331732,0.0452767,0.022802,0.0313224,0.00452896,0.0144729,0.0163036,0,0.0487574,0.0287095,0,0,0.0236739,0,0,0.0290521,0.0367586,0.0567472,0.0583941,0.0404939,0.147289,0.0777245,0.0376512,0.0589497,0.0505854,0.0347202,0.0388281,0.0205154,0.0210383,0.0537681,0.0427618,0.0175025,0.00759079,0.0132791,0.0555253,0.0312554,0,0,0,0,0.163575,0,0
130,0,0,0,0,0,0,0.0694085,0.0612344,0,0,0,0.0461594,0,0.0368527,0,0,0.0253321,0,0,0.0242213,0.0856584,0.0395781,0.091383,0.0330652,0.156913,0.0862343,0.0646469,0.0659282,0.0674832,0.0730038,0.0268882,0.0202823,0.0331753,0.0452645,0.0228159,0.031264,0.00447046,0.0143107,0.0163268,0,0.0487821,0.028814,0,0,0.0236975,0,0,0.0289799,0.036786,0.0567552,0.0583952,0.0404285,0.14738,0.0778765,0.0377483,0.0589663,0.0505294,0.0347532,0.0388509,0.0205405,0.0210451,0.0537961,0.0427031,0.0175695,0.00749957,0.0132478,0.0555278,0.0312642,0,0,0,0,0.163599,0,0
131,0,0,0,0,0,0,0.0694716,0.061175,0,0,0,0.0461695,0,0.0368806,0,0,0.0252289,0,0,0.0241922,0.0856304,0.0396407,0.0914347,0.0330578,0.157013,0.0862254,0.0646452,0.0659772,0.0675088,0.0730579,0.0269046,0.0202878,0.033198,0.045275,0.0228254,0.0311985,0.00441334,0.0142761,0.0164042,0,0.0488031,0.028892,0,0,0.0237205,0,0,0.0289146,0.0367932,0.0567555,0.058402,0.0403121,0.147441,0.0780473,0.0377451,0.058989,0.0505472,0.0347369,0.0388393,0.0205256,0.0210317,0.053802,0.042548,0.0177004,0.00749278,0.0131933,0.055443,0.0312651,0,0,0,0,0.163569,0,0
132,0,0,0,0,0,0,0.0695294,0.0611062,0,0,0,0.0461305,0,0.0368858,0,0,0.0251752,0,0,0.0242236,0.085643,0.039671,0.0915036,0.0330721,0.157112,0.086228,0.0646646,0.0659928,0.0675183,0.0730614,0.0269339,0.0203089,0.0332217,0.0452996,0.0228333,0.0311272,0.00439691,0.0142352,0.0164813,0,0.0488152,0.0289541,0,0,0.0238108,0,0,0.0289306,0.0367553,0.0567003,0.0583978,0.0402721,0.147478,0.0782006,0.0377468,0.0590062,0.0505929,0.034741,0.0388334,0.0204865,0.0210307,0.0538233,0.0423088,0.0178908,0.00753561,0.013132,0.0553377,0.0312658,0,0,0,0,0.163505,0,0
133,0,0,0,0,0,0,0.0695999,0.0610294,0,0,0,0.0460621,0,0.0369023,0,0,0.0251848,0,0,0.0242576,0.0857042,0.0396885,0.0915812,0.0330614,0.157212,0.0862358,0.0646865,0.0660113,0.0675028,0.0730416,0.0269884,0.0203419,0.0332773,0.0453281,0.0228461,0.031017,0.00440745,0.0141481,0.0165867,0,0.0488538,0.0290027,0,0,0.0239698,0,0,0.0289475,0.0367052,0.056643,0.0584107,0.0403248,0.147504,0.0783457,0.0376403,0.0590033,0.0506777,0.0347781,0.0388191,0.0204111,0.0210172,0.0538281,0.0420281,0.0180768,0.00748529,0.0131381,0.0552653,0.0312597,0,0,0,0,0.163453,0,0
134,0,0,0,0,0,0,0.0696813,0.0609621,0,0,0,0.0459789,0,0.0368945,0,0,0.0252303,0,0,0.0242463,0.0857583,0.0397488,0.0916303,0.0330435,0.157293,0.0862099,0.0646834,0.0660523,0.0674871,0.0730073,0.0270824,0.0203808,0.0333641,0.045355,0.0228662,0.030911,0.00439668,0.014051,0.0167721,0,0.0488679,0.0290399,0,0,0.0239725,0,0,0.0288769,0.0367051,0.0565974,0.0583936,0.0403899,0.14752,0.0784563,0.0374975,0.0590247,0.0506905,0.0348256,0.0387845,0.0203315,0.0209868,0.0537933,0.0418133,0.0181837,0.00746688,0.0130833,0.0552516,0.0312551,0,0,0,0,0.163411,0,0
135,0,0,0,0,0,0,0.0697708,0.0608769,0,0,0,0.0459219,0,0.0368735,0,0,0.0252646,0,0,0.0242124,0.0857978,0.0398262,0.0916032,0.0330132,0.157328,0.0861322,0.0646904,0.0660879,0.0675009,0.0729766,0.0271735,0.0204313,0.0334655,0.0453966,0.0228929,0.0309029,0.00428133,0.0139782,0.016906,0,0.0488584,0.0290882,0,0,0.0238106,0,0,0.0287728,0.0367565,0.0565436,0.0584346,0.0403415,0.147571,0.0785289,0.0376549,0.0590282,0.0506353,0.0348387,0.0387307,0.0202784,0.0209316,0.0537265,0.0417273,0.018216,0.00746963,0.0129775,0.0552768,0.0312477,0,0,0,0,0.163391,0,0
136,0,0,0,0,0,0,0.0698426,0.0607962,0,0,0,0.0459278,0,0.0368574,0,0,0.0253062,0,0,0.0241394,0.0858354,0.0397927,0.091542,0.0329767,0.157309,0.0862329,0.0646832,0.0661388,0.0675148,0.0729368,0.0272554,0.0204872,0.0336173,0.0454941,0.0229337,0.0309675,0.00419223,0.0138839,0.016819,0,0.0487985,0.0291326,0,0,0.0238187,0,0,0.0286655,0.0368175,0.0564625,0.0585196,0.0403416,0.147665,0.078571,0.0377676,0.0590769,0.0506599,0.0348204,0.0387071,0.020242,0.0209019,0.0537289,0.041717,0.0182448,0.00749842,0.0129256,0.055329,0.0312758,0,0,0,0,0.163438,0,0
137,0,0,0,0,0,0,0.0698939,0.0607491,0,0,0,0.0460111,0,0.0368802,0,0,0.0252861,0,0,0.0240099,0.0858402,0.0398565,0.0914758,0.0329758,0.157289,0.0865019,0.0646659,0.066248,0.0675274,0.0728981,0.0273786,0.020566,0.0338346,0.0456609,0.0230133,0.0310781,0.00410117,0.0138049,0.0167578,0,0.048781,0.0291804,0,0,0.0239138,0,0,0.0286363,0.0368927,0.0563831,0.0586257,0.040377,0.147785,0.0785692,0.0376821,0.0591063,0.0506535,0.034795,0.0386992,0.0201995,0.0209003,0.0537442,0.0417477,0.0182955,0.00746326,0.0129549,0.0553442,0.0313223,0,0,0,0,0.163518,0,0
138,0,0,0,0,0,0,0.0699535,0.0607248,0,0,0,0.0461309,0,0.036874,0,0,0.0252353,0,0,0.0238118,0.085844,0.0401014,0.0914433,0.03297,0.157279,0.086719,0.064668,0.0663533,0.0675852,0.0728539,0.027564,0.0206997,0.0341083,0.0458724,0.023101,0.0311325,0.00396556,0.0137191,0.0167076,0,0.0487261,0.0292397,0,0,0.0239143,0,0,0.0286143,0.0369376,0.0563076,0.0587178,0.0402548,0.147869,0.0785617,0.0374166,0.0591337,0.0506725,0.034778,0.0387019,0.0201122,0.0209272,0.0537725,0.0418029,0.0182717,0.0074247,0.0130021,0.0552686,0.0313548,0,0,0,0,0.16355,0,0
139,0,0,0,0,0,0,0.0700124,0.0607122,0,0,0,0.0462577,0,0.0368574,0,0,0.0251367,0,0,0.0235946,0.08587,0.0403941,0.0914272,0.0329609,0.157272,0.0869125,0.0646935,0.0664469,0.0676337,0.0728317,0.0277827,0.020863,0.0344055,0.0460685,0.0231475,0.0311396,0.00381048,0.013632,0.0167263,0,0.048711,0.0293123,0,0,0.0238995,0,0,0.0285723,0.0369368,0.0562779,0.058771,0.0401595,0.147919,0.0785483,0.0372955,0.0591483,0.0507056,0.0347925,0.0387146,0.0200119,0.0209476,0.0538189,0.0417729,0.018194,0.00741333,0.0130089,0.0551152,0.0313727,0,0,0,0,0.163555,0,0
140,0,0,0,0,0,0,0.0701225,0.060658,0,0,0,0.0464305,0,0.0368763,0,0,0.0251409,0,0,0.0233534,0.0858705,0.0403586,0.0913927,0.0329424,0.157264,0.087123,0.0647189,0.066512,0.0676813,0.0728433,0.027882,0.0209505,0.0345491,0.0461736,0.0232121,0.031067,0.00375646,0.0134962,0.0168417,0,0.0487633,0.0294006,0,0,0.0238392,0,0,0.0285473,0.0368989,0.0563074,0.0588264,0.0401146,0.14793,0.0785032,0.0373211,0.05923,0.0507325,0.034768,0.0387164,0.0198996,0.0209571,0.0538403,0.041654,0.0180724,0.00738639,0.012964,0.0549337,0.0314015,0,0,0,0,0.163528,0,0
