Timestep,C7,CLAV,DBL,DBR,DTL,DTR,FBL,FBR,FTL,FTR,Handle1,Handle2,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x74,x75,x76,,LFHD,LWRA
1564,0.00949925,0.00151975,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00190724,0,0.00617429,0,0,0,0.0147342,0.0260257,0.0127741,0.0624127,0.0130644,0.00686102,0.0129392,0.011921,0.00550638,0.0117218,0.00928208,0.0222642,0,0.0111086,0.00942789,0.00555508,0.0321461,0.00375869,0.0105666,0.0178525,0.00669499,0.0176664,0.0141479,0.00640236,0.00746685,0,0,0.0336551,0,0.0173771,0.0168091,0.0534974,0.0176378,0.0128706,0.0077094,0.0120542,0.0132462,0.00509272,0.0213303,0.00918124,0.0123281,0.0143462,0.056808,0.0146996,0.016062,0.00542325,0.0246194,0.0306595,0.00625251,0.00439328,0.0101462,0,0,0,0,0,0.0159007
1565,0.00948794,0.00140408,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0018921,0,0.00613648,0,0,0,0.0145409,0.0260821,0.0125612,0.0624114,0.0130699,0.00684944,0.0129285,0.0117079,0.00571548,0.0115443,0.0101514,0.0221873,0,0.0110813,0.00942162,0.00568488,0.0321516,0.00377013,0.0105418,0.0175716,0.00669936,0.017669,0.0141374,0.00625359,0.00747023,0,0,0.0337423,0,0.0173921,0.0167,0.0535572,0.0176352,0.0129332,0.00769374,0.0118492,0.0132054,0.00506112,0.0212955,0.00923222,0.0123572,0.014317,0.0567766,0.0146781,0.0160251,0.00563185,0.0244118,0.030717,0.00635583,0.00439949,0.0101055,0,0,0,0,0,0.0159529
1566,0.00911915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00232823,0,0.00651464,0,0,0,0.0143778,0.0260487,0.0123986,0.0625022,0.0134572,0.00682871,0.012906,0.0112958,0.0058639,0.0111119,0.00922177,0.0222115,0,0.0109709,0.00945248,0.00588244,0.032403,0.00335105,0.0105556,0.0173554,0.00674158,0.0176851,0.0142058,0.00616306,0.0074004,0,0,0.0336628,0,0.0174061,0.0165478,0.0536886,0.0176751,0.0130252,0.00756601,0.0114685,0.0128781,0.00511294,0.0213201,0.00919163,0.012322,0.0143729,0.0568649,0.0147501,0.016055,0.00573815,0.024227,0.030966,0.00640147,0.00464239,0.00986758,0,0,0,0,0,0.0159156
1567,0.00936817,0.00160888,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00247885,0,0.00656509,0,0,0,0.0142142,0.0259137,0.0122035,0.0624107,0.0134643,0.00686952,0.012809,0.0119319,0.00649572,0.0103399,0.00863757,0.0223994,0,0.0109791,0.00944465,0.00599653,0.0323772,0.00312743,0.0106188,0.0172712,0.0066524,0.0176674,0.0141494,0.00647399,0.00732466,0,0,0.0336752,0,0.0173506,0.0164485,0.0535758,0.0176523,0.0129503,0.00760585,0.0120801,0.0130414,0.00506263,0.0212916,0.00918482,0.0123463,0.0143274,0.0567993,0.0147008,0.0159949,0.0056508,0.024473,0.0309991,0.00647788,0.00425537,0.01006,0,0,0,0,0,0.0158079
1568,0.00941359,0.00264008,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00249131,0,0.0065632,0,0,0,0.0145345,0.025966,0.0123838,0.0623608,0.0134093,0.00690038,0.0128931,0.012018,0.00641022,0.0102835,0.00850563,0.0223148,0,0.0109789,0.00937171,0.00614208,0.0323548,0.00309628,0.0107029,0.0172917,0.00666123,0.0176714,0.0141151,0.00656433,0.00728388,0,0,0.0335201,0,0.0173861,0.0164418,0.0535684,0.0176544,0.0129386,0.00765802,0.0121553,0.0130075,0.00505591,0.0213123,0.00918425,0.0123452,0.0143273,0.0567919,0.0146855,0.0159692,0.00573055,0.0244487,0.0307575,0.00645249,0.00414417,0.0100911,0,0,0,0,0,0.0158759
1569,0.00940468,0.00190808,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00284663,0,0.0069468,0,0,0,0.0149428,0.0263185,0.0127182,0.062255,0.0136462,0.00702289,0.0127216,0.0119123,0.00594565,0.0107162,0.00855161,0,0,0.0108822,0.00901152,0.00611987,0.0322957,0.00298507,0.0107638,0.0174508,0.00674946,0.0176449,0.0140793,0.00654087,0.00735339,0,0,0.0336988,0,0.0175131,0.0165027,0.0536151,0.0177042,0.0129138,0.00777666,0.0119691,0.0128861,0.00503835,0.0213333,0.0092804,0.012391,0.0142939,0.0567356,0.0146516,0.0159496,0.0060177,0.0244391,0.030582,0.00643699,0.00420819,0.0100705,0,0,0,0,0,0.016107
1570,0.010324,0.00137993,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00250729,0,0.00663771,0,0,0,0.0308846,0.0158883,0.0224574,0.0623581,0.0134358,0.00681687,0.0129231,0.0115793,0.00459156,0.0110777,0.00915854,0.0223391,0,0.0109625,0.00931995,0.00615507,0.0323587,0.00312915,0.0179014,0.0313387,0.00686581,0.0175716,0.0140941,0.00643583,0.0079937,0,0,0.0337427,0,0.0175614,0.0165098,0.0536654,0.0177289,0.0131089,0.00776445,0.0118023,0.0127879,0.00507009,0.0213125,0.00926342,0.0123631,0.0142946,0.0567477,0.0146719,0.0159604,0.00590294,0.0244001,0.0305711,0.00647134,0.0037764,0.010767,0,0,0,0,0,0
1571,0.0102445,0.00130239,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00253056,0,0.00662548,0,0,0,0.0309481,0.0157294,0.0224948,0.0623619,0.0134017,0.00676114,0.0129571,0.0115251,0.00469549,0.01088,0.0100104,0.022135,0,0.0109649,0.0094656,0.00619143,0.032352,0.00312369,0.0180134,0.0310808,0.00685684,0.0175108,0.0140952,0.00643662,0.00792934,0,0,0.0337265,0,0.0175097,0.0164131,0.0535413,0.0176819,0.0131679,0.00773886,0.0117835,0.0126933,0.00505995,0.0212866,0.00925245,0.0123859,0.0142845,0.0567342,0.0146542,0.0159624,0.00573391,0.0243064,0.0305104,0.00656205,0.00381948,0.0106828,0,0,0,0,0,0
1572,0.00916731,0.00107856,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00276649,0,0.0067884,0,0,0,0.01523,0.0256244,0.0130753,0.0623567,0.0135155,0.00676833,0.0129557,0.0114036,0.00603217,0.010516,0.00910429,0.0222157,0,0.0109508,0.00950822,0.00620947,0.0324095,0.0028862,0.0110051,0.0177931,0.00691486,0.0175307,0.0141855,0.00648864,0.00711759,0,0,0.0334593,0,0.0174519,0.0162312,0.0535265,0.017804,0.0131295,0.00779285,0.0116612,0.0126462,0.00507326,0.0213327,0.00918103,0.0123793,0.0143529,0.0567315,0.0146776,0.0160617,0.00565415,0.0239571,0.030424,0.00652646,0.00426515,0.00978959,0,0,0,0,0,0.0156506
1573,0.00911504,0.000945639,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00280914,0,0.00679047,0,0,0,0.0154098,0.025109,0.0133795,0.062364,0.0134892,0.00675641,0.0129789,0.0112768,0.00616481,0.0108573,0.00902614,0.0221144,0,0.0109598,0.00946345,0.00606859,0.0324285,0.00283727,0.0112249,0.0183545,0.00693799,0.0175509,0.0141826,0.0064878,0.00705307,0,0,0.0333798,0,0.0175229,0.016145,0.0535993,0.0178716,0.0131365,0.00786032,0.0115367,0.0125657,0.00506045,0.021327,0.00916882,0.0123772,0.0143558,0.0566909,0.0146529,0.0160707,0.00570117,0.0238783,0.0305422,0.00654346,0.00426849,0.0097282,0,0,0,0,0,0.0153053
