Timestep,C7,CLAV,DBL,DBR,DTL,DTR,FBL,FBR,FTL,FTR,Handle1,Handle2,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LBHD,LEAR,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x74,x75,LASI,LFHD,LWRA,RTHI,LELB,,x76,x77
1865,0.0318811,0.0445699,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0383897,0.0245249,0.0293413,0,0,0.0764367,0.0279368,0,0.0318236,0.0177418,0.00876322,0.0223502,0.0378212,0.00973975,0.0117155,0.0268865,0.0350868,0.0147134,0.0131634,0.0150743,0.0180963,0.0413601,0.0496004,0,0.0172133,0.0152689,0.0246416,0.0290562,0.0214906,0,0,0.074562,0,0.0169323,0.0398242,0.0427971,0.0325141,0.0225911,0.0363397,0.014787,0.0506717,0.0218447,0.0240543,0.0256507,0.0222599,0.0362312,0.0158143,0.0242756,0.0172171,0.0646773,0.0266766,0.0177715,0.0433473,0.0248673,0,0,0.0517949,0,0.0764929,0.0145219,0.0564342,0,0,0
1866,0.0322204,0.0438764,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0376486,0.0278298,0.0288741,0,0,0.0811947,0.0259567,0,0.0312168,0.0147776,0.00912463,0.0207279,0.0361185,0.00877091,0.0114909,0.026912,0.0349178,0.0153477,0.0135714,0.0152947,0.0175296,0.0405941,0.0498576,0,0.0145477,0.0146616,0.0235755,0.0297517,0.0216975,0,0,0.0740975,0,0.0173866,0.0393748,0.0444629,0.0320877,0.0233649,0.0372931,0.0144001,0.0502857,0.0214841,0.0244876,0.0269899,0.0235177,0.0353835,0.0159498,0.0253998,0.0158213,0.0642349,0.0271502,0.0172692,0.0424363,0.0249327,0,0,0.0655491,0,0.0730655,0.0154409,0.0559734,0,0,0
1867,0.0320646,0.0432226,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0376016,0.0283146,0.028844,0,0,0.08302,0.0256218,0,0.0311509,0.0144853,0.00910476,0.0206015,0.0362997,0.00860118,0.0115069,0.026867,0.0348819,0.0152618,0.0136213,0.0152332,0.0176244,0.0405564,0.0501541,0,0.0145879,0.0147781,0.023695,0.0297789,0.0213724,0,0,0.0737263,0,0.0172609,0.0392187,0.0446649,0.0322787,0.0233842,0.0372254,0.0145819,0.0490216,0.0213952,0.0243582,0.02697,0.0236236,0.0354842,0.0160424,0.0255655,0.0160329,0.0634692,0.0271518,0.0170521,0.0417115,0.0250502,0,0,0.0664453,0,0.0718189,0.0154012,0.0556113,0,0,0
1868,0.0320343,0.0423551,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0372552,0.0284053,0.0290134,0,0,0.0828953,0.0261513,0,0.0316872,0.015761,0.00916188,0.0211736,0.0361834,0.00920277,0.0116129,0.0268675,0.0349203,0.0151552,0.0135356,0.0152161,0.0178397,0.0401167,0.0510655,0,0.0154581,0.0147275,0.0238749,0.0295193,0.0218861,0,0,0.0737142,0,0.0174063,0.0392931,0.043649,0.0321767,0.0230677,0.036967,0.0147114,0.0480236,0.0217648,0.0242707,0.0264088,0.0230494,0.0356977,0.0159246,0.0249461,0.0161812,0.063095,0.0269278,0.0171286,0.0405544,0.0246098,0,0,0.0615987,0,0.0719227,0.0150718,0.0563165,0,0,0
1869,0.0313392,0.0404037,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0362606,0.0282869,0.029536,0,0,0.0832816,0.0267124,0,0.033504,0.0209861,0.00955938,0.0240084,0.0367236,0.0119176,0.0127449,0.0272048,0.0353757,0.0146744,0.0124812,0.0152141,0.0181575,0.0388638,0.0523414,0,0.0195783,0.0145212,0.0245464,0.0290697,0.0233355,0,0,0.0744006,0,0.0177181,0.0396345,0.0397848,0.0314846,0.0226913,0.0359958,0.0155201,0.0469863,0.0229837,0.024377,0.0247318,0.0206476,0.0363464,0.0153682,0.0223302,0.0185007,0.063126,0.0265568,0.0176359,0.0386031,0.0257346,0,0,0,0,0.0717605,0.0144902,0.0569925,0,0,0
1870,0.0311151,0.0391925,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036531,0.0277808,0.029736,0,0,0.0841121,0.0272341,0,0.0337326,0.0220138,0.00938364,0.0242191,0.0364596,0.0123954,0.0130241,0.0272464,0.0354392,0.0143498,0.0120846,0.0151701,0.0182069,0.0391887,0.0534552,0,0.0210438,0.0144637,0.0244783,0.0290765,0.0239322,0,0,0.0747634,0,0.0177674,0.0398003,0.0389428,0.0307718,0.0231459,0.0356226,0.015368,0.0460783,0.023006,0.0243817,0.0243502,0.0196459,0.0365635,0.0150338,0.0211732,0.0197541,0.0629148,0.0264231,0.0176326,0.0374445,0.0264658,0,0,0,0,0.0713365,0.0142958,0.0576311,0,0,0
1871,0.0311145,0.0383426,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0371125,0.0279544,0.0297442,0,0,0.0839483,0.0278111,0,0.033583,0.0222926,0.00914496,0.0241666,0.0360442,0.0123788,0.0129918,0.0271634,0.0354267,0.0140865,0.0119492,0.0150529,0.0181879,0.0398248,0.0544235,0,0.021472,0.0144212,0.024366,0.0289482,0.0243147,0,0,0.0749205,0,0.0178096,0.0398369,0.0387981,0.0304506,0.0232457,0.0354089,0.0152466,0.0454269,0.0229727,0.024226,0.0241289,0.0192693,0.0367417,0.0148836,0.0207529,0.0202133,0.0626597,0.0263055,0.0175837,0.0365124,0.0271791,0,0,0.0149446,0,0.0713063,0.0141622,0.0583605,0,0,0
1872,0.0312147,0.037839,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0375849,0.0281453,0.0298151,0,0,0.083865,0.0282688,0,0.0335595,0.0226704,0.0089561,0.0243177,0.0356983,0.0124625,0.0130799,0.0271617,0.0354334,0.0138834,0.0119748,0.0150052,0.0181606,0.0402665,0.0551507,0,0.0218281,0.0143945,0.0243631,0.0289769,0.0247555,0,0,0.0751169,0,0.0178732,0.0398565,0.03857,0.0303147,0.0233128,0.0352469,0.015333,0.045129,0.0230166,0.0241452,0.0239624,0.0189834,0.0368628,0.0147786,0.0204564,0.0207439,0.0626007,0.0262633,0.0176456,0.0357784,0.0270556,0,0,0.0136125,0,0.0713669,0.0141614,0.0589553,0,0,0
1873,0.0314782,0.0346844,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0378472,0.027841,0.0298856,0,0,0.0843028,0.0316841,0,0.0334128,0.0224331,0.00893308,0.0236376,0.0341701,0.0123982,0.013226,0.0272589,0.0353541,0.0139429,0.0121118,0.015102,0.0180518,0.0405348,0.061621,0,0.0219354,0.0144136,0.0243012,0.0291449,0.027226,0,0,0.0744323,0,0.0179103,0.0392315,0.0384923,0.030115,0.0237552,0.0352326,0.0146235,0.0439132,0.0228723,0.0243464,0.0240693,0.0187325,0.0367396,0.0146753,0.0201593,0.0209924,0.0616105,0.0259145,0.0171277,0.0309916,0.0267187,0,0,0.0137741,0,0.0714055,0.0143191,0,0,0,0
1874,0.0316568,0.0388909,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0394759,0.028176,0.0302745,0,0,0.0843084,0.0288387,0,0.0331294,0.0227221,0.00857811,0.0242523,0.0348274,0.0121652,0.0131116,0.0271838,0.0355103,0.0136162,0.0123242,0.0150466,0.0180397,0.042309,0.0560195,0,0.0215796,0.0142895,0.0242082,0.0291184,0.0254955,0,0,0.0757038,0,0.0177857,0.0399202,0.0386281,0.0302173,0.023429,0.0350103,0.0152415,0.045422,0.0228118,0.0241541,0.0238992,0.0188318,0.0369075,0.0147036,0.0203334,0.0205995,0.0630781,0.0263743,0.0178937,0.0349569,0.0264012,0,0,0.0138718,0,0.0713303,0.0141344,0.0595436,0,0,0
1875,0.0319898,0.0386113,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0395502,0.0282193,0.030281,0,0,0.0845114,0.0285558,0,0.0330941,0.0227567,0.00856931,0.0243738,0.0343429,0.0121453,0.0130719,0.0271277,0.0354821,0.0135604,0.0121823,0.0150279,0.0180766,0.0423804,0.0553603,0,0.0215974,0.0142434,0.024221,0.0292374,0.0256992,0,0,0.0760597,0,0.0178276,0.0400977,0.0387292,0.0302275,0.0234593,0.035028,0.0153636,0.0464273,0.0228269,0.0241668,0.023933,0.0188782,0.0369091,0.0147298,0.0203702,0.0205383,0.063715,0.0264703,0.0180432,0.0355178,0.0259361,0,0,0.0139092,0,0.0713939,0.0140725,0.0588876,0,0,0
1876,0.0319689,0.0373764,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0396664,0.028097,0.0303873,0,0,0.0846539,0.028944,0,0.0331486,0.0228352,0.00860082,0.0245439,0.0345295,0.0122136,0.013122,0.0271412,0.0354842,0.0135642,0.0121744,0.0151264,0.0181324,0.0425219,0.055891,0,0.0216301,0.0142552,0.0242287,0.0293135,0.0257382,0,0,0.0758062,0,0.0179136,0.0400036,0.038871,0.0302289,0.0234317,0.0350368,0.0155926,0.0455003,0.0228332,0.0241508,0.023912,0.0189112,0.0369196,0.0147412,0.0203977,0.0204381,0.063138,0.0265922,0.0179767,0.0348704,0.0259758,0,0,0.014065,0,0.0713937,0.0140394,0.0591915,0,0,0
1877,0.031967,0.0367845,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0396198,0.0280521,0.0303716,0,0,0.0846838,0.0292794,0,0.0330982,0.0228773,0.00867469,0.0246294,0.034706,0.0122872,0.0131946,0.0271665,0.0354941,0.0135577,0.0122667,0.0151329,0.018155,0.0425062,0.0564638,0,0.0215894,0.0142782,0.0241825,0.0293635,0.0258406,0,0,0.0756384,0,0.0179746,0.0399563,0.0388804,0.0301988,0.0233858,0.0350164,0.0157395,0.0447173,0.0228164,0.0241585,0.0238783,0.0189104,0.0369486,0.0147328,0.0203996,0.0204035,0.0626654,0.0265893,0.0179333,0.0341949,0.0260178,0,0,0.0142455,0,0.0714031,0.0140346,0.0595532,0,0,0
1878,0.031944,0.0362962,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0395714,0.0279176,0.0303018,0,0,0.0849812,0.0296399,0,0.0329277,0.022902,0.0086957,0.0246885,0.0348467,0.0123524,0.0133035,0.0272222,0.0355155,0.0135539,0.0122573,0.0150991,0.0180952,0.0424837,0.0570816,0,0.0215955,0.0142916,0.0241519,0.0294052,0.0259744,0,0,0.0755509,0,0.0179944,0.0399986,0.0387848,0.0301906,0.0233291,0.0350077,0.0157213,0.0439749,0.0228332,0.0241748,0.0238663,0.0189144,0.0369898,0.0147741,0.0203902,0.0204568,0.0623031,0.0265104,0.0179057,0.0335475,0.0260286,0,0,0.0141897,0,0.0713741,0.0140272,0.0598919,0,0,0
1879,0.0319206,0.0357408,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0396704,0.0277979,0.0302474,0,0,0.0853191,0.0300065,0,0.0328474,0.0229372,0.00865316,0.0247169,0.0349539,0.012446,0.0133961,0.0272803,0.0355015,0.0135742,0.0121547,0.0151053,0.0180686,0.042579,0.0576254,0,0.0215462,0.0142984,0.0241336,0.0294624,0.0261068,0,0,0.0756302,0,0.0180032,0.0401022,0.038594,0.0301894,0.0233072,0.034974,0.0157744,0.0433856,0.0227941,0.0241925,0.0238933,0.0188787,0.0370269,0.0147629,0.0203564,0.0203236,0.0620452,0.0264412,0.0178897,0.0329782,0.0259798,0,0,0.0142106,0,0.0713119,0.0140308,0.0601325,0,0,0
1880,0.031949,0.0353594,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0399584,0.0278236,0.0303484,0,0,0.0854019,0.0304092,0,0.0328835,0.0229901,0.00857801,0.0247301,0.0349793,0.012515,0.0134753,0.0273258,0.0354799,0.0136,0.0122336,0.0151825,0.0180791,0.0428901,0.0581727,0,0.0215114,0.0142881,0.0241467,0.0295048,0.0262831,0,0,0.0758695,0,0.0180129,0.0401438,0.0385225,0.0302143,0.0232946,0.0349584,0.0159112,0.0430039,0.0227802,0.0242237,0.0239067,0.0188441,0.0370448,0.0147205,0.020347,0.0203844,0.0619089,0.0265241,0.0178927,0.0324154,0.0258833,0,0,0.0143453,0,0.0713169,0.014069,0.0603973,0,0,0
1881,0.0319944,0.0356138,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0405666,0.0278727,0.030604,0,0,0.0855753,0.030758,0,0.0328563,0.0230474,0.00856718,0.0247163,0.0349307,0.0123778,0.013495,0.027338,0.0356028,0.0136528,0.0125989,0.0153046,0.0180207,0.0435526,0.0586334,0,0.0214504,0.0142906,0.0241089,0.0295724,0.0264515,0,0,0.0760227,0,0.0180249,0.0401695,0.038549,0.0301993,0.0232712,0.0349473,0.015923,0.0428491,0.0227665,0.0242487,0.0238879,0.018814,0.0370402,0.0147003,0.0203358,0.0204725,0.0619021,0.0265846,0.0179282,0.0319107,0.0257248,0,0,0.0145804,0,0.0713824,0.0141119,0.0606779,0,0,0
1882,0.0320211,0.0364518,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0415583,0.0279055,0.0309449,0,0,0.0858573,0.030995,0,0.0327845,0.0231113,0.00856527,0.0246703,0.0347952,0.0122636,0.0135497,0.0273393,0.0358852,0.0137229,0.0130139,0.0154883,0.0178679,0.044696,0.0589549,0,0.0213874,0.0142802,0.0240634,0.0296233,0.0265908,0,0,0.0761438,0,0.0180253,0.0402422,0.038607,0.0301568,0.0232485,0.0349174,0.0158678,0.0428659,0.0227435,0.0242586,0.0238927,0.0188028,0.0370236,0.0146979,0.020328,0.0206017,0.0620049,0.0265862,0.0179882,0.0314994,0.02555,0,0,0.0146801,0,0.0714676,0.0141265,0.0609045,0,0,0
