Timestep,C7,CLAV,DBL,DBR,DTL,DTR,FBL,FBR,FTL,FTR,Handle1,Handle2,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,STRN,T10,x74,x75,x76,x81,LBHD,LEAR,RTHI,RWRB,,x77
959,0.00317916,0.00337706,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0288826,0.0103452,0.017111,0.00896679,0.123636,0,0.0362661,0.0632321,0.0647204,0,0.00681043,0.010029,0.00947705,0.058144,0.0114292,0.00489776,0.0179518,0.030699,0.0112225,0.00658543,0.00379819,0.0288617,0.0325496,0,0.011551,0.0301715,0.0234589,0,0.0210292,0.00783705,0.0069226,0,0,0.101836,0,0.00844814,0.0502134,0.053537,0.0356514,0.0166793,0.0035132,0.00746953,0.0340622,0.0134418,0.0138571,0.0137688,0.0245869,0.0626809,0.0214828,0.0284186,0.032309,0.0610389,0.013363,0.00680222,0.00906553,0,0,0,0,0,0,0.00763531,0.0188511,0,0
960,0.00333693,0.00337191,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0300862,0.0105016,0.0182985,0.00879268,0.123452,0,0.0358897,0.0633638,0.0648683,0,0.00699735,0.00956492,0.00966856,0.0579546,0,0.0048157,0.0176814,0.0304262,0.010693,0.00653911,0.00420744,0.0293812,0.0336539,0,0.0112557,0.0302254,0.0225661,0,0.0210994,0.00746953,0.00681882,0,0,0.102077,0,0.00851681,0.0502638,0.0539758,0.0365302,0.0164826,0.00328472,0.00756651,0.0343433,0.013461,0.0136668,0.0138401,0.0256515,0.0629679,0.0224598,0.0300731,0.0302837,0.0612276,0.012344,0.00664567,0.00929175,0,0,0,0,0,0,0.00841695,0.0185798,0,0
961,0.00352205,0.00338589,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0307821,0.0105214,0.0162899,0.00884786,0.123276,0,0.0358159,0.0632957,0.0648149,0,0.00725952,0.00770241,0.0100658,0.0578321,0.0105494,0.00574964,0.0179924,0.0307307,0.00984302,0.00659739,0.00413893,0.0290344,0.034596,0,0.0111566,0.0302889,0.0220384,0,0.0205377,0.00697889,0.00673786,0,0,0.102347,0,0.00857716,0.0503438,0.0540919,0.0368797,0.0162541,0.00375117,0.0075096,0.0346256,0.0136695,0.0135712,0.0136034,0.0260028,0.0628994,0.0224973,0.0307522,0.0290742,0.0615129,0.0111998,0.00660724,0.0094797,0,0,0,0,0,0,0.00876266,0.0183898,0,0
962,0.00354357,0.00344526,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0306785,0.0101941,0.0149244,0.00886827,0.123923,0,0.036393,0.0633938,0.0647319,0,0.0074929,0.00802144,0.0105676,0.0581599,0.0101264,0.00565866,0.0176921,0.030241,0.00990051,0.00687322,0.00393004,0.0292095,0.034066,0,0.0115745,0.0301366,0.022732,0,0.0199257,0.00659525,0.00644578,0,0,0.102896,0,0.00887248,0.0506253,0.0540075,0.0372652,0.0160352,0.00404339,0.00763396,0.034921,0.014253,0.0135111,0.0128268,0.0259841,0.0628302,0.022075,0.0308736,0.0288007,0.0619096,0.0184644,0.00658694,0.00954464,0,0,0,0,0,0,0.010113,0.0209196,0,0
963,0.00352723,0.00346117,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0315857,0.0102033,0.0132955,0.00857928,0.124054,0,0.036459,0.0633347,0.0644756,0,0.00779343,0.0071421,0.0107022,0.0581609,0,0.00631875,0.0174559,0.0298356,0.00935855,0.00721025,0.00373899,0.0294139,0.0340219,0,0.0115966,0.0301347,0.0245308,0,0.0191804,0.00645459,0.00629603,0,0,0.103246,0,0.00887459,0.05067,0.0538071,0.0378221,0.0157799,0.0035216,0.00769932,0.0351227,0.0150615,0.0134411,0.0118867,0.0254867,0.0626696,0.0213791,0.030303,0.0298374,0.0621942,0.0183953,0.00659165,0.00961772,0,0,0,0,0,0,0.0117121,0.0208368,0,0
964,0.00351931,0.00346032,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0311309,0.0102986,0.0119702,0.00838775,0.12415,0,0.0361879,0.0634586,0.0640998,0,0.00822221,0.00595688,0.0110475,0.0581715,0,0.00723515,0.0174975,0.0297318,0.00883014,0.00763733,0.00372727,0.0292663,0.0343541,0,0.0114067,0.0301368,0.0267881,0,0.0186741,0.00621182,0.00602005,0,0,0.103618,0,0.00887203,0.0507376,0.0536839,0.0386566,0.0154834,0.00289479,0.00775195,0.0353963,0.0161086,0.0132218,0.0110586,0.024713,0.0624682,0.0207279,0.0292192,0.0328387,0.0624787,0.018324,0.00662083,0.00965232,0,0,0,0,0,0,0.013176,0.0207069,0,0
965,0.00349298,0.00347207,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0311364,0.0102415,0.0104882,0.00811897,0.12427,0,0.0362114,0.0636177,0.0637123,0,0.00879785,0.00487283,0.011393,0.0583215,0,0.0083498,0.0176461,0.0298268,0.00841877,0.00819604,0.00367142,0.0289513,0.0343024,0,0.0114198,0.0301673,0.0292652,0,0.0189655,0.00573233,0.00599975,0,0,0.103924,0,0.00895885,0.0508551,0.0539164,0.040433,0.0151779,0.00294452,0.00775728,0.0357435,0.0172488,0.0127351,0.00998321,0.023982,0.0624836,0.020225,0.0279294,0.0370601,0.0627288,0.0182114,0.00665137,0.00966996,0,0,0,0,0,0,0.0145444,0.0206273,0,0
966,0.00349689,0.00349563,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0312957,0.0101198,0.00935995,0.00792431,0.12448,0,0.0364081,0.0637199,0.0632617,0,0.00945735,0.00439541,0.0118264,0.0584906,0.00681717,0.0100966,0.0181742,0.0302461,0.00833924,0.00884711,0.00372161,0.0283209,0.0341633,0,0.0115178,0.0302483,0.0309502,0,0.0196531,0.00529612,0.00592557,0,0,0.104159,0,0.00903844,0.0509422,0.0542747,0.0426802,0.0149776,0.00402732,0.00768574,0.0360383,0.0183174,0.0119681,0.00870297,0.0235314,0.0627498,0.0196202,0.0268636,0.0399426,0.0629589,0.0181581,0.00664091,0.0096442,0,0,0,0,0,0,0.0150641,0.0207192,0,0
967,0.00381383,0.00348798,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0322538,0.0113837,0.00822303,0.00706725,0.121136,0,0.0351251,0.0624134,0.0630473,0,0.0101188,0.00579086,0.0116231,0.0569013,0.00600014,0.0133691,0.0188054,0.0303519,0.00852176,0.00995558,0.00390387,0.0276865,0.0340399,0,0.010248,0.0314695,0.0301234,0,0.0201304,0.00519181,0.00563557,0,0,0.10335,0,0.00862422,0.0509964,0.0548351,0.0444918,0.0149091,0.00674602,0.00733888,0.0358945,0.0186348,0.0109539,0.00716956,0.0231581,0.0628969,0.0188721,0.0260188,0.0407854,0.0626308,0.0025932,0.00673899,0.00980166,0,0,0,0,0,0,0.0150701,0.0224087,0,0
968,0.00325447,0.00347105,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0300003,0.0100591,0.00698751,0.00700174,0.125416,0,0.0362292,0.0642595,0.0628572,0,0.01098,0.00712119,0.0128079,0.058843,0.00519467,0.0145852,0.0188534,0.0299482,0.00898481,0.0102461,0.0041957,0.0271851,0.0330542,0,0.0112505,0.0303201,0.0255464,0,0.0200493,0.0041848,0.0050788,0,0,0.104825,0,0.00915261,0.051184,0.055197,0.0452538,0.0150652,0.00654624,0.00741992,0.0365984,0.0192324,0.0104053,0.00632187,0.0231162,0.0628118,0.0191858,0.0266078,0.0383695,0.0633548,0.0193589,0.00658491,0.00949636,0,0,0,0,0,0,0.0139401,0.0216364,0,0
