Timestep,C7,CLAV,DBL,DBR,DTL,DTR,FBL,FBR,FTL,FTR,Handle1,Handle2,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHIA,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x74,x75,x76,LEAR,,LBHD,LTHII,LTHI,x80,x90
524,0.149035,0.121029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0528289,0,0.0897,0.0804587,0,0.0385695,0.0357958,0,0.0505269,0,0,0.0976785,0.229461,0,0.0138427,0.110698,0,0.0989559,0.0196913,0,0.0891559,0,0,0.0168666,0.0254786,0.0290699,0,0.102193,0,0,0,0,0.0123173,0.0641947,0.1014,0,0.0195407,0.025219,0.0765462,0.0291725,0,0,0,0.0213988,0.0202778,0.045037,0.0154686,0.0321393,0,0.0682387,0.00919012,0.0354641,0.146008,0.0979217,0,0,0,0,0,0,0,0,0,0
525,0.153774,0.122114,0,0,0,0,0,0,0,0,0,0,0,0,0,0.127032,0.0320763,0.045702,0.12,0.0554479,0,0.0223607,0.0268888,0,0.0656842,0,0,0.107665,0.226468,0,0,0,0,0.0985509,0.0106751,0,0.0838256,0,0,0.00899813,0.0239912,0,0,0.105543,0,0,0,0,0.0122365,0.0650924,0,0,0.0200438,0.0389157,0.0763771,0.0311833,0,0,0,0.0336129,0.0259014,0.0294963,0.0196522,0.0374185,0,0.0706328,0.00837813,0.035373,0.147381,0.0928305,0,0,0,0,0,0,0,0,0,0
526,0.153124,0.120086,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104646,0.0113324,0.0270973,0.122384,0.0525952,0,0,0.0306684,0,0.0645417,0,0.0683925,0.121482,0.222059,0,0,0.0449028,0,0.0811206,0.0179317,0,0.0808056,0,0,0.0170948,0.0240042,0,0,0.106323,0,0,0,0,0.0122508,0.0648107,0,0,0,0.0529051,0.0886324,0.0318565,0.0284205,0,0,0.0443842,0.0279481,0.0246472,0.0187154,0.0331997,0.0153497,0.070948,0.00838606,0.035493,0.14334,0.0953929,0,0,0,0,0,0,0.0454492,0.134132,0,0
527,0.152497,0.119214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.044021,0.125726,0.0295619,0,0,0.0941793,0,0.0822999,0,0,0.128833,0.174425,0,0,0,0,0,0.00829296,0,0.0640277,0,0,0.0165157,0.0228594,0,0,0.105393,0,0,0,0,0.0122802,0.0651363,0,0,0,0.054993,0.0953201,0.0336164,0,0,0,0.0470357,0.02729,0.0234826,0.0177809,0.029362,0.0131946,0.0728959,0.00756136,0.0351612,0.143257,0.0932352,0,0,0,0,0,0,0,0,0,0
528,0.156711,0.11814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011437,0,0.0649252,0.0519184,0,0,0.0255355,0,0.0606215,0.0582552,0.0944682,0.0549642,0.220665,0.0752292,0.035157,0,0.0823288,0,0.032721,0,0.0832696,0,0,0.0222156,0.0265577,0,0,0.114656,0,0,0,0,0.0132045,0.0631426,0,0,0,0.0517193,0.036935,0.0302128,0.0292301,0,0,0.0403873,0.0295429,0.028254,0.0171629,0.0310388,0.0222667,0.0672077,0.0102649,0.0360528,0.133253,0.109105,0,0,0,0,0,0,0.0619158,0.0396679,0,0
529,0.152566,0.119213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.107517,0.123755,0.0307497,0,0,0.0866042,0,0.0758922,0,0.0611462,0.13067,0.175416,0,0,0,0.0555395,0,0,0.112542,0.0634724,0,0,0.0160478,0.0226313,0.0261778,0,0.105015,0,0,0,0,0.0124289,0.0656716,0,0,0,0.0565563,0.0973721,0.0342282,0.0279142,0,0,0.0469247,0.0334445,0.0232925,0.0232748,0.0351719,0.0227357,0.0726283,0.00785408,0.0352948,0.143517,0.0925858,0,0,0,0,0,0,0,0.0540927,0,0
530,0.156115,0.117588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0639035,0.0353471,0,0,0.0843217,0,0.103634,0.0545619,0,0.0591027,0.178605,0,0,0,0,0,0,0.0944683,0.0678453,0,0,0.0110392,0.0276915,0.0196677,0,0.114355,0,0,0,0,0.013811,0.0634198,0,0,0,0.0539367,0.0401686,0.0303838,0.0368594,0,0,0.0464248,0.0265527,0.0282635,0.0161889,0.0217584,0.0112776,0.0646618,0.0118425,0.0362405,0.133586,0.108346,0,0,0,0,0,0,0,0.034078,0,0
531,0.156255,0.118227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0116014,0,0,0.0493296,0,0,0.0246012,0,0.0436988,0.0492757,0.0440314,0.05525,0.217913,0,0,0.0403292,0,0.0324514,0.01772,0.0965939,0.0790134,0,0,0.0269958,0.0272841,0.0175268,0,0.113635,0,0,0,0,0.0135693,0.0630451,0.0258288,0,0,0.0517374,0.0384991,0.0296248,0.0309455,0,0,0.040201,0.0311987,0.0295699,0.0196087,0.0323286,0.0313821,0.0652654,0.0107166,0.0362761,0.134044,0.1084,0,0,0,0,0,0,0,0.018472,0,0
532,0.156193,0.11734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0385246,0,0,0.0815489,0,0.0490923,0.0514512,0.0424769,0.0578037,0.176187,0,0,0.040571,0.0513845,0.0374161,0.0335261,0,0.0686212,0,0,0.0289721,0.027642,0.0185729,0,0.113422,0,0,0,0,0.0133745,0.0637018,0.026891,0,0,0.0511986,0.0398199,0.0305997,0.0287344,0,0,0.0391837,0.0328915,0.0296364,0.0214536,0.0356225,0.0362218,0.0659058,0.0108949,0.0366059,0.13306,0.107694,0,0,0,0,0,0,0.03288,0.0155935,0,0
533,0.156338,0.117196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0361933,0.0589423,0.0398064,0,0,0.0798968,0,0.0442303,0.049945,0.0446026,0.0566063,0.176082,0,0,0,0,0,0.0263844,0.0890232,0.0692403,0,0,0.0332041,0.0270413,0.0172142,0,0.113494,0,0,0,0,0.0136366,0.0628351,0.027354,0,0,0.0519883,0.0384437,0.0305357,0.0274446,0,0.0400942,0.0386542,0.0353013,0.0296497,0.0218477,0.039228,0.0437267,0.0654478,0.0103869,0.0360802,0.132477,0.108337,0,0,0,0,0,0,0,0,0,0
