Timestep,C7,CLAV,DBL,DBR,DTL,DTR,FBL,FBR,FTL,FTR,Handle1,Handle2,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHIA,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x74,x75,x76,LEAR,,LBHD,LTHII,LTHI,x80,x90
All Timesteps RMSE,0.152282,0.111246,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0765996,0.0240019,0.0308806,0.0650381,0.113837,0,0.0247049,0.0204595,0.0567192,0.0378412,0.0609791,0.0321237,0.0611361,0.206652,0.0281622,0.0319186,0.0312853,0.0275673,0.0267883,0.0195028,0.0410438,0.0772177,0.0225279,0.0290834,0.0213991,0.0195959,0.0223358,0.043503,0.109951,0,0,0.0709985,0,0.0179528,0.0492799,0.0454183,0.0269748,0.0190372,0.0337036,0.0540728,0.0356563,0.0144492,0.0202496,0.023748,0.0264477,0.016788,0.0304023,0.0147885,0.0158021,0.0285838,0.0523753,0.0263469,0.0320884,0.125533,0.103258,0,0,0,0,0,0,0.052831,0.0207364,0,0
0,0.15632,0.112731,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0298234,0.0205018,0.0302829,0.0628499,0.0441843,0,0.0287027,0.0118523,0.0477469,0.0293593,0.0603081,0.025103,0.0554579,0.213323,0.0197377,0.0318695,0.0273589,0.0215585,0.0251572,0.0147595,0.03671,0.0819203,0.0219118,0.0121476,0.0100214,0.0150852,0.0154029,0.0407375,0.11283,0,0,0.0678065,0,0.0170786,0.0375597,0.0475903,0.0142491,0.0132607,0.0393041,0.0526017,0.0278603,0.0155863,0.022647,0.0236123,0.0270589,0.0122097,0.0321852,0.00677731,0.00895844,0.00907522,0.0413575,0.0256434,0.014703,0.121763,0.103935,0,0,0,0,0,0,0,0,0,0
1,0.15669,0.113163,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0130051,0.0206702,0.0249645,0.0626445,0.044429,0,0.0287541,0.0115924,0.047862,0.025765,0.059897,0.0276163,0.0546261,0.21345,0.0185571,0.0309236,0.0294105,0.0226844,0.0241588,0.007643,0.0176681,0.0827249,0.022347,0.0122969,0.00974734,0.0151208,0.0153931,0.0409242,0.112412,0,0,0.070151,0,0.0170698,0.0385161,0.0469347,0.0140632,0.013471,0.0393663,0.0516971,0.0271261,0.0155986,0.0226727,0.0237453,0.0270668,0.0125829,0.0319072,0.00741293,0.009612,0.00898861,0.0423681,0.0248519,0.0154695,0.122012,0.104227,0,0,0,0,0,0,0,0,0,0
2,0.157954,0.117594,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0178964,0.0220859,0.0288075,0.0990968,0.0412604,0,0.0258669,0.0196561,0.0517333,0.0304998,0,0.0337522,0.0917721,0.215091,0.0313186,0.0256469,0.0330252,0.0289265,0.0279187,0.0123685,0.0180248,0.074048,0.020132,0.0116099,0.00960869,0.0140342,0.0185614,0.0470269,0.107611,0,0,0.0733817,0,0.0181637,0.0400936,0.0522236,0.0166203,0.00553067,0.0437172,0.0793388,0.0262809,0.0219899,0.0194515,0.0281397,0.0342256,0.0159554,0.0272779,0.0118645,0.0120888,0.0109418,0.0443174,0.0241108,0.0178199,0.133958,0.0905112,0,0,0,0,0,0,0,0,0,0
3,0.158047,0.11769,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0179148,0.022074,0.0288256,0.0993096,0.0413312,0,0.0258653,0.0197459,0.0517379,0.0306592,0,0.0338182,0.0920371,0.21525,0.0314153,0.0256637,0.0330887,0.0289938,0.0279015,0.0122594,0.0185467,0.0739958,0.0201039,0.0114663,0.00957413,0.0139572,0.0186033,0.0470787,0.107833,0,0,0.0735209,0,0.0181107,0.0401197,0.0522618,0.0166532,0.0055928,0.0438207,0.079593,0.0263313,0.0220987,0.0194906,0.0282049,0.0343447,0.0161272,0.0272071,0.0119435,0.0122515,0.0112548,0.0444354,0.0241898,0.017832,0.13414,0.0905253,0,0,0,0,0,0,0,0,0,0
4,0.156659,0.113242,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0133048,0.0206725,0.0251894,0.0630153,0.0444272,0,0.0287602,0.0117214,0.0477195,0.0274606,0.0601752,0.0280101,0.0550345,0.213659,0.0187567,0.0308478,0.029834,0.0231687,0.0244329,0.00665114,0.0200781,0.0826458,0.0223028,0.0117903,0.00962325,0.0148092,0.015442,0.041019,0.112817,0,0,0.071036,0,0.0168393,0.0388714,0.047005,0.0141573,0.0132079,0.0395507,0.0522525,0.0270608,0.0157353,0.0225914,0.0238164,0.0272796,0.0127885,0.0317701,0.00757788,0.00981207,0.0092011,0.0430631,0.025541,0.015705,0.122348,0.10423,0,0,0,0,0,0,0,0,0,0
5,0.156634,0.113248,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0133228,0.0206774,0.0251992,0.0630179,0.0444234,0,0.0287674,0.01174,0.0478188,0.0274494,0.0602261,0.0280137,0.0550482,0.213661,0.0187678,0.0308213,0.0298171,0.0231643,0.0240805,0.00667405,0.0201016,0.0826239,0.022318,0.011793,0.00968606,0.0148097,0.015436,0.0409932,0.112781,0,0,0.0710597,0,0.016863,0.0388861,0.0470054,0.0141427,0.0131942,0.039522,0.0522462,0.0270638,0.0157245,0.0225652,0.0238028,0.0272582,0.0127764,0.0317871,0.00756501,0.00978295,0.00918333,0.0430473,0.0255115,0.0157528,0.122389,0.104232,0,0,0,0,0,0,0,0,0,0
6,0.15655,0.113243,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0134083,0.0206776,0.0252202,0.0630787,0.0444356,0,0.0287591,0.0117156,0.0478544,0.0274545,0.0602483,0.0280273,0.0550584,0.213654,0.0187349,0.0308175,0.0298416,0.0232218,0.0239811,0.0066574,0.0201608,0.0826313,0.0223118,0.0117551,0.00971582,0.0148031,0.0155366,0.0410117,0.112764,0,0,0.0709769,0,0.0168707,0.0388513,0.0470443,0.0142573,0.0132204,0.0395017,0.0523208,0.0271395,0.0157399,0.022536,0.0238188,0.0272611,0.0127444,0.0317827,0.00751624,0.00975602,0.00923084,0.043011,0.0254912,0.0157435,0.122462,0.104208,0,0,0,0,0,0,0,0,0,0
7,0.159191,0.117899,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0360451,0.022009,0.0428669,0.100602,0.0417294,0,0.0259108,0.0196511,0.0520715,0.0440046,0,0.0302419,0.0941464,0.217324,0.0312756,0.0266938,0.0330523,0.030871,0.034577,0,0.0272364,0.0748974,0.0201016,0.0114148,0.00944779,0.0135969,0.0183524,0.0475162,0,0,0,0.0750441,0,0.0188021,0.0411698,0.0522066,0.0162952,0.00640195,0.0434558,0.0802366,0.0282444,0.0220052,0.019479,0.0281063,0.033911,0.0156645,0.0274525,0.0116393,0.0117122,0.0106543,0.0461156,0.0241569,0.0190172,0.135281,0.091774,0,0,0,0,0,0,0,0,0,0
8,0.156464,0.113254,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0135234,0.0206561,0.0252497,0.063194,0.0444565,0,0.0287273,0.0116854,0.0477936,0.0275419,0.0602337,0.028064,0.0552373,0.213708,0.0187604,0.0307958,0.0298992,0.0232786,0.0240565,0.00657372,0.0202421,0.0826542,0.0222753,0.0118719,0.00972771,0.0147765,0.0155229,0.0410678,0.112538,0,0,0.0709807,0,0.0168647,0.0388815,0.0470984,0.0142685,0.0132302,0.0396931,0.0525622,0.0272374,0.0158121,0.022532,0.0239023,0.0273521,0.0129281,0.0316582,0.00763005,0.00987172,0.00925356,0.0430127,0.0255341,0.0157331,0.122615,0.104186,0,0,0,0,0,0,0,0,0,0
9,0.158948,0.117739,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0177134,0.0220066,0.0288099,0.0993979,0.0416561,0,0.025926,0.0194942,0.0517917,0.0307339,0,0.0338017,0.0919734,0.217107,0.0313131,0.025554,0.0330477,0.0290019,0.0271773,0.0123404,0.0183129,0.0749625,0.0201344,0.0119448,0.00961936,0.0136168,0.0185508,0.0472988,0,0,0,0.074833,0,0.0187347,0.0410705,0.0522176,0.0165267,0.00537006,0.0439332,0.0795426,0.0282262,0.0221527,0.0193656,0.0283181,0.0343292,0.0161166,0.0271023,0.0120217,0.012097,0.010786,0.0459855,0.024219,0.0189372,0.135008,0.091935,0,0,0,0,0,0,0,0,0,0
10,0.156555,0.113167,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0124784,0.0206291,0.0257133,0.0625414,0.0445421,0,0.0287958,0.0115283,0.0484103,0.0277771,0.0605626,0.025355,0.0553403,0.213702,0.0189664,0.0324674,0.0274831,0.0206872,0.0238074,0,0.0172924,0.0828747,0.0223469,0.0124135,0.00987639,0.0147422,0.0151156,0.0406447,0.112349,0,0,0.0709666,0,0.0168719,0.0389158,0.0470273,0.013792,0.0132927,0.0391058,0.0517301,0.0272574,0.0155067,0.0227654,0.0235496,0.0267085,0.012501,0.0322119,0.00715005,0.00960424,0.0091084,0.043095,0.025532,0.0158632,0.122348,0.104472,0,0,0,0,0,0,0,0,0,0
11,0.15654,0.113156,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0144202,0.0206549,0.0251868,0.062889,0.0444584,0,0.0287754,0.011589,0.0477901,0.0280596,0.0599579,0.0280103,0.0548558,0.213608,0.0186539,0.030764,0.0297786,0.0232313,0.0239276,0.00657192,0.0218649,0.0827789,0.0223353,0.0124334,0.00975846,0.0147442,0.0153334,0.0409129,0.112227,0,0,0.0710417,0,0.0169308,0.0389173,0.0470371,0.0140789,0.013214,0.0394429,0.0520327,0.0271529,0.0157129,0.022541,0.0237798,0.0271934,0.0126821,0.0318098,0.0075295,0.00982701,0.00903112,0.043155,0.0254466,0.0159911,0.122353,0.104344,0,0,0,0,0,0,0,0,0,0
12,0.157904,0.117616,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0175499,0.022073,0.0287104,0.0990425,0.0412861,0,0.0258658,0.0196172,0.0516724,0.0307509,0,0.0337713,0.0918081,0.215165,0.0313208,0.025673,0.0330019,0.0290215,0.0270772,0.0122702,0.018447,0.07405,0.0201321,0.0121573,0.00983864,0.0140262,0.018505,0.0469676,0.107256,0,0,0.0734879,0,0.0182674,0.0400935,0.0521763,0.0166393,0.005547,0.0438135,0.0793892,0.0263371,0.0219984,0.0193909,0.0281761,0.0342195,0.0160309,0.0271906,0.0118662,0.0121866,0.0109847,0.0445574,0.0240636,0.0181468,0.134164,0.0906217,0,0,0,0,0,0,0,0,0,0
13,0.156586,0.11321,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0134985,0.0206841,0.0251691,0.0629593,0.0444149,0,0.0287353,0.0116988,0.0474613,0.0275428,0.0599548,0.0280345,0.0550544,0.213674,0.0188054,0.030847,0.0298246,0.0232245,0.0239199,0.00660078,0.0201471,0.0826379,0.022326,0.012285,0.00990861,0.0149122,0.015514,0.0410598,0.112118,0,0,0.0709002,0,0.0170439,0.038833,0.046969,0.0142281,0.0131976,0.0396256,0.0521741,0.0272286,0.0157329,0.0225578,0.0238964,0.0272776,0.0128315,0.031668,0.00756457,0.00980354,0.00931618,0.0430363,0.0252229,0.0159029,0.122481,0.104328,0,0,0,0,0,0,0,0,0,0
14,0.156619,0.113204,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0134915,0.0207032,0.0251969,0.0629327,0.0444123,0,0.0287353,0.0117688,0.0474312,0.0275235,0.0599798,0.0280642,0.0550248,0.213663,0.0187572,0.0308335,0.0298498,0.0232238,0.0239341,0.00660823,0.0200836,0.0826181,0.0223264,0.0119423,0.00986022,0.0149157,0.0155574,0.0410325,0.112183,0,0,0.0709614,0,0.0170231,0.0387271,0.0469441,0.0142033,0.0131857,0.0396258,0.0521,0.0271557,0.0157316,0.0225578,0.0238867,0.027237,0.012877,0.0316849,0.00757617,0.00984231,0.00925764,0.043078,0.0251986,0.0158983,0.12246,0.104317,0,0,0,0,0,0,0,0,0,0
15,0.157958,0.117614,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0176781,0.022112,0.0287601,0.0989921,0.041307,0,0.0258689,0.0197571,0.0515651,0.030685,0,0.0338383,0.0918365,0.21513,0.0313015,0.0256347,0.033074,0.0290239,0.0270719,0.0123289,0.018493,0.0739958,0.0201414,0.011497,0.00973557,0.0140435,0.0187047,0.0469471,0.107337,0,0,0.0735889,0,0.0182548,0.0399144,0.0521135,0.016596,0.00559261,0.0438041,0.0793462,0.0262533,0.0219667,0.0194032,0.0281621,0.0341278,0.0160504,0.0272119,0.0118645,0.0121668,0.0110275,0.0446484,0.0239656,0.0181205,0.134163,0.0905971,0,0,0,0,0,0,0,0,0,0
16,0.156634,0.113226,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0135672,0.0207357,0.0252613,0.0629395,0.0444013,0,0.0287355,0.0118359,0.047451,0.0275898,0.0600245,0.0280939,0.0550263,0.21366,0.0187211,0.0308473,0.0298795,0.0233913,0.0239456,0.00657749,0.0201704,0.0825848,0.0223357,0.0118034,0.00989655,0.0148378,0.0156639,0.0410479,0.112306,0,0,0.0709155,0,0.0169433,0.0387639,0.0469551,0.0142492,0.0132633,0.039613,0.0519718,0.0273901,0.015732,0.0225125,0.0238947,0.0272076,0.0127539,0.0317042,0.0075228,0.00976158,0.00937298,0.0431349,0.025286,0.0159176,0.122491,0.104306,0,0,0,0,0,0,0,0,0,0
17,0.156625,0.113244,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0135982,0.020742,0.0252855,0.0629298,0.044381,0,0.0287295,0.0118469,0.0474755,0.027605,0.0600201,0.028095,0.055069,0.213651,0.0186882,0.030897,0.0298769,0.0237395,0.0239104,0.00653614,0.0201687,0.0825457,0.0223246,0.0118315,0.00983116,0.0147989,0.0155917,0.0410393,0.112227,0,0,0.0708672,0,0.0169104,0.0388315,0.0469316,0.0142429,0.0132373,0.0396088,0.0519775,0.0278623,0.015717,0.0225172,0.0238854,0.0272027,0.0127211,0.0316957,0.00753687,0.00973801,0.00929773,0.0431064,0.0253939,0.0158318,0.122508,0.10428,0,0,0,0,0,0,0,0,0,0
18,0.156712,0.113259,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0116006,0.0207335,0.025802,0.0625212,0.0444382,0,0.0287324,0.0118009,0.0480803,0.027454,0.0605295,0.0254468,0.0555147,0.213766,0.0189886,0.0326358,0.0275822,0.0222719,0.023765,0,0.0151667,0.0826194,0.022338,0.0118509,0.00989459,0.0148689,0.0153758,0.0407436,0.11231,0,0,0.0707844,0,0.0169268,0.038805,0.0469312,0.0139914,0.013265,0.0392391,0.0516809,0.0278787,0.0155186,0.0227343,0.0236426,0.026744,0.0125025,0.0320907,0.0071811,0.009502,0.00927196,0.0430749,0.0253937,0.0157606,0.122463,0.104453,0,0,0,0,0,0,0,0,0,0
19,0.156637,0.113227,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0139553,0.0207316,0.0252385,0.0627008,0.0444607,0,0.0287697,0.0117533,0.0475343,0.0279332,0.0599301,0.0280256,0.0548654,0.213651,0.0186764,0.0307707,0.0297991,0.0238228,0.0238185,0.00653462,0.0209107,0.0826747,0.0223499,0.0118436,0.00968098,0.0147906,0.0155537,0.0408552,0.112242,0,0,0.0709295,0,0.0169726,0.0388671,0.04692,0.0141352,0.0131719,0.0394268,0.0516681,0.0277545,0.0156667,0.0225193,0.0237896,0.0270478,0.0127141,0.0318176,0.00749079,0.0096904,0.00918474,0.0431793,0.0253635,0.0158823,0.122423,0.104367,0,0,0,0,0,0,0,0,0,0
20,0.156631,0.113258,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0138164,0.0207623,0.0253463,0.0628623,0.0443715,0,0.0287336,0.0118873,0.0474658,0.0278826,0.0599399,0.0281022,0.0550393,0.213639,0.0188426,0.0308459,0.0298903,0.0238917,0.0239339,0.00645748,0.0204999,0.0825149,0.0223243,0.0118033,0.00967051,0.0148187,0.0155372,0.0409838,0.112375,0,0,0.0708316,0,0.0169209,0.0387817,0.046946,0.0141757,0.0131655,0.0395723,0.0519022,0.027767,0.0157273,0.0224868,0.0238731,0.0271582,0.0128307,0.03171,0.00757201,0.00977359,0.00916803,0.0431032,0.0253512,0.0158734,0.122503,0.10424,0,0,0,0,0,0,0,0,0,0
21,0.156688,0.113282,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0136966,0.0207622,0.0253681,0.0629202,0.0443648,0,0.0287493,0.0119385,0.0474559,0.0278245,0.0599339,0.028122,0.0550682,0.213658,0.0189125,0.0308781,0.0298977,0.0237716,0.0239514,0.00646006,0.0202954,0.0824747,0.0223304,0.0117968,0.00970575,0.0147725,0.0156693,0.0410164,0.112602,0,0,0.0708102,0,0.0168527,0.0387435,0.0469404,0.0141868,0.0131559,0.0396144,0.0518821,0.0277568,0.0157466,0.0224953,0.0239137,0.0272009,0.0128599,0.031675,0.00760326,0.00978069,0.00916963,0.0430934,0.0253474,0.0158773,0.122544,0.104248,0,0,0,0,0,0,0,0,0,0
22,0.156701,0.113272,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0136652,0.020756,0.0253901,0.0629422,0.044372,0,0.028753,0.0119355,0.0474556,0.0278036,0.0599285,0.028146,0.0550916,0.213688,0.0189126,0.0309063,0.0299152,0.0235158,0.0239726,0.00645889,0.0201881,0.0824677,0.0223333,0.0119438,0.00968672,0.0148122,0.0158348,0.0410356,0.112474,0,0,0.0708528,0,0.0168978,0.0387217,0.0469571,0.0141806,0.0131654,0.0396166,0.0519316,0.0277772,0.0157617,0.0224988,0.0238951,0.0271976,0.0128913,0.0316522,0.00764498,0.00980281,0.00919431,0.0430877,0.0252746,0.0159244,0.12257,0.104294,0,0,0,0,0,0,0,0,0,0
23,0.156691,0.113244,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0136704,0.0207447,0.0254356,0.0629509,0.0443707,0,0.0287477,0.011936,0.0474342,0.0277973,0.0599271,0.0281786,0.0551209,0.213699,0.0189058,0.0309071,0.0299195,0.0234483,0.0239901,0.0064419,0.0201616,0.0824741,0.0223423,0.0123219,0.00968237,0.0148489,0.0158025,0.0410573,0.112337,0,0,0.0708651,0,0.0169388,0.0387093,0.0469711,0.0142245,0.013176,0.0396061,0.0519602,0.0277392,0.0157676,0.0224929,0.0238867,0.0271889,0.0128642,0.0316342,0.00764292,0.00980924,0.0092022,0.0430885,0.0252089,0.0159557,0.122593,0.10432,0,0,0,0,0,0,0,0,0,0
24,0.156661,0.113224,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0137363,0.0207406,0.0254881,0.0629695,0.044364,0,0.0287413,0.0119391,0.0473632,0.0278248,0.059873,0.0282188,0.0551257,0.213701,0.0188911,0.0309055,0.0299209,0.0235121,0.0240171,0.00640589,0.0202042,0.082478,0.0223494,0.0124824,0.00968957,0.0148562,0.0157773,0.0410816,0.112303,0,0,0.0707926,0,0.0169375,0.0387166,0.0469998,0.0142786,0.0131645,0.0396184,0.0519561,0.0277877,0.015802,0.0224612,0.0238968,0.0272222,0.0128472,0.0316297,0.0076442,0.00985114,0.00917664,0.0430732,0.0251843,0.0159257,0.122628,0.104333,0,0,0,0,0,0,0,0,0,0
25,0.158742,0.118348,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0177736,0.022289,0.027602,0.107721,0.0412485,0,0.0255451,0.020978,0,0.0491222,0,0.0385705,0.113024,0.215291,0.0402865,0.027999,0.0359676,0.0281453,0.0348612,0,0.039724,0.0728279,0.0198623,0.0121118,0.00929143,0.0136399,0.016501,0.0484639,0.106771,0,0,0.0752062,0,0.0190947,0.0409152,0.0470721,0.013664,0.0157522,0.0408772,0.0886503,0.0267389,0.0178163,0.021129,0.0259654,0.0292175,0.0126379,0.0298227,0.00945155,0.00882617,0.0083664,0.0461171,0.0231099,0.0194859,0.136179,0.0881556,0,0,0,0,0,0,0,0,0,0
26,0.156168,0.112846,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0216854,0.0207275,0.0240211,0.0574221,0.0443857,0,0.0288469,0.0116796,0,0.0228273,0.059712,0.0241538,0.0579956,0.212857,0.0174029,0.0307198,0.0249361,0.0183751,0.018844,0.014145,0.0272535,0.0825485,0.0224154,0.0119843,0.012424,0.0145773,0.0147182,0.040787,0.111704,0,0,0.0715661,0,0.0172237,0.0390513,0.0410387,0.0124401,0.0149585,0.0385011,0.0506272,0.0275625,0.012346,0.0244298,0.0228885,0.0241601,0.011244,0.033082,0.00664246,0.00843592,0.0111602,0.0436617,0.0248824,0.0164595,0.122181,0.104098,0,0,0,0,0,0,0,0,0,0
27,0.156123,0.112863,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0202274,0.0207407,0.0236119,0.0575261,0.0443374,0,0.0288182,0.0117464,0,0.0226362,0.0597631,0.0243572,0.0581609,0.212863,0.0175807,0.030686,0.0251097,0.0184716,0.0188827,0.0136099,0.0258807,0.082479,0.0223883,0.0118254,0.0124461,0.0145058,0.014784,0.0408609,0.111521,0,0,0.07157,0,0.0171386,0.0390541,0.041011,0.0125266,0.0148895,0.0385732,0.0508726,0.0271525,0.0123392,0.0244265,0.0229248,0.0242307,0.0113109,0.0330128,0.00669632,0.00844479,0.0111527,0.0436842,0.0250114,0.016392,0.122256,0.103963,0,0,0,0,0,0,0,0,0,0
28,0.156344,0.112859,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0130828,0.0206882,0.0249665,0.0615465,0.0445552,0,0.0289058,0.0114097,0.0480163,0.0261003,0.0587846,0.0273307,0.053749,0.213153,0.0184412,0.030515,0.0289001,0.022477,0.0231328,0.00762198,0.0179509,0.0830087,0.0224213,0.0118301,0.00988629,0.0146453,0.0152453,0.0407563,0.11206,0,0,0.0710059,0,0.0169216,0.0388346,0.0465573,0.013667,0.0138837,0.0390829,0.0499767,0.0271216,0.015201,0.0225125,0.0235759,0.026513,0.0122987,0.0320496,0.0073149,0.00916964,0.00856855,0.0432103,0.0252415,0.0159279,0.121797,0.104568,0,0,0,0,0,0,0,0,0,0
29,0.156321,0.112997,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0129827,0.0207581,0.0251867,0.0624111,0.0443425,0,0.0287853,0.0117219,0.0476046,0.0268652,0.0594187,0.0278818,0.0545086,0.213272,0.0187136,0.0307493,0.0294816,0.0230544,0.0236916,0.00685038,0.0183245,0.0826556,0.0223321,0.0118145,0.00962512,0.014677,0.0153953,0.040804,0.111992,0,0,0.0707001,0,0.0168559,0.0388143,0.046854,0.0139979,0.0133708,0.0392364,0.0510562,0.0274036,0.0154895,0.0224666,0.0236342,0.0268405,0.0125741,0.031896,0.0074772,0.00947033,0.00870961,0.0430702,0.025339,0.015884,0.122255,0.104193,0,0,0,0,0,0,0,0,0,0
30,0.156423,0.11308,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0131809,0.0207792,0.0253039,0.06275,0.0442975,0,0.0287445,0.0118664,0.0474988,0.0272728,0.0596553,0.0280394,0.0548889,0.213417,0.0187842,0.0308354,0.0296747,0.0232302,0.0238551,0.00662994,0.0188603,0.0825204,0.0223095,0.0118333,0.00960628,0.0146813,0.0155238,0.0409361,0.111993,0,0,0.0706253,0,0.0168279,0.0388397,0.0469023,0.0141672,0.0132167,0.0393858,0.051499,0.0279107,0.0156374,0.0224824,0.0237345,0.0270133,0.0126989,0.0317701,0.00759274,0.00962328,0.00889866,0.0430772,0.0253953,0.0158832,0.122468,0.10409,0,0,0,0,0,0,0,0,0,0
31,0.156507,0.11312,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0133807,0.0207802,0.0253926,0.0628927,0.0442915,0,0.0287211,0.0119267,0.047472,0.0275079,0.0597405,0.0281048,0.0550541,0.213508,0.018814,0.0308919,0.029764,0.0233071,0.0239201,0.00654099,0.0193581,0.0824721,0.0223006,0.0118368,0.00961635,0.0146834,0.0155845,0.0410106,0.11205,0,0,0.0706652,0,0.0168151,0.0388365,0.0469069,0.0142394,0.0131695,0.0394426,0.0517186,0.0281304,0.0156933,0.022489,0.0237819,0.0270893,0.0127452,0.0317045,0.00762734,0.0096414,0.00900992,0.0431046,0.0253975,0.0159045,0.122568,0.104056,0,0,0,0,0,0,0,0,0,0
32,0.156565,0.113149,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0135459,0.0207763,0.0254452,0.0629474,0.0443062,0,0.0287166,0.0119466,0.0474721,0.0276171,0.0597933,0.0281361,0.0551331,0.213562,0.0188184,0.0308934,0.0298286,0.0233364,0.0239687,0.00650015,0.0196995,0.082453,0.0223065,0.0118336,0.00959059,0.0146866,0.0155828,0.0410288,0.112146,0,0,0.0707059,0,0.0168052,0.0387986,0.0469286,0.0142649,0.013152,0.039454,0.0518149,0.0281121,0.0157283,0.0224753,0.0238076,0.0271278,0.0128107,0.0316688,0.00765248,0.00966857,0.00908332,0.0431442,0.0253912,0.0159174,0.122623,0.104075,0,0,0,0,0,0,0,0,0,0
33,0.156585,0.113172,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0136663,0.0207622,0.0254803,0.0629797,0.0443203,0,0.0287078,0.0119565,0.0474625,0.0276896,0.0597945,0.028166,0.0552075,0.213609,0.0188188,0.0308689,0.0298963,0.0233462,0.0239922,0.00646668,0.0198993,0.082422,0.0223066,0.0118451,0.00954031,0.0146783,0.0155258,0.0410353,0.11207,0,0,0.0707219,0,0.0168049,0.0388465,0.0469363,0.0142478,0.0131239,0.0394654,0.0519115,0.0279454,0.0157433,0.0224782,0.0238183,0.027132,0.0128464,0.0316601,0.00766163,0.00969986,0.00911005,0.0431699,0.0254059,0.0158998,0.122659,0.104083,0,0,0,0,0,0,0,0,0,0
34,0.156575,0.113191,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0137623,0.020757,0.0254978,0.063013,0.0443272,0,0.0287047,0.0119552,0.0474348,0.0277361,0.0597764,0.0281686,0.055268,0.213652,0.0188092,0.0308841,0.029881,0.0233475,0.0239783,0.00643662,0.0200391,0.0823942,0.0223027,0.0118615,0.00956018,0.014664,0.0155526,0.0410571,0.111882,0,0,0.0707425,0,0.0168042,0.0388874,0.0469572,0.0142712,0.0131075,0.0394803,0.0520041,0.027754,0.0157574,0.0224852,0.0238501,0.0271604,0.0128009,0.0316709,0.00764977,0.00974788,0.00911589,0.0431694,0.0254175,0.0158915,0.122682,0.104092,0,0,0,0,0,0,0,0,0,0
35,0.15667,0.113211,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0115637,0.0207471,0.026053,0.0626875,0.044396,0,0.0287274,0.0119027,0.0479783,0.0274212,0.0602869,0.025486,0.0556969,0.21379,0.0191484,0.0326488,0.0274587,0.0208301,0.0238049,0,0.0150442,0.0824789,0.0223372,0.0118596,0.0097196,0.0146997,0.0153452,0.040798,0.111981,0,0,0.070715,0,0.0167817,0.0388727,0.0470086,0.0140592,0.0131727,0.0391769,0.0516389,0.0280586,0.0155869,0.0226953,0.0236158,0.026773,0.0124909,0.0320515,0.00727082,0.00954609,0.00919212,0.0431539,0.0254535,0.0158558,0.122639,0.104285,0,0,0,0,0,0,0,0,0,0
