Timestep,C7,DBL,DBR,DTL,DTR,FBL,FBR,FTL,FTR,Handle1,Handle2,IMU_L,IMU_M,IMU_R,LSHO,LUPA,R5FT,R5HD,RANK,RBAK,RBHD,REAR,RELB,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIBA,RTIBI,RTOE,RUPA,RWRA,RWRB,x74,x75,LFHD,LTHIA,T10,LWRA,RTIBP,LBHD,LKNE,LPSI,RTIB,LTHIP,RASI,LHEE,RPSI,CLAV,LFIN,STRN,LTHII,L5HD,x76,LTHI,LTIB,LWRB,LANK,LFRM,LEAR,LTIBP,LTOE,L5FT,LGTR,LTIBA,RFHD,LASI,LILC,,LTIBI,LELB
1466,0.0262493,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0272634,0.0465347,0.0245406,0.0212852,0.026081,0.0228313,0,0,0.0351485,0.0174682,0.0248283,0.0412719,0.0350573,0.0311937,0.0324004,0.0272949,0.0097232,0.0225832,0.0209605,0.0222202,0.0285363,0.0168596,0.0224984,0.02786,0.0382863,0.0353168,0,0,0,0.0241801,0.0178433,0.0114506,0.0200738,0,0,0.0140774,0.0189393,0.0740589,0.0336733,0.0351063,0.0122428,0.00734512,0.0224308,0.00407232,0,0.0207099,0,0.013543,0.0309816,0.024265,0.0198422,0.0299239,0,0.0245068,0.0279227,0.0256474,0.0636514,0.0154722,0,0.00934265,0.0103851,0,0.0211545,0.0543534
1467,0.0263417,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0267291,0.0459388,0.0231297,0.0219264,0.0263763,0.0226801,0,0,0.0357032,0.0177006,0.0250288,0.0412009,0.0363787,0.0311016,0.0312892,0.0272673,0.00946049,0.0224305,0.0203564,0.0218658,0.0284545,0.017358,0.021103,0.0279674,0.0385822,0.0355045,0,0,0,0.025098,0.0177479,0.0115392,0.0209349,0,0,0.0139525,0.0195779,0.0737822,0.033552,0.0342799,0.0118766,0.00751712,0.0227789,0.00387828,0,0.0204875,0,0.0137642,0.0305744,0.0240609,0.0197817,0.0294685,0,0.0244705,0.0263691,0.0252743,0.0635206,0.0152587,0,0.0091694,0.0102028,0,0.0204223,0.0537464
1468,0.0264938,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026252,0.0452728,0.0221066,0.022356,0.0266465,0.0225529,0,0,0.0364307,0.0179342,0.0252437,0.0405895,0.0375019,0.0310476,0.0304621,0.027317,0.00925078,0.0223931,0.0198715,0.021483,0.0284627,0.0176725,0.020234,0.0282425,0.0388574,0.035545,0,0,0,0.0250041,0.0176488,0.0116435,0.02159,0,0,0.0134422,0.019807,0.0739831,0.0333815,0.0321122,0.0111126,0.00761436,0.0233316,0.00376234,0,0.0201824,0,0.014781,0.0294611,0.0238245,0.016947,0.0289181,0,0.0268889,0.023767,0.0213283,0.0634086,0.0149777,0,0.00871993,0.0104769,0,0.0204912,0.0530392
1469,0.0267203,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0259067,0.0447736,0.0206258,0.0226842,0.0269992,0.022539,0,0,0.0371941,0.0181623,0.0255132,0.0406867,0.0389293,0.0308562,0.0297206,0.0273552,0.00897361,0.0223057,0.0194248,0.0211872,0.0283155,0.0180942,0.0190667,0.0284969,0.0392412,0.0355683,0,0,0,0.0269648,0.0176678,0.0115508,0.0228437,0,0,0.0131987,0.0201939,0.0732649,0.0334146,0.0333427,0.011153,0.00770813,0.0233803,0.0040109,0,0.0201635,0,0.0141555,0.0297328,0.0236474,0.0195556,0.0285707,0,0.0249593,0.0251417,0.0253545,0.0633192,0.0148158,0,0.0090387,0.0100096,0,0.0190244,0.0525062
1470,0.0268255,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0254758,0.0442484,0.0195772,0.0229158,0.0274104,0.0225209,0,0,0.0379455,0.0183954,0.0258877,0.0407407,0.0402343,0.030818,0.0290997,0.0274243,0.00857038,0.0222139,0.019081,0.0209825,0.0281696,0.0185128,0.0183584,0.0287563,0.0397504,0.0355699,0,0,0,0.0280371,0.0175183,0.0113885,0.0235538,0,0,0.0128864,0.0204043,0.0730151,0.0334075,0.0328454,0.010783,0.00773895,0.023217,0.00404329,0,0.0201638,0,0.0144244,0.029211,0.0233984,0.0193939,0.0281554,0,0.0252485,0.0253259,0.0258458,0.0632444,0.0147174,0,0.00888386,0.00994592,0,0.0183573,0.0518698
1471,0.0268616,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0249874,0.0436777,0.0186435,0.023186,0.0277706,0.0224611,0,0,0.0387196,0.0187007,0.0263841,0.0408471,0.0413418,0.0308058,0.0287263,0.0274883,0.00794638,0.0220986,0.0189102,0.0208921,0.0279967,0.0188783,0.0178578,0.029021,0.0404157,0.0356258,0,0,0,0.0291471,0.0173227,0.0112019,0.02418,0,0,0.0126696,0.0207261,0.0728019,0.0334574,0.0323362,0.010486,0.00769093,0.0230285,0.00397816,0,0.0201847,0,0.0148348,0.0288455,0.0231583,0.0191034,0.0276723,0,0.0253302,0.0256794,0.0262405,0.0631316,0.0147796,0,0.00870567,0.00992635,0,0.0178572,0.0511324
1472,0.0268609,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0244227,0.0429771,0.0179775,0.0234405,0.0280606,0.0223568,0,0,0.039547,0.0190557,0.02692,0.0407479,0.042253,0.0307533,0.0286417,0.0275193,0.0076612,0.0220585,0.0188463,0.0209252,0.0277842,0.0190817,0.0175778,0.0293447,0.0411439,0.0357482,0,0,0,0.0288824,0.0171437,0.0110696,0.0247568,0,0,0.0125414,0.0210388,0.0730044,0.033562,0.0306041,0.0101883,0.00763372,0.0229627,0.00393018,0,0.0201795,0,0.0154852,0.0276829,0.0229516,0.0176239,0.0271309,0,0.0270279,0.0257389,0.0247149,0.0630002,0.0149265,0,0.00834746,0.0102976,0,0.0182841,0.0502942
1473,0.0270458,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0239964,0.0423543,0.0169991,0.0236717,0.0283529,0.0223806,0,0,0.0405402,0.0194318,0.0275123,0.0411109,0.0431985,0.0305231,0.0286147,0.0275953,0.00818716,0.0219377,0.0187764,0.0209593,0.027497,0.0194322,0.0172427,0.0298063,0.0418202,0.0359596,0,0,0,0.0304752,0.0171829,0.0109783,0.0256926,0,0,0.0124327,0.0216643,0.0721795,0.0337014,0.031966,0.0104764,0.00764354,0.02309,0.00402046,0,0.020065,0,0.0152531,0.0280042,0.0226805,0.0191304,0.0266367,0,0.0256337,0.0268291,0.0268782,0.0629267,0.0147093,0,0.00867691,0.00988864,0,0.0166445,0.0495394
1474,0.0271881,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0236856,0.0415273,0.0161766,0.0236778,0.0287107,0.0222626,0,0,0.0415323,0.0195902,0.0281089,0.0412556,0.0441234,0.0303627,0.0286628,0.027608,0.00832808,0.0219523,0.0187233,0.0210656,0.027231,0.0198285,0.0170678,0.0302477,0.0421795,0.0360728,0,0,0,0.0305055,0.0172322,0.0109016,0.0264503,0,0,0.0123579,0.0221809,0.0717345,0.033786,0.0320065,0.0106367,0.00763501,0.0232895,0.00405329,0,0.0199981,0,0.0149538,0.027856,0.0223397,0.019399,0.0260847,0,0.0257673,0.0276925,0.0274062,0.0628945,0.014743,0,0.00874428,0.00976141,0,0.0161083,0.0486696
1475,0.0261209,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0238418,0.0405782,0.0153675,0,0.029113,0.0209948,0,0,0.0380175,0.0156854,0.0240325,0.0412461,0.045019,0.030203,0.0289041,0.0249734,0.0081554,0.022138,0.0187692,0.0212803,0.0269295,0.0201506,0.0170484,0.0273202,0.0402393,0.0324649,0,0,0,0.0289267,0.0166303,0.0108443,0.0270989,0,0,0.013254,0.0226448,0.0715992,0.0340483,0.0318882,0.0114088,0.00683868,0.023548,0.00341767,0,0.0197063,0,0.0148901,0.0271273,0.0218395,0.0191881,0.025449,0,0.0272672,0.0287332,0.0266117,0.0629244,0.015015,0,0.008517,0.0101488,0,0.0171796,0.0476651
1476,0.0263022,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0237952,0.0400927,0.0144512,0,0.0295046,0.0209278,0,0,0.0387867,0.0156267,0.0244844,0.0418135,0.0458774,0.0299586,0.0290627,0.0249706,0.00794649,0.0221573,0.0188088,0.0214202,0.0265083,0.020515,0.0173157,0.0276131,0.0404612,0.0324989,0,0,0,0.0295192,0.0168826,0.0108405,0.0278649,0,0,0.0132269,0.023243,0.070751,0.0341804,0.0333588,0.0118153,0.00687415,0.0236206,0.00345029,0,0.0194898,0,0.0146555,0.0286093,0.021277,0.0201428,0.0250057,0,0.0260916,0.0290676,0.0282557,0.0629046,0.0153734,0,0.00887996,0.0095678,0,0.0168835,0.047179
1477,0.0263269,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0236228,0.0396029,0.0141499,0,0.0302547,0.0206944,0,0,0.0396554,0.0147498,0.0252995,0.0423212,0.0470517,0.0298976,0.0291388,0.0249157,0.00774109,0.0223098,0.0188877,0.021584,0.0260725,0.0209593,0.0178045,0.0279089,0,0.0337401,0,0,0,0.0276834,0.0170134,0.0108085,0.028481,0,0,0.0132259,0.023705,0.0710962,0.0342515,0.0345189,0.0117899,0.00694621,0.0236293,0.00338422,0,0.0193185,0,0.0144554,0.0282788,0.0207577,0.0204997,0.0246399,0,0.0274546,0.0291908,0.0273054,0.0628236,0.0155198,0,0.00868993,0.0097445,0,0,0.046642
1478,0.0263575,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0234457,0.0391949,0.0133752,0,0.0310031,0.020581,0,0,0.0398965,0.0153351,0.0250811,0.0434588,0.0484546,0.0297407,0.029078,0.0247516,0.0077586,0.0223903,0.0189352,0.0218868,0.0256707,0.0215183,0.018417,0.0277829,0.0403159,0.0324356,0,0,0,0.0281548,0.0172741,0.0107248,0.0296414,0,0,0.0132484,0.0245194,0.0704318,0.0344417,0.0349797,0.0122044,0.00690421,0.0236408,0.00334114,0,0.019182,0,0.0138757,0.0299947,0.0202922,0.0209145,0.0242988,0,0.0265443,0.0296701,0.0287188,0.0629245,0.0162209,0,0.00936163,0.00939325,0,0.0175162,0.0461382
