Timestep,,C7,CLAV,DBL,DBR,DTL,DTR,FBL,FBR,FTL,FTR,Handle1,Handle2,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x74,x75,x76,LHEE,x77,LBHD,RFRM
1405,0,0.0130847,0.00759891,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0119646,0.0139759,0.00954453,0,0,0.0175241,0,0.0267356,0.00844463,0,0.015713,0.020257,0.00750935,0.0120389,0.030248,0.0283627,0,0.0318397,0.0178123,0.0168662,0.00929493,0.0349077,0.015701,0.00879227,0.0147312,0.00835353,0.0267926,0.0193045,0.0235032,0.0153579,0.00294166,0,0,0.0190406,0,0.0161821,0.0512902,0.0437774,0.0170542,0.0273634,0.0124332,0.0128469,0.0612612,0.0308582,0.00737494,0,0,0.0488,0.0177897,0.0307831,0.0382208,0.0123999,0.0315985,0.00815167,0.00360384,0.00135255,0,0,0,0.0121449,0,0,0.0101701
1406,0,0.0130682,0.007757,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0131864,0.0138672,0.00972852,0.0131782,0,0.0174512,0,0.0267851,0.00863548,0,0.0155775,0.0189648,0.00716619,0.0130695,0.0300907,0.0271234,0.0222881,0.0322806,0.0162295,0.0145692,0.00791632,0.0355541,0.0160115,0.00890447,0.0146457,0.00837258,0.0272117,0.0192814,0.0234557,0.0153162,0.00296223,0,0,0.0194713,0,0.0161778,0.0513924,0.0434842,0.0168382,0.0277069,0.0127285,0.0130494,0.0615647,0.0300108,0.0076948,0,0,0.0493302,0.0170607,0.0300056,0.0385233,0.0127354,0.0317438,0.00825535,0.0037534,0.00138379,0,0,0,0.0121981,0,0,0.0100306
1407,0,0.012771,0.00839856,0,0,0,0,0,0,0,0,0,0,0,0,0,0.093182,0.0143825,0.0428217,0.014437,0,0.0173834,0,0.0261355,0.00990498,0,0.0205986,0,0.00364057,0.012942,0.0217137,0.0411629,0.0283417,0.0344157,0.0386056,0.0503434,0.0242438,0.0195054,0.104367,0.00770708,0.0145796,0.00784975,0.0284435,0.0198499,0.0241326,0.0147742,0.00452523,0,0,0.0183451,0,0.0157269,0.0519464,0.0446308,0.0124204,0.0283633,0.0136897,0.014166,0.0612672,0.029006,0.00810079,0,0,0.0502676,0.0167106,0.0304135,0.0405262,0.0123897,0.0319703,0.00839202,0.00304564,0.00290521,0,0,0,0.037575,0,0,0.0102755
1408,0,0.0136142,0.00788504,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01348,0.0137621,0.00915524,0.0112112,0,0.01675,0,0.0267732,0.00933976,0,0.0158221,0.0203631,0.00705052,0.0144225,0.0327473,0.0284656,0.0224313,0.0322579,0.0169528,0.0154168,0.00850597,0.0351384,0.0163057,0.00913876,0.0145336,0.00826549,0.0280304,0.0193341,0.0233694,0.014943,0.00248562,0,0,0.0202093,0,0.0160904,0.0511741,0.0425869,0.0166854,0.027641,0.0123732,0.0132925,0.0618814,0.0285756,0.00795288,0,0,0.0506564,0.0154453,0.0289478,0.0391044,0.0132763,0.0312501,0.0084382,0.00339368,0.00364472,0,0,0,0.010912,0,0,0.00977298
1409,0,0.0138813,0.00799818,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0130724,0.013709,0.00913182,0.0105628,0,0.0163784,0,0.026885,0.00907237,0,0.0164582,0.0238922,0.00692641,0.0150694,0.026355,0.0288433,0.0222124,0.031758,0.0185515,0.0176985,0.0101579,0.0346673,0.0166449,0.0092529,0.0144779,0.00832759,0.0287382,0.0193573,0.0240865,0.0146588,0.00223597,0,0,0.0205366,0,0.016076,0.0513074,0.0436113,0.0166655,0.0282981,0.0119368,0.0135034,0.0621391,0.0284789,0.00830287,0,0,0.051229,0.0151342,0.0293531,0.0402413,0.0134932,0.0312589,0.00855579,0.0032045,0.00484854,0,0,0,0.0113388,0,0,0.00971334
1410,0,0.0137838,0.00810885,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0144573,0.0137768,0.0101926,0.0105044,0,0.0160965,0,0.0270089,0.00858479,0,0.0165923,0.0259011,0.00704984,0.014805,0,0.028912,0,0.0315743,0.0199933,0.019547,0.0118727,0.0347511,0.0184567,0.00920718,0.0143828,0.00844098,0.0296572,0.0194545,0.0249701,0.0146199,0.00221142,0,0,0.0208027,0,0.0159918,0.0515832,0.0450432,0.0167284,0.0286968,0.0117298,0.0136527,0.062137,0.0287213,0.00854232,0,0,0.0518488,0.0148809,0.0298444,0.0419245,0.0136499,0.0314221,0.00856848,0.00329156,0.00408215,0,0,0,0.0126616,0,0,0.00979059
1411,0,0.0134551,0.00779058,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0157574,0.0137441,0.0111624,0.0107433,0,0.0160193,0,0.027042,0.00753875,0,0.0161258,0.026533,0.00740485,0.0142594,0,0.030123,0,0.0316863,0.0207146,0.02045,0.0127197,0.034746,0.0199618,0.00915112,0.0142528,0.00854232,0.030971,0.019519,0.0263167,0.0149512,0.00236754,0,0,0.0211273,0,0.0158954,0.0517924,0.0470317,0.0169823,0.0292307,0.0118946,0.013708,0.0620562,0.0291796,0.00866421,0,0,0.0524509,0.014846,0.0307255,0.0442988,0.0138333,0.0314502,0.0086478,0.00345414,0.0022985,0,0,0,0.0140209,0,0,0.00981187
1412,0,0.0131518,0.00760364,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0182607,0.0140031,0.0138033,0.0105182,0,0.0158365,0,0.0272043,0.0071894,0,0.0161552,0.0284697,0.00695059,0.0138309,0.0843606,0.0321872,0,0.0312349,0.0230643,0.0234209,0.01565,0.0362755,0.0228519,0.00903343,0.0141875,0.00862048,0.0324643,0.0197168,0.0279152,0.0150702,0.0028396,0,0,0.02111,0,0.0157379,0.0524756,0.0494551,0.0168641,0.0296576,0.0125927,0.0139753,0.061772,0.0291975,0.00816891,0,0,0.0529949,0.0150081,0.0318273,0.0471465,0.0138833,0.0314874,0.00867451,0.00344491,0.00229232,0,0,0,0.0163096,0,0,0.00986905
1413,0,0.0130784,0.00755401,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018482,0.014397,0.0141548,0.0105463,0,0.0155454,0,0.0274444,0.00731408,0,0.0162425,0.0288218,0.00650484,0.0139571,0.0920411,0.0325606,0,0.0312069,0.0233951,0.0238012,0.0160074,0.0365747,0.0233133,0.0093048,0.0140966,0.00879159,0.0340191,0.0197386,0.0290781,0.015197,0.00304004,0,0,0.0212963,0,0.0157373,0.052713,0.0514239,0.0165898,0.0301874,0.0131038,0.0139327,0.0616421,0.0291558,0.00817568,0,0,0.0534675,0.0151085,0.0327141,0.0497583,0.0139632,0.0313937,0.00863766,0.00334534,0.00238224,0,0,0,0.0166366,0,0,0.00981378
1414,0,0.0130857,0.00763489,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0187228,0.0144547,0.0143837,0.0105516,0,0.0152241,0,0.0273548,0.00721821,0,0.0162367,0.0288069,0.0066976,0.0139523,0.0891722,0.0322004,0,0.0313392,0.0235212,0.0239134,0.0161134,0.036365,0.0237435,0.00950552,0.0140575,0.00880354,0.0351088,0.0197456,0.029953,0.0152979,0.00315982,0,0,0.0214686,0,0.0157025,0.0528463,0.0525579,0.0164676,0.0307148,0.0132889,0.0138571,0.0614744,0.0289948,0.00833176,0,0,0.053944,0.0150506,0.0333778,0.0517131,0.0140296,0.0313383,0.0086049,0.00331819,0.00318175,0,0,0,0.0171958,0,0,0.00980058
1415,0,0.0135401,0.00786356,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0207523,0.0188133,0.0156246,0.0108784,0,0.0134085,0,0.0207803,0.00729416,0,0.0159936,0,0.00791883,0.0122527,0,0.0306462,0,0.0313916,0.0238824,0.0239968,0.0163949,0.0348979,0.025482,0.012391,0,0.0125705,0.0363177,0.0196266,0.030699,0.0154128,0.00291288,0,0,0.0219759,0,0.0157625,0.0523504,0.0534945,0.0169374,0.0310708,0.0130217,0.0137878,0.0616899,0.0296665,0.00860407,0,0,0.0544141,0.0146729,0.0339938,0.0538213,0.0143268,0.0311406,0.00858741,0.00321576,0.00252997,0,0,0,0.0196783,0,0,0.00982984
1416,0,0.013295,0.00755911,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0177406,0.0140627,0.0125339,0.0108136,0,0.0154375,0,0.0275243,0.0080157,0,0.015978,0.0269063,0.00892911,0.0129749,0,0.0309142,0.0163159,0.032184,0.0221069,0.0218007,0.0140026,0.0342434,0.0226106,0.00982065,0.014473,0.00916717,0.0372846,0.0196583,0.0312195,0.0154005,0.00293873,0,0,0.0221752,0,0.0157306,0.0520904,0.0546071,0.0176674,0.0309553,0.0130109,0.0137122,0.0619395,0.0299899,0.00848174,0,0,0.0547176,0.0143931,0.0344766,0.0557684,0.0143934,0.0311796,0.00858431,0.00333834,0.00315002,0,0,0,0.016905,0,0,0.00990276
