Timestep,C7,CLAV,DBL,DBR,DTL,DTR,FBL,FBR,FTL,FTR,Handle1,Handle2,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHIA,RTHII,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,STRN,T10,x74,x75,RTHI,RTHIP,LWRA,RWRB,x76,RFHD,,x108,x97,x89,x90,x98,x106,x87,x100,x99,x94,x95,x82,x101,x103,x96,x107,x109,x112,x105,x77
598,0.0192573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0128274,0.0256714,0,0,0,0,0.0330468,0,0.0241188,0.0248065,0.0593529,0.0185851,0.0107647,0.0225807,0.00497489,0.0347276,0.0146378,0.0142642,0.0139686,0.0210965,0.0157246,0.0146248,0.00253076,0.0291093,0.0182804,0.0311784,0.0164987,0.0337547,0.0271268,0.0293342,0.0100033,0.00959871,0,0,0.0500937,0.0130609,0.0321893,0.0618346,0.0456644,0.00762849,0.0253927,0.00375797,0.0090914,0.0440298,0.107227,0.0370391,0.0619772,0.0270639,0.0462266,0.0499579,0.0266806,0.0337831,0.00508751,0.00585354,0,0,0.034337,0.0236833,0,0.00972414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
599,0.0226501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0140502,0.0268325,0,0,0,0,0.0352232,0,0.0225876,0.0262994,0.0571284,0.0143581,0.0106598,0.0219523,0.0194314,0.0363513,0.0167352,0.0156805,0.0109403,0.0181084,0.0145687,0.0137253,0.00291596,0.0313507,0.0185369,0.0338094,0.0166839,0.0280793,0.0280079,0.0249107,0.0325436,0.0058221,0,0,0.0471508,0.0130363,0.0318998,0,0.0300182,0.0255527,0.0207409,0.011645,0.00971789,0.0422831,0.109414,0.0257001,0.0654303,0.0238603,0.0292314,0.0412873,0.0265173,0.0338393,0.00555491,0.0041824,0,0,0.0493111,0.0337953,0,0.0102285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600,0.0255351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00921555,0.0273971,0,0,0,0,0.0371019,0,0.0218991,0.0274237,0.0612495,0.01408,0.0312856,0.022706,0.0381381,0.0368053,0.0163204,0.015272,0.0130767,0.0230186,0.0152009,0.0131692,0.00155151,0.0306522,0.0153275,0.0353515,0.0169425,0.0356587,0.0279186,0.0246826,0.0446902,0.0081719,0,0,0.0466674,0.0131575,0.0317665,0,0.0312114,0.0322619,0.0205318,0.0252443,0.00919091,0.0430899,0.110108,0.0268761,0.0654997,0.0234845,0.0312531,0.0509114,0.0264824,0.0335151,0.0092696,0.0108576,0,0,0.0506,0.0320615,0,0.0102616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
601,0.0213232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0186255,0.0263365,0,0,0,0,0.0351362,0,0.0229404,0.0259094,0.053414,0.0152812,0,0.0229151,0.0169157,0.0358816,0.0149102,0.0150406,0.0124287,0.0168969,0.0156425,0.0143269,0.0047741,0.0297838,0.0243804,0.0329485,0.0166385,0.0270535,0.0276121,0.0264679,0.029712,0.00603806,0,0,0.0467595,0.0132816,0.0316567,0,0.0314564,0.0248849,0.0228117,0.009829,0.00959685,0.0418094,0.111186,0.027852,0.0663378,0.0260616,0.0314069,0.036984,0.0268323,0.0334121,0.00574649,0.00327458,0,0,0.0497148,0.0332821,0,0.0100211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
602,0.02092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0208313,0.0264185,0,0.010149,0,0,0.0356107,0,0.0228088,0.0261721,0.0545928,0.0173274,0.00858426,0.0234145,0.0126816,0.0360874,0.0159165,0.0160562,0.0121117,0.0168374,0.0151364,0.0138588,0.00546214,0.0317609,0.0252673,0.0332221,0.0166373,0.0266455,0.0281716,0.0266464,0.026507,0.0062839,0,0,0.0452509,0.0131799,0.0314471,0,0.0311837,0.0225155,0.0234849,0.00798435,0.0105836,0.041261,0.111521,0.0283745,0.066318,0.0265199,0.0315879,0.035406,0.0257664,0.0337007,0.00598014,0.00353464,0,0,0.0489199,0.0325175,0,0.0103495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
603,0.0196624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0257517,0.026315,0,0.00879626,0,0,0.0355988,0,0.022949,0.0261194,0.0530696,0.0200631,0.011051,0.0239514,0.00708877,0.035804,0.016102,0.0166127,0.0123951,0.0150917,0.0149633,0.0140485,0.00710088,0.0326783,0.028384,0.0329266,0.0166446,0.0255942,0.0282386,0.0273089,0.0227789,0.00634655,0,0,0.0445307,0.0132235,0.0316713,0,0.032328,0.0215723,0.0248413,0.00598863,0.0110565,0.0414806,0.111659,0.0288269,0.0661208,0.0270893,0.0317522,0.0330431,0.0246257,0.0336447,0.00638516,0.00354956,0,0,0.0474876,0.0330612,0,0.010604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
604,0.0191902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0262018,0,0.00907885,0,0,0.0355622,0,0.0229487,0.025991,0.0530919,0.0213829,0.0100144,0.0253975,0.00693473,0.0353751,0.015691,0.0166693,0.0134587,0.015623,0.0164545,0.0166747,0.00938402,0.0335304,0.0348863,0.0326794,0.0166745,0.0267282,0.0280859,0.0281476,0.0227088,0.00619647,0,0,0.0445786,0.0134508,0.0316887,0,0.03357,0.0215708,0.0256329,0.00641821,0.011141,0.0416032,0.111712,0.0290825,0.0663595,0.0276908,0.0317174,0.0338823,0.0249017,0.0333519,0.00643758,0.0034566,0,0,0.0441356,0.0331618,0,0.0106359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
605,0.0192667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0289726,0.026103,0,0.0114389,0,0,0.0364323,0,0.0229844,0.0262996,0.0526723,0.0241923,0,0.0266236,0.0112247,0.0349574,0.013684,0.0165289,0.015561,0.0169028,0,0.0148933,0.00740936,0.0318888,0.028595,0.0330503,0.0168122,0.029481,0.027729,0.0314915,0.0244547,0.00599521,0,0,0.0450198,0.0137501,0.0316302,0,0.0374502,0.022471,0.0284906,0.00851422,0.01068,0.039351,0,0.0324364,0.0679068,0.0306205,0.0350032,0.0357248,0.0245858,0.0327718,0.00566822,0.00330374,0,0,0.045719,0.0349802,0,0.0105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
606,0.0162452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0253748,0,0.00990518,0,0,0.0356137,0,0.023883,0.0254066,0.0592029,0.0261906,0,0.0271226,0.00799254,0.0335074,0.0141038,0.0175179,0.0192907,0.0227608,0,0.017327,0.00973858,0.0324846,0.032532,0.031253,0.0169888,0.0457476,0.02687,0.0339508,0.00985679,0.00781584,0,0,0.0465083,0.0140828,0.0315886,0.0614094,0.0441802,0.00653036,0.0360573,0.0060736,0.00963964,0.0411927,0,0.0397779,0.0625699,0.0298274,0.0439709,0.053035,0.0243541,0.0321301,0.00529678,0.00585143,0,0,0.0347172,0.0235911,0,0.00990464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
607,0.0162491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0251196,0,0.00950968,0,0,0.0358477,0,0.0239759,0.0252939,0.058559,0.0198054,0.00674688,0.0203722,0.00714008,0.0332736,0.0124969,0.0131545,0.0171358,0.0237716,0.0129197,0.0147677,0.01021,0.0319367,0.0279374,0.0310339,0.0171106,0.0483447,0.0267591,0.0347251,0.00922808,0.00758721,0,0,0.0459319,0.014174,0.0312145,0.0623244,0.0437414,0.00766137,0.0371928,0.00515217,0.0100741,0.0410863,0,0.0393516,0.062348,0.0298642,0.0429816,0.0540192,0.0246682,0.0318459,0.00548129,0.00623189,0,0,0.0366327,0.0244919,0,0.0098626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
608,0.0172761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025204,0,0.00881255,0,0,0.0350487,0,0.0238351,0.024158,0.0587531,0.012778,0.00673847,0.0134086,0.00686388,0,0.011101,0.0102534,0.0152524,0.0244537,0.0113001,0.0117169,0.00986846,0.0305571,0.0215423,0.0304029,0.017707,0.0501794,0.0266434,0.0347773,0.00902512,0.00618281,0,0,0.0454308,0.0143553,0.0307775,0.0630379,0.042681,0.00783809,0.038499,0.004539,0.0104721,0.0407685,0,0.0387385,0.0620662,0.0296191,0.0420571,0.055699,0.0257064,0.0313999,0.0062884,0.0054516,0,0,0.0363817,0.0249614,0,0.00979486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
609,0.0166837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0251682,0,0.00863351,0,0,0.036154,0,0.0238547,0.0253287,0.0587164,0.0103708,0.00678513,0.0107621,0.00745325,0.0326041,0.0104972,0.0105077,0.0149286,0.0246569,0.0113384,0.0113657,0.0103613,0.0301643,0.0204846,0.0307832,0.0174969,0.0521741,0.0265636,0.0352106,0.00876467,0.00657278,0,0,0.0451157,0.0145218,0.0306583,0.0635771,0.0424863,0.00809146,0.040546,0.00475661,0.0102267,0.0403769,0,0.039097,0.0620683,0.029628,0.0423743,0.0579697,0.0250077,0.0310028,0.00487561,0.00592383,0,0,0.0358903,0.0258552,0,0.0099207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
610,0.0165958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0255711,0,0.00740205,0,0,0.0365918,0,0.0234743,0.0258338,0.0601335,0.00854036,0,0.00591313,0.00988364,0.0322668,0.0104681,0.0124853,0.0139004,0.0244749,0.0119354,0.010617,0.0104647,0.029025,0.0161739,0.0312629,0.0177147,0.053651,0.026733,0.0353772,0.00855903,0.00585328,0,0,0.0441253,0.01455,0.030463,0.0626009,0.0417539,0.00731307,0.0414574,0.00594253,0.010289,0.0393815,0,0.0390038,0.0617275,0.0291787,0.0421782,0.0590828,0.0240676,0.0307742,0.00426961,0.00541807,0,0,0.0356502,0.0268159,0,0.0101781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
611,0.0160519,0.00868143,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0192209,0.0237875,0,0.00659334,0,0,0.035817,0,0.0273483,0.0285771,0.0604823,0.0109998,0.0096262,0.006287,0.0106457,0.0273927,0.0100848,0.013288,0.0150801,0.0242704,0.0115242,0.0102927,0.0103631,0.02941,0.0116501,0.0298863,0.0165258,0.0738902,0.0267384,0.0491852,0.00911474,0.00539569,0,0,0.0433243,0.0146992,0.0300359,0.0613486,0.0619537,0.00663489,0.0740527,0.00657694,0.0102379,0.0345624,0,0.0682282,0.0591114,0.0379766,0.0727906,0.0771504,0.0247944,0.0302251,0.00305487,0.00430552,0,0,0.0350484,0.0354672,0.014611,0.0103178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
612,0.0156426,0.00766554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0257431,0,0.00600591,0,0,0.0374949,0,0.0230232,0.0261821,0.0607669,0.0132845,0.00941281,0.00644042,0.0108572,0.0309303,0.0109137,0.0174032,0.0156118,0.0235839,0.0136167,0.011479,0.0109164,0.0269392,0.011654,0.0312791,0.0173613,0.0728171,0.0268289,0.0475374,0.00877237,0.0053687,0,0,0.0432572,0.0148503,0.0297037,0.0608085,0.059572,0.00728985,0.0734662,0.00685292,0.0106929,0.0344818,0,0.0687249,0.0588561,0.0382809,0.0736487,0.0749977,0.0252451,0.0295336,0.00300806,0.00420544,0,0,0.0346325,0.035525,0,0.0104413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
613,0.0159454,0.00733008,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0254556,0.0260829,0,0.0042121,0,0,0.038316,0,0.0227658,0.0266871,0.061642,0.00834731,0,0.00565989,0.0124136,0.031487,0.0119588,0.0175508,0.015629,0.0218067,0.0132225,0.0117048,0.0106473,0.0287973,0.01299,0.0321846,0.0173376,0.0704008,0.0271952,0.0468204,0.00901869,0.00477094,0,0,0.042739,0.0148174,0.0295134,0.0596386,0.0595959,0.00696091,0.0726235,0.00764228,0.0113344,0.0345739,0,0.0690621,0.0585995,0.038697,0.074371,0.0723994,0.0245754,0.028713,0.00357403,0.00340078,0,0,0.0332686,0.0343081,0,0.0107624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
614,0.0168181,0.00832474,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0534959,0.0237124,0,0.003052,0,0,0.0379254,0,0.0269542,0.0293176,0.0612768,0,0.0108802,0.0206361,0.00791897,0.0284707,0.0169649,0.0204988,0.018838,0.0195611,0.0161277,0,0.0300312,0,0.0463704,0.0316643,0.0160307,0.0689808,0.0275201,0.0494908,0.00938235,0.00460794,0,0,0.0418578,0.0147683,0.0294841,0.0614557,0.0645987,0.00875198,0.0727108,0.00442063,0.0118454,0.0338717,0,0.0711875,0.0598471,0.0409544,0.0774612,0.0704813,0.0236927,0.0285122,0.00396391,0.00326609,0,0,0.033279,0.0332629,0.0139098,0.0111988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
615,0.01763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0262664,0.0236155,0,0.0044133,0,0,0.0377325,0,0.026999,0.0291195,0.0599214,0.011562,0.009444,0.0118758,0.00831336,0.0291743,0.0138946,0.0219725,0.0190045,0.0189854,0.0159321,0.00942068,0.0108436,0.0274402,0.0237742,0.0319842,0.0158823,0.0638844,0.0272469,0.0501751,0.0093478,0.00415867,0,0,0.0424547,0.0148653,0.0293762,0.0606335,0.0667887,0.00815229,0.0725018,0.00566809,0.0109475,0.0341192,0,0.0713119,0.0595474,0.0420412,0.0777828,0.0643612,0.023717,0.0283654,0.00336525,0.0025402,0,0,0.0301066,0.0320258,0.0138169,0.0110321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
616,0.016807,0.00774663,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0294062,0.0261735,0,0.00405549,0,0,0.0384466,0,0.0225148,0.0269641,0.0597017,0.0134232,0.00982284,0.0147835,0.00810223,0.0313316,0.0149061,0.0230266,0.0204807,0.0182779,0.0173879,0.00891126,0.0111772,0.0268558,0.0277838,0.0326641,0.0172811,0.0616137,0.0274927,0.0499937,0.00888559,0.00442349,0,0,0.0414829,0.0150859,0.0297071,0.0610637,0.0663311,0.00827085,0.0723351,0.00566933,0.0112932,0.0340836,0,0.0703634,0.0594224,0.0419439,0.0763506,0.0609149,0.0234432,0.0279736,0.00348874,0.00233943,0,0,0.0282029,0.0313184,0,0.011259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
617,0.0168749,0.00701561,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0315826,0.0235823,0,0.00392654,0,0,0.0393576,0,0.026567,0.0298161,0.0592549,0.0140565,0.0100941,0.0173941,0.00762123,0.0288372,0.0157959,0.0237872,0.0220877,0.0180437,0.0188895,0.00901098,0.0119958,0.0264915,0.035697,0.0334432,0.0159466,0.0592097,0.0275978,0.049541,0.00859217,0.00426331,0,0,0.0406397,0.0151574,0.0299384,0.0615737,0.0653856,0.00822204,0.0719361,0.0057476,0.0116108,0.0340425,0,0.0695276,0.0594641,0.0418681,0.0750661,0.0571954,0.0236986,0.0280477,0.00396647,0.00175659,0,0,0.0267793,0.0305872,0.0132575,0.0115426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
618,0.0166608,0.0066701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0235939,0,0.00408477,0,0,0.0400484,0,0.0265108,0.0300576,0.058948,0.0218892,0.0100569,0.0210673,0.00709942,0.0289853,0.0175844,0.0260597,0.0239178,0.0182106,0.0205254,0.00960461,0.0136035,0.0246969,0.0473291,0.0342193,0.0161181,0.0565145,0.0276403,0.0489747,0.00773971,0.00419759,0,0,0.0399395,0.0150603,0.0299237,0.0618411,0.0643165,0.00835824,0.0714765,0.00596368,0.0118317,0.0339755,0,0.0689728,0.0595646,0.0418965,0.0740893,0.0531852,0.0237514,0.0287059,0.00426447,0.00145148,0,0,0.0260025,0.0299655,0.012886,0.0116383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
619,0.0172589,0.00740665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0233494,0.0212098,0.00404787,0,0,0.0390978,0,0.0264255,0.0294618,0.057821,0.0189668,0.0101548,0.0232098,0.00647611,0,0.0185785,0.026831,0.0256451,0.0180865,0.0218646,0.00959168,0.0136799,0.0249175,0.0492465,0.0344114,0.0158098,0.0540742,0.0275138,0.0480964,0.00709495,0.0040575,0,0,0.039711,0.0154007,0.0298949,0.0614293,0.0630723,0.00861217,0.0711471,0.00579774,0.0124458,0.0340569,0,0.0687538,0.0594917,0.0418964,0.0736036,0.0504278,0.0235095,0.0299568,0.00462004,0.00139944,0,0,0.0255258,0.0297022,0.0134019,0.0117573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
620,0.018161,0.00734887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0238889,0.034109,0.0080527,0,0,0.0412738,0,0.0256663,0.0309289,0.0613411,0.0499186,0.0140904,0.0630858,0.0105296,0.0304338,0.0372751,0.0589983,0.0483604,0.0168646,0.0447749,0.0335694,0.0249551,0.0196405,0.0359585,0.0361041,0.015775,0.0504056,0.0284555,0.0478657,0.00715848,0.00632003,0,0,0.0366957,0.0152094,0.0310295,0.0618913,0.0628207,0.0107527,0.0707203,0.00866725,0.0155485,0.0328029,0,0.0688672,0.060612,0.0426293,0.0733566,0.0464288,0.0225083,0.0307924,0.00687594,0.00327991,0,0,0.0257962,0.0290442,0.0128666,0.0127665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
621,0.0183822,0.00767353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0238275,0.0363879,0.00819417,0,0,0.0413377,0,0.0257649,0.0307846,0.0603751,0.0522088,0.0138803,0.0647953,0.0103492,0.0304247,0.0385726,0.0600484,0.0496361,0.0173717,0.0453629,0.0334352,0.0248043,0.0202325,0.0422362,0.0362378,0.0157802,0.0483296,0.0281307,0.0472511,0.00714234,0.00618235,0,0,0.036152,0.0151205,0.0312678,0.0613501,0.0618444,0.0108609,0.0700178,0.00924227,0.0154277,0.0329379,0,0.0677134,0.0604055,0.041874,0.0717097,0.0439487,0.0218787,0.0309669,0.00659205,0.00334566,0,0,0.0256151,0.0285987,0.0130125,0.0125216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
622,0.0182297,0.00807968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0236837,0.0383904,0.00844018,0,0,0.0408225,0,0.0259767,0.0302353,0.058194,0.0545726,0.012541,0.0661458,0.0107848,0.0300246,0.0388629,0.0608084,0.0508991,0.0178478,0.0457162,0.0327382,0.0243439,0.0208969,0.0444049,0.0355924,0.0156151,0.0462156,0.0278787,0.0417038,0.00663551,0.0059514,0,0,0.0356363,0.0149551,0.0314874,0.0605635,0.0522232,0.0120508,0.0542672,0.0107068,0.0155044,0.0354528,0,0.0509942,0.0591907,0.0324248,0.0530744,0.0404903,0.0220625,0.0291214,0.00663847,0.00321242,0,0,0.0267069,0.021485,0.0128845,0.0123665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
623,0.0182948,0.00788664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0236136,0.040318,0.00856923,0,0,0.0403895,0,0.0259678,0.0299373,0.0581647,0.0572712,0.0123773,0.0671238,0.0105378,0.029451,0,0.0608094,0.0516705,0.0181069,0.0458977,0.0319174,0.023679,0.0215366,0.0456775,0.0350297,0.0151378,0.0461473,0.027569,0.0418255,0.00651207,0.00580175,0,0,0.034998,0.0149348,0.0314449,0.0603259,0.0522664,0.0118829,0.0551067,0.0110712,0.0153733,0.0354099,0,0.0510438,0.0587604,0.0321791,0.0526442,0.03974,0.0218467,0.0281516,0.00632637,0.00313537,0,0,0.0266115,0.0218568,0.012948,0.0120854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
624,0.0182929,0.00748574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0234534,0.0416392,0.00887859,0,0,0.0396706,0,0.0259926,0.0294515,0.0581976,0.0592424,0.0122201,0.0672674,0.0105653,0.0287736,0,0.0597203,0.05198,0.0184461,0.0458018,0.030851,0.0231235,0.0222266,0.0469127,0.0342915,0.0147606,0.0460358,0.0272183,0.0418614,0.00653154,0.00576681,0,0,0.0343548,0.0149619,0.0311901,0.0601271,0.0522327,0.0118024,0.0556002,0.0115323,0.0154073,0.0355761,0,0.050905,0.0583517,0.0318547,0.0521246,0.0391212,0.0214968,0.0281189,0.006174,0.00309037,0,0,0.0265698,0.0221372,0.0132401,0.0115421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
625,0.0189997,0.00755113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0233459,0.0422933,0.0092882,0,0,0.0386917,0,0.0261106,0.0287428,0.0581056,0.0602556,0.0121694,0.066908,0.0107787,0,0.0356025,0.0580734,0.0521093,0.0191194,0.0455663,0.0298875,0.0228747,0.0228599,0.0477965,0.0338408,0.0146003,0.0458683,0.0269041,0.0419438,0.00660303,0.00582791,0,0,0.0339587,0.014744,0.0306373,0.0599149,0.0522757,0.0117325,0.0560361,0.0120579,0.0155123,0.0357522,0,0.0507991,0.0579167,0.0315477,0.0516791,0.0384222,0.0210482,0.0283334,0.00615148,0.00328657,0,0,0.0260411,0.0223287,0.0137613,0.0109108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
626,0.0182066,0.00730553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0233802,0.0386313,0.00936134,0,0,0.0377822,0,0.0261548,0.0280774,0.0578733,0.0553298,0.0120236,0.0657041,0.0105083,0.0274316,0.0349647,0.0555704,0.051902,0.0202212,0.0464509,0.0314131,0.0249112,0.0272481,0,0.0324262,0.0143592,0.0454109,0.0264362,0.0416975,0.0065496,0.00554421,0,0,0.0339039,0.0149159,0.0305139,0.0594933,0.0519039,0.0113705,0.0561739,0.0119803,0.0152895,0.0359564,0,0.0505148,0.0574524,0.0311301,0.0510304,0.0377376,0.0207345,0.0281816,0.0060211,0.00292862,0,0,0.0257045,0.0224596,0.013492,0.0107919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
627,0.019636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0233282,0.0434015,0.0103159,0,0,0.0367812,0,0.0261894,0.0272841,0.0583984,0.061725,0.0123596,0.0660113,0.0109028,0.0287801,0.0356858,0.0557462,0.0528403,0.0212171,0.0445637,0.0285003,0.0219097,0.0231784,0.0491045,0.0322525,0.01414,0.0450937,0.0262834,0.0417175,0.00645661,0.00588046,0,0,0.0334671,0.0148287,0.0302408,0.0593876,0.0520303,0.0113714,0.0567313,0.0123657,0.0153683,0.0359758,0,0.0505371,0.057063,0.0308653,0.0506578,0.0370505,0.0203749,0.0276634,0.00551703,0.00355285,0,0,0.0258018,0.0226871,0.0135571,0.0105229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
628,0.020743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0231543,0.039465,0.0103049,0,0,0.0362173,0,0.0263165,0.0269173,0.0580662,0.0560873,0.0120317,0.0644543,0.0105399,0,0.0343543,0.0533857,0.0525006,0.0224704,0.0452321,0.0303539,0.0240776,0.0271235,0,0.0325915,0.0142224,0.0448647,0.0262839,0.0413386,0.00531777,0.00597972,0,0,0.0329249,0.0148999,0.0298746,0.0591162,0.0517905,0.0108967,0.0571701,0.0122152,0.0153273,0.0364223,0,0.0503942,0.0564657,0.0304138,0.0501929,0.0367463,0.0204333,0.0273766,0.00515952,0.00394674,0,0,0.0256568,0.0228412,0.0139632,0.0104424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
629,0.0198325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0232625,0.043556,0.0109102,0,0,0.036199,0,0.0260776,0.0268147,0.058588,0.0617618,0.0123481,0.0648968,0.011157,0.0283308,0.0348215,0.0537992,0.0532393,0.0231237,0.0432639,0.0278471,0.0211114,0.0226677,0.0484561,0.0317313,0.0142909,0.0448207,0.0265053,0.0414352,0.00481709,0.00549699,0,0,0.0321668,0.0150639,0.0294067,0.0593472,0.0521184,0.0110095,0.0579278,0.0127118,0.0149886,0.036678,0,0.0505885,0.0561182,0.0302586,0.0501336,0.0364852,0.0204411,0.0267675,0.00522002,0.00360865,0,0,0.0257013,0.0231829,0.0136597,0.0103069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
630,0.0188117,0.00789789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0233447,0.0430824,0.0108971,0,0,0.0354737,0,0.0260069,0.0263039,0.0586933,0.0614029,0.0123464,0.0645121,0.0113086,0.026632,0.0346473,0.052937,0.0532053,0.0235962,0.0426706,0.0278922,0.0209865,0.0223095,0.046805,0.0305955,0.0141638,0.0448634,0.026633,0.0416875,0.00455774,0.00530591,0,0,0.0313604,0.0152425,0.0289398,0.0597474,0.0525188,0.0109128,0.0588057,0.012856,0.0150456,0.0368908,0,0.0507323,0.0556797,0.0300216,0.0500373,0.0363053,0.020206,0.0264181,0.00545372,0.00321455,0,0,0.0260253,0.0237804,0.0136392,0.0102053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
631,0.0199513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023288,0.0423534,0.0113811,0,0,0.0344283,0,0.0260467,0.0256452,0.0587241,0.0610279,0.0124902,0.0643635,0.0110463,0.027772,0.0346442,0.0522225,0.0529979,0.0236496,0.0422892,0.0281574,0.0210062,0.0219005,0.0449694,0.0304236,0.0140206,0.0444391,0.0264591,0.0418821,0.00482901,0.00520084,0,0,0.0307816,0.0153138,0.0282979,0.0598896,0.0531636,0.0108082,0.0594509,0.0125591,0.0145152,0.0368966,0,0.0507586,0.055196,0.0297274,0.0498563,0.0358226,0.0197452,0.0262838,0.00521888,0.00360318,0,0,0.0263303,0.0241031,0.0136003,0.00972632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
