Timestep,C7,CLAV,DBL,DBR,DTL,DTR,FBL,FBR,FTL,FTR,Handle1,Handle2,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHIA,RTHII,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,STRN,T10,x74,x75,RTHI,RTHIP,LWRA,RWRB,x76,RFHD,,x108,x97,x89,x90,x98,x106,x87,x100,x99,x94,x95,x82,x101,x103,x96,x107,x109,x112,x105,x77
9,0.0279173,0.0218234,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0656329,0.0268192,0.0204777,0.010324,0,0,0.0183253,0,0.0212814,0.0194114,0.0623233,0.0474215,0.00702786,0.0209524,0.00491598,0.0293341,0.016361,0.0136531,0.0231017,0.0318318,0.0198787,0.0245642,0.0184074,0.0346829,0.0884261,0.0228935,0.0122034,0.00738665,0.0217389,0.00527647,0.00538302,0.0380331,0,0,0.103608,0.0292075,0.0658548,0.0512242,0.0123436,0.0126691,0.00771873,0.0023524,0.02497,0.0211959,0.0105116,0.0113963,0.0527946,0.00925737,0.00864297,0.010306,0.0635461,0.037356,0.0108521,0.0248545,0,0,0.0102167,0.0101056,0.0188061,0.0185134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.0286947,0.0217704,0,0,0,0,0,0,0,0,0,0,0,0,0,0.067241,0.0267792,0.0205796,0.0103684,0,0,0.0163589,0,0.021508,0.0183284,0.062279,0.0468165,0.00695177,0.0212059,0.00501205,0.0289903,0.0167182,0.014295,0.0234107,0.0318399,0.0200066,0.0251967,0.018611,0.0347855,0.090042,0.0221433,0.0120417,0.00613484,0.0211875,0.00586469,0.00563196,0.0389125,0,0,0.103571,0.028935,0.0661377,0.0507572,0.0135877,0.0132932,0.0070782,0.00278717,0.0255357,0.0211962,0.00974786,0.0108401,0.0525849,0,0.00901155,0.0084489,0.0635454,0.0374031,0.0111502,0.0260418,0,0,0.0105548,0.00965097,0.0193073,0.0182383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0.0296212,0.0221669,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0693312,0.0270653,0.0209215,0.0103356,0,0,0.0153735,0,0.021577,0.0179974,0.06225,0.0458768,0.00679722,0.0218297,0.00478508,0.0295801,0.0174236,0.0153269,0.0240164,0.0321377,0.0203675,0.0262283,0.0189493,0.0349335,0.0918956,0.0220521,0.0122807,0.00569939,0.0205688,0.00498775,0.0058501,0.0393386,0,0,0.103979,0.0288198,0.0669319,0.050958,0.0121317,0.0136967,0.00796011,0.00266138,0.0263558,0.0210643,0.00919101,0.0110507,0.0522972,0.00891936,0.00876293,0.00707497,0.0641742,0.0377916,0.0115785,0.0269286,0,0,0.0108221,0.0099611,0.019969,0.0178068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0.0288156,0.0222293,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0708069,0.0267816,0.0214142,0.0100136,0,0,0.0139819,0,0.0218314,0.0171903,0.0623761,0.0445656,0.00635298,0.0222503,0.00448747,0.0298691,0.0180092,0.0160829,0.0242325,0.0321548,0.0203027,0.0268776,0.0190933,0.0352198,0.092644,0.0208948,0.0122673,0.00532391,0.0212812,0.00525196,0.00576434,0.0377859,0,0,0.103662,0.0286313,0.0663275,0.0515078,0.0126083,0.0135829,0.0080645,0.00199777,0.025575,0.0210768,0.00855882,0.0109745,0.0521843,0.00877477,0.00871672,0.00679284,0.0639744,0.0379664,0.0121379,0.0262779,0,0,0.0108937,0.00981213,0.0205021,0.0171442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0.0287196,0.0217552,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0724459,0.0283714,0.0221584,0.0093086,0,0,0.0120692,0,0.0190218,0.0150172,0.0627647,0.0432248,0.00624937,0.0227791,0.00430146,0.0313629,0.0187393,0.0170595,0.0243811,0.0321028,0.0200904,0.0275879,0.019204,0.0357226,0.0933656,0.0201881,0.0142984,0.00456159,0.0216793,0.00679449,0.00497302,0.0367132,0,0,0.103754,0.0281092,0.066195,0.0521424,0.0145501,0.0129278,0.00729601,0.000984203,0.0258838,0.0217103,0.00762202,0.0113958,0.0528742,0,0.00952484,0.00674235,0.0645977,0.0381004,0.01161,0.0259534,0,0,0.0110187,0.00849984,0,0.0168395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0.0286605,0.0220363,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0744369,0.026549,0.0232048,0.00931913,0,0,0.0159496,0,0.0213581,0.0179229,0.0625133,0.0417892,0.00610749,0.0234939,0.00443879,0.030039,0.0191316,0.0181679,0.0248573,0.0320239,0.0202015,0.0285491,0.0194769,0.035867,0.0945235,0.0222603,0.0115848,0.00472512,0.0217304,0.00600532,0.00525803,0.0360923,0,0,0.103684,0.0277659,0.0662329,0.0524479,0.0133969,0.0128566,0.00810172,0.000985609,0.0253142,0.0214728,0.00799238,0.0118769,0.0527932,0.00932788,0.00931221,0.00733265,0.0642605,0.0381418,0.012218,0.0255511,0,0,0.0112003,0.00838345,0.0193487,0.0168656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0.0288864,0.0220866,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0753551,0.026365,0.0240669,0.00894249,0,0,0.0161863,0,0.0216336,0.0180899,0.0622851,0.0409124,0.00591557,0.0238058,0.00418123,0.0305593,0.0192064,0.0190973,0.0248938,0.0312235,0.0196086,0.0287917,0.0193818,0.0360294,0.0944778,0.022627,0.0114482,0.00486713,0.0216078,0.00642883,0.00559895,0.0359514,0,0,0.10341,0.0270896,0.0658357,0.0530764,0.0140298,0.0131632,0.00744774,0.000777197,0.0251019,0.0218955,0.00839887,0.0115644,0.0525402,0.00901383,0.00924077,0.00849729,0.0638933,0.0375945,0.0124848,0.0253655,0,0,0.0117643,0.00815531,0.0189079,0.0168474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0.0289406,0.0219027,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0748532,0.0262851,0.0246424,0.00850498,0,0,0.0161177,0,0.0217028,0.0179801,0.0621187,0.0396337,0.00565665,0.0239212,0.0040298,0.0308736,0.0192568,0.0196487,0.024903,0.0306287,0.0191511,0.0288858,0.0193559,0.0361694,0.0926546,0.0228004,0.0113032,0.00491875,0.0215902,0.00679624,0.0058901,0.0356421,0,0,0.103338,0.026921,0.0656683,0.0535582,0.0146911,0.0133622,0.00742403,0.000710346,0.0248786,0.0223257,0.00875667,0.0112883,0.0523488,0.00880661,0.0092886,0.00940714,0.0637921,0.0374545,0.0125588,0.0249387,0,0,0.0121042,0.00807924,0.0187249,0.016739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0.0286386,0.0214678,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0724235,0.0261216,0.0237559,0.00819286,0,0,0.0155972,0,0.0216809,0.0174444,0.0616987,0.0373266,0.00536861,0.0233563,0.00406559,0.0308085,0.0189028,0.0194521,0.0247262,0.0303142,0.0190986,0.028917,0.0193274,0.0361462,0.0893059,0.0226095,0.0110542,0.00504915,0.0219235,0.00704685,0.00620907,0.0350429,0,0,0.10356,0.0271776,0.0658189,0.0537034,0.0152618,0.0134031,0.00785089,0.000750932,0.0245037,0.0224859,0.00883371,0.010868,0.0522623,0.00875931,0.00931412,0.0101431,0.0637185,0.0377347,0.0123006,0.0241764,0,0,0.0120049,0.00815082,0.0187236,0.0167459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0.0290481,0.0213251,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0695719,0.0264485,0.0227446,0.00797867,0,0,0.0142901,0,0.0211996,0.0163711,0.0611125,0.0343164,0.00520026,0.0228101,0.00445112,0.0305986,0.0184921,0.0193829,0.0246209,0.0300443,0.0190876,0.0289165,0.0190057,0.0358375,0.0853112,0.0221979,0.0112713,0.00545775,0.021893,0.00723062,0.00650741,0.0352343,0,0,0.10418,0.0272166,0.0664593,0.0532818,0.0157231,0.0134898,0.00781576,0.00134753,0.0245924,0.0227984,0.00898184,0.0101597,0.0521342,0.00886978,0.00941145,0.0103426,0.0639313,0.0377926,0.0118931,0.0238579,0,0,0.0121604,0.00830743,0.0193693,0.017217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
