Timestep,C7,CLAV,DBL,DBR,DTL,DTR,FBL,FBR,FTL,FTR,Handle1,Handle2,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LBHD,LEAR,LELB,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x74,x75,LFHD,LTHII,LASI,,x76,x83
9,0.00531108,0.00474229,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0226278,0.011706,0.0101534,0,0,0.0140443,0.0307248,0.00902741,0.0582513,0.00845467,0.00800862,0.0160701,0.0061086,0.0084302,0.0340462,0.0313368,0.0285428,0.0175698,0.0136756,0.00535807,0.0268508,0.0276695,0.0125326,0.0130312,0.0136748,0.0231434,0.0048175,0.0412891,0.00556183,0.0100313,0,0,0.0499722,0,0.0296953,0.0544291,0.0567846,0.0180261,0.0243713,0.00804668,0.0184898,0.048359,0.0537571,0.0300444,0.0363563,0.0435588,0.0311099,0.0385982,0.0438979,0.0183673,0.0297297,0.0202807,0.0196219,0.00413701,0.0123065,0,0,0,0,0.0123546,0,0,0
10,0.00546784,0.00485583,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0229631,0.0117987,0.010094,0,0,0.0139784,0.0307359,0.00903888,0.0583318,0.00827199,0.00774975,0.016144,0.00647196,0.0083248,0.0341281,0.0315394,0.0286102,0.017572,0.0138433,0.00543846,0.0269156,0.0281105,0.0124011,0.0128956,0.0131213,0.0237197,0.00486324,0.0417781,0.0060041,0.0100966,0,0,0.0500293,0,0.0298535,0.0548103,0.0575294,0.0181028,0.024992,0.00851255,0.0185925,0.0487862,0.0534445,0.030334,0.0369887,0.04373,0.0314336,0.0386604,0.0440104,0.0184363,0.0298998,0.0202169,0.0195798,0.0041656,0.0124658,0,0,0,0,0.0123525,0,0,0
11,0.00556142,0.00487863,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0232275,0.0122709,0.00996673,0,0,0.0142346,0.0310681,0.00940198,0.0583452,0.00809722,0.00743906,0.0161367,0.00700266,0.008333,0.0340756,0.031773,0.028588,0.0176656,0.0144179,0.00563798,0.0268618,0.0285085,0.0122727,0.0127053,0.013137,0.0239936,0.00497734,0.0419335,0.0064925,0.0100793,0,0,0.0500819,0,0.0299914,0.0550518,0.0578267,0.0181214,0.0254866,0.009136,0.0186243,0.0490286,0.0529136,0.0304149,0.0375194,0.0437553,0.0318865,0.0384797,0.0439673,0.0185223,0.0299629,0.0201066,0.0195278,0.00425054,0.01264,0,0,0,0,0.0123257,0,0,0
12,0.00574841,0.00473793,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0234471,0.0125205,0.00977306,0,0,0.0143877,0.0312937,0.00968045,0.0580291,0.00787414,0.0070241,0.0160626,0.00760663,0.00839129,0.0338564,0.0314798,0.0283934,0.0178587,0.0147211,0.00599216,0.0266114,0.028822,0.0122617,0.0126225,0.0132738,0.0242668,0.00508627,0.0419285,0.00671647,0.0101673,0,0,0.0502209,0,0.0301527,0.0552581,0.0578804,0.0180333,0.0258376,0.00980845,0.0187136,0.0490521,0.0524525,0.0304755,0.0378792,0.0436327,0.0324382,0.0381149,0.043786,0.0187757,0.0300477,0.0200824,0.0195149,0.00435094,0.0128962,0,0,0,0,0,0,0,0
13,0.00592058,0.00457818,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0234641,0.0125328,0.0096899,0,0,0.014368,0.0312435,0.00965959,0.0579367,0.00786505,0.00684379,0.0160603,0.00799231,0.0084089,0.0338782,0.0314165,0.0282783,0.0179083,0.0145559,0.00608085,0.0265522,0.0287959,0.0122256,0.0126719,0.0132385,0.0245172,0.00515529,0.0419528,0.00714238,0.010322,0,0,0.0504166,0,0.030316,0.0553111,0.0581006,0.018037,0.0262781,0.0103614,0.0188562,0.0490404,0.0519733,0.0303699,0.0381371,0.043587,0.0331092,0.0377402,0.0437536,0.0191008,0.0301913,0.0200385,0.0195381,0.00436283,0.0131348,0,0,0,0,0,0,0,0
14,0.0061243,0.0046222,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0229114,0.0125479,0.00951079,0,0,0.0145098,0.0311775,0.00962791,0.0580137,0.00778076,0.00679221,0.0162699,0.00828237,0.00846501,0.0339188,0.0315688,0.0282094,0.0181312,0.0143416,0.00625042,0.0264241,0.0280886,0.0123063,0.0125871,0.0131871,0.0245948,0.00511482,0.0418574,0.00771995,0.0105275,0,0,0.0506819,0,0.0304643,0.0552457,0.0584902,0.0183766,0.0267972,0.0108939,0.0190458,0.0489235,0.0517867,0.0301596,0.0383555,0.0435892,0.0338548,0.0372955,0.0437834,0.0195761,0.0302959,0.0199723,0.0195967,0.00441526,0.0133239,0,0,0,0.0188684,0,0,0,0
15,0.0062507,0.00471164,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0223294,0.0127679,0.00958716,0,0,0.0147519,0.0310403,0.00961085,0.0583592,0.00797663,0.00669029,0.0162391,0.00810765,0.00849792,0.0340405,0.031903,0.0281904,0.0178653,0.0138145,0.00580446,0.0267139,0.0274087,0.0123774,0.0122433,0.0131704,0.0245019,0.00507651,0.0416125,0.00814961,0.0106933,0,0,0.0509825,0,0.0307016,0.0552623,0.0590307,0.0190372,0.0273071,0.0109586,0.0191464,0.0488245,0.0515742,0.0300045,0.0386456,0.0435266,0.0347414,0.0366875,0.0437691,0.0202082,0.0303972,0.0198747,0.0196296,0.00442917,0.0134338,0,0,0,0.0167846,0.0121387,0,0,0
16,0.00631979,0.00481794,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0220531,0.0127591,0.00951327,0,0,0.0149663,0.030833,0.00962966,0.0584676,0.00795162,0.00648928,0.0162406,0.00827814,0.00854543,0.0339884,0.0319517,0.0281171,0.0178378,0.0137883,0.00590438,0.0267874,0.0272638,0.0124145,0.0121644,0.0131326,0.0243203,0.0050666,0.0410437,0.00853884,0.0107962,0,0,0.0513703,0,0.0310317,0.0554042,0.0588513,0.0195033,0.0277127,0.0113444,0.0193106,0.0487465,0.0508868,0.0297433,0.03887,0.0432565,0.0357504,0.0358349,0.0434838,0.0206305,0.030588,0.0197392,0.0196475,0.00448401,0.0134773,0,0,0,0.0194232,0.0121425,0,0,0
17,0.00638025,0.00491194,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0218089,0.0126271,0.0094264,0,0,0.0149819,0.0306089,0.00953797,0.0585052,0.00795165,0.00630093,0.016247,0.00862849,0.00870736,0.034014,0.0319774,0.0280024,0.0177486,0.0136966,0.00586721,0.026854,0.0270103,0.0124385,0.0121449,0.0130528,0.0239184,0.00503316,0.0402544,0.00906365,0.0109231,0,0,0.0517424,0,0.0310906,0.05548,0.0584938,0.0198923,0.0281259,0.0119436,0.019471,0.0486743,0.050107,0.0295159,0.039113,0.0428059,0.0368231,0.0348541,0.0430506,0.0213303,0.0307408,0.0197401,0.0197213,0.00453131,0.0135511,0,0,0,0.0210825,0.0118631,0,0,0
18,0.00647783,0.00498421,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0214505,0.0125364,0.00940936,0,0,0.0149966,0.0305119,0.00940686,0.0585633,0.00811158,0.00621514,0.0161115,0.00905939,0.00892636,0.0340596,0.0319601,0.0278898,0.0175948,0.0134749,0.00562727,0.0269525,0.0266805,0.0125275,0.0121052,0.0129651,0.0235879,0.00499928,0.0396168,0.00971746,0.0111063,0,0,0.052063,0,0.0310351,0.0554925,0.0583467,0.0203477,0.0287407,0.0126717,0.0196652,0.0484979,0.0496729,0.029336,0.039259,0.0424985,0.0378582,0.0340537,0.042715,0.0224283,0.0309166,0.0198684,0.0198131,0.00461025,0.0136699,0,0,0,0.0210368,0.011412,0,0,0
