Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x71,x72,x73,x74,,x79
1796,0.0384763,0,0,0,0,0.0355471,0,0,0,0,0,0,0,0.0329731,0.0159708,0,0,0,0.018326,0,0.0281655,0.0288849,0.0384032,0.0173207,0.0122195,0.0111028,0.0201721,0.0314415,0.013991,0.0165962,0.0151559,0.0120333,0.0151703,0.00974438,0.0301128,0.015923,0.0217602,0,0.0333879,0.0256297,0.0333951,0.0352595,0.0438359,0.0655673,0,0,0.0331837,0,0.0409604,0.020724,0.055183,0.041631,0.0228608,0,0.0132546,0.0625616,0.032358,0.0598833,0.092154,0.0337499,0,0.0508854,0.0279952,0.0343027,0.0258189,0,0.0114841,0.0190107,0.04243,0.0421669,0,0,0,0,0,0
1797,0.0386504,0,0,0,0,0.0353935,0,0,0,0,0,0,0,0.0329977,0.0160532,0,0,0,0.0185387,0,0.0283122,0.0291723,0.0387211,0.0179175,0.0121875,0.0107141,0.0201623,0.0313428,0.0136488,0.0160757,0.0148429,0.0118367,0.0148448,0.00977786,0.0301133,0.0160673,0.0215183,0,0.0336914,0.0273797,0.0333698,0.0378403,0.0437505,0.0655112,0,0,0.0331457,0,0.0409286,0.0207133,0.0549166,0.0450877,0.0225786,0,0.0133548,0.0625477,0.0319502,0.0597961,0.0917141,0.0335365,0,0.052047,0.0297696,0.0372623,0.026491,0,0.0114924,0.0189591,0.0424479,0.04225,0,0,0,0,0,0
1798,0.0386298,0,0,0,0,0.0354788,0,0,0,0,0,0,0.00895696,0.0329904,0.0159736,0,0,0,0.0184345,0,0.0283787,0.0290949,0.0380057,0.0176805,0.0122307,0.0106956,0.0207229,0.0313657,0.0139378,0.015925,0.0149112,0.0119205,0.0145745,0.00987819,0.0304291,0.0156198,0.0209453,0,0.0338052,0.0128775,0.0333579,0.031509,0.0449233,0.0653745,0,0,0.0334442,0,0.040939,0.0208619,0.0567187,0.0363458,0.0236333,0,0.01374,0.0625081,0.0317467,0.0580246,0.0919328,0.0329291,0,0.0435494,0,0.0351944,0.00856211,0,0.0111539,0.0188135,0.042701,0.0422787,0,0,0,0,0,0
1799,0.0384758,0,0,0,0,0.0354653,0,0,0,0,0,0,0,0.0329034,0.0171182,0,0,0,0.0176652,0,0.0283408,0.0283958,0.0386938,0.0174358,0.0126423,0.0111584,0.0180975,0.0322512,0.0141653,0.0166779,0.0154962,0.0125616,0.0159757,0.0104039,0.0305613,0.0194727,0.0201713,0,0.0334824,0.0207052,0.0333781,0.0470245,0.0439524,0.0652698,0,0,0.033787,0,0.0409864,0.0210676,0.0557771,0.0566353,0.0228121,0,0.0109241,0.0625393,0.0402969,0.052964,0.0805731,0.0452576,0,0.0304283,0,0.0601304,0.0178646,0,0.0104444,0.0186646,0.0425935,0.0425917,0,0,0,0,0,0
1800,0.0383832,0,0,0,0,0.0353243,0,0,0,0,0,0,0,0.032852,0.0175338,0,0,0,0.0173175,0,0.0284237,0.0280491,0.0387568,0.0176109,0.0128886,0.0114262,0.017658,0.0319086,0.014392,0.0169165,0.0158271,0.0128807,0.0163902,0.0106809,0.030744,0.0206225,0.0195779,0,0.0331039,0.018932,0.033425,0.0496955,0.0445375,0.0650834,0,0,0.0339438,0,0.0410869,0.0211256,0.0561481,0.0591161,0.0232338,0,0.0103764,0.0624908,0.0421637,0.051669,0.0783125,0.0480482,0,0.0266895,0,0.0668054,0.0155204,0,0.00952399,0.0180946,0.0426559,0.0426007,0,0,0,0,0,0
1801,0.0382685,0,0,0,0,0.0356464,0,0,0,0,0,0,0.0126008,0.0329236,0.0173654,0.0248435,0,0,0.0169555,0,0.0286251,0.0279673,0.0392512,0.018315,0.0129696,0.0110513,0.0164839,0.0315289,0.0141108,0.0161606,0.0156709,0.0125176,0.0156539,0.0104281,0.0307222,0.0195969,0.0193843,0,0.0328317,0.019292,0.0334604,0.050891,0.0447634,0.0646713,0,0,0.0341206,0,0.0411712,0.0212275,0.0557393,0.0618404,0.0239529,0,0.00941544,0.0621851,0.0413045,0.0516463,0.0780593,0.0476066,0,0.0263685,0,0.0695293,0.0125317,0,0.00888479,0.0174919,0.0425131,0.0423166,0,0,0,0,0,0
1802,0.038146,0,0,0,0,0.0359309,0,0,0,0,0,0,0.0117668,0.0329181,0.0171326,0,0,0,0.0171793,0,0.0287741,0.0282244,0.037295,0.0181608,0.0124184,0.011199,0.01862,0.0306303,0.0148127,0.0166616,0.0155785,0.012817,0.0157039,0.0107169,0.031043,0.0184625,0.0200655,0,0.0327689,0.0132622,0.0335171,0.0425651,0.0453518,0.0642819,0,0,0.0344288,0,0.0412583,0.0214139,0.0586413,0.0466348,0.0242668,0,0.0114594,0.062004,0.0392185,0.0517964,0.0814602,0.0423664,0,0.0279934,0,0.0549963,0.0113798,0,0.0087167,0.0169543,0.0430538,0.0420733,0,0,0,0,0,0
1803,0.0383749,0,0,0,0,0.0355206,0,0,0,0,0,0,0.0137966,0.0329298,0.0185605,0,0,0,0.0175917,0,0.0289028,0.0285247,0.0390385,0,0.0128507,0.0112467,0.0172379,0.0302398,0.0145117,0.0162356,0.0157963,0.0128363,0.0163011,0.010923,0.0305654,0.0206546,0.0211169,0,0.0328709,0.0232534,0.0335866,0.0530439,0.044563,0.0640899,0,0,0.0342643,0,0.0413379,0.0213203,0.0551216,0.0660781,0.0227622,0,0.00996341,0.0619585,0.0391921,0.0513323,0.0778038,0.0464854,0,0.025587,0,0.0746908,0.0110273,0,0.00843675,0.0166682,0.0425431,0.0422496,0,0,0,0,0,0
1804,0.0383473,0,0,0,0,0.0353613,0,0,0,0,0,0,0.0137774,0.0329698,0.0178885,0,0,0,0.0179641,0,0.0290311,0.0288083,0.0392562,0.0181524,0.0130286,0.0112551,0.0170523,0.0299917,0.0144676,0.0163536,0.0158414,0.0128442,0.0164893,0.0106422,0.0308639,0.0206393,0.0205553,0,0.0330428,0.0247344,0.0336505,0.0535388,0.0446254,0.0637178,0,0,0.0345295,0,0.0414399,0.0213936,0.0550847,0.0668407,0.0228224,0,0.00982521,0.0617898,0.0386706,0.0512366,0.0777923,0.0461875,0,0.0249126,0,0.0762976,0.0114595,0,0.00823345,0.0163145,0.0425742,0.0421615,0,0,0,0,0,0
1805,0.0382092,0,0,0,0,0.0353451,0,0,0,0,0,0,0,0.0330095,0.0185129,0,0,0,0.018266,0,0.0291132,0.0291746,0.0395265,0.0176168,0.0131319,0.0114137,0.0168895,0.0297956,0.0144989,0.0167218,0.0157956,0.0130811,0.0171903,0.0109154,0.0307577,0.022418,0.0202228,0,0.0333071,0.0270885,0.0337473,0.0541287,0.0446523,0.0632583,0,0,0.0347666,0,0.0415529,0.021477,0.0549761,0.0683156,0.0228531,0,0.00970444,0.0615823,0.0380719,0.0510489,0.0777506,0.045992,0,0.0243315,0,0.0783111,0.0133604,0,0.00851621,0.0159955,0.0425578,0.0420097,0,0,0,0,0,0
