Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x71,x72,x73,LWRA
All Timesteps RMSE,0.0114144,0,0,0,0,0.020169,0,0,0,0,0,0,0.0352071,0.0260946,0.030282,0.0198447,0,0,0.0269106,0,0.0305488,0.0228795,0.0404844,0.0273885,0.00480813,0.0116752,0.02938,0.032815,0.0180277,0.0177767,0.0158468,0.00749883,0.0134813,0.0123212,0.0167014,0.0384212,0.0245331,0.0239465,0.01238,0.034794,0.0101897,0.0170034,0.0126282,0,0,0.0185647,0,0.0339212,0.0196012,0.0381667,0.00729831,0.0149042,0.0139369,0.0259896,0.0204984,0.0111472,0.0142331,0.00832161,0.011591,0.00807064,0.0303456,0.00866825,0.00841485,0.0129624,0.0116828,0.028882,0.0227353,0.019227,0.0106829,0,0,0,0.0215586
0,0.0133226,0,0,0,0,0.0297552,0,0,0,0,0,0,0.0342373,0.0297492,0.0333881,0.0133127,0,0,0.0265067,0,0.0282477,0.0309221,0.0362795,0.0316749,0.00309109,0.0161418,0.0217902,0.0333971,0.0197917,0.0210194,0.0199057,0.00796543,0.0122295,0.01183,0.0161419,0.037179,0.0222291,0.0351944,0.0219106,0.0386145,0.0186265,0.0121766,0.00728338,0,0,0.0238343,0,0.0381249,0.0206414,0.0383349,0.0198243,0.0127496,0.00723666,0.0183779,0.0121829,0.0138359,0.0144991,0.0135735,0.0136318,0.00490328,0.0283442,0.0070686,0.00752985,0.0207965,0.00975874,0.0136966,0.0205083,0.0295979,0.0111876,0,0,0,0
1,0.0130069,0,0,0,0,0.0294194,0,0,0,0,0,0,0.0342183,0.0296829,0.0331307,0.0132415,0,0,0.0268125,0,0.0281746,0.0310195,0.0363994,0.0305961,0.00313832,0.015941,0.02162,0.0325639,0.0197892,0.0208643,0.019697,0.00783432,0.0121758,0.0117781,0.0160313,0.0366714,0.0214497,0.0352354,0.021649,0.0386167,0.0189656,0.0122794,0.00757959,0,0,0.0246516,0,0.0383138,0.0211764,0.0380547,0.0187434,0.0126597,0.00786857,0.0184166,0.0124004,0.0138506,0.0142751,0.0136602,0.0136044,0.00501277,0.0284506,0.00712146,0.00802558,0.0214508,0.0101976,0.014401,0.0205511,0.0293137,0.0107304,0,0,0,0
2,0.0131516,0,0,0,0,0.0292941,0,0,0,0,0,0,0.034023,0.0296146,0.0329714,0.0131872,0,0,0.0268412,0,0.028092,0.0309492,0.0361765,0.0302409,0.003196,0.0160018,0.0215964,0.0323701,0.0198269,0.0209919,0.0196978,0.00794467,0.0122048,0.0118058,0.0159552,0.0365845,0.0216267,0.035126,0.0214715,0.0386491,0.0190159,0.0118797,0.00773512,0,0,0.0246352,0,0.038346,0.0211259,0.0378514,0.0176887,0.0124968,0.00849351,0.0186469,0.0122851,0.013722,0.0139987,0.0136628,0.0138283,0.00524438,0.0285535,0.00740115,0.00842205,0.021469,0.00981864,0.0137612,0.020486,0.029161,0.010719,0,0,0,0
3,0.0133388,0,0,0,0,0.0291124,0,0,0,0,0,0,0.0340117,0.0295617,0.0328949,0.0133735,0,0,0.0267048,0,0.0279957,0.0307129,0.0359928,0.0302169,0.00313659,0.0161784,0.0216749,0.0322728,0.0200188,0.0211492,0.019778,0.00798874,0.0122346,0.011892,0.0159233,0.0367002,0.0221711,0.0349077,0.0215603,0.0386611,0.0185685,0.0115263,0.00793385,0,0,0.0245069,0,0.0383403,0.0209851,0.0378049,0.0168801,0.0120891,0.00880687,0.0189637,0.0121321,0.0134891,0.0135955,0.0135025,0.0148984,0.00539037,0.028383,0.00763039,0.00861308,0.0209977,0.00953011,0.0137303,0.0204854,0.0290103,0.0107796,0,0,0,0
4,0.0136097,0,0,0,0,0.0290015,0,0,0,0,0,0,0.03429,0.029523,0.0329511,0.0135113,0,0,0.0265079,0,0.0279082,0.030479,0.0359359,0.0302581,0.00310115,0.0165086,0.021921,0.032179,0.0203189,0.0213852,0.0199833,0.00795924,0.0123118,0.0119227,0.0159348,0.0368731,0.0224114,0.0347431,0.0221256,0.0387131,0.0181409,0.0112844,0.00811275,0,0,0.024372,0,0.0383577,0.0208689,0.0379135,0.0164649,0.0115939,0.00875721,0.0194182,0.0120069,0.0131839,0.0132218,0.0131787,0.0163159,0.00529605,0.0280603,0.00747636,0.00840432,0.0210496,0.00947339,0.014008,0.0204796,0.028864,0.010897,0,0,0,0
5,0.0139114,0,0,0,0,0.0289343,0,0,0,0,0,0,0.0347626,0.0294604,0.0330101,0.0135463,0,0,0.0263158,0,0.0278169,0.0302906,0.0359712,0.0302692,0.00312199,0.0167443,0.0222223,0.0321382,0.02062,0.0216419,0.020189,0.00793915,0.0124328,0.0118762,0.0159673,0.0371109,0.0219969,0.0347112,0.0230832,0.038764,0.0184681,0.0111491,0.00824808,0,0,0.0243681,0,0.0384009,0.0208378,0.038205,0.0165248,0.0112167,0.0089151,0.0198249,0.012064,0.0130653,0.0131234,0.0130387,0.0145598,0.00521014,0.0281255,0.00720776,0.00825122,0.0218132,0.00942619,0.0134791,0.0205014,0.0287268,0.0110641,0,0,0,0
6,0.0141392,0,0,0,0,0.0288666,0,0,0,0,0,0,0.0352737,0.0294023,0.0329417,0.0138396,0,0,0.0261521,0,0.0277305,0.0301492,0.0360603,0.0302096,0.00321173,0.0168033,0.0226091,0.0320591,0.0208242,0.0218424,0.0203298,0.00789783,0.0125566,0.0118232,0.0159707,0.0373127,0.0215057,0.0347679,0.0235487,0.0388176,0.0188111,0.0110117,0.00837536,0,0,0.0244137,0,0.0384077,0.0208367,0.0386811,0.0162558,0.011076,0.00921763,0.0200621,0.0122382,0.013051,0.0133326,0.0131785,0.0133955,0.00502662,0.0286015,0.00718429,0.00822054,0.0222725,0.00927592,0.0135004,0.020552,0.0285888,0.0111891,0,0,0,0
7,0.0140398,0,0,0,0,0.0287387,0,0,0,0,0,0,0.0352874,0.0293523,0.03281,0.0138076,0,0,0.0261962,0,0.0276818,0.0301704,0.0363317,0.0301708,0.00346936,0.0166811,0.0223168,0.0317836,0.0208418,0.0217604,0.020274,0.00788796,0.0125156,0.0117219,0.0159848,0.0373427,0.0208784,0.0348973,0.0231563,0.038879,0.0187275,0.0114769,0.00837257,0,0,0.0246607,0,0.038378,0.0209641,0.0390903,0.0158646,0.0117672,0.00955902,0.0194012,0.0124885,0.0130703,0.0134836,0.0134883,0.013405,0.00481361,0.0291295,0.00742245,0.00818825,0.0221253,0.0093381,0.0142342,0.0206016,0.0284949,0.0109213,0,0,0,0
8,0.0139812,0,0,0,0,0.0286283,0,0,0,0,0,0,0.035057,0.0292827,0.0326733,0.0138666,0,0,0.026282,0,0.0276097,0.0302535,0.0366405,0.030153,0.00358851,0.0165232,0.0219808,0.0315409,0.020867,0.0216828,0.0202238,0.00810159,0.0124607,0.0116147,0.0159734,0.0372257,0.0205273,0.0349723,0.022228,0.0389431,0.0180795,0.0119134,0.00832447,0,0,0.0248813,0,0.0383591,0.0210781,0.0393818,0.015029,0.0125062,0.00927821,0.0187823,0.0127589,0.0132351,0.013631,0.0138768,0.0138442,0.00421318,0.029478,0.00759621,0.00781462,0.0214548,0.00959519,0.0148005,0.02067,0.0284576,0.0106553,0,0,0,0
9,0.0139483,0,0,0,0,0.0286109,0,0,0,0,0,0,0.0346919,0.0292375,0.0324326,0.0138638,0,0,0.0263711,0,0.0275487,0.0302631,0.0370148,0.0300999,0.00361239,0.0162728,0.0219121,0.0312561,0.020876,0.0215973,0.0201002,0.00816319,0.0124575,0.0117074,0.0159431,0.0369138,0.0205643,0.0350033,0.0210856,0.0389628,0.0172502,0.0122849,0.00828487,0,0,0.0250006,0,0.0383248,0.02115,0.0395148,0.0139783,0.0131443,0.00856534,0.0184396,0.0130047,0.0135127,0.0136528,0.0141046,0.014296,0.00354218,0.0296847,0.00769729,0.00741842,0.0205434,0.00996161,0.014991,0.0207301,0.0284266,0.0105969,0,0,0,0
10,0.0139601,0,0,0,0,0.028463,0,0,0,0,0,0,0.0342148,0.0292034,0.0320883,0.0141717,0,0,0.0264007,0,0.0274935,0.0302005,0.0374874,0.0298552,0.00367785,0.0158268,0.0221942,0.0309633,0.0207363,0.0213944,0.0197472,0.0080778,0.0124281,0.0118928,0.0159006,0.0365286,0.0207206,0.035015,0.019703,0.0389962,0.0161819,0.0127257,0.00809535,0,0,0.0250443,0,0.0383093,0.0212091,0.0394176,0.0127131,0.0136462,0.00761623,0.0184234,0.0129635,0.0138407,0.0135791,0.0139371,0.0144992,0.00299982,0.0297841,0.00778386,0.00703938,0.0193761,0.0100145,0.0148528,0.020778,0.0281622,0.0107692,0,0,0,0
