Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x71,x72,x73,x74,x78,,x80,x79
89,0.0371989,0,0,0,0,0.0211307,0,0,0,0,0,0,0.0286613,0.0291007,0.027732,0.0138235,0,0,0.0169325,0,0.0345688,0.0073337,0.0427263,0.0275343,0.00804162,0.00659776,0.0129369,0.0319017,0.0158642,0.0131155,0.0127143,0.00670256,0.0113381,0.0119889,0.017883,0.0313326,0.0216363,0.038528,0.00804742,0.00903567,0.0288416,0.0141651,0.0127233,0.0388298,0,0,0.00401739,0,0.0312793,0.00954467,0.0378945,0.017626,0.0161093,0.0218638,0.0107648,0.0407058,0.0100494,0.01437,0.0106445,0.0121415,0.0159575,0.0310638,0.0123629,0.0153524,0.00359872,0.0166127,0.0135338,0.024505,0.0147849,0.0306935,0,0,0,0,0,0,0,0
90,0.0364763,0,0,0,0,0.020836,0,0,0,0,0,0,0.0286654,0.0293854,0.0276512,0.0137672,0,0,0.0167688,0,0.0346006,0.00675488,0.0428745,0.0275308,0.0081603,0.00661208,0.0128993,0.0324532,0.0158085,0.0131112,0.0127293,0.00663923,0.0112152,0.0119881,0.017845,0.0312986,0.0216452,0.0385706,0.00679911,0.00922683,0.0290711,0.0143736,0.0127769,0.0377336,0,0,0.0045263,0,0.0317708,0.00885592,0.0378845,0.0178445,0.0161617,0.0219384,0.0106787,0.0396573,0.0101364,0.0144028,0.0107056,0.0122501,0.0159967,0.0309739,0.0124586,0.0154976,0.00369453,0.0167414,0.0130572,0.0228765,0.0145461,0.030114,0,0,0,0,0,0,0,0
91,0.0328705,0,0,0,0,0.0201274,0,0,0,0,0,0,0.0286719,0.0298086,0.0276412,0.0137688,0,0,0.0168493,0,0.0345695,0.00606625,0.0429493,0.0275542,0.00827225,0.00667582,0.0128236,0.0335781,0.0157979,0.0131232,0.0127335,0.00662066,0.0111721,0.0120054,0.017798,0.0313843,0.0221017,0.0386162,0.00542821,0.00937586,0.0294118,0.0145629,0.0128217,0.0321906,0,0,0.00432521,0,0.032157,0.00800165,0.0379131,0.0180032,0.0161501,0.0219666,0.01062,0.0342887,0.0101772,0.0144482,0.0106868,0.012356,0.0160085,0.030821,0.0125215,0.0156741,0.00382722,0.0143818,0.0127981,0.0213632,0.0140015,0.0268795,0,0,0,0,0,0,0,0
92,0.0286857,0,0,0,0,0.0203339,0,0,0,0,0,0,0.0285917,0.0302113,0.0276662,0.0138489,0,0,0.0168433,0,0.0344835,0.00542147,0.0429016,0.0275603,0.00830142,0.00675712,0.0127196,0.0347461,0.0158504,0.0131939,0.0127457,0.00658904,0.0111426,0.0120235,0.0177914,0.0313056,0.0226636,0.0385995,0.00431107,0.00940298,0.0298097,0.0145776,0.0128661,0.0259301,0,0,0.00381968,0,0.0325373,0.00708882,0.0379616,0.0179708,0.0161079,0.0220021,0.0106204,0.0285548,0.0101609,0.0144763,0.0106161,0.0123355,0.0159538,0.0306823,0.0124847,0.0156576,0.0038562,0.0119737,0.0119767,0.0199452,0.0148928,0.0230217,0,0,0,0,0,0,0,0
93,0.024606,0,0,0,0,0.0216624,0,0,0,0,0,0,0.0285724,0.0307484,0.0276354,0.0139992,0,0,0.016844,0,0.034323,0.0048281,0.0428177,0.0274857,0.00834346,0.00680083,0.0126724,0.0358896,0.0158908,0.0132826,0.0127785,0.00659522,0.0111187,0.011951,0.0177577,0.0312923,0.0231175,0.038584,0.00361267,0.00940474,0.0301711,0.014522,0.0129953,0.0201738,0,0,0.00314756,0,0.032841,0.00621248,0.0380136,0.0178719,0.0160326,0.0220572,0.010772,0.0240241,0.0101402,0.014486,0.010621,0.0123135,0.0158626,0.0305348,0.0124233,0.0155135,0.00384104,0.0104788,0.0108354,0.018637,0.0172082,0.019171,0,0,0,0,0,0,0,0
94,0.0233154,0,0,0,0,0.022406,0,0,0,0,0,0,0.0285682,0.031392,0.0276442,0.0138965,0,0,0.0168611,0,0.0340879,0.00426163,0.0427695,0.0275079,0.00830542,0.00684307,0.0127823,0.0367247,0.0159505,0.0133835,0.012876,0.00664037,0.0111635,0.0119539,0.0177952,0.0314505,0.0235787,0.0385154,0.00352785,0.00939981,0.0303997,0.0145477,0.0130739,0.0184478,0,0,0.00343427,0,0.0332406,0.00535665,0.0380365,0.0178814,0.0160128,0.0220902,0.0108829,0.0227615,0.0101378,0.0144974,0.010656,0.0123156,0.0158558,0.0304538,0.0124391,0.0155097,0.00382909,0.0102763,0.0102738,0.01712,0.0183678,0.0179853,0,0,0,0,0,0,0,0
95,0.0219815,0,0,0,0,0.0233908,0,0,0,0,0,0,0.0287052,0.0319799,0.0276931,0.0138491,0,0,0.0169316,0,0.0338249,0.00387167,0.0427305,0.0275143,0.00833234,0.0069227,0.0128549,0.037517,0.0160354,0.013462,0.0129591,0.0066681,0.0112124,0.0120146,0.0177932,0.0314839,0.024214,0.0383514,0.00414729,0.00937517,0.030686,0.0145812,0.0131669,0.0168621,0,0,0.00378749,0,0.0336148,0.00459946,0.0380756,0.0178895,0.0160304,0.0221223,0.0109814,0.0217418,0.0101289,0.0145318,0.0106221,0.012279,0.0158446,0.0303697,0.0124477,0.0155385,0.00381321,0.0102977,0.00989311,0.0157057,0.0197426,0.0167323,0,0,0,0,0,0,0,0
96,0.0207225,0,0,0,0,0.0243592,0,0,0,0,0,0,0.028827,0.0322096,0.0276926,0.0138384,0,0,0.0166401,0,0.0339059,0.00365748,0.0427347,0.0274959,0.00840351,0.00695691,0.0128621,0.0382639,0.0160982,0.0134734,0.0130004,0.00664495,0.0111967,0.0120313,0.017801,0.0313916,0.0243746,0.0380404,0.00515485,0.00941963,0.0310209,0.0145632,0.0132729,0.0155813,0,0,0.00413748,0,0.0340111,0.00405619,0.0381044,0.0178463,0.0160714,0.0221287,0.0110936,0.0211046,0.0101112,0.014565,0.010575,0.0122706,0.0157983,0.0302826,0.0124098,0.0155353,0.00375907,0.0103942,0.00975325,0.0144839,0.0210871,0.0155497,0,0,0,0,0,0,0,0
97,0.0196228,0,0,0,0,0.0253075,0,0,0,0,0,0,0.0288013,0.0326361,0.0276625,0.0138942,0,0,0.0163577,0,0.0339162,0.00338811,0.0428445,0.0274273,0.00858373,0.00698858,0.012851,0.0389555,0.0160973,0.0133766,0.0130286,0.00666544,0.0111846,0.0120223,0.0177383,0.0313932,0.0246763,0.03765,0.00633481,0.00944337,0.0313448,0.0144454,0.0134087,0.0146922,0,0,0.00451635,0,0.034354,0.00385232,0.0381102,0.0176952,0.0160784,0.0221529,0.0111861,0.0208712,0.0100669,0.0145452,0.0104965,0.0122515,0.0157102,0.0301736,0.0122859,0.0154359,0.00368675,0.0107247,0.00983408,0.0135361,0.0224241,0.0145526,0,0,0,0,0,0,0,0
98,0.0210544,0,0,0,0,0.0259716,0,0,0,0,0,0,0.0284091,0.0290771,0.0274291,0.0137642,0,0,0.0159785,0,0.0300473,0.00761682,0.0428346,0.0272546,0.0080837,0.00681867,0.0128541,0.0403104,0.0159706,0.0132184,0.0128742,0.00663095,0.0110444,0.0119537,0.0177563,0.0311108,0.0264674,0,0.00717729,0.00933524,0.0316052,0.0143468,0.0128494,0.0157957,0,0,0.00482906,0,0.0347489,0.00381206,0.0383076,0.0175399,0.0171089,0.0222601,0.0106266,0.0214976,0.00996369,0.0143966,0.0104228,0.0123157,0.015565,0.0298693,0.0121581,0.0153504,0.00370265,0.0110407,0.00991852,0.0125969,0.0230019,0.0157902,0,0,0,0,0,0,0,0
