Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x71,x72,x73,x74,x78,,x80,x79
All Timesteps RMSE,0.0162751,0,0,0,0,0.02437,0,0,0,0,0,0,0.0286375,0.0348969,0.0263731,0.0163624,0,0,0.0267258,0,0.0361511,0.018987,0.0419953,0.0273501,0.0082841,0.0131056,0.0202345,0.0354246,0.0146801,0.0156949,0.0156343,0.0119573,0.0148389,0.014423,0.0149894,0.0317112,0.0260526,0.0310407,0.0187623,0.0211576,0.039457,0.0218736,0.0136573,0.0184846,0,0,0.023321,0,0.0399118,0.0182642,0.0367161,0.0290738,0.0199902,0.0215405,0.0182574,0.0377272,0.00881188,0.0188325,0.0172522,0.0150141,0.0174992,0.0283266,0.0161462,0.0184366,0.0218701,0.025599,0.0203678,0.0143655,0.0231359,0.0131803,0,0,0,0,0,0,0,0
0,0.0084245,0,0,0,0,0.0198406,0,0,0,0,0,0,0.0317527,0.0214706,0.0299375,0.0156549,0,0,0.021255,0,0.0353012,0.00826873,0.0388658,0.0290891,0.0080666,0.00582408,0.0240283,0.0585671,0.0163415,0.0147377,0.0125858,0.0105635,0.0161445,0.0145744,0.0206847,0.0352922,0.0304283,0.00613365,0.00500224,0.0110957,0.0261814,0.0152224,0.0136226,0.00896078,0,0,0.0178991,0,0.0322609,0.0236191,0.0402363,0.0194078,0.0134999,0.0218295,0.023891,0.020628,0.0102684,0.0150798,0.0112972,0.0112447,0.0168688,0.032996,0.0138079,0.0156411,0.0086245,0.0136266,0.0388136,0.0125376,0.0170657,0.00780243,0,0,0,0,0,0,0,0
1,0.00827344,0,0,0,0,0.0196624,0,0,0,0,0,0,0.0309146,0.021847,0.0295246,0.015606,0,0,0.0227427,0,0.0349162,0.0096526,0.0390324,0.0292197,0.0077365,0.00509404,0.0230776,0.0588618,0.0156912,0.0139419,0.0118006,0.0104857,0.0159904,0.0144497,0.0207969,0.0346109,0.0317005,0.00644394,0.00526612,0.0114511,0.0266802,0.0146286,0.0134533,0.00922319,0,0,0.0196062,0,0.0316054,0.0256983,0.0400182,0.0191673,0.0136767,0.0218504,0.0227715,0.0196141,0.00947996,0.0154257,0.0112496,0.0105926,0.0164278,0.0326754,0.0128431,0.0149443,0.00904308,0.0148378,0.0388559,0.0131006,0.0169697,0.00802258,0,0,0,0,0,0,0,0
2,0.00825059,0,0,0,0,0.0197527,0,0,0,0,0,0,0.0306455,0.0218983,0.0295007,0.0154955,0,0,0.0226269,0,0.0349695,0.0096588,0.0390092,0.0291075,0.00768486,0.00495037,0.0229668,0.0587389,0.015417,0.0136046,0.0115668,0.0105432,0.0160145,0.0144712,0.020831,0.0346505,0.0315614,0.00645358,0.0052276,0.0115365,0.0266482,0.0147576,0.0134432,0.00928252,0,0,0.0196872,0,0.0315563,0.0256175,0.0400301,0.0192686,0.0137348,0.0218962,0.0225879,0.0195213,0.0094817,0.0155097,0.0113463,0.0106252,0.0164703,0.0326859,0.0128678,0.0149887,0.00915283,0.0147536,0.0388783,0.0131055,0.0170733,0.00791376,0,0,0,0,0,0,0,0
3,0.00823377,0,0,0,0,0.0198419,0,0,0,0,0,0,0.0306019,0.0218824,0.0295091,0.015386,0,0,0.0225336,0,0.0350022,0.00951259,0.0389767,0.0286955,0.0076354,0.00484095,0.0228737,0.0586803,0.015158,0.0133238,0.0113598,0.0106151,0.0160592,0.0145252,0.0208619,0.034788,0.0314389,0.00647456,0.00522195,0.011462,0.0266352,0.0148027,0.0133856,0.00932358,0,0,0.0197418,0,0.0315196,0.0255589,0.0400088,0.0192907,0.0137609,0.0219098,0.0224349,0.0194752,0.00952539,0.0155227,0.0113552,0.010645,0.0165145,0.0326496,0.0128901,0.0150235,0.00901566,0.0147137,0.0388655,0.0131083,0.0171672,0.00780391,0,0,0,0,0,0,0,0
4,0.00826016,0,0,0,0,0.0199604,0,0,0,0,0,0,0.0308432,0.0219732,0.0295645,0.0152583,0,0,0.0224056,0,0.0349356,0.00944405,0.0389238,0.0285066,0.00759018,0.00492867,0.0227562,0.0585218,0.0149848,0.0131862,0.0113126,0.0106572,0.0161098,0.0145285,0.0208805,0.0348518,0.0313103,0.00646295,0.00521517,0.0114448,0.0266695,0.0149131,0.0133374,0.00935244,0,0,0.0197757,0,0.0315508,0.0254871,0.0398404,0.0193952,0.0137601,0.0219236,0.0222991,0.0194308,0.0095949,0.0154333,0.0112985,0.0107324,0.0165798,0.0325854,0.0129625,0.0151151,0.00885972,0.0146748,0.0388291,0.0130913,0.0172755,0.00768272,0,0,0,0,0,0,0,0
5,0.00828674,0,0,0,0,0.0200678,0,0,0,0,0,0,0.0311135,0.0219368,0.0296122,0.0151465,0,0,0.0222351,0,0.0347942,0.00945794,0.038857,0.0284717,0.00756542,0.0049701,0.0226273,0.0582962,0.0148499,0.0130925,0.011299,0.0106945,0.0161687,0.0145569,0.0209101,0.0349125,0.0311425,0.0064945,0.00516024,0.0113788,0.0266947,0.0149957,0.0132629,0.00944262,0,0,0.0198136,0,0.0316159,0.025551,0.0395409,0.0194711,0.0137805,0.021988,0.0221826,0.0193464,0.00968576,0.0152969,0.0112039,0.0108148,0.0166507,0.0326043,0.0130313,0.0152076,0.00857942,0.0145435,0.0387856,0.0131019,0.0174114,0.00757617,0,0,0,0,0,0,0,0
6,0.00830784,0,0,0,0,0.0202194,0,0,0,0,0,0,0.0312556,0.0219123,0.0296969,0.0150249,0,0,0.0220544,0,0.034723,0.009446,0.0388336,0.028502,0.00753915,0.00509548,0.0225064,0.0581016,0.014825,0.0131629,0.01138,0.0107407,0.0162474,0.0146063,0.0209195,0.0351305,0.0309502,0.00653404,0.00507555,0.0113802,0.0266564,0.0150267,0.0133293,0.00956515,0,0,0.0198157,0,0.0316208,0.0257156,0.0395169,0.0195212,0.0138385,0.0220276,0.0220539,0.0192316,0.00970046,0.015275,0.0111769,0.0108342,0.0166609,0.0326065,0.013041,0.0152239,0.00850584,0.0143718,0.0387728,0.0131132,0.0175772,0.00749194,0,0,0,0,0,0,0,0
7,0.00833186,0,0,0,0,0.020378,0,0,0,0,0,0,0.0313661,0.0220433,0.0297275,0.0149197,0,0,0.0219268,0,0.0347673,0.00932388,0.0388124,0.0284567,0.00749847,0.00511826,0.0223706,0.0579981,0.0147994,0.0131611,0.0113519,0.0107966,0.0163188,0.0146652,0.0209486,0.0352909,0.0308862,0.0065529,0.00503978,0.0114097,0.0266197,0.0151049,0.0133198,0.00965793,0,0,0.0198374,0,0.0315919,0.0257715,0.0394227,0.019618,0.0138809,0.0220195,0.0219253,0.0190861,0.00972955,0.0152459,0.0111907,0.0108778,0.0166686,0.0325848,0.0130532,0.0152825,0.00847244,0.0142031,0.0387668,0.0131318,0.0177413,0.00739125,0,0,0,0,0,0,0,0
8,0.00838049,0,0,0,0,0.0205054,0,0,0,0,0,0,0.0313221,0.0221467,0.0297863,0.0148019,0,0,0.0218546,0,0.0348682,0.0091936,0.0387846,0.0284591,0.00745511,0.00513763,0.0222414,0.0579381,0.0148244,0.0131741,0.0113651,0.0108146,0.0163314,0.014691,0.0209568,0.0353367,0.0307619,0.00657536,0.00500548,0.0113807,0.0265868,0.0151253,0.0133218,0.00978079,0,0,0.0198786,0,0.0315809,0.025778,0.0394967,0.0196384,0.0139335,0.022001,0.0217992,0.018933,0.00971245,0.0152781,0.0112143,0.0108996,0.0166792,0.0325901,0.0130822,0.0153031,0.00835843,0.0140905,0.0387415,0.0131466,0.0178937,0.00730615,0,0,0,0,0,0,0,0
9,0.00840635,0,0,0,0,0.0206119,0,0,0,0,0,0,0.0313017,0.0220058,0.0297979,0.0147034,0,0,0.0218609,0,0.0348287,0.00919712,0.0387456,0.0285917,0.00741424,0.00506276,0.0221484,0.0578958,0.0148915,0.013139,0.0113506,0.0108195,0.0163245,0.0146911,0.0209979,0.03531,0.0306009,0.00666685,0.00494386,0.0112041,0.0265784,0.015008,0.013297,0.00984467,0,0,0.0199489,0,0.0316078,0.0258359,0.0394428,0.0195159,0.0139693,0.021981,0.0217083,0.0187982,0.0096932,0.0152371,0.0111634,0.0108675,0.0166629,0.0325956,0.0130422,0.0152688,0.00804902,0.0139803,0.0386416,0.0131601,0.0180082,0.00723673,0,0,0,0,0,0,0,0
10,0.0084255,0,0,0,0,0.0207156,0,0,0,0,0,0,0.0314044,0.0218684,0.0297647,0.0146327,0,0,0.0218123,0,0.0347613,0.00924289,0.0387192,0.02893,0.00738087,0.00503846,0.0221017,0.0578405,0.0150472,0.0131247,0.0113565,0.0108299,0.0163078,0.0146518,0.0210396,0.0353102,0.0305304,0.00675412,0.00486943,0.0108901,0.02658,0.0148071,0.0132453,0.00989957,0,0,0.0199825,0,0.0316362,0.0257957,0.0392925,0.0193098,0.0139949,0.0219379,0.0216501,0.0186855,0.00968432,0.0151342,0.0110633,0.0108225,0.0166154,0.0326182,0.0129408,0.0152338,0.00761819,0.0138609,0.0385758,0.013156,0.0181161,0.00719092,0,0,0,0,0,0,0,0
11,0.00843753,0,0,0,0,0.0208009,0,0,0,0,0,0,0.0314755,0.0218959,0.0297257,0.0145656,0,0,0.0216672,0,0.0347532,0.00920933,0.0387032,0.0290001,0.00734823,0.00496171,0.0220395,0.0578179,0.0151158,0.0130523,0.011269,0.0108422,0.0162989,0.0146672,0.0210907,0.0352401,0.0304786,0.00679753,0.00485461,0.0110468,0.0265985,0.0149858,0.0131859,0.00993832,0,0,0.0199799,0,0.0316484,0.0256268,0.0392243,0.0194818,0.0140504,0.0219699,0.0215428,0.0185615,0.00973934,0.0151605,0.0111236,0.0109046,0.0166494,0.0326228,0.0130221,0.0153362,0.00765444,0.0137758,0.0385639,0.0131602,0.0182279,0.00715206,0,0,0,0,0,0,0,0
12,0.00843687,0,0,0,0,0.0208871,0,0,0,0,0,0,0.0313887,0.0219135,0.0297382,0.0144829,0,0,0.0215336,0,0.0347309,0.00916398,0.0386606,0.028777,0.00731986,0.00495845,0.0219695,0.0578531,0.015157,0.0130025,0.0112464,0.0108696,0.0163106,0.0146933,0.0210999,0.0352782,0.0303506,0.00683728,0.00486865,0.0111351,0.0266108,0.0151164,0.0131236,0.00997426,0,0,0.0199703,0,0.031676,0.0255555,0.0392007,0.0195944,0.0141173,0.0219973,0.0214194,0.0184545,0.00977953,0.0152037,0.0111664,0.0109658,0.0166849,0.0326331,0.0130914,0.0154335,0.00767963,0.0137302,0.0386093,0.013152,0.018336,0.00706491,0,0,0,0,0,0,0,0
13,0.00843355,0,0,0,0,0.0209569,0,0,0,0,0,0,0.0314269,0.0220231,0.0297452,0.0143949,0,0,0.0214405,0,0.0346766,0.00914757,0.0386172,0.0283322,0.00730028,0.00494459,0.0218926,0.057825,0.0151682,0.0129709,0.0112301,0.0108878,0.0163507,0.0147132,0.0211015,0.0353076,0.0303466,0.00677961,0.00487478,0.0110727,0.026611,0.0151561,0.0130792,0.0100231,0,0,0.0199764,0,0.0316953,0.0255437,0.0391781,0.0196358,0.0141494,0.0219877,0.0212734,0.0183738,0.00978262,0.0152425,0.0111777,0.0109916,0.0167039,0.0325953,0.0130926,0.0154816,0.00762203,0.013661,0.0386665,0.0131294,0.0184134,0.00698836,0,0,0,0,0,0,0,0
14,0.00840468,0,0,0,0,0.0210137,0,0,0,0,0,0,0.0316085,0.0220972,0.0297764,0.0143096,0,0,0.0213723,0,0.0346318,0.00915842,0.0385829,0.0281884,0.00727499,0.00499132,0.0218473,0.0577408,0.0151925,0.0129955,0.011281,0.0109003,0.0163671,0.0147132,0.0211098,0.0353545,0.0303976,0.00672612,0.00483602,0.0110566,0.0266124,0.015223,0.0130751,0.0100584,0,0,0.0199796,0,0.0317065,0.0255069,0.039175,0.0197051,0.0141377,0.0219489,0.0211718,0.0183218,0.00977158,0.0152477,0.011205,0.0110196,0.0167156,0.0324907,0.0131103,0.0155111,0.00760638,0.0135351,0.0386555,0.0130972,0.0184689,0.00690717,0,0,0,0,0,0,0,0
15,0.00838634,0,0,0,0,0.02108,0,0,0,0,0,0,0.0314837,0.0221122,0.0297994,0.0142639,0,0,0.0213348,0,0.0346163,0.00923416,0.0385908,0.0283792,0.0072534,0.00493672,0.0217764,0.0576297,0.0151282,0.0129698,0.0112189,0.0109381,0.0163758,0.0147569,0.0211463,0.0355072,0.0302834,0.00674235,0.00477731,0.0110637,0.0266393,0.0152456,0.0130616,0.0100928,0,0,0.01997,0,0.0317322,0.0254981,0.0391444,0.0197477,0.0141889,0.0219505,0.0211035,0.018247,0.00977481,0.0152205,0.0111971,0.0110296,0.0167247,0.032494,0.0131286,0.0155051,0.00757851,0.0133727,0.0385664,0.0130824,0.0185529,0.00681277,0,0,0,0,0,0,0,0
16,0.00836812,0,0,0,0,0.0211795,0,0,0,0,0,0,0.0313529,0.0221258,0.0297676,0.014223,0,0,0.0213737,0,0.0346103,0.00922856,0.0386254,0.0288055,0.0072237,0.00490158,0.0216911,0.0575397,0.0150272,0.0129663,0.0111696,0.0109315,0.016344,0.0147286,0.0211734,0.0357719,0.0301655,0.00678219,0.00472582,0.0109111,0.0266173,0.0151016,0.0130505,0.0101511,0,0,0.0199127,0,0.0316867,0.0254188,0.0391213,0.0196038,0.0142473,0.021981,0.0210611,0.018173,0.00976129,0.0151882,0.0111421,0.0109687,0.0167206,0.0326022,0.0130732,0.0154564,0.00736356,0.0132544,0.0385344,0.0130579,0.0186526,0.00674045,0,0,0,0,0,0,0,0
17,0.00836905,0,0,0,0,0.0212698,0,0,0,0,0,0,0.0313527,0.0220558,0.0297275,0.0141703,0,0,0.0213824,0,0.0346061,0.0091909,0.0386498,0.0289498,0.00718889,0.00486465,0.0216459,0.0575346,0.0149125,0.012865,0.0110974,0.0108953,0.0162879,0.0147186,0.0211946,0.0356679,0.030066,0.00684083,0.00468621,0.0105778,0.0266262,0.0147821,0.0130444,0.0101598,0,0,0.019875,0,0.0316817,0.0253805,0.0391217,0.0193056,0.0142604,0.0219284,0.0209973,0.0181296,0.00967748,0.015103,0.0109946,0.010894,0.0166524,0.0326527,0.0129234,0.0153426,0.00694531,0.0131907,0.0385879,0.0130121,0.0187383,0.00669653,0,0,0,0,0,0,0,0
18,0.00836628,0,0,0,0,0.0213441,0,0,0,0,0,0,0.0315535,0.0218759,0.0297692,0.0141005,0,0,0.0213116,0,0.0345994,0.00907154,0.0386589,0.0288972,0.00715939,0.00490056,0.0216467,0.0575745,0.0149373,0.0128347,0.0111259,0.0108854,0.0162866,0.0147159,0.0211879,0.0355658,0.0300311,0.00690088,0.00469583,0.010409,0.0266627,0.0146746,0.0130538,0.0101617,0,0,0.0198502,0,0.0317079,0.025485,0.0391355,0.0192281,0.0142259,0.0218617,0.0209336,0.0181236,0.00966262,0.0150579,0.0109449,0.0108741,0.0166082,0.0326228,0.0128562,0.0152825,0.0067847,0.0131149,0.0386637,0.0129702,0.0188316,0.00667354,0,0,0,0,0,0,0,0
19,0.00835513,0,0,0,0,0.021379,0,0,0,0,0,0,0.0314307,0.0217839,0.0298464,0.0140803,0,0,0.0212025,0,0.0345221,0.00899075,0.0386654,0.0286865,0.00714151,0.00487204,0.0216049,0.0575894,0.0149079,0.012793,0.0110862,0.0109049,0.0163174,0.0147225,0.0212082,0.0357297,0.0300826,0.00693086,0.00468805,0.0104416,0.0267093,0.0147577,0.0130462,0.01019,0,0,0.0197958,0,0.0317309,0.0255723,0.0391435,0.0193175,0.0142049,0.0218215,0.0208733,0.0180981,0.00969548,0.0150553,0.0109991,0.0108806,0.0165962,0.0325804,0.0128713,0.0152969,0.00682979,0.0130536,0.0385699,0.0129582,0.0189133,0.00665939,0,0,0,0,0,0,0,0
20,0.00830133,0,0,0,0,0.021425,0,0,0,0,0,0,0.0313319,0.0218671,0.0298809,0.0142068,0,0,0.0211642,0,0.034547,0.00902862,0.038675,0.0286961,0.0071322,0.00488895,0.0215313,0.057627,0.0148542,0.0127979,0.011063,0.0109015,0.0163446,0.0147049,0.0212189,0.0357773,0.0301942,0.00693584,0.00464357,0.0104671,0.0266982,0.0148331,0.0130148,0.0103216,0,0,0.019702,0,0.0316724,0.025576,0.0391335,0.0193363,0.0142124,0.0218517,0.0208269,0.0180556,0.00969741,0.0150941,0.0110359,0.0108783,0.0166127,0.0326237,0.0129166,0.0153415,0.00683717,0.0130388,0.0384067,0.0129454,0.0189434,0.00662485,0,0,0,0,0,0,0,0
21,0.00826805,0,0,0,0,0.0214792,0,0,0,0,0,0,0.0313836,0.0219763,0.0298848,0.0144151,0,0,0.0211492,0,0.0345157,0.00909733,0.038673,0.028403,0.00714081,0.00484206,0.0214458,0.0575883,0.0148006,0.0127445,0.0109913,0.010942,0.0163588,0.0147467,0.0212103,0.0356102,0.0303282,0.00691009,0.00460676,0.0107083,0.0266841,0.0150915,0.012983,0.0103433,0,0,0.0196317,0,0.0316448,0.0255677,0.0391098,0.0195382,0.0142214,0.0219354,0.0207733,0.0180485,0.00975669,0.0151923,0.0111138,0.0109489,0.016684,0.0326727,0.0130591,0.0154668,0.00706354,0.0130706,0.0382977,0.0129217,0.0189563,0.00659107,0,0,0,0,0,0,0,0
22,0.0082762,0,0,0,0,0.0215739,0,0,0,0,0,0,0.0315099,0.0219777,0.0298453,0.0142352,0,0,0.0211089,0,0.0344856,0.0090816,0.0386471,0.0284515,0.00713478,0.00482827,0.0214081,0.0575444,0.0147858,0.012707,0.0109927,0.0109335,0.016356,0.0147419,0.0211927,0.0354321,0.0303694,0.00690612,0.0046188,0.0107956,0.0266891,0.0151917,0.0129783,0.0102084,0,0,0.0195614,0,0.0316528,0.025512,0.0391081,0.0196131,0.0142153,0.021971,0.0207529,0.0180471,0.00977609,0.0152552,0.0111585,0.0109962,0.0167239,0.0326894,0.0131298,0.0155464,0.00716618,0.013097,0.0382714,0.0128882,0.0190181,0.00654989,0,0,0,0,0,0,0,0
23,0.00829127,0,0,0,0,0.0216467,0,0,0,0,0,0,0.0313715,0.0219617,0.0297656,0.0142317,0,0,0.0210793,0,0.0344751,0.00904742,0.0386298,0.0287985,0.00712298,0.00472664,0.0213649,0.0575573,0.0147237,0.0126174,0.0109054,0.0109562,0.0163554,0.0147393,0.0212323,0.0352992,0.0303212,0.00691119,0.00463914,0.0108186,0.0266909,0.0151971,0.012983,0.0101798,0,0,0.0194921,0,0.0316461,0.0254758,0.0391076,0.0196235,0.0142039,0.0220027,0.0207209,0.0180479,0.00973873,0.0152596,0.0111553,0.0110439,0.0167409,0.0326984,0.01315,0.0155936,0.00716027,0.0130783,0.0382886,0.0128695,0.0190856,0.00648796,0,0,0,0,0,0,0,0
24,0.00830282,0,0,0,0,0.0216915,0,0,0,0,0,0,0.0314118,0.0219786,0.0297374,0.0144373,0,0,0.0210517,0,0.034481,0.00903911,0.0386339,0.0287878,0.00711573,0.00471182,0.0213067,0.0575261,0.0147333,0.0125944,0.010896,0.0109523,0.0163265,0.014715,0.0212506,0.0353278,0.0302456,0.00691325,0.00460252,0.0108791,0.0267027,0.0151926,0.012971,0.0103303,0,0,0.0194088,0,0.0316273,0.0254295,0.0391113,0.0196358,0.0142141,0.0220209,0.0206557,0.0180511,0.00969478,0.0152353,0.0111706,0.0110451,0.0167634,0.0326951,0.0131761,0.0156252,0.00720364,0.0129792,0.0382792,0.0128423,0.0191214,0.0064029,0,0,0,0,0,0,0,0
25,0.00826533,0,0,0,0,0.0217149,0,0,0,0,0,0,0.0313154,0.0220045,0.0297509,0.0142661,0,0,0.0210223,0,0.0344881,0.0090251,0.0386499,0.0283802,0.00709604,0.00466267,0.0212335,0.0574504,0.0147371,0.0125795,0.0108658,0.010939,0.0162984,0.0147319,0.021264,0.0354093,0.0302357,0.00692242,0.00455958,0.0109192,0.0267129,0.0152252,0.0129199,0.0104451,0,0,0.0193242,0,0.0315961,0.0254334,0.0391227,0.0196784,0.0142336,0.0220284,0.020588,0.0180304,0.00970596,0.0152073,0.01115,0.0110376,0.0167923,0.0326539,0.0132101,0.0156554,0.00727137,0.0128332,0.0382796,0.0128209,0.0191369,0.00631542,0,0,0,0,0,0,0,0
26,0.00825489,0,0,0,0,0.0217701,0,0,0,0,0,0,0.0312588,0.0220239,0.029821,0.0140942,0,0,0.0209767,0,0.0344818,0.00901745,0.0386538,0.0282358,0.00708354,0.00475904,0.0211929,0.0573982,0.0147913,0.01262,0.0109419,0.0109193,0.0163049,0.0147338,0.0212315,0.0353793,0.0302143,0.00691527,0.00452724,0.0109939,0.0267131,0.0152407,0.0128765,0.0103819,0,0,0.0192322,0,0.0315612,0.0254046,0.0391249,0.0197037,0.0142443,0.0220099,0.0205524,0.0180024,0.00974891,0.0151858,0.0111415,0.0110444,0.0168126,0.0326048,0.0132292,0.0156679,0.00731593,0.0127377,0.038303,0.0127942,0.0191969,0.00624743,0,0,0,0,0,0,0,0
27,0.0082713,0,0,0,0,0.0218279,0,0,0,0,0,0,0.0312019,0.0220429,0.0297657,0.014061,0,0,0.0209689,0,0.0344802,0.00906372,0.0386639,0.0281647,0.00708115,0.00469637,0.0211462,0.0573421,0.0147584,0.0125693,0.0108385,0.0109425,0.0163152,0.0147753,0.0212624,0.0351959,0.0301026,0.00689178,0.00448457,0.0109419,0.0267258,0.0152097,0.0128824,0.0103468,0,0,0.0191721,0,0.0315635,0.0253986,0.0391256,0.0196572,0.014252,0.0220322,0.020491,0.0179508,0.00976987,0.0151813,0.0111672,0.0110646,0.0168312,0.0326836,0.013229,0.0156549,0.00729578,0.0127117,0.0383027,0.0127678,0.0192573,0.00623303,0,0,0,0,0,0,0,0
28,0.00829369,0,0,0,0,0.0218959,0,0,0,0,0,0,0.0311516,0.0220479,0.0297761,0.0142029,0,0,0.0209593,0,0.0344902,0.00909537,0.0386548,0.0282226,0.00709423,0.00471564,0.0211354,0.0572626,0.0147781,0.012606,0.0108499,0.0109363,0.0163299,0.0147901,0.0212557,0.0351903,0.0299043,0.00687446,0.00443314,0.0108608,0.0267598,0.015196,0.0129021,0.0103034,0,0,0.0191121,0,0.0316016,0.0253567,0.0391201,0.0196161,0.0142406,0.0220394,0.0204705,0.0179085,0.00977224,0.0151707,0.0111845,0.0110937,0.0168375,0.0327144,0.0132281,0.0156616,0.007326,0.0126425,0.0383121,0.0127309,0.0193158,0.00622215,0,0,0,0,0,0,0,0
29,0.00831403,0,0,0,0,0.0219171,0,0,0,0,0,0,0.0310902,0.0220135,0.0297214,0.0144613,0,0,0.0209501,0,0.0345065,0.00905224,0.0386476,0.0283319,0.00710079,0.00456513,0.0211245,0.0572528,0.0146798,0.0125304,0.0107315,0.0109572,0.0163167,0.0148065,0.0213056,0.0351002,0.0297927,0.00687203,0.00446338,0.0108185,0.0267995,0.0151827,0.0129159,0.0104718,0,0,0.0190986,0,0.0316417,0.025316,0.0391056,0.0195485,0.0142393,0.0220226,0.0204388,0.0179168,0.0097939,0.0151385,0.0110643,0.0111566,0.0168225,0.0327005,0.0132342,0.0156768,0.00736752,0.0125498,0.0382678,0.0127009,0.0193472,0.00619344,0,0,0,0,0,0,0,0
30,0.00831047,0,0,0,0,0.0219468,0,0,0,0,0,0,0.0311064,0.0219517,0.0297468,0.0143181,0,0,0.0209271,0,0.0345546,0.00896677,0.0386467,0.0285458,0.00708659,0.00455748,0.0211168,0.0572425,0.0146481,0.0125344,0.0108014,0.0109418,0.0163001,0.0147873,0.0212911,0.0351161,0.0297954,0.00690531,0.00446792,0.0108493,0.0267779,0.0152089,0.012919,0.0105857,0,0,0.0190686,0,0.0315806,0.0252197,0.039099,0.0195413,0.0142496,0.0220003,0.0204299,0.0179241,0.00982516,0.0151195,0.010913,0.0111984,0.0168274,0.032677,0.0132423,0.0157014,0.00741039,0.01244,0.0382259,0.0126618,0.0193982,0.00616134,0,0,0,0,0,0,0,0
31,0.00831296,0,0,0,0,0.0219918,0,0,0,0,0,0,0.0311457,0.0219676,0.029685,0.0141633,0,0,0.0209228,0,0.0345678,0.00897364,0.0386465,0.0282857,0.00707528,0.00436963,0.0210631,0.0572725,0.0145569,0.01242,0.0106311,0.0110029,0.0163035,0.0148768,0.0213518,0.0349418,0.0299582,0.00689885,0.00445383,0.0108568,0.0267636,0.0152308,0.012879,0.0104465,0,0,0.019039,0,0.0315385,0.0251988,0.0390936,0.0195379,0.0142504,0.0219722,0.0203825,0.0178656,0.00984139,0.015101,0.0110086,0.0111629,0.0168391,0.0326902,0.0132625,0.0157038,0.00744471,0.012392,0.0382151,0.0126509,0.0194547,0.00615219,0,0,0,0,0,0,0,0
32,0.00832991,0,0,0,0,0.0220283,0,0,0,0,0,0,0.0311408,0.0219325,0.0296629,0.0141249,0,0,0.020927,0,0.0346202,0.0089231,0.0386505,0.0282797,0.00706005,0.004409,0.021034,0.0573708,0.0146344,0.0124542,0.010627,0.0109974,0.0162905,0.0148715,0.0213356,0.0349506,0.0300501,0.00695073,0.00442682,0.0106811,0.0267783,0.0150569,0.0128497,0.0104524,0,0,0.0190112,0,0.0315326,0.0251892,0.0391153,0.0193556,0.0142503,0.0219178,0.0203041,0.0178544,0.00979373,0.0150677,0.0110288,0.0110536,0.0167837,0.0326836,0.0131795,0.015627,0.00723507,0.01235,0.0382379,0.0126413,0.019508,0.00613145,0,0,0,0,0,0,0,0
33,0.00836705,0,0,0,0,0.0220388,0,0,0,0,0,0,0.0308544,0.0219178,0.0295829,0.0141601,0,0,0.0209274,0,0.034651,0.00891943,0.0386569,0.0284534,0.0070433,0.00428593,0.0210075,0.057471,0.014572,0.0123018,0.010446,0.0110276,0.0163024,0.0148656,0.0213961,0.0348925,0.0300675,0.00698465,0.00441726,0.0102823,0.0267873,0.0146857,0.012845,0.0106967,0,0,0.0190464,0,0.031551,0.025175,0.0391346,0.0189738,0.0142467,0.0218391,0.020244,0.0178881,0.00970083,0.0149589,0.0109141,0.0109212,0.01667,0.0326946,0.0129895,0.0154833,0.00678941,0.0123265,0.0382606,0.0126371,0.0195211,0.00608703,0,0,0,0,0,0,0,0
34,0.00841799,0,0,0,0,0.0220678,0,0,0,0,0,0,0.0309787,0.0219451,0.0295896,0.0141147,0,0,0.0209002,0,0.0346309,0.00898053,0.0386529,0.0282783,0.00702718,0.00434391,0.0209831,0.0575175,0.01459,0.0123025,0.0104987,0.0109951,0.0162803,0.0148153,0.0213786,0.03496,0.0300538,0.00696061,0.00440653,0.0102625,0.0267913,0.014699,0.0128223,0.0108165,0,0,0.0190704,0,0.0315563,0.0251219,0.0391349,0.0189802,0.0142139,0.0218381,0.0202348,0.0179056,0.00966079,0.0149375,0.0108811,0.0109287,0.016667,0.032659,0.0129839,0.0154857,0.00680609,0.0122534,0.0382587,0.0126188,0.0195299,0.00605394,0,0,0,0,0,0,0,0
