Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x71,x72,LWRA
67,0.00490856,0,0,0,0,0.010907,0,0,0,0,0,0,0.0225981,0.0253685,0.0228286,0.0142976,0,0,0.0189904,0,0.0251451,0.0237047,0.043438,0.0239987,0.0130938,0.00725273,0.023872,0.0175647,0.00800261,0.00598424,0.00648055,0.0102936,0.0126317,0.0140247,0.0182649,0.0257758,0.0152498,0.0332908,0.005528,0.033124,0.0096589,0.0172717,0.00974709,0,0,0.0352188,0,0.0332256,0.0217548,0.0356018,0.011072,0.0148914,0.0166667,0.0218405,0.0257645,0.00921679,0.013511,0.00728618,0.010037,0.0113657,0.0308891,0.0102093,0.00957746,0.00756366,0.020844,0.00691871,0.0140348,0.00725392,0.00640816,0,0,0
68,0.00751706,0,0,0,0,0.0139143,0,0,0,0,0,0,0.0231591,0.0264322,0.0226743,0.0153134,0,0,0.0250763,0,0.0359894,0.0207967,0.0437669,0.0237956,0.014447,0.00753238,0.0275993,0.0168941,0.00816703,0.00683273,0.00666801,0.0104199,0.0127328,0.0141226,0.017714,0.026038,0.0163379,0.0246683,0.00552028,0.0326024,0.00946225,0.018102,0.0113975,0,0,0.0337933,0,0.0329957,0.0208185,0.0353979,0.011398,0.0136841,0.0172864,0.0260829,0.0269646,0.00927223,0.0135206,0.00730518,0.00999872,0.0119809,0.0310436,0.0103013,0.0100794,0.00676875,0.0207201,0.00839225,0.0136919,0.0104208,0.00809775,0,0,0.0328543
69,0.00704133,0,0,0,0,0.0140337,0,0,0,0,0,0,0.0224815,0.0267263,0.0219312,0.0152148,0,0,0.0252918,0,0.0357401,0.0209389,0.0439199,0.0234549,0.0144189,0.00787716,0.0278834,0.0176672,0.0079107,0.00718209,0.00685515,0.0106107,0.0127169,0.0140323,0.0174499,0.0252514,0.0164491,0.0246218,0.00537412,0.0321654,0.00953598,0.0180711,0.0108423,0,0,0.0332142,0,0.0327353,0.0203968,0.0353703,0.0118736,0.0138083,0.0175854,0.0264859,0.0265027,0.00903023,0.0136169,0.00740148,0.0100949,0.0121465,0.0310009,0.010255,0.0102448,0.00661226,0.0205139,0.00980145,0.0135068,0.010637,0.0076872,0,0,0.0326241
70,0.00659692,0,0,0,0,0.0140708,0,0,0,0,0,0,0.0219958,0.0270759,0.0213396,0.0151274,0,0,0.0253724,0,0.0355325,0.020966,0.0440343,0.0231739,0.0144222,0.00831369,0.0281249,0.0182507,0.00769954,0.00775415,0.00713413,0.0108626,0.0128573,0.0140123,0.0170899,0.0246317,0.0165442,0.024466,0.00527214,0.031749,0.00966473,0.0180613,0.0102884,0,0,0.0326895,0,0.0325238,0.0200435,0.0353384,0.012334,0.014066,0.0179902,0.0268269,0.0260313,0,0.0136796,0.00747963,0.0102569,0.0122742,0.0308977,0.0102335,0.0103273,0.00644774,0.0204526,0.0112386,0.0133352,0.0107606,0.00727233,0,0,0.0325488
71,0.00623896,0,0,0,0,0.0141595,0,0,0,0,0,0,0.021166,0.0273544,0.020765,0.0150547,0,0,0.0253403,0,0.0354171,0.0209317,0.0441037,0.0227074,0.0143479,0.00890541,0.0284068,0.0185773,0.0075352,0.00850231,0.00742552,0.0111985,0.0130989,0.0141219,0.0167123,0.0239583,0.016516,0.0243119,0.00508191,0.0313672,0.00968174,0.0182845,0.00984241,0,0,0.0321397,0,0.0323427,0.0197251,0.0352623,0.0126126,0.0139134,0.0185281,0.0271333,0.0256324,0.00779815,0.0139153,0.00765399,0.0103287,0.0124387,0.0307608,0.0101989,0.0104396,0.00621631,0.020224,0.0127073,0.0131611,0.0109688,0.00695211,0,0,0.0325389
72,0.00595906,0,0,0,0,0.0142662,0,0,0,0,0,0,0.0203517,0.027596,0.0201035,0.0150639,0,0,0.0252624,0,0.0352963,0.0208231,0.0441255,0.022715,0.0143287,0.00958344,0.0288284,0.0188886,0.00742147,0.0094867,0.00776878,0.0116051,0.0133825,0.0142025,0.0163441,0.0232121,0.0164098,0.0241566,0.00489355,0.0309992,0.00976925,0.0186244,0.00945101,0,0,0.031566,0,0.0321459,0.0193792,0.0352273,0.0129353,0.0138253,0.018988,0.0275512,0.0252187,0,0.0140942,0.00785013,0.0106317,0.0123695,0.0305107,0.0100921,0.0103321,0.00613517,0.0198415,0.0141467,0.0130166,0.0111665,0.0067005,0,0,0.0324965
73,0.00576483,0,0,0,0,0.0142195,0,0,0,0,0,0,0.0196576,0.0278703,0.0196259,0.0145724,0,0,0.0251039,0,0.0350891,0.0206772,0.044041,0.0234874,0.0141735,0.0101377,0.0285802,0.0190933,0.00720609,0.0104776,0.0081084,0.0119624,0.0136492,0.0141944,0.0161535,0.0223372,0.01653,0.0239281,0.00496233,0.0308512,0.0101979,0.0186381,0.00915085,0,0,0.0311409,0,0.0320789,0.0190289,0.0350802,0.013701,0.0138501,0.0189077,0.027362,0.0248545,0.00721204,0.014214,0.00782342,0.0103842,0.0123757,0.0306946,0.010176,0.0104127,0.00610357,0.0195811,0.0151572,0.0131981,0.0111706,0.00652653,0,0,0.0323882
74,0.00582762,0,0,0,0,0.0141252,0,0,0,0,0,0,0.018834,0.0281479,0.0192372,0.0141132,0,0,0.0250694,0,0.034881,0.0205624,0.0440123,0.0239377,0.0140249,0.010681,0.0281946,0.0192382,0.00705382,0.0113953,0.0084514,0.0123767,0.0139744,0.0142947,0.0160678,0.0215778,0.0167846,0.0237054,0.00493999,0.0312608,0.0106958,0.018616,0.00917899,0,0,0.0313486,0,0.0323926,0.0189202,0.0349392,0.014456,0.0139963,0.0187153,0.0271337,0.0249303,0,0.014192,0.00775515,0.0102767,0.012194,0.0308,0.0102604,0.0103585,0.00642405,0.0195909,0.0154164,0.0134541,0.0109506,0.00665456,0,0,0.032206
75,0.00600295,0,0,0,0,0.0140071,0,0,0,0,0,0,0.018445,0.0283776,0.0190679,0.0135859,0,0,0.0250831,0,0.0346682,0.020423,0.0440109,0.0240909,0.0138678,0.0110853,0.0276535,0.0192842,0.00699303,0.0122379,0.008725,0.0126256,0.014166,0.014375,0.0159113,0.0213554,0.0166956,0.0235813,0.0048468,0.0317178,0.0110071,0.0185112,0.0092988,0,0,0.0315481,0,0.0327341,0.0187649,0.0348035,0.0150324,0.0141188,0.0186058,0.0267894,0.0249809,0.00692029,0.014247,0.00777673,0.0100611,0.0121637,0.0309167,0.0103894,0.0104095,0.00672265,0.0196021,0.0156331,0.0134894,0.0106354,0.0068263,0,0,0.0319373
76,0.00611082,0,0,0,0,0.0138363,0,0,0,0,0,0,0.0188316,0.0285609,0.0190833,0.013139,0,0,0.0251948,0,0.0344115,0.0203298,0.0439645,0.0242172,0.0136895,0.0112749,0.0270862,0.0193385,0.0070428,0.0128665,0.00895574,0.0126064,0.0141528,0.014315,0.0157905,0.0215992,0.0167223,0.0236002,0.00473763,0.0320668,0.0113089,0.0184612,0.00938566,0,0,0.0315606,0,0.0330084,0.0185224,0.0347582,0.015553,0.0142321,0.0183923,0.0263755,0.0248767,0.00678757,0.0142948,0.00780305,0.00993562,0.0120058,0.0310123,0.0104422,0.0103686,0.00714991,0.0195205,0.0162597,0.0132725,0.010313,0.00695088,0,0,0.0316021
