Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72,x73,x74,,x79
203,0.0123601,0,0,0,0,0.00734752,0,0,0,0,0,0.0101396,0.0396048,0.00719543,0.0388081,0,0,0.011386,0,0.0406232,0.019296,0.0513004,0.0135065,0.0136288,0.007384,0.0402386,0.0151613,0.0182699,0.0180432,0.0181804,0.0090413,0.00993733,0.0115303,0.0149608,0.00874424,0.0119947,0,0.0150634,0.0110141,0.0430136,0.0198548,0.0580297,0.0140695,0,0,0.00585087,0,0.04769,0.00921684,0.0528285,0.0273243,0.0301334,0.0299693,0.0373799,0.0223833,0.013243,0.00936687,0.0142857,0.0229885,0.0223677,0.0305252,0.0133111,0.0242413,0.0210179,0.00713366,0.0278188,0.0138282,0.0125541,0.0148525,0,0,0,0,0,0,0
204,0.0122877,0,0,0,0,0.00656393,0,0,0,0,0,0.0117945,0.0396307,0.00479961,0.0387887,0,0,0.0117526,0,0.040622,0.0195467,0.0517426,0.00963394,0.0139844,0.00735655,0.0399965,0.0147837,0.0188134,0.0178591,0.0184129,0.00967081,0.0103492,0.0108676,0.0147192,0.00839383,0.0121942,0,0.0153321,0.0113254,0.0430655,0.0192337,0.0579104,0.0136643,0,0,0.00580614,0,0.0475772,0.009228,0.0525785,0.0259842,0.0307734,0.0298961,0.0370021,0.0225746,0.0130446,0.00910191,0.0145811,0.0233171,0.0217412,0.0308548,0.0127605,0.0233853,0.0206721,0.00749345,0.0280409,0.013923,0.011646,0.0144419,0,0,0,0,0,0,0
205,0.0121454,0,0,0,0,0.00599456,0,0,0,0,0,0.0129761,0.0396281,0.00481299,0.038805,0,0,0.0120265,0,0.0405657,0.0197244,0.0521117,0.00804433,0.014287,0.00770652,0.0396927,0.0146016,0.0196689,0.0181915,0.0187899,0.0103806,0.0108041,0.0103662,0.0145811,0.00863809,0.0124553,0,0.0155181,0.011754,0.0430908,0.0183649,0.0576722,0.0132,0,0,0.00572796,0,0.0474555,0.0091973,0.0524816,0.0243681,0.0313327,0.0295146,0.0365622,0.022776,0.0129645,0.00893956,0.0147702,0.0236157,0.0206938,0.0308803,0.0118776,0.0221187,0.0205535,0.00787439,0.0282283,0.0140587,0.0108529,0.0141264,0,0,0,0,0,0,0
206,0.0119726,0,0,0,0,0.00559737,0,0,0,0,0,0.0119195,0.039585,0.00553172,0.0386408,0,0,0.0122729,0,0.0404559,0.0198713,0.0521207,0.00894325,0.0144421,0.00797694,0.0394016,0.0145039,0.0204249,0.0186974,0.0190362,0.0110476,0.0112946,0.0104638,0.0143179,0.00775936,0.0127252,0,0.0156707,0.0120223,0.043135,0.0178293,0.057467,0.0127089,0,0,0.00566212,0,0.04735,0.0092032,0.0524629,0.0230645,0.0317645,0.0293661,0.0361606,0.023006,0.0129155,0.00881555,0.0150122,0.0238531,0.0199865,0.0310103,0.0114256,0.0212904,0.0201345,0.00828261,0.0284549,0.0142664,0.0102098,0.0137766,0,0,0,0,0,0,0
207,0.0117839,0,0,0,0,0.00530841,0,0,0,0,0,0.0121519,0.0395144,0.0064172,0.0385939,0,0,0.0124527,0,0.0403129,0.0199832,0.0521931,0.0100343,0.0145932,0.00838879,0.0391776,0.0143239,0.0213122,0.0193351,0.0192971,0.0117252,0.0118987,0.0103824,0.0141293,0.00741199,0.0127844,0,0.0158505,0.0121864,0.0432256,0.0175025,0.057233,0.0122625,0,0,0.00549416,0,0.047325,0.00926086,0.052238,0.0221287,0.0322715,0.0293168,0.03579,0.0231597,0.0125407,0.00869574,0.0152202,0.024104,0.0195645,0.0313192,0.0111369,0.0208007,0.0197361,0.0086045,0.0286398,0.0144467,0.00975824,0.0132271,0,0,0,0,0,0,0
208,0.0115628,0,0,0,0,0.0050963,0,0,0,0,0,0.0124527,0.0394875,0.00733172,0.0386007,0,0,0.0126852,0,0.0402009,0.0201969,0.052284,0.0111822,0.0146614,0.00897434,0.0389483,0.0142141,0.0221544,0.0201025,0.019537,0.0124103,0.0125682,0.0104658,0.0139464,0.00711461,0.0128819,0,0.0161094,0.0125039,0.0432981,0.0171794,0.056905,0.0118012,0,0,0.00531488,0,0.0472881,0.00934962,0.0520075,0.0212486,0.0327734,0.0293866,0.0354191,0.0232766,0.0122615,0.0086037,0.0154242,0.0242466,0.019268,0.0316353,0.0107699,0.0203699,0.019579,0.00889615,0.0288727,0.0146672,0.00941528,0.0127514,0,0,0,0,0,0,0
209,0.0113053,0,0,0,0,0.00503029,0,0,0,0,0,0.0124989,0.0394998,0.00817515,0.038465,0,0,0.0129573,0,0.0401259,0.0204621,0.052378,0.0121904,0.0146824,0.00967662,0.0386698,0.0143333,0.0229109,0.0208908,0.0197664,0.0130129,0.0132461,0.0106954,0.0137321,0.00694871,0.013098,0,0.01644,0.0131228,0.0432831,0.0169087,0.0566026,0.0113103,0,0,0.00521918,0,0.0471437,0.00942966,0.051912,0.0203737,0.0332149,0.0294976,0.0350559,0.0234129,0.0120276,0.0085604,0.0156361,0.0243066,0.0190528,0.0318562,0.0104101,0.0198995,0.0195228,0.00931422,0.0290027,0.0149056,0.00912316,0.0125721,0,0,0,0,0,0,0
210,0.0110623,0,0,0,0,0.004932,0,0,0,0,0,0.0128611,0.0395307,0.00892361,0.0383176,0,0,0.0130985,0,0.040091,0.0206481,0.0525827,0.013013,0.0147723,0.0104602,0.0385546,0.0142012,0.0236116,0.0217308,0.0199662,0.0134573,0.0139419,0.0109623,0.0134423,0.00708822,0.0131939,0,0.01681,0.0136482,0.0432517,0.0167975,0.0563126,0.0109033,0,0,0.00514594,0,0.0469925,0.00948116,0.0518264,0.0196421,0.0335736,0.0298829,0.0348481,0.0234877,0.0118581,0.00852641,0.0159556,0.0244277,0.0190802,0.031997,0.0103129,0.0196342,0.0193443,0.00969972,0.0290239,0.0149957,0.00898525,0.0120171,0,0,0,0,0,0,0
211,0.0108279,0,0,0,0,0.00489383,0,0,0,0,0,0.0130352,0.0395088,0.00971358,0.0380854,0,0,0.0129289,0,0.0400044,0.0206203,0.0526951,0.0140197,0.0148655,0.0117677,0.0382178,0.0140432,0.0244269,0.0228642,0.0203069,0.0139619,0.0147598,0.0112595,0.013143,0.00728718,0.0129673,0,0.0169921,0.0141439,0.0432752,0.0168227,0.0557587,0.010521,0,0,0.00513745,0,0.0469099,0.00947012,0.05169,0.0189428,0.0335816,0.0306961,0.0342085,0.0236932,0.0123088,0.00770635,0,0.0251353,0.0192779,0.0324837,0.0101603,0.019536,0.019291,0.0102956,0.0290725,0.0150495,0.0087244,0.0113741,0,0,0,0,0,0,0
212,0.0104463,0,0,0,0,0.00462483,0,0,0,0,0,0.0129021,0.0394561,0.0109128,0.0380933,0,0,0.0132127,0,0.0398874,0.0208753,0.0536847,0.0157974,0.0152322,0.0138133,0.0384887,0.0137933,0.0255121,0.0246521,0.0208793,0.0151363,0.0159538,0.0119029,0.0125912,0.0074239,0.0132587,0,0.0172375,0.0134736,0.0433024,0.0162231,0.0554168,0.00997214,0,0,0.00501325,0,0.0468407,0.00954929,0.051455,0.0177103,0.0345712,0.0297404,0.0346309,0.0237399,0.0118558,0.0080511,0.01603,0.0245735,0.0186717,0.0326358,0.00978096,0.0189157,0.0187165,0.0107257,0.0292289,0.0152347,0.00851515,0.0107605,0,0,0,0,0,0,0
