Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72,x73,x74,,x79
All Timesteps RMSE,0.0181471,0,0,0,0,0.0220382,0,0,0,0,0,0.0144102,0.0335265,0.0125446,0.0340248,0,0,0.021781,0,0.034329,0.0184127,0.0481143,0.0155359,0.0145608,0.0125012,0.0393089,0.0308464,0.0138022,0.0144814,0.015065,0.0116016,0.013439,0.00879909,0.0271525,0.019332,0.0220953,0.0289621,0.0173009,0.0278046,0.0386921,0.0339331,0.0535259,0.0237741,0,0,0.0168253,0,0.0420711,0.0154177,0.0540894,0.0440512,0.0329136,0.031752,0.0359313,0.0276799,0.0256042,0.0296395,0.0482253,0.0299309,0.029312,0.0336149,0.0204777,0.0402453,0.0287562,0.0172795,0.0195824,0.020471,0.0253723,0.0189577,0,0,0,0,0,0,0
0,0.0268049,0,0,0,0,0.0252538,0,0,0,0,0,0.00707656,0.0179636,0.0168057,0.0225854,0,0,0.0378425,0,0.0364726,0.0229969,0.0435073,0.0191732,0.00342447,0.0122439,0.0258858,0.0450626,0.0161855,0.0160123,0.016899,0.0176371,0.0184303,0.0163721,0.0377704,0.0105023,0.0405919,0.00823771,0.00931777,0.0157061,0.0274178,0.0184611,0.049012,0.0273426,0,0,0.00882324,0,0.0353626,0.0123551,0.0494964,0.0220325,0.0461043,0.030901,0.0306041,0.0358524,0.00855848,0.0106327,0.0139701,0.0198275,0.0209085,0.0436444,0.0115529,0.0178725,0.0236744,0.0154423,0.0237958,0.00799336,0.01883,0.0193559,0,0,0,0,0,0,0
1,0.0253259,0,0,0,0,0.0242625,0,0,0,0,0,0.00707593,0.0181564,0.016494,0.0234209,0,0,0.0385642,0,0.0358873,0.0235665,0.0439044,0.0188575,0.00379916,0.011853,0.0267818,0.0444277,0.0158124,0.0156456,0.0164648,0.0172036,0.0179572,0.0159944,0.0373331,0.0101618,0.0408103,0.00880279,0.00908447,0.0153068,0.0274134,0.0179315,0.0492753,0.0258421,0,0,0.00516223,0,0.0348815,0.0125331,0.0496172,0.0219186,0.0452987,0.030368,0.0311885,0.0329775,0.00843852,0.0102946,0.0133494,0.0195707,0.020968,0.0437006,0.0115727,0.018124,0.024129,0.0125321,0.0228221,0.0091594,0.0183751,0.0182266,0,0,0,0,0,0,0
2,0.0254573,0,0,0,0,0.0241521,0,0,0,0,0,0.0235709,0.0182728,0.017774,0.0237047,0,0,0.0385373,0,0.0358226,0.0236595,0.0450562,0.0143643,0.00406081,0.018592,0.0275043,0.0438762,0.0156706,0.0177083,0.022644,0.0173701,0.0206791,0.0111522,0.0321217,0.0314898,0.0406374,0.00874289,0.00887925,0.0154474,0.0274786,0.0180279,0.0490332,0.0261076,0,0,0.00510241,0,0.0346795,0.0124508,0.0498764,0.0219323,0.0450182,0.030566,0.0316053,0.0328529,0.00875113,0.0101647,0.0135639,0.0196517,0.0209504,0.0437958,0.0115697,0.0179823,0.0239294,0.0128217,0.022031,0.00957481,0.0181414,0.0182056,0,0,0,0,0,0,0
3,0.0257626,0,0,0,0,0.0243403,0,0,0,0,0,0.0231507,0.0183039,0.0177532,0.0238199,0,0,0.0387213,0,0.0357691,0.0238753,0.045061,0.0144398,0.00411413,0.0181084,0.0276161,0.0435884,0.0155117,0.0173146,0.0222749,0.0171815,0.0205033,0.0113019,0.0322077,0.0309933,0.0406909,0.00875718,0.00870471,0.0154195,0.0273698,0.0180586,0.0491032,0.0264704,0,0,0.00469023,0,0.0345071,0.0122689,0.0499219,0.0220077,0.0449231,0.0306316,0.0316622,0.032523,0.00875044,0.010171,0.0134753,0.0196561,0.0210221,0.0437701,0.0115657,0.0180413,0.0240098,0.0126448,0.0210459,0.0102971,0.0183008,0.0184998,0,0,0,0,0,0,0
4,0.0262129,0,0,0,0,0.0245359,0,0,0,0,0,0.0223174,0.0183563,0.0176233,0.0238579,0,0,0.0389757,0,0.0356498,0.024128,0.0450073,0.0145718,0.00413244,0.0174107,0.0276596,0.0433461,0.0153043,0.0168051,0.021724,0.0169439,0.020209,0.0114898,0.0323905,0.030091,0.0407415,0.00882614,0.00852717,0.0154039,0.027291,0.0180957,0.0491616,0.0269462,0,0,0.00424638,0,0.034372,0.0121586,0.0499407,0.0220842,0.0448479,0.0306973,0.0316451,0.0322616,0.00861765,0.0101811,0.0133818,0.0197106,0.0210653,0.0437668,0.0115697,0.0181109,0.0241085,0.0125454,0.0200094,0.0111097,0.018438,0.0189558,0,0,0,0,0,0,0
5,0.0269276,0,0,0,0,0.0247946,0,0,0,0,0,0.0211897,0.018671,0.0174165,0.023852,0,0,0.0393431,0,0.035478,0.02448,0.0449781,0.0147773,0.00412584,0.0165412,0.0276934,0.0431828,0.0150349,0.0162305,0.0210066,0.0166878,0.0197832,0.01171,0.0326535,0.0288326,0.0408934,0.00888686,0.00843769,0.0153838,0.0272938,0.0181029,0.0492159,0.0275936,0,0,0.00389671,0,0.0342959,0.012072,0.0499587,0.0221291,0.0448073,0.0307458,0.0316475,0.0321091,0.00869393,0.0102169,0.013436,0.0197092,0.0211225,0.0437601,0.0115752,0.0181588,0.0242172,0.0125119,0.0189743,0.0119201,0.0186031,0.0196578,0,0,0,0,0,0,0
6,0.0271833,0,0,0,0,0.0255382,0,0,0,0,0,0.0199968,0.0188835,0.0172021,0.0240916,0,0,0.0401609,0,0.0354387,0.0248829,0.0449596,0.0149514,0.00434334,0.0156615,0.0281467,0.0442165,0.0147445,0.015637,0.0202773,0.0164125,0.0193065,0.011928,0.0328898,0.0275225,0.0417532,0.00916739,0.00840932,0.0153195,0.0273617,0.0180474,0.0492446,0.0278839,0,0,0.00367948,0,0.0341592,0.0119179,0.0500848,0.0221433,0.0445382,0.030618,0.0319444,0.0323127,0.00865578,0.010328,0.0132497,0.0195461,0.0211005,0.043654,0.0115586,0.0181494,0.0241961,0.0126318,0.0176991,0.0126491,0.0194227,0.0196806,0,0,0,0,0,0,0
7,0.0272991,0,0,0,0,0.0261596,0,0,0,0,0,0.0184872,0.0189635,0.0170002,0.0245337,0,0,0.0408212,0,0.0354721,0.025084,0.0449573,0.0151586,0.00466694,0.0147113,0.0287711,0.0450693,0.0145201,0.0149883,0.0195023,0.0161576,0.0188123,0.0122395,0.0331859,0.0258956,0.0425511,0.00960785,0.00823678,0.0153383,0.0273605,0.0179894,0.0493609,0.0280109,0,0,0.0033592,0,0.0339464,0.0116302,0.0503218,0.0221755,0.0441167,0.0305556,0.0323655,0.032397,0.00856015,0.0104423,0.0130148,0.0194294,0.0210993,0.0435173,0.0115393,0.0181565,0.0241379,0.0125762,0.0161507,0.0134074,0.0202083,0.0195958,0,0,0,0,0,0,0
8,0.0274064,0,0,0,0,0.0267894,0,0,0,0,0,0.0169806,0.018961,0.016794,0.0249984,0,0,0.0415051,0,0.035402,0.0252704,0.0449488,0.0154016,0.00501585,0.0138469,0.0294703,0.0457341,0.0143001,0.0144678,0.018785,0.0159459,0.0183918,0.0125398,0.0334637,0.0242431,0.0433397,0.00998721,0.00791489,0.0153407,0.0273861,0.0179341,0.0494849,0.0281512,0,0,0.00303971,0,0.0337698,0.0113748,0.0504416,0.0222358,0.0436186,0.0305378,0.0328208,0.032369,0.00848716,0.0104584,0.0130169,0.0193637,0.0211338,0.0433437,0.0115298,0.0182856,0.0242502,0.0125145,0.0146673,0.0142482,0.021031,0.0195027,0,0,0,0,0,0,0
9,0.027604,0,0,0,0,0.0274915,0,0,0,0,0,0.0156923,0.018973,0.0165798,0.0253705,0,0,0.0421457,0,0.0351969,0.0254606,0.0449292,0.0155691,0.00534105,0.0131187,0.0301475,0.0463259,0.0140893,0.0140338,0.0181505,0.0157628,0.0180339,0.0127158,0.0336889,0.0227861,0.0440906,0.0103043,0.00745129,0.0152558,0.0274981,0.017965,0.049573,0.0283851,0,0,0.00278721,0,0.0336372,0.0111595,0.0504745,0.0223679,0.0431722,0.0304697,0.0332482,0.0323218,0.00838854,0.0104854,0.0129258,0.0192843,0.0211629,0.0432514,0.0115393,0.0184201,0.0243805,0.012399,0.0135277,0.0151782,0.0218732,0.019493,0,0,0,0,0,0,0
10,0.0280122,0,0,0,0,0.0283001,0,0,0,0,0,0.0144676,0.0192503,0.0163767,0.025747,0,0,0.0427466,0,0.0351746,0.0255381,0.0449364,0.0157548,0.00569256,0.0124413,0.030849,0.0469875,0.0138755,0.0136084,0.0175334,0.0155841,0.0176895,0.0128638,0.0338854,0.0213771,0.0448048,0.0107328,0.00697651,0.0152464,0.0275905,0.0180465,0.049664,0.0287996,0,0,0.00267675,0,0.0334768,0.0109292,0.0505629,0.0225477,0.0427288,0.0304118,0.0337234,0.032446,0.00830057,0.0105368,0.0127217,0.0191833,0.021166,0.0432571,0.0115385,0.0184716,0.0244614,0.0124493,0.0124515,0.0161228,0.022789,0.0196552,0,0,0,0,0,0,0
11,0.0286025,0,0,0,0,0.0290712,0,0,0,0,0,0.0133108,0.0197102,0.0161449,0.0261744,0,0,0.0434085,0,0.0351588,0.0256671,0.0449899,0.0158481,0.00609435,0.0118298,0.0316228,0.0476351,0.0136838,0.0132735,0.0169668,0.0154219,0.0173783,0.0130014,0.0340459,0.0200817,0.0455457,0.0111068,0.00659858,0.0152577,0.0275968,0.0179996,0.049788,0.0293009,0,0,0.00264273,0,0.0332046,0.0106142,0.0506904,0.0226069,0.0422849,0.0303793,0.0342787,0.0327772,0.00817983,0.0105664,0.0127014,0.0191109,0.0211444,0.0431945,0.0114397,0.0184223,0.0246052,0.0124447,0.0114944,0.0169371,0.0236066,0.020018,0,0,0,0,0,0,0
12,0.0291175,0,0,0,0,0.0299097,0,0,0,0,0,0.0122743,0.0200527,0.0159394,0.0266075,0,0,0.0440318,0,0.0350398,0.0256714,0.0450761,0.0159481,0.00653205,0.0112922,0.0324411,0.0484173,0.0134613,0.0129856,0.0164544,0.0152924,0.0170728,0.0130787,0.0341776,0.0189231,0.0463257,0.0116135,0.0061395,0.0153717,0.0276226,0.0178659,0.0499451,0.0297344,0,0,0.00262954,0,0.0329505,0.0103512,0.0508256,0.0226005,0.0418242,0.0303697,0.0348818,0.0332185,0.00806232,0.0105835,0.012666,0.0190243,0.0211179,0.0431107,0.0112859,0.0183704,0.0248216,0.012419,0.0107131,0.0177021,0.0244665,0.0203132,0,0,0,0,0,0,0
13,0.0297225,0,0,0,0,0.0307831,0,0,0,0,0,0.0113754,0.0204295,0.0157765,0.0270314,0,0,0.0445205,0,0.0349303,0.0255584,0.0451289,0.0160977,0.00690039,0.0108625,0.0332478,0.0491738,0.0132781,0.0127879,0.016026,0.0151703,0.0167864,0.0131226,0.0342568,0.0179137,0.0470237,0.0122252,0.00558551,0.0152595,0.0276929,0.0179245,0.0500675,0.0302681,0,0,0.0026771,0,0.0327471,0.0101209,0.0509669,0.0227482,0.0413825,0.0303624,0.0354691,0.0337341,0.00794698,0.0107075,0.0125609,0.0189247,0.0212263,0.0429436,0.0113515,0.0185196,0.0247449,0.0126285,0.0103718,0.0185834,0.0253591,0.0206675,0,0,0,0,0,0,0
14,0.0304218,0,0,0,0,0.0316936,0,0,0,0,0,0.0105421,0.0208218,0.0156202,0.0274384,0,0,0.0449944,0,0.0348389,0.0254686,0.0451522,0.0162069,0.00719721,0.0105051,0.0340961,0.0499345,0.0131052,0.0126764,0.0156533,0.0150279,0.0165411,0.0131689,0.034334,0.016945,0.0476353,0.0128665,0.00503261,0.0151024,0.027857,0.0180368,0.0500916,0.0309,0,0,0.0027826,0,0.0326676,0.00998407,0.0511409,0.0229419,0.0410932,0.0303735,0.0360716,0.0343391,0.00786854,0.010817,0.0124092,0.0188245,0.0212861,0.0428984,0.0114185,0.0186444,0.024631,0.0130462,0.0103897,0.0195715,0.026309,0.0211021,0,0,0,0,0,0,0
15,0.0309489,0,0,0,0,0.0327529,0,0,0,0,0,0.00973446,0.0214207,0.0154185,0.027885,0,0,0.0456281,0,0.0346235,0.0255077,0.045177,0.0162351,0.00752793,0.0101686,0.0350287,0.0510769,0.0129126,0.0125348,0.0152904,0.0148887,0.0163011,0.013185,0.0343978,0.0160077,0.0485808,0.0132321,0.00447949,0.0149999,0.0280297,0.0180668,0.050106,0.0314267,0,0,0.00303723,0,0.0326157,0.00983006,0.0513384,0.0230396,0.0408762,0.0303338,0.0367479,0.0352043,0.00778864,0.0108785,0.0121742,0.0186945,0.0212595,0.0428525,0.0113718,0.0186812,0.0246118,0.0137515,0.0104077,0.0205142,0.0274554,0.0213552,0,0,0,0,0,0,0
16,0.0314193,0,0,0,0,0.033779,0,0,0,0,0,0.0091055,0.0220232,0.0151713,0.0284569,0,0,0.0461616,0,0.0342968,0.0254309,0.0453936,0.0162162,0.0078895,0.00982488,0.0357185,0.0521379,0.0127042,0.0123648,0.0149118,0.0146859,0.0160195,0.0131219,0.034348,0.0153123,0.0494581,0.0133539,0.00391362,0.0150206,0.0280312,0.017984,0.0503699,0.0319117,0,0,0.00332453,0,0.0323907,0.00964864,0.0514322,0.0231256,0.0403028,0.0302103,0.0373734,0.0360363,0.00752514,0.0110127,0.011924,0.0185046,0.0212412,0.0427342,0.011257,0.0187453,0.0248397,0.0143487,0.010183,0.021385,0.028545,0.0216016,0,0,0,0,0,0,0
17,0.0317311,0,0,0,0,0.0347447,0,0,0,0,0,0.00853658,0.0225571,0.0149374,0.0288604,0,0,0.0465019,0,0.0341552,0.0252114,0.0455948,0.0161813,0.00820152,0.00951532,0.0363626,0.0530545,0.0125343,0.0122231,0.0145642,0.014486,0.0157401,0.0130268,0.0342792,0.0146945,0.0500649,0.013485,0.00331525,0.0151255,0.0279411,0.0179046,0.0505386,0.0322305,0,0,0.00377636,0,0.0320644,0.00940408,0.0515054,0.0232057,0.0398563,0.0301121,0.0379734,0.036825,0.00717008,0.0111297,0.0117446,0.0183458,0.0212287,0.0426413,0.0111441,0.0187858,0.0250224,0.0148601,0.00966475,0.0224349,0.0295802,0.0216878,0,0,0,0,0,0,0
18,0.0319686,0,0,0,0,0.0356913,0,0,0,0,0,0.007972,0.0231605,0.0147128,0.0290771,0,0,0.0467261,0,0.0340886,0.0251029,0.0457358,0.0160673,0.00846787,0.00923463,0.0370041,0.0537886,0.0123775,0.0121245,0.0142534,0.0143005,0.0154907,0.0129427,0.0342143,0.0140774,0.0507348,0.0134012,0.00275868,0.0150637,0.0278671,0.0179387,0.0502044,0.0324797,0,0,0.00438552,0,0.0317461,0.00907099,0.0516293,0.0233068,0.0396022,0.0299983,0.0385321,0.037651,0.00695428,0.0112798,0.0115538,0.0181467,0.0212494,0.0424421,0.0111843,0.0188802,0.0250143,0.0155427,0.00896093,0.023642,0.030606,0.0216937,0,0,0,0,0,0,0
19,0.0318666,0,0,0,0,0.0366572,0,0,0,0,0,0.0073906,0.0237159,0.0144846,0.0292508,0,0,0.0468141,0,0.0341965,0.024867,0.0458728,0.015897,0.00878933,0.00899783,0.0377204,0.0544916,0.0122483,0.0120407,0.0139641,0.014138,0.0152531,0.0128417,0.0341471,0.0134235,0.05151,0.0134829,0.00216237,0.0149211,0.0278261,0.0179723,0.0495809,0.0324503,0,0,0.00504808,0,0.0314752,0.00871435,0.0517706,0.0233194,0.039435,0.0299277,0.0391095,0.0384336,0.00685235,0.0114095,0.0113863,0.0180017,0.0212775,0.0422875,0.0111993,0.0189784,0.0250432,0.0164232,0.0080338,0.0249013,0.0317255,0.0213885,0,0,0,0,0,0,0
20,0.0316174,0,0,0,0,0.0377142,0,0,0,0,0,0.0068943,0.0243253,0.0141874,0.0293626,0,0,0.0467588,0,0.0340066,0.0245366,0.0460628,0.0157807,0.00914527,0.00875894,0.0384348,0.0549953,0.0120655,0.0119289,0.0136685,0.0139475,0.0149713,0.0126727,0.0340164,0.0128633,0.0519452,0.0134499,0.00165212,0.0148828,0.0278691,0.017923,0.0494433,0.0323124,0,0,0.00573166,0,0.0312821,0.00861906,0.0518424,0.0232504,0.0392846,0.0298505,0.0396815,0.0391684,0.00676115,0.0115016,0.0112465,0.0178538,0.021254,0.0422175,0.0111324,0.0189774,0.0251349,0.01736,0.0074186,0.0261085,0.0330024,0.0209041,0,0,0,0,0,0,0
21,0.0313574,0,0,0,0,0.038913,0,0,0,0,0,0.00648983,0.0249181,0.0138734,0.029533,0,0,0.0466761,0,0.0336257,0.024201,0.0462685,0.0155861,0.00944794,0.00853093,0.0390739,0.0553461,0.011916,0.0118508,0.0134139,0.0137346,0.0146749,0.0124647,0.0338821,0.012418,0.0522739,0.0134968,0.0012922,0.0149568,0.0280248,0.0177934,0.0499064,0.032143,0,0,0.00641637,0,0.0312163,0.00867472,0.0519059,0.0233223,0.0389412,0.0297437,0.0402573,0.0399563,0.00665586,0.0115968,0.0111119,0.0176957,0.021195,0.0421857,0.0109909,0.0189381,0.0252916,0.0184762,0.00739114,0.0270567,0.0344308,0.0203165,0,0,0,0,0,0,0
22,0.0311255,0,0,0,0,0.0403209,0,0,0,0,0,0.00618936,0.0253949,0.0136196,0.0296793,0,0,0.0464865,0,0.0333819,0.0237305,0.0464377,0.0153757,0.00966989,0.00837846,0.0395813,0.0556998,0.0118474,0.0118472,0.0132516,0.0135466,0.0144164,0.0122873,0.0337463,0.0120899,0.0523693,0.0139259,0.0014297,0.0149532,0.0282901,0.0177308,0.0501135,0.0320693,0,0,0.00715924,0,0.0312801,0.00876192,0.0520079,0.0233844,0.0385206,0.0296102,0.0407436,0.0409183,0.00669756,0.0117311,0.0109665,0.0175338,0.0211466,0.0420704,0.0108994,0.0189634,0.0253749,0.0198677,0.00800242,0.0279382,0.0360197,0.0196448,0,0,0,0,0,0,0
23,0.0305825,0,0,0,0,0.0405452,0,0,0,0,0,0.0057443,0.0260099,0.0132859,0.029777,0,0,0.0459511,0,0.0331311,0.0230025,0.0466645,0.0149723,0.00994801,0.00815778,0.0401229,0.0557386,0.011705,0.011772,0.0130429,0.0132508,0.014081,0.0120695,0.0335378,0.0116304,0.0522821,0.0146793,0.0021492,0.014818,0.0284939,0.0177111,0.0499018,0.0312558,0,0,0.00739077,0,0.0312713,0.00902648,0.0520609,0.0233733,0.0382196,0.0294154,0.0411922,0.0410046,0.00667727,0.0118803,0.0107598,0.0173622,0.0210758,0.041847,0.010881,0.0189977,0.0253166,0.0199341,0.00937153,0.028915,0.0364305,0.0192276,0,0,0,0,0,0,0
24,0.03014,0,0,0,0,0.0405307,0,0,0,0,0,0.00538157,0.0267423,0.0129661,0.0298339,0,0,0.0453005,0,0.0330562,0.0222032,0.0468661,0.0147487,0.0102124,0.0080056,0.0405849,0.0557147,0.0116234,0.0115747,0.0128924,0.012951,0.0137643,0.0118698,0.033339,0.0112239,0.0520146,0.0155384,0.00288644,0.0145563,0.0285571,0.0177497,0.0496659,0.0304566,0,0,0.00771582,0,0.0311824,0.00954013,0.0521248,0.0235033,0.0380207,0.0292011,0.0415739,0.0410331,0.00661193,0.0120242,0.0105554,0.0171833,0.0210157,0.0415753,0.0109455,0.0190317,0.0251693,0.0198326,0.0111133,0.0297766,0.0365952,0.0190517,0,0,0,0,0,0,0
25,0.0298393,0,0,0,0,0.0405051,0,0,0,0,0,0.00510678,0.0275056,0.0126298,0.0297826,0,0,0.0446591,0,0.0330091,0.0215062,0.0470851,0.0145176,0.0104389,0.00793644,0.0409866,0.0558884,0.0115848,0.0115296,0.0127883,0.0126755,0.0134684,0.0116718,0.0331504,0.0109337,0.0515924,0.0162811,0.00338532,0.0143857,0.0286303,0.0176976,0.0495999,0.0297621,0,0,0.00804979,0,0.0311914,0.0101588,0.0521844,0.0235475,0.0378684,0.0290203,0.0418807,0.0411294,0.0065475,0.0121123,0.0103852,0.0170792,0.0209666,0.0414073,0.010974,0.0190223,0.0250842,0.0196829,0.0129208,0.0304465,0.036752,0.0190297,0,0,0,0,0,0,0
26,0.029581,0,0,0,0,0.0404724,0,0,0,0,0,0.00481495,0.028309,0.0122728,0.0296489,0,0,0.0440596,0,0.0329746,0.0208827,0.0472773,0.0141531,0.0106371,0.00788057,0.0413207,0.0560129,0.0115406,0.0115189,0.0126886,0.0124037,0.0131421,0.011451,0.0329642,0.0106534,0.0512873,0.0170196,0.00360842,0.0143125,0.0288795,0.0176366,0.0496542,0.0291112,0,0,0.00823935,0,0.031448,0.0107354,0.0522338,0.0235698,0.0376944,0.0288957,0.0421019,0.0411579,0.00646548,0.0121751,0.010238,0.01699,0.0209341,0.0412965,0.0109438,0.0190202,0.0250825,0.0194408,0.0147865,0.0310127,0.0369121,0.0190331,0,0,0,0,0,0,0
27,0.0292508,0,0,0,0,0.040394,0,0,0,0,0,0.00458123,0.0287704,0.0119082,0.0295741,0,0,0.0433959,0,0.0329566,0.0203132,0.0474174,0.0137491,0.0107837,0.00781842,0.0415183,0.0559667,0.011499,0.0113718,0.0125769,0.0121248,0.0128123,0.0112156,0.0327956,0.0103586,0.0510318,0.0178147,0.00384744,0.0142797,0.0290444,0.0176224,0.0499246,0.0284272,0,0,0.0084252,0,0.0316361,0.011546,0.0522756,0.0236303,0.0374941,0.0288394,0.0422306,0.0410831,0.00638994,0.0122618,0.0101734,0.0168689,0.0209127,0.0411945,0.0108807,0.0190056,0.0251407,0.0191603,0.0167345,0.0314984,0.037008,0.0189882,0,0,0,0,0,0,0
28,0.0289032,0,0,0,0,0.0403712,0,0,0,0,0,0.00442031,0.0291129,0.0115314,0.0292779,0,0,0.0427199,0,0.0328056,0.0198348,0.0475521,0.0132871,0.0108907,0.00772033,0.0415846,0.0558822,0.0115019,0.0112496,0.0124379,0.0118474,0.012503,0.0109705,0.0325827,0.0101084,0.0507892,0.0185245,0.00400879,0.0142602,0.0291248,0.0176261,0.0504784,0.0277763,0,0,0.00863705,0,0.0317185,0.0125295,0.0522468,0.0236775,0.0373615,0.0287386,0.0422632,0.0409864,0.00634436,0.0123372,0.010088,0.0167706,0.0208772,0.0410824,0.0108321,0.0189942,0.0251901,0.0189232,0.0186475,0.0319004,0.0371392,0.0189159,0,0,0,0,0,0,0
29,0.0284756,0,0,0,0,0.0404605,0,0,0,0,0,0.0042794,0.0294992,0.0111474,0.0291021,0,0,0.0420489,0,0.03255,0.0193947,0.0476735,0.0127958,0.0109528,0.00760548,0.0416205,0.0558084,0.0115077,0.0112099,0.0123182,0.0115561,0.012216,0.0106936,0.0323267,0.00999029,0.050486,0.0192051,0.00409172,0.0142399,0.0292418,0.0176261,0.0506158,0.0271313,0,0,0.00884841,0,0.0318095,0.0134958,0.0522063,0.0237123,0.0373466,0.0286297,0.0422775,0.0408562,0.00633465,0.012371,0.00999937,0.0166923,0.0208454,0.0410335,0.0108061,0.0189886,0.0251751,0.0188486,0.0204491,0.0323427,0.0373901,0.0186874,0,0,0,0,0,0,0
30,0.02777,0,0,0,0,0.0398756,0,0,0,0,0,0.00408514,0.0299073,0.0107119,0.0290841,0,0,0.0410107,0,0.0324122,0.0187105,0.0478391,0.0122872,0.0110968,0.00741257,0.0417757,0.0554036,0.0113798,0.0110963,0.0121571,0.0111881,0.0118741,0.0103311,0.0320156,0.00984865,0.0498108,0.0201419,0.00433293,0.0143111,0.0294482,0.0175747,0.0507473,0.0259412,0,0,0.00864305,0,0.031996,0.0143743,0.0521174,0.0237305,0.0373025,0.0285844,0.042389,0.0401125,0.00620561,0.0124108,0.00992539,0.0166036,0.0207868,0.0410325,0.0107293,0.0189524,0.025244,0.0181325,0.0222456,0.0328551,0.0370891,0.0185501,0,0,0,0,0,0,0
31,0.0271516,0,0,0,0,0.0390698,0,0,0,0,0,0.00392535,0.03028,0.0103728,0.0291056,0,0,0.0397906,0,0.0324523,0.0178902,0.0479346,0.0117982,0.011196,0.00723424,0.0418968,0.0548574,0.0112356,0.010872,0.0120105,0.0108723,0.011547,0.0100272,0.0317511,0.00967596,0.0489015,0.0212844,0.00459894,0.0144095,0.0296297,0.0174839,0.0508568,0.0247242,0,0,0.00839723,0,0.0321856,0.0151376,0.0521153,0.0237219,0.0371834,0.0286071,0.0424876,0.0393299,0.00610569,0.0124517,0.00988642,0.0165574,0.0207773,0.0410211,0.0106447,0.0189464,0.0254164,0.0173269,0.0240261,0.0333907,0.0365611,0.0185959,0,0,0,0,0,0,0
32,0.0267493,0,0,0,0,0.0383666,0,0,0,0,0,0.00379656,0.0306405,0.010069,0.0291408,0,0,0.0385592,0,0.0323762,0.0171307,0.0480116,0.0112998,0.0112475,0.00711604,0.0419498,0.0542687,0.0110534,0.0105563,0.0118768,0.0106385,0.0112974,0.00981069,0.0315553,0.00951268,0.0478904,0.0224958,0.00467343,0.014315,0.0296417,0.0175571,0.0508859,0.0237542,0,0,0.00834391,0,0.0322315,0.0158088,0.0521315,0.0238554,0.0371049,0.0286008,0.0425258,0.0388094,0.0062917,0.0125167,0.00984914,0.0166158,0.0208372,0.0409362,0.0107137,0.0190527,0.0253767,0.0167312,0.0255287,0.0340061,0.036087,0.0187859,0,0,0,0,0,0,0
33,0.0265102,0,0,0,0,0.0377446,0,0,0,0,0,0.00372197,0.0311041,0.00981283,0.0292101,0,0,0.0373761,0,0.0322846,0.0164312,0.0480874,0.0110504,0.011306,0.00704906,0.0419792,0.0536292,0.0108585,0.0102375,0.011742,0.0104927,0.0111096,0.00962595,0.0313725,0.0093761,0.046933,0.0237222,0.00457159,0.0142449,0.0296404,0.0176303,0.050888,0.0230091,0,0,0.00841851,0,0.0322905,0.0164365,0.0521192,0.0240089,0.0371003,0.0286008,0.0425668,0.0384326,0.00644535,0.0125413,0.0098347,0.0166994,0.0208731,0.0408991,0.0107792,0.0191248,0.0253399,0.0160342,0.0268853,0.0344696,0.0356653,0.0190978,0,0,0,0,0,0,0
34,0.0261469,0,0,0,0,0.0370714,0,0,0,0,0,0.00370678,0.0313745,0.00959036,0.0292713,0,0,0.0360523,0,0.0322304,0.0155573,0.0481963,0.0108605,0.0113623,0.00699087,0.0420175,0.0527857,0.0106781,0.0100577,0.0116669,0.0103939,0.0109622,0.00945676,0.0312017,0.00931769,0.0458449,0.0249793,0.00461975,0.0142045,0.0296851,0.0176254,0.0508663,0.022207,0,0,0.00839766,0,0.0324041,0.0169376,0.0521066,0.0240684,0.0371043,0.0285539,0.0426094,0.0378585,0.00645542,0.0125148,0.00984065,0.0167694,0.0208586,0.0408829,0.0108017,0.0191363,0.0253876,0.0152496,0.0277492,0.0347133,0.0351854,0.0192791,0,0,0,0,0,0,0
35,0.0256719,0,0,0,0,0.0363342,0,0,0,0,0,0.00371308,0.0314727,0.00940113,0.0292652,0,0,0.0346547,0,0.0322264,0.0146178,0.0483137,0.0106267,0.011425,0.00694185,0.0420682,0.0520596,0.0105528,0.00997704,0.0116557,0.0102268,0.0108135,0.00929083,0.0310543,0.00933897,0.0447106,0.026178,0.00470553,0.0142136,0.0297349,0.0175907,0.0508573,0.0213591,0,0,0.00828204,0,0.0325431,0.0174173,0.0520988,0.0240606,0.037109,0.0285228,0.0426236,0.0371228,0.00635989,0.0124623,0.00988428,0.016792,0.0208235,0.0409029,0.0107516,0.0190861,0.0254626,0.0145671,0.0279023,0.0349091,0.0346723,0.0193558,0,0,0,0,0,0,0
