Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x71,x72,x73,x75,x76
All Timesteps RMSE,0.00784893,0,0,0,0,0.00756467,0,0,0,0.0365487,0.0231801,0.0293209,0.0196457,0,0,0.0186168,0,0.0300718,0.0148479,0.0406105,0.0263773,0.0037852,0.0122081,0.0279635,0.0271176,0.0173535,0.0167428,0.0150624,0.00871806,0.0148139,0.0124421,0.0171874,0.0397035,0.0175158,0.0113306,0.0085978,0.0111507,0.0298899,0.0108341,0.0146638,0.00444796,0,0,0.0229675,0,0.0292799,0.0274459,0.0376368,0.00870472,0.0133602,0.011809,0.0253311,0.0284122,0.0104313,0.0155544,0.00859707,0.0117848,0.00884217,0.032582,0.00981885,0.00895151,0.0118566,0.0220684,0.037862,0.0150175,0.00700407,0.00777462,0,0,0,0,0
0,0.00738974,0,0,0,0,0.00786369,0,0,0,0.036195,0.0231632,0.0292297,0.0194932,0,0,0.0176697,0,0.0300253,0.0143402,0.039693,0.0269414,0.00351968,0.0117557,0.0271063,0.0275353,0.0172412,0.0158694,0.0147589,0.00849697,0.014729,0.0124452,0.0172148,0.0393809,0.0176816,0.0113376,0.00848376,0.0112176,0.0300575,0.0110789,0.0148363,0.00413527,0,0,0.0222802,0,0.0293388,0.0272634,0.0375663,0.00870335,0.0133562,0.0115978,0.0244361,0.0287472,0.0101425,0.0156564,0.0078146,0.0117154,0.00830557,0.0323166,0.0096824,0.00855228,0.0122831,0.0232933,0.0386401,0.0142974,0.00747482,0.00758915,0,0,0,0,0
1,0.00747223,0,0,0,0,0.00792858,0,0,0,0.0360479,0.0231966,0.029178,0.0194912,0,0,0.0177224,0,0.0299633,0.0144172,0.0396548,0.026957,0.00348853,0.0116878,0.0272646,0.0276207,0.0171763,0.015768,0.0146847,0.00845141,0.0146713,0.0123871,0.0172334,0.0393268,0.01768,0.011264,0.00853299,0.0111108,0.0300387,0.0109471,0.0148016,0.0041997,0,0,0.0224402,0,0.0293057,0.0272708,0.0375762,0.00862135,0.0133377,0.0116994,0.0245748,0.0288988,0.010129,0.0156785,0.00768903,0.0117252,0.00838683,0.0323146,0.00965967,0.00860656,0.0121021,0.0232578,0.0386628,0.0143209,0.00753099,0.00769414,0,0,0,0,0
2,0.0074823,0,0,0,0,0.00791763,0,0,0,0.0360633,0.0232321,0.0291183,0.0196234,0,0,0.0178563,0,0.0299237,0.0145382,0.0396713,0.0268706,0.00354742,0.0115873,0.0273857,0.0276714,0.0171511,0.0158592,0.0146414,0.00841643,0.0146284,0.0124112,0.0172343,0.0393418,0.017701,0.0112518,0.00860153,0.0111086,0.0300276,0.0109003,0.0149234,0.00423379,0,0,0.0225903,0,0.0293002,0.027288,0.037558,0.0085696,0.013374,0.0117366,0.024682,0.0290001,0,0.0156736,0.00797919,0.0118468,0.00828064,0.0322888,0.00960484,0.00846529,0.0120976,0.0232686,0.0385742,0.0143153,0.00753273,0.00771545,0,0,0,0,0
3,0.00750325,0,0,0,0,0.00790853,0,0,0,0.0360904,0.0232171,0.0291217,0.0196519,0,0,0.0179036,0,0.0299475,0.0145864,0.0396753,0.0268014,0.00358751,0.0115339,0.0274127,0.0277435,0.017135,0.015932,0.0146164,0.00842049,0.0146416,0.0124192,0.0172549,0.0393275,0.0175865,0.0113381,0.00861523,0.011004,0.0300189,0.0108449,0.0149607,0.00427689,0,0,0.022699,0,0.0292936,0.0272649,0.0374982,0.00859224,0.0133313,0.0117438,0.0247338,0.0290822,0.0101432,0.0157094,0.00842556,0.0117247,0.00851636,0.0323428,0.00967686,0.00866856,0.0119427,0.0233289,0.0384551,0.0142822,0.00752043,0.00772565,0,0,0,0,0
4,0.00753246,0,0,0,0,0.00793971,0,0,0,0.0360737,0.023166,0.0291372,0.0196659,0,0,0.0178885,0,0.030007,0.014553,0.0396712,0.0267647,0.00359099,0.0115227,0.0274617,0.0278384,0.0171241,0.0158813,0.0146042,0.00844937,0.0146532,0.0124016,0.0172577,0.0393055,0.0175363,0.0113831,0.00857473,0.0109752,0.0300029,0.0108188,0.0149953,0.00431109,0,0,0.0228131,0,0.0292867,0.0272547,0.0374771,0.00859515,0.0133143,0.011744,0.0247864,0.0291454,0.0101498,0.0157084,0.00860468,0.0117081,0.00858914,0.032302,0.0096923,0.00871763,0.0118806,0.0233788,0.0383466,0.0142959,0.00755251,0.00777355,0,0,0,0,0
5,0.00757348,0,0,0,0,0.00796698,0,0,0,0.0359951,0.0231775,0.0291493,0.0196157,0,0,0.017907,0,0.0300117,0.0145738,0.039641,0.026787,0.00355546,0.0115279,0.0275149,0.0278743,0.0171311,0.0158481,0.0146029,0.00844703,0.0146342,0.012365,0.0172617,0.0392789,0.0175555,0.0113569,0.00855388,0.0109722,0.0300089,0.0108154,0.0149901,0.00434486,0,0,0.0229068,0,0.0292943,0.0272529,0.0374868,0.00861744,0.0132905,0.0117615,0.0248348,0.0292147,0.0101736,0.0157629,0.00860253,0.0117033,0.00863364,0.0322875,0.00970524,0.00874023,0.0118561,0.0234247,0.0382715,0.0143293,0.00757875,0.00782554,0,0,0,0,0
6,0.00760936,0,0,0,0,0.00800484,0,0,0,0.0359747,0.0232743,0.0291921,0.0195624,0,0,0.0179762,0,0.0299926,0.0146162,0.0396269,0.0268314,0.00351681,0.0115706,0.0275514,0.0278776,0.0171389,0.0158196,0.0146182,0.00843647,0.0146123,0.0123802,0.0172717,0.0392008,0.0176932,0.0112817,0.00857358,0.0109331,0.030011,0.0108073,0.0149775,0.00436496,0,0,0.0229767,0,0.0292957,0.0272453,0.03751,0.00865404,0.0132718,0.0117913,0.0248718,0.029325,0.0102361,0.0158655,0.00858383,0.0117328,0.00864136,0.0323569,0.00971457,0.00874478,0.0118152,0.0234497,0.0382085,0.0143746,0.00759154,0.00788401,0,0,0,0,0
7,0.00762156,0,0,0,0,0.00802073,0,0,0,0.0360252,0.0232871,0.0291949,0.0195946,0,0,0.0180211,0,0.0300257,0.01461,0.039673,0.0268714,0.00355208,0.0116052,0.0276153,0.0279032,0.0171622,0.0159375,0.014627,0.00843003,0.0146148,0.0123993,0.0172939,0.0392191,0.0178749,0.011279,0.0085991,0.0108883,0.0299936,0.0107711,0.0150095,0.00439656,0,0,0.0230834,0,0.029295,0.0272634,0.0374685,0.00863758,0.0132899,0.0118182,0.0249193,0.0294442,0.0102167,0.0157761,0.00863653,0.011743,0.00868907,0.0323634,0.00973467,0.00879777,0.0117551,0.0234727,0.038135,0.0144382,0.00757661,0.00789642,0,0,0,0,0
8,0.00765566,0,0,0,0,0.00802814,0,0,0,0.0360399,0.023227,0.0291808,0.019631,0,0,0.0180203,0,0.0300669,0.0145396,0.0397134,0.026888,0.00356889,0.0116152,0.0276962,0.0279704,0.0171514,0.0160908,0.0146059,0.00841813,0.014619,0.0124113,0.0172993,0.0391902,0.0177646,0.0113306,0.00859998,0.0108554,0.029986,0.0107203,0.0150495,0.00444464,0,0,0.0231879,0,0.0293094,0.0272945,0.0374361,0.0086059,0.0133176,0.0118362,0.0249718,0.0295316,0.0102489,0.0156985,0.00865786,0.0117507,0.00873166,0.0323842,0.00974112,0.00884377,0.0117012,0.0235228,0.0380641,0.0144885,0.00757591,0.00791578,0,0,0,0,0
