Timestep,,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x69,x70,x71,x72,x73,x77,x76,x78,x68
All Timesteps RMSE,0,0.0335074,0,0,0,0,0.0247897,0,0,0,0.0164505,0.0318305,0.0220374,0.0183649,0,0,0.0248339,0,0.0330445,0.0180493,0.0443883,0.0236383,0.0100462,0.0130948,0.0239517,0.0374274,0.0116934,0.0151483,0.0139091,0.0776355,0.0167789,0.040081,0.0209922,0.0265544,0.0263643,0.0273148,0.0157554,0.0209995,0.0387177,0.0227779,0.0203887,0.0398013,0,0,0.0631811,0,0.0277062,0.0405476,0.0353722,0.0251435,0.0173076,0.0201097,0.0229316,0.0534361,0.0105301,0.0168803,0.0161277,0.0133085,0.0143251,0.0276271,0.0146103,0.0160347,0.0225846,0.0435368,0.0228976,0.0356572,0.0245225,0.0290842,0,0,0,0,0,0,0,0,0
0,0,0.0287,0,0,0,0,0.0370575,0,0,0,0.0229046,0.0203591,0.0143364,0.0194844,0,0,0.0269159,0,0.0333655,0.017454,0.0394291,0.0119028,0.0123311,0.00469004,0.040126,0.059054,0.00658321,0.00798593,0.00582913,0.00985779,0.0138154,0.0097123,0.0265337,0.0320386,0.0354996,0.00947159,0.00682611,0.01014,0.0319618,0.0133082,0.0218373,0.025518,0,0,0.0379244,0,0.0322979,0.0217345,0.0373797,0.0167644,0.0188062,0.019089,0.0383946,0.0420505,0.0101772,0.0161203,0.0104413,0.0134949,0.0125918,0.0332425,0.00967608,0.0112326,0.00535325,0.0302996,0.0344224,0.00399687,0.0319217,0.0169389,0,0,0,0,0,0,0,0,0
1,0,0.026788,0,0,0,0,0.0336967,0,0,0,0.0212041,0.0204836,0.0140616,0.0186852,0,0,0.0296416,0,0.0327853,0.0193855,0.0396526,0.0122101,0.011102,0.00592719,0.0365932,0.0582231,0.00610404,0.00721805,0.00627155,0.0101555,0.0133283,0.00992534,0.0266072,0.0299627,0.0369032,0.0105876,0.00774828,0.0107614,0.0320429,0.0132367,0.0209072,0.0231563,0,0,0.035694,0,0.0316083,0.0189009,0.0372696,0.0167308,0.0183812,0.0190262,0.034725,0.0395614,0.0100622,0.0162244,0.0100397,0.0132584,0.0126076,0.03303,0.00928785,0.0113117,0.00614083,0.0267395,0.0344078,0.00497754,0.0284285,0.0157001,0,0,0,0,0,0,0,0,0
2,0,0.0268377,0,0,0,0,0.0336869,0,0,0,0.0211529,0.0204751,0.0140133,0.018728,0,0,0.0297707,0,0.0328138,0.0194486,0.039651,0.0121481,0.0111145,0.00591483,0.0365427,0.0583216,0.00608706,0.00710949,0.00625616,0.0101833,0.0132861,0.00992848,0.0266244,0.0298652,0.0370445,0.0106049,0.00773857,0.0107104,0.0320573,0.0132246,0.0209493,0.0232559,0,0,0.0357695,0,0.0316044,0.0189004,0.0372919,0.0167104,0.0184094,0.0190259,0.0346805,0.0395524,0.0103051,0.0162261,0.0101303,0.0132904,0.0126544,0.0330471,0.00931599,0.0113501,0.0061119,0.0267402,0.0343734,0.00497065,0.0284021,0.0157697,0,0,0,0,0,0,0,0,0
3,0,0.0269106,0,0,0,0,0.0337224,0,0,0,0.0212352,0.0204918,0.0140189,0.0188041,0,0,0.0298666,0,0.0328183,0.019491,0.0396528,0.0121483,0.0111175,0.00591378,0.0365376,0.0585175,0.00606914,0.00708184,0.00625471,0.0101906,0.0132463,0.00991549,0.0266255,0.0298381,0.0370822,0.0105727,0.00774157,0.0106701,0.0320612,0.0131994,0.0210133,0.0233371,0,0,0.0358807,0,0.0316124,0.0189193,0.0372855,0.0166797,0.0184011,0.0190662,0.0346651,0.0395971,0.0101982,0.0162351,0.0100018,0.0133361,0.0127079,0.0330692,0.0093481,0.0113972,0.00605236,0.0267707,0.0343749,0.00494799,0.0284424,0.0158335,0,0,0,0,0,0,0,0,0
4,0,0.0269601,0,0,0,0,0.033773,0,0,0,0.0211885,0.0204895,0.0139801,0.0187817,0,0,0.0298923,0,0.032821,0.0194985,0.0396517,0.012097,0.011112,0.00590698,0.0365527,0.0586666,0.00603955,0.00721962,0.00625739,0.0101582,0.0132001,0.00990829,0.0266526,0.0298245,0.037152,0.010544,0.00773374,0.0106607,0.0320761,0.0131994,0.0210526,0.0234002,0,0,0.0359402,0,0.0316127,0.0189406,0.0372581,0.0166704,0.0183585,0.0190656,0.0346992,0.0396509,0.0100928,0.0162224,0.01014,0.0133484,0.0127532,0.0330565,0.0093692,0.0114515,0.00602427,0.0268194,0.034442,0.0049207,0.0285119,0.015893,0,0,0,0,0,0,0,0,0
5,0,0.0270384,0,0,0,0,0.0338818,0,0,0,0.0212378,0.0204912,0.0139773,0.0187708,0,0,0.0298909,0,0.0328325,0.0194864,0.0396507,0.012059,0.0111117,0.00593136,0.0365817,0.0588155,0.00603039,0.00745536,0.00624688,0.0101199,0.0132039,0.00991148,0.0266515,0.0298904,0.0371061,0.0105347,0.0077164,0.0106209,0.0320939,0.0132062,0.021059,0.023481,0,0,0.0359986,0,0.0316021,0.0189926,0.0372916,0.0166472,0.0183271,0.0190381,0.0347738,0.0396991,0.0100344,0.0162032,0.0106806,0.0133596,0.0127702,0.0330387,0.00938566,0.0114888,0.00601764,0.0269086,0.0345398,0.00489036,0.0286339,0.015978,0,0,0,0,0,0,0,0,0
6,0,0.0271406,0,0,0,0,0.0340148,0,0,0,0.0212244,0.0204832,0.0139766,0.0187981,0,0,0.029896,0,0.0328449,0.0194679,0.0396482,0.0120176,0.0111451,0.00593466,0.0366742,0.0589646,0.00604138,0.00743479,0.00623955,0.0100676,0.0131817,0.00989983,0.0266493,0.029855,0.0371434,0.0105117,0.00769706,0.0105862,0.0320964,0.0131955,0.021135,0.0235629,0,0,0.0361014,0,0.0315615,0.0190745,0.0373283,0.0166133,0.0183488,0.0190477,0.0348401,0.0397806,0.0100172,0.0162282,0.0106649,0.0133732,0.0127575,0.0330784,0.0093728,0.0114564,0.00601991,0.0269874,0.0346064,0.00486738,0.0287613,0.0160524,0,0,0,0,0,0,0,0,0
7,0,0.0272452,0,0,0,0,0.0341182,0,0,0,0.0212427,0.0204967,0.0139556,0.0188592,0,0,0.0299602,0,0.0328561,0.0194992,0.0395893,0.0119829,0.01118,0.00596083,0.0367373,0.0591076,0.00607322,0.00724848,0.0062898,0.0100407,0.0131514,0.00987014,0.0266317,0.0297704,0.0372926,0.0105295,0.00769417,0.0105687,0.0321117,0.0131546,0.0212266,0.023654,0,0,0.0362508,0,0.0315418,0.0191611,0.0373082,0.0165391,0.0183588,0.0191171,0.034867,0.0398835,0.0100583,0.0162597,0.0105743,0.0134102,0.0127179,0.0331874,0.00931977,0.0113947,0.00600285,0.0270598,0.0346429,0.0048723,0.0288542,0.0161484,0,0,0,0,0,0,0,0,0
8,0,0.0273712,0,0,0,0,0.0342117,0,0,0,0.02123,0.0204956,0.0139337,0.0188916,0,0,0.0300282,0,0.0328513,0.0195237,0.0395768,0.0119756,0.0112429,0.00597504,0.0367457,0.0592166,0.00606741,0.00718253,0.0063311,0.0100771,0.0131612,0.00985077,0.0266205,0.029779,0.0373183,0.0105315,0.00769726,0.0105888,0.0321503,0.0131338,0.0212314,0.023772,0,0,0.0364199,0,0.0315408,0.019268,0.0373291,0.0164992,0.0183694,0.0191641,0.0348971,0.0400174,0.0100573,0.016256,0.0105657,0.0134381,0.0126688,0.0332227,0.00926488,0.0113347,0.00602199,0.0271562,0.0346912,0.00489221,0.0289598,0.0162614,0,0,0,0,0,0,0,0,0
9,0,0.027514,0,0,0,0,0.0343426,0,0,0,0.0214672,0.0205012,0.0139507,0.0189245,0,0,0.0300883,0,0.032848,0.0195209,0.0400886,0.0118839,0.0114051,0.00594081,0.0367986,0.0593241,0.00612547,0.00745361,0.00630484,0.0101155,0.0132715,0.00986084,0.026576,0.0301327,0.0373395,0.0105372,0.00767197,0.0106199,0.0322046,0.0131717,0.0211123,0.0239106,0,0,0.0366201,0,0.0315368,0.0194087,0.0374713,0.0165332,0.0184011,0.0191181,0.0350194,0.0401931,0.010144,0.0162411,0.0105228,0.0133805,0.0126328,0.0332264,0.00929182,0.0112951,0.00604116,0.027299,0.0347171,0.00490602,0.029095,0.0163682,0,0,0,0,0,0,0,0,0
10,0,0.0276418,0,0,0,0,0.0344908,0,0,0,0.0222899,0.0205218,0.0140543,0.018999,0,0,0.030103,0,0.0328711,0.019506,0.0413935,0.0115944,0.0116653,0.00569772,0.0369207,0.0594398,0.00634599,0.00812588,0.00619514,0.0101221,0.0135798,0.00986535,0.0264423,0.0311684,0.0373889,0.0105504,0.00763932,0.010604,0.0322792,0.0132335,0.0209759,0.0240596,0,0,0.0368656,0,0.0315257,0.0195779,0.0377262,0.0165959,0.0183927,0.0189573,0.0352452,0.0404035,0.0102315,0.0161926,0.0104457,0.0132759,0.0125776,0.0332572,0.00935885,0.0112273,0.00601576,0.0274741,0.0347203,0.00493095,0.0292334,0.0164448,0,0,0,0,0,0,0,0,0
11,0,0.02776,0,0,0,0,0.0345906,0,0,0,0.0228125,0.0205057,0.0141718,0.0189784,0,0,0.0302699,0,0.0329047,0.0195735,0.0419139,0.0114621,0.0116879,0.00548337,0.036989,0.0596145,0.00649742,0.00854744,0.0060994,0.0101139,0.013803,0.00987652,0.0263519,0.0318917,0.037582,0.0105503,0.00767289,0.0105772,0.0323109,0.013245,0.0209633,0.0241706,0,0,0.0370579,0,0.0314948,0.0196762,0.0378287,0.0165869,0.0182201,0.0188706,0.0352954,0.0405532,0.0100085,0.0161959,0.0104398,0.0132378,0.0125388,0.0332533,0.00939078,0.0111549,0.00598048,0.0276036,0.0347409,0.00493417,0.0292778,0.0165071,0,0,0,0,0,0,0,0,0
12,0,0.0279084,0,0,0,0,0.0347118,0,0,0,0.0229318,0.0204884,0.0141906,0.0189573,0,0,0.030425,0,0.0329314,0.0196596,0.0418665,0.0114333,0.0116777,0.00536098,0.037063,0.0597836,0.00653079,0.00863654,0.00603129,0.0100806,0.0138269,0.00987068,0.0263477,0.0320438,0.0377843,0.0105394,0.00771281,0.0105295,0.0323655,0.013238,0.0209578,0.0243291,0,0,0.0372759,0,0.0314781,0.0197819,0.0378346,0.0165397,0.0181812,0.0187965,0.0353366,0.0406446,0.00987252,0.0162021,0.0104158,0.0132182,0.0125072,0.0331554,0.00940385,0.0111272,0.005932,0.0277333,0.0346838,0.00493973,0.0293764,0.0166324,0,0,0,0,0,0,0,0,0
13,0,0.0280664,0,0,0,0,0.0348746,0,0,0,0.0231097,0.0204672,0.0142484,0.0189575,0,0,0.0305605,0,0.0329688,0.0197457,0.0417754,0.0114276,0.0116927,0.00531001,0.037157,0.0599653,0.00656046,0.00866028,0.00601399,0.0100752,0.0138701,0.00988753,0.0263413,0.0321651,0.0379894,0.0105337,0.0077628,0.0105021,0.032427,0.0132507,0.0209613,0.02453,0,0,0.0375259,0,0.0314553,0.0199249,0.0378337,0.016516,0.0182219,0.0187111,0.035424,0.0406891,0.00985202,0.0161874,0.0103606,0.0131657,0.0124746,0.0330044,0.00939988,0.0111173,0.00592459,0.0278989,0.0346737,0.00498941,0.0295312,0.0167756,0,0,0,0,0,0,0,0,0
14,0,0.0282177,0,0,0,0,0.0351018,0,0,0,0.0232611,0.0204663,0.0142709,0.0189982,0,0,0.0306908,0,0.0330087,0.0198509,0.0417815,0.0114079,0.01175,0.00526795,0.0372781,0.0601418,0.00657984,0.00861046,0.00600948,0.0100561,0.0138958,0.00987562,0.0263328,0.032265,0.0382184,0.0105136,0.00781165,0.010481,0.03247,0.0132433,0.021038,0.0247613,0,0,0.0377935,0,0.0314046,0.0201086,0.0378458,0.0164907,0.0182717,0.0187032,0.0355833,0.0407051,0.00984391,0.0161778,0.0103821,0.01312,0.0124303,0.0330237,0.00935998,0.0111205,0.00593141,0.0280988,0.034732,0.00505163,0.0297387,0.0168997,0,0,0,0,0,0,0,0,0
15,0,0.0283298,0,0,0,0,0.0354176,0,0,0,0.0233385,0.0204331,0.0142845,0.0190506,0,0,0.0308472,0,0.0330231,0.0199811,0.0418178,0.0114147,0.0117926,0.00522136,0.0374283,0.0603953,0.00660743,0.00864562,0.00599739,0.0100804,0.0139262,0.00988549,0.0263029,0.0324487,0.0383487,0.0105125,0.00783774,0.0104485,0.0324965,0.0132178,0.0210815,0.0249625,0,0,0.0380632,0,0.0313454,0.0203018,0.0378582,0.0164543,0.0183065,0.0187646,0.0357406,0.040607,0.00977481,0.0161877,0.01045,0.013129,0.0124177,0.0331734,0.00932118,0.0111028,0.00590954,0.0282749,0.0348386,0.00510969,0.0300261,0.0169547,0,0,0,0,0,0,0,0,0
16,0,0.0283945,0,0,0,0,0.0357938,0,0,0,0.0233321,0.0203718,0.0143136,0.0190848,0,0,0.0309855,0,0.0330342,0.020075,0.0418187,0.011402,0.0118479,0.00518197,0.0375821,0.0606542,0.00663297,0.00864863,0.00597923,0.0101061,0.0139447,0.00990603,0.0262881,0.032579,0.0385022,0.0105113,0.00786348,0.0104559,0.0325578,0.0132216,0.0211217,0.0251633,0,0,0.0383578,0,0.031312,0.0204803,0.0378298,0.0164522,0.0183005,0.0187799,0.0359356,0.0404079,0.00967682,0.0161828,0.0104548,0.0131571,0.0124425,0.0331589,0.0093301,0.0110901,0.00590125,0.0284168,0.0349594,0.00515253,0.0303991,0.0169897,0,0,0,0,0,0,0,0,0
17,0,0.0282953,0,0,0,0,0.0355577,0,0,0,0.0232406,0.0204166,0.0143253,0.0190703,0,0,0.0307699,0,0.0329893,0.0199156,0.0416707,0.0114406,0.0118329,0.00523019,0.0375398,0.0604624,0.00660958,0.0086031,0.00599641,0.0100872,0.0138852,0.00991101,0.0262909,0.0324544,0.0383322,0.010531,0.00778208,0.0105301,0.0324979,0.0132373,0.0211534,0.0249649,0,0,0.0382699,0,0.0313032,0.0203037,0.0377784,0.0164871,0.0182915,0.0187732,0.0358725,0.0404415,0.00964529,0.0161811,0.010419,0.0131926,0.0124383,0.0329862,0.00931703,0.0110791,0.00596607,0.0282484,0.0349707,0.00515646,0.0302123,0.0169475,0,0,0,0,0,0,0,0,0
18,0,0.0282143,0,0,0,0,0.0353258,0,0,0,0.0229476,0.0204466,0.0142542,0.0190723,0,0,0.0305898,0,0.0329443,0.0197696,0.041383,0.0115024,0.0118131,0.0053489,0.037467,0.0602157,0.00655904,0.00827292,0.00604886,0.0100128,0.0137132,0.00985813,0.0263067,0.0319627,0.0382027,0.0105418,0.00770487,0.0105585,0.0324235,0.0132178,0.0212544,0.0248059,0,0,0.0381077,0,0.0313244,0.0201066,0.0376834,0.0164613,0.0183334,0.0188171,0.0357672,0.0404932,0.0096818,0.0161807,0.0104401,0.0132388,0.0124131,0.0329453,0.00930552,0.0110696,0.00601425,0.0280703,0.0349367,0.00515088,0.0300053,0.0169335,0,0,0,0,0,0,0,0,0
19,0,0.0280899,0,0,0,0,0.0350321,0,0,0,0.0228671,0.0204495,0.014217,0.0190249,0,0,0.0305493,0,0.03293,0.0197275,0.0413289,0.0115701,0.011683,0.00545555,0.0372637,0.0600524,0.00650422,0.00794934,0.00608444,0.0100364,0.0136988,0.00985646,0.0263167,0.0317123,0.038143,0.0105611,0.00768881,0.0105618,0.0323608,0.0132344,0.0211737,0.0246309,0,0,0.037862,0,0.03139,0.0198928,0.0376731,0.0164629,0.0182822,0.0188663,0.0355467,0.0404718,0.00970043,0.0161881,0.0104514,0.0132507,0.0124133,0.033037,0.00931736,0.0110669,0.00602715,0.0278473,0.0348818,0.00513564,0.0296964,0.0168619,0,0,0,0,0,0,0,0,0
20,0,0.0279358,0,0,0,0,0.0347631,0,0,0,0.0227493,0.0204252,0.014186,0.0189522,0,0,0.0305323,0,0.0329245,0.019733,0.0413483,0.0115713,0.0115767,0.00544305,0.0370851,0.0599012,0.00647829,0.00778121,0.00608605,0.0100503,0.0137168,0.00987137,0.0263243,0.0316718,0.0381782,0.0105778,0.0076951,0.0105747,0.0323124,0.0132595,0.021068,0.0244683,0,0,0.03767,0,0.0314568,0.0197052,0.0376573,0.0164631,0.0182018,0.0188682,0.0353444,0.0403513,0.00967373,0.0161804,0.0104334,0.0132162,0.0124291,0.0330411,0.0093425,0.0111045,0.00601741,0.027637,0.0348678,0.00513504,0.0294458,0.016761,0,0,0,0,0,0,0,0,0
21,0,0.0277567,0,0,0,0,0.0345492,0,0,0,0.0226804,0.0204021,0.0141905,0.018904,0,0,0.0305515,0,0.0329314,0.0197399,0.0413511,0.0116007,0.0114889,0.00545556,0.0369563,0.059759,0.00645522,0.00779509,0.00609347,0.0100467,0.0137012,0.00986733,0.0263275,0.0316948,0.0380758,0.0105763,0.00771154,0.0105536,0.0322699,0.0132529,0.0210005,0.0243119,0,0,0.0375017,0,0.0315066,0.0195263,0.0376481,0.0164399,0.0181553,0.0188971,0.0351893,0.040152,0.00963647,0.0161933,0.0104659,0.0132041,0.0124202,0.0331542,0.00933005,0.0110989,0.00597837,0.0274207,0.0348375,0.00512801,0.0292563,0.0166487,0,0,0,0,0,0,0,0,0
22,0,0.0275905,0,0,0,0,0.03439,0,0,0,0.0225904,0.0204374,0.014173,0.0188383,0,0,0.0305652,0,0.0329424,0.0196902,0.0412422,0.0116464,0.011414,0.00546754,0.0368526,0.059641,0.00641265,0.00793626,0.00609615,0.0100242,0.0136529,0.00987107,0.0263621,0.0316004,0.0379379,0.0105645,0.00770821,0.0105506,0.0322425,0.013246,0.0209509,0.0241894,0,0,0.0373795,0,0.0315378,0.0193658,0.0376137,0.0164506,0.0181066,0.0188922,0.0350822,0.0399147,0.00962838,0.0162114,0.0104572,0.0132002,0.0124147,0.0331551,0.00932841,0.0111065,0.00597104,0.0271875,0.0347903,0.00510265,0.0291247,0.0165413,0,0,0,0,0,0,0,0,0
23,0,0.027394,0,0,0,0,0.034233,0,0,0,0.0225233,0.020458,0.0141747,0.0187443,0,0,0.0305975,0,0.0329465,0.0196459,0.04113,0.0117128,0.0112969,0.00546831,0.0366794,0.0596213,0.00637484,0.00775428,0.0060792,0.0100301,0.0136281,0.00987846,0.0263882,0.0315303,0.0378173,0.0105736,0.00769423,0.010564,0.0321761,0.0132795,0.0208347,0.0240105,0,0,0.0372202,0,0.0315673,0.0192302,0.0375746,0.0165056,0.0180313,0.0188454,0.0349112,0.0396543,0.00966098,0.0161842,0.0103826,0.0131578,0.0124574,0.0330343,0.00936284,0.0111707,0.00599882,0.026942,0.034718,0.00503624,0.0290126,0.0163639,0,0,0,0,0,0,0,0,0
24,0,0.027209,0,0,0,0,0.0341436,0,0,0,0.0223578,0.0204655,0.0141581,0.0186704,0,0,0.0305997,0,0.0329616,0.0196397,0.0410244,0.01177,0.0112064,0.00546811,0.0365121,0.0596079,0.00632315,0.0076114,0.00603943,0.0100439,0.0135776,0.00990375,0.0264261,0.0313591,0.0376875,0.0105671,0.00768508,0.0105874,0.0321185,0.0133191,0.0207192,0.0238423,0,0,0.0371066,0,0.0315913,0.0191102,0.0375386,0.0165225,0.0180056,0.0188102,0.0347488,0.039379,0.00973887,0.0161444,0.0103519,0.0131331,0.0124897,0.0329823,0.00938704,0.0112237,0.00602919,0.0267392,0.0346875,0.00497334,0.0289403,0.0161946,0,0,0,0,0,0,0,0,0
25,0,0.0270379,0,0,0,0,0.0340942,0,0,0,0.0223422,0.0205074,0.0141706,0.0186024,0,0,0.0306312,0,0.0329742,0.0196837,0.0408771,0.0118248,0.0111268,0.00548324,0.0363895,0.059558,0.00627442,0.00771583,0.0060308,0.0100509,0.0135409,0.00991362,0.0264462,0.0311634,0.0378887,0.0105132,0.00768241,0.0105988,0.0320829,0.0133223,0.0206008,0.0236978,0,0,0.0370101,0,0.0316218,0.019012,0.0375106,0.016494,0.0179859,0.018801,0.0346192,0.0391157,0.00970147,0.0161256,0.0103542,0.013122,0.01251,0.0329498,0.00937004,0.0112352,0.00604709,0.0265477,0.0346906,0.00494461,0.0288991,0.016057,0,0,0,0,0,0,0,0,0
26,0,0.026903,0,0,0,0,0.0340718,0,0,0,0.0222756,0.02057,0.0141548,0.0185364,0,0,0.0306948,0,0.0329599,0.0197182,0.0406827,0.011873,0.0110398,0.00548386,0.0363354,0.0595506,0.00621907,0.0075526,0.00603556,0.0100255,0.0134795,0.00991591,0.0264859,0.0309774,0.0379952,0.0103946,0.00771362,0.010599,0.0320524,0.0133012,0.0204837,0.0235824,0,0,0.0369293,0,0.0316475,0.0189292,0.0374567,0.0164587,0.0179643,0.0188194,0.0345169,0.0388899,0.0096431,0.0161475,0.0103401,0.0131397,0.0125368,0.0329482,0.00936703,0.0112318,0.0060599,0.0263931,0.0347339,0.00492605,0.0288942,0.0159366,0,0,0,0,0,0,0,0,0
27,0,0.0268029,0,0,0,0,0.0340939,0,0,0,0.0221743,0.0206377,0.0141957,0.0185038,0,0,0.0307606,0,0.0329721,0.019711,0.0404538,0.0119646,0.0109532,0.0055211,0.0362936,0.0595639,0.00619989,0.00729871,0.00604203,0.0100495,0.0134754,0.00991367,0.0265049,0.0309274,0.037992,0.0103507,0.00772474,0.0106023,0.0320329,0.0132628,0.0204432,0.0235257,0,0,0.0368361,0,0.0316601,0.0188499,0.037379,0.0164413,0.0179387,0.0188499,0.0344311,0.0386685,0.00966157,0.0161579,0.0103449,0.0131576,0.0125616,0.0329694,0.00937572,0.0112347,0.00608264,0.0262751,0.0348687,0.00492074,0.0289213,0.0158524,0,0,0,0,0,0,0,0,0
28,0,0.0267352,0,0,0,0,0.0341289,0,0,0,0.0219415,0.0206081,0.0142062,0.0184685,0,0,0.0307828,0,0.0329928,0.0196663,0.0401805,0.0120732,0.0109054,0.00555882,0.0362478,0.059595,0.00616723,0.0071092,0.0060458,0.0100823,0.0134457,0.00991931,0.0265313,0.030776,0.0380234,0.0104144,0.00772399,0.0106043,0.0320078,0.0132366,0.0204591,0.0235018,0,0,0.0367807,0,0.0316633,0.0188099,0.0373081,0.0164147,0.0179481,0.0188801,0.0343513,0.0384773,0.00965103,0.016158,0.0103779,0.013175,0.0125747,0.0329901,0.0093741,0.0112471,0.00609236,0.0262026,0.0350363,0.00494235,0.0289784,0.0158073,0,0,0,0,0,0,0,0,0
29,0,0.0266652,0,0,0,0,0.034145,0,0,0,0.0218856,0.0204937,0.0142351,0.0184433,0,0,0.0307613,0,0.0330267,0.0196301,0.0400396,0.0122975,0.0109149,0.00557471,0.0362112,0.0596441,0.00614723,0.00704209,0.00604738,0.0101113,0.0134397,0.00994788,0.0265161,0.0306483,0.0379926,0.010569,0.00770481,0.0106321,0.0319912,0.0132469,0.0205187,0.0234481,0,0,0.0367147,0,0.0316559,0.0187667,0.037292,0.0164131,0.0180372,0.018908,0.0342851,0.0383445,0.00958472,0.0161817,0.0104044,0.0131937,0.012569,0.0330803,0.00935402,0.0112645,0.00607498,0.0261302,0.0349188,0.00494966,0.0290047,0.0157499,0,0,0,0,0,0,0,0,0
30,0,0.0266241,0,0,0,0,0.0341745,0,0,0,0.0218283,0.0204089,0.0142246,0.0184329,0,0,0.0307658,0,0.0330356,0.0196302,0.0399851,0.0123998,0.0109548,0.00555463,0.0361921,0.0596786,0.00609292,0.0070312,0.00604955,0.0101244,0.0134,0.00996241,0.026516,0.030488,0.0379925,0.0106611,0.00768335,0.0106495,0.0320097,0.0132553,0.0206412,0.0234183,0,0,0.0366779,0,0.0316786,0.0187222,0.0372704,0.0164024,0.0181546,0.0189394,0.0342518,0.0382323,0.0095809,0.0162088,0.0104063,0.0132115,0.0125736,0.0332102,0.00933278,0.0112707,0.0060334,0.026022,0.0348278,0.00496182,0.0290464,0.0157012,0,0,0,0,0,0,0,0,0
31,0,0.0265444,0,0,0,0,0.0341876,0,0,0,0.0217068,0.0204281,0.0142187,0.0184415,0,0,0.0307979,0,0.0330221,0.0196401,0.0399395,0.0124268,0.010951,0.00556866,0.0361792,0.0596237,0.0060965,0.00705674,0.00605,0.0101244,0.0133759,0.00997308,0.026515,0.0303945,0.0379884,0.0106284,0.00767692,0.010623,0.0319898,0.0132351,0.0206919,0.0233751,0,0,0.0366296,0,0.0316936,0.0187021,0.037281,0.0163973,0.0180924,0.0189025,0.0342492,0.0381441,0.00966026,0.0162086,0.010403,0.013188,0.0125801,0.0331811,0.00934985,0.0112951,0.00602544,0.0258842,0.0348157,0.00495617,0.0290504,0.0156175,0,0,0,0,0,0,0,0,0
32,0,0.0264647,0,0,0,0,0.034175,0,0,0,0.0215673,0.0204146,0.0141653,0.0184462,0,0,0.0308432,0,0.0329589,0.0196775,0.0399106,0.0123236,0.0109719,0.00557146,0.0361993,0.0595726,0.0061046,0.00700699,0.00604781,0.0100954,0.0133373,0.0099662,0.0265475,0.0302881,0.0379699,0.0105379,0.00771174,0.0105688,0.0319441,0.0132147,0.0206941,0.023316,0,0,0.0365419,0,0.0316901,0.0186687,0.0372864,0.0164021,0.0180602,0.0188893,0.0342604,0.0380776,0.00976678,0.0162025,0.0104286,0.013184,0.0125931,0.0332093,0.00937959,0.0113133,0.00600964,0.025813,0.0347882,0.00493198,0.0290389,0.0155411,0,0,0,0,0,0,0,0,0
33,0,0.0264205,0,0,0,0,0.034173,0,0,0,0.0216258,0.0203874,0.014132,0.0184575,0,0,0.030861,0,0.0329217,0.0196885,0.0399199,0.012175,0.0109817,0.00560878,0.0362298,0.0595523,0.00609534,0.00702751,0.00604823,0.0101074,0.0133348,0.00997261,0.0266104,0.0303026,0.0379499,0.0104924,0.00772531,0.0105481,0.0319258,0.0131996,0.020677,0.0232758,0,0,0.0364825,0,0.0317071,0.018623,0.037267,0.0163933,0.0180746,0.0188736,0.0342502,0.0380121,0.00986482,0.0162026,0.0103932,0.0131621,0.0126383,0.0331089,0.00940384,0.0113521,0.00600666,0.025757,0.0347487,0.00494169,0.0290453,0.0155021,0,0,0,0,0,0,0,0,0
34,0,0.0263783,0,0,0,0,0.0341757,0,0,0,0.0215592,0.0203713,0.0140746,0.0184279,0,0,0.0308586,0,0.0329262,0.0196768,0.0399551,0.0121555,0.0110033,0.00562987,0.0362242,0.0595623,0.00604423,0.00707539,0.00607204,0.0101188,0.0132965,0.00996041,0.0266548,0.0301877,0.0379817,0.0104727,0.00772056,0.0105528,0.0319255,0.0132114,0.0206589,0.0232526,0,0,0.0364625,0,0.0317297,0.0185834,0.0372188,0.0163753,0.0181694,0.0189261,0.0342327,0.0379186,0.00988817,0.0162261,0.0104072,0.0131723,0.0127086,0.0331244,0.00940779,0.0114108,0.00601481,0.0256874,0.0347196,0.00494324,0.029074,0.015476,0,0,0,0,0,0,0,0,0
35,0,0.0263272,0,0,0,0,0.0341691,0,0,0,0.0215063,0.020359,0.0140641,0.0184497,0,0,0.0308478,0,0.032964,0.0196243,0.0399802,0.0121369,0.0110252,0.00566438,0.0362182,0.0595934,0.00600584,0.00696285,0.00612235,0.010116,0.0132833,0.00992028,0.0266068,0.0301598,0.0380427,0.0105243,0.00769961,0.010548,0.031936,0.01321,0.0206714,0.0232378,0,0,0.0364147,0,0.0317586,0.0185638,0.0371959,0.0163501,0.0182341,0.0189998,0.0342328,0.0378104,0.00986725,0.0162285,0.0104648,0.0132262,0.0127348,0.0332746,0.0093932,0.0114285,0.00601143,0.0256466,0.0347389,0.00493993,0.0290822,0.0154304,0,0,0,0,0,0,0,0,0
