Timestep,,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x69,x70,x71,x72,x73,x77,x76,x78,x68
1546,0,0.0415435,0,0,0,0,0.0236486,0,0,0,0.0110412,0.028217,0.0142239,0,0,0,0.0207958,0,0.0260039,0.0178044,0.0429347,0,0.0131195,0.00787606,0.0146598,0.0206398,0.00479826,0.00948557,0,0.143431,0.00882995,0.111494,0.0196094,0.0142249,0.0222878,0,0.0322567,0.0235115,0,0,0,0.058127,0,0,0.0498303,0,0.0100592,0.0285833,0.0337131,0,0.0116139,0.017196,0.00968274,0.0575543,0,0,0,0,0.0111054,0,0,0.0112918,0.0257874,0.050868,0.0202919,0.0215186,0.0292458,0.0406718,0,0,0,0,0,0,0,0,0
1547,0,0.0414745,0,0,0,0,0.0235602,0,0,0,0.0112082,0.02823,0.0144258,0,0,0,0.0208038,0,0.0259951,0.0178755,0.0429421,0,0.0129953,0.00811204,0.014351,0.0205848,0.0050604,0.00958324,0,0.143148,0.00935259,0.111344,0.0196179,0.014423,0.022129,0,0.0321867,0,0,0,0,0.0579302,0,0,0.0493917,0,0.010196,0.0283634,0.034112,0.0319032,0.0121177,0.0158788,0.00970273,0.0571296,0,0,0,0.00897607,0.0122705,0,0,0.0137878,0.0266269,0.0506728,0.020832,0.021585,0.0291545,0.0404734,0,0,0,0,0,0,0,0,0
1548,0,0.0413964,0,0,0,0,0.0236524,0,0,0,0.0114231,0.0282128,0.0146761,0,0,0,0.0205181,0,0.0259568,0.0175829,0.0427038,0,0.0129838,0.00813966,0.0142117,0.0203732,0.00508121,0.00967069,0,0.143152,0.00997403,0.111256,0.0198166,0.0146871,0.0215569,0,0.0320557,0,0,0,0,0.0578394,0,0,0.0490122,0,0.0102746,0.0281198,0.034182,0,0.0117637,0.0153029,0.00984648,0.0569264,0,0,0,0.00891267,0.013479,0,0,0,0,0.0505472,0.0212082,0.0215774,0.0291959,0.0403631,0,0,0,0,0,0,0,0,0
1549,0,0.0413276,0,0,0,0,0.0240332,0,0,0,0.0100187,0.028165,0.0135155,0,0,0,0.0208204,0,0.0259748,0.0180065,0.0435214,0,0.0120452,0.00967206,0.0134505,0.0199761,0.00629865,0.0107521,0,0.141724,0.0107376,0.110451,0.0187279,0.0136074,0.0216947,0,0.0322093,0.0147396,0,0,0,0.0572353,0,0,0.0488918,0,0.01035,0.0282084,0.0338271,0.0192082,0.0166573,0.0323993,0.0115134,0.0563513,0,0,0,0.0214641,0.0124444,0.0241524,0,0,0.0221831,0.0504207,0.0208851,0.0215597,0.0297426,0.0394428,0,0,0,0,0,0,0,0,0
1550,0,0.0410166,0,0,0,0,0.0239604,0,0,0,0.0100308,0.028227,0.013563,0,0,0,0.0203401,0,0.0259807,0.0176746,0.0438282,0,0.0118286,0.00993095,0.0136566,0.0198456,0.00614471,0.0109423,0,0.141629,0.0108193,0.110444,0.0185774,0.0137742,0.0212007,0,0.0321142,0.0195747,0,0.031301,0,0.0569364,0,0,0.0486384,0,0.0104091,0.028132,0.0340221,0.0382228,0.0167252,0.0392767,0.0126753,0.0559235,0,0,0,0.0267324,0.0182651,0.0229633,0,0.0174227,0,0.0504342,0.020219,0.0215685,0.0294952,0.0391027,0,0,0,0,0,0,0,0,0
1551,0,0.0408899,0,0,0,0,0.0233823,0,0,0,0.0102643,0.0282908,0.013855,0,0,0,0.0204321,0,0.0260042,0.0178637,0.0440893,0,0.0117216,0.0102252,0.0135081,0.0198567,0.00609933,0.0108194,0,0.14147,0.0106796,0.11042,0.0185559,0.0138633,0.021311,0,0.0321959,0.0491441,0,0,0,0.0564126,0,0,0.0481012,0,0.0104909,0.0278682,0.0341538,0,0.0168854,0.0454367,0.0124919,0.0551581,0,0,0,0,0.0237944,0.0224157,0,0.0234636,0,0.0500187,0.0200895,0.021625,0.0287416,0.0389489,0,0,0,0,0,0,0,0,0
1552,0,0.0404221,0,0,0,0,0.0228037,0,0,0,0.0102807,0.0283214,0.0138344,0,0,0,0.0202945,0,0.0260147,0.0179527,0.0438557,0,0.0116013,0.0103805,0.0135758,0.0197534,0.00609748,0.0108601,0,0.141424,0.0106083,0.110434,0.0185117,0.013894,0.0211944,0,0.0321666,0,0,0,0,0.0555781,0,0,0.0476444,0,0.0106215,0.0277981,0.0342177,0,0.0163986,0.0455529,0.0129664,0.054174,0,0,0,0,0.023764,0.0223317,0,0.0238225,0,0.049568,0.0201907,0.0216579,0.0280946,0.0384578,0,0,0,0,0,0,0,0,0
1553,0,0.0426526,0,0,0,0,0.0233749,0,0,0,0.0101624,0.0282741,0.0135504,0,0,0,0.0207512,0,0.0260427,0.0182818,0.0439986,0,0.0114605,0.0101875,0.0138918,0.0201982,0.00584288,0.010781,0,0.141478,0.0107108,0.110466,0.0183958,0.0139616,0.0218636,0,0.0322898,0.151475,0,0,0,0.0576369,0,0,0.049274,0,0.0103689,0.028967,0.0347212,0,0.0162234,0.0473325,0.0138911,0.056443,0,0,0,0,0.0297237,0.0235254,0,0.0313738,0,0,0.0193941,0.0216004,0.0281494,0.0402572,0,0,0,0,0,0,0,0,0
1554,0,0.0397938,0,0,0,0,0.0221255,0,0,0,0.00715893,0.0282194,0.0138165,0,0,0,0.0198466,0,0.0259594,0.0177307,0.0433929,0,0.0124192,0.0128676,0.013618,0.0195789,0.00597115,0.0107438,0,0.142324,0,0.112483,0.020409,0.0117189,0.0209817,0,0.0320159,0.154821,0,0,0,0.0543787,0,0,0.0466365,0,0.0107764,0.0272517,0.0341685,0,0.014474,0.0247268,0.0141143,0.0529094,0,0.0215278,0,0,0.0147926,0.0299249,0,0.0171489,0,0.0487119,0.0195694,0.0218762,0.0270082,0.0379383,0,0,0,0,0,0,0,0,0
1555,0,0.0397441,0,0,0,0,0.0217526,0,0,0,0.0070233,0.0281017,0.0139987,0,0,0,0.0200493,0,0.0259139,0.018023,0.0433179,0,0.0124943,0.0133599,0.0132974,0.0194933,0.00615095,0.0109101,0,0.14224,0,0.112438,0.0203887,0.0116661,0.0213263,0,0.0322009,0,0,0,0,0.0538142,0,0,0.0462894,0,0.0107507,0.0268997,0.0344347,0.0301978,0.0147098,0.0245172,0.0137502,0.0523309,0,0.0206822,0,0.015803,0.00993107,0.0292003,0,0.012234,0,0.0484469,0.0196071,0.0220435,0.0266068,0.0377488,0,0,0,0,0,0,0,0,0
