Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x71,x72,x73,x74,,x79,x81
1418,0.0364988,0,0,0,0,0.0237785,0,0,0,0,0,0,0.0251146,0.0193609,0.0213705,0.0154689,0,0,0.0281979,0,0.0330986,0.018699,0.0393308,0.0197256,0.00587127,0.0120147,0.0198286,0.0268615,0.0116727,0.0138573,0.0110164,0.0127696,0.0144219,0.016084,0.0160477,0.0287809,0.0262523,0.0165935,0.0117099,0.00752516,0.0434715,0.0120541,0.0106654,0.0354677,0,0,0.0539115,0,0.0492448,0.0399642,0.0371353,0.0190586,0.0247021,0.011689,0.0184756,0.0611412,0,0.0129457,0.00558926,0.00866394,0.0136365,0.0353547,0.00954983,0.0142282,0.0140435,0.0511613,0.00614,0.0225917,0.0167964,0.0286701,0,0,0,0,0,0,0
1419,0.0364917,0,0,0,0,0.0238381,0,0,0,0,0,0,0.0248874,0.0194976,0.0214008,0.0154622,0,0,0.0282143,0,0.0330153,0.0186207,0.0390422,0.0197677,0.00585007,0.0119782,0.0199174,0.0268899,0.0115192,0.0141635,0.0108686,0.0129287,0.014427,0.0160509,0.0159474,0.0286999,0.02624,0.0165584,0.0114895,0.00734309,0.0433506,0.0124741,0.0103346,0.0355297,0,0,0.053956,0,0.0491595,0.0400439,0.0374051,0.0193833,0.024721,0.0120928,0.018338,0.0613124,0,0.01274,0.00587566,0,0.0137968,0.0352431,0.00966815,0.014433,0.0147879,0.0512736,0.00597241,0.0224154,0.0168793,0.0286317,0,0,0,0,0,0,0
1420,0.0365273,0,0,0,0,0.0239046,0,0,0,0,0,0,0.0247145,0.0196246,0.0216008,0.0153617,0,0,0.0281848,0,0.0329064,0.0182779,0.0389437,0.0200088,0.00573113,0.0120602,0.0199409,0.0269269,0.0113342,0.0146186,0.0107767,0.0130274,0.014731,0.0161461,0.0158557,0.028656,0.0262872,0.0165918,0.0112049,0.00782921,0.0432114,0.0126095,0.0107297,0.0356877,0,0,0.0540143,0,0.0490568,0.0400934,0.0375312,0.0189104,0.0244163,0.0123734,0.0181049,0.0614242,0.00940676,0.0127297,0.00580202,0.00930606,0.0138684,0.0348275,0.00935398,0.0145355,0.0155946,0.0512658,0.00614,0.022456,0.016996,0.0286988,0,0,0,0,0,0,0
1421,0.0365363,0,0,0,0,0.0239085,0,0,0,0,0,0,0.0244039,0.019653,0.0216328,0.0154222,0,0,0.0282138,0,0.0328586,0.0180613,0.0390996,0.0200621,0.00578382,0.0122458,0.0200776,0.0270272,0.0112973,0.0152102,0.0107587,0.0130299,0.0149798,0.0161901,0.0157198,0.0281616,0.0264044,0.0167605,0.0109548,0.00752197,0.0432935,0.012772,0.010509,0.0357848,0,0,0.054113,0,0.0491602,0.0400742,0.0378019,0.0180825,0.0242432,0.0125562,0.0180477,0.0614954,0,0.0124419,0.00578492,0.00985149,0.0137798,0.0340911,0.00883282,0.0144674,0.0148195,0.0513717,0.00632349,0.0223992,0.0169579,0.0287057,0,0,0,0,0,0,0
1422,0.0365451,0,0,0,0,0.0239562,0,0,0,0,0,0,0.0242747,0.0198161,0.021716,0.0153417,0,0,0.0282908,0,0.0328923,0.0179377,0.0391436,0.0200637,0.00576547,0.0123953,0.0201371,0.0271575,0.0112744,0.0157224,0.0107905,0.0130797,0.0149396,0.0162014,0.0156817,0.0277647,0.0264602,0.0169744,0.0107917,0.00752405,0.0433565,0.0130622,0.0108772,0.0358542,0,0,0.0541424,0,0.0492545,0.040011,0.0379048,0.0172674,0.0239355,0.0124947,0.0179523,0.0615027,0.00960014,0.0123147,0.00580402,0.0101784,0.0133597,0.0334363,0.00826769,0.0140584,0.013388,0.0513914,0.00594936,0.0223373,0.0168969,0.0287631,0,0,0,0,0,0,0
1423,0.0365106,0,0,0,0,0.0240793,0,0,0,0,0,0,0.0243082,0.0199703,0.0218526,0.0152416,0,0,0.0282766,0,0.032862,0.0178518,0.0388261,0.0201582,0.0057106,0.0124489,0.0199838,0.0272062,0.011299,0.0160924,0.0108231,0.0131555,0.0146776,0.0161962,0.0156958,0.0275748,0.0264642,0.017103,0.0106408,0.00781439,0.0433976,0.013139,0.0111984,0.0358719,0,0,0.0541919,0,0.0493151,0.0400411,0.0378461,0.0163261,0.023768,0.0124177,0.0177719,0.0614811,0.00940048,0.0123517,0.00578415,0.0104095,0.0125199,0.0326981,0.00751079,0.0132351,0.0113839,0.051414,0.00560534,0.022365,0.0168398,0.0287613,0,0,0,0,0,0,0
1424,0.0364687,0,0,0,0,0.024255,0,0,0,0,0,0,0.0242861,0.0200686,0.0220367,0.0151995,0,0,0.028154,0,0.0328544,0.0177365,0.038481,0.020357,0.00566649,0.0125286,0.0198339,0.0271984,0.0114377,0.0164997,0.0107848,0.0131878,0.0148974,0.0162242,0.0157029,0.0274131,0.0264439,0.0172084,0.0104509,0.00807876,0.0433689,0.0129397,0.0111948,0.0358974,0,0,0.0541406,0,0.0493114,0.0400809,0.0377224,0.0153204,0.0236534,0.0120788,0.0176456,0.061366,0.00892004,0.012488,0.00560857,0.0105066,0.0113051,0.0318302,0.0066467,0.0120709,0.0103157,0.0514047,0.00555773,0.0224159,0.0167921,0.0287517,0,0,0,0,0,0,0
1425,0.0363484,0,0,0,0,0.0246817,0,0,0,0,0,0,0.024094,0.0201171,0.022044,0.0151231,0,0,0.028083,0,0.032851,0.0176184,0.037998,0.0204254,0.0056656,0.0126158,0.0200218,0.0271337,0.011606,0.0166417,0.0107719,0.0131355,0.0151078,0.0162264,0.0156111,0.0271603,0.0263529,0.0173192,0.0103112,0.00847932,0.0432973,0.0125647,0.0109775,0.0358769,0,0,0.0540253,0,0.049267,0.0400586,0.0376971,0.0141966,0.0237062,0.0115808,0.0175931,0.0611596,0.00844258,0.0126837,0.00553808,0,0.00969642,0.0311883,0.00584704,0.0105581,0.00951458,0.0513208,0.00571493,0.0224067,0.0166855,0.0287118,0,0,0,0,0,0,0
1426,0.0361833,0,0,0,0,0.0254241,0,0,0,0,0,0,0.024202,0.0203878,0.022195,0.0151092,0,0,0.0279777,0,0.0328869,0.0174705,0.0378067,0.0205043,0.0056169,0.0126838,0.0201657,0.0270625,0.0116563,0.0166231,0.010824,0.013106,0.0151785,0.016266,0.0155998,0.0271764,0.0262304,0.0173569,0.0102839,0.00930122,0.0432274,0.0118154,0.0106917,0.0358212,0,0,0.0539612,0,0.0492218,0.0399742,0.0374986,0.0125498,0.023396,0.0109082,0.0175143,0.0609473,0.00817981,0.0132028,0.00549616,0.0103841,0.00768668,0.0306834,0.00470519,0.00853352,0.00917711,0.0512175,0.00587641,0.0223797,0.0166185,0.0286878,0,0,0,0,0,0,0
1427,0.0360892,0,0,0,0,0.0256528,0,0,0,0,0,0,0.0243542,0.0205104,0.0223885,0.0153506,0,0,0.0277523,0,0.0328075,0.0172858,0.0377594,0.0204783,0.00557779,0.0126697,0.020207,0.0270042,0.0118147,0.0165824,0.0109859,0.0132314,0.0151788,0.0161759,0.0156158,0.0274997,0.0260673,0.0173535,0.0102197,0.0106245,0.043208,0.0112042,0.0101158,0.0358583,0,0,0.0540604,0,0.0492135,0.0399139,0.037435,0.0109486,0.0231055,0.0104013,0.0173738,0.0609448,0.00807189,0.0136978,0.00568904,0.0103533,0.00596689,0.0298287,0.00406247,0.00672296,0.00955462,0.0513005,0.00599014,0.0224219,0.0167631,0.0286347,0,0,0,0,0,0,0
1428,0.0360233,0,0,0,0,0.0253153,0,0,0,0,0,0,0.0245307,0.0205243,0.0226698,0.0157091,0,0,0.0276123,0,0.0327133,0.0170887,0.0377379,0.0205386,0.00554357,0.0126965,0.0201941,0.0270034,0.0121057,0.01654,0.0112323,0.0133269,0.0152099,0.0161567,0.0156692,0.0277835,0.025968,0.0173285,0.00999722,0.0117189,0.0432173,0.010671,0.00995846,0.0359403,0,0,0.0541851,0,0.0492101,0.039815,0.0374374,0.00952737,0.0228945,0.0101368,0.0172562,0.0609822,0.00786243,0.0141334,0.00612324,0.0103852,0.0045081,0.0288609,0.00376776,0.005227,0.0102223,0.0514109,0.00606432,0.0225321,0.0169938,0.028565,0,0,0,0,0,0,0
1429,0.0359479,0,0,0,0,0.0252593,0,0,0,0,0,0,0.0247685,0.0204838,0.0229687,0.0162341,0,0,0.0275467,0,0.0324143,0.0168932,0.0377351,0.0207363,0.00555115,0.0126881,0.020138,0.0269977,0.0125314,0.0163385,0.0114667,0.0134165,0.0153038,0.0162694,0.015763,0.0279517,0.0258782,0.0172226,0.00975231,0.0119335,0.0432132,0.0102989,0.0102187,0.0360779,0,0,0.0542337,0,0.0492057,0.0398465,0.0374816,0.00868649,0.0227513,0.0101551,0.0171913,0.0609812,0.00790131,0.0145483,0.00672687,0.0106474,0.00324957,0.0280754,0.00401831,0.0038753,0.0105556,0.0514171,0.00609308,0.0225747,0.0171343,0.0284576,0,0,0,0,0,0,0
1430,0.0358962,0,0,0,0,0.0254082,0,0,0,0,0,0,0.0249536,0.0205079,0.0232942,0.0164001,0,0,0.0274956,0,0.0323287,0.0167952,0.0377493,0.0208949,0.0055307,0.0126942,0.0200713,0.0269913,0.0129788,0.0162186,0.0116492,0.0134144,0.0153054,0.0163234,0.0158483,0.0281412,0.0258079,0.0172101,0.00956181,0.0117542,0.0431855,0.0103918,0.0101076,0.0362444,0,0,0.0542863,0,0.0491853,0.0397649,0.0374959,0.00863919,0.0225503,0.0104497,0.0171507,0.0610138,0.00819156,0.0148363,0.00752346,0.0111278,0.00242531,0.0271418,0.00452249,0.00269809,0.010866,0.0514357,0.00609092,0.022531,0.0172313,0.0284509,0,0,0,0,0,0,0
1431,0.0357961,0,0,0,0,0.0255623,0,0,0,0,0,0,0.0251056,0.0204671,0.0236387,0.0163065,0,0,0.0273617,0,0.0324174,0.0166614,0.0377204,0.0210111,0.00546003,0.0126994,0.020033,0.0270282,0.0133677,0.0160197,0.0118535,0.0133084,0.0153775,0.016292,0.0159029,0.0287488,0.0257107,0.0173302,0.00938338,0.0114507,0.0431822,0.010453,0.0101071,0.0361997,0,0,0.0543088,0,0.0491963,0.0397717,0.0374659,0.00912859,0.0223028,0.0105808,0.0170686,0.0610251,0.00809186,0.015197,0.00840852,0.0116601,0.0021575,0.0260773,0.0049693,0.00179578,0.0110557,0.0514416,0.0060258,0.0223704,0.0173455,0.0284702,0,0,0,0,0,0,0
1432,0.0356435,0,0,0,0,0.0257297,0,0,0,0,0,0,0.0254049,0.0205073,0.0238997,0.0163411,0,0,0.0273144,0,0.0325178,0.0165674,0.0376339,0.0211183,0.00539972,0.0127896,0.0200232,0.027114,0.0136294,0.0155772,0.0120725,0.0133044,0.015472,0.0162277,0.0160017,0.0297532,0.0256447,0.0174254,0.00913719,0.0112273,0.0431838,0.0103934,0.0099201,0.0360047,0,0,0.0541877,0,0.0492213,0.0398686,0.0373678,0.00995612,0.0220871,0.0105883,0.0169948,0.0609057,0.00812785,0.0156426,0.00934204,0.0121318,0.0025475,0.0250399,0.00528245,0.00148759,0.0112728,0.0512797,0.00594421,0.0221199,0.0174816,0.0283692,0,0,0,0,0,0,0
1433,0.0355324,0,0,0,0,0.0257907,0,0,0,0,0,0,0.0258399,0.0206063,0.0241861,0.0164121,0,0,0.027353,0,0.0324845,0.0165115,0.0376326,0.0212221,0.00534656,0.0128372,0.0200032,0.027151,0.0137893,0.0151648,0.0122231,0.0133257,0.0155538,0.0162093,0.016085,0.0299885,0.0256685,0.017422,0.00893535,0.0111094,0.0431791,0.0103999,0.010079,0.0359446,0,0,0.054046,0,0.0492356,0.0398485,0.0372126,0.0109701,0.0217916,0.0105332,0.0169089,0.0606867,0.00834277,0.0158744,0.0103631,0.0126603,0.00340564,0.0240704,0.00622996,0.00211213,0.0116943,0.0510601,0.00598283,0.022108,0.0176049,0.0282703,0,0,0,0,0,0,0
1434,0.0353758,0,0,0,0,0.0257245,0,0,0,0,0,0,0.0261132,0.0205828,0.0245152,0.0162931,0,0,0.0273979,0,0.032394,0.0164248,0.0376399,0.0214283,0.00526531,0.0128285,0.020028,0.0272072,0.0138677,0.0152748,0.0123306,0.0133456,0.0156622,0.0161737,0.0161548,0.0300525,0.025688,0.0174749,0.00872091,0.010601,0.0431906,0.0105812,0.00994826,0.0358628,0,0,0.0538623,0,0.0492461,0.0397789,0.0370826,0.0120963,0.0215197,0.0104501,0.0168194,0.0603396,0.00858831,0.0161217,0.0113441,0.0132173,0.00420568,0.02317,0.00722369,0.00321545,0.0113589,0.0507638,0.00604228,0.0221144,0.0177109,0.02819,0,0,0,0,0,0,0
