Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x71,x72,x73,x74,,x79,x81
All Timesteps RMSE,0.0349264,0,0,0,0,0.030914,0,0,0,0,0,0,0.0324935,0.0301831,0.0273217,0.015783,0,0,0.0332168,0,0.0343396,0.0236089,0.0398443,0.0264453,0.0069285,0.0142315,0.0226424,0.0452847,0.0143673,0.017774,0.0142266,0.0151143,0.0191884,0.0165749,0.0170613,0.0379076,0.0346469,0.0282519,0.0166302,0.0242694,0.0410343,0.02342,0.0139956,0.035306,0,0,0.0493617,0,0.0456028,0.0356482,0.0377755,0.0286797,0.0205055,0.0169555,0.0201528,0.0529104,0.0107609,0.0148154,0.0115409,0.0130243,0.0149826,0.0271218,0.0278369,0.0166212,0.0232509,0.0405557,0.0223503,0.0237502,0.0247775,0.026913,0,0,0,0,0,0,0
0,0.0273977,0,0,0,0,0.0424684,0,0,0,0,0,0,0.0385139,0.0191086,0.0316403,0.0165018,0,0,0.0331369,0,0.0354051,0.0192057,0.0367752,0.0275913,0.0132702,0.00912536,0.0387961,0.0654149,0.0160098,0.016943,0.0100246,0.0166754,0.0228697,0.0192237,0.0233863,0.0437029,0.0416431,0.00861086,0.00943475,0.0134406,0.0275015,0.0158284,0.0182204,0.0328564,0,0,0.0362731,0,0.035219,0.0206734,0.0400214,0.024285,0.0201694,0.0190004,0.0335576,0.0394865,0.0073999,0.0155176,0.00819144,0.00949732,0.0156926,0.0321102,0.00780979,0.0170348,0.0127967,0.0313702,0.036351,0.00376605,0.0370652,0.0162663,0,0,0,0,0,0,0
1,0.0259022,0,0,0,0,0.0409664,0,0,0,0,0,0,0.0377365,0.0193884,0.0312706,0.0161471,0,0,0.0352677,0,0.0347048,0.020877,0.0370977,0.0275075,0.0122303,0.00882474,0.036507,0.0657933,0.0155697,0.0162988,0.00965089,0.016435,0.0224467,0.0189873,0.0232849,0.042766,0.0431265,0.00917659,0.0103136,0.014176,0.0274892,0.0162483,0.0176222,0.0311166,0,0,0.0341008,0,0.0348803,0.0180719,0.0398902,0.0246722,0.0199825,0.019282,0.0312652,0.036352,0.00701426,0.0155731,0.00841893,0.00947519,0.0156834,0.0320925,0.0077584,0.017016,0.0133141,0.0278754,0.0365424,0.00469436,0.0356768,0.0148447,0,0,0,0,0,0,0
2,0.0259476,0,0,0,0,0.0409696,0,0,0,0,0,0,0.0375928,0.0193721,0.0312742,0.016087,0,0,0.0352598,0,0.034713,0.020859,0.037063,0.0275143,0.0122061,0.00886221,0.0364397,0.0658439,0.0155979,0.016321,0.00968633,0.0164418,0.0224521,0.0189869,0.0232929,0.0427197,0.0431028,0.00921419,0.0103242,0.0142285,0.0274896,0.0163048,0.0175611,0.0311426,0,0,0.0341393,0,0.034879,0.0181005,0.0398833,0.0247346,0.0199256,0.019277,0.0311987,0.0363535,0.00727092,0.0157246,0.00838811,0.00945171,0.0157275,0.0321487,0.00782297,0.0170462,0.013346,0.0279201,0.0366134,0.00467453,0.0356877,0.0148582,0,0,0,0,0,0,0
3,0.0260005,0,0,0,0,0.0410058,0,0,0,0,0,0,0.0374193,0.019451,0.0312475,0.016057,0,0,0.0352563,0,0.0346757,0.0208358,0.0370466,0.0274955,0.0122163,0.0088722,0.036407,0.0658995,0.0156138,0.0163154,0.00969306,0.0164369,0.0224396,0.0190048,0.0233028,0.0426329,0.0430753,0.00916381,0.0103431,0.0143222,0.0274906,0.0163939,0.0175217,0.0311975,0,0,0.0342062,0,0.0348696,0.018159,0.0398593,0.0248074,0.0198794,0.0192661,0.0311548,0.0363952,0.0075155,0.0158325,0.00840286,0.00942912,0.0157843,0.0321965,0.00785706,0.0170919,0.0134048,0.0279566,0.0367136,0.00463412,0.0357158,0.0148858,0,0,0,0,0,0,0
4,0.0260569,0,0,0,0,0.0410311,0,0,0,0,0,0,0.0374286,0.0194328,0.031197,0.0160535,0,0,0.0352633,0,0.0346725,0.0207782,0.0370756,0.0274702,0.0122401,0.00884628,0.0364115,0.0659529,0.0155784,0.0162324,0.00970213,0.0164008,0.0223957,0.0189872,0.0233012,0.0425385,0.0431052,0.00917315,0.0103498,0.0142628,0.0274916,0.0164117,0.0175359,0.0312553,0,0,0.0342381,0,0.0348609,0.0181995,0.0398332,0.0247942,0.0199285,0.0192736,0.0311199,0.036461,0.00749126,0.0156918,0.00838157,0.00942923,0.0157751,0.0321845,0.00782885,0.0170957,0.0134264,0.0279907,0.036799,0.00460559,0.0357326,0.0148998,0,0,0,0,0,0,0
5,0.0260891,0,0,0,0,0.0410485,0,0,0,0,0,0,0.0373038,0.019343,0.0311411,0.0160473,0,0,0.0352486,0,0.0347074,0.0207264,0.0371119,0.0274288,0.0122602,0.00879471,0.0364285,0.065997,0.0155362,0.0161366,0.00967654,0.0163409,0.0223282,0.0189526,0.0233163,0.0423982,0.04317,0.00923086,0.0103254,0.0141268,0.0275163,0.016368,0.0175718,0.0312994,0,0,0.0342471,0,0.0348602,0.0182181,0.039806,0.0247312,0.0199924,0.0194548,0.0311077,0.0365273,0.00743726,0.0155043,0.00836037,0.00944356,0.0157439,0.0321461,0.00781127,0.0170969,0.0134121,0.0280297,0.0368496,0.00457784,0.035748,0.0149086,0,0,0,0,0,0,0
6,0.0261318,0,0,0,0,0.0410772,0,0,0,0,0,0,0.0371414,0.019401,0.0311233,0.0160189,0,0,0.0352802,0,0.0346571,0.0207901,0.0371233,0.0274458,0.0122622,0.00876646,0.0364137,0.0659949,0.015508,0.016068,0.00964663,0.0163324,0.0222813,0.0189466,0.0233402,0.0423208,0.0432641,0.00915957,0.0103331,0.0141223,0.0275534,0.0163328,0.0175589,0.0313359,0,0,0.0342579,0,0.0348703,0.0182115,0.0397755,0.0247015,0.0200101,0.0197702,0.031083,0.0365875,0.00734643,0.0154257,0.00837903,0.00944772,0.0157202,0.0321391,0.00779762,0.0170876,0.0133848,0.0280884,0.0368657,0.0045828,0.0357633,0.0149286,0,0,0,0,0,0,0
7,0.0261556,0,0,0,0,0.0410988,0,0,0,0,0,0,0.0370985,0.0194639,0.0310923,0.0159938,0,0,0.0352797,0,0.0346122,0.0208563,0.0371344,0.027478,0.0122702,0.00870485,0.0364006,0.0660704,0.0154438,0.0159702,0.00959108,0.0163013,0.0222304,0.0189153,0.0233738,0.0421993,0.0432635,0.00911088,0.0103414,0.0141737,0.0275694,0.0162814,0.0175389,0.0313746,0,0,0.034242,0,0.0348911,0.0181836,0.0397659,0.0246864,0.0200042,0.0194805,0.0310749,0.0366217,0.00709053,0.0154377,0.00838491,0.00946434,0.0157022,0.0321324,0.00777725,0.0170616,0.0133476,0.0281727,0.0368228,0.00460305,0.0357751,0.0149303,0,0,0,0,0,0,0
8,0.0261838,0,0,0,0,0.0411181,0,0,0,0,0,0,0.0369725,0.0194868,0.0310272,0.0159584,0,0,0.0352649,0,0.0346006,0.02087,0.0371494,0.0274676,0.0122716,0.00863375,0.0363889,0.0661024,0.0153992,0.0158314,0.00954108,0.0162419,0.0221593,0.0188774,0.0234092,0.042025,0.0432702,0.00911949,0.0103377,0.0141142,0.0275651,0.0162811,0.0175487,0.0314151,0,0,0.034262,0,0.0348843,0.0181755,0.0397727,0.024695,0.0199935,0.0192462,0.0310715,0.0366688,0.00688305,0.0155037,0.00840824,0.0094376,0.0157156,0.0321442,0.00779921,0.0170601,0.0133354,0.0282412,0.0367329,0.00461813,0.0357781,0.0149372,0,0,0,0,0,0,0
9,0.0261905,0,0,0,0,0.0411348,0,0,0,0,0,0,0.0366772,0.0194316,0.0309401,0.0159077,0,0,0.0352381,0,0.0346198,0.020818,0.0371558,0.0274026,0.0122817,0.00853141,0.036372,0.0660577,0.0153535,0.0157116,0.00948465,0.0161567,0.0220398,0.0188488,0.0234466,0.0417023,0.043277,0.00919557,0.0103249,0.0141514,0.0275723,0.0163655,0.0174964,0.0314472,0,0,0.0343058,0,0.0348641,0.0181999,0.0397661,0.024755,0.0199785,0.0192573,0.0310642,0.0367019,0.00712555,0.0155883,0.00843184,0.0094173,0.0158043,0.0321779,0.00786239,0.0171307,0.0133785,0.028274,0.0366392,0.00464319,0.035781,0.0149343,0,0,0,0,0,0,0
10,0.0261784,0,0,0,0,0.0411373,0,0,0,0,0,0,0.0363967,0.0193267,0.0308477,0.0158698,0,0,0.0352257,0,0.0346914,0.0207422,0.0371773,0.0273924,0.0122994,0.00840831,0.0363474,0.066065,0.015309,0.0156015,0.00941688,0.0160822,0.0219043,0.0187765,0.023491,0.0412994,0.0432693,0.0093573,0.0102803,0.0142847,0.0275908,0.0164538,0.0174825,0.0314951,0,0,0.0343566,0,0.034855,0.0182088,0.039705,0.0248036,0.0199527,0.0193284,0.0310319,0.0367052,0.00735253,0.0155863,0.00845793,0.00940109,0.0158808,0.0321941,0.00791264,0.0171826,0.0134345,0.0282764,0.0365293,0.00469294,0.0357976,0.0149316,0,0,0,0,0,0,0
11,0.0261737,0,0,0,0,0.0411569,0,0,0,0,0,0,0.0359611,0.0193412,0.0306505,0.015831,0,0,0.0352451,0,0.0347109,0.0207474,0.0371825,0.0272913,0.012329,0.00819644,0.0363167,0.0660715,0.0151996,0.0153611,0.00928773,0.0158857,0.021628,0.0186059,0.0235498,0.0407038,0.0433145,0.00938532,0.0102753,0.0143593,0.0276179,0.0164628,0.0174806,0.0315463,0,0,0.0343626,0,0.034859,0.0182092,0.0396628,0.0248147,0.0199651,0.0193622,0.0309806,0.0367014,0.00731799,0.0155729,0.00844235,0.00936897,0.0158965,0.0322108,0.00794343,0.0171967,0.0134386,0.0282876,0.0364419,0.00473862,0.0358165,0.0149357,0,0,0,0,0,0,0
12,0.0261698,0,0,0,0,0.0411921,0,0,0,0,0,0,0.0349213,0.0194309,0.0302956,0.0157761,0,0,0.035291,0,0.0346431,0.0208082,0.0372142,0.0271221,0.0123691,0.00784111,0.0362782,0.0660689,0.0150665,0.0149546,0.00908164,0.0155518,0.0211329,0.0183195,0.0236538,0.0397133,0.0433892,0.00925769,0.0103133,0.0141291,0.0276191,0.016305,0.017507,0.0315563,0,0,0.0343764,0,0.0348523,0.0181929,0.0396291,0.0246187,0.0200169,0.0192038,0.0308821,0.0367071,0,0.0155459,0.00833856,0.00932359,0.0156797,0.0322191,0.00783088,0.0169931,0.0133678,0.0282483,0.0364067,0.004778,0.0358376,0.0149215,0,0,0,0,0,0,0
13,0.0261482,0,0,0,0,0.0412144,0,0,0,0,0,0,0.0328442,0.0194381,0.0294684,0.0158184,0,0,0.0353318,0,0.0346128,0.0208472,0.0373453,0.026656,0.0122443,0.00707902,0.0361521,0.0660542,0.0146431,0.0140045,0.00831563,0.0150763,0.0202689,0.017964,0.0239194,0.0375842,0.043368,0.00920786,0.0103639,0.0141809,0.0276077,0.0164552,0.0175699,0.0314895,0,0,0.0343143,0,0.034864,0.0181333,0.0396129,0.0248177,0.019985,0.0193872,0.0307744,0.0366237,0.00711824,0.0155781,0.00843583,0.00931315,0.0158659,0.0322129,0.00794475,0.0171732,0.0134276,0.0281293,0.0363629,0.00482758,0.0358688,0.0149049,0,0,0,0,0,0,0
14,0.0261577,0,0,0,0,0.041248,0,0,0,0,0,0,0.0315985,0.0194325,0.0288774,0.0157997,0,0,0.0353241,0,0.0346332,0.0208103,0.0374543,0.0263057,0.0122361,0.00647322,0.0360919,0.0660602,0.0145938,0.0134345,0.0080518,0.0145072,0.0194874,0.0175067,0.0240203,0.0358721,0.043395,0.00925633,0.0103781,0.0142119,0.0276371,0.0164857,0.0176108,0.031499,0,0,0.0343096,0,0.0348699,0.0181253,0.0395348,0.0247905,0.0199804,0.0194006,0.0307259,0.0366156,0.00721351,0.0155736,0.00847062,0.00933971,0.0158697,0.0322162,0.00794191,0.0171634,0.0134471,0.0280902,0.0363587,0.00485206,0.0359389,0.0149288,0,0,0,0,0,0,0
15,0.0261543,0,0,0,0,0.0412949,0,0,0,0,0,0,0.0305004,0.0194307,0.0284161,0.0158368,0,0,0.0353241,0,0.034722,0.0207669,0.0376382,0.0260886,0.0122097,0.00582356,0.0360185,0.0660989,0.0148446,0.0130935,0.00818739,0.0136793,0.0185495,0.0168183,0.0238809,0.0344031,0.0435286,0.00931521,0.0103969,0.0141404,0.0276209,0.0163266,0.0177261,0.031484,0,0,0.0342929,0,0.0348673,0.0180531,0.0393932,0.024511,0.0200088,0.0192786,0.0306865,0.0365614,0,0.0155543,0.00843649,0.00934846,0.015646,0.0322056,0.0077795,0.0169162,0.0133517,0.0280279,0.0363696,0.00485489,0.0360181,0.0149361,0,0,0,0,0,0,0
16,0.0261328,0,0,0,0,0.0413326,0,0,0,0,0,0,0.0292057,0.0194704,0.0278506,0.0160839,0,0,0.0354177,0,0.0347149,0.0208166,0.0378826,0.0261373,0.0119808,0.00512019,0.0359064,0.0661182,0.0149206,0.0126781,0.00814979,0.0128741,0.0175919,0.0161283,0.0236983,0.0330482,0.0436388,0.00923707,0.0104264,0.014138,0.0275819,0.0162948,0.0180114,0.031377,0,0,0.0342208,0,0.0348703,0.0178758,0.0393016,0.0244874,0.0199784,0.0193596,0.0306882,0.0364144,0,0.0155978,0.00850269,0.00940335,0.0156059,0.0321195,0.00771124,0.0168583,0.0133,0.0278745,0.0363622,0.00487847,0.0360767,0.0149168,0,0,0,0,0,0,0
17,0.0261291,0,0,0,0,0.0413772,0,0,0,0,0,0,0.0285007,0.0194801,0.0274076,0.0164837,0,0,0.0354844,0,0.0346887,0.0208613,0.0380968,0.0267514,0.0116706,0.00466324,0.0358344,0.066158,0.0149807,0.0124102,0.00824129,0.0121317,0.0167876,0.0155406,0.0233535,0.0321914,0.0436602,0.00918034,0.0104511,0.0141059,0.0275217,0.0162851,0.0183125,0.0312629,0,0,0.0341448,0,0.0348838,0.0177425,0.0392514,0.0245415,0.0199741,0.0195122,0.0307951,0.0362802,0,0.015638,0.00861087,0.00951893,0.0156148,0.0319551,0.00763737,0.0168476,0.0132991,0.0277341,0.0363612,0.00491245,0.0361506,0.0149195,0,0,0,0,0,0,0
18,0.0262459,0,0,0,0,0.0415103,0,0,0,0,0,0,0.0449259,0.0194863,0.0340518,0.0170341,0,0,0.0352568,0,0.0346159,0.0207386,0.0379188,0.030782,0.0114416,0.0164311,0.0365921,0.0661094,0.0200375,0.0227917,0.0184323,0.0149169,0.0220913,0.0160324,0.0176224,0.0492762,0.0434881,0.00922069,0.0103717,0.0141093,0.0276084,0.0164399,0.0181777,0.0316462,0,0,0.0344864,0,0.0348124,0.0181163,0.0395167,0.0248564,0.0201221,0.0197987,0.0316518,0.0367431,0,0.0155738,0.00864987,0.00977027,0.0159057,0.0318519,0.007697,0.0171919,0.0136152,0.028263,0.0364696,0.00477495,0.0362351,0.0150639,0,0,0,0,0,0,0
19,0.0262441,0,0,0,0,0.0415234,0,0,0,0,0,0,0.0448071,0.0193414,0.0341688,0.0169703,0,0,0.0353017,0,0.0346321,0.0207761,0.0379233,0.0296323,0.0114436,0.0161426,0.0365148,0.0660949,0.0198561,0.0223325,0.0181592,0.0148252,0.0220278,0.0161892,0.0176774,0.0491476,0.0435267,0.00931639,0.0103106,0.0141362,0.0276175,0.0164644,0.0181023,0.0316748,0,0,0.0344296,0,0.0348503,0.0181017,0.0394452,0.0248105,0.0201995,0.0197343,0.0315654,0.0367432,0,0.0155634,0.00863563,0.00969321,0.0158886,0.0319055,0.00771898,0.0171889,0.0136118,0.0282756,0.0364704,0.00476826,0.036237,0.01506,0,0,0,0,0,0,0
20,0.0262393,0,0,0,0,0.0415452,0,0,0,0,0,0,0.0443404,0.0192323,0.0340527,0.0169491,0,0,0.0352997,0,0.0347299,0.0207476,0.0379315,0.0289723,0.0114502,0.0156397,0.0364715,0.0660921,0.0195508,0.021804,0.0176839,0.0146948,0.0218882,0.0163203,0.0178548,0.0486965,0.0435253,0.0094687,0.0102727,0.014135,0.0276585,0.016473,0.01809,0.031686,0,0,0.0343943,0,0.0348796,0.0180706,0.039429,0.0247959,0.020219,0.0197344,0.0315088,0.0367255,0,0.0155808,0.00862406,0.00964759,0.0158913,0.0319353,0.00776175,0.0171898,0.0136027,0.028284,0.0364479,0.00478052,0.0362528,0.0150569,0,0,0,0,0,0,0
21,0.0262315,0,0,0,0,0.0415386,0,0,0,0,0,0,0.0436973,0.01927,0.0337783,0.0169171,0,0,0.0353117,0,0.0348051,0.0207251,0.0379509,0.0288031,0.0114398,0.0151131,0.0364019,0.066077,0.019183,0.0213304,0.0171624,0.0145717,0.0217137,0.0163522,0.0180637,0.0482179,0.0435105,0.00950186,0.0102834,0.0141215,0.0276881,0.0164721,0.0180755,0.0316979,0,0,0.0343866,0,0.0348782,0.0180589,0.0394436,0.0248064,0.0202273,0.019751,0.0314381,0.0367065,0,0.0156032,0.00864179,0.00963848,0.0159098,0.0319422,0.00777524,0.0172103,0.0135878,0.0283063,0.0364212,0.00482174,0.0362652,0.015045,0,0,0,0,0,0,0
22,0.0262336,0,0,0,0,0.0415486,0,0,0,0,0,0,0.0431052,0.0192895,0.0334752,0.0168976,0,0,0.0353596,0,0.0348122,0.0207585,0.0379429,0.0286951,0.0114149,0.0145932,0.0363503,0.0660321,0.0187941,0.0207518,0.0166366,0.0144787,0.0215448,0.016396,0.0182683,0.0476854,0.0434506,0.00950765,0.0102798,0.0141341,0.0277118,0.0164671,0.0180755,0.0317052,0,0,0.0343676,0,0.0348558,0.018111,0.0394389,0.0247823,0.0201617,0.0197289,0.0314058,0.0367458,0,0.0156052,0.00866101,0.00965515,0.0158842,0.0319312,0.00774523,0.0171903,0.0135651,0.0283636,0.0363656,0.00481322,0.0362709,0.0150357,0,0,0,0,0,0,0
23,0.0262075,0,0,0,0,0.0415637,0,0,0,0,0,0,0.0427043,0.0192384,0.0332142,0.0169153,0,0,0.0354158,0,0.0347653,0.0208005,0.0379137,0.0284314,0.0114039,0.0140676,0.0363611,0.0659598,0.0183772,0.0199041,0.0161112,0.014366,0.0213732,0.0164201,0.0184457,0.0471403,0.0434977,0.00952577,0.0102482,0.0141469,0.0277166,0.0164454,0.0181094,0.0316915,0,0,0.0343386,0,0.0348214,0.0181991,0.0394267,0.0247085,0.0200194,0.0196819,0.0313859,0.0367839,0,0.0156151,0.00864921,0.00966943,0.0158204,0.0319184,0.00769299,0.0171322,0.0135399,0.0284096,0.0363193,0.00477834,0.0362636,0.0150128,0,0,0,0,0,0,0
24,0.0261826,0,0,0,0,0.0415719,0,0,0,0,0,0,0.0422561,0.0192289,0.0329558,0.0169392,0,0,0.0354645,0,0.0347025,0.0208753,0.0379222,0.0281651,0.0114054,0.0135956,0.0363203,0.0659058,0.0179503,0.0191746,0.015561,0.0142425,0.0212209,0.016415,0.0186231,0.0465642,0.0435253,0.00949831,0.0102261,0.0141374,0.0276953,0.0164255,0.0181195,0.0316713,0,0,0.0342915,0,0.0347597,0.01826,0.039435,0.02468,0.0199746,0.0196348,0.0313261,0.0367755,0,0.0156458,0.00862693,0.00965623,0.0157829,0.0319312,0.00766126,0.017102,0.01353,0.0284273,0.0363137,0.00475773,0.036278,0.0150099,0,0,0,0,0,0,0
25,0.0261572,0,0,0,0,0.0415789,0,0,0,0,0,0,0.0417506,0.0192622,0.0326919,0.0169684,0,0,0.0355204,0,0.0346601,0.0209165,0.0379488,0.027958,0.0113953,0.0131342,0.0362729,0.0658733,0.0175165,0.0186078,0.0150346,0.014136,0.021061,0.0163958,0.0187903,0.0459411,0.0434966,0.00944089,0.0102085,0.0141068,0.0276536,0.0164129,0.0181518,0.0316704,0,0,0.0342968,0,0.034679,0.0182742,0.0394306,0.0246534,0.0199821,0.0196236,0.0312683,0.0367706,0,0.0156522,0.0086344,0.00963531,0.0157831,0.0319695,0.00767676,0.0170831,0.0135165,0.028423,0.0363585,0.00476216,0.0362971,0.0150022,0,0,0,0,0,0,0
26,0.0261872,0,0,0,0,0.0416112,0,0,0,0,0,0,0.0412326,0.0192407,0.0324213,0.0169675,0,0,0.0355428,0,0.0347277,0.0208902,0.037972,0.027798,0.011377,0.0127142,0.0362426,0.0659243,0.0171269,0.0181954,0.0145558,0.0140408,0.0208943,0.0164028,0.0189704,0.0453477,0.0434617,0.00952121,0.0101776,0.0141957,0.0276923,0.0165759,0.0181526,0.0317061,0,0,0.034334,0,0.03472,0.0182728,0.039415,0.0248614,0.0199371,0.0198441,0.0312456,0.0367887,0.00768562,0.0156636,0.0087466,0.00965249,0.0160497,0.0320169,0.00786545,0.0173435,0.0135463,0.0284139,0.036401,0.00471897,0.0363206,0.0150312,0,0,0,0,0,0,0
27,0.0262014,0,0,0,0,0.0416249,0,0,0,0,0,0,0.040843,0.0192801,0.0321504,0.0170142,0,0,0.0355904,0,0.0347376,0.0209402,0.0380215,0.027629,0.0113764,0.0122929,0.0362313,0.0659592,0.0167379,0.017849,0.0140904,0.0139471,0.0207238,0.0163944,0.0191347,0.0447984,0.0434896,0.00949075,0.0101672,0.0140169,0.0276997,0.0163668,0.0182371,0.0317389,0,0,0.0343283,0,0.0347553,0.018254,0.0393605,0.0245409,0.019946,0.0197256,0.0312132,0.0368027,0,0.0156287,0.00867433,0.00962947,0.0158918,0.0320079,0.00776828,0.0171792,0.0133734,0.0284189,0.0364387,0.00465877,0.0363587,0.015056,0,0,0,0,0,0,0
28,0.0262213,0,0,0,0,0.041636,0,0,0,0,0,0,0.0403718,0.0193498,0.0319525,0.0170538,0,0,0.0356602,0,0.0346634,0.0210694,0.0380533,0.0274286,0.0113473,0.0119105,0.0361652,0.0659471,0.0164309,0.0173918,0.0137071,0.0138746,0.0205888,0.0164035,0.0193068,0.0443936,0.043539,0.00934807,0.0101653,0.0140411,0.0276916,0.0164044,0.0182523,0.0317641,0,0,0.0342988,0,0.0347674,0.018235,0.0393663,0.0245829,0.0199386,0.0196943,0.0311763,0.0368028,0,0.0156153,0.00864975,0.00960707,0.0158785,0.0319514,0.0077512,0.0171683,0.0134199,0.0283939,0.036487,0.00462242,0.0363887,0.0150751,0,0,0,0,0,0,0
29,0.0262315,0,0,0,0,0.0416606,0,0,0,0,0,0,0.0398536,0.0193507,0.0317664,0.0170685,0,0,0.0356959,0,0.0346844,0.0210981,0.0380869,0.0272998,0.0113001,0.0115584,0.0360882,0.0659388,0.0162215,0.0169729,0.0133922,0.0138425,0.0204598,0.0164526,0.0194723,0.0439909,0.0435164,0.0093251,0.0101443,0.0141536,0.0277117,0.0165998,0.0182475,0.0317736,0,0,0.0343099,0,0.0347865,0.0182439,0.0393905,0.024861,0.0199081,0.0198977,0.031156,0.036814,0.0078316,0.0156491,0.00877846,0.00962954,0.0161145,0.0319701,0.00789706,0.0174135,0.0135402,0.0283761,0.0365233,0.00459186,0.0364067,0.0150932,0,0,0,0,0,0,0
30,0.0262398,0,0,0,0,0.0416599,0,0,0,0,0,0,0.0394923,0.0192683,0.0315642,0.0171141,0,0,0.0356892,0,0.0347887,0.021033,0.0381303,0.0271781,0.0112676,0.0112167,0.0360464,0.0659627,0.0160534,0.0167725,0.0130601,0.0138018,0.0202974,0.0164893,0.0196112,0.0435787,0.0434824,0.0094486,0.0101093,0.0139858,0.0277522,0.0163915,0.018303,0.0317577,0,0,0.0343495,0,0.0347889,0.0182439,0.0392945,0.0245102,0.0198778,0.0197849,0.0311462,0.0368127,0,0.0155559,0.00870136,0.00959125,0.0158945,0.0319845,0.00775512,0.0171761,0.0134104,0.028479,0.0365047,0.00459848,0.0364251,0.0151048,0,0,0,0,0,0,0
31,0.0262568,0,0,0,0,0.0416797,0,0,0,0,0,0,0.0390711,0.0192225,0.0313779,0.0171025,0,0,0.0356992,0,0.0347765,0.021035,0.0381129,0.027015,0.0112185,0.0109402,0.0359789,0.0659461,0.0158789,0.0168126,0.0127427,0.0137671,0.0201791,0.0164878,0.0197268,0.0431264,0.0434926,0.00943765,0.0101123,0.0141619,0.0277831,0.0165601,0.0182479,0.0317841,0,0,0.0343478,0,0.0347951,0.0182492,0.039218,0.0246891,0.0197531,0.0199751,0.0311209,0.0368365,0.00767441,0.0154701,0.00875443,0.00955854,0.0160677,0.0320363,0.00786811,0.0173228,0.0135255,0.0285174,0.0364273,0.004604,0.0364676,0.0151203,0,0,0,0,0,0,0
32,0.026256,0,0,0,0,0.0416931,0,0,0,0,0,0,0.0388195,0.0192977,0.0312116,0.0170755,0,0,0.0357552,0,0.0346773,0.0211186,0.0381316,0.02688,0.0111871,0.0107198,0.0359323,0.0658885,0.0157207,0.016675,0.0124932,0.0137069,0.0200796,0.0164448,0.0198096,0.0427851,0.0435625,0.00927527,0.0101718,0.0141168,0.027799,0.0164798,0.0182926,0.0317814,0,0,0.0343294,0,0.0348007,0.0182314,0.0392191,0.0245939,0.0197325,0.0199979,0.0310727,0.0368433,0.00783023,0.0155018,0.00874255,0.00956336,0.0160438,0.0320683,0.00784099,0.0172807,0.0134436,0.0285312,0.0363412,0.00460694,0.0364882,0.015106,0,0,0,0,0,0,0
33,0.0262567,0,0,0,0,0.0417098,0,0,0,0,0,0,0.0384733,0.0193339,0.0310758,0.0171137,0,0,0.0358169,0,0.0346569,0.0211517,0.0381435,0.0267601,0.0111875,0.0105056,0.0359294,0.0658735,0.0156272,0.0164839,0.01229,0.0136384,0.0200072,0.0164455,0.0198848,0.0425332,0.0436364,0.00920064,0.010199,0.0140721,0.0278005,0.0163651,0.0183725,0.0317729,0,0,0.034318,0,0.0347974,0.0182356,0.0392193,0.0244576,0.0197745,0.0199281,0.0310504,0.0368584,0,0.0155396,0.00869136,0.00962428,0.0158981,0.0320107,0.0077156,0.0171355,0.0133785,0.0284496,0.0362802,0.00457704,0.0364833,0.0150803,0,0,0,0,0,0,0
34,0.0262735,0,0,0,0,0.0417517,0,0,0,0,0,0,0.0381099,0.0192721,0.0309863,0.0170869,0,0,0.0358369,0,0.0347054,0.0211694,0.0381723,0.0267051,0.0111425,0.0102993,0.0358692,0.065858,0.0155334,0.0162652,0.0120867,0.0136032,0.0199739,0.0164918,0.0199924,0.0422767,0.0436527,0.00927116,0.0101482,0.0142103,0.0278105,0.0164971,0.0183786,0.0317822,0,0,0.0343177,0,0.034789,0.0182577,0.0391995,0.0246089,0.0197028,0.0198679,0.0310163,0.0368689,0.00805233,0.0155478,0.00869745,0.00958664,0.0159864,0.0320136,0.0077867,0.0172181,0.0134652,0.0284194,0.0362313,0.0045394,0.0364926,0.0151022,0,0,0,0,0,0,0
35,0.0262832,0,0,0,0,0.0417631,0,0,0,0,0,0,0.0378371,0.0192081,0.0309036,0.0171215,0,0,0.0358331,0,0.0348285,0.0211867,0.0382199,0.0266501,0.0111159,0.0101116,0.0358106,0.065883,0.0154207,0.0159807,0.0118975,0.0135811,0.0199092,0.0165182,0.0200624,0.0420591,0.0436366,0.00941064,0.0101278,0.0141889,0.0278455,0.0164676,0.0184069,0.0317979,0,0,0.0342773,0,0.034774,0.0183139,0.039194,0.0245961,0.0196583,0.0198458,0.0309754,0.0369149,0.00816226,0.0155655,0.00870441,0.00959652,0.015997,0.0320159,0.00778264,0.0172105,0.0134242,0.0284534,0.0362015,0.00448678,0.0365084,0.0151311,0,0,0,0,0,0,0
