Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x71,x72,RTHI,,LWRA
82,0.0246582,0,0,0,0,0.0272445,0,0,0,0,0,0,0.0386724,0.0257063,0.0366156,0.0128687,0,0,0.0202392,0,0.0235003,0.0296164,0.038279,0.0381435,0.0109371,0.0188784,0.0310662,0.0198637,0.0195355,0.0212961,0.0199625,0.00925571,0.0136356,0.0116436,0.0174799,0.0411939,0.00875032,0.0351706,0.0194939,0.0308197,0.0203917,0.0147395,0.028776,0,0,0.0159882,0,0.0298317,0.0272102,0.0396115,0.0275639,0.0179382,0.0431372,0.0274962,0.0333076,0,0.0255435,0.0190883,0.030871,0.0317602,0.0175811,0.0282002,0.0156859,0.0113486,0.031934,0.0442716,0.0267526,0.016425,0,0,0.0976634,0,0
83,0.0249154,0,0,0,0,0.0258644,0,0,0,0,0,0,0.0388889,0.0257869,0.0366856,0.0128941,0,0,0.019458,0,0.0236936,0.0290293,0.0383363,0.0376514,0.010953,0.0191162,0.0310515,0.0217835,0.019694,0.0214275,0.0201846,0.00937069,0.0137496,0.0116504,0.0174482,0.0412994,0.00721648,0.0350146,0.0190975,0.0308221,0.020151,0.0147308,0.028142,0,0,0.0167558,0,0.0299488,0.0289389,0.0396493,0.0272591,0.018072,0.0428803,0.0274188,0.0329952,0,0.0253374,0.0189206,0.0307197,0.0317404,0.0177552,0.0280716,0.015059,0.0110324,0.0340856,0.0458741,0.0252596,0.0167135,0,0,0.0974242,0,0
84,0.0250277,0,0,0,0,0.0245629,0,0,0,0,0,0,0.0389726,0.0257982,0.0366769,0.0128967,0,0,0.0183417,0,0.0237924,0.0279376,0.0383681,0.0378753,0.010956,0.0192892,0.0310417,0.0239854,0.0199156,0.0215569,0.0204054,0.00947615,0.0138252,0.0116152,0.0174738,0.0413186,0.0059318,0.0344615,0.0187134,0.0308595,0.0199372,0.0147771,0.0274017,0,0,0.0176623,0,0.0300913,0.0305469,0.0396949,0.0269773,0.018182,0.0427358,0.0272983,0.0328823,0,0.0250732,0.018656,0.030634,0.0317905,0.0179345,0.0279682,0.0144413,0.0111581,0.0357828,0.0473867,0.0238133,0.0168365,0,0,0.0972131,0,0
85,0.0248764,0,0,0,0,0.0233251,0,0,0,0,0,0,0.0393197,0.0257924,0.0366941,0.012901,0,0,0.0168457,0,0.0238324,0.0262312,0.0383691,0.0379594,0.0109633,0.0194195,0.0310636,0.0260619,0.0201334,0.0216996,0.0205707,0.00952031,0.0139231,0.0116291,0.0175138,0.041386,0.00534844,0.0333837,0.0183825,0.0310047,0.0197577,0.0148371,0.0264951,0,0,0.0185284,0,0.0303331,0.0319147,0.0397416,0.0267413,0.01826,0.0426653,0.0271251,0.0329157,0,0.0248056,0.0184206,0.0305862,0.0318354,0.0180427,0.0278925,0.013915,0.01119,0.0371795,0.0488086,0.0224558,0.0166792,0,0,0.0969546,0,0
86,0.0232461,0,0,0,0,0.0223716,0,0,0,0,0,0,0.0398546,0.0313572,0.0369766,0.0132883,0,0,0.0203112,0,0.0370262,0.0159417,0.0385037,0.0381545,0.0120517,0.0199862,0.0332937,0.0290874,0.0205029,0.0222774,0.0211228,0.00982778,0.0142382,0.0116376,0.017502,0.0419687,0.0120309,0.0143827,0.0182923,0.0312502,0.0197178,0.0153916,0.0242762,0,0,0.0192477,0,0.0306112,0.0325709,0.0393423,0.0266488,0.0172285,0.0423696,0.0295432,0.0323335,0,0.0243122,0.0178827,0.0308208,0.0325166,0.0184977,0.028134,0.0138974,0.0116889,0.0379284,0.0497781,0.0218272,0.0145234,0,0,0.0963882,0,0.0456761
87,0.0218514,0,0,0,0,0.0212009,0,0,0,0,0,0,0.039894,0.0304793,0.0369527,0.0139121,0,0,0.0187122,0,0.0363109,0.0139766,0.0384503,0.0377957,0.0123053,0.0199093,0.0338952,0.0291617,0.0205751,0.0223474,0.0211241,0.0097958,0.014294,0.0117121,0.0174402,0.0420307,0.012238,0.0134588,0.0180003,0.0311391,0.0193589,0.0158004,0.0230639,0,0,0.0195494,0,0.0306345,0.033134,0.0392918,0.0261784,0.0174681,0.0425249,0.0301313,0.033061,0,0.0243595,0.0181114,0.0307475,0.0325359,0.0185568,0.027923,0.0136035,0.0124439,0.0384615,0.0504349,0.020994,0.0130966,0,0,0.0965847,0,0.0434495
88,0.0210585,0,0,0,0,0.0203909,0,0,0,0,0,0,0.0398751,0.029507,0.0369209,0.014199,0,0,0.0164976,0,0.0354742,0.011885,0.0384238,0.0376709,0.0124298,0.0198734,0.0342195,0.0301994,0.0206149,0.02238,0.0211001,0.00980647,0.0143648,0.0118034,0.0174725,0.0420204,0.0127715,0.0122914,0.017884,0.0309434,0.019217,0.0159871,0.0222051,0,0,0.0195392,0,0.0305616,0.0335183,0.0391935,0.0259192,0.0175836,0.0425467,0.0304449,0.0339453,0,0.0244444,0.0182871,0.0306884,0.0325046,0.0185876,0.0278182,0.0134245,0.0128436,0.038779,0.0508719,0.0202468,0.0122908,0,0,0.0969058,0,0.0410639
89,0.0201367,0,0,0,0,0.0194738,0,0,0,0,0,0,0.0399489,0.0286481,0.036885,0.0141621,0,0,0.0139864,0,0.034609,0.00935163,0.0383831,0.0377494,0.0125046,0.0198527,0.0344839,0.031291,0.0206735,0.0224102,0.0210861,0.0098058,0.0144049,0.0118429,0.0175259,0.0419523,0.0135496,0.010752,0.0178,0.030772,0.0191175,0.0159865,0.0212781,0,0,0.0194128,0,0.0304544,0.0337185,0.0390858,0.0257395,0.0176258,0.0425008,0.0306945,0.034602,0,0.024587,0.0184398,0.0306232,0.0324258,0.0185636,0.0277723,0.0132673,0.0131203,0.0388742,0.0510965,0.0193448,0.0114081,0,0,0.0969838,0,0.0385963
90,0.0186698,0,0,0,0,0.0181559,0,0,0,0,0,0,0.0400295,0.0278314,0.0368979,0.0140027,0,0,0.011016,0,0.0337807,0.00649823,0.0383376,0.0375496,0.0125221,0.01985,0.0346148,0.0318921,0.0207535,0.0224703,0.0211099,0.00980886,0.0144235,0.0118516,0.0175747,0.0419514,0.0143338,0.00943645,0.0176942,0.0306827,0.0190444,0.0159021,0.0200855,0,0,0.0194134,0,0.0303852,0.0338089,0.0389642,0.0256103,0.0176879,0.0424652,0.0308822,0.0349231,0,0.0248489,0.0185791,0.0306099,0.0323932,0.0185999,0.0277807,0.0131086,0.0132086,0.0388425,0.0512688,0.0181568,0.0101402,0,0,0.097087,0,0.0358343
91,0.0173586,0,0,0,0,0.0171003,0,0,0,0,0,0,0.0401794,0.0268137,0.0368805,0.013966,0,0,0.00776987,0,0.033075,0.00384939,0.0383097,0.0374103,0.0125511,0.0199466,0.0347644,0.0325434,0.0209077,0.0225518,0.0211954,0.00983606,0.0144113,0.0117743,0.0176046,0.0419216,0.0155655,0.00817144,0.0177707,0.0306332,0.0191491,0.0158781,0.0190871,0,0,0.0192748,0,0.0304004,0.0336577,0.0388539,0.0256691,0.0177725,0.0424211,0.031124,0.0353609,0,0.0250945,0.0186518,0.0305988,0.0324088,0.0185739,0.0277898,0.0130691,0.0131581,0.0380623,0.0513731,0.0172395,0.00900053,0,0,0.0973004,0,0.0326987
