Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x71,x72,x73
17,0.0111324,0,0,0,0,0.00517712,0,0,0,0,0,0,0.0323263,0.0345077,0.0273599,0.0186165,0,0,0.032028,0,0.0317645,0.0402641,0.0392155,0.0248599,0.00312612,0.0123291,0.0262775,0.00931916,0.0197791,0.0194775,0.0165944,0.00832877,0.0125657,0.0119674,0.0149858,0.0347515,0.0224301,0,0.0397131,0.0129424,0.0392055,0.011706,0.0140691,0.0119901,0,0,0.0467792,0,0.0376753,0.0354443,0.0378414,0.00762131,0.0139756,0.00787499,0.0245266,0.0166952,0.0125121,0.0134761,0.0106533,0.0117418,0.00450455,0.0285959,0.00832332,0.00669047,0.0141101,0.0180944,0.0258011,0.02916,0.004359,0.010373,0,0,0
18,0.0111401,0,0,0,0,0.00523691,0,0,0,0,0,0,0.0316896,0.0343727,0.0266433,0.0187825,0,0,0.0317336,0,0.0316412,0.0399665,0.0393122,0.0246955,0.00305422,0.0121968,0.0265353,0.00918941,0.0192241,0.0192764,0.0161338,0.00846836,0.0124262,0.0119213,0.014694,0.034002,0.022256,0,0.0395583,0.0127353,0.0392449,0.0114503,0.0143063,0.0121305,0,0,0.0468713,0,0.0376987,0.0354952,0.0378386,0.0073154,0.0140724,0.00805856,0.0250572,0.016726,0.012376,0.013464,0.0104132,0.0115148,0.00468262,0.0287816,0.00838365,0.00665358,0.0139605,0.0180896,0.0260587,0.0292966,0.00422023,0.0104565,0,0,0
19,0.0111694,0,0,0,0,0.0053531,0,0,0,0,0,0,0.0309585,0.0343268,0.0261575,0.0189004,0,0,0.0315418,0,0.0315934,0.0397774,0.0393841,0.0246437,0.00297883,0.0120894,0.026785,0.00910084,0.0185781,0.0188877,0.0156382,0.00862064,0.0123321,0.0119204,0.0143828,0.033193,0.0224852,0,0.0395135,0.0125275,0.0392635,0.0111012,0.0143554,0.0122399,0,0,0.0469082,0,0.0377031,0.035423,0.0378728,0.00694131,0.0141394,0.00820701,0.025623,0.0167675,0.0121786,0.0133461,0.010045,0.0112949,0.00493982,0.0288245,0.0084112,0.00674267,0.0137378,0.018019,0.0262524,0.0293773,0.00413846,0.0105077,0,0,0
20,0.0111732,0,0,0,0,0.00552059,0,0,0,0,0,0,0.0302016,0.0343234,0.025844,0.0189667,0,0,0.0315385,0,0.031592,0.0397114,0.0394119,0.0246678,0.00291524,0.0120071,0.0270682,0.00905495,0.0178096,0.0185036,0.0150967,0.00875584,0.0122191,0.0119821,0.0140645,0.0323248,0.0222593,0,0.0395371,0.0123303,0.0392332,0.0107396,0.0143241,0.0123501,0,0,0.0467971,0,0.0376608,0.0353221,0.0378557,0.00653891,0.0141286,0.00845219,0.0261585,0.0168497,0.0120147,0.0131691,0.00967417,0.0110291,0.00535734,0.0287417,0.00842669,0.00702917,0.0135089,0.0178302,0.0263721,0.0294182,0.00411049,0.0105728,0,0,0
21,0.0111542,0,0,0,0,0.00562815,0,0,0,0,0,0,0.0294045,0.0343041,0.0254152,0.0190364,0,0,0.031627,0,0.0315738,0.0396641,0.0394469,0.0248892,0.0028831,0.0120274,0.0273512,0.00898424,0.0171024,0.0183124,0.0145971,0.00900744,0.012167,0.0119752,0.0137386,0.0314925,0.0218417,0,0.039552,0.0120076,0.0392132,0.0104334,0.0142959,0.0124719,0,0,0.0465839,0,0.0376146,0.0351125,0.037779,0.00627064,0.0140717,0.00876171,0.0266288,0.0169742,0.0118832,0.0130863,0.00934426,0.0108151,0.00575847,0.0286036,0.00841894,0.00731506,0.0132885,0.0175996,0.0265618,0.0294744,0.00412301,0.0106475,0,0,0
22,0.0112348,0,0,0,0,0.00571046,0,0,0,0,0,0,0.0285668,0.0342713,0.0250794,0.0190712,0,0,0.0317506,0,0.0315476,0.0396749,0.039536,0.0255792,0.00285858,0.0123096,0.0276165,0.00894114,0.0166883,0.0183769,0.0143871,0.00937804,0.0123424,0.0120422,0.0133836,0.0307673,0.0215522,0,0.0395817,0.0115668,0.0392782,0.0100866,0.0143479,0.0126443,0,0,0.0462241,0,0.0376013,0.0349548,0.0377547,0.00632239,0.0140511,0.00905153,0.0270369,0.0170947,0.0115296,0.0130556,0.00905943,0.010568,0.00605177,0.0284236,0.00837394,0.00742209,0.0129854,0.0174177,0.0272738,0.0294953,0.004113,0.0107881,0,0,0
23,0.0113252,0,0,0,0,0.0057988,0,0,0,0,0,0,0.0275322,0.0342215,0.0246715,0.0191243,0,0,0.0319399,0,0.0315152,0.0397481,0.0396934,0.026006,0.00283737,0.0125893,0.0278286,0.00895236,0.0164057,0.018463,0.0142155,0.00976618,0.0125775,0.0121259,0.0130405,0.0299531,0.021772,0,0.0396246,0.0114396,0.0393487,0.0100166,0.0145378,0.0127568,0,0,0.0457586,0,0.0375786,0.034718,0.0378792,0.00646658,0.0140962,0.00922825,0.027384,0.0172382,0.0111019,0.0130996,0.00885008,0.0103205,0.0063084,0.0283519,0.00838029,0.00753432,0.012931,0.0171657,0.028483,0.0293178,0.0040547,0.0109009,0,0,0
24,0.0113293,0,0,0,0,0.00587237,0,0,0,0,0,0,0.0268468,0.0341884,0.0242329,0.0191425,0,0,0.0320663,0,0.0314897,0.0397543,0.03979,0.0265146,0.00283673,0.0129148,0.0279721,0.00903683,0.016242,0.0187412,0.0141112,0.0101583,0.0128361,0.0122743,0.0127364,0.0290855,0.0222165,0,0.0395881,0.0113636,0.0393327,0.0100867,0.0146327,0.0128049,0,0,0.0457477,0,0.0376386,0.0347347,0.0379206,0.0066989,0.0141196,0.00938268,0.027697,0.0173591,0.0107621,0.0131542,0.00859229,0.0100938,0.00651068,0.0284336,0.00839435,0.00758394,0.0129394,0.0169644,0.027224,0.0291257,0.00393824,0.0109533,0,0,0
25,0.0113223,0,0,0,0,0.00597191,0,0,0,0,0,0,0.0264104,0.0341715,0.0238808,0.0190918,0,0,0.0321907,0,0.0314758,0.0397384,0.0397993,0.0276372,0.00285933,0.0132093,0.0281319,0.00911691,0.0161108,0.0192509,0.0141062,0.010537,0.0131848,0.0123146,0.0125224,0.0283603,0.0223728,0,0.039567,0.0111873,0.0393238,0.0101826,0.0146197,0.0128317,0,0,0.0457321,0,0.037663,0.0347456,0.0378635,0.00709373,0.0141401,0.00957063,0.027892,0.0174177,0.0104475,0.0132224,0.00838463,0.00984695,0.00653898,0.0285196,0.00838403,0.00751905,0.0128753,0.0167534,0.0267146,0.0289158,0.00379254,0.0110033,0,0,0
26,0.0113929,0,0,0,0,0.00609227,0,0,0,0,0,0,0.0260954,0.0341948,0.0238718,0.0190316,0,0,0.032407,0,0.0314947,0.0397703,0.0397658,0.0279471,0.00287736,0.0137209,0.0284092,0.0091787,0.0161761,0.0197636,0.014353,0.0109858,0.013568,0.0123397,0.0123298,0.028132,0.0223307,0,0.0396292,0.0108862,0.0393987,0.0102793,0.0146776,0.012919,0,0,0.0454852,0,0.0376709,0.0346125,0.0377133,0.0075684,0.014151,0.00976361,0.0280516,0.0173798,0.010116,0.0132898,0.00820349,0.0096039,0.00651503,0.0285459,0.00835566,0.00743908,0.0126806,0.0166298,0.0272901,0.0287327,0.00361706,0.0110964,0,0,0
