Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x71,x72,x73
37,0.0109787,0,0,0,0,0.00563007,0,0,0,0,0,0,0.028276,0.0337512,0.0265309,0.0186509,0,0,0.0310875,0,0.0309817,0.038209,0.0392981,0.0296666,0.00262664,0.0154539,0.0287878,0.00999661,0.0186742,0.0220838,0.0174495,0.0118959,0.0145635,0.0116481,0.0134733,0.0300304,0.020993,0,0.0388778,0.00777422,0.039595,0.00857478,0.0148545,0.011946,0,0,0.0455762,0,0.0378578,0.035511,0.0371374,0.00731723,0.0139899,0.0119312,0.028695,0.0154921,0.00941624,0.0147027,0.00781722,0.00891632,0.0071529,0.0282317,0.00849476,0.00721476,0.0106819,0.0177019,0.0271766,0.0285336,0.00172382,0.0103376,0,0,0
38,0.0108777,0,0,0,0,0.00565144,0,0,0,0,0,0,0.0287053,0.0337522,0.0271698,0.0187648,0,0,0.0308623,0,0.0309612,0.038131,0.0396665,0.0280958,0.00268931,0.0152963,0.0289036,0.00997533,0.0189223,0.021984,0.0176121,0.0117588,0.0146619,0.0118368,0.013546,0.0305098,0.0208553,0,0.0388364,0.00805582,0.0395893,0.00859848,0.0147898,0.0118325,0,0,0.0452918,0,0.0378244,0.0353475,0.0372615,0.00705745,0.0138713,0.0118325,0.0286195,0.0153812,0.00933693,0.0145384,0.00785944,0.00887748,0.00736082,0.0281507,0.00858002,0.00751826,0.0107993,0.0177202,0.0278991,0.0284531,0.00171912,0.0102333,0,0,0
39,0.010809,0,0,0,0,0.00567898,0,0,0,0,0,0,0.028738,0.0337445,0.0271326,0.0188537,0,0,0.030632,0,0.0309279,0.0380145,0.0400307,0.0270677,0.00280299,0.0153677,0.0289534,0.0100101,0.0190746,0.0218727,0.0178208,0.0117129,0.0148422,0.0119211,0.0136398,0.0308048,0.0207269,0,0.0388082,0.00825553,0.039594,0.0086676,0.0147691,0.0117501,0,0,0.045209,0,0.0378647,0.0351666,0.0373336,0.00687018,0.0139177,0.0117156,0.0284917,0.0152969,0.00928488,0.0143783,0.00782396,0.00886664,0.00752417,0.0281698,0.00865,0.00773899,0.0108675,0.0179243,0.027682,0.0284337,0.00171606,0.0101361,0,0,0
40,0.0107675,0,0,0,0,0.00571545,0,0,0,0,0,0,0.0293846,0.0337316,0.0266659,0.018865,0,0,0.0303977,0,0.030891,0.0378974,0.0403398,0.02718,0.00291317,0.0155636,0.0288353,0.0100748,0.0189496,0.02156,0.0177476,0.0115653,0.0147688,0.0117592,0.0138559,0.0319163,0.0206812,0,0.0388375,0.00838811,0.0396529,0.00871416,0.0147095,0.0116488,0,0,0.0451034,0,0.037897,0.0349793,0.0374186,0.00674936,0.0140712,0.0116139,0.0282447,0.0152234,0.00929071,0.0142227,0.00778651,0.00894859,0.00759664,0.0282642,0.0086591,0.00787975,0.010855,0.0179849,0.0283474,0.0284418,0.00172133,0.0100395,0,0,0
41,0.0106916,0,0,0,0,0.00571723,0,0,0,0,0,0,0.0306657,0.0337035,0.0268417,0.0188814,0,0,0.0302086,0,0.0308454,0.0378535,0.0407103,0.0277527,0.00302627,0.0154103,0.0286309,0.0101466,0.018517,0.0206837,0.0172959,0.0112629,0.0145342,0.0115166,0.0141383,0.0336023,0.0205739,0,0.0389358,0.00851658,0.0396141,0.00878314,0.0147617,0.011504,0,0,0.0450581,0,0.0378932,0.0349521,0.0374172,0.00670821,0.0141531,0.0115953,0.027908,0.0151327,0.00937076,0.0141238,0.00778373,0.00912006,0.0075096,0.0283552,0.00861729,0.00783504,0.0109169,0.0180086,0.0280205,0.028434,0.00175573,0.00991205,0,0,0
42,0.0106505,0,0,0,0,0.00566311,0,0,0,0,0,0,0.0316968,0.0336923,0.0273983,0.018916,0,0,0.0300801,0,0.0308115,0.0378889,0.0410489,0.0275876,0.00308713,0.0151737,0.0283696,0.0102588,0.017917,0.0197291,0.0168922,0.010846,0.0142574,0.0115412,0.0142843,0.034858,0.0204646,0,0.0390354,0.00855041,0.0395941,0.00879463,0.0148265,0.011404,0,0,0.0450209,0,0.0378576,0.0349834,0.0375146,0.00661252,0.0142691,0.0116344,0.0275998,0.0150794,0.00945741,0.0140875,0.00782567,0.00929864,0.00734794,0.0284776,0.00855643,0.00764528,0.0108894,0.0179301,0.0285939,0.0284749,0.0018231,0.00982512,0,0,0
43,0.0106645,0,0,0,0,0.00555692,0,0,0,0,0,0,0.0323594,0.0336766,0.0277484,0.0190121,0,0,0.0299526,0,0.0307726,0.0379634,0.0413128,0.0268818,0.0030864,0.0151832,0.0280253,0.0104104,0.0176051,0.0193075,0.0169606,0.010518,0.0140841,0.0116727,0.0143513,0.0355186,0.0203876,0,0.0390807,0.00850204,0.0395086,0.00873826,0.0148202,0.011361,0,0,0.0453308,0,0.0378694,0.0351328,0.0377331,0.00642923,0.0142981,0.0117261,0.0274394,0.0150886,0.00956534,0.0140285,0.00800306,0.00941876,0.00717098,0.0285708,0.00850837,0.00738378,0.0107505,0.0179418,0.0273341,0.0286217,0.00189155,0.00982046,0,0,0
44,0.010803,0,0,0,0,0.0054464,0,0,0,0,0,0,0.0330801,0.033679,0.0280602,0.0193463,0,0,0.0298438,0,0.0307467,0.0379801,0.0416097,0.0268014,0.00305232,0.0153861,0.0277302,0.0105951,0.0178573,0.0195248,0.0174364,0.0103423,0.0139067,0.0116103,0.0145591,0.0359863,0.0203315,0,0.039133,0.00858724,0.0394633,0.00865803,0.0148413,0.0113579,0,0,0.045633,0,0.0378608,0.0352236,0.0379594,0.00611697,0.0142912,0.0118953,0.0273995,0.0150706,0.00968403,0.0139225,0.00811708,0.00950386,0.00725929,0.0285758,0.00853442,0.00737639,0.0106514,0.01805,0.026941,0.0287748,0.00196228,0.00991323,0,0,0
45,0.0109951,0,0,0,0,0.00540507,0,0,0,0,0,0,0.0336661,0.0336784,0.028481,0.0196958,0,0,0.0297529,0,0.0307146,0.0379572,0.0417826,0.0272013,0.00301368,0.0156054,0.0275277,0.0107733,0.018525,0.0198579,0.0180536,0.0102306,0.0137234,0.0113884,0.0148504,0.0364377,0.0202105,0,0.0392264,0.00866245,0.0394998,0.00858038,0.0150804,0.0113523,0,0,0.0457537,0,0.0378459,0.0352665,0.0381799,0.00585664,0.0142511,0.0121423,0.0274048,0.0150773,0.00983438,0.0139361,0.00808272,0.00961782,0.00745626,0.0285396,0.00856555,0.00748636,0.0105624,0.0181228,0.0275674,0.0289131,0.00201227,0.0100382,0,0,0
46,0.0111187,0,0,0,0,0.00540855,0,0,0,0,0,0,0.0342056,0.0336631,0.0288622,0.0199445,0,0,0.0296821,0,0.0306683,0.0379196,0.0418371,0.0275465,0.00301829,0.015687,0.0274471,0.0109095,0.0193468,0.0201132,0.0185856,0.0100855,0.0135415,0.0112552,0.015121,0.036803,0.0200544,0,0.0393225,0.00849429,0.0395518,0.00840058,0.0153578,0.0112785,0,0,0.0457367,0,0.0378167,0.0352263,0.0383246,0.00563577,0.0140737,0.0124552,0.0274312,0.0150748,0.0100107,0.0141562,0.00812725,0.009785,0.00746252,0.0284511,0.00853493,0.00736057,0.0103751,0.0180646,0.0287949,0.0289849,0.00199854,0.0101131,0,0,0
47,0.011114,0,0,0,0,0.00540491,0,0,0,0,0,0,0.0344699,0.0336347,0.0290057,0.0200867,0,0,0.0296135,0,0.0306146,0.0378736,0.04187,0.0277263,0.00306824,0.0157122,0.0275193,0.0110685,0.020164,0.0203624,0.0190209,0.00998225,0.0135069,0.0112571,0.0153287,0.0371202,0.0199035,0,0.0394078,0.00829364,0.0395064,0.00815064,0.0155412,0.0111216,0,0,0.0461167,0,0.0378611,0.0353719,0.0383928,0.00534585,0.0139426,0.0128026,0.0275885,0.0149821,0.010111,0.0141689,0.00815079,0.00986009,0.00754438,0.0282911,0.00852261,0.00737592,0.0101402,0.0182014,0.0275446,0.0290247,0.00192374,0.0100917,0,0,0
48,0.0110755,0,0,0,0,0.00542985,0,0,0,0,0,0,0.0347962,0.0335994,0.0289594,0.0201019,0,0,0.0294385,0,0.0305537,0.0378181,0.0418828,0.0276782,0.00317128,0.0156748,0.027657,0.0111901,0.0209103,0.0206101,0.0193386,0.00992128,0.0135657,0.0113416,0.0154986,0.0374103,0.0196536,0,0.0394604,0.00806838,0.039427,0.00791193,0.0156363,0.0109383,0,0,0.0464763,0,0.0378397,0.0355183,0.0384185,0.00505173,0.0138689,0.013122,0.0278013,0.0148588,0.010214,0.014127,0.00814216,0.00989482,0.00774615,0.0281488,0.00851737,0.0075496,0.00988774,0.0184058,0.0268835,0.0288845,0.0017451,0.0100082,0,0,0
49,0.0110269,0,0,0,0,0.00549036,0,0,0,0,0,0,0.0350065,0.0335863,0.0288818,0.0200103,0,0,0.0292579,0,0.03051,0.0377769,0.0417791,0.0271708,0.00330179,0.0155961,0.0278468,0.0112456,0.0214837,0.0208018,0.0195886,0.0098837,0.0136695,0.0114548,0.0156292,0.0377645,0.019509,0,0.0394515,0.00778361,0.0394004,0.0076611,0.0156824,0.0107734,0,0,0.0466256,0,0.0377845,0.0354871,0.0383919,0.00476352,0.0138163,0.0133766,0.0280083,0.0147408,0.0102765,0.0141951,0.00814606,0.00996371,0.00788017,0.0280405,0.00849506,0.00761861,0.00960938,0.0187029,0.0271337,0.0287534,0.00143382,0.00991251,0,0,0
50,0.0109155,0,0,0,0,0.00551989,0,0,0,0,0,0,0.0350086,0.0335952,0.0288643,0.0199759,0,0,0.0290827,0,0.0304747,0.037718,0.041651,0.0267415,0.00345782,0.0154426,0.028055,0.0112257,0.0217867,0.0208883,0.0197053,0.00987905,0.0138547,0.0115964,0.0157394,0.0382684,0.019915,0,0.0394106,0.00763907,0.0394233,0.0074911,0.0156832,0.0105684,0,0,0.0467278,0,0.0377511,0.0353521,0.0383494,0.0046427,0.0137729,0.0135571,0.0281564,0.0146159,0.0102593,0.014262,0.00809869,0.00999233,0.00800272,0.0279911,0.00847834,0.00768078,0.00947184,0.0190186,0.0279711,0.0287112,0.00109491,0.0097267,0,0,0
51,0.0107304,0,0,0,0,0.00545666,0,0,0,0,0,0,0.0352019,0.033618,0.0288341,0.0198635,0,0,0.028942,0,0.0304611,0.0376426,0.0414737,0.0264397,0.00358875,0.0151924,0.0282297,0.0111797,0.021851,0.0208313,0.0196017,0.00983454,0.0140038,0.0117143,0.0158196,0.0387676,0.0200499,0,0.0394148,0.00747439,0.0393854,0.00738552,0.0156031,0.0102892,0,0,0.047179,0,0.037783,0.0354023,0.0383784,0.00458977,0.0137633,0.0136962,0.0282514,0.0144688,0.010197,0.0143848,0.00813485,0.00999965,0.00803593,0.0280169,0.00848625,0.00761673,0.00938099,0.0192699,0.0269661,0.0287645,0.000870159,0.00949727,0,0,0
52,0.01054,0,0,0,0,0.00536119,0,0,0,0,0,0,0.0355961,0.0336463,0.0287983,0.0197517,0,0,0.028867,0,0.0304589,0.0376221,0.0413475,0.0262002,0.00366796,0.0149122,0.0283655,0.0110989,0.0217786,0.0206685,0.01936,0.00973263,0.0140678,0.011756,0.0158688,0.0391733,0.0199587,0,0.0395006,0.00739686,0.0393537,0.00736966,0.0154517,0.0100402,0,0,0.0476403,0,0.037792,0.0355636,0.0384935,0.00455745,0.0137624,0.0137038,0.0282816,0.0143641,0.0101439,0.0144743,0.00809798,0.0099662,0.00792763,0.0279609,0.00847808,0.00745491,0.00936471,0.0195699,0.0264164,0.0288581,0.000797465,0.00928826,0,0,0
53,0.010329,0,0,0,0,0.00532123,0,0,0,0,0,0,0.035808,0.0336605,0.0287286,0.0196768,0,0,0.0287847,0,0.0304671,0.0376054,0.0413181,0.0259363,0.00369646,0.0145933,0.0284649,0.0110186,0.0215502,0.0204323,0.0190469,0.0095806,0.0140952,0.0117578,0.0158826,0.0394902,0.0197027,0,0.0396128,0.00754575,0.039338,0.00754391,0.0154303,0.0099289,0,0,0.0479686,0,0.0377643,0.0357415,0.0385775,0.0046678,0.013652,0.0136465,0.0282326,0.0143474,0.0101662,0.0145846,0.00810354,0.00993074,0.00767187,0.0279245,0.00847971,0.00722861,0.00960657,0.0197196,0.0263339,0.0289701,0.000789235,0.00903831,0,0,0
54,0.010187,0,0,0,0,0.00533944,0,0,0,0,0,0,0.0360875,0.0336667,0.0286591,0.0196193,0,0,0.0287045,0,0.0304805,0.0375823,0.0411882,0.0257124,0.00372733,0.0142726,0.0285084,0.0109704,0.0212704,0.0202356,0.0187407,0.00949767,0.0141327,0.0117822,0.015912,0.0398186,0.0192363,0,0.0397076,0.00778943,0.039307,0.00772756,0.0153909,0.00982702,0,0,0.0481425,0,0.0377062,0.0359708,0.0386392,0.00486204,0.0135259,0.0135064,0.0281345,0.0143556,0.0101826,0.0146935,0.00812309,0.00992159,0.0073923,0.0278274,0.00841339,0.00703667,0.00994495,0.0199006,0.0264066,0.0290785,0.000852435,0.00884029,0,0,0
55,0.010131,0,0,0,0,0.00541136,0,0,0,0,0,0,0.0360049,0.0336516,0.0286677,0.0196621,0,0,0.0286202,0,0.0304773,0.0375215,0.0410925,0.0255663,0.00375019,0.0140262,0.0285539,0.0109349,0.0210385,0.0201114,0.0184935,0.00945846,0.0141926,0.0118342,0.0159367,0.0401368,0.0191488,0,0.0397035,0.00801069,0.0392943,0.00783727,0.0153623,0.00976906,0,0,0.0482898,0,0.0376766,0.0361378,0.0386728,0.00494102,0.0134575,0.0133742,0.028015,0.0143954,0.0101861,0.0146147,0.00817747,0.00987221,0.00720994,0.0277654,0.00837561,0.00693658,0.0101786,0.0201934,0.0264953,0.0292449,0.000958857,0.00873409,0,0,0
56,0.010118,0,0,0,0,0.00552579,0,0,0,0,0,0,0.0359199,0.0336184,0.0286769,0.0197673,0,0,0.0285611,0,0.0304567,0.0374339,0.0410674,0.0255198,0.00377613,0.0138677,0.0286025,0.0108867,0.02092,0.0200791,0.0183418,0.00948793,0.0143137,0.0118699,0.0159688,0.0403193,0.0192012,0,0.0396013,0.00802534,0.0393227,0.00785715,0.0153473,0.00974596,0,0,0.0485101,0,0.0376987,0.0363248,0.0386963,0.00495417,0.0134119,0.013253,0.0279586,0.0144459,0.0101802,0.0145806,0.00829713,0.00986998,0.00715222,0.0277359,0.00836432,0.00694031,0.0102295,0.0201707,0.0265367,0.0294043,0.00104907,0.00870743,0,0,0
57,0.0100953,0,0,0,0,0.00561297,0,0,0,0,0,0,0.0360888,0.033611,0.0286543,0.0198727,0,0,0.0285594,0,0.0304598,0.0373089,0.0410533,0.0254544,0.00380669,0.0137366,0.0285975,0.0108328,0.0208159,0.0200529,0.0182108,0.00952287,0.0144366,0.0118899,0.0160082,0.0403605,0.0191782,0,0.0394851,0.0080933,0.0393357,0.00787786,0.0153604,0.00989281,0,0,0.0486935,0,0.0377029,0.036471,0.0386917,0.00499182,0.013411,0.0131202,0.0278657,0.0144945,0.0101459,0.0145959,0.00835615,0.00991088,0.00726665,0.0277527,0.0083753,0.00702215,0.0102948,0.0200564,0.0265243,0.0294584,0.00110704,0.00868726,0,0,0
58,0.0100877,0,0,0,0,0.00570404,0,0,0,0,0,0,0.0362581,0.0336879,0.0286191,0.0199422,0,0,0.0284892,0,0.0305469,0.0372323,0.0410005,0.0254257,0.00380372,0.0136571,0.0284624,0.0108467,0.02069,0.0200368,0.0181018,0.00954388,0.0145132,0.0118808,0.0160414,0.0402698,0.0190419,0,0.0394357,0.00797288,0.0393177,0.0078474,0.0153702,0.010023,0,0,0.0488083,0,0.0376819,0.0364971,0.0387125,0.00501545,0.0134151,0.0130296,0.0276968,0.0145508,0.0100833,0.0146721,0.00843507,0.00994968,0.00726519,0.0277474,0.00838554,0.00702655,0.01023,0.0199934,0.0264195,0.0294527,0.00112586,0.00869883,0,0,0
59,0.0100834,0,0,0,0,0.00586417,0,0,0,0,0,0,0.036189,0.0337657,0.0286663,0.0199706,0,0,0.0282974,0,0.0306343,0.0371784,0.0409151,0.0254441,0.00378332,0.0136133,0.0282413,0.0109074,0.0205321,0.02004,0.0179954,0.00957908,0.0146018,0.0118535,0.0160652,0.040226,0.0188189,0,0.0393947,0.00792255,0.0392996,0.0078583,0.015364,0.0101171,0,0,0.0489007,0,0.0376641,0.036459,0.0387551,0.00509854,0.0134233,0.0129747,0.0275098,0.014625,0.0101765,0.014786,0.00848242,0.0099438,0.00715545,0.0277825,0.00839591,0.00702543,0.0102617,0.0199672,0.026282,0.0294306,0.00111601,0.008737,0,0,0
60,0.010058,0,0,0,0,0.00601269,0,0,0,0,0,0,0.0363421,0.0337426,0.0287824,0.01997,0,0,0.0279979,0,0.0306153,0.0369864,0.0408159,0.0255306,0.0037541,0.013593,0.0279821,0.0109213,0.0204698,0.0200968,0.0179682,0.00958813,0.0146522,0.0118708,0.0161202,0.04022,0.0187859,0,0.0392056,0.0079875,0.0392861,0.00791154,0.0153436,0.0101968,0,0,0.0490142,0,0.0376585,0.0364613,0.0387817,0.00526041,0.013395,0.0129203,0.0273743,0.0147052,0.0101786,0.0149304,0.00849953,0.0099811,0.00707117,0.0278154,0.00838927,0.00700381,0.0103918,0.0199792,0.0261562,0.029363,0.00113185,0.00875806,0,0,0
61,0.0100273,0,0,0,0,0.0061349,0,0,0,0,0,0,0.0364417,0.0337547,0.0288825,0.020001,0,0,0.0277224,0,0.0306221,0.036787,0.0407146,0.0256019,0.00373216,0.0135907,0.0278293,0.0109558,0.0205458,0.0201571,0.0179862,0.00956905,0.014688,0.0118891,0.0161756,0.0402426,0.0191072,0,0.0389696,0.00804196,0.0392776,0.00796958,0.0153329,0.0102745,0,0,0.0491232,0,0.0376611,0.0364872,0.0385799,0.00538033,0.0133627,0.0129116,0.0272991,0.0147935,0.00955134,0.0148715,0.00848158,0.0100051,0.00705651,0.0277857,0.00840326,0.00697771,0.0105049,0.0198879,0.0260401,0.02929,0.00121442,0.00874035,0,0,0
62,0.0100508,0,0,0,0,0.0062844,0,0,0,0,0,0,0.036401,0.0337764,0.0289547,0.0200219,0,0,0.0274834,0,0.0306524,0.0365798,0.0406853,0.0256841,0.00372513,0.0135785,0.0277954,0.0110161,0.0206559,0.020141,0.0180189,0.00956471,0.0147445,0.0119209,0.0162051,0.0402962,0.018802,0,0.0386853,0.00806965,0.0392564,0.00803522,0.0153021,0.0103918,0,0,0.0491791,0,0.0376413,0.0365166,0.0385034,0.0055177,0.0133139,0.0129119,0.0273328,0.0148838,0.00831102,0.0148782,0.00846885,0.00999259,0.00696142,0.0277479,0.00838268,0.00688185,0.0106275,0.0199189,0.0259849,0.0292749,0.00137518,0.00879128,0,0,0
63,0.0100618,0,0,0,0,0.00641953,0,0,0,0,0,0,0.0362123,0.033766,0.0289618,0.0199892,0,0,0.0271658,0,0.0306575,0.0362676,0.0405911,0.0257998,0.00373583,0.0135497,0.0277263,0.0111224,0.02077,0.0201353,0.0180691,0.0095816,0.0147878,0.0119533,0.0162253,0.0404015,0.0182631,0,0.038293,0.00818567,0.0392442,0.00810564,0.0152563,0.0104521,0,0,0.0492088,0,0.0376197,0.0365472,0.0385378,0.00566124,0.0132932,0.0129158,0.0273702,0.0149023,0.00826351,0.0149948,0.00849794,0.00998454,0.00684,0.027743,0.00834375,0.00681323,0.0108085,0.0199813,0.0260021,0.0293558,0.00153757,0.00884348,0,0,0
64,0.0100399,0,0,0,0,0.00658101,0,0,0,0,0,0,0.0360783,0.0338015,0.028899,0.0199969,0,0,0.0267342,0,0.0307066,0.0359058,0.0405482,0.0258877,0.00375257,0.0135106,0.027683,0.0112714,0.0208381,0.0200869,0.0181022,0.00958814,0.0147949,0.0120078,0.0162268,0.0405339,0.0180563,0,0.0378559,0.00846706,0.0392477,0.00827518,0.0153159,0.0104317,0,0,0.0492429,0,0.0376172,0.036614,0.0385833,0.00594103,0.0133182,0.0129039,0.0273752,0.0148296,0,0.0148901,0.00858052,0.0100983,0.00666944,0.0276958,0.00827607,0.00675134,0.0111503,0.020006,0.0260716,0.0294473,0.00165547,0.00885276,0,0,0
65,0.0100047,0,0,0,0,0.00673515,0,0,0,0,0,0,0.0360413,0.0339576,0.0288604,0.0200038,0,0,0.0263496,0,0.030871,0.0355414,0.0405033,0.0257093,0.00371686,0.0135336,0.0276313,0.0114787,0.020906,0.0200858,0.0181301,0.00958112,0.0147822,0.0120576,0.0162188,0.0405857,0.0180982,0,0.0374165,0.00841873,0.0392472,0.00821319,0.0152756,0.0103447,0,0,0.0492619,0,0.0376071,0.0366662,0.0386165,0.00582874,0.0132635,0.0129715,0.0273737,0.0146868,0.00916107,0.0148782,0.0085253,0.0100066,0.00678712,0.0276772,0.00828952,0.00674512,0.0110346,0.0202014,0.0261956,0.0295286,0.00170566,0.00880097,0,0,0
66,0.0100005,0,0,0,0,0.00687834,0,0,0,0,0,0,0.0363988,0.0341163,0.0287559,0.0200071,0,0,0.0259667,0,0.0310458,0.0351018,0.0404398,0.0256713,0.00373054,0.0135826,0.027616,0.0117175,0.0209664,0.0201809,0.0181425,0.00960985,0.0147933,0.012041,0.0162311,0.0405979,0.0181306,0,0.0368611,0.00835723,0.0392422,0.00824545,0.0152514,0.0102453,0,0,0.0492512,0,0.0375962,0.0367041,0.0386562,0.0058831,0.013198,0.0130525,0.0274362,0.0145476,0.00895318,0.0148695,0.00856758,0.0100494,0.00678102,0.0276078,0.00830084,0.00666693,0.0109638,0.0205227,0.0263081,0.0295973,0.0017107,0.0087833,0,0,0
67,0.0100556,0,0,0,0,0.00702451,0,0,0,0,0,0,0.0371705,0.0341253,0.0286301,0.0199322,0,0,0.0254247,0,0.0310831,0.0345299,0.0403678,0.0254875,0.00377997,0.013671,0.0275627,0.0119452,0.0210213,0.0201809,0.0181738,0.0096465,0.014806,0.0120538,0.0162497,0.0406338,0.0179458,0,0.0360696,0.00830016,0.0392313,0.00826572,0.0152991,0.0101428,0,0,0.0492514,0,0.0375994,0.0367771,0.038667,0.00594874,0.0131652,0.013111,0.0274041,0.0144553,0.00896043,0.0148395,0.00857821,0.0100127,0.00677611,0.027591,0.00833176,0.0067006,0.0109402,0.0204272,0.0263732,0.0296567,0.00174333,0.00876561,0,0,0
68,0.0100615,0,0,0,0,0.0071457,0,0,0,0,0,0,0.0374172,0.034004,0.0285686,0.0199054,0,0,0.0247398,0,0.0310087,0.0338046,0.0403678,0.0255241,0.00382396,0.013756,0.0274984,0.0121192,0.0210568,0.020112,0.0182198,0.00970895,0.0149158,0.0120829,0.0162536,0.0407955,0.0175402,0,0.0352473,0.0082331,0.0392084,0.00826722,0.015207,0.0100018,0,0,0.0492442,0,0.0375937,0.0368107,0.0386643,0.00594798,0.0131409,0.0131249,0.0273181,0.0143522,0.00941994,0.0147846,0.00852537,0.00989295,0.0068086,0.0276098,0.00834094,0.00673798,0.010861,0.0204843,0.0263643,0.0296803,0.00180046,0.00871074,0,0,0
69,0.0100414,0,0,0,0,0.00724451,0,0,0,0,0,0,0.0372443,0.0339308,0.0286465,0.0199294,0,0,0.0240946,0,0.0309883,0.0331354,0.0403229,0.0254104,0.00385156,0.0138285,0.0274059,0.0122736,0.0210485,0.0200585,0.0182994,0.00977232,0.0150562,0.0121129,0.0162274,0.0410688,0.0171297,0,0.0345613,0.00818318,0.0391864,0.00824331,0.0151871,0.00985574,0,0,0.0492526,0,0.0375934,0.0367885,0.0386198,0.00592895,0.0130942,0.0131189,0.0272447,0.0142107,0.0102171,0.0146658,0.00848704,0.00986971,0.00679965,0.0276052,0.00835445,0.00671556,0.0108079,0.0206552,0.0262682,0.0296492,0.00192842,0.00865363,0,0,0
70,0.0100656,0,0,0,0,0.00739828,0,0,0,0,0,0,0.0372158,0.0339269,0.0286999,0.0199297,0,0,0.0235057,0,0.0310286,0.0326031,0.0403271,0.0250469,0.00386268,0.0139247,0.0273112,0.012426,0.0209619,0.0200428,0.0183806,0.00979756,0.0151759,0.01214,0.0161652,0.0412948,0.0168721,0,0.0339122,0.00821777,0.0391881,0.00824561,0.0151332,0.00973358,0,0,0.0493329,0,0.0376303,0.0367889,0.0386155,0.00596878,0.0130857,0.0130817,0.0271599,0.014091,0.0101358,0.0145429,0.00850119,0.00994424,0.00670382,0.027626,0.00836029,0.00665206,0.0108116,0.0207338,0.0261067,0.0295726,0.00213377,0.00863893,0,0,0
71,0.0101135,0,0,0,0,0.00766231,0,0,0,0,0,0,0.0373597,0.0339608,0.0286416,0.0199158,0,0,0.0229854,0,0.0310957,0.0321322,0.0403702,0.0248213,0.00386073,0.0139708,0.0272107,0.0126223,0.0209441,0.0200332,0.0184039,0.00977919,0.0152543,0.0121554,0.0161072,0.0414854,0.0165871,0,0.0333006,0.00836748,0.0391928,0.00831957,0.015025,0.00960868,0,0,0.0494591,0,0.0376724,0.0368649,0.0386816,0.00612504,0.0131008,0.0129622,0.0270144,0.0139961,0.00936595,0.0144672,0.00849365,0.0100359,0.00658784,0.0277456,0.00835349,0.00662864,0.010922,0.0207301,0.0259113,0.0294879,0.00239638,0.00861992,0,0,0
72,0.0101651,0,0,0,0,0.00785135,0,0,0,0,0,0,0.0374905,0.034019,0.0286049,0.0199402,0,0,0.0225395,0,0.0311754,0.0316847,0.0403675,0.0247131,0.0038708,0.0140153,0.0271345,0.0128575,0.0209602,0.0199926,0.0184586,0.00978163,0.0153273,0.0121679,0.0160799,0.0416872,0.0164193,0,0.0327309,0.00865104,0.0391632,0.00854967,0.0149904,0.00949628,0,0,0.0495252,0,0.0376712,0.0368954,0.0387472,0.00640415,0.0131333,0.0127916,0.0269069,0.0138486,0.00940136,0.0144542,0.00850615,0.0100707,0.00654619,0.0279598,0.0084092,0.00666473,0.0111881,0.0207071,0.0257237,0.0294373,0.00270737,0.00857509,0,0,0
73,0.0101877,0,0,0,0,0.00798751,0,0,0,0,0,0,0.0375181,0.0339805,0.0286424,0.0199759,0,0,0.0220114,0,0.031158,0.0311592,0.0403678,0.0246232,0.00385785,0.0140936,0.027,0.0130566,0.0209432,0.0199263,0.0185558,0.00983817,0.0153924,0.0121793,0.0160575,0.0418621,0.0162119,0,0.0320849,0.00890703,0.0391319,0.00880446,0.0149214,0.00940148,0,0,0.0494866,0,0.0376632,0.036867,0.0388114,0.00667132,0.0131411,0.0125733,0.0268687,0.0137264,0.0101586,0.0144105,0.00851478,0.0100492,0.00650593,0.0280394,0.00848698,0.00672129,0.0113899,0.020913,0.0256084,0.0294221,0.00301368,0.00857378,0,0,0
74,0.0101847,0,0,0,0,0.00812739,0,0,0,0,0,0,0.0375245,0.0339388,0.0286752,0.0199463,0,0,0.0215017,0,0.0311356,0.0306799,0.0403336,0.0245348,0.00386235,0.0141734,0.0267938,0.0132121,0.0208387,0.019902,0.018626,0.00988331,0.0154833,0.0121744,0.0160373,0.0420146,0.0158652,0,0.0315051,0.00907825,0.0390723,0.00895945,0.0148269,0.00927124,0,0,0.0493406,0,0.0376211,0.0367397,0.0388232,0.00690279,0.0131852,0.012325,0.0267473,0.0136257,0.0104033,0.0143525,0.00850256,0.0100356,0.00639011,0.0280081,0.00849601,0.00673264,0.0115717,0.0210493,0.0255247,0.0293949,0.00327406,0.00857091,0,0,0
