Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x71,x72,x73,x75,x76,RTHI
96,0.00724318,0,0,0,0,0.0127603,0,0,0,0.0342946,0.0233119,0.0279248,0.0217178,0,0,0.0246822,0,0.0322539,0.0113355,0.0398508,0.0263727,0.00630181,0.0117023,0.0344655,0.0437792,0.0172977,0.01602,0.0141773,0.0078706,0.0132315,0.0121699,0.0166685,0.0369799,0.0372401,0.0135193,0.0069332,0.0123374,0.00345278,0.00966071,0.0183287,0.00979349,0,0,0.00970572,0,0,0.0120675,0.0379665,0.00746689,0.0140676,0.0138417,0.0322419,0.01949,0.0149985,0.00855681,0.0126611,0.00787036,0.0307645,0.00863908,0.00820094,0.0126432,0.0165672,0,0.0147101,0.0130593,0.00482813,0,0,0,0,0,0.0121528
97,0.00733091,0,0,0,0,0.0126966,0,0,0,0.0343728,0.0234576,0.0279598,0.0217508,0,0,0.0249959,0,0.0319523,0.0115286,0.0399051,0.0264068,0.00633252,0.0117216,0.0345879,0.04351,0.0173081,0.0159512,0.0142022,0.007916,0.0132945,0.0121867,0.0166862,0.0370993,0.0373373,0.0128819,0.00714223,0.0122005,0.00341929,0.00957102,0.0183645,0.0099312,0,0,0.00975757,0,0,0.0120091,0.0379454,0.0074055,0.014091,0.0139417,0.0323603,0.0195357,0.0150016,0.0085348,0.01268,0.00796766,0.0307718,0.00864707,0.00831219,0.0125001,0.0166042,0,0.0146052,0.0129912,0.00478199,0,0,0,0,0,0.0121661
98,0.00733404,0,0,0,0,0.0125173,0,0,0,0.0344069,0.0233861,0.0279451,0.0217559,0,0,0.0253098,0,0.0318664,0.0115841,0.0399168,0.0265945,0.00636247,0.0117402,0.0347214,0.0433771,0.0173322,0.0159955,0.014229,0.00792259,0.0133729,0.0121923,0.0167094,0.0371966,0.0373058,0.0127647,0.00715241,0.0121207,0.00338443,0.00948472,0.0183862,0.0100148,0,0,0.00984594,0,0,0.0119795,0.0379352,0.00721293,0.0140153,0.0139969,0.0324745,0.0197199,0.0150084,0.00851226,0.012671,0.00796952,0.0307238,0.00865263,0.00826938,0.0124568,0.0167478,0,0.0143929,0.0128138,0.00478282,0,0,0,0,0,0.0118735
99,0.00725462,0,0,0,0,0.0122893,0,0,0,0.0344567,0.0230976,0.0279042,0.0217774,0,0,0.0255307,0,0.0320304,0.0115071,0.0399222,0.0269024,0.00638565,0.0117196,0.034866,0.0432559,0.0173379,0.0159891,0.0142227,0.00795121,0.0133979,0.0121931,0.0167239,0.0372838,0.0371082,0.013268,0.00690872,0.0120833,0.00336291,0.00951472,0.018443,0.00999411,0,0,0.00987125,0,0,0.0119615,0.03792,0.0072623,0.0139413,0.0140068,0.0326411,0.0200056,0.014999,0.00845843,0.0126493,0.00801397,0.0307256,0.00868115,0.00834605,0.0123869,0.0169178,0,0.0142278,0.0126161,0.00486439,0,0,0,0,0,0.0116911
100,0.00719368,0,0,0,0,0.0121213,0,0,0,0.0345575,0.0228376,0.0279269,0.0218073,0,0,0.025627,0,0.0321602,0.0113827,0.0398924,0.0268407,0.00639619,0.0117155,0.034977,0.0432049,0.0173597,0.0159568,0.0142304,0.00800005,0.0133868,0.0122018,0.0167267,0.0373909,0.0369303,0.0138699,0.00659604,0.0120654,0.00336041,0.00945709,0.0184401,0.00996088,0,0,0.00980841,0,0,0.0119402,0.0379073,0.00698677,0.013866,0.0140475,0.032793,0.020267,0.015025,0.00855318,0.012649,0.0079495,0.0306414,0.00867692,0.00822273,0.0124663,0.0170994,0,0.0141233,0.0124715,0.00503836,0,0,0,0,0,0.0116543
101,0.0104345,0,0,0,0,0.0139478,0,0,0,0.0342256,0.027059,0.0277752,0.0216551,0,0,0.0290808,0,0.0270785,0.0166035,0.039878,0.0270433,0.00618572,0.0115539,0.0341868,0.0441649,0.0172403,0.0156572,0.0140734,0.007956,0.0132616,0.0121328,0.0167629,0.0370674,0.0397106,0,0.0116115,0.0119401,0.00346911,0.00938272,0.0182759,0.0125935,0,0,0.010513,0,0,0.0124565,0.037942,0.0066771,0.014138,0.0141481,0.0319579,0.0189727,0.0150682,0.00869228,0.012702,0.00779888,0.0305548,0.00861502,0.00797547,0.0123647,0.0167162,0,0.0140418,0.0129618,0.00606735,0,0,0,0,0,0.0116778
102,0.0104143,0,0,0,0,0.0138466,0,0,0,0.0343676,0.0269902,0.0278519,0.0215778,0,0,0.0290496,0,0.0269643,0.0165355,0.0398719,0.0270473,0.00616371,0.0116396,0.0340747,0.0443733,0.017277,0.0156991,0.0141566,0.00798318,0.0133185,0.0121166,0.0167781,0.0371852,0.0398759,0,0.0115043,0.0119775,0.00353772,0.00945232,0.0182153,0.0124977,0,0,0.0103694,0,0,0.0126183,0.0379324,0.00666906,0.0141585,0.0141131,0.0318154,0.0190308,0.0150781,0.00869909,0.0126886,0.00772421,0.0306152,0.00859321,0.00788447,0.0123811,0.0167863,0,0.0141055,0.0128757,0.00605584,0,0,0,0,0,0.0116889
103,0.00743353,0,0,0,0,0.0119814,0,0,0,0.034824,0.0233464,0.0281177,0.021636,0,0,0.0255034,0,0.0311496,0.011595,0.0398713,0.0267155,0.00632687,0.0118708,0.0346339,0.0438147,0.0174194,0.0160655,0.0143708,0.00807529,0.0134637,0.0121535,0.0167821,0.0376357,0.0373534,0.0130835,0.00704541,0.0120939,0.00355452,0.009559,0.0182922,0.0101504,0,0,0.00943356,0,0,0.0123553,0.0378771,0.00676303,0.0139096,0.0140104,0.0324169,0.0203938,0.0150621,0.00864331,0.0126212,0.00774601,0.0306988,0.00862775,0.00793876,0.0124929,0.0170859,0,0.0142769,0.0121893,0.00484746,0,0,0,0,0,0.0116679
104,0.00735164,0,0,0,0,0.0122052,0,0,0,0.03492,0.0231829,0.0281711,0.0217501,0,0,0.0250683,0,0.0311701,0.0113106,0.0399203,0.0265333,0.00639539,0.0118656,0.0347719,0.0442815,0.0174219,0.0163084,0.0143572,0.00806596,0.0134709,0.0121879,0.0167759,0.0377522,0.0374232,0.013119,0.00687559,0.0120588,0.00362518,0.00950663,0.0184202,0.0102866,0,0,0.00929018,0,0,0.0124224,0.0378795,0.00668871,0.0138835,0.0141,0.0325977,0.0205427,0.0150404,0.00873206,0.0126671,0.00775075,0.0306349,0.00862989,0.00797942,0.0125252,0.0169559,0,0.0142915,0.01247,0.0047307,0,0,0,0,0,0.011655
105,0.00724287,0,0,0,0,0.0123212,0,0,0,0.034929,0.0229796,0.0281354,0.0218054,0,0,0.024843,0,0.0311897,0.011202,0.0399627,0.0267249,0.00641815,0.0118307,0.0348032,0.0445598,0.0174065,0.0163419,0.0143232,0.00806198,0.0134865,0.0121959,0.0168056,0.0377589,0.0374543,0.0131892,0.0067546,0.0120585,0.0036503,0.00945654,0.0185351,0.0103897,0,0,0.00917942,0,0,0.0123935,0.0378701,0.00662593,0.0138921,0.0141701,0.0326695,0.0205977,0.0149408,0.00882011,0.0127343,0.00772572,0.0306005,0.00861276,0.00795453,0.0125765,0.016763,0,0.0142555,0.0126327,0.00467358,0,0,0,0,0,0.0116307
106,0.00719292,0,0,0,0,0.012416,0,0,0,0.0349046,0.0229067,0.0280723,0.0218081,0,0,0.0248238,0,0.0311317,0.0112763,0.0399737,0.0269873,0.00642514,0.0117869,0.0348135,0.0447934,0.0174029,0.0162888,0.0142982,0.00809017,0.0135135,0.0122053,0.0168418,0.0377004,0.037425,0.0132352,0.00682184,0.0119432,0.00365712,0.0093981,0.0185554,0.0104825,0,0,0.00915555,0,0,0.0123359,0.0378896,0.00655346,0.0138695,0.0142322,0.0326762,0.0205787,0.015037,0.00880522,0.0127233,0.00780014,0.0306099,0.00862145,0.0079578,0.0124896,0.0165653,0,0.014176,0.0127713,0.00468644,0,0,0,0,0,0.0117314
107,0.00718376,0,0,0,0,0.0124732,0,0,0,0.0349685,0.0229172,0.028155,0.0217732,0,0,0.0248295,0,0.0310383,0.011395,0.0399786,0.0264105,0.00642921,0.0117947,0.0348125,0.0449942,0.0174125,0.0162932,0.0143359,0.00810274,0.0135452,0.0122102,0.0168317,0.0377406,0.037299,0.0132571,0.00693642,0.0117913,0.00365371,0.00936798,0.0185281,0.0105375,0,0,0.00916373,0,0,0.0122287,0.0379105,0.00661296,0.0138478,0.0142364,0.0326345,0.0206149,0.0150848,0.00873414,0.0126773,0.00790636,0.0305448,0.00861782,0.00804714,0.0122853,0.016409,0,0.0140853,0.0129149,0.00470855,0,0,0,0,0,0.0118468
108,0.0071368,0,0,0,0,0.0124696,0,0,0,0.0350667,0.0228282,0.0282892,0.0217609,0,0,0.0247101,0,0.031078,0.0113554,0.0400041,0.0258549,0.00642685,0.0118462,0.0348072,0.0451506,0.0174057,0.0163361,0.0143982,0.0080928,0.0135638,0.0121984,0.0168139,0.0378409,0.0371054,0.0134166,0.00689359,0.0116853,0.00364703,0.0093968,0.0185186,0.0105415,0,0,0.00914085,0,0,0.012076,0.0379213,0.00692934,0.0138346,0.0141584,0.0326103,0.0207064,0.0150018,0.00861945,0.012612,0.00802801,0.0304128,0.00861312,0.00826129,0.0120283,0.0163504,0,0.0139117,0.0130219,0.00472766,0,0,0,0,0,0.011753
109,0.00711938,0,0,0,0,0.0124838,0,0,0,0.0350696,0.0228542,0.0282601,0.0217824,0,0,0.024577,0,0.0310935,0.01127,0.0400236,0.0263551,0.00642401,0.0118398,0.0347886,0.0453605,0.0173978,0.0163389,0.014395,0.00809395,0.0135574,0.0121587,0.0168451,0.0378271,0.0369425,0.0134441,0.00693577,0.0116442,0.00363413,0.00940606,0.0185286,0.0105712,0,0,0.00908395,0,0,0.0119299,0.0379002,0.00710878,0.0138579,0.0141526,0.0326011,0.020725,0.0149354,0.0085863,0.0125978,0.00808044,0.0303634,0.00862383,0.00838077,0.0119458,0.0163731,0,0.0137579,0.0131103,0.00475356,0,0,0,0,0,0.0119352
110,0.00711629,0,0,0,0,0.0124845,0,0,0,0.0350535,0.022876,0.0282446,0.0217928,0,0,0.0243863,0,0.0311054,0.0111389,0.0400267,0.0267083,0.00642571,0.0118259,0.0347997,0.0456237,0.017413,0.0163398,0.0143807,0.00808743,0.0135853,0.0121546,0.0168748,0.0377941,0.0369363,0.0134895,0.00702152,0.0116147,0.00363372,0.00936601,0.0185293,0.0105864,0,0,0.00895645,0,0,0.0118151,0.0378794,0.00715221,0.0138839,0.014231,0.0326176,0.0207202,0.0149201,0.00854664,0.0126055,0.00810449,0.0303736,0.00862931,0.00839367,0.0119752,0.0163798,0,0.0136794,0.0131714,0.00480156,0,0,0,0,0,0.0120211
111,0.00711484,0,0,0,0,0.0124912,0,0,0,0.0351837,0.0228853,0.0283718,0.0217719,0,0,0.0241013,0,0.0310704,0.0110218,0.0400307,0.0260101,0.00642875,0.0118972,0.0348245,0.0458874,0.0174595,0.0163391,0.0144441,0.00810658,0.0136259,0.0122125,0.0168538,0.0378666,0.0370373,0.0135466,0.00713676,0.0116093,0.00364844,0.00930664,0.0184694,0.0106285,0,0,0.00882684,0,0,0.0117415,0.0378805,0.0069407,0.0138693,0.014301,0.0326269,0.0207285,0.0149444,0.00839332,0.0126066,0.00808474,0.0303081,0.00862898,0.00830544,0.0120335,0.0164122,0,0.0136487,0.0132073,0.00482454,0,0,0,0,0,0.0120181
112,0.00708103,0,0,0,0,0.0125098,0,0,0,0.0352577,0.0228452,0.0284506,0.0217374,0,0,0.0238253,0,0.0310105,0.0109217,0.0400244,0.025632,0.00644551,0.0119778,0.0348815,0.0461365,0.0175019,0.0163058,0.0145114,0.00813332,0.0136404,0.0122152,0.016837,0.0379248,0.0371338,0.01359,0.00725731,0.0116066,0.00367104,0.00922572,0.0184702,0.0106575,0,0,0.00870061,0,0,0.0117177,0.0379034,0.00658345,0.013847,0.0143621,0.0326421,0.0208264,0.0150084,0.00815425,0.0126345,0.00800977,0.0302301,0.00862778,0.00812199,0.0121423,0.0164195,0,0.0136708,0.0132297,0.00479833,0,0,0,0,0,0.0119304
113,0.00701501,0,0,0,0,0.0125386,0,0,0,0.035246,0.0227934,0.0284743,0.0217366,0,0,0.0236208,0,0.0309004,0.0108749,0.0400214,0.025532,0.00645524,0.0120212,0.0349148,0.046388,0.0175218,0.0163494,0.0145393,0.00813503,0.0136539,0.0122416,0.0168317,0.0379429,0.0371716,0.0135495,0.0074241,0.0115928,0.00368239,0.00916935,0.0184879,0.010656,0,0,0.00853966,0,0,0.0116947,0.0379063,0.00642172,0.0138347,0.0144074,0.0326299,0.02103,0.0150343,0.00832642,0.0126641,0.00800609,0.0302117,0.00862512,0.00804498,0.0121661,0.0164355,0,0.0137392,0.0132837,0.00479282,0,0,0,0,0,0.0117282
114,0.00692281,0,0,0,0,0.012543,0,0,0,0.0352243,0.0227405,0.0284536,0.0217303,0,0,0.0234597,0,0.0308708,0.0108182,0.0400311,0.0255177,0.00645987,0.0120492,0.0349409,0.0466078,0.0175394,0.0162647,0.0145483,0.00813027,0.0136479,0.012218,0.0168158,0.0379473,0.0371495,0.0135552,0.0075296,0.0115456,0.00369467,0.00912959,0.0185027,0.0106129,0,0,0.00831808,0,0,0.0116802,0.0379061,0.00640707,0.013835,0.0144471,0.0326461,0.0213132,0.0150438,0.00831278,0.012673,0.0080601,0.0302278,0.0086252,0.00809685,0.0121052,0.0164183,0,0.0138368,0.0133497,0.00471636,0,0,0,0,0,0.0117653
115,0.0068115,0,0,0,0,0.0125208,0,0,0,0.0352355,0.0226496,0.0283961,0.0217104,0,0,0.023339,0,0.0308905,0.0107927,0.0400473,0.0258148,0.00646448,0.0120325,0.0349835,0.0468247,0.0175156,0.0162432,0.0145375,0.00816557,0.0136459,0.0121727,0.0168208,0.0379161,0.0370235,0.0136389,0.00754482,0.0114616,0.00371521,0.00910069,0.0185144,0.0105327,0,0,0.00804644,0,0,0.0116571,0.0379159,0.00652011,0.0138507,0.0144739,0.0327096,0.0216345,0.0150313,0.00808882,0.0126714,0.00812971,0.0302385,0.00862118,0.00822645,0.0119948,0.0163978,0,0.01398,0.0133981,0.00470497,0,0,0,0,0,0.0115857
116,0.00670421,0,0,0,0,0.0124685,0,0,0,0.0351688,0.0225343,0.0283014,0.0217176,0,0,0.0232969,0,0.0309434,0.0108047,0.0400411,0.0265962,0.00643007,0.0119844,0.035045,0.0470065,0.0174528,0.0162046,0.0144829,0.00818473,0.0136497,0.0121835,0.0168693,0.0378578,0.0369056,0.0137631,0.00755042,0.0114153,0.00373048,0.00910899,0.0185196,0.0104509,0,0,0.00773767,0,0,0.0115754,0.0379251,0.00671351,0.013828,0.0144903,0.0327588,0.021966,0.0150191,0.00825102,0.0126384,0.00821996,0.0302199,0.00863392,0.0083758,0.0118891,0.0164479,0,0.0141207,0.0134027,0.00473751,0,0,0,0,0,0.0114618
117,0.0066452,0,0,0,0,0.012447,0,0,0,0.0350413,0.0225136,0.0282201,0.0217488,0,0,0.023286,0,0.0309494,0.0108649,0.0400146,0.0271051,0.00634444,0.0119551,0.0350653,0.0472123,0.0174294,0.0161426,0.0144593,0.00816308,0.0136383,0.0121752,0.0169073,0.0377417,0.0369258,0.0137695,0.00761271,0.0114243,0.00375202,0.00903898,0.0185072,0.0104279,0,0,0.00745049,0,0,0.011464,0.0379715,0.00654546,0.0137676,0.014551,0.0328106,0.0222028,0.0150486,0.00843662,0.0126432,0.00818751,0.0301619,0.00864677,0.00826135,0.0119781,0.0164223,0,0.01423,0.0133492,0.00467115,0,0,0,0,0,0.0114728
118,0.00662082,0,0,0,0,0.0124004,0,0,0,0.0350259,0.0224645,0.0282224,0.0217816,0,0,0.0232532,0,0.0309583,0.0107966,0.0400287,0.0267978,0.00635222,0.0119852,0.0351173,0.0473912,0.0174508,0.0160885,0.0144746,0.0081565,0.0136784,0.0122107,0.0168948,0.0377579,0.0370632,0.0137963,0.00765334,0.0114014,0.00377259,0.00898047,0.0185226,0.0104645,0,0,0.0072194,0,0,0.0113119,0.0379742,0.0063873,0.0137183,0.0146271,0.0328999,0.0224022,0.0150845,0.00849291,0.0126543,0.00819376,0.0301721,0.00866058,0.00820379,0.0120145,0.0163895,0,0.0142685,0.0132706,0.00472984,0,0,0,0,0,0.0115031
119,0.00660873,0,0,0,0,0.0123748,0,0,0,0.035036,0.0224694,0.0282183,0.0218283,0,0,0.0232437,0,0.0309569,0.0106914,0.0400316,0.026607,0.00636593,0.0119985,0.0351867,0.0475598,0.0174781,0.016058,0.0144885,0.00817179,0.0136878,0.0122279,0.0168863,0.0377792,0.0372699,0.0137887,0.0077256,0.0113636,0.00378817,0.00897129,0.018565,0.010538,0,0,0.00707929,0,0,0.0111494,0.0379869,0.00627372,0.0136879,0.0146828,0.0329987,0.0225817,0.0151008,0.00849966,0.0126592,0.00823935,0.0301594,0.00867775,0.00821995,0.0119908,0.016412,0,0.0142898,0.0132208,0.00490953,0,0,0,0,0,0.0115438
120,0.00658627,0,0,0,0,0.0123779,0,0,0,0.035055,0.0225032,0.0282044,0.0218694,0,0,0.0232743,0,0.0309382,0.0106408,0.0400292,0.0267388,0.0063607,0.0119839,0.0352504,0.0477638,0.0174845,0.016005,0.0144841,0.00818603,0.0136869,0.012219,0.016902,0.0377739,0.0375032,0.0137481,0.00787294,0.0112948,0.00379997,0.00893764,0.0186047,0.010638,0,0,0.00699054,0,0,0.0109991,0.0380163,0.00621385,0.0136733,0.0147422,0.0330684,0.0227312,0.0151056,0.00850476,0.0126599,0.00829629,0.0301248,0.00868108,0.00825159,0.0119113,0.0164574,0,0.0142789,0.013196,0.00498316,0,0,0,0,0,0.0115436
121,0.00657047,0,0,0,0,0.0123983,0,0,0,0.035122,0.0225046,0.0281677,0.0218558,0,0,0.0233154,0,0.0309516,0.0106934,0.040032,0.0268571,0.00638489,0.0119833,0.0353127,0.0479993,0.0175103,0.0159345,0.0144925,0.00819102,0.0137194,0.0121737,0.0169134,0.0378226,0.0377261,0.0137377,0.00800877,0.0111991,0.00380792,0.00887208,0.0186254,0.0107539,0,0,0.00694293,0,0,0.0108562,0.0380014,0.00618689,0.0136565,0.0148256,0.0331169,0.0228647,0.015129,0.00848736,0.012666,0.00836582,0.0301065,0.00869508,0.00828888,0.0118133,0.0165179,0,0.0142563,0.0131861,0.0051181,0,0,0,0,0,0.0115361
122,0.00658789,0,0,0,0,0.0124187,0,0,0,0.0353379,0.0225159,0.0282762,0.0218545,0,0,0.0234627,0,0.030967,0.0108677,0.040056,0.0262518,0.00646032,0.0120583,0.0354096,0.0481871,0.0175337,0.0159484,0.0145625,0.00820941,0.0137884,0.0121988,0.0168935,0.0379896,0.038053,0.0137182,0.0081295,0.0111335,0.0038152,0.00883095,0.018666,0.010888,0,0,0.00691994,0,0,0.010721,0.0379436,0.00617634,0.0136659,0.0148949,0.0331655,0.0229937,0.0151583,0.00849812,0.0126826,0.00841152,0.0301379,0.00869995,0.00830888,0.0117463,0.0165058,0,0.0142021,0.0131384,0.00526126,0,0,0,0,0,0.0114975
123,0.00658651,0,0,0,0,0.0123952,0,0,0,0.0354798,0.0224043,0.0283471,0.0218589,0,0,0.0235918,0,0.03102,0.0109998,0.0401026,0.026222,0.00652866,0.0121082,0.0355201,0.0483567,0.0175635,0.0159472,0.0146013,0.00823825,0.0138597,0.0122124,0.0168989,0.0381312,0.0384762,0.0137471,0.00814332,0.0110684,0.00383301,0.00879777,0.018729,0.0109975,0,0,0.00688099,0,0,0.010622,0.0378977,0.00615029,0.0136776,0.014945,0.0332362,0.0231275,0.0151724,0.0085574,0.0126973,0.00843464,0.0301574,0.00868962,0.00833789,0.0116922,0.0163874,0,0.0141773,0.0130575,0.00538241,0,0,0,0,0,0.0114307
124,0.00656018,0,0,0,0,0.0123601,0,0,0,0.0355432,0.0222407,0.0283903,0.0218746,0,0,0.0236881,0,0.031068,0.0110489,0.0401107,0.0260201,0.00655029,0.0121456,0.0355752,0.0485427,0.0176202,0.0159346,0.0146137,0.0082654,0.0139259,0.0122404,0.0168758,0.0381962,0.0385359,0.0138039,0.00817466,0.0109793,0.00386278,0.00874696,0.0187636,0.0110639,0,0,0.00685013,0,0,0.0105955,0.0378993,0.00610331,0.0136691,0.0150028,0.033287,0.0232647,0.015181,0.00860225,0.0127032,0.00846718,0.0301556,0.00869947,0.00836769,0.0116417,0.0161993,0,0.0141974,0.0130175,0.00544753,0,0,0,0,0,0.0113892
125,0.00654665,0,0,0,0,0.0123808,0,0,0,0.0355273,0.0221514,0.0283652,0.0218948,0,0,0.0238091,0,0.031061,0.0110627,0.0401035,0.0261571,0.00653977,0.0121693,0.0356095,0.0487368,0.0176349,0.0158621,0.0145997,0.00828881,0.0139639,0.0122578,0.0168733,0.0382235,0.0385774,0.0138104,0.00826576,0.0108863,0.00387766,0.00871627,0.0187891,0.0111573,0,0,0.00681891,0,0,0.0105382,0.0379113,0.00618569,0.0136674,0.0150567,0.0332991,0.023412,0.0151887,0.00859857,0.0127135,0.0085311,0.0301769,0.00871712,0.00844296,0.0115168,0.0162187,0,0.0142074,0.0130322,0.00545065,0,0,0,0,0,0.0113619
126,0.00652857,0,0,0,0,0.012424,0,0,0,0.0355519,0.0220739,0.0283384,0.0219032,0,0,0.0239189,0,0.0311573,0.0110097,0.0401143,0.0262224,0.00652503,0.0121787,0.0356861,0.0489557,0.017624,0.0158099,0.0146077,0.00831583,0.0139774,0.0122749,0.0168788,0.038284,0.0385846,0.01387,0.00828144,0.0108037,0.00385676,0.00872321,0.0188116,0.0112428,0,0,0.00682574,0,0,0.0103742,0.0379269,0.00644755,0.0136666,0.0150911,0.0333305,0.0236117,0.0151694,0.00857408,0.0127145,0.0086081,0.030213,0.00873195,0.00858241,0.011361,0.016465,0,0.0141314,0.0130415,0.00539655,0,0,0,0,0,0.0113366
127,0.00648274,0,0,0,0,0.0124746,0,0,0,0.0355431,0.022122,0.0282368,0.0219142,0,0,0.0239922,0,0.0312846,0.0110021,0.0401319,0.0268452,0.00654598,0.0121501,0.0357395,0.0492019,0.0176132,0.0157531,0.0146033,0.008322,0.0140056,0.0122341,0.0169254,0.0383225,0.0385968,0.0138841,0.00835802,0.0107626,0.00382908,0.00872791,0.0188028,0.0113189,0,0,0.00685533,0,0,0.0101801,0.0379246,0.00639601,0.0136564,0.015118,0.0333575,0.0238159,0.0152053,0.00856485,0.0127052,0.00859266,0.0302062,0.00874158,0.00856738,0.0113041,0.0165333,0,0.0140378,0.0130746,0.00540807,0,0,0,0,0,0.0113669
128,0.00643712,0,0,0,0,0.0124962,0,0,0,0.0355645,0.0221885,0.02823,0.0219386,0,0,0.0240374,0,0.0314006,0.0110792,0.0401635,0.0267415,0.00657088,0.0121685,0.0357568,0.0494268,0.0176524,0.015759,0.0146308,0.00833358,0.0140329,0.0122195,0.016923,0.0383943,0.0388051,0.0138875,0.00847413,0.0107441,0.0038087,0.00878892,0.0188207,0.0113927,0,0,0.00692827,0,0,0.00999812,0.0379166,0.00646502,0.0136706,0.0150926,0.0333778,0.023992,0.0151868,0.00853025,0.0126694,0.00865352,0.030261,0.00875648,0.00867072,0.0111913,0.0164926,0,0.014005,0.0131269,0.005466,0,0,0,0,0,0.0113669
129,0.00636205,0,0,0,0,0.0125148,0,0,0,0.0356137,0.0222795,0.0282439,0.0219463,0,0,0.0241208,0,0.0315135,0.0111958,0.0401747,0.0265712,0.00658541,0.0121979,0.0357659,0.0496453,0.0176789,0.015793,0.0146643,0.00834356,0.0140573,0.0122264,0.0169161,0.0384428,0.0389938,0.0139126,0.00869858,0.0107507,0.00378223,0.00884384,0.0188731,0.0114518,0,0,0.00704095,0,0,0.00984383,0.0379179,0.00651375,0.0136729,0.015087,0.0333889,0.0241599,0.015179,0.00851502,0.0126563,0.00868264,0.0302882,0.00877239,0.00872077,0.0111628,0.0164872,0,0.0139072,0.0131932,0.00553255,0,0,0,0,0,0.0113086
130,0.00626789,0,0,0,0,0.0125229,0,0,0,0.035679,0.0222939,0.0282607,0.0219337,0,0,0.0242285,0,0.0317025,0.0112932,0.040164,0.0265556,0.00660698,0.0122077,0.0358179,0.0498133,0.0176949,0.0158368,0.0146735,0.00837392,0.0140742,0.0122548,0.0169204,0.038467,0.0391471,0.0139198,0.00886066,0.0107143,0.00371441,0.00886313,0.0189309,0.0115176,0,0,0.00727381,0,0,0.00959643,0.0379243,0.00652177,0.0136553,0.0151006,0.0334156,0.0243829,0.0152012,0.00852067,0.0126619,0.00867238,0.0302839,0.00877596,0.00869826,0.0111839,0.0166988,0,0.0136676,0.0132551,0.00563063,0,0,0,0,0,0.0112582
131,0.00621924,0,0,0,0,0.0125471,0,0,0,0.0357254,0.02226,0.0282785,0.0219451,0,0,0.0243235,0,0.0318405,0.0113942,0.0401571,0.0265048,0.00661998,0.0122613,0.0358615,0.0499625,0.0177173,0.0158115,0.0147221,0.0084194,0.0141016,0.0122807,0.0169238,0.0385195,0.0392164,0.0138439,0.00895306,0.0106539,0.00367106,0.00883034,0.0189136,0.0115953,0,0,0.00750128,0,0,0.00942666,0.0379337,0.00648377,0.0136304,0.0151522,0.0334638,0.0245914,0.0152218,0.00853534,0.0126657,0.00865797,0.030263,0.00877168,0.00861634,0.0112076,0.0167951,0,0.0135318,0.0132954,0.00573433,0,0,0,0,0,0.0112518
132,0.00621043,0,0,0,0,0.0125964,0,0,0,0.0357755,0.0223432,0.0283437,0.0219188,0,0,0.0244206,0,0.031892,0.0115317,0.0401466,0.0262374,0.0066246,0.0123219,0.0358473,0.0501358,0.01774,0.0158193,0.014767,0.00844799,0.0141384,0.0123082,0.016918,0.0385955,0.0393481,0.0137662,0.0091339,0.0106013,0.00365995,0.00877373,0.0189179,0.0116927,0,0,0.00771154,0,0,0.00936638,0.0379387,0.00624419,0.013613,0.0152122,0.0334953,0.0247427,0.0152574,0.00852682,0.0126664,0.00860474,0.0302353,0.00876137,0.00848172,0.0111867,0.0168809,0,0.0135745,0.0133377,0.00582013,0,0,0,0,0,0.0111821
133,0.00618394,0,0,0,0,0.0126395,0,0,0,0.0358345,0.0224375,0.0283975,0.0219206,0,0,0.0245447,0,0.0319299,0.01164,0.0401636,0.0259021,0.00662863,0.0123789,0.0358395,0.0503158,0.0177821,0.015856,0.0148065,0.00845467,0.0141861,0.0123324,0.0169017,0.038663,0.0395266,0.0135702,0.00932751,0.0105262,0.00364868,0.00875253,0.0189455,0.0117559,0,0,0.00803256,0,0,0.00932698,0.0379408,0.00618311,0.0136081,0.0152601,0.0335198,0.0249325,0.0152716,0.00848477,0.0126875,0.00861921,0.0302434,0.00875549,0.00848051,0.0110799,0.0169188,0,0.0136333,0.0133482,0.00586151,0,0,0,0,0,0.0111325
134,0.00617685,0,0,0,0,0.012702,0,0,0,0.0357929,0.0224891,0.0283057,0.0219397,0,0,0.0246644,0,0.0320319,0.0116895,0.0401729,0.0264127,0.00662754,0.0123721,0.035806,0.0504538,0.017778,0.0158706,0.014795,0.00847336,0.014235,0.0123006,0.0169245,0.0386721,0.0397136,0.0132073,0.00943589,0.0104414,0.00359534,0.00871159,0.0188925,0.0118507,0,0,0.00840445,0,0,0.00917799,0.0379377,0.00607748,0.0135898,0.0153032,0.0335112,0.0251779,0.0152914,0.00850808,0.0127054,0.00860676,0.0302165,0.00874732,0.00842835,0.0110512,0.0171024,0,0.0135561,0.0133651,0.00592321,0,0,0,0,0,0.0111679
