Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x71,x72,x73,x75,x76,RTHI
76,0.0111715,0,0,0,0,0.0207581,0,0,0,0.0335055,0.0263305,0.0279062,0.020112,0,0,0.0260666,0,0.0326003,0.0128905,0.0395355,0.0266418,0.0052797,0.0122429,0.0301347,0.0461016,0.0174562,0.0163192,0.0145398,0.00792084,0.0129256,0.0121773,0.0165423,0.036328,0.0381786,0.0128531,0.0055585,0.0128816,0.00319717,0.0107354,0.0168734,0.0111858,0,0,0.0138953,0,0,0.012534,0.0378904,0.0082544,0.0154769,0.0129935,0.0276079,0.0156383,0.0148461,0.00808066,0.0124952,0.00652747,0.0305103,0.00824319,0.00699938,0.0132301,0.0152216,0,0.0153869,0.0201967,0.00538014,0,0,0,0,0,0.0116488
77,0.0111473,0,0,0,0,0.0203397,0,0,0,0.0334724,0.0263341,0.0278707,0.0201661,0,0,0.0267074,0,0.0325203,0.0131835,0.039548,0.026957,0.00534546,0.0121546,0.0302813,0.0462022,0.0174055,0.0162879,0.0144732,0.00792579,0.0129084,0.0121596,0.016566,0.0362748,0.0385257,0.0128272,0.00568761,0.0128543,0.00311611,0.0106523,0.016905,0.011436,0,0,0.0139049,0,0,0.0124067,0.0378753,0.00810431,0.0154036,0.0130344,0.0277987,0.0157404,0.0148443,0.00847,0.0124967,0.00657227,0.0304704,0.00825664,0.00700581,0.0131869,0.0154054,0,0.015037,0.0196484,0.00514154,0,0,0,0,0,0.0116749
78,0.0110134,0,0,0,0,0.0198468,0,0,0,0.0334059,0.026196,0.0278221,0.0202336,0,0,0.0272681,0,0.0325696,0.0133491,0.0395302,0.0273645,0.0053939,0.0120619,0.030484,0.0463452,0.0173698,0.0162511,0.0143837,0.00792722,0.0129012,0.0121387,0.0165975,0.0361658,0.0386054,0.0129456,0.0057953,0.012869,0.0030908,0.0105594,0.0169026,0.0115756,0,0,0.0138038,0,0,0.0123972,0.0379186,0.00779779,0.0152631,0.0130779,0.0280314,0.0159167,0.0148845,0.00871232,0.0125081,0.00653579,0.0303938,0.00828083,0.0068737,0.0132855,0.0155813,0,0.0146956,0.0190808,0.00500843,0,0,0,0,0,0.0116776
79,0.010779,0,0,0,0,0.0193185,0,0,0,0.0333985,0.0259863,0.027864,0.0203045,0,0,0.02758,0,0.0326914,0.0133972,0.0395437,0.0269319,0.00545114,0.0120418,0.0307,0.0464169,0.0173864,0.0162367,0.0143414,0.0079081,0.0128735,0.0121382,0.0165663,0.0361308,0.0386754,0.0131637,0.00590938,0.0128963,0.0033143,0.0104867,0.0169356,0.011569,0,0,0.0133962,0,0,0.0128358,0.0379335,0.00757117,0.0151554,0.0131074,0.028268,0.0161325,0.0148881,0.00871255,0.012512,0.00660147,0.0303476,0.00832279,0.00689465,0.0133516,0.0156938,0,0.0148868,0.0185417,0.00500494,0,0,0,0,0,0.0116851
80,0.0105334,0,0,0,0,0.0187862,0,0,0,0.0333954,0.025897,0.0279074,0.0203753,0,0,0.0275985,0,0.0327374,0.0134646,0.0395525,0.0266885,0.00548637,0.0120292,0.0309214,0.046294,0.0174053,0.0161709,0.0143246,0.00789625,0.0128588,0.01215,0.0165571,0.0361577,0.0387243,0.0132426,0.0060553,0.0128761,0.00350039,0.0104045,0.0170389,0.0114836,0,0,0.0130421,0,0,0.0131973,0.0379207,0.00749427,0.0150699,0.0131432,0.0285293,0.0162812,0.0148842,0.0086466,0.0125161,0.00670785,0.0303341,0.00834377,0.00698614,0.0133224,0.0157507,0,0.0151986,0.0180198,0.00492643,0,0,0,0,0,0.0117034
81,0.0102299,0,0,0,0,0.0182337,0,0,0,0.0333627,0.0257881,0.0279067,0.0204898,0,0,0.0274058,0,0.0325982,0.0136191,0.0395537,0.0267062,0.00549939,0.0119816,0.0311989,0.04602,0.0173996,0.0161221,0.0143051,0.00786731,0.0128824,0.0121742,0.0165591,0.0361603,0.0386662,0.0130816,0.00614169,0.0128745,0.00353906,0.0103296,0.0171797,0.0113334,0,0,0.0128809,0,0,0.0132491,0.0379343,0.00748796,0.0150111,0.0132389,0.0288095,0.0163599,0.0148938,0.00866526,0.0125368,0.00682476,0.0304435,0.00836835,0.00708469,0.0132926,0.0157526,0,0.0152866,0.0175018,0.00479058,0,0,0,0,0,0.0118634
82,0.00985338,0,0,0,0,0.0176786,0,0,0,0.0333322,0.0255225,0.0278883,0.0206489,0,0,0.0270521,0,0.0324417,0.0137016,0.0395786,0.0267572,0.00554405,0.0119521,0.0315064,0.0457153,0.0174056,0.0160719,0.0143112,0.0078282,0.0129093,0.0121758,0.0165606,0.0361739,0.0383394,0.0130659,0.0060709,0.0129297,0.00355084,0.0103136,0.0173341,0.0110789,0,0,0.0126519,0,0,0.013191,0.0379724,0.00746192,0.0149639,0.0133733,0.0290692,0.0164898,0.014954,0.00874129,0.0126087,0.00695367,0.030705,0.00845559,0.00719241,0.0133601,0.0157068,0,0.0153269,0.0170202,0.00466423,0,0,0,0,0,0.0121824
83,0.00946637,0,0,0,0,0.017106,0,0,0,0.0333009,0.025225,0.0278688,0.0207911,0,0,0.0265869,0,0.0322897,0.0137128,0.0396154,0.0267367,0.00562371,0.0119179,0.0318355,0.0454525,0.0173805,0.0160589,0.0142785,0.0078546,0.012941,0.0121522,0.0165601,0.0362026,0.0379667,0.0131707,0.00602723,0.0129061,0.00358011,0.010237,0.0174555,0.0108393,0,0,0.0123783,0,0,0.0131814,0.0380034,0.00738752,0.0148831,0.0134533,0.0293823,0.0167518,0.0149904,0.00877756,0.0126495,0.00709379,0.0308163,0.00851014,0.00732406,0.0133624,0.0157652,0,0.015218,0.0165446,0.00461364,0,0,0,0,0,0.0123199
84,0.00913967,0,0,0,0,0.0165947,0,0,0,0.0332841,0.025011,0.0278989,0.020877,0,0,0.0261668,0,0.0320965,0.0137782,0.0396274,0.0266928,0.00570729,0.0118761,0.0321398,0.045222,0.0173836,0.0160147,0.0142252,0.00787836,0.0129722,0.0121271,0.0165646,0.0362367,0.0380221,0.0130979,0.00605303,0.0128323,0.00363369,0.010105,0.0175249,0.0106787,0,0,0.0120497,0,0,0.013217,0.0380132,0.00735019,0.0147831,0.0134492,0.0296924,0.0170645,0.0149865,0.00875206,0.0126425,0.00720757,0.0307314,0.00849934,0.00745242,0.013277,0.0159483,0,0.0151567,0.0161302,0.0045862,0,0,0,0,0,0.0123178
85,0.00886039,0,0,0,0,0.0161746,0,0,0,0.0333686,0.024884,0.0279947,0.0208968,0,0,0.025844,0,0.0319489,0.0138247,0.0396393,0.0264318,0.00578434,0.0118696,0.0323678,0.0448355,0.0173795,0.0159891,0.0142322,0.00788374,0.0129792,0.0121708,0.0165623,0.0362869,0.038026,0.0130064,0.00596575,0.0127556,0.00359385,0.00999384,0.0175442,0.0105835,0,0,0.0118388,0,0,0.0130523,0.0380171,0.00741421,0.0146757,0.0133952,0.0299391,0.017302,0.0149426,0.00855797,0.0126034,0.0072632,0.0305092,0.00847823,0.00752611,0.0131463,0.016106,0,0.0151429,0.0157861,0.00455007,0,0,0,0,0,0.0122718
