Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x71,x72,x73,LWRA
98,0.013423,0,0,0,0,0.0420349,0,0,0,0,0,0,0.0152185,0.0285035,0.0161353,0.0281593,0,0,0.0259969,0,0.0258361,0.0350339,0.0418675,0.0128111,0.00230177,0.00968191,0.0345006,0.0360622,0.0134673,0.0115568,0.00836328,0.0124988,0.0151013,0.0136577,0.0177111,0.0201199,0.0219958,0.0418211,0.00506716,0.039838,0.00259807,0.0200694,0.0379094,0,0,0.0114465,0,0.0376126,0.02285,0.0406979,0.00634793,0.012941,0.023976,0.0350641,0.0559562,0.0126311,0.015101,0.00986722,0.0138446,0.0134146,0.0248977,0.00870458,0.0108841,0.00510687,0.0250089,0.0269507,0.0304245,0.044819,0.0167496,0,0,0,0
99,0.0135327,0,0,0,0,0.0423176,0,0,0,0,0,0,0.0152112,0.0285281,0.0159861,0.0281561,0,0,0.0258619,0,0.0258366,0.0350128,0.0418416,0.0127486,0.00230717,0.00976652,0.0345978,0.0358251,0.0133303,0.0116248,0.00838477,0.0124981,0.0149975,0.013649,0.0177495,0.0202515,0.0218805,0.0416962,0.00473703,0.0397267,0.00242365,0.0197451,0.0383435,0,0,0.0119626,0,0.0376936,0.0224458,0.0405772,0.00577995,0.012818,0.0238661,0.0351539,0.056637,0.0125818,0.0149016,0.00982214,0.013743,0.0132921,0.0246566,0.00862538,0.0106133,0.00465126,0.0255127,0.0264617,0.030162,0.0450832,0.0168488,0,0,0,0
100,0.0137174,0,0,0,0,0.0426108,0,0,0,0,0,0,0.0155156,0.0285659,0.0160054,0.0281816,0,0,0.0257026,0,0.0258534,0.0349838,0.0417645,0.0127116,0.00237283,0.00971956,0.0346963,0.035577,0.0132266,0.0116514,0.00830916,0.012468,0.0148921,0.0136435,0.0178022,0.0207398,0.022075,0.0416198,0.00432538,0.0396101,0.00210388,0.0194885,0.0388293,0,0,0.0124296,0,0.0377852,0.0222541,0.0404547,0.00525417,0.012688,0.0237623,0.0351572,0.0572507,0.0125719,0.014712,0.00968608,0.0137333,0.0132306,0.0243991,0.00861383,0.0104471,0.00388253,0.0260706,0.0260038,0.0298017,0.0453712,0.0169356,0,0,0,0
101,0.0139577,0,0,0,0,0.042921,0,0,0,0,0,0,0.0159536,0.0285896,0.0161926,0.0282855,0,0,0.0255624,0,0.0258661,0.0349615,0.0416179,0.0125256,0.00248536,0.00950425,0.0347473,0.0353824,0.0132705,0.0115543,0.00816147,0.0124368,0.014901,0.0137583,0.0178422,0.0214311,0.0221162,0.0416322,0.00395647,0.0395072,0.00214531,0.0192418,0.0393618,0,0,0.0129224,0,0.0378641,0.0222707,0.0404402,0.00480369,0.0125736,0.0237308,0.0351406,0.0577656,0.0126176,0.0146407,0.00970246,0.0136886,0.0132172,0.0241253,0.00871735,0.0103523,0.00352626,0.026623,0.0256302,0.0294196,0.0457035,0.0170381,0,0,0,0
102,0.0142683,0,0,0,0,0.0432507,0,0,0,0,0,0,0.0165301,0.0286631,0.0164379,0.0282812,0,0,0.0255129,0,0.0259295,0.0349879,0.0414069,0.0126317,0.00257415,0.00913644,0.034742,0.035276,0.0134072,0.0111956,0.00796932,0.0123689,0.0149918,0.0139425,0.0179217,0.0222248,0.0220829,0.0417314,0.00360735,0.0394043,0.0022695,0.0190402,0.0399367,0,0,0.0133647,0,0.0378863,0.0223041,0.0405018,0.00469043,0.0124237,0.0236185,0.0350973,0.0582682,0.0127063,0.0145465,0.00965913,0.0131636,0.013328,0.023631,0.00882756,0.0102892,0.00309618,0.0269145,0.025356,0.0294905,0.0460457,0.0172336,0,0,0,0
103,0.0146742,0,0,0,0,0.0435944,0,0,0,0,0,0,0.0171259,0.0287382,0.0166468,0.0281895,0,0,0.0254642,0,0.0259823,0.0350134,0.0411859,0.0128172,0.00261831,0.00884907,0.0347859,0.0352252,0.01356,0.0106934,0.00778768,0.0123295,0.0151122,0.0140011,0.0179456,0.0230799,0.0220574,0.0417703,0.00328861,0.0393171,0.00232989,0.0189431,0.0405999,0,0,0.0136967,0,0.0378724,0.0223826,0.0405565,0.00495205,0.0123461,0.0235359,0.0350195,0.0587851,0.0127994,0.0142196,0.0097163,0.0126749,0.0133673,0.0231789,0.00897329,0.0102496,0.0027943,0.0272436,0.0252037,0.0297933,0.0463974,0.0174818,0,0,0,0
104,0.0151637,0,0,0,0,0.0439804,0,0,0,0,0,0,0.0177319,0.0287953,0.0168812,0.0281528,0,0,0.0253518,0,0.0260064,0.035,0.0410017,0.0128276,0.00260831,0.00867696,0.0348939,0.035225,0.0137062,0.0102461,0.0075587,0.0122248,0.0151604,0.0139076,0.0179133,0.0239359,0.0219363,0.0418062,0.00306413,0.039256,0.00235143,0.018865,0.0413288,0,0,0.0139187,0,0.0378539,0.0225342,0.0406043,0.00532739,0.0123063,0.0232051,0.0349139,0.05932,0.0130239,0.0137947,0.00966779,0.0132479,0.0130083,0.022718,0.00903285,0.010153,0.00257834,0.0276581,0.0252645,0.0301899,0.0467377,0.0177699,0,0,0,0
105,0.0157285,0,0,0,0,0.0444345,0,0,0,0,0,0,0.018406,0.0287912,0.0172359,0.0282131,0,0,0.0252438,0,0.0259641,0.0349289,0.0408444,0.0127378,0.00253985,0.00850297,0.0350365,0.0353105,0.0137347,0.00989053,0.00729035,0.0120378,0.0151488,0.0138668,0.0178995,0.0247109,0.0219189,0.041768,0.00310781,0.0391803,0.00255925,0.0187901,0.0420608,0,0,0.0140415,0,0.0377786,0.0227905,0.0406163,0.0056471,0.0122007,0.0229982,0.0348421,0.0599219,0.0131848,0.013542,0.00959039,0.0138942,0.0129014,0.0222749,0.00913073,0.010061,0.00270416,0.0278652,0.0254535,0.0305755,0.0471127,0.0180906,0,0,0,0
106,0.0163115,0,0,0,0,0.0449505,0,0,0,0,0,0,0.0190324,0.0287347,0.0177253,0.028321,0,0,0.0251511,0,0.0258616,0.0347623,0.040752,0.0129186,0.00245972,0.00836511,0.0351615,0.0355081,0.0136232,0.0096839,0.00709241,0.0119754,0.0151899,0.0139023,0.0179322,0.0254759,0.0218184,0.0415771,0.00318058,0.0390863,0.00270059,0.018737,0.0427959,0,0,0.0140732,0,0.0376592,0.0230357,0.0405874,0.005853,0.012085,0.0228067,0.0347801,0.0605867,0.0132585,0.0133883,0.00949004,0.0139204,0.0131632,0.0219123,0.00926389,0.0100323,0.00291311,0.0277884,0.0256962,0.0309208,0.0475636,0.0184184,0,0,0,0
107,0.0168589,0,0,0,0,0.0455059,0,0,0,0,0,0,0.0194916,0.0287305,0.018207,0.0284019,0,0,0.0249021,0,0.0258017,0.0345936,0.0405984,0.013324,0.00234933,0.00824413,0.035255,0.0358177,0.0134228,0.00960688,0.0069128,0.01199,0.0152177,0.0139856,0.0179601,0.0261101,0.0219218,0.0414347,0.0033871,0.0390056,0.00280113,0.0186821,0.043527,0,0,0.0140615,0,0.0375602,0.0231703,0.0405255,0.00615868,0.011955,0.0225151,0.0347322,0.0613387,0.0133355,0.0132286,0.00940192,0.0136995,0.0134303,0.0214606,0.00936162,0.00999679,0.00316804,0.0277522,0.0259525,0.0312951,0.0480554,0.0187824,0,0,0,0
