Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x71,x72,x73,x74,x75,x76,
All Timesteps RMSE,0.0358588,0,0,0,0,0.0301853,0,0,0,0,0,0,0.0358893,0.0270701,0.0127183,0.0145118,0,0,0.0346043,0,0.0351922,0.0239607,0.0411611,0.0346082,0.0096541,0.0130867,0.0241967,0.0410541,0.0131106,0.0179014,0.0117474,0.0106117,0.0123371,0.00751656,0.0258802,0.0383931,0.0356953,0.024768,0.0172719,0.0219656,0.0448353,0.0277116,0.11768,0.035859,0,0,0.0625858,0,0.0486686,0.0460456,0.0437131,0.0342826,0.0205303,0.0205695,0.023058,0.0502757,0.00914636,0.0154661,0.0300418,0.0114151,0.0212726,0.0338619,0.0230256,0.0232245,0.0226195,0.0459212,0.0446727,0.034018,0.0262335,0.0292845,0,0,0,0,0,0,0
0,0.0169717,0,0,0,0,0.0400597,0,0,0,0,0,0,0.00285049,0.0178826,0.0111499,0.00929183,0,0,0.0418142,0,0.0352318,0.0240513,0.0393732,0.0155857,0.00600525,0.00780256,0.0183158,0.0574777,0.00352949,0.00608597,0.00414591,0.0122525,0.0116661,0.0115247,0.0327753,0.00724508,0.0466544,0.0106607,0.0101455,0.00630046,0.0276113,0.0245884,0.0203661,0.0349397,0,0,0.0898367,0,0.0353611,0.0968518,0.0426176,0.0313695,0.0217142,0.0129104,0.0168711,0.0550499,0.00561075,0.0103257,0.00521498,0.0118083,0.018921,0.0417643,0.0182915,0.0208181,0.0073387,0.0715245,0.0866287,0.0359079,0.0408152,0.0158758,0,0,0,0,0,0,0
1,0.0177908,0,0,0,0,0.041495,0,0,0,0,0,0,0.00378442,0.0176923,0.0108465,0.00970035,0,0,0.0439418,0,0.0348112,0.0256029,0.0397252,0.0157095,0.00640857,0.0083016,0.0185355,0.0589429,0.00333182,0.0060511,0.00469141,0.0120085,0.0110618,0.0112274,0.0328276,0.00637236,0.0486857,0.0115447,0.0105117,0.00574743,0.0284028,0.0231348,0.0203008,0.0365766,0,0,0.0827631,0,0.0330493,0.0881247,0.042594,0.0296652,0.0213579,0.0119871,0.0170822,0.0563397,0.00501114,0.0106539,0.00463311,0.0109748,0.0181288,0.0415313,0.0174378,0.0198623,0.00643081,0.0667392,0.0834625,0.0368885,0.0426141,0.0168305,0,0,0,0,0,0,0
2,0.0176429,0,0,0,0,0.041397,0,0,0,0,0,0,0.00371637,0.017737,0.0109056,0.00965431,0,0,0.0439273,0,0.0348489,0.0256383,0.039687,0.0157316,0.00633897,0.00829022,0.0185519,0.0590909,0.00337706,0.00606817,0.00468569,0.0120457,0.0111292,0.0112503,0.032868,0.00643798,0.0487599,0.0114634,0.0104421,0.00580984,0.028334,0.0231689,0.0202953,0.0364056,0,0,0.0825932,0,0.0330547,0.0879664,0.0426038,0.0296976,0.021336,0.0119676,0.0170908,0.0561796,0.00495084,0.0106756,0.00464822,0.0109377,0.0181602,0.0415565,0.0174703,0.0198668,0.00641114,0.0667118,0.0833134,0.0369193,0.0425164,0.0167418,0,0,0,0,0,0,0
3,0.0174915,0,0,0,0,0.0412693,0,0,0,0,0,0,0.00369146,0.0178392,0.0109375,0.00947766,0,0,0.0439882,0,0.0348094,0.0257268,0.0396796,0.015757,0.00631505,0.00824827,0.0185655,0.0592226,0.00339367,0.00605525,0.00466645,0.0120601,0.0111598,0.0112622,0.032881,0.00652296,0.048883,0.0112555,0.0104089,0.00578343,0.0282342,0.0231814,0.0202649,0.036232,0,0,0.0824533,0,0.0330271,0.087798,0.0426201,0.0297451,0.0213144,0.0119502,0.0171037,0.0560562,0.00494143,0.0106951,0.00464432,0.0108909,0.0181741,0.0415787,0.0174736,0.0198329,0.00637165,0.066682,0.08308,0.0370199,0.0424178,0.0166505,0,0,0,0,0,0,0
4,0.0173895,0,0,0,0,0.0411686,0,0,0,0,0,0,0.00369325,0.0178279,0.0109519,0.00935573,0,0,0.0440443,0,0.0348317,0.0257495,0.0396736,0.0157374,0.00631515,0.00819946,0.0186001,0.0593362,0.00338372,0.00602042,0.00461199,0.0120766,0.0111575,0.011282,0.0328861,0.00660093,0.0489395,0.0112025,0.0103745,0.00569625,0.0281158,0.0231859,0.0202615,0.0361035,0,0,0.0823531,0,0.0330213,0.0876721,0.0426724,0.0297874,0.0212804,0.0119399,0.0171441,0.0559849,0.00498088,0.0106701,0.00462392,0.0108127,0.0181611,0.0415729,0.0174422,0.0198134,0.00635766,0.0666694,0.0828884,0.0371181,0.0423169,0.0165891,0,0,0,0,0,0,0
5,0.0172111,0,0,0,0,0.0409932,0,0,0,0,0,0,0.0036957,0.017784,0.0109724,0.00926243,0,0,0.0440651,0,0.0349124,0.0257459,0.0396614,0.0155896,0.00632647,0.0081706,0.0186851,0.0594158,0.00341543,0.00601234,0.00457234,0.0121122,0.0111825,0.0113139,0.0329144,0.00666153,0.0489172,0.0112345,0.0103341,0.00568895,0.0281436,0.0232197,0.0202458,0.0358561,0,0,0.0823287,0,0.0329983,0.0877188,0.0427591,0.0298535,0.0211748,0.0119488,0.0172458,0.0558115,0.00499995,0.0106417,0.00462074,0.0107839,0.0181563,0.041548,0.0174498,0.0197939,0.00637882,0.0666468,0.0829654,0.037134,0.0420903,0.0164678,0,0,0,0,0,0,0
6,0.0170509,0,0,0,0,0.0408496,0,0,0,0,0,0,0.00372053,0.0178316,0.0109861,0.00923315,0,0,0.0440843,0,0.0349385,0.0257922,0.0396852,0.0153703,0.00633362,0.00815499,0.0187336,0.0594738,0.00340264,0.0060669,0.00456399,0.0121228,0.0112127,0.0113101,0.0329236,0.00677982,0.0489138,0.0111433,0.0103134,0.00574834,0.0280979,0.023257,0.0202347,0.0356475,0,0,0.0822512,0,0.0329861,0.0877233,0.0428335,0.0298901,0.0211214,0.0119473,0.0173038,0.0556497,0.00494459,0.0106553,0.00461687,0.0107402,0.0181476,0.0415433,0.0174951,0.0198002,0.0063762,0.0666702,0.0829391,0.0372397,0.0419123,0.0163585,0,0,0,0,0,0,0
7,0.0168191,0,0,0,0,0.0406551,0,0,0,0,0,0,0.00371598,0.0178076,0.0110116,0.00917013,0,0,0.0440782,0,0.0349601,0.0257641,0.0397475,0.0154514,0.00632837,0.00811504,0.0187503,0.0595514,0.00331488,0.00613007,0.00452489,0.0121056,0.0112321,0.0113149,0.0329207,0.00688367,0.0489108,0.0111087,0.010266,0.00571853,0.0281464,0.0232518,0.0202099,0.0353749,0,0,0.0821822,0,0.0329723,0.087805,0.0429026,0.0298837,0.0211497,0.0119276,0.0173167,0.0554383,0.00494261,0.010665,0.00461678,0.0107408,0.0181343,0.0415207,0.0174989,0.0197948,0.00642147,0.0667474,0.0830437,0.0372389,0.0416942,0.0161829,0,0,0,0,0,0,0
8,0.0166974,0,0,0,0,0.0405143,0,0,0,0,0,0,0.00371772,0.0177619,0.0110298,0.00910829,0,0,0.0440866,0,0.0349869,0.0256932,0.0398674,0.0155666,0.00632238,0.00808331,0.0187726,0.0596702,0.00335858,0.00613325,0.00446681,0.0120787,0.0112601,0.0113183,0.0328967,0.00696514,0.048919,0.0110988,0.0102075,0.00572246,0.0280976,0.0232468,0.020209,0.035247,0,0,0.0820853,0,0.0329909,0.0878363,0.0429242,0.0298745,0.0211452,0.0118898,0.0173456,0.0553354,0.00494535,0.0106697,0.00464042,0.0107008,0.0181188,0.0415112,0.0174888,0.0197904,0.00643498,0.0667293,0.0830243,0.03727,0.0415476,0.0161143,0,0,0,0,0,0,0
9,0.016654,0,0,0,0,0.040432,0,0,0,0,0,0,0.0037237,0.0178178,0.0110171,0.00916034,0,0,0.0441485,0,0.0350049,0.025718,0.0401376,0.0156273,0.00635741,0.00802511,0.0188407,0.0597796,0.00341502,0.00610947,0.00438521,0.0120395,0.011269,0.0112989,0.0328697,0.00699026,0.0489106,0.0109682,0.0102283,0.0056815,0.027927,0.0232474,0.0201563,0.0352325,0,0,0.0819966,0,0.0330215,0.0878382,0.0429714,0.0298807,0.0211672,0.0118442,0.0174146,0.0553436,0.00498371,0.0106542,0.00463647,0.0106563,0.0180999,0.0414988,0.017469,0.0197813,0.00641789,0.0668014,0.0828823,0.0373699,0.0414488,0.0161489,0,0,0,0,0,0,0
