Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,,x72,x73,x79,x80,x78,x74,x75
1633,0.0687065,0,0,0,0,0.0565792,0,0,0,0,0,0,0.0138494,0.0264791,0.00847771,0.0142396,0,0,0.0280443,0,0.0313891,0.0100909,0.0438695,0.00306949,0.00907432,0.0178155,0.0167905,0.0472562,0.0165755,0.0292962,0.0143865,0.0161862,0.0214403,0.009032,0.018157,0.0217781,0.0254403,0.0212754,0.0134907,0.137067,0.0454404,0,0.0169391,0.079444,0,0,0.117453,0,0.0225081,0.0733759,0.0340834,0.0188605,0.0114574,0.00835475,0.0157574,0.116476,0.00784882,0.0148665,0.00786646,0.00746488,0.0154616,0.0145611,0.0162436,0.0156972,0.016762,0.0829781,0.0269753,0.0318072,0.044103,0.0572367,0,0,0,0,0,0,0,0,0,0
1634,0.0667706,0,0,0,0,0.0556006,0,0,0,0,0,0,0.0138409,0.027036,0.00861707,0.0141661,0,0,0.0281371,0,0.0316746,0.00978713,0.043774,0.00272418,0.00908313,0.0174175,0.0170048,0.0440284,0.0163643,0.0293339,0.0140321,0.0157405,0.0211692,0.00898759,0.0182295,0.0216904,0.0255015,0.0224332,0.0138951,0.136031,0.04502,0,0.0169117,0.0788738,0,0,0.117091,0,0.0227055,0.0733053,0.0343074,0.0179366,0.0113646,0.00725563,0.0156387,0.11646,0.00839952,0.0139192,0.00793316,0.00771045,0.0165647,0.0132993,0.0174512,0.0169277,0.0190732,0.0826034,0.0271151,0.0319653,0.0438659,0.0558428,0,0,0,0,0,0,0,0,0,0
1635,0.0647133,0,0,0,0,0.0546816,0,0,0,0,0,0,0.0141316,0.0275409,0.00887754,0.01433,0,0,0.0284257,0,0.0320025,0.0096242,0.04373,0.00225439,0.00908612,0.0169791,0.0173113,0.0404909,0.0160355,0.0284391,0.0136449,0.0152826,0.0209315,0.00903009,0.0182412,0.0219766,0.0256982,0.0236538,0.0144497,0.136228,0.0446967,0,0.0168892,0.078319,0,0,0.116779,0,0.022965,0.0732594,0.0343634,0.018877,0.0112375,0.0062208,0.0157366,0.116496,0.00865462,0.0136489,0.00853156,0.00776957,0.0175442,0.0124526,0.0186303,0.0181345,0.0211039,0.0822901,0.0273169,0.0321571,0.0438113,0.0543307,0,0,0,0,0,0,0,0,0,0
1636,0.0620297,0,0,0,0,0.0538423,0,0,0,0,0,0,0.0145527,0.0279039,0.00919698,0.0143926,0,0,0.0290756,0,0.0322899,0.00993338,0.0436856,0.00187638,0.00901299,0.0163425,0.017647,0.0358954,0.0155426,0.0276265,0.0131954,0.0149031,0.0205799,0.00897325,0.0182338,0.0224746,0.0261814,0.0245512,0.0153302,0.137976,0.0441611,0,0.0169062,0.0775898,0,0,0.116658,0,0.0231185,0.0732895,0.034275,0.0191912,0.011529,0.00608499,0.0158277,0.116671,0.0084105,0.0138864,0,0,0.0181192,0.0117414,0.0193431,0.0186846,0.0223457,0.0820446,0.0274859,0.0324332,0.0440109,0.0523179,0,0,0,0,0,0,0,0,0,0
1637,0.0592403,0,0,0,0,0.0532016,0,0,0,0,0,0,0.0146892,0.0283571,0.00960645,0.013875,0,0,0.0299341,0,0.0326049,0.0106696,0.0437569,0.00229759,0.00909557,0.015687,0.0172433,0.0315929,0.0149502,0.0267503,0.0127273,0.0146922,0.0200556,0.00889161,0.0183555,0.022553,0.0268645,0.0255369,0.0160796,0.140638,0.0435577,0,0.0171071,0.0767487,0,0,0.116066,0,0.02331,0.0733372,0.034902,0.0294185,0.0115518,0.00508627,0.0152499,0.116535,0.00951207,0.0125869,0.00982812,0.0084865,0.0208488,0.0113767,0.023016,0.0234221,0.0283195,0.0816481,0.0271192,0.0327535,0.0443701,0.0501921,0,0,0,0,0,0,0,0,0,0
1638,0.0565487,0,0,0,0,0.0528355,0,0,0,0,0,0,0.0151097,0.0289288,0.00996354,0.0136482,0,0,0.0306855,0,0.032909,0.0114234,0.0439225,0.00288793,0.00918547,0.0151468,0.0171589,0.0276318,0.0145186,0.0260402,0.0123395,0.0145168,0.0197687,0.00891446,0.0183672,0.0230095,0.0276775,0.0266496,0.0171445,0.142458,0.0432258,0,0.0170711,0.0760367,0,0,0.115354,0,0.0236191,0.0733043,0.0350674,0.0315314,0.0115978,0.00561909,0.0152625,0.11653,0.00939365,0.0133056,0,0.00849581,0.0215388,0.0111701,0.0240894,0.0242161,0.0302435,0.081455,0.0269572,0.0327795,0.0449405,0.048199,0,0,0,0,0,0,0,0,0,0
1639,0.0537657,0,0,0,0,0.0527169,0,0,0,0,0,0,0.0157728,0.0295917,0.0103683,0.0136424,0,0,0.0314028,0,0.0332088,0.0122493,0.044021,0.00346169,0.00924078,0.0147571,0.0170541,0.0236746,0.0141095,0.025444,0.0120622,0.014354,0.0197901,0.00885788,0.0184321,0.0237166,0.0286179,0.0277259,0.0184133,0.143629,0.0429405,0,0.0169128,0.0753257,0,0,0.114632,0,0.0239891,0.0733614,0.0351693,0.0335363,0.0111631,0.00434034,0.0153298,0.116568,0.00933848,0.0135547,0.0114974,0.00821306,0.0226438,0.0107849,0.025616,0.0252306,0.0322199,0.0811903,0.02607,0.0328473,0.0457613,0.0461515,0,0,0,0,0,0,0,0,0,0
1640,0.0505782,0,0,0,0,0.052872,0,0,0,0,0,0,0.0160246,0.0302179,0.0106147,0.0137743,0,0,0.0322356,0,0.0334783,0.0132104,0.0441477,0.00408207,0.00930744,0.0142959,0.0172131,0.0195031,0.0136971,0.0246938,0.0117884,0.0140229,0.0196511,0.00887508,0.0184574,0.0239773,0.0294438,0.0288243,0.0190816,0.14542,0.0424953,0,0.016894,0.0744072,0,0,0.113949,0,0.024343,0.0734563,0.0352188,0.0351349,0.0109365,0.00411457,0.0152236,0.116615,0.00912351,0.0142305,0.0122659,0.00814928,0.0233594,0.010637,0.0266015,0.0256557,0.0330556,0.0808242,0.0251033,0.0330787,0.0469354,0.0438391,0,0,0,0,0,0,0,0,0,0
1641,0.0472587,0,0,0,0,0.0531602,0,0,0,0,0,0,0.0160184,0.0308232,0.0108694,0.0138726,0,0,0.0331277,0,0.0337208,0.0143585,0.0442072,0.00475432,0.00939796,0.0138506,0.0173057,0.0156031,0.0133756,0.0239798,0.0115079,0.0136906,0.0193685,0.00899996,0.018501,0.0240473,0.0302483,0.0299781,0.0198253,0.147218,0.0419702,0,0.0167767,0.0734031,0,0,0.113312,0,0.0246837,0.0736006,0.0351811,0.0356726,0.010699,0.00452292,0.0150914,0.116682,0.00874427,0.0150522,0.0127633,0.00807676,0.0237931,0.0103951,0.0271206,0.0255962,0.0331757,0.0805655,0.0242878,0.0335009,0.0483037,0.0414218,0,0,0,0,0,0,0,0,0,0
1642,0.0445258,0,0,0,0,0.0534216,0,0,0,0,0,0,0.0163077,0.0313202,0.0112183,0.0140201,0,0,0.0337155,0,0.0339894,0.0153562,0.0444172,0.0054203,0.00943612,0.0133907,0.0174225,0.0129696,0.0131071,0.0233636,0.0112338,0.0132996,0.0191516,0.00894446,0.018493,0.0243777,0.0310979,0.0310992,0.0203087,0.149528,0.0416173,0,0.0168289,0.0724477,0,0,0.112853,0,0.0250328,0.0737076,0.0353388,0.0359636,0.0110238,0.00602492,0.0148904,0.116576,0.0083574,0.016235,0,0.00835336,0.0237272,0.0101125,0.0270344,0.0251112,0.032929,0.0802759,0.0236669,0.0339208,0.0493919,0.0393757,0,0,0,0,0,0,0,0,0,0
1643,0.0413988,0,0,0,0,0.054138,0,0,0,0,0,0,0.016491,0.0315575,0.0115304,0.0137538,0,0,0.0341538,0,0.0341336,0.0157161,0.0443404,0.00605983,0.00954616,0.0129463,0.0175187,0.0108106,0.0129454,0.0228014,0.0109861,0.01294,0.0189277,0.00885225,0.0186792,0.0243977,0.0320427,0.0319364,0.0205786,0.150783,0.0410687,0,0.0165042,0.0714802,0,0,0.112225,0,0.0253909,0.0738163,0.035576,0.0360937,0.0105552,0.00617065,0.0149632,0.116695,0.00780226,0.0162893,0.0147861,0.00808004,0.0243037,0.00974985,0.0275675,0.0253085,0.0324425,0.0799968,0.0230272,0.0341048,0.0510688,0.0370835,0,0,0,0,0,0,0,0,0,0
1644,0.0392311,0,0,0,0,0.0545294,0,0,0,0,0,0,0.0166704,0.0317697,0.0117327,0.0139674,0,0,0.0344674,0,0.034535,0.016045,0.0444343,0.00646076,0.00958561,0.0125771,0.0176712,0.0104209,0.0127774,0.0223075,0.0108066,0.0126711,0.0188056,0.00889141,0.0186964,0.0246323,0.0324222,0.0328302,0.0211901,0.152627,0.0407161,0,0.0164288,0.0705214,0,0,0.111772,0,0.0256316,0.0736677,0.0357605,0.0367524,0.0105778,0.00722718,0.0148936,0.116478,0.00745509,0.0167013,0.0156175,0.00815633,0.0242801,0.00949665,0.0275425,0.0250977,0.0315586,0.0797424,0.0226775,0.0341509,0.0519344,0.035433,0,0,0,0,0,0,0,0,0,0
1645,0.0363018,0,0,0,0,0.0555605,0,0,0,0,0,0,0.0167053,0.0322309,0.0119224,0.0143229,0,0,0.0351723,0,0.0348287,0.0167951,0.044523,0.0068068,0.00963037,0.0121507,0.0177621,0.0110375,0.0125133,0.0219097,0.0106114,0.0124388,0.0185536,0.00886436,0.0187073,0.024648,0.032969,0.0338984,0.0217525,0.153716,0.0403563,0,0.0163445,0.0694213,0,0,0.11124,0,0.026036,0.0737052,0.0357401,0.0377071,0.010752,0.00819387,0.0146292,0.116524,0.00721776,0.0168826,0.0159922,0.00824243,0.0241793,0.00924178,0.0275506,0.0249218,0.0299586,0.079719,0.0222384,0.034391,0.0535845,0.0333185,0,0,0,0,0,0,0,0,0,0
1646,0.0338339,0,0,0,0,0.0565684,0,0,0,0,0,0,0.0168266,0.0328986,0.0121131,0.0144849,0,0,0.0356767,0,0.0349445,0.0176217,0.0446088,0.00709942,0.00962744,0.0119023,0.0178337,0.0126103,0.0123715,0.0216265,0.0105557,0.0122653,0.0182376,0.008707,0.018644,0.0247514,0.0331519,0.0350498,0.0222923,0.153957,0.0401103,0,0.0162523,0.0683985,0,0,0.110769,0,0.0264419,0.0738941,0.0356264,0.0389183,0.011061,0.00914774,0.0144223,0.116485,0.0069324,0.0169878,0.0162566,0.00853169,0.0242145,0.00908703,0.0276435,0.0250249,0.0280936,0.079629,0.0218858,0.0344209,0.0549141,0.0314811,0,0,0,0,0,0,0,0,0,0
1647,0.0317713,0,0,0,0,0.0574374,0,0,0,0,0,0,0.0169834,0.0333336,0.0123396,0.0147687,0,0,0.0360496,0,0.0352588,0.0184879,0.0447289,0.00755569,0.00952423,0.0116746,0.017962,0.0142378,0.0123916,0.0212181,0.0104932,0.012143,0.0181244,0.00865154,0.0185758,0.0249451,0.0337691,0.0361109,0.0233329,0.153917,0.0398971,0,0.0163712,0.0674648,0,0,0.11041,0,0.0268299,0.0740609,0.0354506,0.0402467,0.011392,0.00994516,0.0141599,0.116408,0.0065463,0.0170202,0.0164297,0.00863858,0.0242643,0.00892238,0.0276513,0.0253704,0.0253213,0.0794874,0.0215476,0.0345604,0.0559344,0.0299102,0,0,0,0,0,0,0,0,0,0
1648,0.0294225,0,0,0,0,0.0583927,0,0,0,0,0,0,0.0169405,0.0332815,0.0125551,0.0150874,0,0,0.0366344,0,0.0357884,0.0191202,0.0448016,0.00793644,0.00947332,0.0113835,0.0179882,0.01647,0.01258,0.0209998,0.0104346,0.0119611,0.0180427,0.00869412,0.0185889,0.0248774,0.0339013,0.0369331,0.0235903,0.153633,0.0396058,0,0.0162854,0.0664774,0,0,0.110093,0,0.0272117,0.0742295,0.0353997,0.0414527,0.0116979,0.0105044,0.0138261,0.116434,0.00627277,0.0169555,0.0165673,0.00867292,0.0244225,0.00857422,0.0276898,0.0260325,0.0225373,0.0794239,0.0211677,0.0347442,0.0571385,0.0282955,0,0,0,0,0,0,0,0,0,0
1649,0.0275787,0,0,0,0,0.0589476,0,0,0,0,0,0,0.0169464,0.0334148,0.0126425,0.0151563,0,0,0.0370376,0,0.0361955,0.019741,0.0448867,0.00804967,0.00940728,0.0112007,0.0179471,0.018236,0.0127572,0.0212308,0.0104603,0.0118441,0.0179683,0.00874582,0.0185525,0.0248092,0.0338151,0.0377846,0.0240711,0.153394,0.0393362,0,0.0161678,0.0655705,0,0,0.10979,0,0.0274585,0.0742161,0.0353821,0.0424641,0.0120215,0.0109246,0.0135405,0.116284,0.00611461,0.0168351,0.0166884,0.0088157,0.0245528,0.00831862,0.0277075,0.0267471,0.0203824,0.0792648,0.0208896,0.0348055,0.0579515,0.0269651,0,0,0,0,0,0,0,0,0,0
1650,0.0257839,0,0,0,0,0.0596681,0,0,0,0,0,0,0.01664,0.034079,0.0126718,0.0150416,0,0,0.0372625,0,0.0362813,0.0205453,0.0449698,0.0083284,0.00936983,0.0109619,0.0178321,0.0201185,0.0127603,0.0212556,0.0104157,0.011609,0.0177606,0.00877798,0.0185172,0.0244421,0.0343369,0.0387913,0.0254666,0.15274,0.0390564,0,0.0160511,0.0647004,0,0,0.109482,0,0.0277283,0.0741889,0.0354188,0.0433834,0.0123336,0.0111618,0.0132751,0.116221,0.00596039,0.0167544,0.0167287,0.00897143,0.0247292,0.00814259,0.0277417,0.0275854,0.0190902,0.0790795,0.0206327,0.0347671,0.0589627,0.0256136,0,0,0,0,0,0,0,0,0,0
1651,0.0243692,0,0,0,0,0.0601669,0,0,0,0,0,0,0.0164686,0.034558,0.0126821,0.0152483,0,0,0.0370408,0,0.0366109,0.0211248,0.0451055,0.00849836,0.00931451,0.0106727,0.0177404,0.0214161,0.0126027,0.0209888,0.0103188,0.0112777,0.0175828,0.0087493,0.0185015,0.0242851,0.0346704,0.0395226,0.0265409,0.151983,0.0388615,0,0.0160496,0.063901,0,0,0.109256,0,0.027951,0.0741335,0.0353946,0.044298,0.0125702,0.0112345,0.0130484,0.116112,0.00571557,0.0167384,0.0166971,0.00898023,0.0249009,0.00800574,0.0276925,0.0284638,0.0182598,0.0788689,0.0203511,0.0348141,0.0596473,0.0244908,0,0,0,0,0,0,0,0,0,0
