Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x71,x72,x73,x74,x76,,x75,LTHIP
147,0.0199468,0,0,0,0,0.0212989,0,0,0,0,0,0,0.0257016,0.032463,0.0124461,0.016844,0,0,0.0672606,0,0.0352995,0.0361607,0.0428449,0.0079501,0.00878785,0.00413615,0.026296,0.0317798,0.00833184,0.00734385,0.00384652,0.0100152,0.0146816,0.00845518,0.0261614,0.0365174,0.0477907,0.0354022,0.0136164,0.0117254,0.028333,0.0160486,0.0168716,0.0282959,0,0,0.00940671,0,0.0294323,0.0182166,0.0361709,0.0195007,0.0132532,0.017706,0.0247471,0.0311731,0.00885835,0.0134774,0.00771132,0.0104974,0.0130328,0.0337484,0.0120092,0.0126129,0.00577641,0.0113953,0.0177829,0.0363695,0.0199278,0.013537,0,0,0,0,0,0,0,0
148,0.0197009,0,0,0,0,0.0213295,0,0,0,0,0,0,0.0260403,0.0323921,0.0123381,0.0166164,0,0,0.0674552,0,0.0356458,0.036633,0.0429993,0.00769339,0.0085676,0.00408807,0.0255094,0.0316071,0.0085142,0.00768396,0.00401543,0.00990297,0.0146304,0.00833799,0.026005,0.0365528,0.047761,0.0357073,0.0142449,0.0116845,0.0284346,0.0160771,0.0166869,0.0286036,0,0,0.00976175,0,0.0298965,0.0181541,0.0361344,0.0194395,0.0132793,0.0176313,0.0238834,0.0320081,0.00889931,0.0133264,0.00770178,0.0104763,0.0129247,0.0336514,0.012008,0.0125175,0.00580115,0.0127769,0.0188146,0.0357219,0.0200048,0.0135059,0,0,0,0,0,0,0,0
149,0.0193993,0,0,0,0,0.0213956,0,0,0,0,0,0,0.0262902,0.0323893,0.0122603,0.0164773,0,0,0.0675826,0,0.0360267,0.0371615,0.0431344,0.00734725,0.00839197,0.00408003,0.0248437,0.0315674,0.00876111,0.00794869,0.00427146,0.00978501,0.014612,0.00819908,0.025853,0.0367505,0.0477381,0.0359034,0.0151222,0.0114841,0.0285367,0.0158951,0.0165219,0.0288125,0,0,0.0100562,0,0.0303345,0.017838,0.036112,0.019332,0.0132726,0.017492,0.0231955,0.0326896,0.00883327,0.0132553,0.00760974,0.0104562,0.0127146,0.0336521,0.0118956,0.0124025,0.0054905,0.0138971,0.0193789,0.0348348,0.0200967,0.0133693,0,0,0,0,0,0,0,0
150,0.0190373,0,0,0,0,0.0214657,0,0,0,0,0,0,0.0265419,0.0325103,0.0121505,0.016313,0,0,0.0677383,0,0.0364512,0.0375908,0.0432297,0.0069933,0.00823737,0.00411688,0.0243084,0.0315959,0.00904822,0.00832339,0.00463693,0.00968006,0.0146836,0.00803421,0.0256602,0.0370578,0.0476198,0.0360183,0.0161358,0.0113155,0.0286497,0.015753,0.0163781,0.0288478,0,0,0.0103699,0,0.0307393,0.0172969,0.0361013,0.019299,0.0132574,0.0173475,0.0225853,0.0332384,0.00878153,0.0133219,0.00751824,0.010431,0.0125925,0.0337932,0.0118148,0.0123824,0.00512939,0.0148992,0.0194346,0.0337099,0.0201975,0.0131321,0,0,0,0,0,0,0,0
151,0.018686,0,0,0,0,0.0215383,0,0,0,0,0,0,0.0267735,0.0328052,0.0120032,0.0161558,0,0,0.0678427,0,0.0368561,0.038,0.0432903,0.00656376,0.00813247,0.00419673,0.0238964,0.0317172,0.00936418,0.00886659,0.00507375,0.00963174,0.0148201,0.00785297,0.0254254,0.0373923,0.0474903,0.0361701,0.0173008,0.0113473,0.0287513,0.0157839,0.0162636,0.0286752,0,0,0.0106432,0,0.0310771,0.0164736,0.0360753,0.0194221,0.0132217,0.0173068,0.0221182,0.0336489,0.00877142,0.0133856,0.00753249,0.0104497,0.0126078,0.0338207,0.0118193,0.0124297,0.00503029,0.0158362,0.0191914,0.0323612,0.0203052,0.0128708,0,0,0,0,0,0,0,0
152,0.0183582,0,0,0,0,0.0214597,0,0,0,0,0,0,0.0270223,0.0331915,0.0118601,0.0160522,0,0,0.0678523,0,0.0372162,0.0384264,0.043416,0.00609092,0.00802788,0.00438765,0.0235,0.0318623,0.00972131,0.00954677,0.00557061,0.00954098,0.0149835,0.00767114,0.0251653,0.0378092,0.047351,0.0362738,0.0185998,0.0111846,0.0288945,0.015557,0.0162007,0.028225,0,0,0.0109585,0,0.031438,0.0155473,0.0360505,0.0192086,0.0132172,0.0171725,0.0217098,0.0337351,0.00876807,0.0133156,0.00742444,0.0104118,0.012511,0.0339038,0.0117,0.0123007,0.00475358,0.016509,0.0185425,0.0308626,0.0202314,0.0125821,0,0,0,0,0,0,0,0
153,0.018015,0,0,0,0,0.0212751,0,0,0,0,0,0,0.0274639,0.033568,0.0117056,0.0159368,0,0,0.067868,0,0.0376008,0.0388737,0.0435656,0.00550207,0.00791502,0.00473482,0.0232156,0.0321123,0.0101527,0.0104537,0.00614576,0.00943927,0.0151374,0.00749505,0.0248959,0.0383112,0.0472047,0.0361872,0.0199638,0.0110609,0.029064,0.0154322,0.0161477,0.0275296,0,0,0.0113717,0,0.031812,0.0146953,0.0360347,0.0191414,0.0132141,0.0170713,0.0214087,0.0335191,0.00884383,0.0132734,0.0073646,0.0103621,0.0124092,0.0339682,0.0116338,0.0121983,0.00459489,0.0172056,0.0176277,0.0292163,0.0200403,0.0122227,0,0,0,0,0,0,0,0
154,0.0176233,0,0,0,0,0.0210196,0,0,0,0,0,0,0.0277349,0.0340016,0.0115428,0.0158161,0,0,0.0678994,0,0.0379391,0.0393632,0.0436951,0.00488617,0.00783017,0.00521076,0.0230445,0.0323289,0.0105956,0.0114602,0.00671674,0.0094605,0.0153326,0.00735823,0.0245949,0.0388227,0.0470378,0.0360033,0.0213875,0.0110513,0.029182,0.0154359,0.0161276,0.0266927,0,0,0.0117857,0,0.0321217,0.0136866,0.0360404,0.0190994,0.0131823,0.0170363,0.0212214,0.0330517,0.008828,0.0132654,0.00735128,0.0103277,0.0123402,0.0339407,0.0116047,0.012119,0.00453805,0.0175929,0.0165093,0.0273991,0.0197516,0.0118425,0,0,0,0,0,0,0,0
155,0.0172287,0,0,0,0,0.0207134,0,0,0,0,0,0,0.0280785,0.0344094,0.0114576,0.0157145,0,0,0.0679599,0,0.038279,0.0399627,0.0437809,0.00431762,0.00775808,0.00573387,0.0229427,0.0326318,0.0110392,0.0126337,0.00726016,0.00955967,0.0155722,0.00724628,0.0243015,0.0393761,0.0468987,0.0357061,0.0228243,0.0110943,0.0292657,0.0154572,0.0161294,0.0257356,0,0,0.0122753,0,0.0323864,0.012529,0.0360442,0.0191541,0.0131227,0.0170079,0.0210876,0.0323581,0.00877187,0.0132766,0.00733872,0.0103178,0.0122875,0.0338808,0.0115783,0.0120339,0.00446365,0.0180577,0.0150669,0.0254914,0.01934,0.011442,0,0,0,0,0,0,0,0
156,0.0163569,0,0,0,0,0.0195313,0,0,0,0,0,0,0.0285986,0.034769,0.0114163,0.0155849,0,0,0.0680847,0,0.0386208,0.0405276,0.0437825,0.00407645,0.00763632,0.00634583,0.0228416,0.0330089,0.0114603,0.0135977,0.00777404,0.00969929,0.0158769,0.00716377,0.0240612,0.0399395,0.0470328,0.0353301,0.0242423,0.0111677,0.0294732,0.015479,0.0160816,0.023571,0,0,0.0129681,0,0.0327644,0.0115529,0.0360054,0.0192528,0.0130683,0.0169654,0.0209067,0.0301552,0.00873901,0.0132717,0.00732455,0.0103107,0.0122363,0.0338394,0.0115623,0.0119699,0.00437827,0.0179916,0.0136009,0.0236694,0.0179865,0.0105848,0,0,0,0,0,0,0,0
157,0.0158457,0,0,0,0,0.0182065,0,0,0,0,0,0,0.0292136,0.0352283,0.0111822,0.0154455,0,0,0.0682818,0,0.0387474,0.0411514,0.0437611,0.00390523,0.00755759,0.00697656,0.0227902,0.0333583,0.0118188,0.0143057,0.00823598,0.00985036,0.0161948,0.00707466,0.02382,0.0404494,0.0471821,0.0349723,0.0257439,0.0111015,0.0297242,0.0154487,0.0160441,0.021446,0,0,0.013671,0,0.0331769,0.0107584,0.0359533,0.019392,0.0130423,0.0169161,0.0207694,0.0278502,0.00859284,0.0132929,0.00733135,0.010276,0.0121645,0.0338389,0.011529,0.0119223,0.00427926,0.0176743,0.0128475,0.0218625,0.0164195,0.0101369,0,0,0,0,0,0,0,0
158,0.0156812,0,0,0,0,0.0168519,0,0,0,0,0,0,0.0296034,0.0357842,0.0109649,0.0153215,0,0,0.0683534,0,0.0388808,0.0416999,0.0437473,0.00362512,0.00750624,0.00754694,0.022814,0.0337283,0.0121534,0.0149314,0.00869653,0.0100135,0.016489,0.00693059,0.023583,0.0408461,0.0472659,0.0344831,0.0273172,0.0110523,0.0299533,0.015426,0.0160176,0.0194783,0,0,0.0143414,0,0.0335216,0.0100244,0.0359224,0.019422,0.0130225,0.0168779,0.0207382,0.025705,0.00858347,0.0133495,0.00736235,0.0102225,0.0121196,0.0338662,0.0115081,0.0119075,0.00423736,0.0172458,0.0118994,0.0201668,0.014763,0.0101597,0,0,0,0,0,0,0,0
159,0.0158175,0,0,0,0,0.0154736,0,0,0,0,0,0,0.0297101,0.0363595,0.0108341,0.0151995,0,0,0.0682242,0,0.0392183,0.0421529,0.043748,0.00319216,0.00748651,0.00803208,0.0228856,0.0340786,0.0124223,0.0154993,0.00909476,0.0101858,0.0167477,0.00680198,0.0233527,0.041097,0.0472998,0.0339556,0.0288343,0.0110096,0.0302019,0.0153963,0.0160633,0.017836,0,0,0.0149936,0,0.0338411,0.00946184,0.035871,0.0193377,0.0130112,0.0168164,0.020792,0.023763,0.00869586,0.0133653,0.00738761,0.0102058,0.0120698,0.0338565,0.0114944,0.0118828,0.00422,0.0168089,0.0110174,0.0186361,0.0130936,0.0106261,0,0,0,0,0,0,0,0
160,0.016193,0,0,0,0,0.0141534,0,0,0,0,0,0,0.0296609,0.0369835,0.0107628,0.0151346,0,0,0.0679582,0,0.0396259,0.0426195,0.0438678,0.00313096,0.00749727,0.00843887,0.0230246,0.0343557,0.0125987,0.0159041,0.00941609,0.0103136,0.0169348,0.00673379,0.0231607,0.041307,0.0472792,0.033434,0.0303379,0.010912,0.0304916,0.0153072,0.016183,0.0166219,0,0,0.015711,0,0.0341744,0.00910647,0.0357594,0.0192142,0.013073,0.0166307,0.0209223,0.0221075,0.00876841,0.0131979,0.00725349,0.0102486,0.0118208,0.0337588,0.0114344,0.0116601,0.00417106,0.0164425,0.010426,0.0172712,0.0114504,0.0114813,0,0,0,0,0,0,0,0
161,0.0166202,0,0,0,0,0.0127136,0,0,0,0,0,0,0.0297196,0.0378824,0.0106654,0.0151482,0,0,0.0676886,0,0.0396934,0.0431466,0.0440532,0.003311,0.00754472,0.00878386,0.0232339,0.0343731,0.0127413,0.0162597,0.00967607,0.0103582,0.0170716,0.0066959,0.0229778,0.0414694,0.0470884,0.033063,0.0320115,0.010782,0.0308133,0.0151564,0.0163318,0.0157505,0,0,0.0164383,0,0.0345084,0.00888713,0.0356223,0.0189646,0.0132109,0.0163698,0.021113,0.0205757,0.00884087,0.0128899,0.00695927,0.0103398,0.0114366,0.0336418,0.0113539,0.0112833,0.00416452,0.0159101,0.0101488,0.0160695,0.0096959,0.0125067,0,0,0,0,0,0,0,0
162,0.0172256,0,0,0,0,0.0116438,0,0,0,0,0,0,0.0298943,0.0385881,0.010533,0.0151587,0,0,0.0672448,0,0.039953,0.0435953,0.0441017,0.00361017,0.00760682,0.00911114,0.0234865,0.0345077,0.0129152,0.0167046,0.00994628,0.0104292,0.0171698,0.00668072,0.0228648,0.0416292,0.0467226,0.0325796,0.0336951,0.010898,0.0310834,0.015221,0.0163838,0.0154546,0,0,0.0171563,0,0.0347793,0.00886341,0.0356358,0.0191847,0.0131858,0.0164496,0.0213879,0.019629,0.00873702,0.0130114,0.00691098,0.0102742,0.0115231,0.0336508,0.0113684,0.0113539,0.00426235,0.0156253,0.00969568,0.0150907,0.00828742,0.0135139,0,0,0,0,0,0,0,0
163,0.0180984,0,0,0,0,0.0109592,0,0,0,0,0,0,0.0300906,0.0390443,0.0104603,0.0151879,0,0,0.0664874,0,0.0406911,0.0439431,0.0441242,0.00362448,0.00767405,0.00944644,0.0237712,0.0348519,0.0131104,0.016957,0.0102213,0.0105506,0.0172383,0.00669202,0.0227363,0.0418786,0.0464268,0.0320813,0.0352283,0.0110867,0.0312987,0.0153373,0.016405,0.015817,0,0,0.0179143,0,0.0349472,0.00904322,0.0357105,0.019446,0.0131139,0.0166455,0.0217053,0.0194322,0.00861327,0.0132726,0.00669931,0.0101987,0.0117029,0.0337901,0.0114163,0.0114982,0.00440675,0.0157606,0.00897032,0.014245,0.00729924,0.0145892,0,0,0,0,0,0,0,0
164,0.0188235,0,0,0,0,0.0102515,0,0,0,0,0,0,0.0300931,0.0397298,0.0104072,0.0152444,0,0,0.0656103,0,0.0412812,0.0442821,0.0440809,0.00379013,0.00776762,0.00978161,0.02405,0.0349568,0.0132537,0.0172094,0.0104275,0.0107056,0.0174006,0.0067319,0.0225833,0.0422174,0.0461258,0.0316279,0.0366843,0.0111973,0.0315573,0.0153609,0.0164683,0.0162913,0,0,0.0185508,0,0.035153,0.00917265,0.0357102,0.0194726,0.0130807,0.0167268,0.0220235,0.019424,0.0085366,0.0132771,0.00670717,0.0101667,0.0116893,0.0339194,0.0113997,0.0114198,0.00457083,0.0159115,0.0080639,0.01346,0.00639381,0.0154674,0,0,0,0,0,0,0,0
165,0.0193387,0,0,0,0,0.00958155,0,0,0,0,0,0,0.0302693,0.040641,0.0102952,0.0153023,0,0,0.0646962,0,0.0416514,0.0445738,0.0440878,0.00409379,0.00785861,0.0100752,0.0243221,0.0348569,0.0133801,0.0174713,0.010611,0.0108325,0.0175693,0.00675034,0.0224785,0.0423442,0.0455895,0.0311482,0.0381266,0.0112848,0.0318202,0.0153398,0.0165168,0.0167664,0,0,0.0190754,0,0.0353658,0.00923219,0.0356853,0.019375,0.0130399,0.0165826,0.0223166,0.0194596,0.00849782,0.0130918,0.00691979,0.0101171,0.011546,0.0337619,0.0113038,0.0112605,0.00474693,0.0159932,0.00738735,0.0126897,0.00558596,0.0161856,0,0,0,0,0,0,0,0
166,0.0197799,0,0,0,0,0.0090126,0,0,0,0,0,0,0.0303759,0.0416158,0.0101653,0.0153676,0,0,0.0638018,0,0.0419975,0.0447441,0.0442064,0.00408104,0.00794135,0.0102815,0.0245814,0.0347231,0.0135007,0.0177779,0.0107874,0.0108995,0.017673,0.00673748,0.0223787,0.0421527,0.0449468,0.0306375,0.0396012,0.0113669,0.0321241,0.0153454,0.0165656,0.0172955,0,0,0.0195034,0,0.0356119,0.00928085,0.035722,0.0194213,0.0129789,0.0164995,0.0226733,0.0196306,0.00847994,0.0131337,0.00694594,0.0100266,0.0115473,0.033648,0.0112366,0.01126,0.00488279,0.0159806,0.00686224,0.0119008,0.00499746,0.016857,0,0,0,0,0,0,0,0
167,0.0200825,0,0,0,0,0.00883297,0,0,0,0,0,0,0.0302504,0.042575,0.0100763,0.0153907,0,0,0.0628979,0,0.0423943,0.0446937,0.0443126,0.00411458,0.0079715,0.0104648,0.0247615,0.0344756,0.0136377,0.0181082,0.0109101,0.0109702,0.0177701,0.00667394,0.022283,0.0419673,0.0443316,0.0302311,0.0410027,0.0114588,0.0325051,0.0153712,0.0165988,0.017673,0,0,0.0198691,0,0.0359055,0.00937148,0.0357609,0.01947,0.0129423,0.016441,0.0229704,0.0199941,0.00847666,0.0132002,0.00688997,0.00993988,0.0115736,0.0336392,0.0112289,0.0112576,0.00504489,0.0158678,0.00617517,0.0110112,0.00478229,0.0172517,0,0,0,0,0,0,0,0
168,0.0203495,0,0,0,0,0.00879558,0,0,0,0,0,0,0.0299307,0.0434391,0.01007,0.0154638,0,0,0.0620952,0,0.0427126,0.0446105,0.0444202,0.004243,0.00802932,0.0106394,0.024958,0.0342465,0.0137256,0.0184058,0.01099,0.0110286,0.0178538,0.00663235,0.0221626,0.0418188,0.0438853,0.0298555,0.0422293,0.011533,0.0329269,0.0153761,0.0166452,0.0180319,0,0,0.0202189,0,0.0362017,0.00942628,0.0357884,0.0194628,0.0129022,0.0163697,0.0232516,0.02043,0.00846464,0.0132051,0.00681542,0.00982918,0.0115201,0.0336224,0.0111985,0.0112066,0.005248,0.015788,0.00521344,0.0100109,0.0047414,0.0175902,0,0,0,0,0,0,0,0
169,0.0205289,0,0,0,0,0.00874049,0,0,0,0,0,0,0.0297219,0.0443176,0.0100772,0.0155452,0,0,0.0612877,0,0.0429197,0.0444729,0.0444884,0.00437356,0.00813743,0.0107763,0.0251663,0.0340496,0.0137096,0.0187914,0.0110268,0.0111054,0.0179468,0.00665616,0.0220328,0.041731,0.0434097,0.0295324,0.0432807,0.0115603,0.0333013,0.0153711,0.0167051,0.0183623,0,0,0.0204817,0,0.0364429,0.00937922,0.0358046,0.0194389,0.0128746,0.0163213,0.0234714,0.020817,0.0084124,0.0131927,0.00677961,0.00975976,0.0114491,0.0336139,0.0111836,0.0111552,0.00547951,0.0158549,0.00448729,0.00898207,0.00483896,0.0178679,0,0,0,0,0,0,0,0
170,0.0207049,0,0,0,0,0.00869903,0,0,0,0,0,0,0.0296091,0.0451589,0.00986686,0.0155903,0,0,0.0604833,0,0.0430553,0.0442793,0.0445155,0.00464297,0.00830065,0.0109228,0.0254016,0.0339242,0.0136817,0.019194,0.0110505,0.0112226,0.0181036,0.00667585,0.0218935,0.0416541,0.0429227,0.029228,0.0441947,0.0116013,0.0335987,0.0153304,0.0168081,0.01868,0,0,0.0207542,0,0.0366294,0.00933377,0.0357935,0.019416,0.0128562,0.0163347,0.0237378,0.0211503,0.00832519,0.0132257,0.00682042,0.00975334,0.0114218,0.0337112,0.0111529,0.0110814,0.00560496,0.0159696,0.0044348,0.00807346,0.00506669,0.0181127,0,0,0,0,0,0,0,0
171,0.0206924,0,0,0,0,0.00876101,0,0,0,0,0,0,0.0294293,0.0459192,0.00961756,0.0155403,0,0,0.0594846,0,0.0432123,0.0439191,0.0444759,0.00517828,0.00827705,0.0111303,0.0254257,0.0334807,0.0137145,0.0194661,0.0111388,0.0113954,0.0182689,0.00667213,0.0217893,0.0415777,0.0423434,0.0289525,0.04497,0.0117079,0.0339627,0.0153064,0.0167836,0.0187305,0,0,0.0211322,0,0.0369203,0.00931998,0.0357955,0.0193942,0.0128369,0.0163875,0.0237617,0.0214367,0.00831898,0.0133268,0.00686369,0.00975015,0.0114586,0.0339326,0.011089,0.0110649,0.00570267,0.0160887,0.004865,0.00732831,0.00512592,0.0180778,0,0,0,0,0,0,0,0
172,0.0207998,0,0,0,0,0.00895676,0,0,0,0,0,0,0.0290889,0.046568,0.00943374,0.0154908,0,0,0.0585437,0,0.0433826,0.0436131,0.0444142,0.00553325,0.00826715,0.0114,0.0254113,0.0332004,0.013845,0.0198173,0.0113061,0.0115805,0.0184707,0.00671751,0.0216927,0.0414547,0.0419582,0.0287177,0.0455786,0.0117081,0.0344996,0.0153201,0.0167202,0.0188738,0,0,0.0217801,0,0.0374496,0.00954302,0.0357958,0.019429,0.0127809,0.0163783,0.0237705,0.0219084,0.00833701,0.0134837,0.0068855,0.00972716,0.0114992,0.0340309,0.0110419,0.0111097,0.00575299,0.0163455,0.00512391,0.00661768,0.0052047,0.0181364,0,0,0,0,0,0,0,0
173,0.0210818,0,0,0,0,0.0092685,0,0,0,0,0,0,0.0288484,0.0471155,0.00929531,0.0154452,0,0,0.0580669,0,0.0434643,0.0434961,0.0443455,0.00541052,0.00828449,0.0116658,0.0253711,0.0332724,0.0139878,0.0203412,0.0114941,0.011762,0.0186814,0.00677245,0.0215558,0.0412555,0.0417578,0.028699,0.0458935,0.011707,0.0352512,0.0153394,0.0166737,0.0191655,0,0,0.0228158,0,0.0383063,0.0101518,0.0357624,0.0194663,0.0127172,0.0163251,0.0238001,0.022573,0.00831695,0.0136358,0.00687846,0.00968927,0.0115234,0.0340879,0.011041,0.0111559,0.00578698,0.0168129,0.0048061,0.00588976,0.00539292,0.0183397,0,0,0,0,0,0,0,0
174,0.0214203,0,0,0,0,0.00964336,0,0,0,0,0,0,0.0286992,0.0477149,0.00911302,0.0154626,0,0,0.0581387,0,0.0435456,0.0433943,0.0443666,0.00511681,0.00838589,0.0118987,0.0254101,0.0336552,0.0140706,0.0206856,0.0116073,0.0119116,0.0188035,0.0067852,0.0214163,0.0408944,0.0418288,0.0289923,0.0457526,0.0117861,0.0361243,0.0153583,0.0167369,0.0195502,0,0,0.0239261,0,0.0393343,0.0108619,0.0356806,0.0193893,0.0127234,0.0163202,0.0238772,0.0232355,0.00821698,0.0135126,0.00690123,0.00964074,0.0114968,0.0340783,0.0110574,0.0111096,0.00599464,0.0172989,0.00459122,0.00528445,0.00570871,0.0186062,0,0,0,0,0,0,0,0
175,0.0216988,0,0,0,0,0.00994998,0,0,0,0,0,0,0.0285138,0.0484268,0.00884159,0.015483,0,0,0.058333,0,0.0437426,0.0431133,0.0443722,0.00562728,0.00833657,0.0121516,0.0253576,0.0340261,0.014156,0.0207675,0.0116953,0.0120942,0.0189605,0.0067299,0.02136,0.0405284,0.0419527,0.0296425,0.0451669,0.0118934,0.0369474,0.0153823,0.016759,0.0198487,0,0,0.0248554,0,0.0403049,0.0114597,0.0356124,0.0192961,0.0127406,0.0163231,0.0238092,0.0237101,0.00821747,0.0133576,0.00678515,0.00958279,0.0114794,0.0341004,0.0110597,0.0110451,0.00625763,0.0177022,0.00480461,0.00488443,0.00596935,0.0187777,0,0,0,0,0,0,0,0
176,0.0220361,0,0,0,0,0.0102968,0,0,0,0,0,0,0.0281868,0.0490786,0.00860888,0.0154971,0,0,0.0584131,0,0.0438239,0.0427375,0.0443442,0.0059842,0.00828299,0.0124076,0.0252775,0.0344205,0.0143017,0.0210053,0.0118244,0.0123158,0.0191343,0.00667474,0.0213001,0.0401684,0.0419865,0.0302811,0.0445079,0.0119758,0.0376634,0.0153918,0.0167409,0.0201761,0,0,0.0256627,0,0.0411222,0.0120431,0.0355808,0.0193923,0.0127262,0.0162938,0.0237506,0.024129,0.00824163,0.0134235,0.00642355,0.00949458,0.0115409,0.0341997,0.0110573,0.0110749,0.00636056,0.0180504,0.00529782,0.00453941,0.00629571,0.0189628,0,0,0,0,0,0,0,0
177,0.0223644,0,0,0,0,0.0106625,0,0,0,0,0,0,0.0274897,0.0497259,0.00837936,0.015468,0,0,0.0582399,0,0.0439703,0.0423811,0.0442902,0.00643419,0.00826292,0.0126788,0.0252203,0.0347304,0.0144105,0.0214696,0.0119458,0.0125236,0.0192975,0.00663095,0.0212302,0.039796,0.0418572,0.0307629,0.0439866,0.0120494,0.0382572,0.0153765,0.0167069,0.0205064,0,0,0.0262682,0,0.0417868,0.0126835,0.0355225,0.0194613,0.0126828,0.0162229,0.0237648,0.0244414,0.0082399,0.0134322,0.00640417,0.0094187,0.011587,0.0342716,0.0110418,0.0111017,0.00643863,0.0182952,0.00590176,0.00415943,0.00667723,0.0191567,0,0,0,0,0,0,0,0
178,0.0226585,0,0,0,0,0.0111199,0,0,0,0,0,0,0.0269451,0.0504007,0.00813047,0.0154577,0,0,0.0578853,0,0.0443547,0.0421166,0.0442481,0.0070603,0.00826983,0.0129218,0.0251741,0.0349548,0.0144804,0.0219506,0.0120292,0.0126779,0.0194121,0.00663031,0.0211866,0.039418,0.0415499,0.031011,0.0436102,0.0120665,0.0388285,0.0153425,0.016719,0.0208445,0,0,0.026824,0,0.0424312,0.0132518,0.0354702,0.0194044,0.0126156,0.0161318,0.0238116,0.0247531,0.00818565,0.0133649,0.00654818,0.00934239,0.0115951,0.0342429,0.0110006,0.011081,0.0065265,0.0185098,0.00654843,0.00403577,0.00711113,0.0193514,0,0,0,0,0,0,0,0
179,0.0228929,0,0,0,0,0.0116363,0,0,0,0,0,0,0.0266857,0.0509792,0.0079722,0.0153672,0,0,0.0575407,0,0.0447213,0.0418207,0.0441526,0.00752536,0.00812187,0.0131479,0.0249957,0.035022,0.0145988,0.0222002,0.0121631,0.0128268,0.0195093,0.00671183,0.0211959,0.0391404,0.041114,0.0312604,0.0433001,0.0121086,0.0393648,0.0153896,0.0165889,0.0211109,0,0,0.0274979,0,0.0430782,0.0137578,0.0354416,0.0194106,0.0124907,0.0160514,0.023722,0.0251954,0.00809971,0.0134463,0.00632166,0.00926511,0.0117099,0.0341444,0.0110177,0.0112181,0.00660043,0.0188277,0.00728167,0.00428379,0.00747678,0.0194969,0,0,0,0,0,0,0,0
180,0.0232085,0,0,0,0,0.0121612,0,0,0,0,0,0,0.0264186,0.0513993,0.00780481,0.0153562,0,0,0.0576488,0,0.0447536,0.0416709,0.0440777,0.00780689,0.00803664,0.0132805,0.0248872,0.0353022,0.0146488,0.0223726,0.0122307,0.0129393,0.0195504,0.00676306,0.0212209,0.0388554,0.0409842,0.0317256,0.042844,0.0121191,0.0399322,0.0154606,0.016476,0.0214424,0,0,0.0283852,0,0.0438099,0.0142284,0.0353689,0.019468,0.0123849,0.0160648,0.0236696,0.0257529,0.00801933,0.0135435,0.00634548,0.00925663,0.0118208,0.0341251,0.0110764,0.0113393,0.00674632,0.0192013,0.0080192,0.00480417,0.00790246,0.019713,0,0,0,0,0,0,0,0
181,0.0235672,0,0,0,0,0.0127593,0,0,0,0,0,0,0.0262121,0.0517796,0.00768115,0.0153019,0,0,0.0580412,0,0.0446527,0.0416234,0.0440298,0.00805617,0.0079433,0.0134647,0.0247537,0.0357074,0.0147104,0.0224588,0.0123263,0.0130773,0.0196268,0.00678359,0.0212529,0.0386938,0.0411029,0.032365,0.0423022,0.0122546,0.0404276,0.0156061,0.0163576,0.0217736,0,0,0.0294393,0,0.0445298,0.0148141,0.0352867,0.0196487,0.0122871,0.0160955,0.0235077,0.0264546,0.00793703,0.0136015,0.00666426,0.00924489,0.0119407,0.0341612,0.0111712,0.0114846,0.00704999,0.0197148,0.00880746,0.00540588,0.00838428,0.0199027,0,0,0,0,0,0,0,0
182,0.0239537,0,0,0,0,0.0134176,0,0,0,0,0,0,0.0260114,0.052138,0.00755592,0.0152323,0,0,0.0585122,0,0.0445447,0.0415945,0.0440145,0.00821915,0.00785926,0.0136059,0.0245867,0.0361822,0.0147841,0.0226708,0.0124171,0.0132112,0.0197293,0.00679571,0.0212761,0.0385672,0.0413536,0.0330093,0.0417427,0.0123797,0.0407846,0.0157039,0.0162811,0.0220953,0,0,0.0303596,0,0.0451117,0.0154244,0.0352138,0.0196981,0.0121903,0.0161468,0.0233152,0.0271181,0.00794461,0.0136209,0.00679789,0.00921925,0.012039,0.0341541,0.0112045,0.0116316,0.00729238,0.0202451,0.00941884,0.00589045,0.00892554,0.0200574,0,0,0,0,0,0,0,0
